Orthogroup	s.mekongi	fasciola_gigantica
OG0000029	KAK4468699.1, KAK4468698.1	FGIG_11109
OG0000030	KAK4476063.1	FGIG_03562
OG0000031	KAK4475389.1	FGIG_00219, FGIG_09645
OG0000032	KAK4470045.1	FGIG_12135
OG0000034	KAK4468479.1, KAK4468478.1, KAK4471028.1, KAK4471029.1	FGIG_11870, FGIG_10591, FGIG_05132
OG0000035	KAK4475274.1	FGIG_03979, FGIG_03980
OG0000036	KAK4472140.1, KAK4468990.1, KAK4474348.1, KAK4471044.1, KAK4467539.1, KAK4472178.1, KAK4474273.1	FGIG_02104
OG0000037	KAK4471851.1, KAK4471850.1	FGIG_03131, FGIG_03132
OG0000042	KAK4472150.1, KAK4472153.1, KAK4473688.1, KAK4472151.1, KAK4472152.1	FGIG_05270
OG0000044	KAK4468903.1, KAK4468904.1	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	KAK4468037.1, KAK4470284.1	FGIG_12527
OG0000049	KAK4470136.1, KAK4470137.1	FGIG_07932, FGIG_00477
OG0000049	KAK4470598.1	FGIG_06077
OG0000050	KAK4469367.1	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	KAK4472821.1	FGIG_00994
OG0000052	KAK4474336.1	FGIG_02824
OG0000052	KAK4474374.1	FGIG_00846
OG0000052	KAK4474946.1	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	KAK4471620.1	FGIG_04502, FGIG_12676
OG0000053	KAK4475177.1, KAK4475178.1	FGIG_08393, FGIG_12440
OG0000054	KAK4471074.1, KAK4472139.1, KAK4469996.1	FGIG_06834, FGIG_00432, FGIG_05300
OG0000055	KAK4471575.1, KAK4471564.1	FGIG_03285, FGIG_05988
OG0000058	KAK4468525.1	FGIG_11220
OG0000058	KAK4470069.1	FGIG_06708
OG0000058	KAK4470074.1, KAK4470072.1, KAK4470068.1	FGIG_00649
OG0000060	KAK4471247.1	FGIG_07684
OG0000061	KAK4469486.1	FGIG_09986
OG0000062	KAK4475970.1	FGIG_00991
OG0000063	KAK4473734.1	FGIG_03231
OG0000064	KAK4475705.1	FGIG_12411, FGIG_06602
OG0000065	KAK4473358.1, KAK4473352.1, KAK4473355.1, KAK4473357.1	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	KAK4473833.1	FGIG_00170
OG0000067	KAK4471577.1	FGIG_02840, FGIG_02842
OG0000068	KAK4469181.1	FGIG_12158
OG0000068	KAK4467758.1	FGIG_12079
OG0000068	KAK4473996.1, KAK4473997.1, KAK4473998.1	FGIG_07351
OG0000068	KAK4472801.1	FGIG_05814
OG0000069	KAK4474982.1	FGIG_12680, FGIG_06996
OG0000070	KAK4472878.1	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	KAK4472253.1	FGIG_07065, FGIG_07067
OG0000072	KAK4468648.1	FGIG_06022, FGIG_09056
OG0000073	KAK4469816.1	FGIG_05759
OG0000074	KAK4476006.1	FGIG_06125
OG0000074	KAK4468714.1	FGIG_03273
OG0000074	KAK4474596.1	FGIG_07718
OG0000074	KAK4468705.1	FGIG_01338
OG0000075	KAK4472282.1	FGIG_05387
OG0000076	KAK4468620.1	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	KAK4467358.1, KAK4475671.1	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	KAK4475941.1	FGIG_09054
OG0000078	KAK4467476.1, KAK4475827.1	FGIG_04314
OG0000079	KAK4472724.1	FGIG_07135, FGIG_07136
OG0000080	KAK4472503.1	FGIG_03532
OG0000081	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1	FGIG_05277, FGIG_11514
OG0000082	KAK4476263.1	FGIG_06461
OG0000085	KAK4474010.1	FGIG_06241
OG0000086	KAK4470561.1	FGIG_09371
OG0000087	KAK4469513.1	FGIG_03026
OG0000088	KAK4475590.1, KAK4475589.1	FGIG_14005, FGIG_05150
OG0000090	KAK4469374.1	FGIG_01258
OG0000091	KAK4469611.1	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	KAK4475365.1	FGIG_06562
OG0000092	KAK4474711.1	FGIG_11548
OG0000093	KAK4473668.1	FGIG_04003
OG0000093	KAK4467328.1, KAK4467335.1	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	KAK4475997.1	FGIG_00948
OG0000095	KAK4471403.1, KAK4471978.1	FGIG_01883
OG0000096	KAK4474123.1	FGIG_03065
OG0000097	KAK4476042.1, KAK4476041.1	FGIG_06823
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	FGIG_08056
OG0000098	KAK4471639.1	FGIG_08009
OG0000099	KAK4471562.1	FGIG_01162
OG0000099	KAK4470190.1	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	KAK4475905.1	FGIG_11657
OG0000102	KAK4472110.1	FGIG_04726, FGIG_06854
OG0000103	KAK4470657.1	FGIG_06145, FGIG_13990
OG0000104	KAK4475921.1	FGIG_08148
OG0000105	KAK4474244.1, KAK4476082.1	FGIG_00113, FGIG_06918
OG0000108	KAK4475981.1	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	KAK4472451.1, KAK4472446.1	FGIG_03667
OG0000110	KAK4472452.1	FGIG_10562
OG0000110	KAK4472453.1	FGIG_06603
OG0000111	KAK4473064.1	FGIG_04030
OG0000111	KAK4469719.1	FGIG_03777
OG0000111	KAK4472666.1	FGIG_04347
OG0000112	KAK4468035.1	FGIG_09308, FGIG_06819
OG0000114	KAK4467770.1	FGIG_00156
OG0000115	KAK4473986.1	FGIG_02859
OG0000116	KAK4469396.1	FGIG_03832, FGIG_01693
OG0000117	KAK4472459.1	FGIG_02197
OG0000118	KAK4473725.1, KAK4473729.1, KAK4473727.1, KAK4473726.1, KAK4473728.1	FGIG_02831
OG0000119	KAK4467682.1	FGIG_05939
OG0000120	KAK4472468.1	FGIG_06695
OG0000122	KAK4470066.1	FGIG_06459, FGIG_06458
OG0000123	KAK4470855.1	FGIG_06911
OG0000125	KAK4474534.1	FGIG_12140, FGIG_05136
OG0000126	KAK4470546.1	FGIG_02836, FGIG_00047
OG0000127	KAK4475492.1	FGIG_10651, FGIG_01876
OG0000128	KAK4473532.1	FGIG_02928
OG0000129	KAK4474206.1	FGIG_01051
OG0000130	KAK4467983.1	FGIG_06548, FGIG_01370
OG0000131	KAK4476229.1, KAK4468902.1	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592
OG0000132	KAK4474101.1	FGIG_04447, FGIG_04446
OG0000133	KAK4472626.1	FGIG_10537
OG0000134	KAK4475011.1	FGIG_03080
OG0000135	KAK4474731.1	FGIG_08997
OG0000136	KAK4476189.1, KAK4476190.1	FGIG_11134, FGIG_12681, FGIG_11135
OG0000138	KAK4468744.1	FGIG_10020
OG0000138	KAK4473697.1	FGIG_00536, FGIG_00535
OG0000139	KAK4475677.1	FGIG_04756
OG0000140	KAK4470680.1, KAK4470033.1	FGIG_05800
OG0000142	KAK4475021.1, KAK4475019.1, KAK4475022.1	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045
OG0000143	KAK4471520.1, KAK4471522.1	FGIG_03125
OG0000144	KAK4469871.1	FGIG_04482
OG0000144	KAK4473145.1	FGIG_02516
OG0000144	KAK4469772.1	FGIG_08902, FGIG_02070
OG0000145	KAK4472181.1	FGIG_06896
OG0000146	KAK4468443.1	FGIG_01364
OG0000146	KAK4469748.1	FGIG_07112
OG0000146	KAK4472748.1	FGIG_08174
OG0000146	KAK4469097.1	FGIG_12116
OG0000147	KAK4474043.1	FGIG_03610
OG0000148	KAK4472662.1	FGIG_05123, FGIG_04713
OG0000149	KAK4469180.1	FGIG_08710
OG0000151	KAK4471438.1, KAK4471439.1	FGIG_00898
OG0000152	KAK4474412.1	FGIG_02196
OG0000153	KAK4469387.1	FGIG_06246, FGIG_09804, FGIG_09803
OG0000154	KAK4475184.1, KAK4475186.1	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749
OG0000155	KAK4473822.1	FGIG_01109
OG0000156	KAK4475038.1	FGIG_01694
OG0000156	KAK4475039.1	FGIG_10389, FGIG_01395, FGIG_06374
OG0000157	KAK4471808.1	FGIG_01729
OG0000157	KAK4472697.1	FGIG_07044, FGIG_07045
OG0000157	KAK4467690.1	FGIG_03579
OG0000158	KAK4475829.1, KAK4473934.1, KAK4475828.1	FGIG_05975
OG0000159	KAK4471746.1	FGIG_07564
OG0000160	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1	FGIG_05715
OG0000161	KAK4474169.1	FGIG_08957
OG0000164	KAK4471960.1	FGIG_12608, FGIG_03854
OG0000164	KAK4470406.1	FGIG_01740
OG0000164	KAK4469800.1	FGIG_10598
OG0000164	KAK4472495.1	FGIG_05689
OG0000165	KAK4471264.1	FGIG_03682
OG0000167	KAK4470364.1	FGIG_09630
OG0000169	KAK4467718.1, KAK4467716.1, KAK4467717.1	FGIG_02219, FGIG_02221, FGIG_02220
OG0000170	KAK4470632.1	FGIG_11214, FGIG_11905, FGIG_00734
OG0000172	KAK4475142.1	FGIG_02787, FGIG_02788
OG0000173	KAK4468268.1	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026
OG0000175	KAK4473136.1, KAK4473125.1, KAK4473114.1, KAK4473106.1	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352
OG0000177	KAK4472104.1	FGIG_04057, FGIG_04058
OG0000178	KAK4472894.1	FGIG_04370
OG0000179	KAK4469016.1, KAK4469902.1	FGIG_08795, FGIG_10380
OG0000180	KAK4468049.1, KAK4468060.1, KAK4468069.1, KAK4468040.1	FGIG_12039
OG0000182	KAK4471145.1	FGIG_02134
OG0000182	KAK4472799.1	FGIG_00290
OG0000183	KAK4472516.1	FGIG_02622
OG0000184	KAK4469199.1	FGIG_03731
OG0000184	KAK4469198.1	FGIG_03730
OG0000185	KAK4472507.1	FGIG_07908
OG0000186	KAK4470241.1, KAK4470242.1	FGIG_00796
OG0000187	KAK4469682.1	FGIG_10561, FGIG_02152
OG0000188	KAK4472612.1	FGIG_03282
OG0000189	KAK4476062.1	FGIG_03464
OG0000190	KAK4469926.1	FGIG_04440
OG0000191	KAK4473909.1, KAK4473910.1	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245
OG0000192	KAK4471381.1	FGIG_06841, FGIG_06840
OG0000193	KAK4471189.1	FGIG_11714, FGIG_07076
OG0000194	KAK4470371.1	FGIG_07707
OG0000195	KAK4469314.1	FGIG_08368
OG0000196	KAK4468938.1	FGIG_11982, FGIG_03269
OG0000196	KAK4474524.1	FGIG_11890
OG0000198	KAK4474280.1	FGIG_06396
OG0000199	KAK4472571.1	FGIG_03163
OG0000201	KAK4473643.1	FGIG_05120
OG0000202	KAK4469384.1	FGIG_07192
OG0000203	KAK4472530.1, KAK4472529.1	FGIG_08149
OG0000205	KAK4475157.1	FGIG_02525
OG0000206	KAK4474171.1	FGIG_03933
OG0000207	KAK4474093.1, KAK4474090.1, KAK4474092.1, KAK4474089.1, KAK4474091.1	FGIG_05628, FGIG_09531, FGIG_04435, FGIG_12425, FGIG_10073
OG0000208	KAK4470297.1	FGIG_04764
OG0000209	KAK4476246.1	FGIG_06233
OG0000210	KAK4468068.1	FGIG_06835, FGIG_08667
OG0000211	KAK4476043.1	FGIG_06875
OG0000212	KAK4473242.1	FGIG_07429, FGIG_07428
OG0000213	KAK4474754.1	FGIG_08575
OG0000214	KAK4475773.1	FGIG_09344
OG0000217	KAK4472243.1	FGIG_02317, FGIG_02318
OG0000218	KAK4474847.1	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630
OG0000219	KAK4471869.1	FGIG_07378
OG0000220	KAK4470648.1	FGIG_07549
OG0000221	KAK4476180.1	FGIG_04956, FGIG_04954, FGIG_08084
OG0000221	KAK4467410.1, KAK4475529.1	FGIG_02269
OG0000222	KAK4470706.1	FGIG_00564
OG0000223	KAK4476292.1	FGIG_00853
OG0000224	KAK4475913.1	FGIG_01377, FGIG_01378
OG0000225	KAK4475585.1	FGIG_02370, FGIG_02369
OG0000226	KAK4474133.1	FGIG_02439, FGIG_12357
OG0000227	KAK4471428.1	FGIG_04507, FGIG_04506
OG0000228	KAK4473445.1	FGIG_04992
OG0000229	KAK4472065.1	FGIG_10264, FGIG_05406, FGIG_12189
OG0000230	KAK4471407.1	FGIG_06761, FGIG_06762
OG0000234	KAK4473948.1	FGIG_01289
OG0000235	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1	FGIG_07942, FGIG_02783, FGIG_02784
OG0000236	KAK4469919.1	FGIG_05608
OG0000237	KAK4469703.1	FGIG_06420
OG0000238	KAK4473873.1	FGIG_07333
OG0000239	KAK4473024.1	FGIG_07503, FGIG_08719
OG0000240	KAK4472743.1	FGIG_10740, FGIG_10875
OG0000241	KAK4476019.1, KAK4476020.1	FGIG_00479
OG0000242	KAK4475949.1	FGIG_01807
OG0000243	KAK4475854.1, KAK4475855.1	FGIG_00529, FGIG_00528
OG0000244	KAK4475963.1	FGIG_11655, FGIG_00993
OG0000245	KAK4475214.1	FGIG_01848
OG0000246	KAK4472531.1	FGIG_06772
OG0000247	KAK4475795.1	FGIG_09572
OG0000248	KAK4471206.1	FGIG_10714
OG0000249	KAK4475119.1	FGIG_11297
OG0000250	KAK4473679.1	FGIG_12420, FGIG_11532
OG0000252	KAK4473757.1	FGIG_01524
OG0000253	KAK4474966.1	FGIG_02155
OG0000254	KAK4476211.1	FGIG_02996
OG0000255	KAK4472819.1	FGIG_03191
OG0000256	KAK4472234.1, KAK4474108.1	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257
OG0000257	KAK4472840.1	FGIG_03641, FGIG_07534
OG0000258	KAK4474630.1, KAK4474631.1	FGIG_05122
OG0000259	KAK4472857.1	FGIG_05764
OG0000260	KAK4475472.1	FGIG_05885
OG0000261	KAK4471010.1	FGIG_06157
OG0000262	KAK4472696.1	FGIG_08811, FGIG_08810
OG0000263	KAK4471877.1	FGIG_09258
OG0000264	KAK4468105.1	FGIG_11442
OG0000264	KAK4475793.1, KAK4467257.1	FGIG_10736
OG0000267	KAK4468325.1, KAK4468328.1	FGIG_00498, FGIG_00260
OG0000268	KAK4470182.1	FGIG_06620
OG0000268	KAK4476119.1	FGIG_10234
OG0000269	KAK4475673.1, KAK4467473.1	FGIG_02813
OG0000270	KAK4472943.1	FGIG_03740, FGIG_02883
OG0000271	KAK4469463.1	FGIG_04146, FGIG_09915, FGIG_04147
OG0000272	KAK4474616.1	FGIG_07493
OG0000273	KAK4476008.1	FGIG_07763
OG0000274	KAK4470994.1	FGIG_10372
OG0000275	KAK4473868.1	FGIG_08245
OG0000276	KAK4470557.1	FGIG_08474
OG0000277	KAK4468906.1	FGIG_08916
OG0000281	KAK4467957.1	FGIG_00516
OG0000281	KAK4474290.1	FGIG_04239
OG0000281	KAK4474343.1	FGIG_10083
OG0000282	KAK4469862.1	FGIG_11572, FGIG_01087
OG0000283	KAK4471958.1	FGIG_01798
OG0000284	KAK4473458.1	FGIG_03458
OG0000285	KAK4474033.1	FGIG_03702, FGIG_03701
OG0000286	KAK4473497.1	FGIG_08247, FGIG_09211, FGIG_06296
OG0000287	KAK4470322.1	FGIG_07559
OG0000288	KAK4468827.1	FGIG_08415
OG0000289	KAK4474869.1	FGIG_11097
OG0000290	KAK4473084.1	FGIG_06528
OG0000290	KAK4475486.1	FGIG_00121
OG0000291	KAK4475323.1	FGIG_00724, FGIG_00726
OG0000292	KAK4472551.1	FGIG_01340, FGIG_10382
OG0000293	KAK4473120.1	FGIG_03259
OG0000293	KAK4471757.1	FGIG_10208, FGIG_04594
OG0000293	KAK4469130.1	FGIG_06127
OG0000294	KAK4475667.1, KAK4467246.1	FGIG_03314
OG0000295	KAK4468851.1	FGIG_04922
OG0000296	KAK4475927.1	FGIG_05009
OG0000296	KAK4475928.1	FGIG_07123, FGIG_07878, FGIG_07122
OG0000297	KAK4470949.1	FGIG_05203
OG0000298	KAK4473556.1	FGIG_10124
OG0000298	KAK4473971.1	FGIG_05892
OG0000299	KAK4471833.1	FGIG_06707
OG0000300	KAK4474560.1	FGIG_06727
OG0000301	KAK4470788.1	FGIG_07052
OG0000302	KAK4472070.1	FGIG_07305
OG0000304	KAK4474657.1, KAK4474658.1	FGIG_09605
OG0000305	KAK4469933.1	FGIG_09613, FGIG_09611, FGIG_12612
OG0000306	KAK4474242.1, KAK4476079.1	FGIG_11983, FGIG_10527
OG0000307	KAK4476060.1, KAK4468423.1	FGIG_12478
OG0000311	KAK4475143.1	FGIG_01279
OG0000312	KAK4472510.1	FGIG_09661, FGIG_01495, FGIG_09662
OG0000313	KAK4467534.1, KAK4467392.1, KAK4467538.1	FGIG_03443
OG0000314	KAK4473872.1	FGIG_03632
OG0000315	KAK4472350.1	FGIG_03911
OG0000315	KAK4471203.1	FGIG_07353, FGIG_07352
OG0000316	KAK4475212.1	FGIG_04659, FGIG_09851
OG0000317	KAK4474513.1, KAK4474523.1	FGIG_05137
OG0000318	KAK4468970.1, KAK4467294.1	FGIG_05250
OG0000319	KAK4472555.1	FGIG_06268, FGIG_06269
OG0000320	KAK4475005.1	FGIG_02124
OG0000320	KAK4472423.1	FGIG_00209
OG0000320	KAK4469809.1	FGIG_08913
OG0000321	KAK4473857.1	FGIG_00856, FGIG_00857
OG0000322	KAK4473133.1	FGIG_01204
OG0000324	KAK4469242.1	FGIG_04179
OG0000325	KAK4470078.1	FGIG_04546
OG0000326	KAK4472025.1	FGIG_04814
OG0000328	KAK4472902.1	FGIG_09711
OG0000329	KAK4474582.1	FGIG_11990
OG0000332	KAK4471340.1	FGIG_00632
OG0000333	KAK4475969.1	FGIG_01538
OG0000334	KAK4467411.1, KAK4470467.1	FGIG_02321
OG0000335	KAK4475523.1	FGIG_02931
OG0000336	KAK4475727.1	FGIG_05611
OG0000336	KAK4474964.1	FGIG_03447
OG0000337	KAK4472168.1	FGIG_07022
OG0000341	KAK4467467.1	FGIG_04690, FGIG_09203, FGIG_06869
OG0000341	KAK4467250.1	FGIG_01721, FGIG_05086, FGIG_03151, FGIG_03152, FGIG_00248, FGIG_06153, FGIG_04226, FGIG_06180, FGIG_09700, FGIG_12642, FGIG_00506, FGIG_00036, FGIG_06152, FGIG_03322, FGIG_03118, FGIG_11886, FGIG_00035, FGIG_05505, FGIG_05506, FGIG_05087, FGIG_05507
OG0000342	KAK4475138.1	FGIG_05549
OG0000342	KAK4475114.1	FGIG_00226
OG0000343	KAK4472517.1	FGIG_01634, FGIG_01635
OG0000344	KAK4475916.1	FGIG_01866
OG0000345	KAK4469954.1	FGIG_01894
OG0000346	KAK4467924.1	FGIG_09179
OG0000347	KAK4472404.1	FGIG_02160, FGIG_12660
OG0000348	KAK4475811.1, KAK4467403.1, KAK4475810.1	FGIG_03483
OG0000349	KAK4474470.1	FGIG_04573, FGIG_04572, FGIG_06122
OG0000350	KAK4473804.1	FGIG_04749
OG0000351	KAK4475929.1	FGIG_05010
OG0000352	KAK4474141.1	FGIG_05384, FGIG_11348, FGIG_05385
OG0000353	KAK4470494.1	FGIG_06289
OG0000354	KAK4475576.1	FGIG_10148, FGIG_09059
OG0000355	KAK4476092.1	FGIG_10341, FGIG_12112, FGIG_12113
OG0000356	KAK4476066.1	FGIG_10789, FGIG_10788, FGIG_10790
OG0000357	KAK4473507.1	FGIG_12459
OG0000359	KAK4474769.1	FGIG_00275
OG0000360	KAK4475054.1	FGIG_01496
OG0000361	KAK4469276.1	FGIG_02685, FGIG_02684
OG0000362	KAK4471736.1	FGIG_02801
OG0000363	KAK4473533.1	FGIG_03340, FGIG_03341, FGIG_03338
OG0000364	KAK4472841.1	FGIG_03707
OG0000365	KAK4471088.1, KAK4472119.1	FGIG_12204, FGIG_04576
OG0000366	KAK4469245.1	FGIG_06034, FGIG_09373, FGIG_12323
OG0000367	KAK4472601.1	FGIG_07381
OG0000368	KAK4475121.1	FGIG_07710, FGIG_12057
OG0000369	KAK4467393.1, KAK4475644.1	FGIG_08435
OG0000370	KAK4473705.1	FGIG_08520
OG0000371	KAK4473814.1	FGIG_08814
OG0000372	KAK4474367.1, KAK4474369.1	FGIG_08961
OG0000373	KAK4474690.1	FGIG_12324, FGIG_09323
OG0000374	KAK4473375.1	FGIG_09768
OG0000375	KAK4475736.1, KAK4467517.1	FGIG_10082
OG0000376	KAK4471759.1	FGIG_10153, FGIG_11766, FGIG_11765
OG0000378	KAK4473152.1	FGIG_11867
OG0000380	KAK4475417.1	FGIG_01104, FGIG_10893, FGIG_11041
OG0000380	KAK4475418.1	FGIG_00695
OG0000381	KAK4469535.1	FGIG_01453
OG0000381	KAK4469537.1	FGIG_01451, FGIG_01452
OG0000382	KAK4468567.1, KAK4468564.1, KAK4468566.1, KAK4467541.1, KAK4467323.1, KAK4468641.1, KAK4468644.1, KAK4468642.1	FGIG_01588, FGIG_06764
OG0000383	KAK4473926.1	FGIG_01645, FGIG_01646
OG0000384	KAK4472592.1	FGIG_01701
OG0000385	KAK4471741.1	FGIG_01970
OG0000386	KAK4475366.1	FGIG_07934, FGIG_07933, FGIG_05021, FGIG_05980
OG0000387	KAK4475570.1	FGIG_05744, FGIG_12613
OG0000388	KAK4468526.1	FGIG_06147
OG0000389	KAK4470603.1	FGIG_06300
OG0000390	KAK4468203.1	FGIG_06318
OG0000391	KAK4474521.1	FGIG_06566, FGIG_07343
OG0000392	KAK4471811.1	FGIG_06786
OG0000393	KAK4469470.1	FGIG_06864
OG0000394	KAK4471941.1	FGIG_12663, FGIG_07717
OG0000395	KAK4470950.1	FGIG_07807
OG0000396	KAK4467519.1, KAK4475731.1	FGIG_07980
OG0000397	KAK4470932.1	FGIG_07986
OG0000398	KAK4475045.1, KAK4475519.1, KAK4475514.1	FGIG_08346, FGIG_08154
OG0000399	KAK4473103.1, KAK4473104.1	FGIG_08267
OG0000400	KAK4473612.1, KAK4473602.1, KAK4474079.1	FGIG_12136, FGIG_08348, FGIG_09690, FGIG_09691
OG0000401	KAK4467755.1	FGIG_10170, FGIG_10171
OG0000402	KAK4474603.1	FGIG_12370, FGIG_11519, FGIG_12593
OG0000403	KAK4475601.1, KAK4475602.1	FGIG_11602
OG0000405	KAK4473889.1	FGIG_00540, FGIG_04407, FGIG_00542, FGIG_00541
OG0000406	KAK4473809.1	FGIG_00915
OG0000407	KAK4471734.1	FGIG_01328
OG0000408	KAK4472973.1	FGIG_01770
OG0000409	KAK4468703.1	FGIG_01990
OG0000410	KAK4471325.1	FGIG_06197
OG0000411	KAK4472925.1	FGIG_03726
OG0000412	KAK4470212.1	FGIG_04797
OG0000413	KAK4471924.1	FGIG_05095
OG0000414	KAK4475938.1	FGIG_05869
OG0000415	KAK4472715.1	FGIG_06429
OG0000416	KAK4468438.1	FGIG_10985, FGIG_07789, FGIG_12457
OG0000416	KAK4468726.1	FGIG_07250
OG0000417	KAK4469705.1	FGIG_07860
OG0000418	KAK4467700.1	FGIG_07977, FGIG_11738, FGIG_12450
OG0000419	KAK4475912.1, KAK4475910.1	FGIG_09307
OG0000420	KAK4469112.1	FGIG_09853
OG0000421	KAK4471594.1	FGIG_09942
OG0000422	KAK4469383.1	FGIG_10041
OG0000425	KAK4472740.1	FGIG_00596
OG0000426	KAK4469886.1, KAK4469884.1	FGIG_00984
OG0000427	KAK4469545.1	FGIG_01900, FGIG_06350
OG0000428	KAK4473446.1	FGIG_02141, FGIG_04993, FGIG_02140
OG0000429	KAK4467920.1	FGIG_05114
OG0000429	KAK4473670.1	FGIG_08773
OG0000430	KAK4472238.1	FGIG_02540, FGIG_02734
OG0000431	KAK4469274.1	FGIG_02682
OG0000432	KAK4467945.1	FGIG_02953
OG0000433	KAK4473662.1	FGIG_03051
OG0000434	KAK4467761.1	FGIG_07436, FGIG_07788, FGIG_12172, FGIG_03250
OG0000435	KAK4469872.1	FGIG_03380, FGIG_03381
OG0000436	KAK4473268.1	FGIG_04181
OG0000437	KAK4475593.1	FGIG_04672
OG0000438	KAK4471311.1	FGIG_04722
OG0000439	KAK4468198.1	FGIG_05052
OG0000440	KAK4468410.1, KAK4468411.1	FGIG_05435
OG0000441	KAK4476204.1	FGIG_06666
OG0000441	KAK4474578.1	FGIG_10681, FGIG_09295
OG0000442	KAK4474032.1	FGIG_06753
OG0000443	KAK4475883.1, KAK4475884.1	FGIG_07760
OG0000444	KAK4470100.1	FGIG_09462, FGIG_11910, FGIG_09471
OG0000445	KAK4471266.1, KAK4471265.1	FGIG_11201
OG0000447	KAK4469770.1	FGIG_00135
OG0000448	KAK4472646.1	FGIG_00556
OG0000449	KAK4471127.1	FGIG_00826
OG0000450	KAK4473185.1	FGIG_01291, FGIG_04679
OG0000451	KAK4468749.1	FGIG_01553
OG0000452	KAK4473733.1	FGIG_03230
OG0000453	KAK4471747.1	FGIG_04192
OG0000454	KAK4470198.1	FGIG_09647
OG0000455	KAK4467551.1, KAK4467556.1, KAK4467557.1, KAK4467558.1	FGIG_06485
OG0000456	KAK4470105.1	FGIG_08883
