Orthogroup	s.mekongi	opisthorchis_viverrini
OG0000034	KAK4468479.1, KAK4468478.1, KAK4471028.1, KAK4471029.1	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005
OG0000035	KAK4475274.1	T265_00972
OG0000036	KAK4472140.1, KAK4468990.1, KAK4474348.1, KAK4471044.1, KAK4467539.1, KAK4472178.1, KAK4474273.1	T265_15083
OG0000037	KAK4471851.1, KAK4471850.1	T265_00630
OG0000042	KAK4472150.1, KAK4472153.1, KAK4473688.1, KAK4472151.1, KAK4472152.1	T265_12048, T265_11239, T265_15548, T265_15551
OG0000044	KAK4468903.1, KAK4468904.1	T265_05071, T265_05072, T265_08625, T265_11935
OG0000049	KAK4470136.1, KAK4470137.1	T265_01286
OG0000049	KAK4470598.1	T265_15552
OG0000050	KAK4469367.1	T265_02127, T265_02652
OG0000052	KAK4472821.1	T265_08730, T265_12065
OG0000052	KAK4474336.1	T265_04421
OG0000052	KAK4474946.1	T265_02480
OG0000052	KAK4471620.1	T265_06797
OG0000053	KAK4475177.1, KAK4475178.1	T265_11166
OG0000054	KAK4471074.1, KAK4472139.1, KAK4469996.1	T265_02804
OG0000055	KAK4471575.1, KAK4471564.1	T265_07023
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	T265_13933
OG0000058	KAK4468525.1	T265_07455
OG0000058	KAK4470069.1	T265_13746
OG0000060	KAK4471247.1	T265_13025
OG0000061	KAK4469486.1	T265_02884
OG0000062	KAK4475970.1	T265_10452
OG0000063	KAK4473734.1	T265_09823
OG0000064	KAK4475705.1	T265_15306
OG0000065	KAK4473358.1, KAK4473352.1, KAK4473355.1, KAK4473357.1	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335
OG0000066	KAK4473833.1	T265_07972
OG0000068	KAK4469181.1	T265_12520
OG0000068	KAK4467758.1	T265_06616
OG0000068	KAK4473996.1, KAK4473997.1, KAK4473998.1	T265_13582
OG0000068	KAK4472801.1	T265_03815
OG0000070	KAK4472878.1	T265_10197
OG0000071	KAK4472253.1	T265_11263, T265_11264
OG0000072	KAK4468648.1	T265_13598
OG0000073	KAK4469816.1	T265_11926
OG0000074	KAK4476006.1	T265_06662
OG0000074	KAK4468714.1	T265_09755
OG0000074	KAK4474596.1	T265_14825
OG0000074	KAK4468705.1	T265_13709
OG0000075	KAK4472282.1	T265_02596
OG0000076	KAK4468620.1	T265_01838
OG0000076	KAK4467358.1, KAK4475671.1	T265_09657, T265_14927
OG0000077	KAK4475941.1	T265_07170
OG0000078	KAK4467476.1, KAK4475827.1	T265_10237, T265_16023
OG0000079	KAK4472724.1	T265_03623
OG0000080	KAK4472503.1	T265_07150, T265_07149
OG0000081	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1	T265_01189, T265_06107, T265_02619, T265_12063
OG0000082	KAK4476263.1	T265_13150
OG0000085	KAK4474010.1	T265_03464, T265_13261, T265_16244
OG0000086	KAK4470561.1	T265_13900
OG0000087	KAK4469513.1	T265_01347, T265_12258
OG0000090	KAK4469374.1	T265_02657, T265_14540
OG0000091	KAK4469611.1	T265_04053
OG0000092	KAK4475365.1	T265_14035, T265_15099
OG0000092	KAK4474711.1	T265_03205
OG0000093	KAK4473668.1	T265_08704
OG0000093	KAK4467328.1, KAK4467335.1	T265_06064, T265_06061, T265_06063
OG0000094	KAK4475997.1	T265_06493
OG0000095	KAK4471403.1, KAK4471978.1	T265_08487
OG0000096	KAK4474123.1	T265_09813
OG0000097	KAK4476042.1, KAK4476041.1	T265_02082
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	T265_08810
OG0000098	KAK4471639.1	T265_16367, T265_15515
OG0000099	KAK4471562.1	T265_01131
OG0000099	KAK4470190.1	T265_02321
OG0000102	KAK4475905.1	T265_01574
OG0000102	KAK4472110.1	T265_05632
OG0000103	KAK4470657.1	T265_13207
OG0000105	KAK4474244.1, KAK4476082.1	T265_07815, T265_03022
OG0000107	KAK4469978.1	T265_07863
OG0000108	KAK4475981.1	T265_04554, T265_13536
OG0000110	KAK4472451.1, KAK4472446.1	T265_08891, T265_08892
OG0000110	KAK4472453.1	T265_08890
OG0000111	KAK4473064.1	T265_09132
OG0000111	KAK4472666.1	T265_08991, T265_14719
OG0000112	KAK4468035.1	T265_10678
OG0000114	KAK4467770.1	T265_15923, T265_05226, T265_11486
OG0000115	KAK4473986.1	T265_14637
OG0000116	KAK4469396.1	T265_02129
OG0000117	KAK4472459.1	T265_11206
OG0000119	KAK4467682.1	T265_12920
OG0000120	KAK4472468.1	T265_09108
OG0000122	KAK4470066.1	T265_15228, T265_15224
OG0000123	KAK4470855.1	T265_02792
OG0000125	KAK4474534.1	T265_13688
OG0000127	KAK4475492.1	T265_14567
OG0000128	KAK4473532.1	T265_14408
OG0000129	KAK4474206.1	T265_07587
OG0000130	KAK4467983.1	T265_04661
OG0000131	KAK4476229.1, KAK4468902.1	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523
OG0000132	KAK4474101.1	T265_00680
OG0000133	KAK4472626.1	T265_04893
OG0000134	KAK4475011.1	T265_14784
OG0000135	KAK4474731.1	T265_07991, T265_11510
OG0000136	KAK4476189.1, KAK4476190.1	T265_11527
OG0000138	KAK4468744.1	T265_11205
OG0000138	KAK4473697.1	T265_13897
OG0000139	KAK4475677.1	T265_03450
OG0000140	KAK4470680.1, KAK4470033.1	T265_06793, T265_05820
OG0000142	KAK4475021.1, KAK4475019.1, KAK4475022.1	T265_03704, T265_07291, T265_15439
OG0000143	KAK4471520.1, KAK4471522.1	T265_04146, T265_13432
OG0000144	KAK4469871.1	T265_01304
OG0000144	KAK4473145.1	T265_12086
OG0000144	KAK4469772.1	T265_06668, T265_13782
OG0000145	KAK4472181.1	T265_14746
OG0000146	KAK4468443.1	T265_07748
OG0000146	KAK4469748.1	T265_07423, T265_07424
OG0000146	KAK4472748.1	T265_08388
OG0000146	KAK4469097.1	T265_03861
OG0000149	KAK4469180.1	T265_03520
OG0000151	KAK4471438.1, KAK4471439.1	T265_06094
OG0000152	KAK4474412.1	T265_06135
OG0000153	KAK4469387.1	T265_16031, T265_12191, T265_02887, T265_13113
OG0000154	KAK4475184.1, KAK4475186.1	T265_03183
OG0000155	KAK4473822.1	T265_08299
OG0000156	KAK4475038.1	T265_00887, T265_16074
OG0000156	KAK4475039.1	T265_03696, T265_15374
OG0000157	KAK4471808.1	T265_06998, T265_11481
OG0000157	KAK4472697.1	T265_01460, T265_12799
OG0000157	KAK4467690.1	T265_09530, T265_09531, T265_14875
OG0000158	KAK4475829.1, KAK4473934.1, KAK4475828.1	T265_15093
OG0000159	KAK4471746.1	T265_08123
OG0000160	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1	T265_10045
OG0000161	KAK4474169.1	T265_02978
OG0000164	KAK4471960.1	T265_13175
OG0000164	KAK4470406.1	T265_00011
OG0000164	KAK4469800.1	T265_00309
OG0000164	KAK4472495.1	T265_07457
OG0000165	KAK4471264.1	T265_11439
OG0000167	KAK4470364.1	T265_06764
OG0000169	KAK4467756.1, KAK4472610.1	T265_09476
OG0000169	KAK4467718.1, KAK4467716.1, KAK4467717.1	T265_02738, T265_02739, T265_02737
OG0000170	KAK4470632.1	T265_12986
OG0000172	KAK4475142.1	T265_00976
OG0000173	KAK4468268.1	T265_02233
OG0000175	KAK4473136.1, KAK4473125.1, KAK4473114.1, KAK4473106.1	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591
OG0000176	KAK4467326.1, KAK4474298.1	T265_11069
OG0000177	KAK4472104.1	T265_00175
OG0000178	KAK4472894.1	T265_14067, T265_06556, T265_06557
OG0000179	KAK4469016.1, KAK4469902.1	T265_00043
OG0000180	KAK4468049.1, KAK4468060.1, KAK4468069.1, KAK4468040.1	T265_07809
OG0000182	KAK4471145.1	T265_01820, T265_01818
OG0000182	KAK4472799.1	T265_15629, T265_15631
OG0000183	KAK4472516.1	T265_03893
OG0000184	KAK4469199.1	T265_08817, T265_08819
OG0000184	KAK4469198.1	T265_01209, T265_01210, T265_16188
OG0000185	KAK4472507.1	T265_08504
OG0000186	KAK4470241.1, KAK4470242.1	T265_11314
OG0000187	KAK4469682.1	T265_00019
OG0000188	KAK4472612.1	T265_08339
OG0000189	KAK4476062.1	T265_02452, T265_02451
OG0000190	KAK4469926.1	T265_05088
OG0000191	KAK4473909.1, KAK4473910.1	T265_04702, T265_04703
OG0000192	KAK4471381.1	T265_05152, T265_13696
OG0000193	KAK4471189.1	T265_12730, T265_08127
OG0000194	KAK4470371.1	T265_13065
OG0000195	KAK4469314.1	T265_01951
OG0000196	KAK4468938.1	T265_01003, T265_08738
OG0000196	KAK4474524.1	T265_13637
OG0000198	KAK4474280.1	T265_15102
OG0000199	KAK4472571.1	T265_11013
OG0000201	KAK4473643.1	T265_08652
OG0000202	KAK4469384.1	T265_10935
OG0000203	KAK4472530.1, KAK4472529.1	T265_11084
OG0000205	KAK4475157.1	T265_09508
OG0000206	KAK4474171.1	T265_14079
OG0000207	KAK4474093.1, KAK4474090.1, KAK4474092.1, KAK4474089.1, KAK4474091.1	T265_08744, T265_03601, T265_08745, T265_03786, T265_10778
OG0000208	KAK4470297.1	T265_08097
OG0000209	KAK4476246.1	T265_07713
OG0000210	KAK4468068.1	T265_02395, T265_06283
OG0000211	KAK4476043.1	T265_11721
OG0000212	KAK4473242.1	T265_13666
OG0000213	KAK4474754.1	T265_00196
OG0000214	KAK4475773.1	T265_07833
OG0000217	KAK4472243.1	T265_09745
OG0000218	KAK4474847.1	T265_14088
OG0000219	KAK4471869.1	T265_02042
OG0000220	KAK4470648.1	T265_02843
OG0000221	KAK4476180.1	T265_08529, T265_14604
OG0000221	KAK4467410.1, KAK4475529.1	T265_06922
OG0000222	KAK4470706.1	T265_06992
OG0000223	KAK4476292.1	T265_10052
OG0000224	KAK4475913.1	T265_04345
OG0000225	KAK4475585.1	T265_12484
OG0000226	KAK4474133.1	T265_14337
OG0000227	KAK4471428.1	T265_07183
OG0000228	KAK4473445.1	T265_08398
OG0000229	KAK4472065.1	T265_08218, T265_14510
OG0000230	KAK4471407.1	T265_12726
OG0000234	KAK4473948.1	T265_10531
OG0000235	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1	T265_12698, T265_01014
OG0000236	KAK4469919.1	T265_03312
OG0000237	KAK4469703.1	T265_01303
OG0000239	KAK4473024.1	T265_04264
OG0000240	KAK4472743.1	T265_07380, T265_07378
OG0000241	KAK4476019.1, KAK4476020.1	T265_06506, T265_11039
OG0000241	KAK4473290.1	T265_07506
OG0000242	KAK4475949.1	T265_13733
OG0000243	KAK4475854.1, KAK4475855.1	T265_05124
OG0000244	KAK4475963.1	T265_15435
OG0000245	KAK4475214.1	T265_14174, T265_14575
OG0000246	KAK4472531.1	T265_10932
OG0000247	KAK4475795.1	T265_15298
OG0000248	KAK4471206.1	T265_04925
OG0000249	KAK4475119.1	T265_03415
OG0000250	KAK4473679.1	T265_06450
OG0000251	KAK4470876.1	T265_09163
OG0000252	KAK4473757.1	T265_02607
OG0000253	KAK4474966.1	T265_10374
OG0000254	KAK4476211.1	T265_06296, T265_06297
OG0000255	KAK4472819.1	T265_13093
OG0000257	KAK4472840.1	T265_14891
OG0000258	KAK4474630.1, KAK4474631.1	T265_07887
OG0000259	KAK4472857.1	T265_11833
OG0000260	KAK4475472.1	T265_02300
OG0000261	KAK4471010.1	T265_01967
OG0000262	KAK4472696.1	T265_02991
OG0000263	KAK4471877.1	T265_01552
OG0000264	KAK4468105.1	T265_06018
OG0000264	KAK4475793.1, KAK4467257.1	T265_00952
OG0000267	KAK4468325.1, KAK4468328.1	T265_06971, T265_06972
OG0000268	KAK4470182.1	T265_01937
OG0000268	KAK4476119.1	T265_14773
OG0000269	KAK4475673.1, KAK4467473.1	T265_07262
OG0000270	KAK4472943.1	T265_05581
OG0000271	KAK4469463.1	T265_15071
OG0000272	KAK4474616.1	T265_07370, T265_06215
OG0000273	KAK4476008.1	T265_01594
OG0000274	KAK4470994.1	T265_12983
OG0000275	KAK4473868.1	T265_10067
OG0000276	KAK4470557.1	T265_02335
OG0000281	KAK4474290.1	T265_06212
OG0000281	KAK4474343.1	T265_15299
OG0000282	KAK4469862.1	T265_14842
OG0000283	KAK4471958.1	T265_15051
OG0000285	KAK4474033.1	T265_08710
OG0000286	KAK4473497.1	T265_04472, T265_04474, T265_04727
OG0000287	KAK4470322.1	T265_10894
OG0000288	KAK4468827.1	T265_09141
OG0000289	KAK4474869.1	T265_15426
OG0000290	KAK4473084.1	T265_15145
OG0000290	KAK4475486.1	T265_12657
OG0000291	KAK4475323.1	T265_04365
OG0000292	KAK4472551.1	T265_06608
OG0000293	KAK4473120.1	T265_03762, T265_05025
OG0000293	KAK4471757.1	T265_15333
OG0000293	KAK4469130.1	T265_10243
OG0000294	KAK4475667.1, KAK4467246.1	T265_09655
OG0000295	KAK4468851.1	T265_14299
OG0000296	KAK4475927.1	T265_14159, T265_14160
OG0000296	KAK4475928.1	T265_05818
OG0000297	KAK4470949.1	T265_10571
OG0000298	KAK4473556.1	T265_13422
OG0000298	KAK4473971.1	T265_13679
OG0000299	KAK4471833.1	T265_00596
OG0000300	KAK4474560.1	T265_13509
OG0000301	KAK4470788.1	T265_12938
OG0000302	KAK4472070.1	T265_10713
OG0000304	KAK4474657.1, KAK4474658.1	T265_12343, T265_14866
OG0000305	KAK4469933.1	T265_05934
OG0000306	KAK4474242.1, KAK4476079.1	T265_14560
OG0000307	KAK4476060.1, KAK4468423.1	T265_07841
OG0000311	KAK4475143.1	T265_00973
OG0000312	KAK4472510.1	T265_01921
OG0000313	KAK4467534.1, KAK4467392.1, KAK4467538.1	T265_09150
OG0000314	KAK4473872.1	T265_01890
OG0000315	KAK4472350.1	T265_11685, T265_11690
OG0000315	KAK4471203.1	T265_04922
OG0000316	KAK4475212.1	T265_01535
OG0000317	KAK4474513.1, KAK4474523.1	T265_05123
OG0000318	KAK4468970.1, KAK4467294.1	T265_07846, T265_14409
OG0000319	KAK4472555.1	T265_01888
OG0000320	KAK4472423.1	T265_07800
OG0000320	KAK4469809.1	T265_04040
OG0000321	KAK4473857.1	T265_04495
OG0000322	KAK4473133.1	T265_16264, T265_11089, T265_16340
OG0000323	KAK4474841.1, KAK4474302.1	T265_03109
OG0000324	KAK4469242.1	T265_14121, T265_06759
OG0000325	KAK4470078.1	T265_01773
OG0000326	KAK4472025.1	T265_00641, T265_03157
OG0000328	KAK4472902.1	T265_14757, T265_16117
OG0000329	KAK4474582.1	T265_09935
OG0000332	KAK4471340.1	T265_06732
OG0000333	KAK4475969.1	T265_12002, T265_16355
OG0000334	KAK4467411.1, KAK4470467.1	T265_01786, T265_13083
OG0000335	KAK4475523.1	T265_00217
OG0000336	KAK4475727.1	T265_10908
OG0000336	KAK4474964.1	T265_00993
OG0000337	KAK4472168.1	T265_00559
OG0000339	KAK4467425.1, KAK4472411.1	T265_13393
OG0000340	KAK4467851.1	T265_02762
OG0000341	KAK4467250.1	T265_00227, T265_10507, T265_02670, T265_11860, T265_02303, T265_07144, T265_12151, T265_10850, T265_01497, T265_10851, T265_12148
OG0000342	KAK4475138.1	T265_06197
OG0000342	KAK4475770.1	T265_03316
OG0000342	KAK4475114.1	T265_12666
OG0000343	KAK4472517.1	T265_13980
OG0000344	KAK4475916.1	T265_08425
OG0000345	KAK4469954.1	T265_05949
OG0000346	KAK4467924.1	T265_02834
OG0000347	KAK4472404.1	T265_10741
OG0000348	KAK4475811.1, KAK4467403.1, KAK4475810.1	T265_16293, T265_14984, T265_16184
OG0000349	KAK4474470.1	T265_04375
OG0000350	KAK4473804.1	T265_06604
OG0000351	KAK4475929.1	T265_06873
OG0000352	KAK4474141.1	T265_13524
OG0000353	KAK4470494.1	T265_07437
OG0000354	KAK4475576.1	T265_10467
OG0000355	KAK4476092.1	T265_00276, T265_16001
OG0000356	KAK4476066.1	T265_05555
OG0000357	KAK4473507.1	T265_04749
OG0000359	KAK4474769.1	T265_02465
OG0000360	KAK4475054.1	T265_09152
OG0000361	KAK4469276.1	T265_00382
OG0000362	KAK4471736.1	T265_09349
OG0000363	KAK4473533.1	T265_04138
OG0000364	KAK4472841.1	T265_04227
OG0000365	KAK4471088.1, KAK4472119.1	T265_13943
OG0000366	KAK4469245.1	T265_09296, T265_14802
OG0000367	KAK4472601.1	T265_01910
OG0000368	KAK4475121.1	T265_13246, T265_13243
OG0000369	KAK4467393.1, KAK4475644.1	T265_07721, T265_07722
OG0000370	KAK4473705.1	T265_00271, T265_00274, T265_03617, T265_00269, T265_00272
OG0000371	KAK4473814.1	T265_06459
OG0000372	KAK4474367.1, KAK4474369.1	T265_01134, T265_03329
OG0000373	KAK4474690.1	T265_14558
OG0000374	KAK4473375.1	T265_11863
OG0000375	KAK4475736.1, KAK4467517.1	T265_06672
OG0000376	KAK4471759.1	T265_11878
OG0000378	KAK4473152.1	T265_05203
OG0000380	KAK4475417.1	T265_15157, T265_03707
OG0000381	KAK4469535.1	T265_00434, T265_15881
OG0000381	KAK4469537.1	T265_00435
OG0000382	KAK4468567.1, KAK4468564.1, KAK4468566.1, KAK4467541.1, KAK4467323.1, KAK4468641.1, KAK4468644.1, KAK4468642.1	T265_02482
OG0000383	KAK4473926.1	T265_08239
OG0000384	KAK4472592.1	T265_09198, T265_09197
OG0000385	KAK4471741.1	T265_01125
OG0000385	KAK4471739.1	T265_09329, T265_09330
OG0000386	KAK4475366.1	T265_11583
OG0000387	KAK4475570.1	T265_06420
OG0000388	KAK4468526.1	T265_11998
OG0000389	KAK4470603.1	T265_00782
OG0000390	KAK4468203.1	T265_11108, T265_11109
OG0000391	KAK4474521.1	T265_09227
OG0000392	KAK4471811.1	T265_14483
OG0000393	KAK4469470.1	T265_15423
OG0000394	KAK4471941.1	T265_08783
OG0000395	KAK4470950.1	T265_08193
OG0000396	KAK4467519.1, KAK4475731.1	T265_13488
OG0000397	KAK4470932.1	T265_01775
OG0000398	KAK4475045.1, KAK4475519.1, KAK4475514.1	T265_10761, T265_10760
OG0000399	KAK4473103.1, KAK4473104.1	T265_14889, T265_03269
OG0000400	KAK4473612.1, KAK4473602.1, KAK4474079.1	T265_14201, T265_08063, T265_08065, T265_10204
OG0000401	KAK4467755.1	T265_05655
OG0000405	KAK4473889.1	T265_09724
OG0000406	KAK4473809.1	T265_05341
OG0000407	KAK4471734.1	T265_12731
OG0000408	KAK4472973.1	T265_07479
OG0000409	KAK4468703.1	T265_03788
OG0000411	KAK4472925.1	T265_13195
OG0000412	KAK4470212.1	T265_09842
OG0000413	KAK4471924.1	T265_02540
OG0000414	KAK4475938.1	T265_06878, T265_06876, T265_06877
OG0000415	KAK4472715.1	T265_13626, T265_04888
OG0000416	KAK4468438.1	T265_07350
OG0000416	KAK4468726.1	T265_09488
OG0000417	KAK4469705.1	T265_01300
OG0000418	KAK4467700.1	T265_07406, T265_14544
OG0000419	KAK4475912.1, KAK4475910.1	T265_00950
OG0000420	KAK4469112.1	T265_01216
OG0000421	KAK4471594.1	T265_13603
OG0000422	KAK4469383.1	T265_01327
OG0000425	KAK4472740.1	T265_00752
OG0000426	KAK4469886.1, KAK4469884.1	T265_12440
OG0000427	KAK4469545.1	T265_13396
OG0000428	KAK4473446.1	T265_08399
OG0000429	KAK4467920.1	T265_07901
OG0000429	KAK4473670.1	T265_10847
OG0000430	KAK4472238.1	T265_11497
OG0000431	KAK4469274.1	T265_00379
OG0000432	KAK4467945.1	T265_10186
OG0000433	KAK4473662.1	T265_13054
OG0000434	KAK4467761.1	T265_05326
OG0000435	KAK4469872.1	T265_01204
OG0000436	KAK4473268.1	T265_03713
OG0000437	KAK4475593.1	T265_13806
OG0000438	KAK4471311.1	T265_09760
OG0000439	KAK4468198.1	T265_02427
OG0000440	KAK4468410.1, KAK4468411.1	T265_08332
OG0000441	KAK4476204.1	T265_00253
OG0000441	KAK4474578.1	T265_07836
OG0000442	KAK4474032.1	T265_09824
OG0000444	KAK4470100.1	T265_11552
OG0000445	KAK4471266.1, KAK4471265.1	T265_12793
OG0000446	KAK4476206.1	T265_02125
OG0000447	KAK4469770.1	T265_03299
OG0000448	KAK4472646.1	T265_05426
OG0000449	KAK4471127.1	T265_03361
OG0000450	KAK4473185.1	T265_11348, T265_01101
OG0000451	KAK4468749.1	T265_05748
OG0000452	KAK4473733.1	T265_09821
OG0000453	KAK4471747.1	T265_06719
OG0000454	KAK4470198.1	T265_02660
OG0000455	KAK4467551.1, KAK4467556.1, KAK4467557.1, KAK4467558.1	T265_13543
OG0000456	KAK4470105.1	T265_00028
OG0000457	KAK4472829.1, KAK4472828.1	T265_06520
OG0000458	KAK4472547.1	T265_14731
OG0000459	KAK4476162.1	T265_12673
OG0000460	KAK4474648.1, KAK4467531.1, KAK4474647.1	T265_02175
OG0000465	KAK4470509.1	T265_12004, T265_15852
OG0000466	KAK4469330.1	T265_00717, T265_09088
OG0000467	KAK4473827.1	T265_06392, T265_14024, T265_15837
OG0000468	KAK4470611.1	T265_13212
OG0000469	KAK4475681.1, KAK4475679.1	T265_06265
OG0000470	KAK4469640.1	T265_02354
OG0000471	KAK4468673.1	T265_04176
OG0000472	KAK4473823.1	T265_08287, T265_14526, T265_08288
OG0000473	KAK4475783.1	T265_09380
OG0000474	KAK4474977.1	T265_02290
OG0000474	KAK4469729.1	T265_12460
OG0000475	KAK4471300.1, KAK4471299.1	T265_14673
OG0000476	KAK4475400.1	T265_07244
OG0000477	KAK4469093.1	T265_01343
OG0000479	KAK4472631.1	T265_11380
OG0000480	KAK4471463.1	T265_00389, T265_13589, T265_12846, T265_01772, T265_01033, T265_11693, T265_01859, T265_07661, T265_10676, T265_03719, T265_08374, T265_04371, T265_02027, T265_11038, T265_06133, T265_09446, T265_08269, T265_15662, T265_11568, T265_08423, T265_12491, T265_15632, T265_04892, T265_02994, T265_13852, T265_01186, T265_13974, T265_12776, T265_05455, T265_09979, T265_00308, T265_04912, T265_05271, T265_00689, T265_08138, T265_05417, T265_10575, T265_14180, T265_01804, T265_00016, T265_09320, T265_09509, T265_04945, T265_00925, T265_02510, T265_10253, T265_03397
OG0000481	KAK4471219.1	T265_00530
OG0000482	KAK4474371.1	T265_12690
OG0000483	KAK4471160.1	T265_06074
OG0000484	KAK4467873.1	T265_09654
OG0000485	KAK4474743.1	T265_13168
OG0000490	KAK4471519.1	T265_01437, T265_16063
OG0000491	KAK4472485.1	T265_14314
OG0000493	KAK4469124.1	T265_15065
OG0000493	KAK4472786.1, KAK4472785.1	T265_15185, T265_10559
OG0000494	KAK4470618.1, KAK4470758.1, KAK4476182.1, KAK4472408.1	T265_10046
OG0000495	KAK4475594.1	T265_15686
OG0000496	KAK4473897.1	T265_07584
OG0000497	KAK4475832.1	T265_07772
OG0000498	KAK4472209.1	T265_12716, T265_12902
OG0000499	KAK4470653.1	T265_12977
OG0000500	KAK4475112.1	T265_12964
OG0000501	KAK4472851.1	T265_13462
OG0000502	KAK4474193.1, KAK4474094.1	T265_07436, T265_06036
OG0000503	KAK4475659.1	T265_11949
OG0000504	KAK4469069.1	T265_03966
OG0000505	KAK4473033.1	T265_12584
OG0000506	KAK4475979.1, KAK4475980.1	T265_07729, T265_16032
OG0000507	KAK4472652.1	T265_02979, T265_07797, T265_07796
OG0000508	KAK4475295.1	T265_10226, T265_16175
OG0000509	KAK4469240.1, KAK4469667.1	T265_06851, T265_06853, T265_06854, T265_14152
OG0000510	KAK4470887.1, KAK4470889.1	T265_03984, T265_03985, T265_13373
OG0000512	KAK4469151.1	T265_12454
OG0000514	KAK4469103.1	T265_01214, T265_01215
OG0000515	KAK4474608.1	T265_00984, T265_00985
OG0000516	KAK4471404.1, KAK4471405.1	T265_03354
OG0000517	KAK4472849.1	T265_01106
OG0000521	KAK4470167.1	T265_12415
