Orthogroup	s.mekongi	schistosoma_bovis
OG0000029	KAK4468717.1	SBOV2_86480.1
OG0000029	KAK4468778.1	SBOV2_86450.1, SBOV2_96800.1
OG0000029	KAK4474996.1	SBOV2_19870.1
OG0000029	KAK4474996.1	SBOV2_19870.2
OG0000029	KAK4474996.1	SBOV2_19870.3
OG0000029	KAK4474996.1	SBOV2_19870.4
OG0000029	KAK4468699.1	SBOV2_87380.1
OG0000030	KAK4476063.1	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	KAK4475389.1	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	KAK4476285.1	SBOV2_10100.1
OG0000032	KAK4470045.1	SBOV2_9410.1, SBOV2_78820.1, SBOV2_78800.1
OG0000033	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1	SBOV2_16080.1, SBOV2_74200.1, SBOV2_96030.1, SBOV2_96030.2, SBOV2_16090.1, SBOV2_60740.1, SBOV2_91630.1, SBOV2_16490.1, SBOV2_47110.1, SBOV2_60670.1, SBOV2_18690.1
OG0000034	KAK4468479.1	SBOV2_90790.1
OG0000034	KAK4468478.1	SBOV2_90780.1, SBOV2_90770.1
OG0000034	KAK4471028.1, KAK4471029.1	SBOV2_56880.1, SBOV2_56890.1, SBOV2_56930.1, SBOV2_56900.1
OG0000035	KAK4475274.1	SBOV2_14610.9, SBOV2_14610.17, SBOV2_14610.19, SBOV2_14610.20, SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1, SBOV2_14610.12, SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26, SBOV2_14610.4
OG0000036	KAK4470022.1	SBOV2_8200.1, SBOV2_23050.1
OG0000037	KAK4471851.1	SBOV2_59320.1, SBOV2_59490.1, SBOV2_59490.2
OG0000037	KAK4471850.1	SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5, SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2
OG0000041	KAK4470035.1, KAK4472130.1, KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1	SBOV2_31710.1, SBOV2_31710.2
OG0000042	KAK4472150.1	SBOV2_27900.1
OG0000042	KAK4472153.1	SBOV2_27910.1, SBOV2_27910.2
OG0000042	KAK4473688.1	SBOV2_27970.1
OG0000042	KAK4472151.1, KAK4472152.1	SBOV2_27960.4, SBOV2_27960.6, SBOV2_27920.1, SBOV2_27940.1, SBOV2_27950.1, SBOV2_27960.3, SBOV2_27930.1, SBOV2_27960.5, SBOV2_27960.2, SBOV2_27960.1
OG0000044	KAK4468903.1	SBOV2_85070.1, SBOV2_85080.1
OG0000044	KAK4468904.1	SBOV2_85100.1, SBOV2_85120.1, SBOV2_85130.1
OG0000045	KAK4468037.1	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6
OG0000045	KAK4470284.1	SBOV2_3860.1
OG0000049	KAK4470136.1, KAK4470137.1	SBOV2_69310.2, SBOV2_69310.1, SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5
OG0000049	KAK4470598.1	SBOV2_72720.4, SBOV2_72720.3, SBOV2_72720.5, SBOV2_72720.2, SBOV2_72720.6, SBOV2_72720.1, SBOV2_72720.7
OG0000050	KAK4469367.1	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8, SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12
OG0000052	KAK4472821.1	SBOV2_38940.1, SBOV2_38940.2
OG0000052	KAK4474336.1	SBOV2_3270.1
OG0000052	KAK4474374.1	SBOV2_990.1, SBOV2_990.2
OG0000052	KAK4474946.1	SBOV2_1730.1
OG0000052	KAK4471620.1	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3
OG0000053	KAK4475177.1, KAK4475178.1	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9, SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7
OG0000054	KAK4471025.1, KAK4468371.1, KAK4474289.1	SBOV2_23060.1, SBOV2_13380.1, SBOV2_23070.1
OG0000055	KAK4471575.1, KAK4471564.1	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	SBOV2_41870.1, SBOV2_88120.1, SBOV2_96280.3, SBOV2_24970.1, SBOV2_24970.2, SBOV2_1650.1, SBOV2_1650.2, SBOV2_39410.1, SBOV2_96410.1, SBOV2_96280.2, SBOV2_96280.1, SBOV2_96280.4, SBOV2_96240.1, SBOV2_44710.1
OG0000057	KAK4468384.1, KAK4470043.1	SBOV2_19440.1, SBOV2_36360.1, SBOV2_10510.1
OG0000058	KAK4468525.1	SBOV2_88040.2, SBOV2_88040.1
OG0000058	KAK4470069.1	SBOV2_79500.1
OG0000058	KAK4470074.1, KAK4470072.1	SBOV2_79520.1, SBOV2_79550.2, SBOV2_79550.3, SBOV2_79550.4, SBOV2_79550.6, SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7
OG0000058	KAK4470068.1	SBOV2_79490.2, SBOV2_79490.1
OG0000060	KAK4471247.1	SBOV2_64940.2, SBOV2_64940.17, SBOV2_64940.4, SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15
OG0000061	KAK4469486.1	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6
OG0000062	KAK4475970.1	SBOV2_6080.14, SBOV2_6080.15, SBOV2_6080.5, SBOV2_6080.7, SBOV2_6080.1, SBOV2_6080.10, SBOV2_6080.2, SBOV2_6080.3, SBOV2_6080.9, SBOV2_6080.13, SBOV2_6080.6, SBOV2_6080.8, SBOV2_6080.11, SBOV2_6080.4, SBOV2_6080.12
OG0000063	KAK4473734.1	SBOV2_28360.11, SBOV2_28360.6, SBOV2_28360.3, SBOV2_28360.5, SBOV2_28360.10, SBOV2_28360.4, SBOV2_28360.8, SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9
OG0000064	KAK4475705.1	SBOV2_4260.9, SBOV2_4260.4, SBOV2_4260.11, SBOV2_4260.14, SBOV2_4260.6, SBOV2_4260.13, SBOV2_4260.2, SBOV2_4260.8, SBOV2_4260.15, SBOV2_4260.5, SBOV2_4260.12, SBOV2_4260.1, SBOV2_4260.10, SBOV2_4260.3, SBOV2_4260.7
OG0000065	KAK4473358.1	SBOV2_22570.1, SBOV2_22560.1
OG0000065	KAK4473352.1, KAK4473355.1, KAK4473357.1	SBOV2_22600.2, SBOV2_22600.1, SBOV2_22580.1, SBOV2_22580.2
OG0000066	KAK4473833.1	SBOV2_30560.11, SBOV2_30560.7, SBOV2_30560.3, SBOV2_30560.5, SBOV2_30560.12, SBOV2_30560.10, SBOV2_30560.4, SBOV2_30560.6, SBOV2_30560.2, SBOV2_30560.8, SBOV2_30560.9
OG0000067	KAK4471577.1	SBOV2_67100.14, SBOV2_67100.10, SBOV2_67100.15, SBOV2_67100.16, SBOV2_67100.8, SBOV2_67100.9, SBOV2_67100.3, SBOV2_67100.5, SBOV2_67100.6, SBOV2_67100.1, SBOV2_67100.7, SBOV2_67100.11, SBOV2_67100.4, SBOV2_67100.12, SBOV2_67100.13, SBOV2_67100.2
OG0000068	KAK4469181.1	SBOV2_51770.1
OG0000068	KAK4467758.1	SBOV2_93650.1
OG0000068	KAK4473996.1, KAK4473997.1, KAK4473998.1	SBOV2_31110.2, SBOV2_31110.3, SBOV2_31110.1
OG0000068	KAK4472801.1	SBOV2_38890.1
OG0000069	KAK4474982.1	SBOV2_20000.13, SBOV2_20000.6, SBOV2_20000.7, SBOV2_20000.9, SBOV2_20000.12, SBOV2_20000.4, SBOV2_20000.5, SBOV2_20000.10, SBOV2_20000.2, SBOV2_20000.3, SBOV2_20000.11, SBOV2_20000.1, SBOV2_20000.8
OG0000070	KAK4472878.1	SBOV2_43000.2, SBOV2_43000.6, SBOV2_43000.7, SBOV2_43000.9, SBOV2_43000.1, SBOV2_43000.4, SBOV2_43000.8, SBOV2_43000.5, SBOV2_43000.3
OG0000071	KAK4472253.1	SBOV2_33490.1, SBOV2_33490.13, SBOV2_33490.2, SBOV2_33490.3, SBOV2_33490.5, SBOV2_33490.6, SBOV2_33490.7, SBOV2_33490.8, SBOV2_33490.11, SBOV2_33490.12, SBOV2_33490.15, SBOV2_33490.16, SBOV2_33490.4, SBOV2_33490.9, SBOV2_33490.10, SBOV2_33490.14
OG0000072	KAK4468648.1	SBOV2_88630.3, SBOV2_88630.28, SBOV2_88630.12, SBOV2_88630.15, SBOV2_88630.17, SBOV2_88630.18, SBOV2_88630.19, SBOV2_88630.20, SBOV2_88630.21, SBOV2_88630.22, SBOV2_88630.24, SBOV2_88630.25, SBOV2_88630.14, SBOV2_88630.23, SBOV2_88630.5, SBOV2_88630.13, SBOV2_88630.10, SBOV2_88630.11, SBOV2_88630.16, SBOV2_88630.4, SBOV2_88630.6, SBOV2_88630.7, SBOV2_88630.8, SBOV2_88630.9, SBOV2_88630.27, SBOV2_88630.26, SBOV2_88630.2, SBOV2_88630.1
OG0000073	KAK4469816.1	SBOV2_50220.2, SBOV2_50220.4, SBOV2_50220.5, SBOV2_50220.6, SBOV2_50230.1, SBOV2_50220.1, SBOV2_50220.3, SBOV2_50230.2, SBOV2_50230.3, SBOV2_50230.4, SBOV2_50230.5
OG0000074	KAK4476006.1	SBOV2_1290.1
OG0000074	KAK4468714.1	SBOV2_87160.1
OG0000074	KAK4474596.1	SBOV2_11150.1
OG0000074	KAK4468705.1	SBOV2_87240.1
OG0000075	KAK4472282.1	SBOV2_33720.3, SBOV2_33720.4, SBOV2_33720.5, SBOV2_33720.10, SBOV2_33720.11, SBOV2_33720.12, SBOV2_33720.13, SBOV2_33720.2, SBOV2_33720.6, SBOV2_33720.7, SBOV2_33720.8, SBOV2_33720.9, SBOV2_33720.1
OG0000076	KAK4467358.1, KAK4475671.1	SBOV2_3940.6, SBOV2_3940.5, SBOV2_3940.4, SBOV2_3940.2, SBOV2_3940.1, SBOV2_3940.3, SBOV2_3940.7, SBOV2_3940.8
OG0000077	KAK4475941.1	SBOV2_10610.1, SBOV2_10610.11, SBOV2_10610.9, SBOV2_10610.2, SBOV2_10610.4, SBOV2_10610.8, SBOV2_10610.6, SBOV2_10610.10, SBOV2_10610.3, SBOV2_10610.5, SBOV2_10610.7
OG0000079	KAK4472724.1	SBOV2_36930.1
OG0000080	KAK4472503.1	SBOV2_43400.13, SBOV2_43400.12, SBOV2_43400.16, SBOV2_43400.17, SBOV2_43400.4, SBOV2_43400.11, SBOV2_43400.6, SBOV2_43400.10, SBOV2_43400.1, SBOV2_43400.2, SBOV2_43400.3, SBOV2_43400.14, SBOV2_43400.9, SBOV2_43400.7, SBOV2_43400.5, SBOV2_43400.15
OG0000081	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1	SBOV2_26060.1, SBOV2_96400.1, SBOV2_96020.1, SBOV2_1720.1, SBOV2_80910.1, SBOV2_45350.1, SBOV2_78740.1, SBOV2_79780.1, SBOV2_90470.1, SBOV2_42760.1, SBOV2_77180.1, SBOV2_96010.1, SBOV2_55930.1
OG0000082	KAK4476263.1	SBOV2_10250.1
OG0000085	KAK4474010.1	SBOV2_31240.5, SBOV2_31240.1, SBOV2_31240.10, SBOV2_31240.2, SBOV2_31240.4, SBOV2_31240.6, SBOV2_31240.7, SBOV2_31240.8, SBOV2_31240.3, SBOV2_31240.9
OG0000086	KAK4470561.1	SBOV2_72400.4, SBOV2_72400.3, SBOV2_72400.7, SBOV2_72400.9, SBOV2_72400.2, SBOV2_72400.5, SBOV2_72400.6, SBOV2_72400.8, SBOV2_72400.1
OG0000087	KAK4469513.1	SBOV2_52670.10, SBOV2_52670.11, SBOV2_52670.8, SBOV2_52670.9, SBOV2_52670.13, SBOV2_52670.12, SBOV2_52670.4, SBOV2_52670.5, SBOV2_52670.1, SBOV2_52670.3, SBOV2_52670.6, SBOV2_52670.7, SBOV2_52670.2
OG0000088	KAK4475590.1	SBOV2_3130.1, SBOV2_3130.6, SBOV2_3130.2, SBOV2_3130.5, SBOV2_3130.3, SBOV2_3130.4
OG0000088	KAK4475589.1	SBOV2_3120.5, SBOV2_3120.1, SBOV2_3120.2, SBOV2_3120.3, SBOV2_3120.4, SBOV2_3120.6
OG0000091	KAK4469611.1	SBOV2_47220.1, SBOV2_47220.2
OG0000092	KAK4475365.1	SBOV2_2240.2, SBOV2_2240.1
OG0000092	KAK4474711.1	SBOV2_12900.5, SBOV2_12900.3, SBOV2_12900.4, SBOV2_12900.1, SBOV2_12900.2
OG0000093	KAK4473668.1	SBOV2_27670.1
OG0000093	KAK4467328.1, KAK4467335.1	SBOV2_28460.2, SBOV2_28470.1, SBOV2_28450.1, SBOV2_28460.1, SBOV2_28460.3
OG0000094	KAK4475997.1	SBOV2_8390.8, SBOV2_8390.2, SBOV2_8390.3, SBOV2_8390.13, SBOV2_8390.4, SBOV2_8390.5, SBOV2_8390.6, SBOV2_8390.11, SBOV2_8390.9, SBOV2_8390.1, SBOV2_8390.7, SBOV2_8390.10, SBOV2_8390.12
OG0000095	KAK4471403.1, KAK4471978.1	SBOV2_61050.1, SBOV2_61050.12, SBOV2_61050.8, SBOV2_61050.3, SBOV2_61050.10, SBOV2_61050.13, SBOV2_61050.11, SBOV2_61050.2, SBOV2_61050.6, SBOV2_61050.7, SBOV2_61050.4, SBOV2_61050.14, SBOV2_61050.5, SBOV2_61050.15, SBOV2_61050.9
OG0000096	KAK4474123.1	SBOV2_32350.7, SBOV2_32350.2, SBOV2_32350.9, SBOV2_32350.1, SBOV2_32350.8, SBOV2_32350.5, SBOV2_32350.4, SBOV2_32350.10, SBOV2_32350.6, SBOV2_32350.11, SBOV2_32350.3
OG0000097	KAK4476042.1, KAK4476041.1	SBOV2_6860.14, SBOV2_6860.6, SBOV2_6860.13, SBOV2_6860.2, SBOV2_6860.5, SBOV2_6860.1, SBOV2_6860.10, SBOV2_6860.7, SBOV2_6860.8, SBOV2_6860.11, SBOV2_6860.4, SBOV2_6860.9, SBOV2_6860.12, SBOV2_6860.3
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	SBOV2_95540.1, SBOV2_26730.1, SBOV2_26740.1, SBOV2_26740.2
OG0000098	KAK4471639.1	SBOV2_66390.4, SBOV2_66390.3, SBOV2_66390.1, SBOV2_66390.2, SBOV2_66390.5, SBOV2_66390.6
OG0000099	KAK4471562.1	SBOV2_67260.2, SBOV2_67260.1, SBOV2_67260.3, SBOV2_67260.4
OG0000099	KAK4470190.1	SBOV2_71230.11, SBOV2_71230.8, SBOV2_71230.2, SBOV2_71230.10, SBOV2_71230.6, SBOV2_71230.7, SBOV2_71230.9, SBOV2_71230.3, SBOV2_71230.4, SBOV2_71230.1, SBOV2_71230.5
OG0000102	KAK4475905.1	SBOV2_5930.2
OG0000102	KAK4472110.1	SBOV2_58130.1, SBOV2_58130.2, SBOV2_58130.3
OG0000103	KAK4470657.1	SBOV2_73330.7, SBOV2_73330.1, SBOV2_73330.4, SBOV2_73330.5, SBOV2_73330.6, SBOV2_73330.3, SBOV2_73330.8, SBOV2_73330.2
OG0000104	KAK4475921.1	SBOV2_6070.1, SBOV2_6070.10, SBOV2_6070.11, SBOV2_6070.2, SBOV2_6070.8, SBOV2_6070.9, SBOV2_6070.3, SBOV2_6070.4, SBOV2_6070.6, SBOV2_6070.7, SBOV2_6070.15, SBOV2_6070.18, SBOV2_6070.19, SBOV2_6070.20, SBOV2_6070.12, SBOV2_6070.13, SBOV2_6070.14, SBOV2_6070.16, SBOV2_6070.17, SBOV2_6070.5, SBOV2_6070.21
OG0000105	KAK4474244.1	SBOV2_7670.1
OG0000106	KAK4470606.1, KAK4467455.1	SBOV2_72810.2, SBOV2_72810.1, SBOV2_72810.3
OG0000107	KAK4469978.1	SBOV2_55660.2, SBOV2_55660.3, SBOV2_55660.4, SBOV2_55660.1
OG0000108	KAK4475981.1	SBOV2_8260.1, SBOV2_8260.6, SBOV2_8260.7, SBOV2_8260.4, SBOV2_8260.3, SBOV2_8260.2, SBOV2_8260.9, SBOV2_8260.5, SBOV2_8260.11, SBOV2_8260.8, SBOV2_8260.12, SBOV2_8260.13, SBOV2_8260.14, SBOV2_8260.15, SBOV2_8260.16, SBOV2_8260.19, SBOV2_8260.17, SBOV2_8260.18, SBOV2_8260.10
OG0000110	KAK4472451.1	SBOV2_37740.1
OG0000110	KAK4472446.1	SBOV2_37770.1, SBOV2_37770.2
OG0000110	KAK4472452.1	SBOV2_37730.2, SBOV2_37730.3, SBOV2_37730.1
OG0000110	KAK4472453.1	SBOV2_37710.1, SBOV2_37720.1
OG0000111	KAK4473064.1	SBOV2_26650.1
OG0000111	KAK4469719.1	SBOV2_53560.1
OG0000111	KAK4472666.1	SBOV2_36400.1, SBOV2_36400.2
OG0000112	KAK4468035.1	SBOV2_82930.3, SBOV2_82930.2, SBOV2_82930.4, SBOV2_82930.5, SBOV2_82930.6, SBOV2_82930.13, SBOV2_82930.10, SBOV2_82930.8, SBOV2_82930.1, SBOV2_82930.11, SBOV2_82930.12, SBOV2_82930.9, SBOV2_82930.7
OG0000114	KAK4467770.1	SBOV2_93530.3, SBOV2_93530.4, SBOV2_93530.14, SBOV2_93530.5, SBOV2_93530.17, SBOV2_93530.18, SBOV2_93530.11, SBOV2_93530.20, SBOV2_93530.19, SBOV2_93530.21, SBOV2_93530.22, SBOV2_93530.1, SBOV2_93530.10, SBOV2_93530.15, SBOV2_93530.6, SBOV2_93530.12, SBOV2_93530.16, SBOV2_93530.2, SBOV2_93530.7, SBOV2_93530.8, SBOV2_93530.9, SBOV2_93530.13
OG0000115	KAK4473986.1	SBOV2_31010.2, SBOV2_31010.4, SBOV2_31010.5, SBOV2_31010.7, SBOV2_31010.10, SBOV2_31010.11, SBOV2_31010.8, SBOV2_31010.9, SBOV2_31010.1, SBOV2_31010.12, SBOV2_31010.13, SBOV2_31010.14, SBOV2_31010.3, SBOV2_31010.6
OG0000116	KAK4469396.1	SBOV2_49500.1
