Orthogroup	s.mekongi	schistosoma_mattheei
OG0000026	KAK4470216.1	SMTH1_80360.1
OG0000027	KAK4472147.1	SMTH1_44580.9, SMTH1_44580.31, SMTH1_44580.26, SMTH1_44580.10, SMTH1_44580.13, SMTH1_44580.2, SMTH1_44580.30, SMTH1_44580.11, SMTH1_44580.5, SMTH1_44580.27, SMTH1_44580.28, SMTH1_44580.32, SMTH1_44580.29, SMTH1_44580.3, SMTH1_44580.19, SMTH1_44580.33, SMTH1_44580.35, SMTH1_44580.4, SMTH1_44580.39
OG0000028	KAK4470768.1	SMTH1_78260.1, SMTH1_78260.2
OG0000029	KAK4471130.1	SMTH1_63900.1
OG0000029	KAK4468717.1	SMTH1_96900.1
OG0000029	KAK4468778.1	SMTH1_96870.1
OG0000029	KAK4474996.1	SMTH1_22560.1
OG0000029	KAK4474996.1	SMTH1_22560.2
OG0000029	KAK4474996.1	SMTH1_22560.3
OG0000029	KAK4474996.1	SMTH1_22560.4
OG0000029	KAK4468699.1	SMTH1_97890.7
OG0000030	KAK4476063.1	SMTH1_7700.1
OG0000031	KAK4475389.1	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5
OG0000032	KAK4476285.1	SMTH1_11640.1
OG0000032	KAK4470045.1	SMTH1_88710.1, SMTH1_10840.2, SMTH1_10840.1, SMTH1_88700.1, SMTH1_88690.1
OG0000033	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1	SMTH1_94000.1, SMTH1_51400.1, SMTH1_57070.1, SMTH1_101740.1, SMTH1_19750.1, SMTH1_2110.1, SMTH1_21910.1, SMTH1_22590.1, SMTH1_22960.1, SMTH1_35750.1, SMTH1_38700.1, SMTH1_47740.1, SMTH1_49720.1, SMTH1_53960.1, SMTH1_55150.1, SMTH1_59770.1, SMTH1_63160.1, SMTH1_63270.1, SMTH1_75790.1, SMTH1_78180.1, SMTH1_7910.1, SMTH1_81870.1, SMTH1_84770.1, SMTH1_85890.1, SMTH1_88830.1, SMTH1_92150.1, SMTH1_9890.1, SMTH1_77930.1, SMTH1_42200.1, SMTH1_85770.1, SMTH1_15360.1, SMTH1_16280.1, SMTH1_24450.1, SMTH1_6840.1
OG0000034	KAK4468479.1	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3
OG0000034	KAK4468478.1	SMTH1_101830.1, SMTH1_101820.1, SMTH1_101820.2
OG0000034	KAK4471028.1, KAK4471029.1	SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1, SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1, SMTH1_63730.1
OG0000035	KAK4475274.1	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4
OG0000037	KAK4471851.1	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1, SMTH1_66620.1
OG0000037	KAK4471850.1	SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1
OG0000042	KAK4472150.1	SMTH1_44430.1, SMTH1_44430.2
OG0000042	KAK4472153.1	SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2
OG0000042	KAK4473688.1	SMTH1_44330.1
OG0000042	KAK4472151.1, KAK4472152.1	SMTH1_44340.1, SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1, SMTH1_44390.1, SMTH1_44410.1
OG0000044	KAK4468903.1	SMTH1_95170.1, SMTH1_95180.1
OG0000044	KAK4468904.1	SMTH1_95210.1, SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1
OG0000045	KAK4468037.1	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1
OG0000049	KAK4470136.1, KAK4470137.1	SMTH1_77450.1, SMTH1_77460.1
OG0000049	KAK4470598.1	SMTH1_81780.1
OG0000050	KAK4469367.1	SMTH1_59780.1, SMTH1_59790.1, SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13
OG0000052	KAK4472821.1	SMTH1_31800.1
OG0000052	KAK4474336.1	SMTH1_3820.1
OG0000052	KAK4474374.1	SMTH1_1100.1, SMTH1_1110.1
OG0000052	KAK4474946.1	SMTH1_2070.1
OG0000052	KAK4471620.1	SMTH1_74430.1
OG0000053	KAK4475177.1, KAK4475178.1	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9
OG0000054	KAK4471025.1, KAK4468371.1, KAK4474289.1	SMTH1_12390.1
OG0000055	KAK4471575.1, KAK4471564.1	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	SMTH1_100750.1, SMTH1_50540.1, SMTH1_65470.1, SMTH1_36280.1, SMTH1_38140.1, SMTH1_42870.1, SMTH1_25400.1, SMTH1_61570.1
OG0000057	KAK4468384.1, KAK4470043.1	SMTH1_24310.1
OG0000058	KAK4468525.1	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1
OG0000058	KAK4470069.1	SMTH1_89470.1
OG0000058	KAK4470074.1, KAK4470072.1	SMTH1_89480.1, SMTH1_89510.1, SMTH1_89510.2, SMTH1_89520.1
OG0000058	KAK4470068.1	SMTH1_89460.1
OG0000060	KAK4471247.1	SMTH1_72720.1
OG0000061	KAK4469486.1	SMTH1_58650.1
OG0000062	KAK4475970.1	SMTH1_7050.1, SMTH1_7060.1
OG0000063	KAK4473734.1	SMTH1_43840.1
OG0000064	KAK4475705.1	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15
OG0000065	KAK4473358.1	SMTH1_107120.1
OG0000065	KAK4473352.1, KAK4473355.1, KAK4473357.1	SMTH1_25650.1, SMTH1_25600.1, SMTH1_25640.1, SMTH1_25640.2
OG0000066	KAK4473833.1	SMTH1_41200.8, SMTH1_41200.10, SMTH1_41200.5, SMTH1_41200.9, SMTH1_41200.1, SMTH1_41200.3
OG0000067	KAK4471577.1	SMTH1_75020.12, SMTH1_75020.11, SMTH1_75020.13, SMTH1_75020.1, SMTH1_75020.8, SMTH1_75020.2, SMTH1_75020.5, SMTH1_75020.6, SMTH1_75020.7, SMTH1_75020.9, SMTH1_75020.3, SMTH1_75020.4, SMTH1_75020.10
OG0000068	KAK4469181.1	SMTH1_60000.1, SMTH1_60010.1
OG0000068	KAK4467758.1	SMTH1_105080.1, SMTH1_105080.2
OG0000068	KAK4473996.1, KAK4473997.1, KAK4473998.1	SMTH1_40460.1, SMTH1_40460.5, SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4
OG0000068	KAK4472801.1	SMTH1_31850.1
OG0000069	KAK4474982.1	SMTH1_22730.2, SMTH1_22710.1, SMTH1_22730.1
OG0000070	KAK4472878.1	SMTH1_48740.1
OG0000071	KAK4472253.1	SMTH1_37950.1
OG0000072	KAK4468648.1	SMTH1_99330.1, SMTH1_99340.1
OG0000073	KAK4469816.1	SMTH1_61870.1, SMTH1_61880.1, SMTH1_61880.2, SMTH1_61880.3
OG0000074	KAK4476006.1	SMTH1_1470.5
OG0000074	KAK4468714.1	SMTH1_97660.1
OG0000074	KAK4474596.1	SMTH1_12710.1, SMTH1_12710.2, SMTH1_12710.4, SMTH1_12710.3
OG0000074	KAK4468705.1	SMTH1_97780.1
OG0000075	KAK4472282.1	SMTH1_37710.1, SMTH1_37730.1, SMTH1_37720.1
OG0000076	KAK4467358.1, KAK4475671.1	SMTH1_4450.2, SMTH1_4450.3, SMTH1_4450.4, SMTH1_4450.1, SMTH1_4450.5
OG0000077	KAK4475941.1	SMTH1_12170.1, SMTH1_12170.2, SMTH1_12170.4, SMTH1_12170.3, SMTH1_12170.10, SMTH1_12170.8, SMTH1_12170.5, SMTH1_12170.7, SMTH1_12170.9, SMTH1_12170.6
OG0000078	KAK4467476.1, KAK4475827.1	SMTH1_6330.1
OG0000079	KAK4472724.1	SMTH1_34060.2, SMTH1_34060.4, SMTH1_34060.1, SMTH1_34060.3, SMTH1_34060.5
OG0000080	KAK4472503.1	SMTH1_49150.2, SMTH1_49150.4, SMTH1_49150.7
OG0000081	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1	SMTH1_107550.1, SMTH1_105800.1, SMTH1_15900.1, SMTH1_85790.1, SMTH1_85760.1, SMTH1_42880.1, SMTH1_870.1
OG0000082	KAK4476263.1	SMTH1_11790.11, SMTH1_11790.12, SMTH1_11790.1, SMTH1_11790.2, SMTH1_11790.3, SMTH1_11790.4, SMTH1_11790.5, SMTH1_11790.9, SMTH1_11790.8, SMTH1_11790.10, SMTH1_11790.6, SMTH1_11790.7, SMTH1_11790.13, SMTH1_11790.14
OG0000083	KAK4471026.1, KAK4474271.1	SMTH1_6760.1, SMTH1_6760.2, SMTH1_23650.1
OG0000085	KAK4474010.1	SMTH1_40330.1, SMTH1_40330.10, SMTH1_40330.2, SMTH1_40330.3, SMTH1_40330.4, SMTH1_40330.5, SMTH1_40330.7, SMTH1_40330.8, SMTH1_40330.6, SMTH1_40330.9
OG0000086	KAK4470561.1	SMTH1_81430.2, SMTH1_81430.3, SMTH1_81430.6, SMTH1_81430.7, SMTH1_81430.4, SMTH1_81430.5, SMTH1_81430.8, SMTH1_81430.9, SMTH1_81430.1
OG0000087	KAK4469513.1	SMTH1_59010.1, SMTH1_59010.12, SMTH1_59010.14, SMTH1_59010.15, SMTH1_59010.16, SMTH1_59010.6, SMTH1_59010.8, SMTH1_59010.9, SMTH1_59010.13, SMTH1_59010.7, SMTH1_59010.5, SMTH1_59010.10, SMTH1_59010.4, SMTH1_59010.11, SMTH1_59010.17, SMTH1_59010.2, SMTH1_59010.3
OG0000088	KAK4475590.1	SMTH1_3690.4, SMTH1_3690.2, SMTH1_3690.3, SMTH1_3690.1
OG0000088	KAK4475589.1	SMTH1_3660.2, SMTH1_3660.1, SMTH1_3660.6, SMTH1_3660.5, SMTH1_3660.4, SMTH1_3660.3, SMTH1_3660.7
OG0000091	KAK4469611.1	SMTH1_53400.1
OG0000092	KAK4475365.1	SMTH1_2640.1, SMTH1_2640.2, SMTH1_2640.3
OG0000092	KAK4474711.1	SMTH1_14740.1
OG0000093	KAK4473668.1	SMTH1_44730.1
OG0000093	KAK4467328.1, KAK4467335.1	SMTH1_43690.1, SMTH1_43700.1, SMTH1_43710.1, SMTH1_43680.2, SMTH1_43680.3, SMTH1_43680.1, SMTH1_43690.2
OG0000094	KAK4475997.1	SMTH1_9680.2, SMTH1_9680.3, SMTH1_9680.1, SMTH1_9680.5, SMTH1_9680.4, SMTH1_9680.6
OG0000095	KAK4471403.1, KAK4471978.1	SMTH1_68360.1
OG0000096	KAK4474123.1	SMTH1_39100.6, SMTH1_39100.1, SMTH1_39100.2, SMTH1_39100.8, SMTH1_39100.7, SMTH1_39100.3, SMTH1_39100.10, SMTH1_39100.4, SMTH1_39100.5, SMTH1_39100.9
OG0000097	KAK4476042.1, KAK4476041.1	SMTH1_7960.1
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	SMTH1_45820.1, SMTH1_45820.2
OG0000098	KAK4471639.1	SMTH1_74230.1, SMTH1_74220.1
OG0000099	KAK4471562.1	SMTH1_75170.1
OG0000099	KAK4470190.1	SMTH1_80070.5, SMTH1_80070.1, SMTH1_80070.4, SMTH1_80070.2, SMTH1_80070.3
OG0000102	KAK4475905.1	SMTH1_6850.3, SMTH1_6850.4
OG0000102	KAK4472110.1	SMTH1_65150.1
OG0000103	KAK4470657.1	SMTH1_82550.10, SMTH1_82550.1, SMTH1_82550.2, SMTH1_82550.3, SMTH1_82550.4, SMTH1_82550.8, SMTH1_82550.7, SMTH1_82550.5, SMTH1_82550.6, SMTH1_82550.9
OG0000104	KAK4475921.1	SMTH1_7040.1
OG0000105	KAK4474244.1	SMTH1_8820.1, SMTH1_8820.2, SMTH1_8820.3, SMTH1_8820.4, SMTH1_8820.5, SMTH1_8820.6, SMTH1_8820.7, SMTH1_8820.8, SMTH1_8820.9
OG0000106	KAK4470606.1, KAK4467455.1	SMTH1_81900.1
OG0000107	KAK4468968.1	SMTH1_55210.2, SMTH1_57030.1
OG0000108	KAK4475981.1	SMTH1_9500.1
OG0000110	KAK4472451.1	SMTH1_33110.1
OG0000110	KAK4472446.1	SMTH1_33070.1, SMTH1_33080.1
OG0000110	KAK4472452.1	SMTH1_33120.1, SMTH1_33120.2, SMTH1_33120.3
OG0000110	KAK4472453.1	SMTH1_33130.1
OG0000111	KAK4473064.1	SMTH1_45910.1
OG0000111	KAK4469719.1	SMTH1_57950.3, SMTH1_57950.2, SMTH1_57950.4, SMTH1_57950.1
OG0000111	KAK4472666.1	SMTH1_34710.1, SMTH1_34710.2
OG0000112	KAK4468035.1	SMTH1_92870.1, SMTH1_92880.1
OG0000114	KAK4467770.1	SMTH1_104970.1
OG0000115	KAK4473986.1	SMTH1_40570.1, SMTH1_40570.12, SMTH1_40570.3, SMTH1_40570.4, SMTH1_40570.7, SMTH1_40570.11, SMTH1_40570.6, SMTH1_40570.10, SMTH1_40570.2, SMTH1_40570.5, SMTH1_40570.8, SMTH1_40570.9
OG0000116	KAK4469396.1	SMTH1_56110.1
OG0000117	KAK4472459.1	SMTH1_33220.1
OG0000118	KAK4473725.1	SMTH1_43930.1, SMTH1_43940.1
OG0000118	KAK4473729.1	SMTH1_107810.1, SMTH1_107810.2, SMTH1_43950.1, SMTH1_43960.1
OG0000118	KAK4473727.1	SMTH1_43910.1
OG0000118	KAK4473726.1	SMTH1_43920.1
OG0000119	KAK4467682.1	SMTH1_105850.1, SMTH1_105830.1, SMTH1_105850.5, SMTH1_105850.2, SMTH1_105850.4, SMTH1_105830.2, SMTH1_105850.3
OG0000120	KAK4472468.1	SMTH1_107750.15, SMTH1_107750.1, SMTH1_107750.3, SMTH1_33290.1, SMTH1_33290.3, SMTH1_33290.4, SMTH1_107750.4, SMTH1_107750.10, SMTH1_107750.12, SMTH1_107750.16, SMTH1_107750.7, SMTH1_55820.1, SMTH1_107750.11, SMTH1_107750.5, SMTH1_107750.6, SMTH1_33290.5, SMTH1_107750.2, SMTH1_33290.2, SMTH1_33290.7, SMTH1_55820.3, SMTH1_55820.2, SMTH1_107750.13, SMTH1_107750.14, SMTH1_107750.9, SMTH1_33290.6, SMTH1_107750.8
OG0000122	KAK4470066.1	SMTH1_89440.1
OG0000123	KAK4470855.1	SMTH1_87340.1
OG0000125	KAK4474534.1	SMTH1_1620.1
OG0000126	KAK4470546.1	SMTH1_78590.1
OG0000127	KAK4475492.1	SMTH1_25070.3, SMTH1_25070.1, SMTH1_25070.2, SMTH1_25070.4
OG0000128	KAK4473532.1	SMTH1_47950.1, SMTH1_47950.2, SMTH1_47950.3
OG0000129	KAK4474206.1	SMTH1_35850.5, SMTH1_35850.1, SMTH1_35850.7, SMTH1_35850.2, SMTH1_35850.3, SMTH1_35850.8, SMTH1_35850.4, SMTH1_35850.6
OG0000130	KAK4467983.1	SMTH1_89720.8, SMTH1_89720.1, SMTH1_89720.2, SMTH1_89720.3, SMTH1_89720.4, SMTH1_89720.5, SMTH1_89720.6, SMTH1_89720.7, SMTH1_89720.9
OG0000131	KAK4468902.1	SMTH1_95200.1, SMTH1_95190.1
OG0000132	KAK4474101.1	SMTH1_39420.1
OG0000133	KAK4472626.1	SMTH1_35160.11, SMTH1_35160.2, SMTH1_35160.3, SMTH1_35160.5, SMTH1_35160.6, SMTH1_35160.1, SMTH1_35160.4, SMTH1_35160.7, SMTH1_35160.10, SMTH1_35160.9, SMTH1_35160.8
OG0000134	KAK4475011.1	SMTH1_22380.1
OG0000135	KAK4474731.1	SMTH1_14940.1, SMTH1_14940.2, SMTH1_14940.7, SMTH1_14940.6, SMTH1_14940.5, SMTH1_14940.3, SMTH1_14940.4
OG0000136	KAK4476189.1	SMTH1_8440.1, SMTH1_8450.1
OG0000138	KAK4468744.1	SMTH1_97260.1, SMTH1_97260.2, SMTH1_97260.3
OG0000138	KAK4473697.1	SMTH1_50090.1, SMTH1_50090.2, SMTH1_50090.3, SMTH1_50090.4
OG0000139	KAK4475677.1	SMTH1_4530.1, SMTH1_4520.1
OG0000140	KAK4470680.1, KAK4470033.1	SMTH1_84690.1
OG0000141	KAK4467352.1	SMTH1_107110.1, SMTH1_16550.1, SMTH1_45160.1, SMTH1_83770.1, SMTH1_96790.1, SMTH1_101120.1, SMTH1_107690.1, SMTH1_96020.1, SMTH1_29850.1, SMTH1_9600.1, SMTH1_97690.1
OG0000142	KAK4475021.1	SMTH1_22220.1
OG0000142	KAK4475019.1, KAK4475022.1	SMTH1_22230.1, SMTH1_22240.1
OG0000144	KAK4469871.1	SMTH1_60870.1
OG0000144	KAK4473145.1	SMTH1_30570.1
OG0000144	KAK4469772.1	SMTH1_63350.1, SMTH1_63350.3, SMTH1_63350.5, SMTH1_63350.2, SMTH1_63350.4
OG0000145	KAK4472181.1	SMTH1_36980.1
OG0000146	KAK4468443.1	SMTH1_101450.1
OG0000146	KAK4469748.1	SMTH1_62830.1
OG0000146	KAK4472748.1	SMTH1_32350.1
OG0000146	KAK4469097.1	SMTH1_52670.1, SMTH1_52670.2
OG0000147	KAK4474043.1	SMTH1_40010.1, SMTH1_40000.1
OG0000148	KAK4472662.1	SMTH1_34740.1
OG0000149	KAK4469180.1	SMTH1_60020.1, SMTH1_60020.3, SMTH1_60020.2, SMTH1_60020.4, SMTH1_60020.5, SMTH1_60020.6, SMTH1_60020.7
OG0000151	KAK4471438.1, KAK4471439.1	SMTH1_70720.1, SMTH1_70710.1, SMTH1_70710.10, SMTH1_70710.3, SMTH1_70710.4, SMTH1_70710.6, SMTH1_70710.2, SMTH1_70710.11, SMTH1_70710.5, SMTH1_70710.8, SMTH1_70710.7, SMTH1_70710.9
OG0000152	KAK4474412.1	SMTH1_12520.1, SMTH1_12430.3, SMTH1_12430.1, SMTH1_12430.2, SMTH1_12430.4, SMTH1_12430.5, SMTH1_12430.7, SMTH1_12430.6
OG0000153	KAK4469387.1	SMTH1_56020.1
OG0000154	KAK4475184.1, KAK4475186.1	SMTH1_20370.1
OG0000155	KAK4473822.1	SMTH1_40880.5, SMTH1_40880.3, SMTH1_40880.8, SMTH1_40880.6, SMTH1_40880.1, SMTH1_40880.2, SMTH1_40880.10, SMTH1_40880.11, SMTH1_40880.4, SMTH1_40880.9, SMTH1_40880.7
OG0000156	KAK4475038.1	SMTH1_21930.1
OG0000156	KAK4475039.1	SMTH1_21920.2, SMTH1_21920.1, SMTH1_21920.7, SMTH1_21920.6, SMTH1_21920.3, SMTH1_21920.4, SMTH1_21920.5
OG0000157	KAK4471808.1	SMTH1_68650.1
OG0000157	KAK4472697.1	SMTH1_48940.1
OG0000157	KAK4467690.1	SMTH1_104820.3, SMTH1_104820.1, SMTH1_104820.2
OG0000158	KAK4475829.1, KAK4473934.1	SMTH1_6290.1, SMTH1_6300.1
OG0000159	KAK4471746.1	SMTH1_69180.6, SMTH1_69180.3, SMTH1_69180.4, SMTH1_69180.1, SMTH1_69180.2, SMTH1_69180.5
OG0000160	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1	SMTH1_16290.2, SMTH1_16290.1, SMTH1_16290.3
OG0000161	KAK4474169.1	SMTH1_38560.4, SMTH1_38560.1, SMTH1_38560.3, SMTH1_38560.2
OG0000164	KAK4471960.1	SMTH1_68170.1
OG0000164	KAK4470406.1	SMTH1_85910.1, SMTH1_85910.2
OG0000164	KAK4469800.1	SMTH1_61700.1
OG0000164	KAK4472495.1	SMTH1_33670.2, SMTH1_33670.3, SMTH1_33670.1
OG0000165	KAK4471264.1	SMTH1_72910.8, SMTH1_72910.6, SMTH1_72910.3, SMTH1_72910.4, SMTH1_72910.7, SMTH1_72910.1, SMTH1_72910.2, SMTH1_72910.5
OG0000167	KAK4470364.1	SMTH1_83320.2, SMTH1_83320.3, SMTH1_83320.6, SMTH1_83320.4, SMTH1_83320.1, SMTH1_83320.7, SMTH1_83320.5
OG0000168	KAK4467445.1	SMTH1_2290.1, SMTH1_2330.1, SMTH1_2300.1, SMTH1_107400.1, SMTH1_107400.2, SMTH1_107430.1, SMTH1_2320.1, SMTH1_2340.1, SMTH1_2310.1
OG0000169	KAK4467756.1	SMTH1_105100.3, SMTH1_105100.4, SMTH1_105100.1, SMTH1_105100.2
OG0000169	KAK4472610.1	SMTH1_49040.3, SMTH1_49040.4, SMTH1_49040.5, SMTH1_49040.1, SMTH1_49040.2
OG0000169	KAK4467718.1, KAK4467716.1, KAK4467717.1	SMTH1_104550.1
OG0000170	KAK4470632.1	SMTH1_78500.1, SMTH1_78510.1
OG0000172	KAK4475142.1	SMTH1_20790.2, SMTH1_20790.4, SMTH1_20790.1, SMTH1_20790.3
OG0000173	KAK4468268.1	SMTH1_91610.1
OG0000175	KAK4473136.1	SMTH1_46290.1, SMTH1_45990.1
OG0000175	KAK4473125.1	SMTH1_45980.1
OG0000175	KAK4473114.1	SMTH1_45970.1
