Orthogroup	s.mekongi	schistosoma_mansoni
OG0000072	KAK4468648.1	Smp_343430.1
OG0000073	KAK4469816.1	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1
OG0000074	KAK4468714.1	Smp_164380.1
OG0000074	KAK4474596.1	Smp_307260.1
OG0000074	KAK4468705.1	Smp_085690.1
OG0000075	KAK4472282.1	Smp_246680.1
OG0000076	KAK4468620.1	Smp_141980.2
OG0000076	KAK4467358.1, KAK4475671.1	Smp_134140.2, Smp_134140.1
OG0000077	KAK4475941.1	Smp_244680.1, Smp_244680.2
OG0000079	KAK4472724.1	Smp_129050.1
OG0000080	KAK4472503.1	Smp_165200.3, Smp_165200.1, Smp_165200.2
OG0000081	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1	Smp_015160.1, Smp_192230.1, Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1, Smp_072670.1, Smp_122190.1
OG0000082	KAK4476263.1	Smp_132900.1
OG0000085	KAK4474010.1	Smp_127430.1
OG0000086	KAK4470561.1	Smp_149300.1
OG0000087	KAK4469513.1	Smp_245790.1
OG0000088	KAK4475590.1	Smp_028690.1, Smp_028690.2
OG0000088	KAK4475589.1	Smp_131890.1
OG0000091	KAK4469611.1	Smp_146060.1
OG0000092	KAK4475365.1	Smp_180470.1, Smp_180470.2
OG0000092	KAK4474711.1	Smp_064870.1
OG0000093	KAK4473668.1	Smp_049550.1
OG0000093	KAK4467328.1, KAK4467335.1	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1
OG0000094	KAK4475997.1	Smp_128570.1
OG0000095	KAK4471403.1, KAK4471978.1	Smp_162630.1
OG0000096	KAK4474123.1	Smp_005190.2, Smp_005190.1, Smp_005190.3
OG0000097	KAK4476042.1, KAK4476041.1	Smp_168050.1
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	Smp_072330.1
OG0000098	KAK4471639.1	Smp_340630.1, Smp_340630.2
OG0000099	KAK4471562.1	Smp_000100.1
OG0000099	KAK4470190.1	Smp_317420.1
OG0000102	KAK4475905.1	Smp_036590.1
OG0000102	KAK4472110.1	Smp_138050.1
OG0000103	KAK4470657.1	Smp_067000.1
OG0000104	KAK4475921.1	Smp_006250.1
OG0000105	KAK4474244.1	Smp_019790.1
OG0000107	KAK4469978.1	Smp_089430.1
OG0000108	KAK4475981.1	Smp_093930.1
OG0000110	KAK4472451.1	Smp_333980.1
OG0000110	KAK4472446.1	Smp_055260.1
OG0000110	KAK4472452.1	Smp_129920.1
OG0000110	KAK4472453.1	Smp_129900.1
OG0000111	KAK4473064.1	Smp_072140.1
OG0000111	KAK4469719.1	Smp_146600.1, Smp_146600.2
OG0000111	KAK4472666.1	Smp_104110.1
OG0000112	KAK4468035.1	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2
OG0000114	KAK4467770.1	Smp_144700.1
OG0000115	KAK4473986.1	Smp_094320.1
OG0000116	KAK4469396.1	Smp_013840.1, Smp_013840.2
OG0000117	KAK4472459.1	Smp_014170.1
OG0000118	KAK4473725.1	Smp_319790.1, Smp_148080.1
OG0000118	KAK4473729.1	Smp_344080.1
OG0000118	KAK4473727.1	Smp_344070.1
OG0000118	KAK4473726.1	Smp_319780.1, Smp_319770.1, Smp_319770.2
OG0000119	KAK4467682.1	Smp_347870.1, Smp_247020.1
OG0000120	KAK4472468.1	Smp_167850.1
OG0000122	KAK4470066.1	Smp_344340.1
OG0000123	KAK4470855.1	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4
OG0000125	KAK4474534.1	Smp_097830.2, Smp_097830.1, Smp_097830.3
OG0000126	KAK4470546.1	Smp_008620.1
OG0000127	KAK4475492.1	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3
OG0000128	KAK4473532.1	Smp_332660.1
OG0000129	KAK4474206.1	Smp_140420.1
OG0000130	KAK4467983.1	Smp_060420.1, Smp_060420.2
OG0000131	KAK4476229.1	Smp_342380.1
OG0000131	KAK4468902.1	Smp_155520.1, Smp_155520.2, Smp_336270.1
OG0000132	KAK4474101.1	Smp_028030.1
OG0000133	KAK4472626.1	Smp_072980.1
OG0000134	KAK4475011.1	Smp_032480.1
OG0000135	KAK4474731.1	Smp_046060.1, Smp_046060.2
OG0000136	KAK4476189.1	Smp_174310.1
OG0000137	KAK4473443.1, KAK4473442.1, KAK4473441.1	Smp_166350.1
OG0000138	KAK4468744.1	Smp_158600.1
OG0000138	KAK4473697.1	Smp_335620.1
OG0000139	KAK4475677.1	Smp_031040.1
OG0000140	KAK4470680.1, KAK4470033.1	Smp_059210.1, Smp_059210.2
OG0000142	KAK4475021.1	Smp_139680.1
OG0000142	KAK4475019.1, KAK4475022.1	Smp_120070.1, Smp_203950.1
OG0000144	KAK4469871.1	Smp_034190.1
OG0000144	KAK4473145.1	Smp_097660.1
OG0000144	KAK4469772.1	Smp_166400.1
OG0000145	KAK4472181.1	Smp_110280.1, Smp_110280.2
OG0000146	KAK4468443.1	Smp_016630.1
OG0000146	KAK4469748.1	Smp_246100.1
OG0000146	KAK4472748.1	Smp_020080.1
OG0000146	KAK4469097.1	Smp_016250.1
OG0000147	KAK4474043.1	Smp_019170.1
OG0000148	KAK4472662.1	Smp_346640.1
OG0000149	KAK4469180.1	Smp_123410.1
OG0000151	KAK4471438.1, KAK4471439.1	Smp_167920.1
OG0000152	KAK4474412.1	Smp_078310.1
OG0000153	KAK4469387.1	Smp_013950.1
OG0000154	KAK4475184.1, KAK4475186.1	Smp_333260.1
OG0000155	KAK4473822.1	Smp_302040.1, Smp_302040.2, Smp_302040.3
OG0000156	KAK4475038.1	Smp_143840.1
OG0000156	KAK4475039.1	Smp_039750.3, Smp_039750.1, Smp_039750.2
OG0000157	KAK4471808.1	Smp_212410.1, Smp_212410.2
OG0000157	KAK4472697.1	Smp_332710.1
OG0000157	KAK4467690.1	Smp_153100.1
OG0000158	KAK4475829.1, KAK4473934.1	Smp_068960.1
OG0000158	KAK4475828.1	Smp_159520.1
OG0000159	KAK4471746.1	Smp_129520.1
OG0000160	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1	Smp_136550.1
OG0000161	KAK4474169.1	Smp_301780.1
OG0000164	KAK4471960.1	Smp_179910.1
OG0000164	KAK4470406.1	Smp_062510.1
OG0000164	KAK4469800.1	Smp_142450.1
OG0000164	KAK4472495.1	Smp_071250.1
OG0000165	KAK4471264.1	Smp_002820.1
OG0000167	KAK4470364.1	Smp_042550.1, Smp_042550.2
OG0000168	KAK4467445.1	Smp_137740.1, Smp_137740.2, Smp_350170.1, Smp_142860.1, Smp_336380.1
OG0000169	KAK4467756.1	Smp_041460.1
OG0000169	KAK4472610.1	Smp_155310.1
OG0000169	KAK4467718.1, KAK4467716.1, KAK4467717.1	Smp_140000.1
OG0000170	KAK4470632.1	Smp_343440.1
OG0000172	KAK4475142.1	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3
OG0000173	KAK4468268.1	Smp_344580.1
OG0000175	KAK4473136.1	Smp_195090.1
OG0000175	KAK4473125.1	Smp_169200.1
OG0000175	KAK4473114.1	Smp_169190.1
OG0000175	KAK4473106.1	Smp_086530.1
OG0000177	KAK4472104.1	Smp_333480.1, Smp_333480.2
OG0000178	KAK4472894.1	Smp_150750.1
OG0000179	KAK4469016.1	Smp_134080.1
OG0000179	KAK4469902.1	Smp_246010.1
OG0000180	KAK4468049.1	Smp_346170.1
OG0000180	KAK4468060.1, KAK4468069.1	Smp_314210.1, Smp_345210.1
OG0000180	KAK4468040.1	Smp_314200.1, Smp_317150.1
OG0000182	KAK4471145.1	Smp_159990.1
OG0000182	KAK4472799.1	Smp_020270.1, Smp_020270.2
OG0000183	KAK4472516.1	Smp_152870.1
OG0000184	KAK4469199.1	Smp_167750.1
OG0000184	KAK4469198.1	Smp_004220.1
OG0000185	KAK4472507.1	Smp_057120.1, Smp_057120.2
OG0000186	KAK4470241.1, KAK4470242.1	Smp_334080.1
OG0000187	KAK4469682.1	Smp_014670.1
OG0000188	KAK4472612.1	Smp_125770.1
OG0000189	KAK4476062.1	Smp_347670.1
OG0000190	KAK4469926.1	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3
OG0000191	KAK4473909.1	Smp_154670.1
OG0000191	KAK4473910.1	Smp_154680.1
OG0000192	KAK4471381.1	Smp_009990.1
OG0000193	KAK4471157.1	Smp_151750.1, Smp_211070.1
OG0000194	KAK4470371.1	Smp_145190.1, Smp_145190.2
OG0000195	KAK4469314.1	Smp_089930.1
OG0000196	KAK4468938.1	Smp_051090.1
OG0000196	KAK4474524.1	Smp_337400.1, Smp_337400.3
OG0000196	KAK4475932.1	Smp_335720.1
OG0000197	KAK4472750.1, KAK4472751.1	Smp_020070.1
OG0000198	KAK4473170.1	Smp_342030.1
OG0000198	KAK4474280.1	Smp_058690.1, Smp_058700.1
OG0000199	KAK4472571.1	Smp_033950.1
OG0000201	KAK4473643.1	Smp_158560.1, Smp_158560.2
OG0000202	KAK4469384.1	Smp_129710.1
OG0000203	KAK4472530.1, KAK4472529.1	Smp_168040.1
OG0000204	KAK4468843.1, KAK4468846.1	Smp_336300.1
OG0000204	KAK4468847.1	Smp_309060.1, Smp_331260.1, Smp_089330.1, Smp_089320.1, Smp_170890.2
OG0000204	KAK4468400.1, KAK4468845.1	Smp_170890.1, Smp_089370.1
OG0000205	KAK4475157.1	Smp_129770.1, Smp_129770.2
OG0000206	KAK4474171.1	Smp_031920.1
OG0000207	KAK4474093.1	Smp_137320.1
OG0000207	KAK4474090.1	Smp_319310.1, Smp_319310.2
OG0000207	KAK4474092.1	Smp_137310.1
OG0000207	KAK4474089.1, KAK4474091.1	Smp_178420.1, Smp_137300.1
OG0000208	KAK4470297.1	Smp_312880.1
OG0000209	KAK4476246.1	Smp_214240.1, Smp_128390.1
OG0000210	KAK4468068.1	Smp_143690.1, Smp_143690.2
OG0000211	KAK4476043.1	Smp_033050.1
OG0000212	KAK4473242.1	Smp_123940.1
OG0000213	KAK4474754.1	Smp_333170.1
OG0000214	KAK4475773.1	Smp_134410.1, Smp_134410.3
OG0000215	KAK4471161.1	Smp_327230.1, Smp_327220.1, Smp_327240.1, Smp_093620.1
OG0000217	KAK4472243.1	Smp_343380.1
OG0000218	KAK4474847.1	Smp_244280.1
OG0000219	KAK4471869.1	Smp_162080.1
OG0000220	KAK4470648.1	Smp_329410.1, Smp_126840.1
OG0000221	KAK4476180.1	Smp_165820.1
OG0000221	KAK4467410.1, KAK4475529.1	Smp_153140.1
OG0000222	KAK4470706.1	Smp_313450.1
OG0000223	KAK4476292.1	Smp_159100.1
OG0000224	KAK4475913.1	Smp_153770.1
OG0000225	KAK4475585.1	Smp_017730.1
OG0000226	KAK4474133.1	Smp_124820.1
OG0000227	KAK4471428.1	Smp_122680.1
OG0000228	KAK4473445.1	Smp_104030.1
OG0000229	KAK4472065.1	Smp_307880.1
OG0000230	KAK4471407.1	Smp_308600.1, Smp_308590.1
OG0000231	KAK4469298.1, KAK4469300.1	Smp_333830.1, Smp_170490.1, Smp_344860.1, Smp_327960.1, Smp_327950.1
OG0000234	KAK4473948.1	Smp_337850.1
OG0000235	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1	Smp_342880.1, Smp_342880.2
OG0000236	KAK4469919.1	Smp_147620.1
OG0000237	KAK4469703.1	Smp_130030.1
OG0000238	KAK4473873.1	Smp_158450.1
OG0000239	KAK4473024.1	Smp_163610.1
OG0000240	KAK4472743.1	Smp_168370.2
OG0000241	KAK4476019.1	Smp_244950.1
OG0000241	KAK4476020.1	Smp_244960.1
OG0000241	KAK4473290.1	Smp_171030.1
OG0000242	KAK4475949.1	Smp_346520.1
OG0000243	KAK4475854.1, KAK4475855.1	Smp_246870.1
OG0000244	KAK4475963.1	Smp_125550.1
OG0000245	KAK4475214.1	Smp_315810.1, Smp_315810.2
OG0000246	KAK4472531.1	Smp_334490.1
OG0000247	KAK4475795.1	Smp_340410.1
OG0000248	KAK4471206.1	Smp_023360.1
OG0000249	KAK4475119.1	Smp_340960.1
OG0000250	KAK4473679.1	Smp_049380.1
OG0000251	KAK4470876.1	Smp_055220.1
OG0000252	KAK4473757.1	Smp_088550.1
OG0000253	KAK4474966.1	Smp_130520.2, Smp_130520.1, Smp_130520.4, Smp_130520.3
OG0000254	KAK4476211.1	Smp_133740.1
OG0000255	KAK4472819.1	Smp_034870.1
OG0000256	KAK4472234.1, KAK4474108.1	Smp_343260.1
OG0000257	KAK4472840.1	Smp_164930.1
OG0000258	KAK4474630.1, KAK4474631.1	Smp_065840.1
OG0000259	KAK4472857.1	Smp_079370.1
OG0000260	KAK4475472.1	Smp_081450.1
OG0000261	KAK4471010.1	Smp_334030.1, Smp_334030.2
OG0000262	KAK4472696.1	Smp_012580.2, Smp_012580.1
OG0000263	KAK4471877.1	Smp_144430.1
OG0000264	KAK4468105.1	Smp_347000.1, Smp_133490.1
OG0000264	KAK4475793.1, KAK4467257.1	Smp_134260.1
OG0000266	KAK4467984.1	Smp_337080.1
OG0000267	KAK4468325.1, KAK4468328.1	Smp_179490.1, Smp_179490.3, Smp_179490.2
OG0000268	KAK4470182.1	Smp_067810.1
OG0000269	KAK4475673.1, KAK4467473.1	Smp_318690.1, Smp_031000.1, Smp_031000.2
OG0000270	KAK4472943.1	Smp_246700.1
OG0000271	KAK4469463.1	Smp_134670.1
OG0000272	KAK4474616.1	Smp_045950.1, Smp_045950.2
OG0000273	KAK4476008.1	Smp_171880.1
OG0000274	KAK4470994.1	Smp_334430.3, Smp_334430.1, Smp_334430.2
OG0000275	KAK4473868.1	Smp_196840.1
OG0000276	KAK4470557.1	Smp_312920.1
OG0000277	KAK4468906.1	Smp_332260.1, Smp_332260.2
OG0000281	KAK4467957.1	Smp_154160.1
OG0000281	KAK4474290.1	Smp_323740.1, Smp_344370.1
OG0000281	KAK4474343.1	Smp_007730.1
OG0000282	KAK4469862.1	Smp_034270.1
OG0000283	KAK4471958.1	Smp_126240.1, Smp_126240.2
OG0000284	KAK4473458.1	Smp_121950.1
OG0000285	KAK4474033.1	Smp_000020.1
OG0000286	KAK4473497.1	Smp_040510.1
OG0000287	KAK4470322.1	Smp_120640.1
OG0000288	KAK4468827.1	Smp_123180.1
OG0000289	KAK4474869.1	Smp_194590.1
OG0000290	KAK4473084.1	Smp_163580.1, Smp_163580.2
OG0000290	KAK4475486.1	Smp_176050.1
OG0000291	KAK4475323.1	Smp_130440.1
OG0000292	KAK4472551.1	Smp_083040.1, Smp_083040.2
OG0000293	KAK4473120.1	Smp_035580.1
OG0000293	KAK4471757.1	Smp_028990.1
OG0000293	KAK4469130.1	Smp_004810.1
OG0000294	KAK4475667.1, KAK4467246.1	Smp_324700.1, Smp_324700.2, Smp_340380.1
OG0000295	KAK4468851.1	Smp_247750.1, Smp_179250.1, Smp_247760.1, Smp_089290.1
OG0000296	KAK4475927.1	Smp_322820.1
OG0000296	KAK4475928.1	Smp_322830.1, Smp_322810.1
OG0000297	KAK4470949.1	Smp_050520.1
OG0000298	KAK4473556.1	Smp_336620.1
OG0000298	KAK4473971.1	Smp_135040.1, Smp_135040.2
OG0000299	KAK4471833.1	Smp_074050.1
OG0000300	KAK4474560.1	Smp_061840.1
OG0000301	KAK4470788.1	Smp_042160.1
OG0000302	KAK4472070.1	Smp_104500.3, Smp_104500.1, Smp_104500.4, Smp_104500.2
OG0000304	KAK4474657.1, KAK4474658.1	Smp_340500.1
OG0000305	KAK4469933.1	Smp_060940.1
OG0000306	KAK4474242.1, KAK4476079.1	Smp_342740.1
OG0000307	KAK4476060.1	Smp_343920.1
OG0000307	KAK4468423.1	Smp_011000.1
OG0000310	KAK4473952.1	Smp_247080.1
OG0000311	KAK4475143.1	Smp_161120.1, Smp_161120.2
OG0000312	KAK4472510.1	Smp_152840.1
OG0000313	KAK4467534.1, KAK4467392.1, KAK4467538.1	Smp_045980.1
OG0000314	KAK4473872.1	Smp_159070.1
OG0000315	KAK4472350.1	Smp_007260.1
OG0000315	KAK4471203.1	Smp_136710.2, Smp_136710.1
OG0000316	KAK4475212.1	Smp_168660.1
OG0000317	KAK4474513.1, KAK4474523.1	Smp_097820.1, Smp_097820.2
OG0000318	KAK4468970.1, KAK4467294.1	Smp_065130.1
OG0000319	KAK4472555.1	Smp_167160.1, Smp_167160.2
OG0000320	KAK4475005.1	Smp_306980.1
OG0000320	KAK4472423.1	Smp_140860.1
OG0000320	KAK4469809.1	Smp_245990.2, Smp_245990.1
OG0000321	KAK4473857.1	Smp_083780.1
OG0000322	KAK4473133.1	Smp_194030.1
OG0000323	KAK4474862.1, KAK4474841.1, KAK4474302.1	Smp_306120.1, Smp_344820.1, Smp_344820.2, Smp_344820.3
OG0000324	KAK4469242.1	Smp_147250.1
OG0000325	KAK4470078.1	Smp_151050.1
OG0000326	KAK4472025.1	Smp_069130.1
OG0000328	KAK4472902.1	Smp_035090.1
OG0000329	KAK4474582.1	Smp_018240.1, Smp_018240.2
OG0000332	KAK4471340.1	Smp_084870.1
OG0000333	KAK4475969.1	Smp_044610.1, Smp_342180.1
OG0000334	KAK4467411.1	Smp_135470.1
OG0000334	KAK4470467.1	Smp_345090.1
OG0000335	KAK4475523.1	Smp_153190.1
OG0000336	KAK4475727.1	Smp_007760.1
OG0000336	KAK4474964.1	Smp_130540.1
OG0000337	KAK4472168.1	Smp_019490.1
OG0000339	KAK4467425.1, KAK4472411.1	Smp_246410.1
OG0000342	KAK4475138.1	Smp_071630.1
OG0000342	KAK4475770.1	Smp_022810.1
OG0000342	KAK4475114.1	Smp_004910.1
OG0000343	KAK4472517.1	Smp_033530.1, Smp_140270.1, Smp_033540.1
OG0000344	KAK4475916.1	Smp_153780.1
OG0000345	KAK4469954.1	Smp_089460.1
OG0000346	KAK4467924.1	Smp_130250.1
OG0000347	KAK4472404.1	Smp_160940.1
OG0000348	KAK4475811.1	Smp_347690.2
OG0000349	KAK4474470.1	Smp_130750.1
OG0000350	KAK4473804.1	Smp_079650.1
OG0000351	KAK4475929.1	Smp_133790.1
OG0000352	KAK4474141.1	Smp_315890.1
OG0000353	KAK4470494.1	Smp_126740.1
OG0000354	KAK4475576.1	Smp_304130.1, Smp_304130.2
OG0000355	KAK4476092.1	Smp_158050.1
OG0000356	KAK4476066.1	Smp_332940.1
OG0000357	KAK4473507.1	Smp_040560.1
OG0000358	KAK4467361.1, KAK4467360.1	Smp_335900.1, Smp_018800.1, Smp_132470.1, Smp_309540.1, Smp_132480.1, Smp_335890.1, Smp_335890.3
OG0000359	KAK4474769.1	Smp_194800.1
OG0000360	KAK4475054.1	Smp_039640.1
OG0000361	KAK4469276.1	Smp_157340.1
OG0000362	KAK4471736.1	Smp_246570.1
OG0000363	KAK4473533.1	Smp_302930.1
OG0000364	KAK4472841.1	Smp_164940.1
OG0000365	KAK4471088.1, KAK4472119.1	Smp_190770.1, Smp_325650.1
OG0000366	KAK4469245.1	Smp_147240.1
OG0000367	KAK4472601.1	Smp_006700.1
OG0000368	KAK4475121.1	Smp_244010.1
OG0000369	KAK4467393.1, KAK4475644.1	Smp_171610.1
OG0000370	KAK4473705.1	Smp_147950.1, Smp_147950.2
OG0000371	KAK4473814.1	Smp_302090.1
OG0000372	KAK4474367.1	Smp_091840.1
OG0000372	KAK4474369.1	Smp_091820.1
OG0000373	KAK4474690.1	Smp_025260.1
OG0000374	KAK4473375.1	Smp_099850.1
OG0000375	KAK4475736.1, KAK4467517.1	Smp_191870.1
OG0000376	KAK4471759.1	Smp_347860.1
OG0000378	KAK4473152.1	Smp_163210.3, Smp_163210.1, Smp_163210.2
OG0000379	KAK4467588.1	Smp_320480.1
OG0000380	KAK4475417.1	Smp_070380.1
OG0000380	KAK4475418.1	Smp_075500.1
OG0000381	KAK4469535.1	Smp_105410.1
OG0000381	KAK4469537.1	Smp_012440.1
OG0000382	KAK4467541.1, KAK4467323.1, KAK4468641.1, KAK4468644.1, KAK4468642.1	Smp_070250.1, Smp_336880.1
OG0000383	KAK4473926.1	Smp_142650.2, Smp_142650.1
OG0000384	KAK4472592.1	Smp_316270.1, Smp_315420.1
OG0000385	KAK4471741.1	Smp_326080.1
OG0000385	KAK4471739.1	Smp_326090.1
OG0000386	KAK4475366.1	Smp_163760.1
OG0000387	KAK4475570.1	Smp_169140.1, Smp_320670.1
OG0000388	KAK4468526.1	Smp_344630.1, Smp_344630.2
OG0000389	KAK4470603.1	Smp_137210.1
OG0000390	KAK4468203.1	Smp_069960.1
OG0000391	KAK4474521.1	Smp_163340.1
OG0000393	KAK4469470.1	Smp_171540.1
OG0000394	KAK4471941.1	Smp_018760.1
OG0000395	KAK4470950.1	Smp_149200.1
OG0000396	KAK4467519.1, KAK4475731.1	Smp_126300.1
OG0000397	KAK4470932.1	Smp_027390.1
OG0000398	KAK4475045.1	Smp_244150.1
