Orthogroup	s.mekongi	schistosoma_japonicum
OG0000021	KAK4475894.1	EWB00_002053.1
OG0000021	KAK4475895.1	EWB00_010822
OG0000021	KAK4475890.1	EWB00_002049
OG0000021	KAK4475891.1	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000021	KAK4475889.1	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3
OG0000022	KAK4473037.1	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3
OG0000023	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1	EWB00_001990
OG0000023	KAK4472155.1, KAK4472183.1	EWB00_008435
OG0000024	KAK4473313.1	EWB00_007079
OG0000024	KAK4468456.1	EWB00_009218.2, EWB00_009218.1, EWB00_009219
OG0000024	KAK4471475.1	EWB00_008906
OG0000024	KAK4470835.1	EWB00_001214
OG0000024	KAK4470057.1	EWB00_003471
OG0000026	KAK4470973.1	EWB00_002251.1, EWB00_002251.2
OG0000026	KAK4470239.1, KAK4470240.1	EWB00_002721
OG0000026	KAK4470216.1	EWB00_002746
OG0000027	KAK4473677.1, KAK4472147.1	EWB00_003944
OG0000028	KAK4470768.1	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4
OG0000029	KAK4471130.1	EWB00_008857
OG0000029	KAK4468717.1	EWB00_007517
OG0000029	KAK4474996.1	EWB00_002502.1
OG0000029	KAK4474996.1	EWB00_002502.2
OG0000029	KAK4474996.1	EWB00_002502.4
OG0000029	KAK4468699.1, KAK4468698.1	EWB00_004876
OG0000030	KAK4476063.1	EWB00_003826
OG0000031	KAK4475389.1	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	KAK4476285.1	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3
OG0000032	KAK4476283.1, KAK4476284.1	EWB00_010258
OG0000032	KAK4470045.1	EWB00_003338
OG0000033	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1	EWB00_011057, EWB00_008866
OG0000034	KAK4468479.1	EWB00_008584
OG0000034	KAK4468478.1	EWB00_008585
OG0000034	KAK4471028.1, KAK4471029.1	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	KAK4475274.1	EWB00_002318
OG0000036	KAK4472143.1, KAK4472173.1, KAK4474228.1, KAK4474291.1, KAK4467477.1, KAK4471065.1, KAK4474306.1, KAK4472149.1, KAK4470022.1	EWB00_004262
OG0000036	KAK4471041.1, KAK4474305.1, KAK4474277.1, KAK4469008.1, KAK4471073.1, KAK4471076.1, KAK4474227.1, KAK4471072.1, KAK4470050.1	EWB00_002379, EWB00_009421, EWB00_002232, EWB00_003005, EWB00_005946, EWB00_009571
OG0000037	KAK4471851.1	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3
OG0000037	KAK4471850.1	EWB00_006569
OG0000041	KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1	EWB00_010562, EWB00_005597, EWB00_003816
OG0000042	KAK4472150.1	EWB00_009261.1, EWB00_009261.2
OG0000042	KAK4472153.1	EWB00_009262
OG0000042	KAK4473688.1	EWB00_004609
OG0000042	KAK4472151.1, KAK4472152.1	EWB00_004610, EWB00_009263
OG0000044	KAK4468903.1	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3
OG0000044	KAK4468904.1	EWB00_011369.1, EWB00_011369.2
OG0000045	KAK4468037.1, KAK4470284.1	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3
OG0000049	KAK4470136.1, KAK4470137.1	EWB00_001608.1, EWB00_001608.2
OG0000049	KAK4470598.1	EWB00_008098
OG0000050	KAK4469367.1	EWB00_005371.1, EWB00_005371.2
OG0000052	KAK4472821.1	EWB00_003293
OG0000052	KAK4474336.1	EWB00_007330
OG0000052	KAK4474374.1	EWB00_005671
OG0000052	KAK4474946.1	EWB00_003847
OG0000052	KAK4471620.1	EWB00_009848
OG0000053	KAK4475177.1, KAK4475178.1	EWB00_005460.2, EWB00_005460.1
OG0000054	KAK4471025.1, KAK4468371.1, KAK4474289.1	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767
OG0000054	KAK4472186.1	EWB00_010117
OG0000054	KAK4472139.1	EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892
OG0000054	KAK4469996.1	EWB00_003548
OG0000055	KAK4471575.1, KAK4471564.1	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	EWB00_000126.1, EWB00_000387.1, EWB00_000387.3, EWB00_005273, EWB00_008590, EWB00_010372, EWB00_008825, EWB00_006591, EWB00_008824
OG0000057	KAK4468384.1, KAK4470043.1	EWB00_008005
OG0000058	KAK4468525.1	EWB00_001871
OG0000058	KAK4470069.1	EWB00_003488.1, EWB00_003488.2
OG0000058	KAK4470074.1, KAK4470072.1	EWB00_003491
OG0000060	KAK4471247.1	EWB00_010498.1, EWB00_010498.2
OG0000061	KAK4469486.1	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000062	KAK4475970.1	EWB00_008458
OG0000063	KAK4473734.1	EWB00_006170
OG0000064	KAK4475705.1	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	KAK4473358.1	EWB00_000537
OG0000065	KAK4473352.1	EWB00_001523
OG0000065	KAK4473355.1, KAK4473357.1	EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	KAK4473833.1	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000067	KAK4471577.1	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3
OG0000068	KAK4469181.1	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	KAK4467758.1	EWB00_000572
OG0000068	KAK4473996.1, KAK4473997.1, KAK4473998.1	EWB00_004327
OG0000068	KAK4472801.1	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000069	KAK4474982.1	EWB00_002487
OG0000070	KAK4472878.1	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	KAK4472253.1	EWB00_001786
OG0000072	KAK4468648.1	EWB00_001684
OG0000073	KAK4469816.1	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	KAK4476006.1	EWB00_007721.1
OG0000074	KAK4468714.1	EWB00_007512.1
OG0000074	KAK4474596.1	EWB00_004196.6
OG0000074	KAK4468705.1	EWB00_008993
OG0000075	KAK4472282.1	EWB00_001749
OG0000076	KAK4468620.1	EWB00_000338, EWB00_000339
OG0000076	KAK4467358.1, KAK4475671.1	EWB00_009041
OG0000077	KAK4475941.1	EWB00_004677
OG0000078	KAK4467476.1, KAK4475827.1	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	KAK4472724.1	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000080	KAK4472503.1	EWB00_004899.1, EWB00_004899.2
OG0000081	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1	EWB00_001700, EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773
OG0000082	KAK4476263.1	EWB00_009477
OG0000085	KAK4474010.1	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5
OG0000086	KAK4470561.1	EWB00_004530
OG0000087	KAK4469513.1	EWB00_010661
OG0000088	KAK4475590.1	EWB00_007313
OG0000088	KAK4475589.1	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3
OG0000090	KAK4469374.1	EWB00_005364
OG0000091	KAK4469611.1	EWB00_010764.1, EWB00_010764.2
OG0000092	KAK4475365.1	EWB00_007194.1, EWB00_007194.2
OG0000092	KAK4474711.1	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1
OG0000093	KAK4473668.1	EWB00_003936
OG0000094	KAK4475997.1	EWB00_009097.1, EWB00_009097.2
OG0000095	KAK4471403.1, KAK4471978.1	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3
OG0000096	KAK4474123.1	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5
OG0000097	KAK4476042.1, KAK4476041.1	EWB00_007768
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	EWB00_011356
OG0000098	KAK4471639.1	EWB00_009825, EWB00_009827.1, EWB00_009827.2
OG0000099	KAK4471562.1	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3
OG0000099	KAK4470190.1	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3
OG0000102	KAK4475905.1	EWB00_010834.2, EWB00_010834.1
OG0000102	KAK4472110.1	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2
OG0000103	KAK4470657.1	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3
OG0000104	KAK4475921.1	EWB00_008979.1, EWB00_008979.2
OG0000105	KAK4474244.1, KAK4476082.1	EWB00_002088, EWB00_004453
OG0000106	KAK4470606.1	EWB00_009226, EWB00_003434, EWB00_009640, EWB00_009641
OG0000106	KAK4467455.1	EWB00_009643
OG0000107	KAK4469978.1	EWB00_007831
OG0000108	KAK4475981.1	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5
OG0000110	KAK4472451.1	EWB00_006025
OG0000110	KAK4472446.1	EWB00_006029
OG0000110	KAK4472452.1	EWB00_006024
OG0000110	KAK4472453.1	EWB00_006023
OG0000111	KAK4473064.1	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4
OG0000111	KAK4472668.1	EWB00_007468.1, EWB00_007468.2
OG0000111	KAK4469719.1	EWB00_003555.1, EWB00_003555.2
OG0000111	KAK4472666.1	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3
OG0000112	KAK4468035.1	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1
OG0000114	KAK4467770.1	EWB00_000559.1, EWB00_000559.2
OG0000115	KAK4473986.1	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3
OG0000116	KAK4469396.1	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5
OG0000117	KAK4472459.1	EWB00_006015.1, EWB00_006015.2
OG0000118	KAK4473725.1	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8
OG0000118	KAK4473729.1	EWB00_006163.1, EWB00_006163.2
OG0000118	KAK4473727.1	EWB00_006161
OG0000118	KAK4473726.1	EWB00_006160
OG0000118	KAK4473728.1	EWB00_006162
OG0000119	KAK4467682.1	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1
OG0000120	KAK4472468.1	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3
OG0000122	KAK4470066.1	EWB00_003485
OG0000123	KAK4470855.1	EWB00_001234.1, EWB00_001234.2
OG0000125	KAK4474534.1	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3
OG0000126	KAK4470546.1	EWB00_000954
OG0000127	KAK4475492.1	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4
OG0000128	KAK4473532.1	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3
OG0000129	KAK4474206.1	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1
OG0000130	KAK4467983.1	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3
OG0000131	KAK4476229.1	EWB00_003089
OG0000132	KAK4474101.1	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3
OG0000133	KAK4472626.1	EWB00_002574.1, EWB00_002574.2
OG0000134	KAK4475011.1	EWB00_002521
OG0000135	KAK4474731.1	EWB00_002678.2, EWB00_002678.1
OG0000136	KAK4476189.1, KAK4476190.1	EWB00_002100.1, EWB00_002100.2
OG0000137	KAK4473442.1	EWB00_003243, EWB00_003242, EWB00_010379
OG0000137	KAK4473441.1	EWB00_003244
OG0000138	KAK4468744.1	EWB00_007536.1, EWB00_007536.2
OG0000138	KAK4473697.1	EWB00_009704
OG0000139	KAK4475677.1	EWB00_009035
OG0000140	KAK4470680.1, KAK4470033.1	EWB00_010959
OG0000141	KAK4467352.1	EWB00_007088, EWB00_002941, EWB00_002719, EWB00_002942, EWB00_003683, EWB00_002908, EWB00_010265
OG0000143	KAK4471520.1, KAK4471522.1	EWB00_006280.1, EWB00_006280.2
OG0000144	KAK4469871.1	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6
OG0000144	KAK4473145.1	EWB00_001080
OG0000144	KAK4469772.1	EWB00_005163
OG0000145	KAK4472181.1	EWB00_002936
OG0000146	KAK4468443.1	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3
OG0000146	KAK4469748.1	EWB00_005122
OG0000146	KAK4472748.1	EWB00_007935.1, EWB00_007935.2
OG0000146	KAK4469097.1	EWB00_006903
OG0000147	KAK4474043.1	EWB00_004283
OG0000148	KAK4472662.1	EWB00_007473
OG0000149	KAK4469180.1	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4
OG0000151	KAK4471438.1, KAK4471439.1	EWB00_008868
OG0000152	KAK4474412.1	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5
OG0000153	KAK4469387.1	EWB00_005352.1, EWB00_005352.2
OG0000154	KAK4475184.1	EWB00_005454.3, EWB00_005454.1
OG0000154	KAK4475186.1	EWB00_005454.2
OG0000155	KAK4473822.1	EWB00_005616
OG0000156	KAK4475038.1	EWB00_010322
OG0000156	KAK4475039.1	EWB00_010321
OG0000157	KAK4471808.1	EWB00_001166
OG0000157	KAK4472697.1	EWB00_005728
OG0000157	KAK4467690.1	EWB00_011201
OG0000158	KAK4475829.1, KAK4473934.1	EWB00_006315
OG0000158	KAK4475828.1	EWB00_006316
OG0000159	KAK4471746.1	EWB00_009175
OG0000160	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3
OG0000161	KAK4474169.1	EWB00_003371.1, EWB00_003371.2
OG0000164	KAK4471960.1	EWB00_011122.1, EWB00_011122.2
OG0000164	KAK4470406.1	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4
OG0000164	KAK4469800.1	EWB00_003801.1, EWB00_003801.2
OG0000164	KAK4472495.1	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4
OG0000165	KAK4471264.1	EWB00_010478
OG0000167	KAK4470364.1	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6
OG0000168	KAK4467445.1	EWB00_009789, EWB00_009892, EWB00_003828, EWB00_008795
OG0000169	KAK4467756.1	EWB00_000574
OG0000169	KAK4472610.1	EWB00_004911.1, EWB00_004911.2
OG0000169	KAK4467718.1, KAK4467716.1, KAK4467717.1	EWB00_009686
OG0000170	KAK4470632.1	EWB00_000962
OG0000172	KAK4475142.1	EWB00_001058.1, EWB00_001058.2
OG0000173	KAK4468268.1	EWB00_008475
OG0000175	KAK4473136.1	EWB00_007666
OG0000175	KAK4473125.1	EWB00_007667
OG0000175	KAK4473114.1	EWB00_007668
OG0000175	KAK4473106.1	EWB00_007669
OG0000176	KAK4467326.1, KAK4474298.1	EWB00_001540, EWB00_004362, EWB00_005462, EWB00_010563, EWB00_003767, EWB00_010852
OG0000177	KAK4472104.1	EWB00_010516.1, EWB00_010516.2
OG0000178	KAK4472894.1	EWB00_003718
OG0000179	KAK4469016.1	EWB00_000893
OG0000179	KAK4469902.1	EWB00_009104
OG0000180	KAK4468049.1	EWB00_006752
OG0000180	KAK4468060.1	EWB00_006753.1, EWB00_006753.2
OG0000180	KAK4468069.1	EWB00_006754, EWB00_010162, EWB00_010163
OG0000180	KAK4468040.1	EWB00_006750.1, EWB00_006750.2
OG0000182	KAK4471145.1	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2
OG0000182	KAK4472799.1	EWB00_000643
OG0000183	KAK4472516.1	EWB00_005958.1, EWB00_005958.2
OG0000184	KAK4469199.1	EWB00_006467.1, EWB00_006467.2
OG0000184	KAK4469198.1	EWB00_006468
OG0000185	KAK4472507.1	EWB00_005969.1, EWB00_005969.2
OG0000186	KAK4470241.1, KAK4470242.1	EWB00_002720
OG0000187	KAK4469682.1	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3
OG0000188	KAK4472612.1	EWB00_010904
OG0000189	KAK4476062.1	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4
OG0000190	KAK4469926.1	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2
OG0000191	KAK4473909.1	EWB00_004926
OG0000191	KAK4473910.1	EWB00_004925, EWB00_003164, EWB00_003167
OG0000192	KAK4471381.1	EWB00_003964.1, EWB00_003964.2
OG0000193	KAK4471157.1	EWB00_003263.4, EWB00_003263.2, EWB00_003263.1, EWB00_003263.3, EWB00_003263.5, EWB00_003263.6
OG0000193	KAK4471189.1	EWB00_004005, EWB00_009649, EWB00_005224, EWB00_010853, EWB00_005225
OG0000194	KAK4470371.1	EWB00_001391
OG0000195	KAK4469314.1	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3
OG0000196	KAK4468938.1	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3
OG0000196	KAK4474524.1	EWB00_009417.2, EWB00_009417.1
OG0000196	KAK4475932.1	EWB00_004668.2, EWB00_004668.1
OG0000197	KAK4472750.1, KAK4472751.1	EWB00_007934.6, EWB00_007934.4, EWB00_007934.2, EWB00_007934.3, EWB00_007934.1, EWB00_007934.5, EWB00_007934.7
OG0000198	KAK4473170.1	EWB00_001112
OG0000198	KAK4474280.1	EWB00_009378.1, EWB00_009378.2, EWB00_009378.3
OG0000199	KAK4472571.1	EWB00_007850.1, EWB00_007850.2
OG0000201	KAK4473643.1	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3
OG0000202	KAK4469384.1	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2
OG0000203	KAK4472530.1, KAK4472529.1	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3
OG0000204	KAK4468847.1	EWB00_005277
OG0000204	KAK4468400.1, KAK4468845.1	EWB00_005275, EWB00_005276.1, EWB00_005276.2
OG0000205	KAK4475157.1	EWB00_005482
OG0000207	KAK4474093.1	EWB00_006855
OG0000207	KAK4474090.1	EWB00_006859
OG0000207	KAK4474092.1	EWB00_006857
OG0000207	KAK4474089.1	EWB00_006860
OG0000207	KAK4474091.1	EWB00_006858
OG0000208	KAK4470297.1	EWB00_006604
OG0000209	KAK4476246.1	EWB00_003068
OG0000210	KAK4468068.1	EWB00_008607
OG0000211	KAK4476043.1	EWB00_008540.1, EWB00_008540.2, EWB00_008540.3, EWB00_008540.4
OG0000212	KAK4473242.1	EWB00_000254.1, EWB00_000254.2
OG0000214	KAK4475773.1	EWB00_000769.1, EWB00_000769.2, EWB00_000769.3
OG0000215	KAK4471161.1	EWB00_003195.1, EWB00_003195.2, EWB00_003195.3, EWB00_003195.4, EWB00_003195.5, EWB00_003195.6, EWB00_003193
OG0000217	KAK4472243.1	EWB00_003421.5, EWB00_003421.6, EWB00_003421.2, EWB00_003421.1, EWB00_003421.3, EWB00_003421.4, EWB00_003421.7
OG0000218	KAK4474847.1	EWB00_007629
OG0000219	KAK4471869.1	EWB00_011278.1, EWB00_011278.2
OG0000220	KAK4470648.1	EWB00_011054.2, EWB00_011054.1, EWB00_011054.3
OG0000221	KAK4476180.1	EWB00_009959, EWB00_008502
OG0000221	KAK4467410.1	EWB00_007895
OG0000221	KAK4475529.1	EWB00_007896
OG0000222	KAK4470706.1	EWB00_010985.3, EWB00_010985.4, EWB00_010985.1, EWB00_010985.2
OG0000223	KAK4476292.1	EWB00_008468
OG0000224	KAK4475913.1	EWB00_010846
OG0000225	KAK4475585.1	EWB00_008634
OG0000226	KAK4474133.1	EWB00_001463.1, EWB00_001463.2
OG0000227	KAK4471428.1	EWB00_010050
OG0000228	KAK4473445.1	EWB00_003240.1, EWB00_003240.2
OG0000229	KAK4472065.1	EWB00_007972
OG0000230	KAK4471407.1	EWB00_007125
OG0000231	KAK4474331.1, KAK4475500.1, KAK4474325.1, KAK4475495.1, KAK4474330.1	EWB00_005747.1, EWB00_005747.2, EWB00_005747.3
OG0000231	KAK4467379.1	EWB00_004990
OG0000231	KAK4472233.1	EWB00_002438.1, EWB00_002438.2, EWB00_010370, EWB00_009743, EWB00_010909, EWB00_000087, EWB00_009500, EWB00_009502, EWB00_009501, EWB00_009967, EWB00_010369.2, EWB00_010369.1, EWB00_009744, EWB00_000591, EWB00_009770, EWB00_009955, EWB00_009962
OG0000234	KAK4473948.1	EWB00_004388, EWB00_004387
OG0000235	KAK4467350.1, KAK4475661.1	EWB00_009052
OG0000235	KAK4467339.1, KAK4467303.1, KAK4475660.1	EWB00_009056
OG0000236	KAK4469919.1	EWB00_007746
OG0000237	KAK4469703.1	EWB00_006822
OG0000238	KAK4473873.1	EWB00_007715.1, EWB00_007715.2, EWB00_007715.3
OG0000239	KAK4473024.1	EWB00_002853.1, EWB00_002853.2
OG0000240	KAK4472743.1	EWB00_007941.1, EWB00_007941.2
OG0000241	KAK4476019.1	EWB00_007788.1, EWB00_007788.2, EWB00_007788.3
OG0000241	KAK4476020.1	EWB00_007787
OG0000241	KAK4473290.1	EWB00_007058.1, EWB00_007058.2
OG0000242	KAK4475949.1	EWB00_004683
OG0000243	KAK4475854.1	EWB00_006288.2, EWB00_006288.4, EWB00_006288.3
OG0000243	KAK4475855.1	EWB00_006288.1
OG0000244	KAK4475963.1	EWB00_008588
OG0000245	KAK4475214.1	EWB00_005430.3, EWB00_005430.1, EWB00_005430.2, EWB00_005430.4, EWB00_005431, EWB00_005432.2, EWB00_005432.1
OG0000246	KAK4472531.1	EWB00_003780.1, EWB00_003780.2
OG0000247	KAK4475795.1	EWB00_006352.1, EWB00_006352.2
OG0000248	KAK4471206.1	EWB00_000905.1, EWB00_000905.3, EWB00_000905.2
OG0000249	KAK4475119.1	EWB00_001035
OG0000250	KAK4473679.1	EWB00_003949.1, EWB00_003949.3, EWB00_003949.2, EWB00_003949.4
OG0000251	KAK4470876.1	EWB00_001254.3, EWB00_001254.1, EWB00_001254.2
OG0000252	KAK4473757.1	EWB00_006197
