Orthogroup	schistosoma_mattheei	schistosoma_mansoni
OG0000018	SMTH1_29900.2, SMTH1_29900.7, SMTH1_29900.3, SMTH1_29900.4, SMTH1_29900.6, SMTH1_29900.5, SMTH1_60370.1, SMTH1_29900.1, SMTH1_38820.2, SMTH1_38820.3, SMTH1_38830.1, SMTH1_38840.1, SMTH1_38820.1, SMTH1_44570.1, SMTH1_44570.2, SMTH1_83600.1, SMTH1_64760.2, SMTH1_64760.3, SMTH1_64760.4, SMTH1_64760.1	Smp_350200.1, Smp_247320.1, Smp_266740.1
OG0000019	SMTH1_40590.10, SMTH1_40590.6, SMTH1_40590.8, SMTH1_40590.5, SMTH1_40590.7, SMTH1_40590.9, SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4	Smp_102690.1
OG0000019	SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12	Smp_179320.1
OG0000020	SMTH1_102380.1, SMTH1_102370.1, SMTH1_102390.1, SMTH1_102090.1, SMTH1_102090.2, SMTH1_102020.1, SMTH1_102080.1, SMTH1_102040.1, SMTH1_102040.2	Smp_341270.1
OG0000021	SMTH1_9440.1	Smp_145560.1
OG0000021	SMTH1_6700.1, SMTH1_82170.1	Smp_134980.1
OG0000021	SMTH1_6710.1	Smp_245140.1
OG0000021	SMTH1_6660.1, SMTH1_6650.1	Smp_135010.1
OG0000021	SMTH1_6690.1, SMTH1_6690.2	Smp_245160.1
OG0000021	SMTH1_6640.1, SMTH1_6640.3, SMTH1_6640.2	Smp_135020.1
OG0000022	SMTH1_30110.1	Smp_163420.1
OG0000024	SMTH1_26330.1	Smp_103790.1
OG0000024	SMTH1_101590.1	Smp_016780.1
OG0000024	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3	Smp_027920.1
OG0000024	SMTH1_89320.1	Smp_103140.1
OG0000024	SMTH1_89310.1	Smp_090120.1
OG0000026	SMTH1_88650.1, SMTH1_88650.2	Smp_055780.1
OG0000026	SMTH1_80430.1	Smp_336100.1
OG0000026	SMTH1_80360.1	Smp_089200.1, Smp_089200.2
OG0000027	SMTH1_44580.21, SMTH1_44580.8	Smp_332600.2
OG0000027	SMTH1_44580.34, SMTH1_44580.6, SMTH1_44580.7, SMTH1_44580.36, SMTH1_44580.12	Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8
OG0000027	SMTH1_44580.20, SMTH1_44580.25, SMTH1_44580.38	Smp_332600.3, Smp_332600.5
OG0000028	SMTH1_78260.1, SMTH1_78260.2	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3
OG0000029	SMTH1_63900.1	Smp_072870.1
OG0000029	SMTH1_96900.1	Smp_203130.1
OG0000029	SMTH1_96870.1	Smp_202970.1
OG0000029	SMTH1_22560.1	Smp_307010.1
OG0000029	SMTH1_22560.2	Smp_307010.1
OG0000029	SMTH1_22560.3	Smp_307010.1
OG0000029	SMTH1_22560.4	Smp_307010.1
OG0000029	SMTH1_22560.1	Smp_307020.1
OG0000029	SMTH1_22560.2	Smp_307020.1
OG0000029	SMTH1_22560.3	Smp_307020.1
OG0000029	SMTH1_22560.4	Smp_307020.1
OG0000029	SMTH1_97890.7	Smp_183710.1
OG0000030	SMTH1_7700.1	Smp_174960.1
OG0000031	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5	Smp_017010.1
OG0000032	SMTH1_11640.1	Smp_079970.1
OG0000032	SMTH1_11650.1	Smp_079960.1
OG0000032	SMTH1_88710.1	Smp_164480.1
OG0000032	SMTH1_88690.1	Smp_313980.1
OG0000034	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3	Smp_009430.1
OG0000034	SMTH1_101830.1, SMTH1_101820.1, SMTH1_101820.2	Smp_308940.1, Smp_308930.1
OG0000034	SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1, SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1	Smp_309980.1, Smp_327270.1
OG0000034	SMTH1_63730.1	Smp_168550.1, Smp_331970.1
OG0000035	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4	Smp_045860.1
OG0000037	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1, SMTH1_66620.1	Smp_157980.1, Smp_157980.2
OG0000037	SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1	Smp_308100.1, Smp_308110.1
OG0000038	SMTH1_48020.1	Smp_201680.1, Smp_185420.1, Smp_350130.1, Smp_349900.1, Smp_350400.1, Smp_350340.1, Smp_350250.1, Smp_200230.1, Smp_200960.1, Smp_205660.1
OG0000040	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3, SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2
OG0000042	SMTH1_44430.1, SMTH1_44430.2	Smp_247180.1
OG0000042	SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2	Smp_247170.1
OG0000042	SMTH1_44330.1	Smp_048050.1, Smp_048050.2, Smp_049230.1
OG0000042	SMTH1_44390.1, SMTH1_44410.1	Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1
OG0000043	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5	Smp_083340.1
OG0000044	SMTH1_95170.1, SMTH1_95180.1	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1
OG0000044	SMTH1_95210.1	Smp_062080.1
OG0000045	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1	Smp_094770.1
OG0000046	SMTH1_18850.1, SMTH1_47020.4, SMTH1_3530.3, SMTH1_3530.4, SMTH1_47020.1, SMTH1_3530.1, SMTH1_3530.2, SMTH1_47020.2, SMTH1_47020.3	Smp_120020.1, Smp_114870.1, Smp_026790.1, Smp_242960.1, Smp_109240.1, Smp_174250.1, Smp_175190.1, Smp_101840.1, Smp_197170.1, Smp_026200.1
OG0000047	SMTH1_32570.1, SMTH1_35900.2, SMTH1_35900.6, SMTH1_35900.7, SMTH1_35900.4, SMTH1_35900.3, SMTH1_35900.1, SMTH1_35900.5	Smp_076460.1
OG0000048	SMTH1_35420.1, SMTH1_35420.2	Smp_349350.1
OG0000048	SMTH1_91020.1, SMTH1_91020.2, SMTH1_90630.2	Smp_340140.1
OG0000049	SMTH1_77450.1, SMTH1_77460.1	Smp_315900.2, Smp_315900.1
OG0000049	SMTH1_81780.1	Smp_343120.1
OG0000050	SMTH1_59780.1, SMTH1_59790.1, SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13	Smp_311520.1, Smp_245890.1
OG0000051	SMTH1_65680.1	Smp_204010.1, Smp_350270.1, Smp_202400.1, Smp_349420.1, Smp_201230.1, Smp_350300.1
OG0000052	SMTH1_31800.1	Smp_034920.1
OG0000052	SMTH1_3820.1	Smp_332890.1
OG0000052	SMTH1_1100.1, SMTH1_1110.1	Smp_130810.1
OG0000052	SMTH1_2070.1	Smp_303940.1
OG0000052	SMTH1_74430.1	Smp_159840.1
OG0000053	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9	Smp_075220.1
OG0000054	SMTH1_12390.1, SMTH1_34770.1, SMTH1_43570.1, SMTH1_44960.1, SMTH1_15020.1, SMTH1_60540.1, SMTH1_89020.1	Smp_106390.1
OG0000055	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1	Smp_309720.1, Smp_309710.1
OG0000056	SMTH1_100750.1, SMTH1_50540.1, SMTH1_65470.1, SMTH1_36280.1, SMTH1_38140.1, SMTH1_42870.1, SMTH1_25400.1, SMTH1_61570.1	Smp_168030.1
OG0000058	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1	Smp_247950.1
OG0000058	SMTH1_89470.1	Smp_247290.1
OG0000058	SMTH1_89520.1	Smp_054010.1
OG0000058	SMTH1_89460.1	Smp_150990.1, Smp_150990.2
OG0000060	SMTH1_72720.1	Smp_123510.1
OG0000061	SMTH1_58650.1	Smp_212360.2, Smp_212360.1
OG0000062	SMTH1_7060.1	Smp_332930.1
OG0000063	SMTH1_43840.1	Smp_171820.1
OG0000064	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15	Smp_332910.1, Smp_332910.2
OG0000065	SMTH1_107120.1	Smp_085010.1, Smp_085010.2
OG0000065	SMTH1_25650.1, SMTH1_25600.1, SMTH1_25640.1, SMTH1_25640.2	Smp_067060.1, Smp_103610.1, Smp_344940.1
OG0000066	SMTH1_41200.1	Smp_040970.1
OG0000067	SMTH1_75020.12, SMTH1_75020.11, SMTH1_75020.13, SMTH1_75020.1, SMTH1_75020.8, SMTH1_75020.2, SMTH1_75020.5, SMTH1_75020.6, SMTH1_75020.7, SMTH1_75020.9, SMTH1_75020.3, SMTH1_75020.4, SMTH1_75020.10	Smp_000260.1
OG0000068	SMTH1_60000.1, SMTH1_60010.1	Smp_002410.1
OG0000068	SMTH1_105080.1, SMTH1_105080.2	Smp_041430.1
OG0000068	SMTH1_40460.1	Smp_301620.1
OG0000068	SMTH1_40460.5, SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4	Smp_009760.1
OG0000068	SMTH1_31850.1	Smp_034840.1
OG0000069	SMTH1_22730.2, SMTH1_22710.1, SMTH1_22730.1	Smp_155020.1
OG0000070	SMTH1_48740.1	Smp_315710.1
OG0000071	SMTH1_37950.1	Smp_033600.1
OG0000072	SMTH1_99330.1, SMTH1_99340.1	Smp_343430.1
OG0000073	SMTH1_61870.1, SMTH1_61880.1, SMTH1_61880.2, SMTH1_61880.3	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1
OG0000074	SMTH1_1470.7, SMTH1_1470.8, SMTH1_1470.4, SMTH1_1470.1, SMTH1_1470.2, SMTH1_1470.3	Smp_152330.1
OG0000074	SMTH1_97660.1	Smp_164380.1
OG0000074	SMTH1_12710.1, SMTH1_12710.2, SMTH1_12710.4, SMTH1_12710.3	Smp_307260.1
OG0000074	SMTH1_97780.1	Smp_085690.1
OG0000075	SMTH1_37710.1, SMTH1_37730.1, SMTH1_37720.1	Smp_246680.1
OG0000076	SMTH1_100810.1	Smp_141980.3
OG0000076	SMTH1_4450.2, SMTH1_4450.3, SMTH1_4450.4, SMTH1_4450.1, SMTH1_4450.5	Smp_134140.2, Smp_134140.1
OG0000077	SMTH1_12170.1, SMTH1_12170.2, SMTH1_12170.4, SMTH1_12170.3, SMTH1_12170.10, SMTH1_12170.8, SMTH1_12170.5, SMTH1_12170.7, SMTH1_12170.9, SMTH1_12170.6	Smp_244680.1, Smp_244680.2
OG0000078	SMTH1_6320.1	Smp_092530.1
OG0000079	SMTH1_34060.2, SMTH1_34060.4, SMTH1_34060.1, SMTH1_34060.3, SMTH1_34060.5	Smp_129050.1
OG0000079	SMTH1_60070.2, SMTH1_60070.4, SMTH1_60070.3, SMTH1_60070.1	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3
OG0000080	SMTH1_49150.2, SMTH1_49150.4, SMTH1_49150.7	Smp_165200.3, Smp_165200.1, Smp_165200.2
OG0000081	SMTH1_105800.1	Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1
OG0000081	SMTH1_15900.1	Smp_072670.1
OG0000081	SMTH1_85790.1, SMTH1_85760.1	Smp_122190.1
OG0000082	SMTH1_11790.11, SMTH1_11790.12, SMTH1_11790.1, SMTH1_11790.2, SMTH1_11790.3, SMTH1_11790.4, SMTH1_11790.5, SMTH1_11790.9, SMTH1_11790.8, SMTH1_11790.10, SMTH1_11790.6, SMTH1_11790.7, SMTH1_11790.13, SMTH1_11790.14	Smp_132900.1
OG0000084	SMTH1_23920.1, SMTH1_2910.1, SMTH1_50670.1, SMTH1_40160.1, SMTH1_86290.1, SMTH1_13360.1	Smp_179580.1
OG0000084	SMTH1_20950.1, SMTH1_22830.1, SMTH1_50630.1, SMTH1_82590.1, SMTH1_1280.1, SMTH1_36540.1, SMTH1_84340.1, SMTH1_49180.1, SMTH1_65880.1, SMTH1_24920.1, SMTH1_31280.1, SMTH1_31970.1, SMTH1_44840.1	Smp_201970.1
OG0000085	SMTH1_40330.1, SMTH1_40330.10, SMTH1_40330.2, SMTH1_40330.3, SMTH1_40330.4, SMTH1_40330.5, SMTH1_40330.7, SMTH1_40330.8, SMTH1_40330.6, SMTH1_40330.9	Smp_127430.1
OG0000086	SMTH1_81430.2, SMTH1_81430.3, SMTH1_81430.6, SMTH1_81430.7, SMTH1_81430.4, SMTH1_81430.5, SMTH1_81430.8, SMTH1_81430.9, SMTH1_81430.1	Smp_149300.1
OG0000087	SMTH1_59010.1, SMTH1_59010.12, SMTH1_59010.14, SMTH1_59010.15, SMTH1_59010.16, SMTH1_59010.6, SMTH1_59010.8, SMTH1_59010.9, SMTH1_59010.13, SMTH1_59010.7, SMTH1_59010.5, SMTH1_59010.10, SMTH1_59010.4, SMTH1_59010.11, SMTH1_59010.17, SMTH1_59010.2, SMTH1_59010.3	Smp_245790.1
OG0000088	SMTH1_3690.4, SMTH1_3690.2, SMTH1_3690.3, SMTH1_3690.1	Smp_028690.1, Smp_028690.2
OG0000088	SMTH1_3660.2, SMTH1_3660.1, SMTH1_3660.6, SMTH1_3660.5, SMTH1_3660.4, SMTH1_3660.3, SMTH1_3660.7	Smp_131890.1
OG0000090	SMTH1_55910.5, SMTH1_55910.4, SMTH1_55910.6, SMTH1_55910.1, SMTH1_55910.2, SMTH1_55910.3	Smp_310930.1
OG0000091	SMTH1_53400.1	Smp_146060.1
OG0000092	SMTH1_2640.1, SMTH1_2640.2, SMTH1_2640.3	Smp_180470.1, Smp_180470.2
OG0000092	SMTH1_14740.1	Smp_064870.1
OG0000093	SMTH1_44730.1	Smp_049550.1
OG0000093	SMTH1_43690.1, SMTH1_43700.1, SMTH1_43710.1, SMTH1_43680.2, SMTH1_43680.3, SMTH1_43680.1, SMTH1_43690.2	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1
OG0000094	SMTH1_9680.2, SMTH1_9680.3, SMTH1_9680.1, SMTH1_9680.5, SMTH1_9680.4, SMTH1_9680.6	Smp_128570.1
OG0000095	SMTH1_68360.1	Smp_162630.1
OG0000096	SMTH1_39100.6, SMTH1_39100.1, SMTH1_39100.2, SMTH1_39100.8, SMTH1_39100.7, SMTH1_39100.3, SMTH1_39100.10, SMTH1_39100.4, SMTH1_39100.5, SMTH1_39100.9	Smp_005190.2, Smp_005190.1, Smp_005190.3
OG0000097	SMTH1_7960.1	Smp_168050.1
OG0000098	SMTH1_45820.1, SMTH1_45820.2	Smp_072330.1
OG0000098	SMTH1_74230.1, SMTH1_74220.1	Smp_340630.1, Smp_340630.2
OG0000099	SMTH1_75170.1	Smp_000100.1
OG0000099	SMTH1_80070.5, SMTH1_80070.1, SMTH1_80070.4, SMTH1_80070.2, SMTH1_80070.3	Smp_317420.1
OG0000102	SMTH1_6850.1, SMTH1_6850.2, SMTH1_6850.3, SMTH1_6850.4	Smp_036590.1
OG0000103	SMTH1_82550.10, SMTH1_82550.1, SMTH1_82550.2, SMTH1_82550.3, SMTH1_82550.4, SMTH1_82550.8, SMTH1_82550.7, SMTH1_82550.5, SMTH1_82550.6, SMTH1_82550.9	Smp_067000.1
OG0000104	SMTH1_7040.1	Smp_006250.1
OG0000105	SMTH1_8820.1, SMTH1_8820.2, SMTH1_8820.3, SMTH1_8820.4, SMTH1_8820.5, SMTH1_8820.6, SMTH1_8820.7, SMTH1_8820.8, SMTH1_8820.9	Smp_019790.1
OG0000106	SMTH1_81920.1	Smp_345820.1
OG0000106	SMTH1_81890.1, SMTH1_81940.1	Smp_336130.1
OG0000108	SMTH1_9500.1	Smp_093930.1
OG0000110	SMTH1_33110.1	Smp_333980.1
OG0000110	SMTH1_33070.1, SMTH1_33080.1	Smp_055260.1
OG0000110	SMTH1_33120.1, SMTH1_33120.2, SMTH1_33120.3	Smp_129920.1
OG0000110	SMTH1_33130.1	Smp_129900.1
OG0000111	SMTH1_45910.1	Smp_072140.1
OG0000111	SMTH1_57950.1	Smp_146600.1, Smp_146600.2
OG0000111	SMTH1_34690.1, SMTH1_34690.2	Smp_330250.1
OG0000111	SMTH1_34710.1, SMTH1_34710.2	Smp_104110.1
OG0000112	SMTH1_92870.1, SMTH1_92880.1	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2
OG0000113	SMTH1_94980.1	Smp_349770.1, Smp_336365.1, Smp_349460.1
OG0000114	SMTH1_104970.1	Smp_144700.1
OG0000115	SMTH1_40570.1, SMTH1_40570.12, SMTH1_40570.3, SMTH1_40570.4, SMTH1_40570.7, SMTH1_40570.11, SMTH1_40570.6, SMTH1_40570.10, SMTH1_40570.2, SMTH1_40570.5, SMTH1_40570.8, SMTH1_40570.9	Smp_094320.1
OG0000116	SMTH1_56110.1	Smp_013840.1, Smp_013840.2
OG0000117	SMTH1_33220.1	Smp_014170.1
OG0000118	SMTH1_43930.1	Smp_319790.1
OG0000118	SMTH1_43940.1	Smp_148080.1
OG0000118	SMTH1_107810.1, SMTH1_107810.2, SMTH1_43950.1, SMTH1_43960.1	Smp_344080.1
OG0000118	SMTH1_43910.1	Smp_344070.1
OG0000118	SMTH1_43920.1	Smp_319780.1, Smp_319770.1, Smp_319770.2
OG0000119	SMTH1_105850.1, SMTH1_105830.1, SMTH1_105850.5, SMTH1_105850.2, SMTH1_105850.4, SMTH1_105830.2, SMTH1_105850.3	Smp_247020.1
OG0000120	SMTH1_107750.15, SMTH1_107750.1, SMTH1_107750.3, SMTH1_33290.1, SMTH1_33290.3, SMTH1_33290.4, SMTH1_107750.4, SMTH1_107750.10, SMTH1_107750.12, SMTH1_107750.16, SMTH1_107750.7, SMTH1_55820.1, SMTH1_107750.11, SMTH1_107750.5, SMTH1_107750.6, SMTH1_33290.5, SMTH1_107750.2, SMTH1_33290.2, SMTH1_33290.7, SMTH1_55820.3, SMTH1_55820.2, SMTH1_107750.13, SMTH1_107750.14, SMTH1_107750.9, SMTH1_33290.6, SMTH1_107750.8	Smp_167850.1
OG0000122	SMTH1_89440.1	Smp_344340.1
OG0000123	SMTH1_87340.1	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4
OG0000125	SMTH1_1620.1	Smp_097830.2, Smp_097830.1, Smp_097830.3
OG0000126	SMTH1_78590.1	Smp_008620.1
OG0000127	SMTH1_25070.3, SMTH1_25070.1, SMTH1_25070.2, SMTH1_25070.4	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3
OG0000128	SMTH1_47950.1, SMTH1_47950.2, SMTH1_47950.3	Smp_332660.1
OG0000129	SMTH1_35850.5, SMTH1_35850.1, SMTH1_35850.7, SMTH1_35850.2, SMTH1_35850.3, SMTH1_35850.8, SMTH1_35850.4, SMTH1_35850.6	Smp_140420.1
OG0000130	SMTH1_89720.8, SMTH1_89720.1, SMTH1_89720.2, SMTH1_89720.3, SMTH1_89720.4, SMTH1_89720.5, SMTH1_89720.6, SMTH1_89720.7, SMTH1_89720.9	Smp_060420.1, Smp_060420.2
OG0000131	SMTH1_9790.1, SMTH1_9790.3, SMTH1_9790.2	Smp_322720.1
OG0000131	SMTH1_95200.1	Smp_155520.1, Smp_155520.2
OG0000131	SMTH1_95190.1	Smp_336270.1
OG0000132	SMTH1_39420.1	Smp_028030.1
OG0000133	SMTH1_35160.11, SMTH1_35160.2, SMTH1_35160.3, SMTH1_35160.5, SMTH1_35160.6, SMTH1_35160.1, SMTH1_35160.4, SMTH1_35160.7, SMTH1_35160.10, SMTH1_35160.9, SMTH1_35160.8	Smp_072980.1
OG0000134	SMTH1_22380.1	Smp_032480.1
OG0000135	SMTH1_14940.1, SMTH1_14940.2, SMTH1_14940.7, SMTH1_14940.6, SMTH1_14940.5, SMTH1_14940.3, SMTH1_14940.4	Smp_046060.1, Smp_046060.2
OG0000136	SMTH1_8440.1, SMTH1_8450.1	Smp_174310.1
OG0000137	SMTH1_46890.1	Smp_320110.1
OG0000137	SMTH1_46880.1	Smp_166340.1
OG0000137	SMTH1_46870.1	Smp_348070.1
OG0000138	SMTH1_97260.1, SMTH1_97260.2, SMTH1_97260.3	Smp_158600.1
OG0000138	SMTH1_50090.1, SMTH1_50090.2, SMTH1_50090.3, SMTH1_50090.4	Smp_335620.1
OG0000139	SMTH1_4530.1, SMTH1_4520.1	Smp_031040.1
OG0000140	SMTH1_84690.1	Smp_059210.1, Smp_059210.2
OG0000142	SMTH1_22220.1	Smp_139680.1
OG0000142	SMTH1_22230.1	Smp_120070.1
OG0000142	SMTH1_22240.1	Smp_203950.1
OG0000142	SMTH1_22260.1, SMTH1_22250.1	Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1
OG0000143	SMTH1_75760.1, SMTH1_75770.1	Smp_202190.1, Smp_301550.1, Smp_326730.1
OG0000144	SMTH1_30570.1	Smp_097660.1
OG0000144	SMTH1_63350.1, SMTH1_63350.3, SMTH1_63350.5, SMTH1_63350.2, SMTH1_63350.4	Smp_166400.1
OG0000145	SMTH1_36980.1	Smp_110280.1, Smp_110280.2
OG0000146	SMTH1_101450.1	Smp_016630.1
OG0000146	SMTH1_62830.1	Smp_246100.1
OG0000146	SMTH1_32350.1	Smp_020080.1
OG0000146	SMTH1_52670.1, SMTH1_52670.2	Smp_016250.1
OG0000147	SMTH1_40010.1, SMTH1_40000.1	Smp_019170.1
OG0000148	SMTH1_34740.1	Smp_346640.1
OG0000149	SMTH1_60020.2, SMTH1_60020.4, SMTH1_60020.5, SMTH1_60020.6, SMTH1_60020.7	Smp_123410.1
OG0000151	SMTH1_70710.1, SMTH1_70710.10, SMTH1_70710.3, SMTH1_70710.4, SMTH1_70710.6, SMTH1_70710.2, SMTH1_70710.11, SMTH1_70710.5, SMTH1_70710.8, SMTH1_70710.7, SMTH1_70710.9	Smp_167920.1
OG0000152	SMTH1_12520.1, SMTH1_12430.3, SMTH1_12430.1, SMTH1_12430.2, SMTH1_12430.4, SMTH1_12430.5, SMTH1_12430.7, SMTH1_12430.6	Smp_078310.1
OG0000153	SMTH1_56020.1	Smp_013950.1
OG0000153	SMTH1_56720.1	Smp_169090.1
OG0000153	SMTH1_56660.1, SMTH1_56660.2, SMTH1_56660.3	Smp_169050.2, Smp_169050.1
OG0000154	SMTH1_20370.1	Smp_333260.1
OG0000155	SMTH1_40880.5, SMTH1_40880.3, SMTH1_40880.8, SMTH1_40880.6, SMTH1_40880.1, SMTH1_40880.2, SMTH1_40880.10, SMTH1_40880.11, SMTH1_40880.4, SMTH1_40880.9, SMTH1_40880.7	Smp_302040.1, Smp_302040.2, Smp_302040.3
OG0000156	SMTH1_21930.1	Smp_143840.1
OG0000156	SMTH1_21920.2, SMTH1_21920.1, SMTH1_21920.7, SMTH1_21920.6, SMTH1_21920.3, SMTH1_21920.4, SMTH1_21920.5	Smp_039750.3, Smp_039750.1, Smp_039750.2
OG0000157	SMTH1_68650.1	Smp_212410.1, Smp_212410.2
OG0000157	SMTH1_48940.1	Smp_332710.1
OG0000157	SMTH1_104820.3, SMTH1_104820.1, SMTH1_104820.2	Smp_153100.1
OG0000158	SMTH1_6290.1	Smp_068960.1
OG0000159	SMTH1_69180.6, SMTH1_69180.3, SMTH1_69180.4, SMTH1_69180.1, SMTH1_69180.2, SMTH1_69180.5	Smp_129520.1
OG0000160	SMTH1_16290.2, SMTH1_16290.1, SMTH1_16290.3	Smp_136550.1
OG0000161	SMTH1_38560.4, SMTH1_38560.1, SMTH1_38560.3, SMTH1_38560.2	Smp_301780.1
OG0000164	SMTH1_85910.1, SMTH1_85910.2	Smp_062510.1
