Orthogroup	schistosoma_mattheei	schistosoma_bovis
OG0000006	SMTH1_89700.1, SMTH1_48470.1, SMTH1_107410.1, SMTH1_107410.2, SMTH1_107410.3, SMTH1_78360.1	SBOV2_82790.1, SBOV2_14350.1
OG0000008	SMTH1_31760.1, SMTH1_18770.1, SMTH1_33160.1, SMTH1_84400.1, SMTH1_23190.1, SMTH1_7710.1, SMTH1_21730.1, SMTH1_107170.1, SMTH1_65740.1, SMTH1_43130.1, SMTH1_75640.1, SMTH1_104410.1, SMTH1_42070.1, SMTH1_42070.4, SMTH1_63450.1, SMTH1_39310.1, SMTH1_51230.1, SMTH1_84410.1, SMTH1_60990.1, SMTH1_38230.1, SMTH1_41790.1, SMTH1_43740.1, SMTH1_89920.1, SMTH1_59400.1, SMTH1_11370.1, SMTH1_84780.1, SMTH1_56030.1, SMTH1_64620.1, SMTH1_92250.1, SMTH1_65480.1, SMTH1_28910.1, SMTH1_77480.1, SMTH1_34670.1, SMTH1_37390.1, SMTH1_91310.1, SMTH1_3310.1, SMTH1_4950.1, SMTH1_103950.1, SMTH1_93940.1, SMTH1_1390.1, SMTH1_75040.1	SBOV2_68530.1
OG0000009	SMTH1_79490.1	SBOV2_76160.1, SBOV2_59820.1
OG0000009	SMTH1_13430.1	SBOV2_15160.1
OG0000009	SMTH1_89240.1, SMTH1_89240.2	SBOV2_89880.1
OG0000009	SMTH1_102060.1, SMTH1_35110.1, SMTH1_50420.1, SMTH1_5550.1	SBOV2_45750.1
OG0000009	SMTH1_46830.1	SBOV2_28290.1
OG0000009	SMTH1_88010.1	SBOV2_81720.1
OG0000009	SMTH1_1660.1, SMTH1_1660.2, SMTH1_39030.1, SMTH1_56000.1	SBOV2_10990.1
OG0000010	SMTH1_55810.1	SBOV2_2840.1
OG0000010	SMTH1_39190.1	SBOV2_81980.1
OG0000010	SMTH1_102050.1, SMTH1_70050.1	SBOV2_3700.1
OG0000012	SMTH1_45260.1	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29
OG0000014	SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11	SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30
OG0000014	SMTH1_42310.12, SMTH1_42310.9	SBOV2_29480.34
OG0000015	SMTH1_42330.1	SBOV2_29460.1
OG0000015	SMTH1_73160.1	SBOV2_65410.1
OG0000015	SMTH1_73170.1	SBOV2_65420.1
OG0000015	SMTH1_42560.1	SBOV2_29300.1
OG0000015	SMTH1_42570.1, SMTH1_42570.2	SBOV2_29290.1
OG0000015	SMTH1_48670.1	SBOV2_42900.1
OG0000015	SMTH1_47630.1, SMTH1_47630.3, SMTH1_47630.4, SMTH1_47630.5	SBOV2_41940.1, SBOV2_41950.1
OG0000015	SMTH1_47630.2	SBOV2_41990.2
OG0000015	SMTH1_47640.1	SBOV2_41970.1
OG0000015	SMTH1_47660.1	SBOV2_41990.1
OG0000015	SMTH1_11420.1	SBOV2_9870.1
OG0000016	SMTH1_25270.1	SBOV2_22420.1, SBOV2_22420.2
OG0000016	SMTH1_106910.1, SMTH1_50680.1, SMTH1_86280.1	SBOV2_28680.1, SBOV2_47660.1
OG0000016	SMTH1_25580.1, SMTH1_29560.1	SBOV2_95410.1
OG0000016	SMTH1_91760.1	SBOV2_13150.1, SBOV2_45900.1, SBOV2_44650.1, SBOV2_94160.1
OG0000019	SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4	SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9
OG0000019	SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12	SBOV2_30990.6, SBOV2_30990.1
OG0000020	SMTH1_102430.1	SBOV2_91240.1
OG0000020	SMTH1_102370.1	SBOV2_91220.2, SBOV2_91220.3, SBOV2_91220.4, SBOV2_91220.5, SBOV2_91220.1
OG0000020	SMTH1_102080.1	SBOV2_90970.3, SBOV2_90970.4, SBOV2_90970.5, SBOV2_90970.1, SBOV2_90970.2, SBOV2_90960.1
OG0000021	SMTH1_9440.1	SBOV2_7110.1
OG0000021	SMTH1_6700.1, SMTH1_82170.1	SBOV2_5830.1
OG0000021	SMTH1_6710.1	SBOV2_5840.1
OG0000021	SMTH1_6650.1	SBOV2_5800.1
OG0000021	SMTH1_6670.1	SBOV2_5810.1
OG0000021	SMTH1_6690.1, SMTH1_6690.2	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2
OG0000021	SMTH1_6640.1	SBOV2_5780.1
OG0000021	SMTH1_6640.2	SBOV2_5780.2
OG0000022	SMTH1_30110.1	SBOV2_40340.1
OG0000023	SMTH1_107560.1, SMTH1_39840.1	SBOV2_75080.1
OG0000023	SMTH1_107460.1, SMTH1_78450.1	SBOV2_22350.1, SBOV2_78210.1
OG0000023	SMTH1_91200.1	SBOV2_56510.1
OG0000024	SMTH1_26330.1	SBOV2_23240.1
OG0000024	SMTH1_101590.1	SBOV2_90560.1
OG0000024	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3	SBOV2_63690.1
OG0000024	SMTH1_89320.1	SBOV2_79360.1, SBOV2_79360.2
OG0000024	SMTH1_89310.1	SBOV2_79350.1
OG0000026	SMTH1_88650.1, SMTH1_88650.2	SBOV2_78760.1
OG0000026	SMTH1_80360.1	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8
OG0000027	SMTH1_44580.19	SBOV2_27780.20
OG0000027	SMTH1_44580.33	SBOV2_27780.28, SBOV2_27780.26, SBOV2_27780.24, SBOV2_27780.33, SBOV2_27780.31
OG0000027	SMTH1_44580.15	SBOV2_27780.3
OG0000027	SMTH1_44580.34	SBOV2_27780.10
OG0000027	SMTH1_44580.6, SMTH1_44580.7	SBOV2_27780.11, SBOV2_27780.21, SBOV2_27780.4, SBOV2_27780.17, SBOV2_27780.5, SBOV2_27780.8, SBOV2_27780.27, SBOV2_27780.32
OG0000027	SMTH1_44580.36	SBOV2_27780.23
OG0000027	SMTH1_44580.20, SMTH1_44580.25, SMTH1_44580.38	SBOV2_27780.22
OG0000027	SMTH1_44580.18, SMTH1_44580.1	SBOV2_27780.25, SBOV2_27780.19
OG0000027	SMTH1_44580.14	SBOV2_27780.6, SBOV2_27780.7, SBOV2_27780.9, SBOV2_27780.18, SBOV2_27780.16
OG0000028	SMTH1_78260.1, SMTH1_78260.2	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4
OG0000029	SMTH1_63900.1	SBOV2_57030.1
OG0000029	SMTH1_96900.1	SBOV2_86480.1
OG0000029	SMTH1_96870.1	SBOV2_86450.1, SBOV2_96800.1
OG0000029	SMTH1_22560.5	SBOV2_19870.5
OG0000029	SMTH1_22560.1	SBOV2_19870.1
OG0000029	SMTH1_22560.2	SBOV2_19870.1
OG0000029	SMTH1_22560.3	SBOV2_19870.1
OG0000029	SMTH1_22560.4	SBOV2_19870.1
OG0000029	SMTH1_22560.1	SBOV2_19870.2
OG0000029	SMTH1_22560.2	SBOV2_19870.2
OG0000029	SMTH1_22560.3	SBOV2_19870.2
OG0000029	SMTH1_22560.4	SBOV2_19870.2
OG0000029	SMTH1_22560.1	SBOV2_19870.3
OG0000029	SMTH1_22560.2	SBOV2_19870.3
OG0000029	SMTH1_22560.3	SBOV2_19870.3
OG0000029	SMTH1_22560.4	SBOV2_19870.3
OG0000029	SMTH1_22560.1	SBOV2_19870.4
OG0000029	SMTH1_22560.2	SBOV2_19870.4
OG0000029	SMTH1_22560.3	SBOV2_19870.4
OG0000029	SMTH1_22560.4	SBOV2_19870.4
OG0000029	SMTH1_97890.7	SBOV2_87380.1
OG0000029	SMTH1_97890.1	SBOV2_87370.1
OG0000029	SMTH1_97890.2	SBOV2_87370.1
OG0000030	SMTH1_7700.1	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	SMTH1_11640.1	SBOV2_10100.1
OG0000032	SMTH1_11660.1	SBOV2_10120.1
OG0000032	SMTH1_11650.1	SBOV2_10110.1
OG0000032	SMTH1_88710.1	SBOV2_9410.1
OG0000032	SMTH1_88700.1	SBOV2_78820.1
OG0000032	SMTH1_88690.1	SBOV2_78800.1
OG0000033	SMTH1_85770.1	SBOV2_74200.1, SBOV2_96030.1, SBOV2_96030.2, SBOV2_16090.1, SBOV2_60740.1, SBOV2_91630.1, SBOV2_16490.1, SBOV2_47110.1
OG0000034	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3	SBOV2_90790.1
OG0000034	SMTH1_101830.1	SBOV2_90780.1
OG0000034	SMTH1_101820.1, SMTH1_101820.2	SBOV2_90770.1
OG0000034	SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1	SBOV2_56880.1
OG0000034	SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1	SBOV2_56890.1
OG0000034	SMTH1_63730.1	SBOV2_56900.1
OG0000035	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4	SBOV2_14610.9, SBOV2_14610.17, SBOV2_14610.19, SBOV2_14610.20, SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1, SBOV2_14610.12, SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26, SBOV2_14610.4
OG0000036	SMTH1_10880.1, SMTH1_88260.1, SMTH1_88260.2, SMTH1_73840.1, SMTH1_75240.1, SMTH1_99120.1, SMTH1_1650.1, SMTH1_29330.1, SMTH1_3580.1, SMTH1_43730.1, SMTH1_76250.1, SMTH1_7500.1, SMTH1_51050.1, SMTH1_75070.1, SMTH1_43290.1, SMTH1_9430.1, SMTH1_89590.1, SMTH1_64230.1	SBOV2_95590.1
OG0000036	SMTH1_42790.1, SMTH1_87980.1, SMTH1_93900.1, SMTH1_63180.1, SMTH1_63180.2	SBOV2_10500.1, SBOV2_96110.1
OG0000037	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1	SBOV2_59320.1
OG0000037	SMTH1_66620.1	SBOV2_59490.1, SBOV2_59490.2
OG0000038	SMTH1_5930.1, SMTH1_97940.1	SBOV2_78900.1, SBOV2_50970.1
OG0000038	SMTH1_48020.1	SBOV2_51760.1
OG0000038	SMTH1_1760.1, SMTH1_1760.2	SBOV2_92900.1
OG0000038	SMTH1_33860.1	SBOV2_77500.1, SBOV2_77500.2
OG0000038	SMTH1_52630.1, SMTH1_66560.1	SBOV2_78080.1
OG0000040	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3	SBOV2_53440.5, SBOV2_53440.6, SBOV2_53440.1
OG0000040	SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8	SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13, SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4, SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8
OG0000042	SMTH1_44430.1, SMTH1_44430.2	SBOV2_27900.1
OG0000042	SMTH1_44420.1, SMTH1_44420.2	SBOV2_27910.2
OG0000042	SMTH1_44330.1	SBOV2_27970.1
OG0000042	SMTH1_44340.1	SBOV2_27920.1
OG0000042	SMTH1_44340.1	SBOV2_27940.1
OG0000042	SMTH1_44340.1	SBOV2_27950.1
OG0000042	SMTH1_44340.1	SBOV2_27960.3
OG0000042	SMTH1_44390.1	SBOV2_27930.1, SBOV2_27960.5
OG0000042	SMTH1_44410.1	SBOV2_27960.2, SBOV2_27960.1
OG0000043	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7
OG0000044	SMTH1_95170.1	SBOV2_85070.1
OG0000044	SMTH1_95180.1	SBOV2_85080.1
OG0000044	SMTH1_95210.1	SBOV2_85120.1
OG0000044	SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1	SBOV2_85130.1
OG0000046	SMTH1_47020.4, SMTH1_3530.3, SMTH1_3530.4	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2
OG0000047	SMTH1_32570.1	SBOV2_30660.6
OG0000047	SMTH1_35900.2, SMTH1_35900.6, SMTH1_35900.7, SMTH1_35900.4, SMTH1_35900.3, SMTH1_35900.1, SMTH1_35900.5	SBOV2_68600.1
OG0000048	SMTH1_63190.1	SBOV2_22140.1, SBOV2_68910.1
OG0000048	SMTH1_77080.1	SBOV2_22170.1, SBOV2_22190.1, SBOV2_22190.2
OG0000049	SMTH1_77460.1	SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5
OG0000049	SMTH1_81780.1	SBOV2_72720.4, SBOV2_72720.3, SBOV2_72720.5, SBOV2_72720.2, SBOV2_72720.6, SBOV2_72720.1, SBOV2_72720.7
OG0000050	SMTH1_59780.1, SMTH1_59790.1	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8
OG0000050	SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13	SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12
OG0000051	SMTH1_107360.1, SMTH1_60980.1	SBOV2_51000.1, SBOV2_49080.1
OG0000051	SMTH1_104280.1, SMTH1_1210.1, SMTH1_1430.1, SMTH1_35140.1, SMTH1_560.1, SMTH1_67360.1, SMTH1_76270.1, SMTH1_80350.1, SMTH1_82740.1, SMTH1_84360.1, SMTH1_85540.1, SMTH1_86990.1	SBOV2_26350.1, SBOV2_44260.1, SBOV2_29350.1
OG0000051	SMTH1_51910.1, SMTH1_13450.1, SMTH1_24220.1	SBOV2_41630.1
OG0000051	SMTH1_23080.1, SMTH1_31740.1	SBOV2_60960.1, SBOV2_79880.1, SBOV2_68980.1, SBOV2_84560.1, SBOV2_84560.2, SBOV2_90390.1
OG0000052	SMTH1_31800.1	SBOV2_38940.1, SBOV2_38940.2
OG0000052	SMTH1_3820.1	SBOV2_3270.1
OG0000052	SMTH1_1110.1	SBOV2_990.1, SBOV2_990.2
OG0000052	SMTH1_2070.1	SBOV2_1730.1
OG0000052	SMTH1_74430.1	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3
OG0000053	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9, SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7
OG0000054	SMTH1_12390.1	SBOV2_23060.1, SBOV2_13380.1, SBOV2_23070.1
OG0000055	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8
OG0000057	SMTH1_38780.1, SMTH1_79310.1, SMTH1_54740.1, SMTH1_24310.1, SMTH1_28420.1, SMTH1_33050.1, SMTH1_96520.1, SMTH1_87590.1, SMTH1_59410.1	SBOV2_19440.1, SBOV2_36360.1, SBOV2_10510.1
OG0000058	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1	SBOV2_88040.2, SBOV2_88040.1
OG0000058	SMTH1_89470.1	SBOV2_79500.1
OG0000058	SMTH1_89480.1	SBOV2_79520.1
OG0000058	SMTH1_89510.1, SMTH1_89510.2	SBOV2_79550.4, SBOV2_79550.6
OG0000058	SMTH1_89520.1	SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7
OG0000058	SMTH1_89460.1	SBOV2_79490.2, SBOV2_79490.1
OG0000060	SMTH1_72720.1	SBOV2_64940.2, SBOV2_64940.17, SBOV2_64940.4, SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15
OG0000061	SMTH1_58650.1	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6
OG0000062	SMTH1_7060.1	SBOV2_6080.14, SBOV2_6080.15, SBOV2_6080.5, SBOV2_6080.7, SBOV2_6080.1, SBOV2_6080.10, SBOV2_6080.2, SBOV2_6080.3, SBOV2_6080.9, SBOV2_6080.13, SBOV2_6080.6, SBOV2_6080.8, SBOV2_6080.11, SBOV2_6080.4, SBOV2_6080.12
OG0000063	SMTH1_43840.1	SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9
OG0000064	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15	SBOV2_4260.9, SBOV2_4260.4, SBOV2_4260.11, SBOV2_4260.14, SBOV2_4260.6, SBOV2_4260.13, SBOV2_4260.2, SBOV2_4260.8, SBOV2_4260.15, SBOV2_4260.5, SBOV2_4260.12, SBOV2_4260.1, SBOV2_4260.10, SBOV2_4260.3, SBOV2_4260.7
OG0000065	SMTH1_107120.1	SBOV2_22570.1, SBOV2_22560.1
OG0000065	SMTH1_25640.1, SMTH1_25640.2	SBOV2_22580.1, SBOV2_22580.2
OG0000066	SMTH1_41200.1	SBOV2_30560.11, SBOV2_30560.7
OG0000066	SMTH1_41200.2	SBOV2_30560.1
OG0000067	SMTH1_75020.12, SMTH1_75020.11, SMTH1_75020.13	SBOV2_67100.10, SBOV2_67100.15, SBOV2_67100.16
OG0000068	SMTH1_60000.1, SMTH1_60010.1	SBOV2_51770.1
OG0000068	SMTH1_105080.1, SMTH1_105080.2	SBOV2_93650.1
OG0000068	SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4	SBOV2_31110.1
OG0000068	SMTH1_31850.1	SBOV2_38890.1
