Orthogroup	schistosoma_mattheei	fasciola_gigantica
OG0000028	SMTH1_78260.1, SMTH1_78260.2	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	SMTH1_63900.1	FGIG_01225
OG0000029	SMTH1_96900.1	FGIG_12390, FGIG_07520
OG0000029	SMTH1_22560.1, SMTH1_22560.2, SMTH1_22560.3, SMTH1_22560.4	FGIG_04785
OG0000029	SMTH1_97890.7, SMTH1_54510.1, SMTH1_97890.3, SMTH1_97890.4, SMTH1_97890.5, SMTH1_97890.6, SMTH1_97890.1, SMTH1_97890.2	FGIG_11109
OG0000030	SMTH1_7700.1	FGIG_03562
OG0000031	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5	FGIG_00219, FGIG_09645
OG0000032	SMTH1_88710.1	FGIG_12135
OG0000034	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3, SMTH1_101830.1, SMTH1_101820.1, SMTH1_101820.2, SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1, SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1, SMTH1_63730.1	FGIG_11870, FGIG_10591, FGIG_05132
OG0000035	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4	FGIG_03979, FGIG_03980
OG0000037	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1, SMTH1_66620.1, SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1	FGIG_03131, FGIG_03132
OG0000040	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3, SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8	FGIG_07013
OG0000042	SMTH1_44430.1, SMTH1_44430.2, SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2, SMTH1_44330.1, SMTH1_44340.1, SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1, SMTH1_44390.1, SMTH1_44410.1	FGIG_05270
OG0000043	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5	FGIG_08366
OG0000044	SMTH1_95170.1, SMTH1_95180.1, SMTH1_95210.1, SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1	FGIG_12527
OG0000049	SMTH1_77450.1, SMTH1_77460.1	FGIG_07932, FGIG_00477
OG0000049	SMTH1_81780.1	FGIG_06077
OG0000050	SMTH1_59780.1, SMTH1_59790.1, SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	SMTH1_31800.1	FGIG_00994
OG0000052	SMTH1_3820.1	FGIG_02824
OG0000052	SMTH1_1110.1	FGIG_00846
OG0000052	SMTH1_2070.1	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	SMTH1_74430.1	FGIG_04502, FGIG_12676
OG0000053	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9	FGIG_08393, FGIG_12440
OG0000055	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1	FGIG_03285, FGIG_05988
OG0000058	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1	FGIG_11220
OG0000058	SMTH1_89470.1	FGIG_06708
OG0000058	SMTH1_89480.1, SMTH1_89510.1, SMTH1_89510.2, SMTH1_89520.1, SMTH1_89460.1	FGIG_00649
OG0000060	SMTH1_72720.1	FGIG_07684
OG0000061	SMTH1_58650.1	FGIG_09986
OG0000062	SMTH1_7050.1, SMTH1_7060.1	FGIG_00991
OG0000063	SMTH1_43840.1	FGIG_03231
OG0000064	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15	FGIG_12411, FGIG_06602
OG0000065	SMTH1_107120.1, SMTH1_25650.1, SMTH1_25600.1, SMTH1_25640.1, SMTH1_25640.2	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	SMTH1_41200.8, SMTH1_41200.10, SMTH1_41200.5, SMTH1_41200.9, SMTH1_41200.1, SMTH1_41200.3, SMTH1_41200.7, SMTH1_41200.4, SMTH1_41200.2, SMTH1_41200.6	FGIG_00170
OG0000067	SMTH1_75020.12, SMTH1_75020.11, SMTH1_75020.13, SMTH1_75020.1, SMTH1_75020.8, SMTH1_75020.2, SMTH1_75020.5, SMTH1_75020.6, SMTH1_75020.7, SMTH1_75020.9, SMTH1_75020.3, SMTH1_75020.4, SMTH1_75020.10	FGIG_02840, FGIG_02842
OG0000068	SMTH1_60000.1, SMTH1_60010.1	FGIG_12158
OG0000068	SMTH1_105080.1, SMTH1_105080.2	FGIG_12079
OG0000068	SMTH1_40460.1, SMTH1_40460.5, SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4	FGIG_07351
OG0000068	SMTH1_31850.1	FGIG_05814
OG0000069	SMTH1_22730.2, SMTH1_22710.1, SMTH1_22730.1	FGIG_12680, FGIG_06996
OG0000070	SMTH1_48740.1	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	SMTH1_37950.1	FGIG_07065, FGIG_07067
OG0000072	SMTH1_99330.1, SMTH1_99340.1	FGIG_06022, FGIG_09056
OG0000073	SMTH1_61870.1, SMTH1_61880.1, SMTH1_61880.2, SMTH1_61880.3	FGIG_05759
OG0000074	SMTH1_1470.7, SMTH1_1470.8, SMTH1_1470.4, SMTH1_1470.1, SMTH1_1470.2, SMTH1_1470.3, SMTH1_1470.6, SMTH1_1470.5	FGIG_06125
OG0000074	SMTH1_97660.1	FGIG_03273
OG0000074	SMTH1_12710.5, SMTH1_12710.1, SMTH1_12710.2, SMTH1_12710.4, SMTH1_12710.3	FGIG_07718
OG0000074	SMTH1_97780.1	FGIG_01338
OG0000075	SMTH1_37710.1, SMTH1_37730.1, SMTH1_37720.1	FGIG_05387
OG0000076	SMTH1_100810.1	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	SMTH1_4450.2, SMTH1_4450.3, SMTH1_4450.4, SMTH1_4450.1, SMTH1_4450.5	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	SMTH1_12170.1, SMTH1_12170.2, SMTH1_12170.4, SMTH1_12170.3, SMTH1_12170.10, SMTH1_12170.8, SMTH1_12170.5, SMTH1_12170.7, SMTH1_12170.9, SMTH1_12170.6	FGIG_09054
OG0000078	SMTH1_6320.1, SMTH1_6330.1	FGIG_04314
OG0000079	SMTH1_34060.2, SMTH1_34060.4, SMTH1_34060.1, SMTH1_34060.3, SMTH1_34060.5	FGIG_07135, FGIG_07136
OG0000079	SMTH1_60070.2, SMTH1_60070.4, SMTH1_60070.3, SMTH1_60070.1	FGIG_05069, FGIG_05070
OG0000080	SMTH1_49150.6, SMTH1_49150.3, SMTH1_49150.1, SMTH1_49150.5, SMTH1_49150.2, SMTH1_49150.4, SMTH1_49150.7, SMTH1_49150.8	FGIG_03532
OG0000081	SMTH1_107550.1, SMTH1_105800.1, SMTH1_15900.1, SMTH1_85790.1, SMTH1_85760.1, SMTH1_42880.1, SMTH1_870.1	FGIG_05277, FGIG_11514
OG0000082	SMTH1_11790.11, SMTH1_11790.12, SMTH1_11790.1, SMTH1_11790.2, SMTH1_11790.3, SMTH1_11790.4, SMTH1_11790.5, SMTH1_11790.9, SMTH1_11790.8, SMTH1_11790.10, SMTH1_11790.6, SMTH1_11790.7, SMTH1_11790.13, SMTH1_11790.14	FGIG_06461
OG0000085	SMTH1_40330.1, SMTH1_40330.10, SMTH1_40330.2, SMTH1_40330.3, SMTH1_40330.4, SMTH1_40330.5, SMTH1_40330.7, SMTH1_40330.8, SMTH1_40330.6, SMTH1_40330.9	FGIG_06241
OG0000086	SMTH1_81430.2, SMTH1_81430.3, SMTH1_81430.6, SMTH1_81430.7, SMTH1_81430.4, SMTH1_81430.5, SMTH1_81430.8, SMTH1_81430.9, SMTH1_81430.1	FGIG_09371
OG0000087	SMTH1_59010.1, SMTH1_59010.12, SMTH1_59010.14, SMTH1_59010.15, SMTH1_59010.16, SMTH1_59010.6, SMTH1_59010.8, SMTH1_59010.9, SMTH1_59010.13, SMTH1_59010.7, SMTH1_59010.5, SMTH1_59010.10, SMTH1_59010.4, SMTH1_59010.11, SMTH1_59010.17, SMTH1_59010.2, SMTH1_59010.3	FGIG_03026
OG0000088	SMTH1_3690.4, SMTH1_3690.2, SMTH1_3690.3, SMTH1_3690.1, SMTH1_3660.2, SMTH1_3660.1, SMTH1_3660.6, SMTH1_3660.5, SMTH1_3660.4, SMTH1_3660.3, SMTH1_3660.7	FGIG_14005, FGIG_05150
OG0000090	SMTH1_55910.5, SMTH1_55910.4, SMTH1_55910.6, SMTH1_55910.1, SMTH1_55910.2, SMTH1_55910.3	FGIG_01258
OG0000091	SMTH1_53400.1	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	SMTH1_2640.1, SMTH1_2640.2, SMTH1_2640.3	FGIG_06562
OG0000092	SMTH1_14740.1	FGIG_11548
OG0000093	SMTH1_44730.1	FGIG_04003
OG0000093	SMTH1_43690.1, SMTH1_43700.1, SMTH1_43710.1, SMTH1_43680.2, SMTH1_43680.3, SMTH1_43680.1, SMTH1_43690.2	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	SMTH1_9680.2, SMTH1_9680.3, SMTH1_9680.1, SMTH1_9680.5, SMTH1_9680.4, SMTH1_9680.6	FGIG_00948
OG0000095	SMTH1_68360.1	FGIG_01883
OG0000096	SMTH1_39100.6, SMTH1_39100.1, SMTH1_39100.2, SMTH1_39100.8, SMTH1_39100.7, SMTH1_39100.3, SMTH1_39100.10, SMTH1_39100.4, SMTH1_39100.5, SMTH1_39100.9	FGIG_03065
OG0000097	SMTH1_7960.1	FGIG_06823
OG0000098	SMTH1_45820.1, SMTH1_45820.2	FGIG_08056
OG0000098	SMTH1_74230.1, SMTH1_74220.1	FGIG_08009
OG0000099	SMTH1_75170.1	FGIG_01162
OG0000099	SMTH1_80070.5, SMTH1_80070.1, SMTH1_80070.4, SMTH1_80070.2, SMTH1_80070.3	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	SMTH1_6850.1, SMTH1_6850.2, SMTH1_6850.3, SMTH1_6850.4	FGIG_11657
OG0000102	SMTH1_65150.1	FGIG_04726, FGIG_06854
OG0000103	SMTH1_82550.10, SMTH1_82550.1, SMTH1_82550.2, SMTH1_82550.3, SMTH1_82550.4, SMTH1_82550.8, SMTH1_82550.7, SMTH1_82550.5, SMTH1_82550.6, SMTH1_82550.9	FGIG_06145, FGIG_13990
OG0000104	SMTH1_7040.1	FGIG_08148
OG0000105	SMTH1_8820.1, SMTH1_8820.2, SMTH1_8820.3, SMTH1_8820.4, SMTH1_8820.5, SMTH1_8820.6, SMTH1_8820.7, SMTH1_8820.8, SMTH1_8820.9	FGIG_00113, FGIG_06918
OG0000108	SMTH1_9500.1	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	SMTH1_33110.1, SMTH1_33070.1, SMTH1_33080.1	FGIG_03667
OG0000110	SMTH1_33120.1, SMTH1_33120.2, SMTH1_33120.3	FGIG_10562
OG0000110	SMTH1_33130.1	FGIG_06603
OG0000111	SMTH1_45910.1	FGIG_04030
OG0000111	SMTH1_57950.3, SMTH1_57950.2, SMTH1_57950.4, SMTH1_57950.1	FGIG_03777
OG0000111	SMTH1_34710.1, SMTH1_34710.2	FGIG_04347
OG0000112	SMTH1_92870.1, SMTH1_92880.1	FGIG_09308, FGIG_06819
OG0000114	SMTH1_104970.1	FGIG_00156
OG0000115	SMTH1_40570.1, SMTH1_40570.12, SMTH1_40570.3, SMTH1_40570.4, SMTH1_40570.7, SMTH1_40570.11, SMTH1_40570.6, SMTH1_40570.10, SMTH1_40570.2, SMTH1_40570.5, SMTH1_40570.8, SMTH1_40570.9	FGIG_02859
OG0000116	SMTH1_56110.1	FGIG_03832, FGIG_01693
OG0000117	SMTH1_33220.1	FGIG_02197
OG0000118	SMTH1_43930.1, SMTH1_43940.1, SMTH1_107810.1, SMTH1_107810.2, SMTH1_43950.1, SMTH1_43960.1, SMTH1_43910.1, SMTH1_43920.1	FGIG_02831
OG0000119	SMTH1_105850.1, SMTH1_105830.1, SMTH1_105850.5, SMTH1_105850.2, SMTH1_105850.4, SMTH1_105830.2, SMTH1_105850.3	FGIG_05939
OG0000120	SMTH1_107750.15, SMTH1_107750.1, SMTH1_107750.3, SMTH1_33290.1, SMTH1_33290.3, SMTH1_33290.4, SMTH1_107750.4, SMTH1_107750.10, SMTH1_107750.12, SMTH1_107750.16, SMTH1_107750.7, SMTH1_55820.1, SMTH1_107750.11, SMTH1_107750.5, SMTH1_107750.6, SMTH1_33290.5, SMTH1_107750.2, SMTH1_33290.2, SMTH1_33290.7, SMTH1_55820.3, SMTH1_55820.2, SMTH1_107750.13, SMTH1_107750.14, SMTH1_107750.9, SMTH1_33290.6, SMTH1_107750.8	FGIG_06695
OG0000122	SMTH1_89440.1	FGIG_06459, FGIG_06458
OG0000123	SMTH1_87340.1	FGIG_06911
OG0000125	SMTH1_1620.1	FGIG_12140, FGIG_05136
OG0000126	SMTH1_78590.1	FGIG_02836, FGIG_00047
OG0000127	SMTH1_25070.3, SMTH1_25070.1, SMTH1_25070.2, SMTH1_25070.4	FGIG_10651, FGIG_01876
OG0000128	SMTH1_47950.1, SMTH1_47950.2, SMTH1_47950.3	FGIG_02928
OG0000129	SMTH1_35850.5, SMTH1_35850.1, SMTH1_35850.7, SMTH1_35850.2, SMTH1_35850.3, SMTH1_35850.8, SMTH1_35850.4, SMTH1_35850.6	FGIG_01051
OG0000130	SMTH1_89720.8, SMTH1_89720.1, SMTH1_89720.2, SMTH1_89720.3, SMTH1_89720.4, SMTH1_89720.5, SMTH1_89720.6, SMTH1_89720.7, SMTH1_89720.9	FGIG_06548, FGIG_01370
OG0000131	SMTH1_9790.1, SMTH1_9790.3, SMTH1_9790.2, SMTH1_95200.1, SMTH1_95190.1	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592
OG0000132	SMTH1_39420.1	FGIG_04447, FGIG_04446
OG0000133	SMTH1_35160.11, SMTH1_35160.2, SMTH1_35160.3, SMTH1_35160.5, SMTH1_35160.6, SMTH1_35160.1, SMTH1_35160.4, SMTH1_35160.7, SMTH1_35160.10, SMTH1_35160.9, SMTH1_35160.8	FGIG_10537
OG0000134	SMTH1_22380.1	FGIG_03080
OG0000135	SMTH1_14940.1, SMTH1_14940.2, SMTH1_14940.7, SMTH1_14940.6, SMTH1_14940.5, SMTH1_14940.3, SMTH1_14940.4	FGIG_08997
OG0000136	SMTH1_8440.1, SMTH1_8450.1	FGIG_11134, FGIG_12681, FGIG_11135
OG0000138	SMTH1_97260.1, SMTH1_97260.2, SMTH1_97260.3	FGIG_10020
OG0000138	SMTH1_50090.1, SMTH1_50090.2, SMTH1_50090.3, SMTH1_50090.4	FGIG_00536, FGIG_00535
OG0000139	SMTH1_4530.1, SMTH1_4520.1	FGIG_04756
OG0000140	SMTH1_84690.1	FGIG_05800
OG0000142	SMTH1_22220.1, SMTH1_22230.1, SMTH1_22240.1, SMTH1_22260.1, SMTH1_22250.1	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045
OG0000143	SMTH1_75760.1, SMTH1_75770.1	FGIG_03125
OG0000144	SMTH1_60870.1	FGIG_04482
OG0000144	SMTH1_30570.1	FGIG_02516
OG0000144	SMTH1_63350.1, SMTH1_63350.3, SMTH1_63350.5, SMTH1_63350.2, SMTH1_63350.4	FGIG_08902, FGIG_02070
OG0000145	SMTH1_36980.1	FGIG_06896
OG0000146	SMTH1_101450.1	FGIG_01364
OG0000146	SMTH1_62830.1	FGIG_07112
OG0000146	SMTH1_32350.1	FGIG_08174
OG0000146	SMTH1_52670.1, SMTH1_52670.2	FGIG_12116
OG0000147	SMTH1_40010.1, SMTH1_40000.1	FGIG_03610
OG0000148	SMTH1_34740.1	FGIG_05123, FGIG_04713
OG0000149	SMTH1_60020.1, SMTH1_60020.3, SMTH1_60020.2, SMTH1_60020.4, SMTH1_60020.5, SMTH1_60020.6, SMTH1_60020.7	FGIG_08710
OG0000151	SMTH1_70720.1, SMTH1_70710.1, SMTH1_70710.10, SMTH1_70710.3, SMTH1_70710.4, SMTH1_70710.6, SMTH1_70710.2, SMTH1_70710.11, SMTH1_70710.5, SMTH1_70710.8, SMTH1_70710.7, SMTH1_70710.9	FGIG_00898
OG0000152	SMTH1_12520.1, SMTH1_12430.3, SMTH1_12430.1, SMTH1_12430.2, SMTH1_12430.4, SMTH1_12430.5, SMTH1_12430.7, SMTH1_12430.6	FGIG_02196
OG0000153	SMTH1_56020.1, SMTH1_56720.1, SMTH1_56660.1, SMTH1_56660.2, SMTH1_56660.3	FGIG_06246, FGIG_09804, FGIG_09803
OG0000154	SMTH1_20370.1	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749
OG0000155	SMTH1_40880.5, SMTH1_40880.3, SMTH1_40880.8, SMTH1_40880.6, SMTH1_40880.1, SMTH1_40880.2, SMTH1_40880.10, SMTH1_40880.11, SMTH1_40880.4, SMTH1_40880.9, SMTH1_40880.7	FGIG_01109
OG0000156	SMTH1_21930.1	FGIG_01694
OG0000156	SMTH1_21920.2, SMTH1_21920.1, SMTH1_21920.7, SMTH1_21920.6, SMTH1_21920.3, SMTH1_21920.4, SMTH1_21920.5	FGIG_10389, FGIG_01395, FGIG_06374
OG0000157	SMTH1_68650.1	FGIG_01729
OG0000157	SMTH1_48940.1	FGIG_07044, FGIG_07045
OG0000157	SMTH1_104820.3, SMTH1_104820.1, SMTH1_104820.2	FGIG_03579
OG0000158	SMTH1_6290.1, SMTH1_6300.1	FGIG_05975
OG0000159	SMTH1_69180.6, SMTH1_69180.3, SMTH1_69180.4, SMTH1_69180.1, SMTH1_69180.2, SMTH1_69180.5	FGIG_07564
OG0000160	SMTH1_16290.2, SMTH1_16290.1, SMTH1_16290.3	FGIG_05715
OG0000161	SMTH1_38560.4, SMTH1_38560.1, SMTH1_38560.3, SMTH1_38560.2	FGIG_08957
OG0000164	SMTH1_68170.1	FGIG_12608, FGIG_03854
OG0000164	SMTH1_85910.1, SMTH1_85910.2	FGIG_01740
OG0000164	SMTH1_61700.1	FGIG_10598
OG0000164	SMTH1_33670.2, SMTH1_33670.3, SMTH1_33670.1	FGIG_05689
OG0000165	SMTH1_72910.8, SMTH1_72910.6, SMTH1_72910.3, SMTH1_72910.4, SMTH1_72910.7, SMTH1_72910.1, SMTH1_72910.2, SMTH1_72910.5	FGIG_03682
OG0000166	SMTH1_97320.1	FGIG_04350
OG0000167	SMTH1_83320.2, SMTH1_83320.3, SMTH1_83320.6, SMTH1_83320.4, SMTH1_83320.1, SMTH1_83320.7, SMTH1_83320.5	FGIG_09630
OG0000169	SMTH1_104550.1	FGIG_02219, FGIG_02221, FGIG_02220
OG0000170	SMTH1_78500.1, SMTH1_78510.1	FGIG_11214, FGIG_11905, FGIG_00734
OG0000172	SMTH1_20790.2, SMTH1_20790.4, SMTH1_20790.1, SMTH1_20790.3	FGIG_02787, FGIG_02788
OG0000173	SMTH1_91610.1	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026
OG0000175	SMTH1_46290.1, SMTH1_45990.1, SMTH1_45980.1, SMTH1_45970.1, SMTH1_45960.1	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352
OG0000176	SMTH1_76420.1, SMTH1_78680.1, SMTH1_78310.1, SMTH1_23550.1, SMTH1_7150.1	FGIG_00685
OG0000177	SMTH1_65220.1, SMTH1_65220.2, SMTH1_65220.3, SMTH1_65220.5, SMTH1_65220.4	FGIG_04057, FGIG_04058
OG0000178	SMTH1_28980.1, SMTH1_28980.2, SMTH1_28980.3, SMTH1_28980.4	FGIG_04370
OG0000179	SMTH1_62130.1, SMTH1_62140.2, SMTH1_62140.3, SMTH1_62140.6, SMTH1_62140.1, SMTH1_62140.4, SMTH1_62140.5	FGIG_08795, FGIG_10380
OG0000180	SMTH1_91090.1, SMTH1_91080.1, SMTH1_91100.1	FGIG_12039
OG0000182	SMTH1_64220.1	FGIG_02134
OG0000182	SMTH1_32050.1, SMTH1_32060.1	FGIG_00290
OG0000183	SMTH1_36270.2, SMTH1_36270.8, SMTH1_36270.9, SMTH1_36270.6, SMTH1_36270.1, SMTH1_36270.4, SMTH1_36270.7, SMTH1_36270.3, SMTH1_36270.5	FGIG_02622
OG0000184	SMTH1_55790.1, SMTH1_55790.2, SMTH1_55790.3	FGIG_03731
OG0000184	SMTH1_55800.1	FGIG_03730
OG0000185	SMTH1_36410.8, SMTH1_36410.7, SMTH1_36410.2, SMTH1_36410.1, SMTH1_36410.3, SMTH1_36410.5, SMTH1_36410.9, SMTH1_36410.4, SMTH1_36410.6	FGIG_07908
OG0000186	SMTH1_80440.1	FGIG_00796
OG0000187	SMTH1_58360.3, SMTH1_58360.4, SMTH1_58360.2, SMTH1_58360.1, SMTH1_58360.5	FGIG_10561, FGIG_02152
OG0000188	SMTH1_35270.3, SMTH1_35270.2, SMTH1_35270.1, SMTH1_35270.4, SMTH1_35270.5	FGIG_03282
OG0000189	SMTH1_7670.1	FGIG_03464
OG0000190	SMTH1_57710.10, SMTH1_57710.11, SMTH1_57710.4, SMTH1_57710.5, SMTH1_57710.9, SMTH1_57710.3, SMTH1_57710.8, SMTH1_57710.1, SMTH1_57710.6, SMTH1_57740.1, SMTH1_57710.2, SMTH1_57710.7	FGIG_04440
OG0000191	SMTH1_41920.1, SMTH1_42000.1, SMTH1_41960.1, SMTH1_41930.1	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245
OG0000192	SMTH1_70090.1	FGIG_06841, FGIG_06840
