Orthogroup	schistosoma_mattheei	schistosoma_spindale
OG0000030	SMTH1_7700.1	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77
OG0000031	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6
OG0000032	SMTH1_11640.1	SSPN1_20150.1
OG0000032	SMTH1_11660.1	SSPN1_20140.1
OG0000032	SMTH1_88710.1, SMTH1_10840.2, SMTH1_10840.1, SMTH1_88700.1	SSPN1_21640.1
OG0000032	SMTH1_88690.1	SSPN1_76750.1
OG0000032	SMTH1_88690.1	SSPN1_76750.2
OG0000033	SMTH1_94000.1, SMTH1_51400.1, SMTH1_57070.1, SMTH1_101740.1, SMTH1_19750.1, SMTH1_2110.1, SMTH1_21910.1, SMTH1_22590.1, SMTH1_22960.1, SMTH1_35750.1, SMTH1_38700.1, SMTH1_47740.1, SMTH1_49720.1, SMTH1_53960.1, SMTH1_55150.1, SMTH1_59770.1, SMTH1_63160.1, SMTH1_63270.1, SMTH1_75790.1, SMTH1_78180.1, SMTH1_7910.1, SMTH1_81870.1, SMTH1_84770.1, SMTH1_85890.1, SMTH1_88830.1, SMTH1_92150.1, SMTH1_9890.1, SMTH1_77930.1, SMTH1_42200.1, SMTH1_85770.1, SMTH1_15360.1, SMTH1_16280.1, SMTH1_24450.1, SMTH1_6840.1	SSPN1_64320.1
OG0000034	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3	SSPN1_88360.1
OG0000034	SMTH1_101830.1	SSPN1_88350.1
OG0000034	SMTH1_101820.1, SMTH1_101820.2	SSPN1_88330.1, SSPN1_88330.2
OG0000034	SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1	SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5
OG0000034	SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1	SSPN1_55380.1
OG0000034	SMTH1_63730.1	SSPN1_55370.1
OG0000035	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4	SSPN1_15690.15, SSPN1_15690.14, SSPN1_15690.3, SSPN1_15690.4, SSPN1_15690.10, SSPN1_15690.5, SSPN1_15690.12, SSPN1_15690.11, SSPN1_15690.8, SSPN1_15690.9, SSPN1_15690.6, SSPN1_15690.13, SSPN1_15690.7, SSPN1_15690.1, SSPN1_15690.2
OG0000036	SMTH1_10880.1, SMTH1_88260.1, SMTH1_88260.2, SMTH1_73840.1, SMTH1_75240.1, SMTH1_99120.1, SMTH1_1650.1, SMTH1_29330.1, SMTH1_3580.1, SMTH1_43730.1, SMTH1_76250.1, SMTH1_7500.1, SMTH1_51050.1, SMTH1_75070.1, SMTH1_43290.1, SMTH1_9430.1, SMTH1_89590.1, SMTH1_64230.1, SMTH1_42790.1, SMTH1_87980.1, SMTH1_93900.1, SMTH1_63180.1, SMTH1_63180.2, SMTH1_63170.1	SSPN1_32030.1, SSPN1_42130.1
OG0000037	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1, SMTH1_66620.1	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3
OG0000037	SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1	SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1
OG0000038	SMTH1_5930.1, SMTH1_97940.1, SMTH1_48020.1, SMTH1_1760.1, SMTH1_1760.2, SMTH1_33860.1, SMTH1_52630.1, SMTH1_66560.1, SMTH1_51860.1	SSPN1_83300.1, SSPN1_60260.1, SSPN1_32470.1, SSPN1_67920.1, SSPN1_73920.1, SSPN1_8810.1, SSPN1_12250.1, SSPN1_12250.2
OG0000040	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3, SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8	SSPN1_50390.1, SSPN1_50400.1
OG0000042	SMTH1_44430.1, SMTH1_44430.2	SSPN1_31120.1
OG0000042	SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2	SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7
OG0000042	SMTH1_44340.1, SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1	SSPN1_31150.2, SSPN1_31160.2
OG0000042	SMTH1_44390.1, SMTH1_44410.1	SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1
OG0000043	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7
OG0000044	SMTH1_95170.1, SMTH1_95180.1	SSPN1_82650.1, SSPN1_82650.2
OG0000044	SMTH1_95210.1	SSPN1_82730.1, SSPN1_82730.2
OG0000044	SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1	SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2
OG0000045	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1	SSPN1_19960.1
OG0000046	SMTH1_18850.1, SMTH1_47020.4, SMTH1_3530.3, SMTH1_3530.4, SMTH1_47020.1, SMTH1_3530.1, SMTH1_3530.2, SMTH1_47020.2, SMTH1_47020.3	SSPN1_250.1, SSPN1_14110.1, SSPN1_33750.1
OG0000047	SMTH1_35900.2, SMTH1_35900.6, SMTH1_35900.7, SMTH1_35900.4, SMTH1_35900.3, SMTH1_35900.1, SMTH1_35900.5	SSPN1_63630.1, SSPN1_63640.1, SSPN1_33620.1, SSPN1_62270.1, SSPN1_33620.2, SSPN1_50310.1, SSPN1_71200.1, SSPN1_87870.1
OG0000048	SMTH1_63190.1	SSPN1_55140.1
OG0000048	SMTH1_35420.1, SMTH1_35420.2	SSPN1_43820.1, SSPN1_43810.1, SSPN1_93000.1
OG0000049	SMTH1_77450.1, SMTH1_77460.1	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3
OG0000049	SMTH1_81780.1	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5
OG0000050	SMTH1_59780.1, SMTH1_59790.1, SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3
OG0000051	SMTH1_107360.1, SMTH1_60980.1, SMTH1_104280.1, SMTH1_1210.1, SMTH1_1430.1, SMTH1_35140.1, SMTH1_560.1, SMTH1_67360.1, SMTH1_76270.1, SMTH1_80350.1, SMTH1_82740.1, SMTH1_84360.1, SMTH1_85540.1, SMTH1_86990.1	SSPN1_55640.1
OG0000052	SMTH1_31800.1	SSPN1_27560.1
OG0000052	SMTH1_3820.1	SSPN1_3140.1
OG0000052	SMTH1_1100.1, SMTH1_1110.1	SSPN1_510.1, SSPN1_510.2
OG0000052	SMTH1_2070.1	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1
OG0000052	SMTH1_74430.1	SSPN1_57870.1
OG0000053	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2
OG0000054	SMTH1_12390.1	SSPN1_52250.1, SSPN1_89800.1, SSPN1_9060.1, SSPN1_9070.1
OG0000055	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1	SSPN1_66280.1, SSPN1_66290.1
OG0000057	SMTH1_79310.1, SMTH1_54740.1	SSPN1_9240.1, SSPN1_14690.3, SSPN1_18220.1, SSPN1_44030.1, SSPN1_69380.1
OG0000057	SMTH1_59410.1	SSPN1_14690.1, SSPN1_14690.2
OG0000058	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1	SSPN1_85960.1
OG0000058	SMTH1_89470.1	SSPN1_77480.1
OG0000058	SMTH1_89480.1	SSPN1_77490.1
OG0000058	SMTH1_89520.1	SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3
OG0000060	SMTH1_72720.1	SSPN1_59230.1, SSPN1_59230.7, SSPN1_59230.2, SSPN1_59230.6, SSPN1_59230.5, SSPN1_59230.8, SSPN1_59230.3, SSPN1_59230.4
OG0000061	SMTH1_58650.1	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3
OG0000062	SMTH1_7060.1	SSPN1_6020.10, SSPN1_6020.15, SSPN1_6020.6, SSPN1_6020.9, SSPN1_6020.16, SSPN1_6020.14, SSPN1_6020.1, SSPN1_6020.12, SSPN1_6020.13, SSPN1_6020.2, SSPN1_6020.5, SSPN1_6020.7, SSPN1_6020.8, SSPN1_6020.11, SSPN1_6020.3, SSPN1_6020.4
OG0000063	SMTH1_43840.1	SSPN1_31570.1
OG0000064	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15	SSPN1_4120.1, SSPN1_4120.2
OG0000065	SMTH1_107120.1	SSPN1_22330.1
OG0000065	SMTH1_25650.1, SMTH1_25600.1, SMTH1_25640.1, SMTH1_25640.2	SSPN1_22360.1
OG0000066	SMTH1_41200.8, SMTH1_41200.10, SMTH1_41200.5, SMTH1_41200.9, SMTH1_41200.1, SMTH1_41200.3	SSPN1_33820.1
OG0000067	SMTH1_75020.12, SMTH1_75020.11, SMTH1_75020.13, SMTH1_75020.1, SMTH1_75020.8, SMTH1_75020.2, SMTH1_75020.5, SMTH1_75020.6, SMTH1_75020.7, SMTH1_75020.9, SMTH1_75020.3, SMTH1_75020.4, SMTH1_75020.10	SSPN1_57390.6, SSPN1_57390.1, SSPN1_57390.4, SSPN1_57390.7, SSPN1_57390.8, SSPN1_57390.2, SSPN1_57390.3, SSPN1_57390.5
OG0000068	SMTH1_60000.1, SMTH1_60010.1	SSPN1_52040.1
OG0000068	SMTH1_105080.1, SMTH1_105080.2	SSPN1_91120.1, SSPN1_91120.2, SSPN1_91120.3, SSPN1_91120.4, SSPN1_91120.5, SSPN1_91120.6
OG0000068	SMTH1_40460.5, SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4	SSPN1_34400.1
OG0000068	SMTH1_31850.1	SSPN1_27620.1
OG0000069	SMTH1_22730.2, SMTH1_22710.1, SMTH1_22730.1	SSPN1_10380.1, SSPN1_10380.2, SSPN1_10380.3
OG0000070	SMTH1_48740.1	SSPN1_42340.2, SSPN1_42340.1, SSPN1_42340.3
OG0000071	SMTH1_37950.1	SSPN1_36770.1
OG0000072	SMTH1_99330.1, SMTH1_99340.1	SSPN1_86510.2, SSPN1_86510.4, SSPN1_86510.1, SSPN1_86510.3
OG0000073	SMTH1_61880.1, SMTH1_61880.2, SMTH1_61880.3	SSPN1_75390.1, SSPN1_75400.1
