Orthogroup	schistosoma_curassoni	fasciola_gigantica
OG0000043	SCUR1_27760.11, SCUR1_27760.1, SCUR1_27760.4, SCUR1_27760.6, SCUR1_27760.10, SCUR1_27760.13, SCUR1_27760.5, SCUR1_27760.9, SCUR1_27760.3, SCUR1_27760.2, SCUR1_27760.12, SCUR1_27760.14, SCUR1_27760.7, SCUR1_27760.8	FGIG_08366
OG0000044	SCUR1_84690.1, SCUR1_84700.1, SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1, SCUR1_84780.2, SCUR1_98900.1, SCUR1_84780.1, SCUR1_98900.2, SCUR1_98930.1, SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	SCUR1_10540.1, SCUR1_10540.3, SCUR1_10540.4, SCUR1_10540.5, SCUR1_10540.2, SCUR1_10540.6, SCUR1_36550.1, SCUR1_36550.5, SCUR1_36550.10, SCUR1_36550.16, SCUR1_36550.9, SCUR1_36550.6, SCUR1_36550.11, SCUR1_36550.12, SCUR1_36550.13, SCUR1_36550.14, SCUR1_36550.15, SCUR1_36550.7, SCUR1_36550.8, SCUR1_36550.3, SCUR1_36550.2, SCUR1_36550.4	FGIG_12527
OG0000049	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3	FGIG_07932, FGIG_00477
OG0000049	SCUR1_72710.1, SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3, SCUR1_72710.5, SCUR1_72710.4	FGIG_06077
OG0000050	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3, SCUR1_53710.1	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	SCUR1_28750.1	FGIG_00994
OG0000052	SCUR1_3190.1	FGIG_02824
OG0000052	SCUR1_100150.1, SCUR1_850.2, SCUR1_850.1, SCUR1_100150.2	FGIG_00846
OG0000052	SCUR1_2360.1, SCUR1_2360.2	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	SCUR1_66590.1	FGIG_04502, FGIG_12676
OG0000053	SCUR1_97170.1, SCUR1_97170.11, SCUR1_97170.16, SCUR1_97170.4, SCUR1_97170.5, SCUR1_97170.6, SCUR1_97170.7, SCUR1_97170.8, SCUR1_97170.18, SCUR1_97170.19, SCUR1_97170.10, SCUR1_97170.12, SCUR1_97170.13, SCUR1_97170.14, SCUR1_97170.17, SCUR1_97170.2, SCUR1_97170.3, SCUR1_97170.9, SCUR1_97170.15	FGIG_08393, FGIG_12440
OG0000055	SCUR1_68200.6, SCUR1_68200.24, SCUR1_68200.10, SCUR1_68200.8, SCUR1_68200.9, SCUR1_68200.5, SCUR1_68200.20, SCUR1_68200.21, SCUR1_68200.11, SCUR1_68200.22, SCUR1_68200.15, SCUR1_68200.18, SCUR1_68200.19, SCUR1_68200.2, SCUR1_68200.1, SCUR1_68200.3, SCUR1_68200.4, SCUR1_68200.23, SCUR1_68200.14, SCUR1_68200.17, SCUR1_68200.13, SCUR1_68200.7, SCUR1_68200.12, SCUR1_68200.16, SCUR1_68210.1, SCUR1_68210.3, SCUR1_68210.7, SCUR1_68210.5, SCUR1_68210.6, SCUR1_68210.2, SCUR1_68210.4	FGIG_03285, FGIG_05988
OG0000058	SCUR1_88860.1	FGIG_11220
OG0000058	SCUR1_79800.1	FGIG_06708
OG0000058	SCUR1_79810.1, SCUR1_79840.7, SCUR1_79840.3, SCUR1_79840.4, SCUR1_79840.2, SCUR1_79840.6, SCUR1_79840.8, SCUR1_79840.1, SCUR1_79840.5	FGIG_00649
OG0000060	SCUR1_65160.2, SCUR1_65160.3, SCUR1_65160.5, SCUR1_65160.1, SCUR1_65160.4, SCUR1_65160.6	FGIG_07684
OG0000061	SCUR1_52590.14, SCUR1_52590.15, SCUR1_52590.7, SCUR1_52590.11, SCUR1_52590.12, SCUR1_52590.10, SCUR1_52590.13, SCUR1_52590.16, SCUR1_52590.17, SCUR1_52590.9, SCUR1_52590.8, SCUR1_52590.1, SCUR1_52590.3, SCUR1_52590.4, SCUR1_52590.2, SCUR1_52590.5, SCUR1_52590.6	FGIG_09986
OG0000062	SCUR1_6120.4, SCUR1_6120.8, SCUR1_6120.7, SCUR1_6120.9, SCUR1_6120.5, SCUR1_6120.1, SCUR1_6120.6, SCUR1_6120.2, SCUR1_6120.3	FGIG_00991
OG0000063	SCUR1_39570.3, SCUR1_39570.4, SCUR1_39570.10, SCUR1_39570.6, SCUR1_39570.8, SCUR1_39570.1, SCUR1_39570.15, SCUR1_39570.5, SCUR1_39570.7, SCUR1_39570.16, SCUR1_39570.13, SCUR1_39570.14, SCUR1_39570.11, SCUR1_39570.2, SCUR1_39570.9, SCUR1_39570.12	FGIG_03231
OG0000064	SCUR1_4200.1	FGIG_12411, FGIG_06602
OG0000065	SCUR1_22980.1, SCUR1_23010.1, SCUR1_23000.5, SCUR1_23000.1, SCUR1_23000.2, SCUR1_23000.3, SCUR1_23000.4	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	SCUR1_37290.10, SCUR1_37290.8, SCUR1_37290.12, SCUR1_37290.4, SCUR1_37290.7, SCUR1_37290.5, SCUR1_37290.13, SCUR1_37290.14, SCUR1_37290.6, SCUR1_37290.11, SCUR1_37290.2, SCUR1_37290.9, SCUR1_37290.3, SCUR1_37290.1	FGIG_00170
OG0000067	SCUR1_67110.2, SCUR1_67110.1, SCUR1_67110.4, SCUR1_67110.5, SCUR1_67110.6, SCUR1_67110.7, SCUR1_67110.9, SCUR1_67110.8, SCUR1_67110.3	FGIG_02840, FGIG_02842
OG0000068	SCUR1_53860.1	FGIG_12158
OG0000068	SCUR1_93300.1	FGIG_12079
OG0000068	SCUR1_36720.2, SCUR1_36720.1, SCUR1_36720.3, SCUR1_36720.4	FGIG_07351
OG0000068	SCUR1_28800.1	FGIG_05814
OG0000069	SCUR1_20660.13, SCUR1_20660.14, SCUR1_20660.18, SCUR1_20660.26, SCUR1_20660.36, SCUR1_20660.27, SCUR1_20660.23, SCUR1_20660.24, SCUR1_20660.28, SCUR1_20660.17, SCUR1_20660.2, SCUR1_20660.20, SCUR1_20660.21, SCUR1_20660.22, SCUR1_20660.25, SCUR1_20660.3, SCUR1_20660.4, SCUR1_20660.6, SCUR1_20660.7, SCUR1_20660.8, SCUR1_20660.1, SCUR1_20660.12, SCUR1_20660.5, SCUR1_20660.10, SCUR1_20660.16, SCUR1_20660.29, SCUR1_20660.30, SCUR1_20660.31, SCUR1_20660.32, SCUR1_20660.33, SCUR1_20660.9, SCUR1_20660.34, SCUR1_20660.35, SCUR1_20660.11, SCUR1_20660.15, SCUR1_20660.19	FGIG_12680, FGIG_06996
OG0000070	SCUR1_43900.6, SCUR1_43900.7, SCUR1_43900.12, SCUR1_43900.8, SCUR1_43900.3, SCUR1_43900.2, SCUR1_43900.1, SCUR1_43900.11, SCUR1_43900.9, SCUR1_43900.5, SCUR1_43900.4, SCUR1_43900.13, SCUR1_43900.14, SCUR1_43900.10	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	SCUR1_34320.1, SCUR1_34320.3, SCUR1_34320.4, SCUR1_34320.5, SCUR1_34320.2, SCUR1_34320.6	FGIG_07065, FGIG_07067
OG0000072	SCUR1_88280.7, SCUR1_88280.5, SCUR1_88280.3, SCUR1_88280.2, SCUR1_88280.1, SCUR1_88280.8, SCUR1_88280.4, SCUR1_88280.6	FGIG_06022, FGIG_09056
OG0000073	SCUR1_55360.1, SCUR1_55360.5, SCUR1_55360.8, SCUR1_55360.9, SCUR1_55360.2, SCUR1_55360.3, SCUR1_55360.4, SCUR1_55360.6, SCUR1_55360.7, SCUR1_55350.4, SCUR1_55350.2, SCUR1_55350.3, SCUR1_55350.5, SCUR1_55350.1	FGIG_05759
OG0000074	SCUR1_1180.1	FGIG_06125
OG0000074	SCUR1_86750.1, SCUR1_86750.2	FGIG_03273
OG0000074	SCUR1_11360.1	FGIG_07718
OG0000074	SCUR1_86850.1, SCUR1_86850.2	FGIG_01338
OG0000075	SCUR1_34050.1	FGIG_05387
OG0000076	SCUR1_89500.3, SCUR1_89500.4, SCUR1_89500.1, SCUR1_89500.2	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	SCUR1_3860.1, SCUR1_3860.2	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	SCUR1_10810.3, SCUR1_10810.4, SCUR1_10810.5, SCUR1_10810.2, SCUR1_10810.1, SCUR1_10810.6, SCUR1_10810.7	FGIG_09054
OG0000078	SCUR1_5570.1, SCUR1_5570.4, SCUR1_5570.2, SCUR1_5570.3, SCUR1_5570.5, SCUR1_5570.7, SCUR1_5570.6	FGIG_04314
OG0000079	SCUR1_30630.2, SCUR1_30630.1, SCUR1_30630.3	FGIG_07135, FGIG_07136
OG0000079	SCUR1_53930.3, SCUR1_53930.2, SCUR1_53930.4, SCUR1_53930.6, SCUR1_53930.1, SCUR1_53930.5, SCUR1_53930.7	FGIG_05069, FGIG_05070
OG0000080	SCUR1_44300.10, SCUR1_44300.3, SCUR1_44300.5, SCUR1_44300.4, SCUR1_44300.1, SCUR1_44300.16, SCUR1_44300.11, SCUR1_44300.7, SCUR1_44300.8, SCUR1_44300.15, SCUR1_44300.6, SCUR1_44300.13, SCUR1_44300.2, SCUR1_44300.12, SCUR1_44300.14, SCUR1_44300.9	FGIG_03532
OG0000081	SCUR1_77680.1, SCUR1_33180.1, SCUR1_75470.1, SCUR1_22270.1, SCUR1_74360.1, SCUR1_46320.1, SCUR1_46330.1, SCUR1_45760.1, SCUR1_63590.1, SCUR1_88200.1, SCUR1_73070.1, SCUR1_32970.1	FGIG_05277, FGIG_11514
OG0000082	SCUR1_10450.1, SCUR1_10450.2, SCUR1_10450.15, SCUR1_10450.16, SCUR1_10450.18, SCUR1_10450.11, SCUR1_10450.17, SCUR1_10450.3, SCUR1_10450.4, SCUR1_10450.7, SCUR1_10450.9, SCUR1_10450.10, SCUR1_10450.13, SCUR1_10450.14, SCUR1_10450.5, SCUR1_10450.6, SCUR1_10450.8, SCUR1_10450.19, SCUR1_10450.12	FGIG_06461
OG0000085	SCUR1_36590.1, SCUR1_36590.6, SCUR1_36590.2, SCUR1_36590.3, SCUR1_36590.4, SCUR1_36590.5	FGIG_06241
OG0000086	SCUR1_72390.1, SCUR1_72390.6, SCUR1_72390.3, SCUR1_72390.10, SCUR1_72390.8, SCUR1_72390.2, SCUR1_72390.5, SCUR1_72390.12, SCUR1_72390.13, SCUR1_72390.11, SCUR1_72390.7, SCUR1_72390.9, SCUR1_72390.4	FGIG_09371
OG0000087	SCUR1_52940.3, SCUR1_52940.10, SCUR1_52940.8, SCUR1_52940.4, SCUR1_52940.9, SCUR1_52940.1, SCUR1_52940.5, SCUR1_52940.6, SCUR1_52940.7, SCUR1_52940.2	FGIG_03026
OG0000088	SCUR1_3030.5, SCUR1_3030.1, SCUR1_3030.3, SCUR1_3030.2, SCUR1_3030.4, SCUR1_3020.1, SCUR1_3020.2, SCUR1_3020.3, SCUR1_3020.7, SCUR1_3020.5, SCUR1_3020.4, SCUR1_3020.6, SCUR1_3020.9, SCUR1_3020.8	FGIG_14005, FGIG_05150
OG0000090	SCUR1_49980.5, SCUR1_49980.1, SCUR1_49980.8, SCUR1_49980.2, SCUR1_49980.3, SCUR1_49980.4, SCUR1_49980.6, SCUR1_49980.7	FGIG_01258
OG0000091	SCUR1_47950.1	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	SCUR1_2070.1, SCUR1_2070.4, SCUR1_2070.2, SCUR1_2070.3, SCUR1_2070.5, SCUR1_2070.6	FGIG_06562
OG0000092	SCUR1_13260.3, SCUR1_13260.4, SCUR1_13260.8, SCUR1_13260.2, SCUR1_13260.7, SCUR1_13260.5, SCUR1_13260.6, SCUR1_13260.1	FGIG_11548
OG0000093	SCUR1_40300.1	FGIG_04003
OG0000093	SCUR1_96410.1, SCUR1_96420.1	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	SCUR1_8440.11, SCUR1_8440.13, SCUR1_8440.5, SCUR1_8440.9, SCUR1_8440.4, SCUR1_8440.6, SCUR1_8440.7, SCUR1_8440.1, SCUR1_8440.2, SCUR1_8440.3, SCUR1_8440.8, SCUR1_8440.12, SCUR1_8440.16, SCUR1_8440.15, SCUR1_8440.14, SCUR1_8440.10	FGIG_00948
OG0000095	SCUR1_61370.7, SCUR1_61370.1, SCUR1_61370.3, SCUR1_61370.5, SCUR1_61370.6, SCUR1_61370.4, SCUR1_61370.9, SCUR1_61370.2, SCUR1_61370.8	FGIG_01883
OG0000096	SCUR1_35430.4, SCUR1_35430.6, SCUR1_35430.10, SCUR1_35430.5, SCUR1_35430.14, SCUR1_35430.8, SCUR1_35430.12, SCUR1_35430.2, SCUR1_35430.15, SCUR1_35430.9, SCUR1_35430.11, SCUR1_35430.7, SCUR1_35430.1, SCUR1_35430.13, SCUR1_35430.3	FGIG_03065
OG0000097	SCUR1_6890.25, SCUR1_6890.2, SCUR1_6890.20, SCUR1_6890.24, SCUR1_6890.10, SCUR1_6890.15, SCUR1_6890.17, SCUR1_6890.19, SCUR1_6890.23, SCUR1_6890.5, SCUR1_6890.8, SCUR1_6890.21, SCUR1_6890.16, SCUR1_6890.18, SCUR1_6890.26, SCUR1_6890.6, SCUR1_6890.1, SCUR1_6890.12, SCUR1_6890.13, SCUR1_6890.14, SCUR1_6890.3, SCUR1_6890.4, SCUR1_6890.7, SCUR1_6890.9, SCUR1_6890.11, SCUR1_6890.22	FGIG_06823
OG0000098	SCUR1_94810.1, SCUR1_41240.1	FGIG_08056
OG0000098	SCUR1_98370.1, SCUR1_66460.3, SCUR1_66460.1, SCUR1_66460.4, SCUR1_66460.2, SCUR1_66510.1	FGIG_08009
OG0000099	SCUR1_67230.1, SCUR1_67230.3, SCUR1_67230.2	FGIG_01162
OG0000099	SCUR1_71170.4, SCUR1_71170.3, SCUR1_71170.7, SCUR1_71170.2, SCUR1_71170.1, SCUR1_71170.5, SCUR1_71170.6	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	SCUR1_5960.1	FGIG_11657
OG0000102	SCUR1_58590.1, SCUR1_58590.2, SCUR1_58590.3	FGIG_04726, FGIG_06854
OG0000103	SCUR1_73440.1, SCUR1_73440.8, SCUR1_73440.10, SCUR1_73440.4, SCUR1_73440.5, SCUR1_73440.6, SCUR1_73440.7, SCUR1_73440.2, SCUR1_73440.3, SCUR1_73440.9	FGIG_06145, FGIG_13990
OG0000104	SCUR1_6110.1, SCUR1_6110.10, SCUR1_6110.11, SCUR1_6110.16, SCUR1_6110.3, SCUR1_6110.7, SCUR1_6110.13, SCUR1_6110.15, SCUR1_6110.4, SCUR1_6110.9, SCUR1_6110.17, SCUR1_6110.14, SCUR1_6110.6, SCUR1_6110.8, SCUR1_6110.12, SCUR1_6110.2, SCUR1_6110.5	FGIG_08148
OG0000105	SCUR1_7610.1	FGIG_00113, FGIG_06918
OG0000108	SCUR1_8280.1	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	SCUR1_29820.1, SCUR1_29820.2, SCUR1_29800.2, SCUR1_29800.4, SCUR1_29800.1, SCUR1_29800.5, SCUR1_29800.3	FGIG_03667
OG0000110	SCUR1_29830.1	FGIG_10562
OG0000110	SCUR1_29840.2, SCUR1_29840.1	FGIG_06603
OG0000111	SCUR1_41310.1	FGIG_04030
OG0000111	SCUR1_51960.1	FGIG_03777
OG0000111	SCUR1_31210.1	FGIG_04347
OG0000112	SCUR1_82790.7, SCUR1_82790.1, SCUR1_82790.4, SCUR1_82790.5, SCUR1_82790.8, SCUR1_82790.11, SCUR1_82790.10, SCUR1_82790.12, SCUR1_82790.2, SCUR1_82790.13, SCUR1_82790.6, SCUR1_82790.9, SCUR1_82790.3	FGIG_09308, FGIG_06819
OG0000114	SCUR1_93190.5, SCUR1_93190.1, SCUR1_93190.7, SCUR1_93190.2, SCUR1_93190.3, SCUR1_93190.6, SCUR1_93190.8, SCUR1_93190.9, SCUR1_93190.4	FGIG_00156
OG0000115	SCUR1_36820.4, SCUR1_36820.5, SCUR1_36820.2, SCUR1_36820.7, SCUR1_36820.9, SCUR1_36820.1, SCUR1_36820.10, SCUR1_36820.3, SCUR1_36820.6, SCUR1_36820.8	FGIG_02859
OG0000116	SCUR1_50170.11, SCUR1_50170.5, SCUR1_50170.12, SCUR1_50170.18, SCUR1_50170.22, SCUR1_50170.13, SCUR1_50170.8, SCUR1_50170.1, SCUR1_50170.15, SCUR1_50170.19, SCUR1_50170.10, SCUR1_50170.4, SCUR1_50170.7, SCUR1_50170.14, SCUR1_50170.2, SCUR1_50170.20, SCUR1_50170.3, SCUR1_50170.6, SCUR1_50170.17, SCUR1_50170.21, SCUR1_50170.16, SCUR1_50170.9	FGIG_03832, FGIG_01693
OG0000117	SCUR1_29920.10, SCUR1_29920.11, SCUR1_29920.15, SCUR1_29920.17, SCUR1_29920.6, SCUR1_29920.7, SCUR1_29920.1, SCUR1_29920.13, SCUR1_29920.5, SCUR1_29920.9, SCUR1_29920.14, SCUR1_29920.16, SCUR1_29920.18, SCUR1_29920.12, SCUR1_29920.19, SCUR1_29920.2, SCUR1_29920.3, SCUR1_29920.4, SCUR1_29920.8	FGIG_02197
OG0000118	SCUR1_39670.1, SCUR1_39680.1, SCUR1_39630.1, SCUR1_39640.1, SCUR1_39660.1	FGIG_02831
OG0000119	SCUR1_94000.1, SCUR1_94010.1	FGIG_05939
OG0000120	SCUR1_30020.1	FGIG_06695
OG0000122	SCUR1_79780.9, SCUR1_79780.18, SCUR1_79780.1, SCUR1_79780.25, SCUR1_79780.10, SCUR1_79780.16, SCUR1_79780.7, SCUR1_79780.24, SCUR1_79780.4, SCUR1_79780.13, SCUR1_79780.19, SCUR1_79780.5, SCUR1_79780.6, SCUR1_79780.12, SCUR1_79780.17, SCUR1_79780.2, SCUR1_79780.20, SCUR1_79780.8, SCUR1_79780.23, SCUR1_79780.14, SCUR1_79780.21, SCUR1_79780.11, SCUR1_79780.15, SCUR1_79780.22, SCUR1_79780.3	FGIG_06459, FGIG_06458
OG0000123	SCUR1_77980.6, SCUR1_77980.3, SCUR1_77980.4, SCUR1_77980.7, SCUR1_77980.5, SCUR1_77980.8, SCUR1_77980.1, SCUR1_77980.10, SCUR1_77980.9, SCUR1_77980.2	FGIG_06911
OG0000125	SCUR1_98170.3, SCUR1_98170.12, SCUR1_98170.8, SCUR1_98170.10, SCUR1_98170.13, SCUR1_98170.5, SCUR1_98170.11, SCUR1_98170.7, SCUR1_98170.4, SCUR1_98170.1, SCUR1_98170.14, SCUR1_98170.2, SCUR1_98170.9, SCUR1_98170.6	FGIG_12140, FGIG_05136
OG0000126	SCUR1_70020.1, SCUR1_70020.11, SCUR1_70020.2, SCUR1_70020.5, SCUR1_70020.9, SCUR1_70020.13, SCUR1_70020.10, SCUR1_70020.3, SCUR1_70020.8, SCUR1_70020.12, SCUR1_70020.4, SCUR1_70020.6, SCUR1_70020.7	FGIG_02836, FGIG_00047
OG0000127	SCUR1_22630.19, SCUR1_22630.1, SCUR1_22630.2, SCUR1_22630.3, SCUR1_22630.4, SCUR1_22630.20, SCUR1_22630.21, SCUR1_22630.10, SCUR1_22630.11, SCUR1_22630.12, SCUR1_22630.13, SCUR1_22630.14, SCUR1_22630.15, SCUR1_22630.16, SCUR1_22630.17, SCUR1_22630.18, SCUR1_22630.5, SCUR1_22630.6, SCUR1_22630.7, SCUR1_22630.8, SCUR1_22630.9	FGIG_10651, FGIG_01876
