Orthogroup	schistosoma_curassoni	s.mekongi
OG0000018	SCUR1_11690.4, SCUR1_11690.1, SCUR1_11690.2, SCUR1_11690.3, SCUR1_11690.5, SCUR1_11690.6, SCUR1_11690.7, SCUR1_29330.1, SCUR1_80280.1, SCUR1_80280.3, SCUR1_80280.5, SCUR1_80280.4, SCUR1_80270.1, SCUR1_80280.2, SCUR1_42320.1	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1
OG0000019	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2	KAK4473983.1
OG0000019	SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4	KAK4473981.1
OG0000021	SCUR1_5850.1	KAK4475892.1, KAK4475894.1
OG0000021	SCUR1_5860.1, SCUR1_5860.2, SCUR1_5860.5, SCUR1_5860.3, SCUR1_5860.4	KAK4475895.1
OG0000021	SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3, SCUR1_5820.4	KAK4475890.1
OG0000021	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3	KAK4475891.1
OG0000021	SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2, SCUR1_5810.1	KAK4475889.1
OG0000022	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5	KAK4473037.1
OG0000024	SCUR1_23660.1	KAK4473313.1
OG0000024	SCUR1_90210.1	KAK4468456.1
OG0000024	SCUR1_64030.1	KAK4471475.1
OG0000024	SCUR1_79670.1	KAK4470835.1
OG0000024	SCUR1_79660.1	KAK4470057.1
OG0000026	SCUR1_79090.1	KAK4470973.1
OG0000026	SCUR1_71450.1	KAK4470239.1, KAK4470240.1
OG0000026	SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5, SCUR1_71400.3	KAK4470216.1
OG0000028	SCUR1_69820.2, SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5	KAK4470768.1
OG0000029	SCUR1_57630.1, SCUR1_99660.1	KAK4471130.1
OG0000029	SCUR1_86440.1	KAK4468717.1
OG0000029	SCUR1_86010.1	KAK4468778.1
OG0000029	SCUR1_20790.1	KAK4474996.1
OG0000029	SCUR1_86960.1	KAK4468699.1
OG0000030	SCUR1_6670.1	KAK4476063.1
OG0000031	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12	KAK4475389.1
OG0000032	SCUR1_10300.1	KAK4476285.1
OG0000032	SCUR1_57440.2	KAK4476283.1, KAK4476284.1
OG0000032	SCUR1_9500.1, SCUR1_79130.1, SCUR1_79130.2, SCUR1_79130.3	KAK4470045.1
OG0000033	SCUR1_53450.1, SCUR1_37110.1, SCUR1_41840.1, SCUR1_8400.1, SCUR1_21110.1, SCUR1_31600.1, SCUR1_76470.1, SCUR1_14010.1, SCUR1_46040.1, SCUR1_35190.1, SCUR1_10560.1, SCUR1_31920.1, SCUR1_37620.1, SCUR1_3270.1, SCUR1_93810.1, SCUR1_27970.1, SCUR1_84970.1, SCUR1_4270.1, SCUR1_76530.1, SCUR1_30900.1, SCUR1_53660.1, SCUR1_83210.1, SCUR1_1750.1, SCUR1_18840.1	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1
OG0000034	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3	KAK4468479.1
OG0000034	SCUR1_90440.1, SCUR1_90430.1	KAK4468478.1
OG0000034	SCUR1_57480.1, SCUR1_57500.1, SCUR1_57520.1, SCUR1_95610.1, SCUR1_57550.1, SCUR1_57380.1, SCUR1_95620.1, SCUR1_57530.1, SCUR1_57580.1	KAK4471028.1, KAK4471029.1
OG0000035	SCUR1_14970.1	KAK4475274.1
OG0000037	SCUR1_59650.1, SCUR1_59730.1	KAK4471851.1
OG0000037	SCUR1_59780.2, SCUR1_59790.1, SCUR1_100280.1, SCUR1_95090.4, SCUR1_95090.1, SCUR1_95090.2, SCUR1_95090.3, SCUR1_95090.5, SCUR1_95090.6	KAK4471850.1
OG0000042	SCUR1_40080.1	KAK4472150.1
OG0000042	SCUR1_40070.1	KAK4472153.1
OG0000042	SCUR1_40040.1	KAK4473688.1
OG0000042	SCUR1_40060.1, SCUR1_40050.3, SCUR1_40050.1, SCUR1_40050.2	KAK4472151.1, KAK4472152.1
OG0000044	SCUR1_84690.1, SCUR1_84700.1	KAK4468903.1
OG0000044	SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1, SCUR1_84780.2, SCUR1_98900.1, SCUR1_84780.1, SCUR1_98900.2, SCUR1_98930.1, SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1	KAK4468904.1
OG0000045	SCUR1_10540.1, SCUR1_10540.3, SCUR1_10540.4, SCUR1_10540.5, SCUR1_10540.2, SCUR1_10540.6	KAK4468037.1
OG0000045	SCUR1_36550.1, SCUR1_36550.5, SCUR1_36550.10, SCUR1_36550.16, SCUR1_36550.9, SCUR1_36550.6, SCUR1_36550.11, SCUR1_36550.12, SCUR1_36550.13, SCUR1_36550.14, SCUR1_36550.15, SCUR1_36550.7, SCUR1_36550.8, SCUR1_36550.3, SCUR1_36550.2, SCUR1_36550.4	KAK4470284.1
OG0000049	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3	KAK4470136.1, KAK4470137.1
OG0000049	SCUR1_72710.1, SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3, SCUR1_72710.5, SCUR1_72710.4	KAK4470598.1
OG0000050	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3, SCUR1_53710.1	KAK4469367.1
OG0000052	SCUR1_28750.1	KAK4472821.1
OG0000052	SCUR1_3190.1	KAK4474336.1
OG0000052	SCUR1_96920.1, SCUR1_96910.1, SCUR1_100150.1, SCUR1_850.2, SCUR1_850.1, SCUR1_100150.2	KAK4474374.1
OG0000052	SCUR1_2360.1, SCUR1_2360.2	KAK4474946.1
OG0000052	SCUR1_66590.1	KAK4471620.1
OG0000053	SCUR1_97170.1, SCUR1_97170.11, SCUR1_97170.16, SCUR1_97170.4, SCUR1_97170.5, SCUR1_97170.6, SCUR1_97170.7, SCUR1_97170.8, SCUR1_97170.18, SCUR1_97170.19, SCUR1_97170.10, SCUR1_97170.12, SCUR1_97170.13, SCUR1_97170.14, SCUR1_97170.17, SCUR1_97170.2, SCUR1_97170.3, SCUR1_97170.9, SCUR1_97170.15	KAK4475177.1, KAK4475178.1
OG0000054	SCUR1_70890.1	KAK4471019.1
OG0000055	SCUR1_68200.6, SCUR1_68200.24, SCUR1_68200.10, SCUR1_68200.8, SCUR1_68200.9, SCUR1_68200.5, SCUR1_68200.20, SCUR1_68200.21, SCUR1_68200.11, SCUR1_68200.22, SCUR1_68200.15, SCUR1_68200.18, SCUR1_68200.19, SCUR1_68200.2, SCUR1_68200.1, SCUR1_68200.3, SCUR1_68200.4, SCUR1_68200.23, SCUR1_68200.14, SCUR1_68200.17, SCUR1_68200.13, SCUR1_68200.7, SCUR1_68200.12, SCUR1_68200.16, SCUR1_68210.1, SCUR1_68210.3, SCUR1_68210.7, SCUR1_68210.5, SCUR1_68210.6, SCUR1_68210.2, SCUR1_68210.4	KAK4471575.1, KAK4471564.1
OG0000056	SCUR1_84350.1, SCUR1_17500.1, SCUR1_50470.1, SCUR1_78360.1, SCUR1_78360.2, SCUR1_72430.1, SCUR1_85840.1, SCUR1_83800.1, SCUR1_75460.1, SCUR1_51170.1, SCUR1_40370.1	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1
OG0000058	SCUR1_88860.1	KAK4468525.1
OG0000058	SCUR1_79800.1	KAK4470069.1
OG0000058	SCUR1_79810.1, SCUR1_79840.7, SCUR1_79840.3, SCUR1_79840.4, SCUR1_79840.2, SCUR1_79840.6, SCUR1_79840.8, SCUR1_79840.1, SCUR1_79840.5	KAK4470074.1, KAK4470072.1
OG0000060	SCUR1_65160.2, SCUR1_65160.3, SCUR1_65160.5, SCUR1_65160.1, SCUR1_65160.4, SCUR1_65160.6	KAK4471247.1
OG0000061	SCUR1_52590.14, SCUR1_52590.15, SCUR1_52590.7, SCUR1_52590.11, SCUR1_52590.12, SCUR1_52590.10, SCUR1_52590.13, SCUR1_52590.16, SCUR1_52590.17, SCUR1_52590.9, SCUR1_52590.8, SCUR1_52590.1, SCUR1_52590.3, SCUR1_52590.4, SCUR1_52590.2, SCUR1_52590.5, SCUR1_52590.6	KAK4469486.1
OG0000062	SCUR1_6120.4, SCUR1_6120.8, SCUR1_6120.7, SCUR1_6120.9, SCUR1_6120.5, SCUR1_6120.1, SCUR1_6120.6, SCUR1_6120.2, SCUR1_6120.3	KAK4475970.1
OG0000063	SCUR1_39570.3, SCUR1_39570.4, SCUR1_39570.10, SCUR1_39570.6, SCUR1_39570.8, SCUR1_39570.1, SCUR1_39570.15, SCUR1_39570.5, SCUR1_39570.7, SCUR1_39570.16, SCUR1_39570.13, SCUR1_39570.14, SCUR1_39570.11, SCUR1_39570.2, SCUR1_39570.9, SCUR1_39570.12	KAK4473734.1
OG0000064	SCUR1_4200.1	KAK4475705.1
OG0000065	SCUR1_22980.1	KAK4473358.1
OG0000065	SCUR1_23010.1, SCUR1_23000.5, SCUR1_23000.1, SCUR1_23000.2, SCUR1_23000.3, SCUR1_23000.4	KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	SCUR1_37290.10, SCUR1_37290.8, SCUR1_37290.12, SCUR1_37290.4, SCUR1_37290.7, SCUR1_37290.5, SCUR1_37290.13, SCUR1_37290.14, SCUR1_37290.6, SCUR1_37290.11, SCUR1_37290.2, SCUR1_37290.9	KAK4473833.1
OG0000067	SCUR1_67110.2, SCUR1_67110.1, SCUR1_67110.4, SCUR1_67110.5, SCUR1_67110.6, SCUR1_67110.7, SCUR1_67110.9, SCUR1_67110.8, SCUR1_67110.3	KAK4471577.1
OG0000068	SCUR1_53860.1	KAK4469181.1
OG0000068	SCUR1_93300.1	KAK4467758.1
OG0000068	SCUR1_36720.2, SCUR1_36720.1, SCUR1_36720.3, SCUR1_36720.4	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	SCUR1_28800.1	KAK4472801.1
OG0000069	SCUR1_20660.13, SCUR1_20660.14, SCUR1_20660.18, SCUR1_20660.26, SCUR1_20660.36, SCUR1_20660.27, SCUR1_20660.23, SCUR1_20660.24, SCUR1_20660.28, SCUR1_20660.17, SCUR1_20660.2, SCUR1_20660.20, SCUR1_20660.21, SCUR1_20660.22, SCUR1_20660.25, SCUR1_20660.3, SCUR1_20660.4, SCUR1_20660.6, SCUR1_20660.7, SCUR1_20660.8, SCUR1_20660.1, SCUR1_20660.12, SCUR1_20660.5, SCUR1_20660.10, SCUR1_20660.16, SCUR1_20660.29, SCUR1_20660.30, SCUR1_20660.31, SCUR1_20660.32, SCUR1_20660.33, SCUR1_20660.9, SCUR1_20660.34, SCUR1_20660.35, SCUR1_20660.11, SCUR1_20660.15, SCUR1_20660.19	KAK4474982.1
OG0000070	SCUR1_43900.6, SCUR1_43900.7, SCUR1_43900.12, SCUR1_43900.8, SCUR1_43900.3, SCUR1_43900.2, SCUR1_43900.1, SCUR1_43900.11, SCUR1_43900.9, SCUR1_43900.5, SCUR1_43900.4, SCUR1_43900.13, SCUR1_43900.14, SCUR1_43900.10	KAK4472878.1
OG0000071	SCUR1_34320.1, SCUR1_34320.3, SCUR1_34320.4, SCUR1_34320.5, SCUR1_34320.2, SCUR1_34320.6	KAK4472253.1
OG0000072	SCUR1_88280.7, SCUR1_88280.5, SCUR1_88280.3, SCUR1_88280.2, SCUR1_88280.1, SCUR1_88280.8, SCUR1_88280.4, SCUR1_88280.6	KAK4468648.1
OG0000073	SCUR1_55360.1, SCUR1_55360.5, SCUR1_55360.8, SCUR1_55360.9, SCUR1_55360.2, SCUR1_55360.3, SCUR1_55360.4, SCUR1_55360.6, SCUR1_55360.7, SCUR1_55350.4, SCUR1_55350.2, SCUR1_55350.3, SCUR1_55350.5, SCUR1_55350.1	KAK4469816.1
OG0000074	SCUR1_1180.1	KAK4476006.1
OG0000074	SCUR1_86750.1, SCUR1_86750.2	KAK4468714.1
OG0000074	SCUR1_11360.1	KAK4474596.1
OG0000074	SCUR1_86850.1, SCUR1_86850.2	KAK4468705.1
OG0000075	SCUR1_34050.1	KAK4472282.1
OG0000076	SCUR1_3860.1, SCUR1_3860.2	KAK4467358.1, KAK4475671.1
OG0000077	SCUR1_10810.3, SCUR1_10810.4, SCUR1_10810.5, SCUR1_10810.2, SCUR1_10810.1, SCUR1_10810.6, SCUR1_10810.7	KAK4475941.1
OG0000079	SCUR1_30630.2, SCUR1_30630.1, SCUR1_30630.3	KAK4472724.1
OG0000080	SCUR1_44300.10, SCUR1_44300.3, SCUR1_44300.5, SCUR1_44300.4, SCUR1_44300.1, SCUR1_44300.16, SCUR1_44300.11, SCUR1_44300.7, SCUR1_44300.8, SCUR1_44300.15, SCUR1_44300.6, SCUR1_44300.13, SCUR1_44300.2, SCUR1_44300.12, SCUR1_44300.14, SCUR1_44300.9	KAK4472503.1
OG0000081	SCUR1_77680.1, SCUR1_33180.1, SCUR1_75470.1, SCUR1_22270.1, SCUR1_74360.1, SCUR1_46320.1, SCUR1_46330.1, SCUR1_45760.1, SCUR1_63590.1, SCUR1_88200.1, SCUR1_73070.1, SCUR1_32970.1	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1
OG0000082	SCUR1_10450.1, SCUR1_10450.2, SCUR1_10450.15, SCUR1_10450.16, SCUR1_10450.18, SCUR1_10450.11, SCUR1_10450.17, SCUR1_10450.3, SCUR1_10450.4, SCUR1_10450.7, SCUR1_10450.9, SCUR1_10450.10, SCUR1_10450.13, SCUR1_10450.14, SCUR1_10450.5, SCUR1_10450.6, SCUR1_10450.8, SCUR1_10450.19, SCUR1_10450.12	KAK4476263.1
OG0000083	SCUR1_19640.1, SCUR1_3960.1, SCUR1_99210.1	KAK4471026.1, KAK4474271.1
OG0000085	SCUR1_36590.1, SCUR1_36590.6, SCUR1_36590.2, SCUR1_36590.3, SCUR1_36590.4, SCUR1_36590.5	KAK4474010.1
OG0000086	SCUR1_72390.1, SCUR1_72390.6, SCUR1_72390.3, SCUR1_72390.10, SCUR1_72390.8, SCUR1_72390.2, SCUR1_72390.5, SCUR1_72390.12, SCUR1_72390.13, SCUR1_72390.11, SCUR1_72390.7, SCUR1_72390.9, SCUR1_72390.4	KAK4470561.1
OG0000087	SCUR1_52940.3, SCUR1_52940.10, SCUR1_52940.8, SCUR1_52940.4, SCUR1_52940.9, SCUR1_52940.1, SCUR1_52940.5, SCUR1_52940.6, SCUR1_52940.7, SCUR1_52940.2	KAK4469513.1
OG0000088	SCUR1_3030.5, SCUR1_3030.1, SCUR1_3030.3, SCUR1_3030.2, SCUR1_3030.4	KAK4475590.1
OG0000088	SCUR1_3020.1, SCUR1_3020.2, SCUR1_3020.3, SCUR1_3020.7, SCUR1_3020.5, SCUR1_3020.4, SCUR1_3020.6, SCUR1_3020.9, SCUR1_3020.8	KAK4475589.1
OG0000091	SCUR1_47950.1	KAK4469611.1
OG0000092	SCUR1_2070.1, SCUR1_2070.4, SCUR1_2070.2, SCUR1_2070.3, SCUR1_2070.5, SCUR1_2070.6	KAK4475365.1
OG0000092	SCUR1_13260.3, SCUR1_13260.4, SCUR1_13260.8, SCUR1_13260.2, SCUR1_13260.7, SCUR1_13260.5, SCUR1_13260.6, SCUR1_13260.1	KAK4474711.1
OG0000093	SCUR1_40300.1	KAK4473668.1
OG0000093	SCUR1_96410.1, SCUR1_96420.1	KAK4467328.1, KAK4467335.1
OG0000094	SCUR1_8440.11, SCUR1_8440.13, SCUR1_8440.5, SCUR1_8440.9, SCUR1_8440.4, SCUR1_8440.6, SCUR1_8440.7, SCUR1_8440.1, SCUR1_8440.2, SCUR1_8440.3, SCUR1_8440.8, SCUR1_8440.12, SCUR1_8440.16, SCUR1_8440.15, SCUR1_8440.14, SCUR1_8440.10	KAK4475997.1
OG0000095	SCUR1_61370.7, SCUR1_61370.1, SCUR1_61370.3, SCUR1_61370.5, SCUR1_61370.6, SCUR1_61370.4, SCUR1_61370.9, SCUR1_61370.2, SCUR1_61370.8	KAK4471403.1, KAK4471978.1
OG0000096	SCUR1_35430.4, SCUR1_35430.6, SCUR1_35430.10, SCUR1_35430.5, SCUR1_35430.14, SCUR1_35430.8, SCUR1_35430.12, SCUR1_35430.2, SCUR1_35430.15, SCUR1_35430.9, SCUR1_35430.11, SCUR1_35430.7, SCUR1_35430.1, SCUR1_35430.13, SCUR1_35430.3	KAK4474123.1
OG0000097	SCUR1_6890.25, SCUR1_6890.2, SCUR1_6890.20, SCUR1_6890.24, SCUR1_6890.10, SCUR1_6890.15, SCUR1_6890.17, SCUR1_6890.19, SCUR1_6890.23, SCUR1_6890.5, SCUR1_6890.8, SCUR1_6890.21, SCUR1_6890.16, SCUR1_6890.18, SCUR1_6890.26, SCUR1_6890.6, SCUR1_6890.1, SCUR1_6890.12, SCUR1_6890.13, SCUR1_6890.14, SCUR1_6890.3, SCUR1_6890.4, SCUR1_6890.7, SCUR1_6890.9, SCUR1_6890.11, SCUR1_6890.22	KAK4476042.1, KAK4476041.1
OG0000098	SCUR1_94810.1, SCUR1_41240.1	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	SCUR1_98370.1, SCUR1_66460.3, SCUR1_66460.1, SCUR1_66460.4, SCUR1_66460.2, SCUR1_66510.1	KAK4471639.1
OG0000099	SCUR1_67230.1, SCUR1_67230.3, SCUR1_67230.2	KAK4471562.1
OG0000099	SCUR1_71170.4, SCUR1_71170.3, SCUR1_71170.7, SCUR1_71170.2, SCUR1_71170.1, SCUR1_71170.5, SCUR1_71170.6	KAK4470190.1
OG0000102	SCUR1_58590.1, SCUR1_58590.2, SCUR1_58590.3	KAK4472110.1
OG0000103	SCUR1_73440.1, SCUR1_73440.8, SCUR1_73440.10, SCUR1_73440.4, SCUR1_73440.5, SCUR1_73440.6, SCUR1_73440.7, SCUR1_73440.2, SCUR1_73440.3, SCUR1_73440.9	KAK4470657.1
OG0000104	SCUR1_6110.1, SCUR1_6110.10, SCUR1_6110.11, SCUR1_6110.16, SCUR1_6110.3, SCUR1_6110.7, SCUR1_6110.13, SCUR1_6110.15, SCUR1_6110.4, SCUR1_6110.9, SCUR1_6110.17, SCUR1_6110.14, SCUR1_6110.6, SCUR1_6110.8, SCUR1_6110.12, SCUR1_6110.2, SCUR1_6110.5	KAK4475921.1
OG0000105	SCUR1_7610.1	KAK4474244.1
OG0000106	SCUR1_72810.1	KAK4470606.1, KAK4467455.1
OG0000107	SCUR1_56400.1	KAK4469978.1
OG0000107	SCUR1_49430.1	KAK4468968.1
OG0000108	SCUR1_8280.1	KAK4475981.1
OG0000110	SCUR1_29820.1, SCUR1_29820.2	KAK4472451.1
OG0000110	SCUR1_29800.2, SCUR1_29800.4, SCUR1_29800.1, SCUR1_29800.5, SCUR1_29800.3	KAK4472446.1
OG0000110	SCUR1_29830.1	KAK4472452.1
OG0000110	SCUR1_29840.2, SCUR1_29840.1	KAK4472453.1
OG0000111	SCUR1_41310.1	KAK4473064.1
OG0000111	SCUR1_51960.1	KAK4469719.1
OG0000111	SCUR1_31210.1	KAK4472666.1
OG0000112	SCUR1_82790.7, SCUR1_82790.1, SCUR1_82790.4, SCUR1_82790.5, SCUR1_82790.8, SCUR1_82790.11, SCUR1_82790.10, SCUR1_82790.12, SCUR1_82790.2, SCUR1_82790.13, SCUR1_82790.6, SCUR1_82790.9, SCUR1_82790.3	KAK4468035.1
OG0000114	SCUR1_93190.5, SCUR1_93190.1, SCUR1_93190.7, SCUR1_93190.2, SCUR1_93190.3, SCUR1_93190.6, SCUR1_93190.8, SCUR1_93190.9, SCUR1_93190.4	KAK4467770.1
OG0000115	SCUR1_36820.4, SCUR1_36820.5, SCUR1_36820.2, SCUR1_36820.7, SCUR1_36820.9, SCUR1_36820.1, SCUR1_36820.10, SCUR1_36820.3, SCUR1_36820.6, SCUR1_36820.8	KAK4473986.1
OG0000116	SCUR1_50170.11, SCUR1_50170.5, SCUR1_50170.12, SCUR1_50170.18, SCUR1_50170.22, SCUR1_50170.13, SCUR1_50170.8, SCUR1_50170.1, SCUR1_50170.15, SCUR1_50170.19, SCUR1_50170.10, SCUR1_50170.4, SCUR1_50170.7, SCUR1_50170.14, SCUR1_50170.2, SCUR1_50170.20, SCUR1_50170.3, SCUR1_50170.6, SCUR1_50170.17, SCUR1_50170.21, SCUR1_50170.16, SCUR1_50170.9	KAK4469396.1
OG0000117	SCUR1_29920.10, SCUR1_29920.11, SCUR1_29920.15, SCUR1_29920.17, SCUR1_29920.6, SCUR1_29920.7, SCUR1_29920.1, SCUR1_29920.13, SCUR1_29920.5, SCUR1_29920.9, SCUR1_29920.14, SCUR1_29920.16, SCUR1_29920.18, SCUR1_29920.12, SCUR1_29920.19, SCUR1_29920.2, SCUR1_29920.3, SCUR1_29920.4, SCUR1_29920.8	KAK4472459.1
OG0000118	SCUR1_39670.1, SCUR1_39680.1	KAK4473725.1
OG0000118	SCUR1_39630.1	KAK4473729.1
OG0000118	SCUR1_39640.1	KAK4473727.1
OG0000118	SCUR1_39660.1	KAK4473726.1
OG0000119	SCUR1_94000.1, SCUR1_94010.1	KAK4467682.1
OG0000120	SCUR1_30020.1	KAK4472468.1
OG0000122	SCUR1_79780.9, SCUR1_79780.18, SCUR1_79780.1, SCUR1_79780.25, SCUR1_79780.10, SCUR1_79780.16, SCUR1_79780.7, SCUR1_79780.24, SCUR1_79780.4, SCUR1_79780.13, SCUR1_79780.19, SCUR1_79780.5, SCUR1_79780.6, SCUR1_79780.12, SCUR1_79780.17, SCUR1_79780.2, SCUR1_79780.20, SCUR1_79780.8, SCUR1_79780.23, SCUR1_79780.14, SCUR1_79780.21, SCUR1_79780.11, SCUR1_79780.15, SCUR1_79780.22, SCUR1_79780.3	KAK4470066.1
OG0000123	SCUR1_77980.6, SCUR1_77980.3, SCUR1_77980.4, SCUR1_77980.7, SCUR1_77980.5, SCUR1_77980.8, SCUR1_77980.1, SCUR1_77980.10, SCUR1_77980.9, SCUR1_77980.2	KAK4470855.1
