Orthogroup	fasciola_hepatica	opisthorchis_viverrini
OG0000024	FhHiC23_g2596.t1	T265_03511
OG0000024	FhHiC23_g16265.t1	T265_01869
OG0000024	FhHiC23_g5242.t1	T265_13526
OG0000024	FhHiC23_g2601.t1	T265_07294
OG0000024	FhHiC23_g2598.t1	T265_14255
OG0000024	FhHiC23_g3909.t1	T265_07098
OG0000024	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1	T265_10896, T265_12043, T265_03132
OG0000024	FhHiC23_g1520.t1, FhHiC23_g1521.t1, FhHiC23_g1522.t1	T265_04046, T265_04047
OG0000026	FhHiC23_g1282.t1	T265_07485
OG0000026	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1	T265_12778, T265_12779
OG0000026	FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1	T265_13344, T265_13367
OG0000027	FhHiC23_g5213.t1	T265_14036
OG0000028	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3	T265_03596
OG0000028	FhHiC23_g3336.t1	T265_13290
OG0000029	FhHiC23_g7784.t2, FhHiC23_g7784.t1	T265_08214
OG0000029	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1	T265_00572, T265_00570, T265_00571
OG0000029	FhHiC23_g16497.t1	T265_09603
OG0000029	FhHiC23_g15510.t1, FhHiC23_g15705.t1	T265_11028, T265_15320, T265_05522
OG0000029	FhHiC23_g16496.t1	T265_09500, T265_09499, T265_09501, T265_16249
OG0000029	FhHiC23_g15887.t1	T265_07465, T265_07466
OG0000030	FhHiC23_g11202.t1	T265_14111
OG0000031	FhHiC23_g15305.t1	T265_06361
OG0000032	FhHiC23_g13161.t1	T265_13222
OG0000032	FhHiC23_g12741.t1	T265_02106
OG0000032	FhHiC23_g13908.t1, FhHiC23_g13918.t1	T265_07146
OG0000032	FhHiC23_g3568.t1, FhHiC23_g3568.t2	T265_01645
OG0000032	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1	T265_07282
OG0000032	FhHiC23_g11680.t1	T265_07180
OG0000034	FhHiC23_g13064.t1	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999
OG0000034	FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1	T265_12688, T265_09004, T265_09005
OG0000035	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3	T265_00972
OG0000036	FhHiC23_g11086.t1, FhHiC23_g14049.t1, FhHiC23_g12363.t1, FhHiC23_g14736.t1, FhHiC23_g3106.t1	T265_15083
OG0000037	FhHiC23_g6871.t1	T265_00630
OG0000040	FhHiC23_g2039.t1	T265_01293
OG0000042	FhHiC23_g15459.t1	T265_12048, T265_11239, T265_15548, T265_15551
OG0000043	FhHiC23_g4609.t1, FhHiC23_g4609.t2	T265_02563
OG0000044	FhHiC23_g1755.t1	T265_05071, T265_05072, T265_08625, T265_11935
OG0000044	FhHiC23_g571.t1, FhHiC23_g573.t1	T265_13418
OG0000049	FhHiC23_g1642.t1, FhHiC23_g1642.t2	T265_01286
OG0000049	FhHiC23_g2467.t1, FhHiC23_g2467.t2	T265_15552
OG0000050	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2	T265_02127, T265_02652
OG0000052	FhHiC23_g6159.t2, FhHiC23_g6159.t1	T265_08730, T265_12065
OG0000052	FhHiC23_g12020.t1, FhHiC23_g12020.t3	T265_04421
OG0000052	FhHiC23_g13097.t1, FhHiC23_g13097.t2, FhHiC23_g13095.t1, FhHiC23_g13095.t2	T265_01537, T265_15906, T265_15950
OG0000052	FhHiC23_g13824.t1	T265_02480
OG0000052	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1	T265_06797
OG0000053	FhHiC23_g15140.t1, FhHiC23_g15140.t2	T265_11166
OG0000054	FhHiC23_g16178.t1	T265_02804
OG0000054	FhHiC23_g14380.t1	T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433
OG0000054	FhHiC23_g11010.t1	T265_08614
OG0000055	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1	T265_07023
OG0000056	FhHiC23_g2380.t1	T265_07274
OG0000058	FhHiC23_g16509.t1	T265_07455
OG0000058	FhHiC23_g3241.t1	T265_13746
OG0000060	FhHiC23_g8030.t1	T265_13025
OG0000061	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5	T265_02884
OG0000062	FhHiC23_g12088.t1, FhHiC23_g12088.t4	T265_10452
OG0000063	FhHiC23_g5471.t1, FhHiC23_g5471.t2	T265_09823
OG0000064	FhHiC23_g13576.t2, FhHiC23_g13576.t1	T265_15306
OG0000065	FhHiC23_g16266.t1	T265_05693
OG0000065	FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1	T265_07607, T265_14333, T265_14334, T265_14335
OG0000066	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6	T265_07972
OG0000068	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1	T265_12520
OG0000068	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1	T265_06616
OG0000068	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1	T265_13582
OG0000068	FhHiC23_g5260.t1	T265_03815
OG0000070	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1	T265_10197
OG0000071	FhHiC23_g6283.t1	T265_11263
OG0000071	FhHiC23_g6282.t1, FhHiC23_g6282.t2	T265_11264
OG0000072	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1	T265_13598
OG0000073	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5	T265_11926
OG0000074	FhHiC23_g13499.t1	T265_06662
OG0000074	FhHiC23_g4352.t2, FhHiC23_g4352.t1	T265_09755
OG0000074	FhHiC23_g10998.t1	T265_14825
OG0000074	FhHiC23_g16397.t1	T265_13709
OG0000075	FhHiC23_g5300.t1, FhHiC23_g5300.t2	T265_02596
OG0000076	FhHiC23_g8656.t1, FhHiC23_g8656.t2	T265_01838
OG0000076	FhHiC23_g13008.t1, FhHiC23_g13008.t2	T265_09657, T265_14927
OG0000077	FhHiC23_g13340.t1	T265_07170
OG0000078	FhHiC23_g13137.t1	T265_10237, T265_16023
OG0000079	FhHiC23_g5009.t2, FhHiC23_g5009.t1	T265_03623
OG0000079	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3	T265_11700
OG0000080	FhHiC23_g14390.t1	T265_07150, T265_07149
OG0000081	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1	T265_01189, T265_06107, T265_02619, T265_12063
OG0000082	FhHiC23_g13569.t1, FhHiC23_g13569.t2	T265_13150
OG0000085	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1	T265_03464, T265_13261, T265_16244
OG0000086	FhHiC23_g1071.t1	T265_13900
OG0000087	FhHiC23_g1744.t1, FhHiC23_g1744.t2	T265_01347, T265_12258
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	T265_02657, T265_14540
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2	T265_04053
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	T265_14035, T265_15099
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	T265_03205
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	T265_08704
OG0000093	FhHiC23_g11510.t1	T265_01251, T265_15703
OG0000093	FhHiC23_g6196.t1, FhHiC23_g5957.t1	T265_06064, T265_06061, T265_06063
OG0000093	FhHiC23_g6435.t1	T265_06066
OG0000094	FhHiC23_g11975.t1, FhHiC23_g11975.t2	T265_06493
OG0000095	FhHiC23_g7183.t1	T265_08487
OG0000096	FhHiC23_g5432.t1, FhHiC23_g5432.t2	T265_09813
OG0000097	FhHiC23_g11521.t1	T265_02082
OG0000098	FhHiC23_g4954.t1, FhHiC23_g4955.t1	T265_08810
OG0000098	FhHiC23_g4952.t1	T265_16367
OG0000098	FhHiC23_g8191.t1, FhHiC23_g8190.t1	T265_15515
OG0000099	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3	T265_01131
OG0000099	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4	T265_02321
OG0000102	FhHiC23_g13582.t1	T265_01574
OG0000102	FhHiC23_g7758.t1	T265_05632
OG0000103	FhHiC23_g2725.t1	T265_13207
OG0000105	FhHiC23_g13058.t1	T265_03022
OG0000107	FhHiC23_g2176.t1	T265_07863
OG0000108	FhHiC23_g10941.t2, FhHiC23_g10941.t1	T265_04554, T265_13536
OG0000110	FhHiC23_g5186.t1, FhHiC23_g5186.t2	T265_08891, T265_08892
OG0000110	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3	T265_08890, T265_12894
OG0000111	FhHiC23_g4957.t1	T265_09132
OG0000111	FhHiC23_g5520.t1	T265_08991, T265_14719
OG0000112	FhHiC23_g3619.t1, FhHiC23_g3619.t2	T265_10678
OG0000114	FhHiC23_g9186.t1	T265_15923, T265_05226, T265_11486
OG0000115	FhHiC23_g5095.t1	T265_14637
OG0000116	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2	T265_02129
OG0000117	FhHiC23_g5310.t1	T265_11206
OG0000119	FhHiC23_g10335.t1	T265_12920
OG0000120	FhHiC23_g5279.t1	T265_09108
OG0000122	FhHiC23_g1533.t1	T265_15228, T265_15224
OG0000123	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1	T265_02792
OG0000124	FhHiC23_g14097.t1, FhHiC23_g14097.t3	T265_04485, T265_15699, T265_15700, T265_11697, T265_15454, T265_15763, T265_10113, T265_11001, T265_11326, T265_10943, T265_05899, T265_11002, T265_15595, T265_10115, T265_09826, T265_10492, T265_05046, T265_15734, T265_11764, T265_05045, T265_09825, T265_15773, T265_15769, T265_11569, T265_14679, T265_15453, T265_11950, T265_14615, T265_15581, T265_09856, T265_04479, T265_10756, T265_15438, T265_15693, T265_11190, T265_15245, T265_11816, T265_09853, T265_10427, T265_09852, T265_09857, T265_15054, T265_11511, T265_09482, T265_15720, T265_10753, T265_12094, T265_14946, T265_10755, T265_15884, T265_04380, T265_15455, T265_15659, T265_11570, T265_14674, T265_10942, T265_08796, T265_15164, T265_15580, T265_10941, T265_15297, T265_11822, T265_11794, T265_11830, T265_11663, T265_11927, T265_15733, T265_15574, T265_15575, T265_15545, T265_11673, T265_10116, T265_11914, T265_08795, T265_10491, T265_15995, T265_15530, T265_15452, T265_15407, T265_15739, T265_11756, T265_12058, T265_11509, T265_11933, T265_08233, T265_15375, T265_11189, T265_14947, T265_10944, T265_10428, T265_09829, T265_15711, T265_11000, T265_15791, T265_14859, T265_09828, T265_15314, T265_11191, T265_11946, T265_11804, T265_11945, T265_12097
OG0000125	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3	T265_13688
OG0000127	FhHiC23_g12206.t1, FhHiC23_g12204.t1	T265_14567
OG0000128	FhHiC23_g14316.t1	T265_14408
OG0000129	FhHiC23_g5688.t1, FhHiC23_g5688.t2	T265_07587
OG0000130	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3	T265_04661
OG0000131	FhHiC23_g14945.t1, FhHiC23_g14945.t2, FhHiC23_g14944.t1, FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2, FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1, FhHiC23_g14948.t1	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523
OG0000132	FhHiC23_g6424.t2, FhHiC23_g6424.t1, FhHiC23_g6424.t3	T265_00680
OG0000133	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1	T265_04893
OG0000134	FhHiC23_g15419.t1, FhHiC23_g15419.t2	T265_14784
OG0000135	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3	T265_07991, T265_11510
OG0000136	FhHiC23_g11494.t1, FhHiC23_g11493.t3, FhHiC23_g11493.t1, FhHiC23_g11493.t2	T265_11527
OG0000138	FhHiC23_g16219.t1	T265_11205
OG0000138	FhHiC23_g14050.t1	T265_13897
OG0000139	FhHiC23_g12767.t1	T265_03450
OG0000140	FhHiC23_g217.t1, FhHiC23_g217.t2	T265_06793, T265_05820
OG0000142	FhHiC23_g15549.t1	T265_03704
OG0000142	FhHiC23_g15251.t1	T265_07291, T265_15439
OG0000143	FhHiC23_g7696.t1, FhHiC23_g7697.t1	T265_04146, T265_13432
OG0000144	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2	T265_01304
OG0000144	FhHiC23_g4712.t2, FhHiC23_g4712.t1	T265_12086
OG0000145	FhHiC23_g6031.t1	T265_14746
OG0000146	FhHiC23_g8653.t1	T265_07748
OG0000146	FhHiC23_g3017.t1	T265_07423, T265_07424
OG0000146	FhHiC23_g4902.t1	T265_08388
OG0000146	FhHiC23_g2238.t1	T265_03861
OG0000149	FhHiC23_g720.t1	T265_03520
OG0000151	FhHiC23_g7923.t1, FhHiC23_g7924.t1	T265_06094
OG0000152	FhHiC23_g11170.t1	T265_06135
OG0000153	FhHiC23_g1476.t1, FhHiC23_g1472.t1, FhHiC23_g1472.t2	T265_16031, T265_12191, T265_02887, T265_13113
OG0000153	FhHiC23_g1478.t1, FhHiC23_g1478.t2	T265_01183, T265_12738, T265_12737, T265_01181
OG0000154	FhHiC23_g3121.t1, FhHiC23_g3120.t1, FhHiC23_g3119.t1, FhHiC23_g11005.t1, FhHiC23_g3122.t1	T265_03183
OG0000155	FhHiC23_g14798.t5, FhHiC23_g14798.t1, FhHiC23_g14798.t3, FhHiC23_g14798.t2, FhHiC23_g14798.t4	T265_08299
OG0000156	FhHiC23_g15553.t1	T265_00887, T265_16074
OG0000156	FhHiC23_g15566.t2, FhHiC23_g15566.t1, FhHiC23_g15566.t3	T265_03696
OG0000156	FhHiC23_g15050.t1	T265_15374
OG0000157	FhHiC23_g8049.t2, FhHiC23_g8049.t1	T265_06998, T265_11481
OG0000157	FhHiC23_g14186.t1	T265_01460, T265_12799
OG0000157	FhHiC23_g9140.t1, FhHiC23_g9140.t2	T265_09530, T265_09531, T265_14875
OG0000158	FhHiC23_g13140.t1	T265_10234, T265_16363
OG0000158	FhHiC23_g13141.t1, FhHiC23_g13141.t2	T265_15093
OG0000159	FhHiC23_g7585.t1	T265_08123
OG0000160	FhHiC23_g11475.t1	T265_10045
OG0000164	FhHiC23_g8533.t1	T265_13175
OG0000164	FhHiC23_g1084.t1	T265_00011
OG0000164	FhHiC23_g5363.t1, FhHiC23_g5363.t2	T265_07457
OG0000165	FhHiC23_g7386.t1, FhHiC23_g7386.t2	T265_11439
OG0000166	FhHiC23_g4357.t1, FhHiC23_g4436.t1	T265_10300
OG0000167	FhHiC23_g1665.t1, FhHiC23_g1665.t2, FhHiC23_g1665.t3, FhHiC23_g1665.t4	T265_06764
OG0000169	FhHiC23_g9336.t1, FhHiC23_g9336.t2	T265_05323, T265_13753, T265_13752
OG0000169	FhHiC23_g14278.t1	T265_09476
OG0000169	FhHiC23_g9128.t1, FhHiC23_g10107.t1, FhHiC23_g9252.t1, FhHiC23_g9980.t1	T265_14845
OG0000169	FhHiC23_g10077.t1	T265_02739
OG0000169	FhHiC23_g10076.t1	T265_02737
OG0000170	FhHiC23_g1333.t1	T265_12986
OG0000171	FhHiC23_g9453.t1, FhHiC23_g8538.t1	T265_13394, T265_04623
OG0000171	FhHiC23_g4302.t1, FhHiC23_g7420.t1	T265_03862, T265_12839, T265_04612, T265_00184
OG0000172	FhHiC23_g11485.t1, FhHiC23_g11485.t4, FhHiC23_g11485.t5, FhHiC23_g11485.t3, FhHiC23_g11485.t2	T265_00976
OG0000173	FhHiC23_g3805.t1, FhHiC23_g3804.t1	T265_02233
OG0000175	FhHiC23_g4838.t1	T265_14593, T265_08511
OG0000175	FhHiC23_g4843.t1	T265_08509
OG0000175	FhHiC23_g4844.t1	T265_08510, T265_14591
OG0000176	FhHiC23_g1475.t1, FhHiC23_g6682.t1, FhHiC23_g14687.t2, FhHiC23_g14687.t1, FhHiC23_g7341.t1, FhHiC23_g6566.t1, FhHiC23_g8889.t1, FhHiC23_g1261.t1, FhHiC23_g5760.t1, FhHiC23_g5760.t2, FhHiC23_g13662.t1, FhHiC23_g8945.t1	T265_07532, T265_09847
OG0000177	FhHiC23_g7294.t2, FhHiC23_g7294.t1, FhHiC23_g7294.t6, FhHiC23_g7294.t3, FhHiC23_g7294.t4, FhHiC23_g7294.t5	T265_00175
OG0000178	FhHiC23_g9978.t4, FhHiC23_g9978.t3, FhHiC23_g9978.t2, FhHiC23_g9978.t1	T265_14067, T265_06556, T265_06557
OG0000179	FhHiC23_g1759.t1, FhHiC23_g2123.t1	T265_00043
OG0000180	FhHiC23_g4225.t1	T265_07809
OG0000182	FhHiC23_g8157.t2, FhHiC23_g8157.t1	T265_01820, T265_01818
OG0000182	FhHiC23_g5700.t2, FhHiC23_g5700.t1, FhHiC23_g5700.t3	T265_15629, T265_15631
OG0000183	FhHiC23_g5440.t1, FhHiC23_g5440.t2	T265_03893
OG0000184	FhHiC23_g551.t1	T265_08817, T265_08819
OG0000184	FhHiC23_g552.t1	T265_01209, T265_01210, T265_16188
OG0000185	FhHiC23_g5939.t1, FhHiC23_g5938.t1	T265_08504
OG0000186	FhHiC23_g2328.t1, FhHiC23_g2327.t1	T265_11314
OG0000187	FhHiC23_g11066.t1, FhHiC23_g440.t1, FhHiC23_g440.t2	T265_00019
OG0000188	FhHiC23_g5387.t1	T265_08339
OG0000189	FhHiC23_g11311.t1, FhHiC23_g11311.t2	T265_02452, T265_02451
OG0000190	FhHiC23_g2208.t1, FhHiC23_g2208.t2	T265_05088
OG0000191	FhHiC23_g14871.t1, FhHiC23_g4941.t1, FhHiC23_g4940.t1, FhHiC23_g4937.t1, FhHiC23_g4938.t1, FhHiC23_g14042.t1	T265_04702, T265_04703
OG0000192	FhHiC23_g8375.t1, FhHiC23_g8375.t3, FhHiC23_g8375.t2	T265_05152, T265_13696
OG0000193	FhHiC23_g7377.t1	T265_12730
OG0000193	FhHiC23_g8323.t1	T265_08127
OG0000194	FhHiC23_g2835.t1, FhHiC23_g2835.t2	T265_13065
OG0000195	FhHiC23_g1825.t1	T265_01951
OG0000196	FhHiC23_g13335.t1	T265_01003
OG0000196	FhHiC23_g15952.t1	T265_08738
OG0000196	FhHiC23_g11302.t1	T265_13637
OG0000198	FhHiC23_g11938.t1	T265_15102
OG0000199	FhHiC23_g6386.t1	T265_11013
OG0000201	FhHiC23_g6359.t2, FhHiC23_g6359.t1, FhHiC23_g6359.t3, FhHiC23_g6359.t4	T265_08652
OG0000202	FhHiC23_g4745.t1	T265_10935
OG0000203	FhHiC23_g7725.t1, FhHiC23_g4169.t1, FhHiC23_g7724.t1, FhHiC23_g4169.t2	T265_11084
OG0000205	FhHiC23_g10668.t2, FhHiC23_g10668.t3, FhHiC23_g10668.t1	T265_09508
