Orthogroup	fasciola_hepatica	fasciola_gigantica
OG0000015	FhHiC23_g13999.t1	FGIG_07349
OG0000015	FhHiC23_g16654.t1	FGIG_10471
OG0000015	FhHiC23_g14001.t1	FGIG_07736
OG0000015	FhHiC23_g14207.t1	FGIG_03654
OG0000015	FhHiC23_g14206.t1	FGIG_03653
OG0000015	FhHiC23_g14471.t1	FGIG_02432
OG0000015	FhHiC23_g14472.t1	FGIG_02431
OG0000015	FhHiC23_g14475.t1	FGIG_11504
OG0000015	FhHiC23_g14628.t1	FGIG_05368
OG0000015	FhHiC23_g13668.t1	FGIG_05133
OG0000016	FhHiC23_g3288.t1	FGIG_06404
OG0000019	FhHiC23_g5935.t1, FhHiC23_g5936.t1	FGIG_11320
OG0000019	FhHiC23_g5529.t3, FhHiC23_g5529.t1, FhHiC23_g5529.t2, FhHiC23_g5529.t4, FhHiC23_g5529.t5, FhHiC23_g5529.t6, FhHiC23_g5529.t7	FGIG_07515
OG0000021	FhHiC23_g13529.t1	FGIG_04378
OG0000021	FhHiC23_g12834.t1	FGIG_04728
OG0000021	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2	FGIG_06427, FGIG_06428
OG0000022	FhHiC23_g10034.t1, FhHiC23_g10034.t2	FGIG_03596, FGIG_03595
OG0000023	FhHiC23_g8211.t1, FhHiC23_g8056.t1, FhHiC23_g497.t1, FhHiC23_g15906.t1	FGIG_12315
OG0000024	FhHiC23_g8663.t1	FGIG_02542
OG0000024	FhHiC23_g5245.t1	FGIG_08968
OG0000024	FhHiC23_g1523.t1	FGIG_10904
OG0000024	FhHiC23_g2599.t1	FGIG_02663
OG0000024	FhHiC23_g16265.t1	FGIG_09065
OG0000024	FhHiC23_g5242.t1	FGIG_08969
OG0000024	FhHiC23_g2601.t1	FGIG_02661
OG0000024	FhHiC23_g2598.t1	FGIG_02664
OG0000024	FhHiC23_g2600.t1	FGIG_02662
OG0000024	FhHiC23_g3909.t1	FGIG_01641
OG0000024	FhHiC23_g6966.t1	FGIG_07662
OG0000024	FhHiC23_g7511.t1, FhHiC23_g7512.t1	FGIG_11018, FGIG_08815
OG0000024	FhHiC23_g1520.t1, FhHiC23_g1521.t1, FhHiC23_g1522.t1	FGIG_12230
OG0000026	FhHiC23_g9700.t3, FhHiC23_g9700.t1, FhHiC23_g9700.t2	FGIG_09798
OG0000026	FhHiC23_g1282.t1	FGIG_05063
OG0000026	FhHiC23_g2137.t1, FhHiC23_g2140.t1	FGIG_06363
OG0000026	FhHiC23_g2142.t1	FGIG_06362
OG0000026	FhHiC23_g2712.t1, FhHiC23_g2712.t2	FGIG_05048
OG0000026	FhHiC23_g2721.t1	FGIG_08063
OG0000026	FhHiC23_g10609.t1, FhHiC23_g2716.t1	FGIG_04998
OG0000027	FhHiC23_g5213.t1	FGIG_03818
OG0000028	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3	FGIG_11072, FGIG_11155, FGIG_10412
OG0000028	FhHiC23_g3336.t1	FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	FhHiC23_g7784.t2, FhHiC23_g7784.t1	FGIG_01225
OG0000029	FhHiC23_g15904.t1	FGIG_12390
OG0000029	FhHiC23_g15905.t1, FhHiC23_g15903.t1	FGIG_07520
OG0000029	FhHiC23_g16497.t1	FGIG_11050
OG0000029	FhHiC23_g15510.t1	FGIG_07271
OG0000029	FhHiC23_g15705.t1	FGIG_00116
OG0000029	FhHiC23_g16496.t1	FGIG_11109
OG0000030	FhHiC23_g11202.t1	FGIG_03562
OG0000031	FhHiC23_g15305.t1	FGIG_00219, FGIG_09645
OG0000032	FhHiC23_g13161.t1	FGIG_04072
OG0000032	FhHiC23_g12741.t1	FGIG_12421
OG0000032	FhHiC23_g12985.t1	FGIG_02819
OG0000032	FhHiC23_g13908.t1, FhHiC23_g13918.t1	FGIG_03670
OG0000032	FhHiC23_g3568.t1	FGIG_08039
OG0000032	FhHiC23_g3568.t2	FGIG_08038
OG0000032	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1	FGIG_12135
OG0000032	FhHiC23_g11680.t1	FGIG_04371
OG0000034	FhHiC23_g13064.t1	FGIG_11870
OG0000034	FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3	FGIG_10591
OG0000034	FhHiC23_g13670.t1	FGIG_05132
OG0000035	FhHiC23_g11487.t2, FhHiC23_g11487.t4	FGIG_03979
OG0000035	FhHiC23_g11487.t1, FhHiC23_g11487.t3	FGIG_03980
OG0000036	FhHiC23_g11086.t1, FhHiC23_g14049.t1, FhHiC23_g12363.t1, FhHiC23_g14736.t1, FhHiC23_g3106.t1	FGIG_02104
OG0000037	FhHiC23_g6871.t1	FGIG_03131, FGIG_03132
OG0000040	FhHiC23_g2039.t1	FGIG_07013
OG0000042	FhHiC23_g15459.t1	FGIG_05270
OG0000043	FhHiC23_g4609.t1, FhHiC23_g4609.t2	FGIG_08366
OG0000044	FhHiC23_g1755.t1	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2	FGIG_12527
OG0000049	FhHiC23_g1642.t1, FhHiC23_g1642.t2	FGIG_07932, FGIG_00477
OG0000049	FhHiC23_g2467.t1, FhHiC23_g2467.t2	FGIG_06077
OG0000050	FhHiC23_g957.t1	FGIG_02718
OG0000050	FhHiC23_g956.t1	FGIG_02717
OG0000050	FhHiC23_g960.t1, FhHiC23_g960.t2	FGIG_07228
OG0000052	FhHiC23_g6159.t2, FhHiC23_g6159.t1	FGIG_00994
OG0000052	FhHiC23_g12020.t1, FhHiC23_g12020.t3	FGIG_02824
OG0000052	FhHiC23_g13097.t1, FhHiC23_g13097.t2, FhHiC23_g13095.t1, FhHiC23_g13095.t2	FGIG_00459
OG0000052	FhHiC23_g13824.t1	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	FhHiC23_g7219.t2, FhHiC23_g7219.t3	FGIG_04502
OG0000052	FhHiC23_g7219.t1	FGIG_12676
OG0000053	FhHiC23_g15140.t1, FhHiC23_g15140.t2	FGIG_08393, FGIG_12440
OG0000054	FhHiC23_g4961.t1, FhHiC23_g16319.t1	FGIG_06834, FGIG_00432
OG0000054	FhHiC23_g16178.t1	FGIG_05300
OG0000054	FhHiC23_g14380.t1, FhHiC23_g11010.t1, FhHiC23_g16188.t1, FhHiC23_g16179.t1	FGIG_12516
OG0000055	FhHiC23_g8345.t1	FGIG_03285
OG0000055	FhHiC23_g8344.t1	FGIG_05988
OG0000058	FhHiC23_g16509.t1	FGIG_11220
OG0000058	FhHiC23_g3241.t1	FGIG_06708
OG0000058	FhHiC23_g3240.t1	FGIG_00649
OG0000060	FhHiC23_g8030.t1	FGIG_07684
OG0000061	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5	FGIG_09986
OG0000062	FhHiC23_g12088.t1, FhHiC23_g12088.t4	FGIG_00991
OG0000063	FhHiC23_g5471.t1, FhHiC23_g5471.t2	FGIG_03231
OG0000064	FhHiC23_g13576.t2, FhHiC23_g13576.t1	FGIG_06602
OG0000065	FhHiC23_g16266.t1	FGIG_09064
OG0000065	FhHiC23_g10252.t1	FGIG_12667
OG0000065	FhHiC23_g10251.t1	FGIG_08898
OG0000065	FhHiC23_g10047.t1	FGIG_01175
OG0000065	FhHiC23_g10134.t2, FhHiC23_g10133.t1	FGIG_02492
OG0000065	FhHiC23_g10134.t1	FGIG_07535
OG0000065	FhHiC23_g10151.t2, FhHiC23_g10150.t1	FGIG_12523
OG0000066	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6	FGIG_00170
OG0000067	FhHiC23_g7039.t1	FGIG_02840
OG0000067	FhHiC23_g7040.t1	FGIG_02842
OG0000068	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1	FGIG_12158
OG0000068	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1	FGIG_12079
OG0000068	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1	FGIG_07351
OG0000068	FhHiC23_g5260.t1	FGIG_05814
OG0000069	FhHiC23_g15180.t3	FGIG_12680
OG0000069	FhHiC23_g15180.t1, FhHiC23_g15180.t2	FGIG_06996
OG0000070	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4	FGIG_00176
OG0000070	FhHiC23_g14582.t1	FGIG_00174
OG0000071	FhHiC23_g6283.t1	FGIG_07065
OG0000071	FhHiC23_g6282.t1, FhHiC23_g6282.t2	FGIG_07067
OG0000072	FhHiC23_g15889.t2, FhHiC23_g15889.t3	FGIG_06022
OG0000072	FhHiC23_g15889.t1	FGIG_09056
OG0000073	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5	FGIG_05759
OG0000074	FhHiC23_g13499.t1	FGIG_06125
OG0000074	FhHiC23_g4352.t2, FhHiC23_g4352.t1	FGIG_03273
OG0000074	FhHiC23_g10998.t1	FGIG_07718
OG0000074	FhHiC23_g16397.t1	FGIG_01338
OG0000075	FhHiC23_g5300.t1, FhHiC23_g5300.t2	FGIG_05387
OG0000076	FhHiC23_g8656.t1, FhHiC23_g8656.t2	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	FhHiC23_g13008.t1, FhHiC23_g13008.t2	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	FhHiC23_g13340.t1	FGIG_09054
OG0000078	FhHiC23_g13137.t1	FGIG_04314
OG0000079	FhHiC23_g5009.t2, FhHiC23_g5009.t1	FGIG_07135, FGIG_07136
OG0000079	FhHiC23_g2347.t2	FGIG_05069
OG0000079	FhHiC23_g2347.t1, FhHiC23_g2347.t3	FGIG_05070
OG0000080	FhHiC23_g14390.t1	FGIG_03532
OG0000081	FhHiC23_g1604.t1	FGIG_05277
OG0000081	FhHiC23_g8541.t1, FhHiC23_g2294.t1	FGIG_11514
OG0000082	FhHiC23_g13569.t1, FhHiC23_g13569.t2	FGIG_06461
OG0000085	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1	FGIG_06241
OG0000086	FhHiC23_g1071.t1	FGIG_09371
OG0000087	FhHiC23_g1744.t1, FhHiC23_g1744.t2	FGIG_03026
OG0000088	FhHiC23_g5522.t1	FGIG_14005, FGIG_05150
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	FGIG_01258
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5	FGIG_02766
OG0000091	FhHiC23_g1072.t2	FGIG_02768
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	FGIG_06562
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	FGIG_11548
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	FGIG_04003
OG0000093	FhHiC23_g11510.t1	FGIG_05928
OG0000093	FhHiC23_g6196.t1	FGIG_03785
OG0000093	FhHiC23_g5957.t1	FGIG_02320, FGIG_07732, FGIG_10190
OG0000093	FhHiC23_g6435.t1	FGIG_00747
OG0000094	FhHiC23_g11975.t1, FhHiC23_g11975.t2	FGIG_00948
OG0000095	FhHiC23_g7183.t1	FGIG_01883
OG0000096	FhHiC23_g5432.t1, FhHiC23_g5432.t2	FGIG_03065
OG0000097	FhHiC23_g11521.t1	FGIG_06823
OG0000098	FhHiC23_g4954.t1, FhHiC23_g4955.t1	FGIG_08056
OG0000098	FhHiC23_g8191.t1, FhHiC23_g8190.t1	FGIG_08009
OG0000099	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3	FGIG_01162
OG0000099	FhHiC23_g1666.t1	FGIG_12217
OG0000099	FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4	FGIG_10911
OG0000102	FhHiC23_g13582.t1	FGIG_11657
OG0000102	FhHiC23_g7758.t1	FGIG_04726, FGIG_06854
OG0000103	FhHiC23_g2725.t1	FGIG_06145, FGIG_13990
OG0000104	FhHiC23_g12208.t1	FGIG_08148
OG0000105	FhHiC23_g13058.t1	FGIG_06918
OG0000108	FhHiC23_g10941.t2, FhHiC23_g10941.t1	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	FhHiC23_g5186.t1, FhHiC23_g5186.t2	FGIG_03667
OG0000110	FhHiC23_g5563.t1	FGIG_10562
OG0000110	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3	FGIG_06603
OG0000111	FhHiC23_g4957.t1	FGIG_04030
OG0000111	FhHiC23_g5507.t1	FGIG_06759
OG0000111	FhHiC23_g5520.t1	FGIG_04347
OG0000112	FhHiC23_g3619.t1, FhHiC23_g3619.t2	FGIG_09308, FGIG_06819
OG0000114	FhHiC23_g9186.t1	FGIG_00156
OG0000115	FhHiC23_g5095.t1	FGIG_02859
OG0000116	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2	FGIG_03832, FGIG_01693
OG0000117	FhHiC23_g5310.t1	FGIG_02197
OG0000118	FhHiC23_g5237.t1	FGIG_02831
OG0000119	FhHiC23_g10335.t1	FGIG_05939, FGIG_05940
OG0000120	FhHiC23_g5279.t1	FGIG_06695
OG0000122	FhHiC23_g1533.t1	FGIG_06459, FGIG_06458
OG0000123	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1	FGIG_06911
OG0000125	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3	FGIG_12140, FGIG_05136
OG0000126	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1	FGIG_02836, FGIG_00047
OG0000127	FhHiC23_g12206.t1	FGIG_10651
OG0000127	FhHiC23_g12204.t1	FGIG_01876
OG0000128	FhHiC23_g14316.t1	FGIG_02928
OG0000129	FhHiC23_g5688.t1, FhHiC23_g5688.t2	FGIG_01051
OG0000130	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3	FGIG_06548, FGIG_01370
OG0000131	FhHiC23_g14945.t1, FhHiC23_g14945.t2	FGIG_05376
OG0000131	FhHiC23_g14944.t1	FGIG_05377
OG0000131	FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2	FGIG_11768
OG0000131	FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1	FGIG_10846
OG0000131	FhHiC23_g14948.t1	FGIG_05375, FGIG_01592
OG0000132	FhHiC23_g6424.t2, FhHiC23_g6424.t1	FGIG_04447
OG0000132	FhHiC23_g6424.t3	FGIG_04446
OG0000133	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1	FGIG_10537
OG0000134	FhHiC23_g15419.t1, FhHiC23_g15419.t2	FGIG_03080
OG0000135	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3	FGIG_08997
OG0000136	FhHiC23_g11493.t3	FGIG_11134, FGIG_12681
OG0000136	FhHiC23_g11493.t1	FGIG_11135
OG0000138	FhHiC23_g16219.t1	FGIG_10020
OG0000138	FhHiC23_g14050.t1	FGIG_00536, FGIG_00535
OG0000139	FhHiC23_g12767.t1	FGIG_04756
OG0000140	FhHiC23_g217.t1, FhHiC23_g217.t2	FGIG_05800
OG0000142	FhHiC23_g11124.t1	FGIG_10053
OG0000142	FhHiC23_g15370.t1, FhHiC23_g15371.t1	FGIG_07976
OG0000142	FhHiC23_g15362.t2, FhHiC23_g15362.t1, FhHiC23_g15363.t1, FhHiC23_g15366.t1	FGIG_08669
OG0000142	FhHiC23_g15365.t1, FhHiC23_g11989.t1	FGIG_07581
OG0000142	FhHiC23_g15549.t1	FGIG_01698
OG0000142	FhHiC23_g15251.t1	FGIG_06045
OG0000143	FhHiC23_g7696.t1, FhHiC23_g7697.t1	FGIG_03125
OG0000144	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2	FGIG_04482
OG0000144	FhHiC23_g4712.t2, FhHiC23_g4712.t1	FGIG_02516
OG0000145	FhHiC23_g6031.t1	FGIG_06896
OG0000146	FhHiC23_g8653.t1	FGIG_01364
OG0000146	FhHiC23_g3017.t1	FGIG_07112
OG0000146	FhHiC23_g4902.t1	FGIG_08174
OG0000146	FhHiC23_g2238.t1	FGIG_12116
OG0000147	FhHiC23_g4780.t1	FGIG_03610
OG0000148	FhHiC23_g5498.t1	FGIG_05123, FGIG_04713
OG0000149	FhHiC23_g720.t1	FGIG_08710
OG0000151	FhHiC23_g7923.t1, FhHiC23_g7924.t1	FGIG_00898
OG0000152	FhHiC23_g11170.t1	FGIG_02196
OG0000153	FhHiC23_g1476.t1	FGIG_06246
OG0000153	FhHiC23_g1472.t1, FhHiC23_g1472.t2	FGIG_09804, FGIG_09803
OG0000153	FhHiC23_g1478.t1, FhHiC23_g1478.t2	FGIG_06247
OG0000154	FhHiC23_g3120.t1, FhHiC23_g3119.t1	FGIG_02765
OG0000154	FhHiC23_g11005.t1, FhHiC23_g3122.t1	FGIG_12625, FGIG_00749
OG0000155	FhHiC23_g14798.t5, FhHiC23_g14798.t1, FhHiC23_g14798.t3, FhHiC23_g14798.t2, FhHiC23_g14798.t4	FGIG_01109
OG0000156	FhHiC23_g15553.t1	FGIG_01694
OG0000156	FhHiC23_g15566.t2	FGIG_10389
OG0000156	FhHiC23_g15566.t1, FhHiC23_g15566.t3	FGIG_01395
OG0000156	FhHiC23_g15050.t1	FGIG_06374
OG0000157	FhHiC23_g8049.t2, FhHiC23_g8049.t1	FGIG_01729
OG0000157	FhHiC23_g14186.t1	FGIG_07044, FGIG_07045
OG0000157	FhHiC23_g9140.t1, FhHiC23_g9140.t2	FGIG_03579
OG0000158	FhHiC23_g13140.t1	FGIG_05974
OG0000158	FhHiC23_g13141.t1, FhHiC23_g13141.t2	FGIG_05975
OG0000159	FhHiC23_g7585.t1	FGIG_07564
OG0000160	FhHiC23_g11475.t1	FGIG_05715
OG0000164	FhHiC23_g8533.t1	FGIG_12608, FGIG_03854
OG0000164	FhHiC23_g1084.t1	FGIG_01740
OG0000164	FhHiC23_g5363.t1, FhHiC23_g5363.t2	FGIG_05689
OG0000165	FhHiC23_g7386.t1, FhHiC23_g7386.t2	FGIG_03682
OG0000166	FhHiC23_g4357.t1, FhHiC23_g4436.t1	FGIG_04350
OG0000167	FhHiC23_g1665.t1, FhHiC23_g1665.t2, FhHiC23_g1665.t3, FhHiC23_g1665.t4	FGIG_09630
OG0000169	FhHiC23_g9336.t1, FhHiC23_g9336.t2	FGIG_03347
OG0000169	FhHiC23_g9128.t1	FGIG_04403
OG0000169	FhHiC23_g10107.t1	FGIG_00713
OG0000169	FhHiC23_g10077.t1	FGIG_02221
OG0000169	FhHiC23_g10076.t1	FGIG_02220
OG0000170	FhHiC23_g1333.t1	FGIG_11214, FGIG_11905, FGIG_00734
OG0000171	FhHiC23_g9453.t1, FhHiC23_g8538.t1	FGIG_01605
OG0000172	FhHiC23_g11485.t1, FhHiC23_g11485.t4, FhHiC23_g11485.t5, FhHiC23_g11485.t3	FGIG_02787
OG0000172	FhHiC23_g11485.t2	FGIG_02788
OG0000173	FhHiC23_g3805.t1	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986
OG0000173	FhHiC23_g3804.t1	FGIG_11026
OG0000175	FhHiC23_g4838.t1	FGIG_00359
OG0000175	FhHiC23_g4840.t1, FhHiC23_g4840.t2	FGIG_00358
OG0000175	FhHiC23_g4841.t2, FhHiC23_g4841.t1	FGIG_00357
OG0000175	FhHiC23_g4843.t1	FGIG_00355
OG0000175	FhHiC23_g4844.t1	FGIG_00354
OG0000175	FhHiC23_g4846.t1	FGIG_00352
OG0000176	FhHiC23_g1475.t1, FhHiC23_g6682.t1, FhHiC23_g14687.t2, FhHiC23_g14687.t1, FhHiC23_g7341.t1, FhHiC23_g6566.t1, FhHiC23_g8889.t1, FhHiC23_g1261.t1, FhHiC23_g5760.t1, FhHiC23_g5760.t2, FhHiC23_g13662.t1, FhHiC23_g8945.t1	FGIG_00685
OG0000177	FhHiC23_g7294.t2, FhHiC23_g7294.t1	FGIG_04057
OG0000177	FhHiC23_g7294.t6, FhHiC23_g7294.t3, FhHiC23_g7294.t4, FhHiC23_g7294.t5	FGIG_04058
OG0000178	FhHiC23_g9978.t4, FhHiC23_g9978.t3, FhHiC23_g9978.t2, FhHiC23_g9978.t1	FGIG_04370
OG0000179	FhHiC23_g1759.t1	FGIG_08795
OG0000179	FhHiC23_g2123.t1	FGIG_10380
OG0000180	FhHiC23_g4225.t1	FGIG_12039
OG0000182	FhHiC23_g8157.t2, FhHiC23_g8157.t1	FGIG_02134
OG0000182	FhHiC23_g5700.t2, FhHiC23_g5700.t1, FhHiC23_g5700.t3	FGIG_00290
OG0000183	FhHiC23_g5440.t1, FhHiC23_g5440.t2	FGIG_02622
OG0000184	FhHiC23_g551.t1	FGIG_03731
OG0000184	FhHiC23_g552.t1	FGIG_03730
OG0000185	FhHiC23_g5939.t1, FhHiC23_g5938.t1	FGIG_07908
OG0000186	FhHiC23_g2328.t1, FhHiC23_g2327.t1	FGIG_00796
OG0000187	FhHiC23_g11066.t1, FhHiC23_g440.t1, FhHiC23_g440.t2	FGIG_10561, FGIG_02152
OG0000188	FhHiC23_g5387.t1	FGIG_03282
OG0000189	FhHiC23_g11311.t1, FhHiC23_g11311.t2	FGIG_03464
OG0000190	FhHiC23_g2208.t1, FhHiC23_g2208.t2	FGIG_04440
OG0000191	FhHiC23_g14871.t1	FGIG_06431
OG0000191	FhHiC23_g4941.t1	FGIG_10462, FGIG_10464
OG0000191	FhHiC23_g4940.t1, FhHiC23_g4937.t1, FhHiC23_g4938.t1	FGIG_11528
OG0000191	FhHiC23_g14042.t1	FGIG_10245
OG0000192	FhHiC23_g8375.t1, FhHiC23_g8375.t3	FGIG_06841
OG0000192	FhHiC23_g8375.t2	FGIG_06840
OG0000193	FhHiC23_g7377.t1	FGIG_11714
OG0000193	FhHiC23_g8323.t2	FGIG_07076
OG0000194	FhHiC23_g2835.t1, FhHiC23_g2835.t2	FGIG_07707
OG0000195	FhHiC23_g1825.t1	FGIG_08368
OG0000196	FhHiC23_g13335.t1	FGIG_11982
OG0000196	FhHiC23_g15952.t1	FGIG_03269
OG0000196	FhHiC23_g11302.t1	FGIG_11890
OG0000198	FhHiC23_g11938.t1	FGIG_06396
OG0000198	FhHiC23_g10943.t1, FhHiC23_g10945.t1	FGIG_00941
OG0000199	FhHiC23_g6386.t1	FGIG_03163
OG0000201	FhHiC23_g6359.t2, FhHiC23_g6359.t1, FhHiC23_g6359.t3, FhHiC23_g6359.t4	FGIG_05120
OG0000202	FhHiC23_g4745.t1	FGIG_07192
OG0000203	FhHiC23_g7725.t1, FhHiC23_g4169.t1, FhHiC23_g7724.t1, FhHiC23_g4169.t2	FGIG_08149
OG0000205	FhHiC23_g10668.t2, FhHiC23_g10668.t3, FhHiC23_g10668.t1	FGIG_02525
OG0000206	FhHiC23_g6357.t4	FGIG_03933
OG0000207	FhHiC23_g5475.t1	FGIG_05628
OG0000207	FhHiC23_g5478.t1, FhHiC23_g5477.t1	FGIG_09531
OG0000207	FhHiC23_g5930.t1, FhHiC23_g5929.t1	FGIG_04435
OG0000207	FhHiC23_g5928.t1, FhHiC23_g5931.t1	FGIG_12425
OG0000208	FhHiC23_g2420.t2, FhHiC23_g2420.t1, FhHiC23_g2420.t3	FGIG_04764
OG0000209	FhHiC23_g12702.t2, FhHiC23_g12702.t1	FGIG_06233
OG0000210	FhHiC23_g3612.t1	FGIG_06835
OG0000210	FhHiC23_g3613.t3, FhHiC23_g3613.t1, FhHiC23_g3613.t2	FGIG_08667
OG0000211	FhHiC23_g10758.t1, FhHiC23_g10758.t2	FGIG_06875
OG0000212	FhHiC23_g10468.t1	FGIG_07429, FGIG_07428
OG0000213	FhHiC23_g11275.t2, FhHiC23_g11275.t1	FGIG_08575
OG0000214	FhHiC23_g12464.t1	FGIG_09344
OG0000217	FhHiC23_g16420.t1, FhHiC23_g6181.t2, FhHiC23_g6181.t1	FGIG_02317
OG0000217	FhHiC23_g6181.t4, FhHiC23_g6181.t3	FGIG_02318
OG0000218	FhHiC23_g10938.t1	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630
OG0000219	FhHiC23_g7095.t1, FhHiC23_g7095.t2	FGIG_07378
