Orthogroup	fasciola_hepatica	trichobilharzia_regenti
OG0000008	FhHiC23_g12193.t1, FhHiC23_g1894.t1, FhHiC23_g5470.t1, FhHiC23_g11662.t1, FhHiC23_g3405.t1, FhHiC23_g9647.t1, FhHiC23_g16538.t1, FhHiC23_g6271.t1, FhHiC23_g15774.t1, FhHiC23_g9965.t1, FhHiC23_g740.t1, FhHiC23_g3867.t1, FhHiC23_g2994.t1, FhHiC23_g4554.t1, FhHiC23_g8916.t1, FhHiC23_g7866.t1, FhHiC23_g13363.t1, FhHiC23_g1992.t1, FhHiC23_g8158.t1, FhHiC23_g8925.t1, FhHiC23_g717.t1, FhHiC23_g8543.t1	TREG1_49460.1, TREG1_80200.1, TREG1_28990.1, TREG1_24040.1, TREG1_24050.2, TREG1_69260.1, TREG1_101690.1, TREG1_112780.1, TREG1_112780.2, TREG1_125290.1, TREG1_81030.1, TREG1_45350.1, TREG1_64440.1, TREG1_53580.1, TREG1_47690.1, TREG1_28430.1, TREG1_15500.1, TREG1_124510.1, TREG1_6610.1, TREG1_124840.1, TREG1_26660.1, TREG1_105420.1, TREG1_105420.2, TREG1_133880.1, TREG1_87960.1, TREG1_97780.1, TREG1_25690.1, TREG1_98660.1, TREG1_26670.1, TREG1_38720.1, TREG1_71540.1, TREG1_71550.1
OG0000009	FhHiC23_g7761.t1	TREG1_37970.1, TREG1_79180.1, TREG1_115630.1, TREG1_95220.1, TREG1_8090.1, TREG1_36810.1
OG0000009	FhHiC23_g10583.t1, FhHiC23_g14758.t1	TREG1_113410.1
OG0000009	FhHiC23_g11732.t1	TREG1_113040.1, TREG1_51650.1, TREG1_56290.1, TREG1_73870.1, TREG1_135550.1, TREG1_64950.1, TREG1_106560.1, TREG1_56430.1, TREG1_58610.1, TREG1_14020.1, TREG1_122800.1, TREG1_65930.1
OG0000009	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1	TREG1_130410.1, TREG1_132950.1, TREG1_66450.1, TREG1_96470.1, TREG1_72080.1, TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2
OG0000009	FhHiC23_g9494.t1	TREG1_66660.1, TREG1_43290.1, TREG1_134850.3
OG0000009	FhHiC23_g8305.t1, FhHiC23_g6322.t1, FhHiC23_g6320.t1	TREG1_29470.1
OG0000012	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6	TREG1_45790.1
OG0000014	FhHiC23_g14469.t1	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1
OG0000015	FhHiC23_g14476.t1	TREG1_51330.1
OG0000015	FhHiC23_g13988.t1, FhHiC23_g13993.t1	TREG1_82560.1, TREG1_82570.1
OG0000015	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1	TREG1_44970.1
OG0000015	FhHiC23_g16654.t1, FhHiC23_g14001.t1	TREG1_44960.1
OG0000015	FhHiC23_g14206.t1	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1
OG0000015	FhHiC23_g14471.t1	TREG1_42390.2
OG0000015	FhHiC23_g13669.t1	TREG1_129100.1
OG0000016	FhHiC23_g8492.t1, FhHiC23_g7639.t1	TREG1_115830.1, TREG1_108350.1, TREG1_78110.1, TREG1_116620.1, TREG1_20810.1, TREG1_72440.1, TREG1_79580.1, TREG1_31150.1, TREG1_33860.1, TREG1_60110.1, TREG1_58580.1, TREG1_144660.1, TREG1_63500.1, TREG1_121090.1, TREG1_3450.1
OG0000016	FhHiC23_g5367.t1	TREG1_28750.1, TREG1_63330.1, TREG1_71580.1, TREG1_69020.1, TREG1_46690.1, TREG1_88640.1, TREG1_95450.1, TREG1_2320.1, TREG1_81700.1, TREG1_113640.1, TREG1_104920.1
OG0000016	FhHiC23_g8033.t1, FhHiC23_g13246.t1	TREG1_101520.1, TREG1_101900.1, TREG1_26730.1, TREG1_28240.1, TREG1_30730.1, TREG1_145030.1, TREG1_139640.1, TREG1_61260.1, TREG1_28980.1, TREG1_30630.1, TREG1_28880.1, TREG1_29390.1, TREG1_32190.1, TREG1_4150.1, TREG1_57670.1, TREG1_94420.1, TREG1_45800.1, TREG1_84010.1, TREG1_63050.1
OG0000019	FhHiC23_g5935.t1, FhHiC23_g5936.t1	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2
OG0000021	FhHiC23_g13529.t1, FhHiC23_g12834.t1	TREG1_7080.1
OG0000021	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2	TREG1_13150.1
OG0000022	FhHiC23_g10034.t1, FhHiC23_g10034.t2	TREG1_58780.1
OG0000023	FhHiC23_g1952.t1	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1
OG0000024	FhHiC23_g8663.t1	TREG1_48810.1
OG0000024	FhHiC23_g2596.t1	TREG1_103930.1
OG0000024	FhHiC23_g16265.t1	TREG1_122360.1
OG0000024	FhHiC23_g2601.t1, FhHiC23_g2598.t1	TREG1_103920.1, TREG1_103920.2
OG0000024	FhHiC23_g3909.t1	TREG1_110330.1
OG0000024	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1
OG0000026	FhHiC23_g1282.t1	TREG1_108810.1
OG0000026	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1	TREG1_100830.1, TREG1_100840.1
OG0000027	FhHiC23_g5213.t1	TREG1_41010.1
OG0000028	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2
OG0000029	FhHiC23_g7784.t2, FhHiC23_g7784.t1	TREG1_77780.2, TREG1_77780.1
OG0000029	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1	TREG1_125210.1
OG0000029	FhHiC23_g16496.t1	TREG1_124060.1, TREG1_124050.1
OG0000030	FhHiC23_g11202.t1	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1
OG0000031	FhHiC23_g15305.t1	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9
OG0000032	FhHiC23_g13908.t1, FhHiC23_g13918.t1	TREG1_56670.1
OG0000032	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1	TREG1_77560.1
OG0000032	FhHiC23_g11680.t1	TREG1_29630.1
OG0000034	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1	TREG1_128470.1, TREG1_103670.1, TREG1_103680.1, TREG1_103680.2
OG0000035	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3	TREG1_21190.1, TREG1_21180.1
OG0000036	FhHiC23_g11086.t1, FhHiC23_g14049.t1, FhHiC23_g12363.t1, FhHiC23_g14736.t1, FhHiC23_g3106.t1	TREG1_63270.1
OG0000036	FhHiC23_g12971.t1, FhHiC23_g9258.t1	TREG1_94140.1, TREG1_38710.1, TREG1_23760.1, TREG1_26550.1, TREG1_96170.1, TREG1_4890.1, TREG1_109400.1, TREG1_37380.1, TREG1_129170.1, TREG1_116600.1, TREG1_820.1, TREG1_46890.1, TREG1_140720.1, TREG1_114640.1, TREG1_129140.1, TREG1_134900.1, TREG1_136510.1, TREG1_2510.1, TREG1_48130.1, TREG1_74950.1
OG0000037	FhHiC23_g6871.t1	TREG1_88330.1, TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1, TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3
OG0000040	FhHiC23_g2039.t1	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4
OG0000042	FhHiC23_g15459.t1	TREG1_41180.1, TREG1_41180.2, TREG1_138040.1, TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2
OG0000043	FhHiC23_g4609.t1, FhHiC23_g4609.t2	TREG1_37960.2, TREG1_37960.9, TREG1_37960.3, TREG1_37960.10, TREG1_37960.1, TREG1_37960.6, TREG1_37960.5, TREG1_37960.7, TREG1_37960.8, TREG1_37960.4
OG0000044	FhHiC23_g1755.t1	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3
OG0000045	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2	TREG1_84800.1, TREG1_84800.2, TREG1_84800.3, TREG1_84800.4, TREG1_84800.5, TREG1_84800.6, TREG1_84800.7, TREG1_9100.1, TREG1_23520.1, TREG1_23520.3, TREG1_23520.4
OG0000046	FhHiC23_g2169.t1, FhHiC23_g3705.t1	TREG1_145190.1, TREG1_124560.1, TREG1_124560.2, TREG1_124560.3, TREG1_144900.1, TREG1_82050.1, TREG1_77670.1, TREG1_55980.1, TREG1_107320.1, TREG1_113500.1, TREG1_23790.1, TREG1_84750.1, TREG1_84750.2, TREG1_84750.3, TREG1_47460.8, TREG1_47460.6, TREG1_47460.5, TREG1_94310.1, TREG1_94310.2, TREG1_94310.3, TREG1_94310.4, TREG1_94320.1, TREG1_122920.1, TREG1_122920.2, TREG1_122920.3, TREG1_10640.1, TREG1_141250.1, TREG1_27670.2, TREG1_27670.3, TREG1_94330.1, TREG1_131520.1, TREG1_131870.1, TREG1_97370.1, TREG1_131870.2, TREG1_145250.1, TREG1_145250.2, TREG1_145250.3, TREG1_2880.1, TREG1_2880.2, TREG1_2880.3, TREG1_131520.4, TREG1_131520.2, TREG1_131520.3, TREG1_131520.5, TREG1_27670.1, TREG1_83780.1, TREG1_83780.2, TREG1_83780.3
OG0000049	FhHiC23_g1642.t1, FhHiC23_g1642.t2	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4
OG0000049	FhHiC23_g2467.t1, FhHiC23_g2467.t2	TREG1_104790.1
OG0000050	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2	TREG1_61870.1, TREG1_61870.2
OG0000052	FhHiC23_g6159.t2, FhHiC23_g6159.t1	TREG1_49560.1, TREG1_49560.2
OG0000052	FhHiC23_g12020.t1, FhHiC23_g12020.t3	TREG1_1120.1, TREG1_1140.1
OG0000052	FhHiC23_g13097.t1, FhHiC23_g13097.t2, FhHiC23_g13095.t1, FhHiC23_g13095.t2	TREG1_13340.1
OG0000052	FhHiC23_g13824.t1	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2
OG0000052	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1	TREG1_82400.1
OG0000053	FhHiC23_g15140.t1, FhHiC23_g15140.t2	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9
OG0000054	FhHiC23_g4961.t1, FhHiC23_g16319.t1	TREG1_17230.1
OG0000054	FhHiC23_g14380.t1, FhHiC23_g11010.t1, FhHiC23_g16188.t1, FhHiC23_g16179.t1	TREG1_78260.1, TREG1_125050.1, TREG1_108180.1, TREG1_49720.1, TREG1_138980.1, TREG1_138980.2, TREG1_138980.3, TREG1_145510.1, TREG1_60480.1, TREG1_60480.2, TREG1_97910.2, TREG1_10200.1, TREG1_51670.2, TREG1_113750.28, TREG1_128510.1, TREG1_88620.1, TREG1_24310.1, TREG1_51670.1
OG0000055	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5
OG0000056	FhHiC23_g2380.t1, FhHiC23_g3135.t1, FhHiC23_g7372.t1, FhHiC23_g5638.t1, FhHiC23_g13298.t1, FhHiC23_g3546.t1, FhHiC23_g788.t1	TREG1_137290.1
OG0000057	FhHiC23_g14898.t1	TREG1_59320.1, TREG1_142620.1, TREG1_45550.1, TREG1_40710.1, TREG1_94400.1, TREG1_8970.1, TREG1_141350.1, TREG1_141350.2, TREG1_30560.1, TREG1_85340.1, TREG1_83390.1, TREG1_65130.1, TREG1_11820.1, TREG1_29000.1, TREG1_40350.1, TREG1_132830.1, TREG1_111550.1, TREG1_142630.1, TREG1_145280.1, TREG1_43520.1, TREG1_106100.1, TREG1_121450.1, TREG1_77510.1, TREG1_118740.1, TREG1_92450.1, TREG1_25940.1, TREG1_58160.1, TREG1_22740.1, TREG1_57210.1, TREG1_77710.1, TREG1_115510.1, TREG1_3200.1, TREG1_43460.1, TREG1_45660.1, TREG1_45680.1, TREG1_32070.1, TREG1_120500.1, TREG1_39320.1, TREG1_83580.1, TREG1_61160.1
OG0000057	FhHiC23_g11194.t1, FhHiC23_g5892.t1	TREG1_128790.1, TREG1_36360.1, TREG1_78490.1, TREG1_130560.1, TREG1_1100.1, TREG1_97600.1, TREG1_70910.1, TREG1_96110.1, TREG1_38080.1, TREG1_138400.1, TREG1_65800.1, TREG1_92220.1, TREG1_30360.1, TREG1_142550.1, TREG1_133840.1, TREG1_94360.1, TREG1_19730.1, TREG1_70560.1, TREG1_139390.1, TREG1_18950.1, TREG1_18950.2, TREG1_99600.1, TREG1_117500.1, TREG1_106120.1
OG0000058	FhHiC23_g16509.t1	TREG1_125580.1
OG0000058	FhHiC23_g3241.t1	TREG1_101190.1, TREG1_101210.1
OG0000058	FhHiC23_g3240.t1	TREG1_109360.1, TREG1_109360.2, TREG1_101200.1
OG0000060	FhHiC23_g8030.t1	TREG1_87890.1
OG0000061	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5	TREG1_76900.1, TREG1_76910.1
OG0000063	FhHiC23_g5471.t1, FhHiC23_g5471.t2	TREG1_43920.1, TREG1_43920.2
OG0000064	FhHiC23_g13576.t2, FhHiC23_g13576.t1	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8
OG0000065	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1	TREG1_32260.1, TREG1_32260.2, TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2
OG0000066	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12
OG0000067	FhHiC23_g7039.t1, FhHiC23_g7040.t1	TREG1_91260.1
OG0000068	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1	TREG1_71380.1
OG0000068	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1	TREG1_131340.1, TREG1_131340.2
OG0000068	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1	TREG1_55730.1
OG0000068	FhHiC23_g5260.t1	TREG1_49690.1
OG0000069	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2	TREG1_21770.1, TREG1_21780.1
OG0000070	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1	TREG1_42860.1
OG0000071	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2	TREG1_120540.2, TREG1_120540.7, TREG1_120540.4, TREG1_120540.1, TREG1_120540.10, TREG1_120540.11, TREG1_120540.13, TREG1_120540.3, TREG1_120540.8, TREG1_120540.9, TREG1_120540.5, TREG1_120540.6, TREG1_120540.12, TREG1_120550.3, TREG1_120550.6, TREG1_120550.1, TREG1_120550.2, TREG1_120550.4, TREG1_120550.5, TREG1_120550.7, TREG1_53830.1, TREG1_53830.3, TREG1_53830.4, TREG1_53830.5, TREG1_53830.6, TREG1_53830.7, TREG1_53830.2, TREG1_53830.8, TREG1_53830.9, TREG1_61220.1, TREG1_61220.2
OG0000072	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15
OG0000073	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5	TREG1_65500.1, TREG1_65510.1
OG0000074	FhHiC23_g13499.t1	TREG1_9890.1
OG0000074	FhHiC23_g4352.t2, FhHiC23_g4352.t1	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2
OG0000074	FhHiC23_g10998.t1	TREG1_20790.1
OG0000074	FhHiC23_g16397.t1	TREG1_124660.1
OG0000075	FhHiC23_g5300.t1, FhHiC23_g5300.t2	TREG1_53440.1, TREG1_53440.2
OG0000076	FhHiC23_g8656.t1, FhHiC23_g8656.t2	TREG1_126320.1, TREG1_126330.1
OG0000076	FhHiC23_g13008.t1, FhHiC23_g13008.t2	TREG1_910.2, TREG1_910.1, TREG1_920.1
OG0000077	FhHiC23_g13340.t1	TREG1_9470.1, TREG1_9470.2
OG0000078	FhHiC23_g13137.t1	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4
OG0000079	FhHiC23_g5009.t2, FhHiC23_g5009.t1	TREG1_52960.1
OG0000079	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3	TREG1_71980.1, TREG1_71980.5, TREG1_71980.2, TREG1_71980.4, TREG1_71980.3
OG0000080	FhHiC23_g14390.t1	TREG1_40460.2, TREG1_40460.3, TREG1_40460.4, TREG1_40460.5, TREG1_40460.1, TREG1_40460.6
OG0000082	FhHiC23_g13569.t1, FhHiC23_g13569.t2	TREG1_7110.14, TREG1_7110.8, TREG1_7110.1, TREG1_7110.11, TREG1_7110.2, TREG1_7110.3, TREG1_7110.4, TREG1_7110.5, TREG1_7110.6, TREG1_7110.9, TREG1_7110.12, TREG1_7110.10, TREG1_7110.7, TREG1_7110.13
OG0000085	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1	TREG1_54260.1, TREG1_54250.1
OG0000086	FhHiC23_g1071.t1	TREG1_100910.2, TREG1_100910.3, TREG1_100910.8, TREG1_100910.6, TREG1_100910.5, TREG1_100910.4, TREG1_100910.10, TREG1_100910.1, TREG1_100910.7, TREG1_100910.9
OG0000087	FhHiC23_g1744.t1, FhHiC23_g1744.t2	TREG1_69010.1
OG0000088	FhHiC23_g5522.t1	TREG1_18410.1, TREG1_18410.2, TREG1_18400.1, TREG1_18400.2, TREG1_18400.3
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	TREG1_61990.5, TREG1_61990.6, TREG1_61990.1, TREG1_61990.12, TREG1_61990.13, TREG1_61990.2, TREG1_61990.3, TREG1_61990.4, TREG1_61990.8, TREG1_62010.1, TREG1_62030.1, TREG1_61990.7
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2	TREG1_63980.1, TREG1_63970.1
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	TREG1_108950.6, TREG1_108950.3, TREG1_108950.4, TREG1_108950.2, TREG1_108950.1, TREG1_108950.5, TREG1_108950.7
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	TREG1_28070.1
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	TREG1_40800.1
