Orthogroup	fasciola_hepatica	schistosoma_japonicum
OG0000031	FhHiC23_g15305.t1	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1	EWB00_003338
OG0000034	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1	EWB00_008584, EWB00_008585, EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3	EWB00_002318
OG0000036	FhHiC23_g12971.t1, FhHiC23_g9258.t1	EWB00_004262, EWB00_002379, EWB00_009421, EWB00_002232, EWB00_003005, EWB00_005946, EWB00_009571
OG0000037	FhHiC23_g6871.t1	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3, EWB00_006569
OG0000040	FhHiC23_g2039.t1	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4
OG0000042	FhHiC23_g15459.t1	EWB00_009261.1, EWB00_009261.2, EWB00_009262, EWB00_004609, EWB00_004610, EWB00_009263
OG0000043	FhHiC23_g4609.t1, FhHiC23_g4609.t2	EWB00_003370, EWB00_010871
OG0000044	FhHiC23_g1755.t1	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3, EWB00_011369.1, EWB00_011369.2
OG0000045	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3
OG0000046	FhHiC23_g2169.t1, FhHiC23_g3705.t1	EWB00_001944, EWB00_002829, EWB00_009841, EWB00_008650, EWB00_004680, EWB00_005730, EWB00_000584, EWB00_002790.1, EWB00_002790.2
OG0000049	FhHiC23_g1642.t1, FhHiC23_g1642.t2	EWB00_001608.1, EWB00_001608.2
OG0000049	FhHiC23_g2467.t1, FhHiC23_g2467.t2	EWB00_008098
OG0000050	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2	EWB00_005371.1, EWB00_005371.2
OG0000052	FhHiC23_g6159.t2, FhHiC23_g6159.t1	EWB00_003293
OG0000052	FhHiC23_g12020.t1, FhHiC23_g12020.t3	EWB00_007330
OG0000052	FhHiC23_g13824.t1	EWB00_003847
OG0000052	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1	EWB00_009848
OG0000053	FhHiC23_g15140.t1, FhHiC23_g15140.t2	EWB00_005460.2, EWB00_005460.1
OG0000054	FhHiC23_g1024.t1	EWB00_010117
OG0000054	FhHiC23_g4961.t1, FhHiC23_g16319.t1, FhHiC23_g16178.t1	EWB00_005913.1, EWB00_005913.2, EWB00_002139, EWB00_009776, EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892, EWB00_003548
OG0000055	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000056	FhHiC23_g10819.t1	EWB00_006591, EWB00_008824
OG0000057	FhHiC23_g14898.t1, FhHiC23_g11194.t1, FhHiC23_g5892.t1	EWB00_008005
OG0000058	FhHiC23_g16509.t1	EWB00_001871
OG0000058	FhHiC23_g3241.t1	EWB00_003488.1, EWB00_003488.2
OG0000058	FhHiC23_g3240.t1	EWB00_003491
OG0000060	FhHiC23_g8030.t1	EWB00_010498.1, EWB00_010498.2
OG0000061	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000062	FhHiC23_g12088.t1, FhHiC23_g12088.t4	EWB00_008458
OG0000063	FhHiC23_g5471.t1, FhHiC23_g5471.t2	EWB00_006170
OG0000064	FhHiC23_g13576.t2, FhHiC23_g13576.t1	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1	EWB00_000537, EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000067	FhHiC23_g7039.t1, FhHiC23_g7040.t1	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3
OG0000068	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1	EWB00_000572
OG0000068	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1	EWB00_004327
OG0000068	FhHiC23_g5260.t1	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000069	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2	EWB00_002487
OG0000070	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2	EWB00_001786
OG0000072	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1	EWB00_001684
OG0000073	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	FhHiC23_g13499.t1	EWB00_007721.4, EWB00_007721.2, EWB00_007721.3, EWB00_007721.5, EWB00_007721.1
OG0000074	FhHiC23_g4352.t2, FhHiC23_g4352.t1	EWB00_007512.1
OG0000074	FhHiC23_g10998.t1	EWB00_004196.3, EWB00_004196.7, EWB00_004196.1, EWB00_004196.2, EWB00_004196.5, EWB00_004196.8, EWB00_004196.4, EWB00_004196.6
OG0000074	FhHiC23_g16397.t1	EWB00_008993
OG0000075	FhHiC23_g5300.t1, FhHiC23_g5300.t2	EWB00_001749
OG0000076	FhHiC23_g8656.t1, FhHiC23_g8656.t2	EWB00_000338, EWB00_000339
OG0000076	FhHiC23_g13008.t1, FhHiC23_g13008.t2	EWB00_009041
OG0000077	FhHiC23_g13340.t1	EWB00_004677
OG0000078	FhHiC23_g13137.t1	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	FhHiC23_g5009.t2, FhHiC23_g5009.t1	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000079	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3	EWB00_006494.1, EWB00_006494.2
OG0000080	FhHiC23_g14390.t1	EWB00_004899.1, EWB00_004899.2
OG0000081	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1	EWB00_001700, EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773
OG0000082	FhHiC23_g13569.t1, FhHiC23_g13569.t2	EWB00_009477
OG0000085	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5
OG0000086	FhHiC23_g1071.t1	EWB00_004530
OG0000087	FhHiC23_g1744.t1, FhHiC23_g1744.t2	EWB00_010661
OG0000088	FhHiC23_g5522.t1	EWB00_007313, EWB00_008639.2, EWB00_008639.1, EWB00_008639.3
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	EWB00_005364
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2	EWB00_010764.1, EWB00_010764.2
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	EWB00_007194.1, EWB00_007194.2
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	EWB00_003936
OG0000094	FhHiC23_g11975.t1, FhHiC23_g11975.t2	EWB00_009097.1, EWB00_009097.2
OG0000095	FhHiC23_g7183.t1	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3
OG0000096	FhHiC23_g5432.t1, FhHiC23_g5432.t2	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5
OG0000097	FhHiC23_g11521.t1	EWB00_007768
OG0000098	FhHiC23_g4954.t1, FhHiC23_g4955.t1	EWB00_011356
OG0000098	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1	EWB00_009825, EWB00_009827.1, EWB00_009827.2
OG0000099	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3
OG0000099	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3
OG0000102	FhHiC23_g13582.t1	EWB00_010834.2, EWB00_010834.1
OG0000102	FhHiC23_g7758.t1	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2
OG0000103	FhHiC23_g2725.t1	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3
OG0000104	FhHiC23_g12208.t1	EWB00_008979.1, EWB00_008979.2
OG0000105	FhHiC23_g13058.t1	EWB00_002088, EWB00_004453
OG0000107	FhHiC23_g2176.t1	EWB00_007831
OG0000108	FhHiC23_g10941.t2, FhHiC23_g10941.t1	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5
OG0000110	FhHiC23_g5186.t1, FhHiC23_g5186.t2	EWB00_006025, EWB00_006029
OG0000110	FhHiC23_g5563.t1	EWB00_006024
OG0000110	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3	EWB00_006023
OG0000111	FhHiC23_g4957.t1	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4
OG0000111	FhHiC23_g5520.t1	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3
OG0000112	FhHiC23_g3619.t1, FhHiC23_g3619.t2	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1
OG0000114	FhHiC23_g9186.t1	EWB00_000559.1, EWB00_000559.2
OG0000115	FhHiC23_g5095.t1	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3
OG0000116	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5
OG0000117	FhHiC23_g5310.t1	EWB00_006015.1, EWB00_006015.2
OG0000118	FhHiC23_g5237.t1	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8, EWB00_006163.1, EWB00_006163.2, EWB00_006161, EWB00_006160, EWB00_006162
OG0000119	FhHiC23_g10335.t1	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1
OG0000120	FhHiC23_g5279.t1	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3
OG0000122	FhHiC23_g1533.t1	EWB00_003485
OG0000123	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1	EWB00_001234.1, EWB00_001234.2
OG0000125	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3
OG0000126	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1	EWB00_000954
OG0000127	FhHiC23_g12206.t1, FhHiC23_g12204.t1	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4
OG0000128	FhHiC23_g14316.t1	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3
OG0000129	FhHiC23_g5688.t1, FhHiC23_g5688.t2	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1
OG0000130	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3
OG0000131	FhHiC23_g14945.t1, FhHiC23_g14945.t2, FhHiC23_g14944.t1, FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2, FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1, FhHiC23_g14948.t1	EWB00_002108.1, EWB00_002108.2, EWB00_003089
OG0000132	FhHiC23_g6424.t2, FhHiC23_g6424.t1, FhHiC23_g6424.t3	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3
OG0000133	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1	EWB00_002574.1, EWB00_002574.2
OG0000134	FhHiC23_g15419.t1, FhHiC23_g15419.t2	EWB00_002521
OG0000135	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3	EWB00_002678.2, EWB00_002678.1
OG0000136	FhHiC23_g11494.t1, FhHiC23_g11493.t3, FhHiC23_g11493.t1, FhHiC23_g11493.t2	EWB00_002100.1, EWB00_002100.2
OG0000138	FhHiC23_g16219.t1	EWB00_007536.1, EWB00_007536.2
OG0000138	FhHiC23_g14050.t1	EWB00_009704
OG0000139	FhHiC23_g12767.t1	EWB00_009035
OG0000140	FhHiC23_g217.t1, FhHiC23_g217.t2	EWB00_010959
OG0000143	FhHiC23_g7696.t1, FhHiC23_g7697.t1	EWB00_006280.1, EWB00_006280.2
OG0000144	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6
OG0000144	FhHiC23_g4712.t2, FhHiC23_g4712.t1	EWB00_001080
OG0000145	FhHiC23_g6031.t1	EWB00_002936
OG0000146	FhHiC23_g8653.t1	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3
OG0000146	FhHiC23_g3017.t1	EWB00_005122
OG0000146	FhHiC23_g4902.t1	EWB00_007935.1, EWB00_007935.2
OG0000146	FhHiC23_g2238.t1	EWB00_006903
OG0000147	FhHiC23_g4780.t1	EWB00_004283
OG0000148	FhHiC23_g5498.t1	EWB00_007473
OG0000149	FhHiC23_g720.t1	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4
OG0000151	FhHiC23_g7923.t1, FhHiC23_g7924.t1	EWB00_008868
OG0000152	FhHiC23_g11170.t1	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5
OG0000153	FhHiC23_g1476.t1, FhHiC23_g1472.t1, FhHiC23_g1472.t2	EWB00_005352.1, EWB00_005352.2, EWB00_003676, EWB00_008423, EWB00_003671, EWB00_008422
OG0000154	FhHiC23_g3121.t1, FhHiC23_g3120.t1, FhHiC23_g3119.t1, FhHiC23_g11005.t1, FhHiC23_g3122.t1	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2
OG0000155	FhHiC23_g14798.t5, FhHiC23_g14798.t1, FhHiC23_g14798.t3, FhHiC23_g14798.t2, FhHiC23_g14798.t4	EWB00_005616
OG0000156	FhHiC23_g15553.t1	EWB00_010322
OG0000156	FhHiC23_g15566.t2, FhHiC23_g15566.t1, FhHiC23_g15566.t3, FhHiC23_g15050.t1	EWB00_010321
OG0000157	FhHiC23_g8049.t2, FhHiC23_g8049.t1	EWB00_001166
OG0000157	FhHiC23_g14186.t1	EWB00_005728
OG0000157	FhHiC23_g9140.t1, FhHiC23_g9140.t2	EWB00_011201
OG0000158	FhHiC23_g13141.t1, FhHiC23_g13141.t2	EWB00_006315, EWB00_006316
OG0000159	FhHiC23_g7585.t1	EWB00_009175
OG0000160	FhHiC23_g11475.t1	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3
OG0000164	FhHiC23_g8533.t1	EWB00_011122.1, EWB00_011122.2
OG0000164	FhHiC23_g1084.t1	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4
OG0000164	FhHiC23_g5363.t1, FhHiC23_g5363.t2	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4
OG0000165	FhHiC23_g7386.t1, FhHiC23_g7386.t2	EWB00_010478
OG0000166	FhHiC23_g4357.t1, FhHiC23_g4436.t1	EWB00_005058.4, EWB00_005058.5, EWB00_005058.3, EWB00_005058.2, EWB00_005058.6, EWB00_005058.1
OG0000167	FhHiC23_g1665.t1, FhHiC23_g1665.t2, FhHiC23_g1665.t3, FhHiC23_g1665.t4	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6
OG0000169	FhHiC23_g14278.t1	EWB00_000574, EWB00_004911.1, EWB00_004911.2
OG0000169	FhHiC23_g10077.t1, FhHiC23_g10076.t1	EWB00_009686
OG0000170	FhHiC23_g1333.t1	EWB00_000962
OG0000171	FhHiC23_g4302.t1, FhHiC23_g7420.t1	EWB00_006697
OG0000172	FhHiC23_g11485.t1, FhHiC23_g11485.t4, FhHiC23_g11485.t5, FhHiC23_g11485.t3, FhHiC23_g11485.t2	EWB00_001058.1, EWB00_001058.2
OG0000173	FhHiC23_g3805.t1, FhHiC23_g3804.t1	EWB00_008475
OG0000175	FhHiC23_g4838.t1, FhHiC23_g4840.t1, FhHiC23_g4840.t2, FhHiC23_g4841.t2, FhHiC23_g4841.t1, FhHiC23_g4843.t1, FhHiC23_g4844.t1, FhHiC23_g4846.t1	EWB00_007666, EWB00_007667, EWB00_007668, EWB00_007669
OG0000177	FhHiC23_g7294.t2, FhHiC23_g7294.t1, FhHiC23_g7294.t6, FhHiC23_g7294.t3, FhHiC23_g7294.t4, FhHiC23_g7294.t5	EWB00_010516.1, EWB00_010516.2
OG0000178	FhHiC23_g9978.t4, FhHiC23_g9978.t3, FhHiC23_g9978.t2, FhHiC23_g9978.t1	EWB00_003718
OG0000179	FhHiC23_g1759.t1, FhHiC23_g2123.t1	EWB00_000893, EWB00_009104
OG0000180	FhHiC23_g4225.t1	EWB00_006752, EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163, EWB00_006750.1, EWB00_006750.2
OG0000182	FhHiC23_g8157.t2, FhHiC23_g8157.t1	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2
OG0000182	FhHiC23_g5700.t2, FhHiC23_g5700.t1, FhHiC23_g5700.t3	EWB00_000643
OG0000183	FhHiC23_g5440.t1, FhHiC23_g5440.t2	EWB00_005958.1, EWB00_005958.2
OG0000184	FhHiC23_g551.t1	EWB00_006467.1, EWB00_006467.2
OG0000184	FhHiC23_g552.t1	EWB00_006468
OG0000185	FhHiC23_g5939.t1, FhHiC23_g5938.t1	EWB00_005969.1, EWB00_005969.2
OG0000186	FhHiC23_g2328.t1, FhHiC23_g2327.t1	EWB00_002720
OG0000187	FhHiC23_g11066.t1, FhHiC23_g440.t1, FhHiC23_g440.t2	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3
OG0000188	FhHiC23_g5387.t1	EWB00_010904
OG0000189	FhHiC23_g11311.t1, FhHiC23_g11311.t2	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4
OG0000190	FhHiC23_g2208.t1, FhHiC23_g2208.t2	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2
OG0000191	FhHiC23_g14871.t1, FhHiC23_g4941.t1, FhHiC23_g4940.t1, FhHiC23_g4937.t1, FhHiC23_g4938.t1, FhHiC23_g14042.t1	EWB00_004926, EWB00_003159, EWB00_004925, EWB00_003164, EWB00_003167
OG0000192	FhHiC23_g8375.t1, FhHiC23_g8375.t3, FhHiC23_g8375.t2	EWB00_003964.1, EWB00_003964.2
OG0000193	FhHiC23_g7377.t1, FhHiC23_g8323.t2, FhHiC23_g8323.t1	EWB00_004005, EWB00_009649, EWB00_005224, EWB00_010853, EWB00_005225
OG0000194	FhHiC23_g2835.t1, FhHiC23_g2835.t2	EWB00_001391
OG0000195	FhHiC23_g1825.t1	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3
OG0000196	FhHiC23_g13335.t1, FhHiC23_g15952.t1	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3
OG0000196	FhHiC23_g11302.t1	EWB00_009417.2, EWB00_009417.1
OG0000198	FhHiC23_g11938.t1	EWB00_009378.1, EWB00_009378.2, EWB00_009378.3
OG0000199	FhHiC23_g6386.t1	EWB00_007850.1, EWB00_007850.2
OG0000201	FhHiC23_g6359.t2, FhHiC23_g6359.t1, FhHiC23_g6359.t3, FhHiC23_g6359.t4	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3
OG0000202	FhHiC23_g4745.t1	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2
OG0000203	FhHiC23_g7725.t1, FhHiC23_g4169.t1, FhHiC23_g7724.t1, FhHiC23_g4169.t2	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3
OG0000205	FhHiC23_g10668.t2, FhHiC23_g10668.t3, FhHiC23_g10668.t1	EWB00_005482
OG0000206	FhHiC23_g6357.t4	EWB00_003373.1, EWB00_003373.2, EWB00_003373.3
