Orthogroup	fasciola_hepatica	schistosoma_intercalatum
OG0000015	FhHiC23_g14471.t1	SINT1_42740.3, SINT1_42740.4, SINT1_42760.1, SINT1_42740.1, SINT1_42740.2
OG0000015	FhHiC23_g14628.t1, FhHiC23_g13668.t1	SINT1_10280.1
OG0000016	FhHiC23_g7639.t1	SINT1_37800.1
OG0000016	FhHiC23_g4075.t1	SINT1_89500.1
OG0000016	FhHiC23_g5367.t1	SINT1_82330.1, SINT1_43570.1, SINT1_27720.1
OG0000016	FhHiC23_g13246.t1	SINT1_15320.1
OG0000019	FhHiC23_g5935.t1, FhHiC23_g5936.t1	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5, SINT1_36670.11
OG0000021	FhHiC23_g13529.t1, FhHiC23_g12834.t1	SINT1_8390.1
OG0000021	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2	SINT1_5830.1
OG0000022	FhHiC23_g10034.t1, FhHiC23_g10034.t2	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30
OG0000023	FhHiC23_g2807.t1, FhHiC23_g14990.t1	SINT1_19010.1, SINT1_96140.1
OG0000023	FhHiC23_g1952.t1	SINT1_24820.1, SINT1_69890.1, SINT1_27970.1, SINT1_18470.1, SINT1_22950.1, SINT1_24600.1, SINT1_50610.1
OG0000024	FhHiC23_g8663.t1	SINT1_23830.1
OG0000024	FhHiC23_g1523.t1	SINT1_90000.1
OG0000026	FhHiC23_g1282.t1	SINT1_78530.1, SINT1_78530.2
OG0000026	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2, SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1
OG0000027	FhHiC23_g5213.t1	SINT1_40020.1
OG0000028	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5, SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14
OG0000029	FhHiC23_g7784.t2, FhHiC23_g7784.t1	SINT1_57320.1
OG0000029	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1	SINT1_85860.1
OG0000030	FhHiC23_g11202.t1	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40
OG0000031	FhHiC23_g15305.t1	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3
OG0000032	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1	SINT1_9690.1, SINT1_78580.1, SINT1_78580.2
OG0000034	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1	SINT1_90240.1, SINT1_90240.2, SINT1_90230.1, SINT1_90220.1, SINT1_57200.1, SINT1_57110.1, SINT1_57210.1, SINT1_57250.1, SINT1_57100.1, SINT1_57220.1
OG0000035	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3	SINT1_14990.1
OG0000036	FhHiC23_g12971.t1, FhHiC23_g9258.t1	SINT1_6080.1, SINT1_19610.1, SINT1_90930.1, SINT1_32000.1, SINT1_51990.1, SINT1_94410.1, SINT1_4460.1, SINT1_37350.1, SINT1_75760.1, SINT1_75760.2
OG0000037	FhHiC23_g6871.t1	SINT1_95680.1, SINT1_95220.1, SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1, SINT1_59630.1, SINT1_96530.1, SINT1_59650.1, SINT1_96160.1, SINT1_96640.1
OG0000040	FhHiC23_g2039.t1	SINT1_52070.2, SINT1_52070.4, SINT1_52070.3, SINT1_52070.7, SINT1_52070.6, SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1
OG0000042	FhHiC23_g15459.t1	SINT1_39890.1, SINT1_39880.1, SINT1_39840.1, SINT1_39870.1, SINT1_39850.1, SINT1_39860.1
OG0000043	FhHiC23_g4609.t1, FhHiC23_g4609.t2	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8
OG0000044	FhHiC23_g1755.t1	SINT1_84450.1, SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8, SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1, SINT1_84530.1, SINT1_84540.1
OG0000045	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2	SINT1_10700.1, SINT1_36390.1
OG0000046	FhHiC23_g2169.t1, FhHiC23_g3705.t1	SINT1_91720.1, SINT1_11820.1, SINT1_53180.1
OG0000049	FhHiC23_g1642.t1, FhHiC23_g1642.t2	SINT1_69090.2, SINT1_69090.3, SINT1_69090.5, SINT1_69090.1, SINT1_69090.4
OG0000049	FhHiC23_g2467.t1, FhHiC23_g2467.t2	SINT1_72570.1
OG0000050	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2	SINT1_53550.1, SINT1_53580.1
OG0000052	FhHiC23_g6159.t2, FhHiC23_g6159.t1	SINT1_28750.1
OG0000052	FhHiC23_g12020.t1, FhHiC23_g12020.t3	SINT1_3180.1
OG0000052	FhHiC23_g13824.t1	SINT1_1600.1
OG0000052	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3
OG0000053	FhHiC23_g15140.t1, FhHiC23_g15140.t2	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4, SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13
OG0000055	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7
OG0000056	FhHiC23_g10819.t1	SINT1_2560.1
OG0000057	FhHiC23_g14898.t1, FhHiC23_g11194.t1, FhHiC23_g5892.t1	SINT1_2990.1
OG0000058	FhHiC23_g16509.t1	SINT1_88570.1
OG0000058	FhHiC23_g3241.t1	SINT1_79220.1
OG0000058	FhHiC23_g3240.t1	SINT1_79230.1, SINT1_79260.1, SINT1_79270.1, SINT1_79280.1, SINT1_79280.2, SINT1_79210.1
OG0000060	FhHiC23_g8030.t1	SINT1_64930.1
OG0000061	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5
OG0000062	FhHiC23_g12088.t1, FhHiC23_g12088.t4	SINT1_6140.1
OG0000063	FhHiC23_g5471.t1, FhHiC23_g5471.t2	SINT1_39400.9, SINT1_39400.8, SINT1_39400.3, SINT1_39400.6, SINT1_39400.2, SINT1_39400.7, SINT1_39400.1, SINT1_39400.5, SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12
OG0000064	FhHiC23_g13576.t2, FhHiC23_g13576.t1	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5
OG0000065	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1	SINT1_23130.1, SINT1_23160.1, SINT1_23220.3, SINT1_23220.2, SINT1_23220.1, SINT1_23190.1, SINT1_23180.2
OG0000066	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6	SINT1_37090.4, SINT1_37090.9, SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10, SINT1_37090.3, SINT1_37090.11, SINT1_37090.5, SINT1_37090.2
OG0000067	FhHiC23_g7039.t1, FhHiC23_g7040.t1	SINT1_67000.1, SINT1_67000.7, SINT1_67000.6, SINT1_67000.8, SINT1_67000.9, SINT1_67000.2, SINT1_67000.3, SINT1_67000.4, SINT1_67000.5
OG0000068	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1	SINT1_53720.1
OG0000068	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1	SINT1_93040.1
OG0000068	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1	SINT1_36550.2, SINT1_36550.1, SINT1_36550.3
OG0000068	FhHiC23_g5260.t1	SINT1_28800.1
OG0000069	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2	SINT1_20680.1, SINT1_20680.3, SINT1_20680.6, SINT1_20680.9, SINT1_20680.10, SINT1_20680.2, SINT1_20680.5, SINT1_20680.8, SINT1_20680.11, SINT1_20680.12, SINT1_20680.13, SINT1_20680.4, SINT1_20680.7
OG0000070	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11
OG0000071	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5
OG0000072	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8
OG0000073	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3
OG0000074	FhHiC23_g13499.t1	SINT1_1200.2, SINT1_1200.1
OG0000074	FhHiC23_g4352.t2, FhHiC23_g4352.t1	SINT1_86470.1
OG0000074	FhHiC23_g10998.t1	SINT1_11530.3, SINT1_11530.2, SINT1_11530.1
OG0000074	FhHiC23_g16397.t1	SINT1_86570.1
OG0000075	FhHiC23_g5300.t1, FhHiC23_g5300.t2	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21
OG0000076	FhHiC23_g8656.t1, FhHiC23_g8656.t2	SINT1_89270.4, SINT1_89270.2, SINT1_89270.1, SINT1_89270.3
OG0000076	FhHiC23_g13008.t1, FhHiC23_g13008.t2	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7
OG0000077	FhHiC23_g13340.t1	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5
OG0000078	FhHiC23_g13137.t1	SINT1_5520.8, SINT1_5520.1, SINT1_5520.9, SINT1_5520.4, SINT1_5520.2, SINT1_5520.3, SINT1_5520.5, SINT1_5520.6, SINT1_5520.7
OG0000079	FhHiC23_g5009.t2, FhHiC23_g5009.t1	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4
OG0000079	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3	SINT1_53840.5, SINT1_53840.1, SINT1_53840.3, SINT1_53840.2, SINT1_53840.4, SINT1_53840.6
OG0000080	FhHiC23_g14390.t1	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9
OG0000081	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1	SINT1_2370.1, SINT1_69680.1, SINT1_65950.1, SINT1_34300.1, SINT1_80800.1, SINT1_7880.1, SINT1_44890.1, SINT1_44230.1, SINT1_19300.1, SINT1_2900.1, SINT1_38270.1, SINT1_58320.1
OG0000082	FhHiC23_g13569.t1, FhHiC23_g13569.t2	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9
OG0000085	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1	SINT1_36430.1
OG0000086	FhHiC23_g1071.t1	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2
OG0000087	FhHiC23_g1744.t1, FhHiC23_g1744.t2	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7
OG0000088	FhHiC23_g5522.t1	SINT1_3040.1, SINT1_3040.3, SINT1_3040.2, SINT1_3030.2, SINT1_3030.3, SINT1_3030.1, SINT1_3030.4, SINT1_3030.5, SINT1_3030.6
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	SINT1_49900.5, SINT1_49900.1, SINT1_49900.2, SINT1_49900.3, SINT1_49900.4, SINT1_49900.6, SINT1_49900.7, SINT1_49900.8
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	SINT1_2100.1, SINT1_2100.2
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	SINT1_13320.1, SINT1_13320.2
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	SINT1_40130.1
OG0000093	FhHiC23_g6196.t1, FhHiC23_g5957.t1	SINT1_39320.1
OG0000094	FhHiC23_g11975.t1, FhHiC23_g11975.t2	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9
OG0000095	FhHiC23_g7183.t1	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7
OG0000096	FhHiC23_g5432.t1, FhHiC23_g5432.t2	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14
OG0000097	FhHiC23_g11521.t1	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8
OG0000098	FhHiC23_g4954.t1, FhHiC23_g4955.t1	SINT1_94630.1, SINT1_41140.1
OG0000098	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2
OG0000099	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3	SINT1_67160.1, SINT1_67160.2, SINT1_67160.4, SINT1_67160.3, SINT1_67160.5
OG0000099	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4
OG0000102	FhHiC23_g13582.t1	SINT1_5950.1
OG0000102	FhHiC23_g7758.t1	SINT1_58290.1, SINT1_58290.2
OG0000103	FhHiC23_g2725.t1	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6
OG0000104	FhHiC23_g12208.t1	SINT1_6130.1
OG0000105	FhHiC23_g13058.t1	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3
OG0000107	FhHiC23_g2176.t1	SINT1_56150.1
OG0000108	FhHiC23_g10941.t2, FhHiC23_g10941.t1	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2
OG0000110	FhHiC23_g5186.t1, FhHiC23_g5186.t2	SINT1_29940.1, SINT1_29940.2, SINT1_29900.1
OG0000110	FhHiC23_g5563.t1	SINT1_29950.1, SINT1_29950.2
OG0000110	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4
OG0000111	FhHiC23_g4957.t1	SINT1_41240.1
OG0000111	FhHiC23_g5520.t1	SINT1_31320.2, SINT1_31320.1
OG0000112	FhHiC23_g3619.t1, FhHiC23_g3619.t2	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8
OG0000114	FhHiC23_g9186.t1	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6
OG0000115	FhHiC23_g5095.t1	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13
OG0000116	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2	SINT1_50100.1
OG0000117	FhHiC23_g5310.t1	SINT1_30050.5, SINT1_30050.14, SINT1_30050.11, SINT1_30050.13, SINT1_30050.2, SINT1_30050.3, SINT1_30050.8, SINT1_30050.4, SINT1_30050.6, SINT1_30050.12, SINT1_30050.1, SINT1_30050.7, SINT1_30050.9, SINT1_30050.10
OG0000118	FhHiC23_g5237.t1	SINT1_39470.1, SINT1_39480.1, SINT1_39450.1, SINT1_39460.1, SINT1_39460.2
OG0000119	FhHiC23_g10335.t1	SINT1_93740.1, SINT1_93730.1
OG0000120	FhHiC23_g5279.t1	SINT1_30140.3, SINT1_30140.1, SINT1_30140.4, SINT1_30140.6, SINT1_30140.8, SINT1_30140.5, SINT1_30140.7, SINT1_30140.2
OG0000122	FhHiC23_g1533.t1	SINT1_79190.5, SINT1_79190.6, SINT1_79190.1, SINT1_79190.3, SINT1_79190.2, SINT1_79190.4
OG0000123	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1	SINT1_77380.6, SINT1_77380.14, SINT1_77380.11, SINT1_77380.3, SINT1_77380.2, SINT1_77380.9, SINT1_77380.5, SINT1_77380.1, SINT1_77380.8, SINT1_77380.12, SINT1_77380.4, SINT1_77380.13, SINT1_77380.16, SINT1_77380.15, SINT1_77380.7, SINT1_77380.10
OG0000125	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3	SINT1_1310.1, SINT1_1310.4, SINT1_1310.8, SINT1_1310.5, SINT1_1310.6, SINT1_1310.7, SINT1_1310.3, SINT1_1310.2
