Orthogroup	opisthorchis_viverrini	fasciola_hepatica
OG0000036	T265_15083	FhHiC23_g11086.t1, FhHiC23_g14049.t1, FhHiC23_g12363.t1, FhHiC23_g14736.t1, FhHiC23_g3106.t1
OG0000037	T265_00630	FhHiC23_g6871.t1
OG0000040	T265_01293	FhHiC23_g2039.t1
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	FhHiC23_g15459.t1
OG0000043	T265_02563	FhHiC23_g4609.t1, FhHiC23_g4609.t2
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	FhHiC23_g1755.t1
OG0000044	T265_13418	FhHiC23_g571.t1, FhHiC23_g573.t1
OG0000049	T265_01286	FhHiC23_g1642.t1, FhHiC23_g1642.t2
OG0000049	T265_15552	FhHiC23_g2467.t1, FhHiC23_g2467.t2
OG0000050	T265_02127, T265_02652	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2
OG0000052	T265_08730, T265_12065	FhHiC23_g6159.t2, FhHiC23_g6159.t1
OG0000052	T265_04421	FhHiC23_g12020.t1, FhHiC23_g12020.t3
OG0000052	T265_01537, T265_15906, T265_15950	FhHiC23_g13097.t1, FhHiC23_g13097.t2, FhHiC23_g13095.t1, FhHiC23_g13095.t2
OG0000052	T265_02480	FhHiC23_g13824.t1
OG0000052	T265_06797	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1
OG0000053	T265_11166	FhHiC23_g15140.t1, FhHiC23_g15140.t2
OG0000054	T265_02804	FhHiC23_g16178.t1
OG0000054	T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433	FhHiC23_g14380.t1
OG0000054	T265_08614	FhHiC23_g11010.t1
OG0000055	T265_07023	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1
OG0000056	T265_07274	FhHiC23_g2380.t1
OG0000058	T265_07455	FhHiC23_g16509.t1
OG0000058	T265_13746	FhHiC23_g3241.t1
OG0000060	T265_13025	FhHiC23_g8030.t1
OG0000061	T265_02884	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5
OG0000062	T265_10452	FhHiC23_g12088.t1, FhHiC23_g12088.t4
OG0000063	T265_09823	FhHiC23_g5471.t1, FhHiC23_g5471.t2
OG0000064	T265_15306	FhHiC23_g13576.t2, FhHiC23_g13576.t1
OG0000065	T265_05693	FhHiC23_g16266.t1
OG0000065	T265_07607, T265_14333, T265_14334, T265_14335	FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1
OG0000066	T265_07972	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6
OG0000068	T265_12520	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1
OG0000068	T265_06616	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1
OG0000068	T265_13582	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1
OG0000068	T265_03815	FhHiC23_g5260.t1
OG0000070	T265_10197	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1
OG0000071	T265_11263	FhHiC23_g6283.t1
OG0000071	T265_11264	FhHiC23_g6282.t1, FhHiC23_g6282.t2
OG0000072	T265_13598	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1
OG0000073	T265_11926	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5
OG0000074	T265_06662	FhHiC23_g13499.t1
OG0000074	T265_09755	FhHiC23_g4352.t2, FhHiC23_g4352.t1
OG0000074	T265_14825	FhHiC23_g10998.t1
OG0000074	T265_13709	FhHiC23_g16397.t1
OG0000075	T265_02596	FhHiC23_g5300.t1, FhHiC23_g5300.t2
OG0000076	T265_01838	FhHiC23_g8656.t1, FhHiC23_g8656.t2
OG0000076	T265_09657, T265_14927	FhHiC23_g13008.t1, FhHiC23_g13008.t2
OG0000077	T265_07170	FhHiC23_g13340.t1
OG0000078	T265_10237, T265_16023	FhHiC23_g13137.t1
OG0000079	T265_03623	FhHiC23_g5009.t2, FhHiC23_g5009.t1
OG0000079	T265_11700	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3
OG0000080	T265_07150, T265_07149	FhHiC23_g14390.t1
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1
OG0000082	T265_13150	FhHiC23_g13569.t1, FhHiC23_g13569.t2
OG0000085	T265_03464, T265_13261, T265_16244	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1
OG0000086	T265_13900	FhHiC23_g1071.t1
OG0000087	T265_01347, T265_12258	FhHiC23_g1744.t1, FhHiC23_g1744.t2
OG0000090	T265_02657, T265_14540	FhHiC23_g954.t1, FhHiC23_g954.t2
OG0000091	T265_04053	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2
OG0000092	T265_14035, T265_15099	FhHiC23_g12946.t1, FhHiC23_g12946.t2
OG0000092	T265_03205	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2
OG0000093	T265_08704	FhHiC23_g5402.t1, FhHiC23_g5404.t1
OG0000093	T265_01251, T265_15703	FhHiC23_g11510.t1
OG0000093	T265_06064, T265_06061, T265_06063	FhHiC23_g6196.t1, FhHiC23_g5957.t1
OG0000093	T265_06066	FhHiC23_g6435.t1
OG0000094	T265_06493	FhHiC23_g11975.t1, FhHiC23_g11975.t2
OG0000095	T265_08487	FhHiC23_g7183.t1
OG0000096	T265_09813	FhHiC23_g5432.t1, FhHiC23_g5432.t2
OG0000097	T265_02082	FhHiC23_g11521.t1
OG0000098	T265_08810	FhHiC23_g4954.t1, FhHiC23_g4955.t1
OG0000098	T265_16367	FhHiC23_g4952.t1
OG0000098	T265_15515	FhHiC23_g8191.t1, FhHiC23_g8190.t1
OG0000099	T265_01131	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3
OG0000099	T265_02321	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4
OG0000102	T265_01574	FhHiC23_g13582.t1
OG0000102	T265_05632	FhHiC23_g7758.t1
OG0000103	T265_13207	FhHiC23_g2725.t1
OG0000105	T265_03022	FhHiC23_g13058.t1
OG0000107	T265_07863	FhHiC23_g2176.t1
OG0000108	T265_04554, T265_13536	FhHiC23_g10941.t2, FhHiC23_g10941.t1
OG0000110	T265_08891, T265_08892	FhHiC23_g5186.t1, FhHiC23_g5186.t2
OG0000110	T265_08890, T265_12894	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3
OG0000111	T265_09132	FhHiC23_g4957.t1
OG0000111	T265_08991, T265_14719	FhHiC23_g5520.t1
OG0000112	T265_10678	FhHiC23_g3619.t1, FhHiC23_g3619.t2
OG0000114	T265_15923, T265_05226, T265_11486	FhHiC23_g9186.t1
OG0000115	T265_14637	FhHiC23_g5095.t1
OG0000116	T265_02129	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2
OG0000117	T265_11206	FhHiC23_g5310.t1
OG0000119	T265_12920	FhHiC23_g10335.t1
OG0000120	T265_09108	FhHiC23_g5279.t1
OG0000122	T265_15228, T265_15224	FhHiC23_g1533.t1
OG0000123	T265_02792	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1
OG0000124	T265_04485, T265_15699, T265_15700, T265_11697, T265_15454, T265_15763, T265_10113, T265_11001, T265_11326, T265_10943, T265_05899, T265_11002, T265_15595, T265_10115, T265_09826, T265_10492, T265_05046, T265_15734, T265_11764, T265_05045, T265_09825, T265_15773, T265_15769, T265_11569, T265_14679, T265_15453, T265_11950, T265_14615, T265_15581, T265_09856, T265_04479, T265_10756, T265_15438, T265_15693, T265_11190, T265_15245, T265_11816, T265_09853, T265_10427, T265_09852, T265_09857, T265_15054, T265_11511, T265_09482, T265_15720, T265_10753, T265_12094, T265_14946, T265_10755, T265_15884, T265_04380, T265_15455, T265_15659, T265_11570, T265_14674, T265_10942, T265_08796, T265_15164, T265_15580, T265_10941, T265_15297, T265_11822, T265_11794, T265_11830, T265_11663, T265_11927, T265_15733, T265_15574, T265_15575, T265_15545, T265_11673, T265_10116, T265_11914, T265_08795, T265_10491, T265_15995, T265_15530, T265_15452, T265_15407, T265_15739, T265_11756, T265_12058, T265_11509, T265_11933, T265_08233, T265_15375, T265_11189, T265_14947, T265_10944, T265_10428, T265_09829, T265_15711, T265_11000, T265_15791, T265_14859, T265_09828, T265_15314, T265_11191, T265_11946, T265_11804, T265_11945, T265_12097	FhHiC23_g14097.t1, FhHiC23_g14097.t3
OG0000125	T265_13688	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3
OG0000127	T265_14567	FhHiC23_g12206.t1, FhHiC23_g12204.t1
OG0000128	T265_14408	FhHiC23_g14316.t1
OG0000129	T265_07587	FhHiC23_g5688.t1, FhHiC23_g5688.t2
OG0000130	T265_04661	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	FhHiC23_g14945.t1, FhHiC23_g14945.t2, FhHiC23_g14944.t1, FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2, FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1, FhHiC23_g14948.t1
OG0000132	T265_00680	FhHiC23_g6424.t2, FhHiC23_g6424.t1, FhHiC23_g6424.t3
OG0000133	T265_04893	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1
OG0000134	T265_14784	FhHiC23_g15419.t1, FhHiC23_g15419.t2
OG0000135	T265_07991, T265_11510	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3
OG0000136	T265_11527	FhHiC23_g11494.t1, FhHiC23_g11493.t3, FhHiC23_g11493.t1, FhHiC23_g11493.t2
OG0000138	T265_11205	FhHiC23_g16219.t1
OG0000138	T265_13897	FhHiC23_g14050.t1
OG0000139	T265_03450	FhHiC23_g12767.t1
OG0000140	T265_06793, T265_05820	FhHiC23_g217.t1, FhHiC23_g217.t2
OG0000142	T265_03704	FhHiC23_g15549.t1
OG0000142	T265_07291, T265_15439	FhHiC23_g15251.t1
OG0000143	T265_04146, T265_13432	FhHiC23_g7696.t1, FhHiC23_g7697.t1
OG0000144	T265_01304	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2
OG0000144	T265_12086	FhHiC23_g4712.t2, FhHiC23_g4712.t1
OG0000145	T265_14746	FhHiC23_g6031.t1
OG0000146	T265_07748	FhHiC23_g8653.t1
OG0000146	T265_07423, T265_07424	FhHiC23_g3017.t1
OG0000146	T265_08388	FhHiC23_g4902.t1
OG0000146	T265_03861	FhHiC23_g2238.t1
OG0000149	T265_03520	FhHiC23_g720.t1
OG0000151	T265_06094	FhHiC23_g7923.t1, FhHiC23_g7924.t1
OG0000152	T265_06135	FhHiC23_g11170.t1
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113	FhHiC23_g1476.t1, FhHiC23_g1472.t1, FhHiC23_g1472.t2
OG0000153	T265_01183, T265_12738, T265_12737, T265_01181	FhHiC23_g1478.t1, FhHiC23_g1478.t2
OG0000154	T265_03183	FhHiC23_g3121.t1, FhHiC23_g3120.t1, FhHiC23_g3119.t1, FhHiC23_g11005.t1, FhHiC23_g3122.t1
OG0000155	T265_08299	FhHiC23_g14798.t5, FhHiC23_g14798.t1, FhHiC23_g14798.t3, FhHiC23_g14798.t2, FhHiC23_g14798.t4
OG0000156	T265_00887, T265_16074	FhHiC23_g15553.t1
OG0000156	T265_03696	FhHiC23_g15566.t2, FhHiC23_g15566.t1, FhHiC23_g15566.t3
OG0000156	T265_15374	FhHiC23_g15050.t1
OG0000157	T265_06998, T265_11481	FhHiC23_g8049.t2, FhHiC23_g8049.t1
OG0000157	T265_01460, T265_12799	FhHiC23_g14186.t1
OG0000157	T265_09530, T265_09531, T265_14875	FhHiC23_g9140.t1, FhHiC23_g9140.t2
OG0000158	T265_10234, T265_16363	FhHiC23_g13140.t1
OG0000158	T265_15093	FhHiC23_g13141.t1, FhHiC23_g13141.t2
OG0000159	T265_08123	FhHiC23_g7585.t1
OG0000160	T265_10045	FhHiC23_g11475.t1
OG0000164	T265_13175	FhHiC23_g8533.t1
OG0000164	T265_00011	FhHiC23_g1084.t1
OG0000164	T265_07457	FhHiC23_g5363.t1, FhHiC23_g5363.t2
OG0000165	T265_11439	FhHiC23_g7386.t1, FhHiC23_g7386.t2
OG0000166	T265_10300	FhHiC23_g4357.t1, FhHiC23_g4436.t1
OG0000167	T265_06764	FhHiC23_g1665.t1, FhHiC23_g1665.t2, FhHiC23_g1665.t3, FhHiC23_g1665.t4
OG0000169	T265_05323, T265_13753, T265_13752	FhHiC23_g9336.t1, FhHiC23_g9336.t2
OG0000169	T265_09476	FhHiC23_g14278.t1
OG0000169	T265_14845	FhHiC23_g9128.t1, FhHiC23_g10107.t1, FhHiC23_g9252.t1, FhHiC23_g9980.t1
OG0000169	T265_02739	FhHiC23_g10077.t1
OG0000169	T265_02737	FhHiC23_g10076.t1
OG0000170	T265_12986	FhHiC23_g1333.t1
OG0000171	T265_13394, T265_04623	FhHiC23_g9453.t1, FhHiC23_g8538.t1
OG0000171	T265_03862, T265_12839, T265_04612, T265_00184	FhHiC23_g4302.t1, FhHiC23_g7420.t1
OG0000172	T265_00976	FhHiC23_g11485.t1, FhHiC23_g11485.t4, FhHiC23_g11485.t5, FhHiC23_g11485.t3, FhHiC23_g11485.t2
OG0000173	T265_02233	FhHiC23_g3805.t1, FhHiC23_g3804.t1
OG0000175	T265_14593, T265_08511	FhHiC23_g4838.t1
OG0000175	T265_08509	FhHiC23_g4843.t1
OG0000175	T265_08510, T265_14591	FhHiC23_g4844.t1
OG0000176	T265_07532, T265_09847	FhHiC23_g1475.t1, FhHiC23_g6682.t1, FhHiC23_g14687.t2, FhHiC23_g14687.t1, FhHiC23_g7341.t1, FhHiC23_g6566.t1, FhHiC23_g8889.t1, FhHiC23_g1261.t1, FhHiC23_g5760.t1, FhHiC23_g5760.t2, FhHiC23_g13662.t1, FhHiC23_g8945.t1
OG0000177	T265_00175	FhHiC23_g7294.t2, FhHiC23_g7294.t1, FhHiC23_g7294.t6, FhHiC23_g7294.t3, FhHiC23_g7294.t4, FhHiC23_g7294.t5
OG0000178	T265_14067, T265_06556, T265_06557	FhHiC23_g9978.t4, FhHiC23_g9978.t3, FhHiC23_g9978.t2, FhHiC23_g9978.t1
OG0000179	T265_00043	FhHiC23_g1759.t1, FhHiC23_g2123.t1
OG0000180	T265_07809	FhHiC23_g4225.t1
OG0000182	T265_01820, T265_01818	FhHiC23_g8157.t2, FhHiC23_g8157.t1
OG0000182	T265_15629, T265_15631	FhHiC23_g5700.t2, FhHiC23_g5700.t1, FhHiC23_g5700.t3
OG0000183	T265_03893	FhHiC23_g5440.t1, FhHiC23_g5440.t2
OG0000184	T265_08817, T265_08819	FhHiC23_g551.t1
OG0000184	T265_01209, T265_01210, T265_16188	FhHiC23_g552.t1
OG0000185	T265_08504	FhHiC23_g5939.t1, FhHiC23_g5938.t1
OG0000186	T265_11314	FhHiC23_g2328.t1, FhHiC23_g2327.t1
OG0000187	T265_00019	FhHiC23_g11066.t1, FhHiC23_g440.t1, FhHiC23_g440.t2
OG0000188	T265_08339	FhHiC23_g5387.t1
OG0000189	T265_02452, T265_02451	FhHiC23_g11311.t1, FhHiC23_g11311.t2
OG0000190	T265_05088	FhHiC23_g2208.t1, FhHiC23_g2208.t2
OG0000191	T265_04702, T265_04703	FhHiC23_g14871.t1, FhHiC23_g4941.t1, FhHiC23_g4940.t1, FhHiC23_g4937.t1, FhHiC23_g4938.t1, FhHiC23_g14042.t1
OG0000192	T265_05152, T265_13696	FhHiC23_g8375.t1, FhHiC23_g8375.t3, FhHiC23_g8375.t2
OG0000193	T265_12730	FhHiC23_g7377.t1
OG0000193	T265_08127	FhHiC23_g8323.t1
OG0000194	T265_13065	FhHiC23_g2835.t1, FhHiC23_g2835.t2
OG0000195	T265_01951	FhHiC23_g1825.t1
OG0000196	T265_01003	FhHiC23_g13335.t1
OG0000196	T265_08738	FhHiC23_g15952.t1
OG0000196	T265_13637	FhHiC23_g11302.t1
OG0000198	T265_15102	FhHiC23_g11938.t1
OG0000199	T265_11013	FhHiC23_g6386.t1
OG0000201	T265_08652	FhHiC23_g6359.t2, FhHiC23_g6359.t1, FhHiC23_g6359.t3, FhHiC23_g6359.t4
OG0000202	T265_10935	FhHiC23_g4745.t1
OG0000203	T265_11084	FhHiC23_g7725.t1, FhHiC23_g4169.t1, FhHiC23_g7724.t1, FhHiC23_g4169.t2
OG0000205	T265_09508	FhHiC23_g10668.t2, FhHiC23_g10668.t3, FhHiC23_g10668.t1
