Orthogroup	opisthorchis_viverrini	schistosoma_rodhaini
OG0000014	T265_11882	SRDH2_32020.33, SRDH2_32020.13, SRDH2_32020.17, SRDH2_32020.23, SRDH2_32020.27, SRDH2_32020.25, SRDH2_32020.18, SRDH2_32020.37, SRDH2_32020.3, SRDH2_32020.4, SRDH2_32020.12, SRDH2_32020.14, SRDH2_32020.16, SRDH2_32020.19, SRDH2_32020.20, SRDH2_32020.28, SRDH2_32020.1, SRDH2_32020.15, SRDH2_32020.24, SRDH2_32020.30, SRDH2_32020.5, SRDH2_32020.8, SRDH2_32020.38, SRDH2_32020.40, SRDH2_32020.2, SRDH2_32020.21, SRDH2_32020.29, SRDH2_32020.6, SRDH2_32020.11, SRDH2_32020.26, SRDH2_32020.31, SRDH2_32020.32, SRDH2_32020.34, SRDH2_32020.22, SRDH2_32020.10, SRDH2_32020.35, SRDH2_32020.36, SRDH2_32020.39, SRDH2_32020.9
OG0000015	T265_11957	SRDH2_66330.1, SRDH2_66340.1
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	SRDH2_38560.1
OG0000015	T265_12809, T265_04378	SRDH2_10450.1
OG0000016	T265_07831	SRDH2_46830.1
OG0000019	T265_07377	SRDH2_34300.1, SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	SRDH2_8550.1
OG0000021	T265_00883	SRDH2_5890.1, SRDH2_5900.1, SRDH2_5860.2, SRDH2_5860.1, SRDH2_102110.1, SRDH2_5870.2, SRDH2_5870.1, SRDH2_101980.2, SRDH2_101980.3, SRDH2_101980.4, SRDH2_102100.1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	SRDH2_102090.1, SRDH2_5880.1
OG0000022	T265_03268	SRDH2_27620.10, SRDH2_27620.33, SRDH2_27620.25, SRDH2_27620.8, SRDH2_27620.37, SRDH2_27620.34, SRDH2_27620.11, SRDH2_27620.17, SRDH2_27620.12, SRDH2_27620.18, SRDH2_27620.16, SRDH2_27620.31, SRDH2_27620.1, SRDH2_27620.30, SRDH2_27620.5, SRDH2_27620.2, SRDH2_27620.32, SRDH2_27620.21, SRDH2_27620.28, SRDH2_27620.22, SRDH2_27620.23, SRDH2_27620.6, SRDH2_27620.19, SRDH2_27620.20, SRDH2_27620.26, SRDH2_27620.14, SRDH2_27620.15, SRDH2_27620.13, SRDH2_27620.9, SRDH2_27620.7, SRDH2_27620.29, SRDH2_27620.24, SRDH2_27620.4, SRDH2_27620.27, SRDH2_27620.3
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	SRDH2_86550.1, SRDH2_46810.1, SRDH2_44490.1, SRDH2_37230.1, SRDH2_15010.1, SRDH2_15010.2, SRDH2_80730.1, SRDH2_80730.2, SRDH2_63600.1, SRDH2_97530.1, SRDH2_84480.1, SRDH2_85020.1, SRDH2_39760.1
OG0000023	T265_02351, T265_08565, T265_10803	SRDH2_67100.1
OG0000023	T265_09097	SRDH2_49570.1, SRDH2_21610.1, SRDH2_49310.1, SRDH2_9630.1, SRDH2_79690.1, SRDH2_96430.1, SRDH2_79740.1
OG0000024	T265_04524, T265_12877	SRDH2_24010.1
OG0000024	T265_08845	SRDH2_94350.1
OG0000024	T265_10896, T265_12043, T265_03132	SRDH2_67860.1
OG0000026	T265_07485	SRDH2_81630.3, SRDH2_81630.2, SRDH2_81630.8, SRDH2_81630.7, SRDH2_81630.5, SRDH2_81630.9, SRDH2_81630.4, SRDH2_81630.1, SRDH2_81630.6
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	SRDH2_73460.10, SRDH2_73460.11, SRDH2_73460.14, SRDH2_73460.15, SRDH2_73460.8, SRDH2_73460.9, SRDH2_73460.2, SRDH2_73460.4, SRDH2_73460.5, SRDH2_73460.3, SRDH2_73460.1, SRDH2_73460.6, SRDH2_73460.12, SRDH2_73460.13, SRDH2_73460.7, SRDH2_73510.3, SRDH2_73510.4, SRDH2_73510.5, SRDH2_73510.7, SRDH2_73510.1, SRDH2_73510.2, SRDH2_73510.8, SRDH2_73510.6
OG0000027	T265_14036	SRDH2_40180.2, SRDH2_40180.4, SRDH2_40180.5, SRDH2_40180.1, SRDH2_40180.3
OG0000028	T265_03596, T265_13290	SRDH2_71910.10, SRDH2_71910.4, SRDH2_71910.6, SRDH2_71910.8, SRDH2_71910.5, SRDH2_71910.7, SRDH2_71910.9, SRDH2_71910.11, SRDH2_71910.12, SRDH2_71910.2, SRDH2_71910.13, SRDH2_71910.18, SRDH2_71910.21, SRDH2_71910.24, SRDH2_71910.1, SRDH2_71910.26, SRDH2_71910.29, SRDH2_71910.25, SRDH2_71910.34, SRDH2_71910.17, SRDH2_71910.20, SRDH2_71910.23, SRDH2_71910.27, SRDH2_71910.28, SRDH2_71910.15, SRDH2_71910.19, SRDH2_71910.31, SRDH2_71910.16, SRDH2_71910.22, SRDH2_71910.32, SRDH2_71910.33, SRDH2_71910.14, SRDH2_71910.30, SRDH2_71910.3
OG0000029	T265_08214	SRDH2_58920.1
OG0000029	T265_00572, T265_00570, T265_00571	SRDH2_90020.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	SRDH2_91070.1, SRDH2_91060.1
OG0000030	T265_14111	SRDH2_6780.1
OG0000031	T265_06361	SRDH2_21700.10, SRDH2_21700.4, SRDH2_21700.1, SRDH2_21700.6, SRDH2_21700.12, SRDH2_21700.7, SRDH2_21700.8, SRDH2_21700.9, SRDH2_21700.3, SRDH2_21700.2, SRDH2_21700.11, SRDH2_21700.13, SRDH2_21700.5
OG0000032	T265_03331	SRDH2_58770.1, SRDH2_58770.3, SRDH2_58770.2
OG0000032	T265_07282	SRDH2_23570.1, SRDH2_81680.2, SRDH2_81690.1, SRDH2_9890.1, SRDH2_9820.1, SRDH2_81680.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	SRDH2_94750.1, SRDH2_94690.1, SRDH2_94710.1, SRDH2_94460.1, SRDH2_94440.1, SRDH2_94700.1, SRDH2_94450.1, SRDH2_58720.1, SRDH2_58700.1, SRDH2_58680.1, SRDH2_58640.1
OG0000035	T265_00972	SRDH2_15480.22, SRDH2_15480.18, SRDH2_15480.20, SRDH2_15480.2, SRDH2_15480.4, SRDH2_15480.21, SRDH2_15480.15, SRDH2_15480.17, SRDH2_15480.14, SRDH2_15480.16, SRDH2_15480.24, SRDH2_15480.25, SRDH2_15480.19, SRDH2_15480.6, SRDH2_15480.1, SRDH2_15480.23, SRDH2_15480.3, SRDH2_15480.9, SRDH2_15480.5, SRDH2_15480.8, SRDH2_15480.12, SRDH2_15480.13, SRDH2_15480.26, SRDH2_15480.11, SRDH2_15480.7, SRDH2_15480.10
OG0000037	T265_00630	SRDH2_61520.1, SRDH2_61530.17, SRDH2_61530.2, SRDH2_61530.24, SRDH2_61530.21, SRDH2_61530.23, SRDH2_61530.15, SRDH2_61530.13, SRDH2_61530.19, SRDH2_61530.16, SRDH2_61530.4, SRDH2_61530.5, SRDH2_61530.9, SRDH2_61530.1, SRDH2_61530.10, SRDH2_61530.6, SRDH2_61530.22, SRDH2_61530.11, SRDH2_61530.7, SRDH2_61530.8, SRDH2_61530.18, SRDH2_61530.20, SRDH2_61530.12, SRDH2_61530.3, SRDH2_61530.14
OG0000038	T265_12650	SRDH2_68580.1, SRDH2_67930.1, SRDH2_47830.1, SRDH2_83970.1, SRDH2_90160.1, SRDH2_50090.1, SRDH2_101350.1, SRDH2_7630.1, SRDH2_78250.1, SRDH2_78250.2, SRDH2_83380.1, SRDH2_98050.1, SRDH2_17960.1, SRDH2_36860.1, SRDH2_17960.2, SRDH2_36860.2, SRDH2_7890.1, SRDH2_36860.3, SRDH2_84340.1, SRDH2_22660.1, SRDH2_7900.1, SRDH2_19300.1, SRDH2_100200.1, SRDH2_100200.2, SRDH2_28680.1, SRDH2_15040.1, SRDH2_101330.1, SRDH2_43890.1, SRDH2_16780.1
OG0000040	T265_01293	SRDH2_53910.2, SRDH2_53910.7, SRDH2_53910.8, SRDH2_53910.11, SRDH2_53910.18, SRDH2_53910.12, SRDH2_53910.16, SRDH2_53910.3, SRDH2_53910.5, SRDH2_53910.6, SRDH2_53920.1, SRDH2_53910.19, SRDH2_53910.4, SRDH2_53910.13, SRDH2_53910.15, SRDH2_53910.14, SRDH2_53910.1, SRDH2_53910.17, SRDH2_53910.10, SRDH2_53910.9
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	SRDH2_40040.3, SRDH2_40040.2, SRDH2_40040.1, SRDH2_40040.4, SRDH2_40030.2, SRDH2_40030.1, SRDH2_40030.3, SRDH2_40000.1, SRDH2_101250.1, SRDH2_101200.1, SRDH2_101220.1, SRDH2_101240.1, SRDH2_40020.1, SRDH2_40010.1, SRDH2_40010.2
OG0000043	T265_02563	SRDH2_28130.13, SRDH2_28130.11, SRDH2_28130.9, SRDH2_28130.2, SRDH2_28130.5, SRDH2_28130.6, SRDH2_28130.10, SRDH2_28130.7, SRDH2_28130.8, SRDH2_28130.12, SRDH2_28130.14, SRDH2_28130.15, SRDH2_28130.1, SRDH2_28130.3, SRDH2_28130.4
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	SRDH2_88730.1, SRDH2_88720.3, SRDH2_88720.1, SRDH2_88720.2, SRDH2_88720.4, SRDH2_88720.5, SRDH2_88720.6, SRDH2_88720.7, SRDH2_88720.8, SRDH2_88700.3, SRDH2_88700.1, SRDH2_88700.2, SRDH2_88700.9, SRDH2_88700.6, SRDH2_88700.4, SRDH2_88700.5, SRDH2_88700.10, SRDH2_88700.7, SRDH2_88700.8, SRDH2_88690.1, SRDH2_88690.2, SRDH2_88690.3
OG0000049	T265_01286	SRDH2_71440.3, SRDH2_71440.2, SRDH2_71440.5, SRDH2_71440.6, SRDH2_71440.1, SRDH2_71440.4
OG0000049	T265_15552	SRDH2_75360.3, SRDH2_75360.4, SRDH2_75360.5, SRDH2_75360.8, SRDH2_75360.1, SRDH2_75360.6, SRDH2_75360.11, SRDH2_75360.7, SRDH2_75360.13, SRDH2_75360.14, SRDH2_75360.15, SRDH2_75360.12, SRDH2_75360.10, SRDH2_75360.9, SRDH2_75360.2
OG0000050	T265_02127, T265_02652	SRDH2_54600.1, SRDH2_54620.6, SRDH2_54620.7, SRDH2_54620.5, SRDH2_54620.10, SRDH2_54620.1, SRDH2_54620.2, SRDH2_54620.4, SRDH2_54620.13, SRDH2_54620.14, SRDH2_54620.12, SRDH2_54620.8, SRDH2_54620.3, SRDH2_54620.11, SRDH2_54620.9
OG0000052	T265_08730, T265_12065	SRDH2_29050.1
OG0000052	T265_04421	SRDH2_3320.1
OG0000052	T265_02480	SRDH2_1740.1
OG0000052	T265_06797	SRDH2_69180.1
OG0000053	T265_11166	SRDH2_18960.11, SRDH2_18960.7, SRDH2_18960.1, SRDH2_18960.10, SRDH2_18960.3, SRDH2_18960.4, SRDH2_18960.6, SRDH2_18960.8, SRDH2_18960.9, SRDH2_18960.2, SRDH2_18960.5
OG0000054	T265_02804, T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433, T265_08614, T265_13045	SRDH2_41060.1, SRDH2_34600.1, SRDH2_94410.1, SRDH2_94400.1, SRDH2_94410.2, SRDH2_46330.1, SRDH2_46330.2, SRDH2_46330.3, SRDH2_46330.4, SRDH2_46330.5, SRDH2_80260.1, SRDH2_91570.1, SRDH2_91570.2, SRDH2_91570.3, SRDH2_91570.4, SRDH2_84440.1, SRDH2_49560.1, SRDH2_49560.2, SRDH2_49560.3, SRDH2_49560.4, SRDH2_49560.5, SRDH2_49560.6, SRDH2_12950.1
OG0000055	T265_07023	SRDH2_71170.14, SRDH2_71170.2, SRDH2_71170.3, SRDH2_71170.11, SRDH2_71170.16, SRDH2_71170.13, SRDH2_71170.4, SRDH2_71170.5, SRDH2_71170.6, SRDH2_71170.17, SRDH2_71170.23, SRDH2_71170.21, SRDH2_71190.1, SRDH2_71170.1, SRDH2_71170.10, SRDH2_71170.12, SRDH2_71170.15, SRDH2_71170.19, SRDH2_71170.7, SRDH2_71170.8, SRDH2_71170.9, SRDH2_71170.22, SRDH2_71170.18, SRDH2_71170.20
OG0000058	T265_07455	SRDH2_92580.1
OG0000058	T265_13746	SRDH2_82490.2, SRDH2_82490.8, SRDH2_82490.1, SRDH2_82490.3, SRDH2_82490.4, SRDH2_82490.5, SRDH2_82490.6, SRDH2_82490.7, SRDH2_82490.9
OG0000060	T265_13025	SRDH2_65910.12, SRDH2_65910.5, SRDH2_65910.2, SRDH2_65910.13, SRDH2_65910.15, SRDH2_65910.14, SRDH2_65910.4, SRDH2_65910.18, SRDH2_65910.7, SRDH2_65910.1, SRDH2_65910.10, SRDH2_65910.17, SRDH2_65910.8, SRDH2_65910.3, SRDH2_65910.6, SRDH2_65910.11, SRDH2_65910.19, SRDH2_65910.20, SRDH2_65910.21, SRDH2_65910.16, SRDH2_65910.9
OG0000061	T265_02884	SRDH2_53440.17, SRDH2_53440.18, SRDH2_53440.1, SRDH2_53440.13, SRDH2_53440.6, SRDH2_53440.7, SRDH2_53440.15, SRDH2_53440.10, SRDH2_53440.9, SRDH2_53440.14, SRDH2_53440.16, SRDH2_53440.5, SRDH2_53440.8, SRDH2_53440.3, SRDH2_53440.11, SRDH2_53440.12, SRDH2_53440.2, SRDH2_53440.4
OG0000062	T265_10452	SRDH2_6280.19, SRDH2_6280.20, SRDH2_6280.5, SRDH2_6280.11, SRDH2_6280.17, SRDH2_6280.3, SRDH2_6280.10, SRDH2_6280.12, SRDH2_6280.15, SRDH2_6280.16, SRDH2_6280.18, SRDH2_6280.9, SRDH2_6280.2, SRDH2_6280.21, SRDH2_6280.25, SRDH2_6280.6, SRDH2_6280.8, SRDH2_6280.28, SRDH2_6280.1, SRDH2_6280.13, SRDH2_6280.22, SRDH2_6280.24, SRDH2_6280.26, SRDH2_6280.4, SRDH2_6280.7, SRDH2_6280.14, SRDH2_6280.23, SRDH2_6280.27
OG0000063	T265_09823	SRDH2_39560.39, SRDH2_39560.18, SRDH2_39560.34, SRDH2_39560.38, SRDH2_39560.26, SRDH2_39560.15, SRDH2_39560.32, SRDH2_39560.16, SRDH2_39560.21, SRDH2_39560.30, SRDH2_39560.36, SRDH2_39560.17, SRDH2_39560.28, SRDH2_39560.5, SRDH2_39560.42, SRDH2_39560.43, SRDH2_39560.48, SRDH2_39560.49, SRDH2_39560.47, SRDH2_39560.45, SRDH2_39560.1, SRDH2_39560.12, SRDH2_39560.14, SRDH2_39560.22, SRDH2_39560.23, SRDH2_39560.24, SRDH2_39560.29, SRDH2_39560.3, SRDH2_39560.10, SRDH2_39560.9, SRDH2_39560.8, SRDH2_39560.50, SRDH2_39560.11, SRDH2_39560.2, SRDH2_39560.13, SRDH2_39560.25, SRDH2_39560.27, SRDH2_39560.19, SRDH2_39560.31, SRDH2_39560.46
OG0000064	T265_15306	SRDH2_4280.5, SRDH2_4280.4, SRDH2_4280.2, SRDH2_4280.6, SRDH2_4280.1, SRDH2_4280.3
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	SRDH2_23650.1, SRDH2_101090.2, SRDH2_101090.1, SRDH2_101090.3, SRDH2_23750.1, SRDH2_101080.1, SRDH2_101080.2, SRDH2_101070.1, SRDH2_23740.1
OG0000066	T265_07972	SRDH2_37830.1
OG0000068	T265_12520	SRDH2_54770.2, SRDH2_54770.1
OG0000068	T265_06616	SRDH2_97980.1
OG0000068	T265_13582	SRDH2_34150.1, SRDH2_34160.1
OG0000068	T265_03815	SRDH2_29100.2, SRDH2_29100.1
OG0000070	T265_10197	SRDH2_44020.5, SRDH2_44020.10, SRDH2_44020.4, SRDH2_44020.9, SRDH2_44020.11, SRDH2_44020.14, SRDH2_44020.16, SRDH2_44020.17, SRDH2_44020.6, SRDH2_44020.2, SRDH2_44020.7, SRDH2_44020.8, SRDH2_44020.1, SRDH2_44020.3, SRDH2_44020.12, SRDH2_44020.15, SRDH2_44020.13
OG0000071	T265_11263, T265_11264	SRDH2_36110.10, SRDH2_36110.12, SRDH2_36110.13, SRDH2_36110.8, SRDH2_36110.14, SRDH2_36110.15, SRDH2_36110.5, SRDH2_36110.6, SRDH2_36110.11, SRDH2_36110.4, SRDH2_36110.9, SRDH2_36110.7, SRDH2_36110.1, SRDH2_36110.2, SRDH2_36110.3
OG0000072	T265_13598	SRDH2_93200.7, SRDH2_93200.5, SRDH2_93200.8, SRDH2_93200.6, SRDH2_93200.1, SRDH2_93200.2, SRDH2_93200.4, SRDH2_93200.3
OG0000073	T265_11926	SRDH2_56360.1, SRDH2_56360.3, SRDH2_56360.2, SRDH2_56490.2, SRDH2_56490.1, SRDH2_56490.3, SRDH2_56490.4, SRDH2_56490.5, SRDH2_56490.6
OG0000074	T265_06662	SRDH2_1300.2, SRDH2_1300.1
OG0000074	T265_09755	SRDH2_90830.2, SRDH2_90830.1
OG0000074	T265_13709	SRDH2_90930.1
OG0000075	T265_02596	SRDH2_35860.1, SRDH2_35860.16, SRDH2_35860.18, SRDH2_35860.19, SRDH2_35860.20, SRDH2_35860.5, SRDH2_35860.6, SRDH2_35860.7, SRDH2_35860.8, SRDH2_35860.13, SRDH2_35860.11, SRDH2_35860.2, SRDH2_35860.4, SRDH2_35860.14, SRDH2_35860.3, SRDH2_35860.10, SRDH2_35860.15, SRDH2_35860.17, SRDH2_35860.9, SRDH2_35860.12
OG0000076	T265_01838	SRDH2_91960.1
OG0000076	T265_09657, T265_14927	SRDH2_3980.1, SRDH2_3980.3, SRDH2_3980.4, SRDH2_3980.2, SRDH2_3980.8, SRDH2_3980.5, SRDH2_3980.6, SRDH2_3980.7
OG0000077	T265_07170	SRDH2_11180.19, SRDH2_11180.22, SRDH2_11180.30, SRDH2_11180.2, SRDH2_11180.29, SRDH2_11180.1, SRDH2_11180.13, SRDH2_11180.14, SRDH2_11180.15, SRDH2_11180.16, SRDH2_11180.18, SRDH2_11180.5, SRDH2_11180.6, SRDH2_11180.9, SRDH2_11180.26, SRDH2_11180.31, SRDH2_11180.28, SRDH2_11180.10, SRDH2_11180.17, SRDH2_11180.3, SRDH2_11180.12, SRDH2_11180.20, SRDH2_11180.21, SRDH2_11180.4, SRDH2_11180.8, SRDH2_11180.7
OG0000078	T265_10237, T265_16023	SRDH2_5620.2, SRDH2_5620.3, SRDH2_5620.5, SRDH2_5620.7, SRDH2_5620.4, SRDH2_5620.1, SRDH2_5620.6, SRDH2_5620.8, SRDH2_5620.10, SRDH2_5620.9, SRDH2_5620.11
OG0000079	T265_03623	SRDH2_31040.1
OG0000079	T265_11700	SRDH2_54820.1
OG0000080	T265_07150, T265_07149	SRDH2_44420.7, SRDH2_44420.4, SRDH2_44420.6, SRDH2_44420.5, SRDH2_44420.9, SRDH2_44420.2, SRDH2_44420.3, SRDH2_44420.1, SRDH2_44420.8
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	SRDH2_91410.1, SRDH2_47730.1, SRDH2_91400.1, SRDH2_68250.1, SRDH2_8130.1, SRDH2_100000.1, SRDH2_29680.1, SRDH2_98380.1, SRDH2_53780.1, SRDH2_65010.1, SRDH2_50660.1, SRDH2_42050.1, SRDH2_100330.1, SRDH2_20650.1
OG0000082	T265_13150	SRDH2_10780.11, SRDH2_10780.12, SRDH2_10780.13, SRDH2_10780.15, SRDH2_10780.18, SRDH2_10780.4, SRDH2_10780.9, SRDH2_10780.7, SRDH2_10780.1, SRDH2_10780.10, SRDH2_10780.14, SRDH2_10780.2, SRDH2_10780.3, SRDH2_10780.5, SRDH2_10780.6, SRDH2_10780.8, SRDH2_10780.16, SRDH2_10780.17
OG0000085	T265_03464, T265_13261, T265_16244	SRDH2_34030.12, SRDH2_34030.16, SRDH2_34030.20, SRDH2_34030.21, SRDH2_34030.1, SRDH2_34030.10, SRDH2_34030.11, SRDH2_34030.13, SRDH2_34030.14, SRDH2_34030.17, SRDH2_34030.2, SRDH2_34030.23, SRDH2_34030.6, SRDH2_34030.7, SRDH2_34030.8, SRDH2_34030.9, SRDH2_34030.4, SRDH2_34030.15, SRDH2_34030.18, SRDH2_34030.19, SRDH2_34030.22, SRDH2_34030.3, SRDH2_34030.5, SRDH2_34030.24
OG0000086	T265_13900	SRDH2_75060.1, SRDH2_75060.3, SRDH2_75060.9, SRDH2_75060.12, SRDH2_75060.14, SRDH2_75060.15, SRDH2_75060.13, SRDH2_75060.16, SRDH2_75060.5, SRDH2_75060.8, SRDH2_75060.10, SRDH2_75060.11, SRDH2_75060.7, SRDH2_75060.17, SRDH2_75060.2, SRDH2_75060.4, SRDH2_75060.6
OG0000087	T265_01347, T265_12258	SRDH2_53130.2, SRDH2_53130.4, SRDH2_53130.3, SRDH2_53130.7, SRDH2_53130.6, SRDH2_53130.1, SRDH2_53130.5
OG0000090	T265_02657, T265_14540	SRDH2_50750.1, SRDH2_50750.4, SRDH2_50750.7, SRDH2_50750.6, SRDH2_50750.10, SRDH2_50750.3, SRDH2_50750.8, SRDH2_50750.9, SRDH2_50750.2, SRDH2_50750.5
OG0000091	T265_04053	SRDH2_48630.15, SRDH2_48630.4, SRDH2_48630.14, SRDH2_48630.2, SRDH2_48630.9, SRDH2_48630.6, SRDH2_48630.7, SRDH2_48630.8, SRDH2_48630.3, SRDH2_48630.11, SRDH2_48630.16, SRDH2_48630.1, SRDH2_48630.5, SRDH2_48630.12, SRDH2_48630.10, SRDH2_48630.13
OG0000092	T265_14035, T265_15099	SRDH2_2270.6, SRDH2_2270.2, SRDH2_2270.1, SRDH2_2270.3, SRDH2_2270.4, SRDH2_2270.5
OG0000092	T265_03205	SRDH2_15150.2, SRDH2_15150.6, SRDH2_15150.1, SRDH2_15150.3, SRDH2_15150.4, SRDH2_15150.5
OG0000093	T265_08704	SRDH2_40310.1
OG0000093	T265_06064, T265_06061, T265_06063	SRDH2_100050.3, SRDH2_100060.1, SRDH2_100050.2, SRDH2_100040.1, SRDH2_100050.1
OG0000094	T265_06493	SRDH2_8770.1, SRDH2_8770.2, SRDH2_8770.3, SRDH2_8770.4, SRDH2_8770.5, SRDH2_8770.8, SRDH2_8770.9, SRDH2_8770.7, SRDH2_8770.6
OG0000095	T265_08487	SRDH2_63030.1, SRDH2_63030.4, SRDH2_63030.5, SRDH2_63030.6, SRDH2_63030.11, SRDH2_63030.8, SRDH2_63030.9, SRDH2_63030.10, SRDH2_63030.7, SRDH2_63030.2, SRDH2_63030.3
OG0000096	T265_09813	SRDH2_32910.7, SRDH2_32910.12, SRDH2_32910.3, SRDH2_32910.9, SRDH2_32910.11, SRDH2_32910.13, SRDH2_32910.10, SRDH2_32910.8, SRDH2_32910.4, SRDH2_32910.2, SRDH2_32910.1, SRDH2_32910.5, SRDH2_32910.6
OG0000097	T265_02082	SRDH2_7020.2, SRDH2_7020.1, SRDH2_7020.3, SRDH2_7020.4, SRDH2_7020.5
OG0000098	T265_08810	SRDH2_41370.1
OG0000098	T265_16367, T265_15515	SRDH2_69360.12, SRDH2_69360.9, SRDH2_69360.13, SRDH2_69360.11, SRDH2_69360.14, SRDH2_69360.6, SRDH2_69360.7, SRDH2_69360.2, SRDH2_69360.5, SRDH2_69360.1, SRDH2_69360.4, SRDH2_69360.3, SRDH2_69360.10, SRDH2_69360.8
OG0000099	T265_01131	SRDH2_68410.6, SRDH2_68410.4, SRDH2_68410.7, SRDH2_68410.2, SRDH2_68410.1, SRDH2_68410.5, SRDH2_68410.3
OG0000099	T265_02321	SRDH2_73740.1
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	SRDH2_8090.1, SRDH2_13380.1, SRDH2_78930.1, SRDH2_35080.1, SRDH2_35080.2, SRDH2_10010.1, SRDH2_60650.1
OG0000102	T265_01574	SRDH2_6050.1
OG0000102	T265_05632	SRDH2_60210.6, SRDH2_60210.4, SRDH2_60210.7, SRDH2_60210.1, SRDH2_60210.2, SRDH2_60210.3, SRDH2_60210.5
