Orthogroup	opisthorchis_viverrini	schistosoma_haematobium
OG0000015	T265_01476, T265_15570	SHAE2_46430.1
OG0000019	T265_07377	SHAE2_39640.11, SHAE2_39640.1, SHAE2_39640.9, SHAE2_39640.10, SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7, SHAE2_39640.3, SHAE2_39640.12, SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	SHAE2_10160.1
OG0000021	T265_00883	SHAE2_6340.2, SHAE2_6340.1, SHAE2_6350.1, SHAE2_6360.1, SHAE2_6310.2, SHAE2_6310.1, SHAE2_6320.1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	SHAE2_6330.1, SHAE2_6330.2
OG0000022	T265_03268	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	SHAE2_26100.1
OG0000024	T265_04524, T265_12877	SHAE2_26160.1
OG0000024	T265_08845	SHAE2_96950.1
OG0000024	T265_10896, T265_12043, T265_03132	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6
OG0000026	T265_07485	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3, SHAE2_76510.1, SHAE2_76510.2
OG0000027	T265_14036	SHAE2_42940.1
OG0000028	T265_03596, T265_13290	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13
OG0000029	T265_08214	SHAE2_61420.1
OG0000029	T265_00572, T265_00570, T265_00571	SHAE2_92590.1
OG0000029	T265_11026	SHAE2_22850.2, SHAE2_22860.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	SHAE2_93560.1, SHAE2_93550.1
OG0000030	T265_14111	SHAE2_7260.1
OG0000031	T265_06361	SHAE2_21970.1
OG0000032	T265_03331	SHAE2_84150.1, SHAE2_61170.2, SHAE2_61170.3, SHAE2_61170.1, SHAE2_61170.4
OG0000032	T265_07282	SHAE2_84140.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	SHAE2_97190.1, SHAE2_97180.1, SHAE2_97170.1, SHAE2_57280.1, SHAE2_61250.1, SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1, SHAE2_61300.2, SHAE2_61300.1, SHAE2_61150.1, SHAE2_61160.1, SHAE2_61270.1
OG0000035	T265_00972	SHAE2_16750.10, SHAE2_16750.13, SHAE2_16750.16, SHAE2_16750.17, SHAE2_16750.22, SHAE2_16750.7, SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3
OG0000037	T265_00630	SHAE2_63770.1, SHAE2_63780.1, SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3, SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2
OG0000038	T265_12650	SHAE2_82970.1, SHAE2_63020.1, SHAE2_50220.1, SHAE2_59300.1, SHAE2_71210.1, SHAE2_44390.1, SHAE2_40300.1, SHAE2_85900.1, SHAE2_85900.2, SHAE2_85900.3, SHAE2_10510.1, SHAE2_85910.1, SHAE2_12870.1, SHAE2_14240.1, SHAE2_83230.1, SHAE2_38480.2, SHAE2_38480.3, SHAE2_38480.4, SHAE2_64380.1
OG0000040	T265_01293	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20, SHAE2_55400.14, SHAE2_55400.19, SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15, SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23, SHAE2_55390.1, SHAE2_55400.26
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	SHAE2_42810.2, SHAE2_42810.1, SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1, SHAE2_42750.1, SHAE2_42760.2, SHAE2_42780.1, SHAE2_42790.1, SHAE2_42780.2, SHAE2_42760.1, SHAE2_42770.1
OG0000043	T265_02563	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3, SHAE2_91220.1, SHAE2_91240.1, SHAE2_91240.2, SHAE2_91250.1, SHAE2_91250.2
OG0000047	T265_15705	SHAE2_100590.1, SHAE2_59000.1
OG0000049	T265_01286	SHAE2_74260.1, SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7
OG0000049	T265_15552	SHAE2_77960.1, SHAE2_77960.7, SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3, SHAE2_77960.6
OG0000050	T265_02127, T265_02652	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15, SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6
OG0000052	T265_08730, T265_12065	SHAE2_30940.1
OG0000052	T265_04421	SHAE2_3770.1
OG0000052	T265_02480	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3
OG0000052	T265_06797	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1
OG0000053	T265_11166	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13, SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10
OG0000055	T265_07023	SHAE2_73310.1, SHAE2_73320.1
OG0000058	T265_07455	SHAE2_95540.1
OG0000058	T265_13746	SHAE2_84800.1, SHAE2_84800.2
OG0000060	T265_13025	SHAE2_69670.1, SHAE2_69670.10, SHAE2_69670.6, SHAE2_69670.7, SHAE2_69670.9, SHAE2_69670.11, SHAE2_69670.5, SHAE2_69670.2, SHAE2_69670.4, SHAE2_69670.3, SHAE2_69670.12, SHAE2_69670.8
OG0000061	T265_02884	SHAE2_55850.1, SHAE2_55850.11, SHAE2_55850.13, SHAE2_55850.12, SHAE2_55850.10, SHAE2_55850.5, SHAE2_55850.6, SHAE2_55850.7, SHAE2_55850.8, SHAE2_55850.2, SHAE2_55850.9, SHAE2_55850.3, SHAE2_55850.4
OG0000062	T265_10452	SHAE2_6660.14, SHAE2_6660.4, SHAE2_6660.16, SHAE2_6660.19, SHAE2_6660.2, SHAE2_6660.18, SHAE2_6660.8, SHAE2_6660.7, SHAE2_6660.5, SHAE2_6660.1, SHAE2_6660.12, SHAE2_6660.17, SHAE2_6660.20, SHAE2_6660.9, SHAE2_6660.10, SHAE2_6660.11, SHAE2_6660.15, SHAE2_6660.6, SHAE2_6660.13, SHAE2_6660.21, SHAE2_6660.3
OG0000063	T265_09823	SHAE2_42340.3, SHAE2_42340.15, SHAE2_42340.18, SHAE2_42340.10, SHAE2_42340.12, SHAE2_42340.7, SHAE2_42340.9, SHAE2_42340.2, SHAE2_42340.8, SHAE2_42340.5, SHAE2_42340.11, SHAE2_42340.1, SHAE2_42340.4, SHAE2_42340.6, SHAE2_42340.14, SHAE2_42340.16, SHAE2_42340.13, SHAE2_42340.17, SHAE2_42340.19
OG0000064	T265_15306	SHAE2_4750.14, SHAE2_4750.27, SHAE2_4750.8, SHAE2_4750.10, SHAE2_4750.15, SHAE2_4750.25, SHAE2_4750.26, SHAE2_4750.13, SHAE2_4750.6, SHAE2_4750.21, SHAE2_4750.11, SHAE2_4750.3, SHAE2_4750.7, SHAE2_4750.30, SHAE2_4750.12, SHAE2_4750.19, SHAE2_4750.18, SHAE2_4750.17, SHAE2_4750.9, SHAE2_4750.28, SHAE2_4750.29, SHAE2_4750.32, SHAE2_4750.23, SHAE2_4750.24, SHAE2_4750.2, SHAE2_4750.5, SHAE2_4750.31, SHAE2_4750.22, SHAE2_4750.33, SHAE2_4750.1, SHAE2_4750.4, SHAE2_4750.20, SHAE2_4750.16
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	SHAE2_25330.1, SHAE2_25350.1, SHAE2_25340.1, SHAE2_25420.3, SHAE2_25420.2, SHAE2_25420.1, SHAE2_25400.1, SHAE2_25390.2, SHAE2_25390.1, SHAE2_25390.3, SHAE2_25390.5, SHAE2_25390.4
OG0000066	T265_07972	SHAE2_40030.6, SHAE2_40030.14, SHAE2_40030.15, SHAE2_40030.1, SHAE2_40030.13, SHAE2_40030.5, SHAE2_40030.8, SHAE2_40030.12, SHAE2_40030.2, SHAE2_40030.9, SHAE2_40030.11, SHAE2_40030.4, SHAE2_40030.7, SHAE2_40030.3, SHAE2_40030.10
OG0000068	T265_12520	SHAE2_57070.1, SHAE2_57070.2, SHAE2_57070.3
OG0000068	T265_06616	SHAE2_100120.2, SHAE2_100120.1, SHAE2_100120.3
OG0000068	T265_13582	SHAE2_39460.1, SHAE2_39470.1
OG0000068	T265_03815	SHAE2_30990.1
OG0000070	T265_10197	SHAE2_46580.7, SHAE2_46580.1, SHAE2_46580.2, SHAE2_46580.4, SHAE2_46580.5, SHAE2_46580.3, SHAE2_46580.6
OG0000071	T265_11263, T265_11264	SHAE2_36970.11, SHAE2_36970.2, SHAE2_36970.3, SHAE2_36970.5, SHAE2_36970.8, SHAE2_36970.9, SHAE2_36970.10, SHAE2_36970.13, SHAE2_36970.4, SHAE2_36970.6, SHAE2_36970.7, SHAE2_36970.12, SHAE2_36970.14, SHAE2_36970.1
OG0000072	T265_13598	SHAE2_94930.1, SHAE2_94930.2
OG0000073	T265_11926	SHAE2_58540.12, SHAE2_58540.3, SHAE2_58540.7, SHAE2_58550.10, SHAE2_58550.12, SHAE2_58550.14, SHAE2_58550.15, SHAE2_58550.7, SHAE2_58540.8, SHAE2_58550.2, SHAE2_58540.1, SHAE2_58540.2, SHAE2_58540.9, SHAE2_58550.1, SHAE2_58550.13, SHAE2_58550.16, SHAE2_58550.3, SHAE2_58550.6, SHAE2_58550.8, SHAE2_58550.4, SHAE2_58540.13, SHAE2_58540.4, SHAE2_58540.5, SHAE2_58550.11, SHAE2_58550.9, SHAE2_58540.10, SHAE2_58540.6
OG0000074	T265_06662	SHAE2_1560.2, SHAE2_1560.1
OG0000074	T265_09755	SHAE2_93350.1
OG0000074	T265_14825	SHAE2_13230.1
OG0000074	T265_13709	SHAE2_93440.1
OG0000075	T265_02596	SHAE2_36730.1, SHAE2_36730.2, SHAE2_36730.10, SHAE2_36730.12, SHAE2_36730.14, SHAE2_36730.18, SHAE2_36730.19, SHAE2_36730.20, SHAE2_36730.21, SHAE2_36730.3, SHAE2_36730.4, SHAE2_36730.5, SHAE2_36730.6, SHAE2_36730.7, SHAE2_36730.8, SHAE2_36730.9, SHAE2_36730.17, SHAE2_36730.13, SHAE2_36730.15, SHAE2_36730.16, SHAE2_36730.22, SHAE2_36730.23, SHAE2_36730.11
OG0000076	T265_01838	SHAE2_96250.2, SHAE2_96250.1
OG0000076	T265_09657, T265_14927	SHAE2_4440.10, SHAE2_4440.9, SHAE2_4440.5, SHAE2_4440.2, SHAE2_4440.6, SHAE2_4440.7, SHAE2_4440.8, SHAE2_4440.1, SHAE2_4440.4, SHAE2_4440.3
OG0000077	T265_07170	SHAE2_12640.13, SHAE2_12640.12, SHAE2_12640.1, SHAE2_12640.4, SHAE2_12640.5, SHAE2_12640.14, SHAE2_12640.15, SHAE2_12640.11, SHAE2_12640.8, SHAE2_12640.2, SHAE2_12640.3, SHAE2_12640.6, SHAE2_12640.10, SHAE2_12640.9, SHAE2_12640.7
OG0000078	T265_10237, T265_16023	SHAE2_6060.1, SHAE2_6060.11, SHAE2_6060.2, SHAE2_6060.8, SHAE2_6060.12, SHAE2_6060.14, SHAE2_6060.10, SHAE2_6060.13, SHAE2_6060.3, SHAE2_6060.7, SHAE2_6060.5, SHAE2_6060.4, SHAE2_6060.6, SHAE2_6060.9
OG0000079	T265_03623	SHAE2_32920.2, SHAE2_32920.1, SHAE2_32920.3
OG0000079	T265_11700	SHAE2_57130.1, SHAE2_57130.2, SHAE2_57130.6, SHAE2_57130.3, SHAE2_57130.8, SHAE2_57130.5, SHAE2_57130.4, SHAE2_57130.7, SHAE2_57130.9
OG0000080	T265_07150, T265_07149	SHAE2_46980.11, SHAE2_46980.13, SHAE2_46980.9, SHAE2_46980.8, SHAE2_46980.2, SHAE2_46980.4, SHAE2_46980.5, SHAE2_46980.6, SHAE2_46980.3, SHAE2_46980.7, SHAE2_46980.12, SHAE2_46980.10, SHAE2_46980.1, SHAE2_46980.14
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	SHAE2_75080.1, SHAE2_72480.1
OG0000082	T265_13150	SHAE2_12290.1
OG0000085	T265_03464, T265_13261, T265_16244	SHAE2_39330.4, SHAE2_39330.1, SHAE2_39330.10, SHAE2_39330.11, SHAE2_39330.12, SHAE2_39330.13, SHAE2_39330.14, SHAE2_39330.2, SHAE2_39330.3, SHAE2_39330.7, SHAE2_39330.15, SHAE2_39330.6, SHAE2_39330.8, SHAE2_39330.5, SHAE2_39330.9
OG0000086	T265_13900	SHAE2_77610.2, SHAE2_77610.11, SHAE2_77610.12, SHAE2_77610.13, SHAE2_77610.8, SHAE2_77610.9, SHAE2_77610.7, SHAE2_77610.10, SHAE2_77610.4, SHAE2_77610.5, SHAE2_77610.6, SHAE2_77610.1, SHAE2_77610.3
OG0000087	T265_01347, T265_12258	SHAE2_56190.11, SHAE2_56190.3, SHAE2_56190.6, SHAE2_56190.8, SHAE2_56190.5, SHAE2_56190.1, SHAE2_56190.7, SHAE2_56190.2, SHAE2_56190.9, SHAE2_56190.4, SHAE2_56190.10
OG0000090	T265_02657, T265_14540	SHAE2_53200.2, SHAE2_53200.3, SHAE2_53200.4, SHAE2_53200.7, SHAE2_53200.6, SHAE2_53200.8, SHAE2_53200.9, SHAE2_53200.10, SHAE2_53200.14, SHAE2_53200.16, SHAE2_53200.17, SHAE2_53200.11, SHAE2_53200.12, SHAE2_53200.18, SHAE2_53200.19, SHAE2_53200.13, SHAE2_53200.1, SHAE2_53200.5, SHAE2_53200.15
OG0000091	T265_04053	SHAE2_51130.24, SHAE2_51130.18, SHAE2_51130.19, SHAE2_51130.28, SHAE2_51130.29, SHAE2_51130.12, SHAE2_51130.1, SHAE2_51130.4, SHAE2_51130.23, SHAE2_51130.21, SHAE2_51130.6, SHAE2_51130.2, SHAE2_51130.25, SHAE2_51130.26, SHAE2_51130.3, SHAE2_51130.17, SHAE2_51130.5, SHAE2_51130.13, SHAE2_51130.16, SHAE2_51130.9, SHAE2_51130.27, SHAE2_51130.11, SHAE2_51130.15, SHAE2_51130.20, SHAE2_51130.22, SHAE2_51130.8, SHAE2_51130.10, SHAE2_51130.14, SHAE2_51130.7
OG0000092	T265_14035, T265_15099	SHAE2_2520.1, SHAE2_2520.3, SHAE2_2520.2
OG0000092	T265_03205	SHAE2_14980.4, SHAE2_14980.3, SHAE2_14980.1, SHAE2_14980.2
OG0000093	T265_08704	SHAE2_43060.1
OG0000093	T265_06064, T265_06061, T265_06063	SHAE2_42250.1, SHAE2_42250.2
OG0000094	T265_06493	SHAE2_10350.10, SHAE2_10350.4, SHAE2_10350.5, SHAE2_10350.9, SHAE2_10350.2, SHAE2_10350.7, SHAE2_10350.14, SHAE2_10350.12, SHAE2_10350.15, SHAE2_10350.17, SHAE2_10350.13, SHAE2_10350.16, SHAE2_10350.18, SHAE2_10350.19, SHAE2_10350.20, SHAE2_10350.21, SHAE2_10350.1, SHAE2_10350.8, SHAE2_10350.3, SHAE2_10350.6, SHAE2_10350.11
OG0000095	T265_08487	SHAE2_65580.5, SHAE2_65580.4, SHAE2_65580.1, SHAE2_65580.2, SHAE2_65580.3, SHAE2_65580.7, SHAE2_65580.8, SHAE2_65580.6, SHAE2_65580.9, SHAE2_65580.11, SHAE2_65580.10
OG0000096	T265_09813	SHAE2_38140.1
OG0000097	T265_02082	SHAE2_7500.13, SHAE2_7500.31, SHAE2_7500.19, SHAE2_7500.6, SHAE2_7500.28, SHAE2_7500.2, SHAE2_7500.17, SHAE2_7500.21, SHAE2_7500.25, SHAE2_7500.26, SHAE2_7500.29, SHAE2_7500.3, SHAE2_7500.8, SHAE2_7500.10, SHAE2_7500.23, SHAE2_7500.5, SHAE2_7500.9, SHAE2_7500.20, SHAE2_7500.11, SHAE2_7500.4, SHAE2_7500.12, SHAE2_7500.14, SHAE2_7500.15, SHAE2_7500.16, SHAE2_7500.18, SHAE2_7500.22, SHAE2_7500.7, SHAE2_7500.1, SHAE2_7500.24, SHAE2_7500.30, SHAE2_7500.27
OG0000098	T265_08810	SHAE2_44010.1, SHAE2_44020.1, SHAE2_44010.2, SHAE2_99810.1, SHAE2_44010.3
OG0000098	T265_16367, T265_15515	SHAE2_71040.5, SHAE2_71040.4, SHAE2_71040.1, SHAE2_71040.2, SHAE2_71040.6, SHAE2_71040.7, SHAE2_71040.3
OG0000099	T265_01131	SHAE2_72020.3, SHAE2_72020.2, SHAE2_72020.1, SHAE2_72020.4, SHAE2_72020.5
OG0000099	T265_02321	SHAE2_76260.1
OG0000102	T265_01574	SHAE2_6460.1, SHAE2_6460.4, SHAE2_6460.5, SHAE2_6460.6, SHAE2_6460.2, SHAE2_6460.3
OG0000102	T265_05632	SHAE2_62580.6, SHAE2_62580.7, SHAE2_62580.2, SHAE2_62580.1, SHAE2_62580.4, SHAE2_62580.3, SHAE2_62580.5
OG0000103	T265_13207	SHAE2_78650.3, SHAE2_78650.4, SHAE2_78650.6, SHAE2_78650.1, SHAE2_78650.2, SHAE2_78650.5, SHAE2_78650.7
OG0000105	T265_07815, T265_03022	SHAE2_8290.24, SHAE2_8290.25, SHAE2_8290.17, SHAE2_8290.22, SHAE2_8290.18, SHAE2_8290.21, SHAE2_8290.10, SHAE2_8290.12, SHAE2_8290.20, SHAE2_8290.23, SHAE2_8290.13, SHAE2_8290.11, SHAE2_8290.15, SHAE2_8290.1, SHAE2_8290.4, SHAE2_8290.5, SHAE2_8290.6, SHAE2_8290.7, SHAE2_8290.16, SHAE2_8290.19, SHAE2_8290.2, SHAE2_8290.3, SHAE2_8290.14, SHAE2_8290.9, SHAE2_8290.8
OG0000108	T265_04554, T265_13536	SHAE2_10210.8, SHAE2_10210.10, SHAE2_10210.4, SHAE2_10210.3, SHAE2_10210.5, SHAE2_10210.11, SHAE2_10210.13, SHAE2_10210.14, SHAE2_10210.15, SHAE2_10210.16, SHAE2_10210.17, SHAE2_10210.2, SHAE2_10210.9, SHAE2_10210.1, SHAE2_10210.12, SHAE2_10210.7, SHAE2_10210.6
OG0000110	T265_08891, T265_08892	SHAE2_32170.1, SHAE2_32120.2, SHAE2_32120.1
OG0000110	T265_08890	SHAE2_32190.2, SHAE2_32190.1
OG0000111	T265_09132	SHAE2_44090.1
OG0000111	T265_08991, T265_14719	SHAE2_33520.1, SHAE2_33520.2
