Orthogroup	opisthorchis_viverrini	schmidtea_mediterranea
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494, T265_00883, T265_13972, T265_07708, T265_07709, T265_14167	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
OG0000022	T265_03268	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3
OG0000024	T265_04524, T265_12877	h1SMcT0022444.1, h1SMcT0022444.2
OG0000024	T265_07098	h1SMcT0018867.1, h1SMcT0018867.2
OG0000024	T265_14936, T265_06010, T265_15612, T265_10293	h1SMcT0018417.1, h1SMcT0017552.1, h1SMcT0002548.1, h1SMcT0002548.2, h1SMcT0016506.1, h1SMcT0014680.1, h1SMcT0020917.1, h1SMcT0020917.2, h1SMcT0011022.1, h1SMcT0020391.1
OG0000024	T265_10896, T265_12043, T265_03132	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2
OG0000024	T265_04046, T265_04047	h1SMcT0010675.1, h1SMcT0012436.1
OG0000026	T265_07485, T265_12778, T265_12779, T265_13344, T265_13367	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3
OG0000028	T265_03596, T265_13290	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3
OG0000029	T265_08214	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3
OG0000029	T265_09600, T265_11026, T265_11028, T265_15320, T265_05522	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	h1SMcT0004609.1
OG0000030	T265_14111	h1SMcT0022545.1
OG0000031	T265_06361	h1SMcT0002175.5, h1SMcT0002175.6
OG0000032	T265_07146	h1SMcT0013288.1, h1SMcT0013302.3, h1SMcT0013288.2, h1SMcT0013302.1, h1SMcT0013302.2
OG0000032	T265_07309	h1SMcT0015528.1, h1SMcT0016625.1, h1SMcT0013860.1, h1SMcT0011024.1, h1SMcT0017238.1
OG0000032	T265_07310	h1SMcT0017710.1
OG0000032	T265_01645	h1SMcT0016933.1, h1SMcT0017699.1
OG0000032	T265_07180	h1SMcT0007869.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1
OG0000035	T265_00972	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2
OG0000037	T265_00630	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3
OG0000040	T265_01293	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935, T265_13418	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1
OG0000047	T265_15705	h1SMcT0019900.1
OG0000049	T265_01286	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2
OG0000049	T265_15552	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3
OG0000050	T265_02127, T265_02652	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4
OG0000052	T265_08730, T265_12065	h1SMcT0006122.2
OG0000052	T265_04421	h1SMcT0020686.1, h1SMcT0020686.2
OG0000052	T265_01537, T265_15906, T265_15950	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1
OG0000052	T265_02480	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1
OG0000052	T265_06797	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2
OG0000053	T265_11166	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2
OG0000054	T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433, T265_08614, T265_13045	h1SMcT0003275.1
OG0000055	T265_07023	h1SMcT0011774.1, h1SMcT0011774.2
OG0000056	T265_13933, T265_07274	h1SMcT0017059.1
OG0000058	T265_07455, T265_13746, T265_14968, T265_14965, T265_09830, T265_12109, T265_14967	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4
OG0000060	T265_13025	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4
OG0000061	T265_02884	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3
OG0000062	T265_10452	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5
OG0000063	T265_09823	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3
OG0000064	T265_15306	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2
OG0000066	T265_07972	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1
OG0000068	T265_12520	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1
OG0000068	T265_06616, T265_13582	h1SMcT0007421.1, h1SMcT0007653.1
OG0000068	T265_03815	h1SMcT0008274.1, h1SMcT0013810.1
OG0000070	T265_10197	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11
OG0000072	T265_13598	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2
OG0000073	T265_11926	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2
OG0000074	T265_06662	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1
OG0000074	T265_09755	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2
OG0000074	T265_13709	h1SMcT0008302.1
OG0000074	T265_10587	h1SMcT0009813.1, h1SMcT0009813.2, h1SMcT0016753.4, h1SMcT0016753.1, h1SMcT0016753.3, h1SMcT0015497.1, h1SMcT0011118.1
OG0000075	T265_02596	h1SMcT0017385.1
OG0000076	T265_01838	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3
OG0000076	T265_09657, T265_14927	h1SMcT0013513.1, h1SMcT0013513.2
OG0000077	T265_07170	h1SMcT0023123.1
OG0000078	T265_10237, T265_16023	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2
OG0000079	T265_03623	h1SMcT0006746.1, h1SMcT0006746.2
OG0000079	T265_11700	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2
OG0000080	T265_07150, T265_07149	h1SMcT0013418.1
OG0000087	T265_01347, T265_12258	h1SMcT0020497.1, h1SMcT0020497.2
OG0000090	T265_02657, T265_14540	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1
OG0000091	T265_04053	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3
OG0000092	T265_14035, T265_15099	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5
OG0000092	T265_03205	h1SMcT0002197.1
OG0000093	T265_08704	h1SMcT0011102.1, h1SMcT0021280.1
OG0000093	T265_06064, T265_06061, T265_06063	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1
OG0000093	T265_06066	h1SMcT0021895.1
OG0000094	T265_06493	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4
OG0000095	T265_08487	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3
OG0000096	T265_09813	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1
OG0000097	T265_02082	h1SMcT0003774.1, h1SMcT0003774.2
OG0000098	T265_08810	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1
OG0000098	T265_16367	h1SMcT0011165.1, h1SMcT0011165.2
OG0000098	T265_15515	h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2
OG0000099	T265_01131	h1SMcT0013445.1, h1SMcT0008305.1
OG0000099	T265_02321	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2
OG0000102	T265_01574, T265_05632	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7
OG0000105	T265_07815, T265_03022	h1SMcT0022377.1
OG0000107	T265_07863	h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2
OG0000107	T265_07360	h1SMcT0011073.1, h1SMcT0007346.1, h1SMcT0007346.2
OG0000108	T265_04554, T265_13536	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2
OG0000110	T265_08891, T265_08892, T265_08890, T265_12894	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3
OG0000111	T265_09132	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2
OG0000111	T265_10340	h1SMcT0001631.1
OG0000116	T265_02129	h1SMcT0000626.1, h1SMcT0000626.2
OG0000119	T265_12920	h1SMcT0002719.1, h1SMcT0002719.5
OG0000123	T265_02792	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9
OG0000125	T265_13688	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4
OG0000127	T265_14567	h1SMcT0019776.1, h1SMcT0019776.2
OG0000128	T265_14408	h1SMcT0019778.1, h1SMcT0019778.2
OG0000129	T265_07587	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4
OG0000130	T265_04661	h1SMcT0009248.1
OG0000132	T265_00680	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1
OG0000133	T265_04893	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2
OG0000134	T265_14784	h1SMcT0006437.1, h1SMcT0006437.2, h1SMcT0006437.3
OG0000135	T265_07991, T265_11510	h1SMcT0016982.1, h1SMcT0016982.5, h1SMcT0016982.6, h1SMcT0016982.3, h1SMcT0016982.2, h1SMcT0016982.4, h1SMcT0009230.3, h1SMcT0009230.4, h1SMcT0009230.2, h1SMcT0009230.1
OG0000136	T265_11527	h1SMcT0000155.1
OG0000138	T265_11205	h1SMcT0020322.1
OG0000138	T265_13897	h1SMcT0012517.1, h1SMcT0003884.5, h1SMcT0003884.11, h1SMcT0003884.12, h1SMcT0003884.4, h1SMcT0003884.7, h1SMcT0003884.10, h1SMcT0003884.6, h1SMcT0003884.8, h1SMcT0003884.1, h1SMcT0003884.9, h1SMcT0003884.2, h1SMcT0003884.13, h1SMcT0003884.3
OG0000139	T265_03450	h1SMcT0002285.1
OG0000140	T265_06793, T265_05820	h1SMcT0010178.1, h1SMcT0010178.3, h1SMcT0010178.2, h1SMcT0010489.1, h1SMcT0018139.18
OG0000142	T265_03704, T265_07291, T265_15439	h1SMcT0003538.1, h1SMcT0003538.2, h1SMcT0003539.1, h1SMcT0003540.1
OG0000144	T265_01304	h1SMcT0012404.1
OG0000144	T265_12086, T265_06668, T265_13782	h1SMcT0013799.1, h1SMcT0013799.2, h1SMcT0003030.1, h1SMcT0003031.1, h1SMcT0003041.1
OG0000145	T265_14746	h1SMcT0013665.1
OG0000146	T265_07748	h1SMcT0006897.1, h1SMcT0006897.2
OG0000146	T265_07423, T265_07424	h1SMcT0006790.1, h1SMcT0019090.1, h1SMcT0014811.1, h1SMcT0020845.1
OG0000146	T265_08388, T265_03861	h1SMcT0021690.2
OG0000149	T265_03520	h1SMcT0005461.1, h1SMcT0005461.2
OG0000151	T265_06094	h1SMcT0006201.1
OG0000152	T265_06135	h1SMcT0001548.1
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113, T265_01183, T265_12738, T265_12737, T265_01181	h1SMcT0022006.1, h1SMcT0020307.1, h1SMcT0020306.1, h1SMcT0020306.2, h1SMcT0020303.1, h1SMcT0020304.1, h1SMcT0020305.1
OG0000154	T265_03183	h1SMcT0021968.1, h1SMcT0021968.8, h1SMcT0021968.2, h1SMcT0021968.4, h1SMcT0021968.5, h1SMcT0021968.7, h1SMcT0021968.3, h1SMcT0021968.6
OG0000155	T265_08299	h1SMcT0001030.1
OG0000156	T265_00887, T265_16074, T265_03696, T265_15374	h1SMcT0017161.2, h1SMcT0002712.1
OG0000157	T265_06998, T265_11481	h1SMcT0018006.1, h1SMcT0018092.1, h1SMcT0018092.2, h1SMcT0005006.1, h1SMcT0005006.2
OG0000157	T265_01460, T265_12799	h1SMcT0001155.1, h1SMcT0001155.2, h1SMcT0016076.1, h1SMcT0020455.1
OG0000157	T265_09530, T265_09531, T265_14875	h1SMcT0013969.1, h1SMcT0013969.2
OG0000158	T265_10234, T265_16363	h1SMcT0014818.1, h1SMcT0014818.2, h1SMcT0014818.3
OG0000158	T265_15093	h1SMcT0021962.1, h1SMcT0021962.2, h1SMcT0021962.3, h1SMcT0021962.14, h1SMcT0021962.13, h1SMcT0021962.17, h1SMcT0021962.6, h1SMcT0021962.11, h1SMcT0021962.12, h1SMcT0021962.15, h1SMcT0021962.16, h1SMcT0021962.4, h1SMcT0021962.5, h1SMcT0021962.7, h1SMcT0021962.8, h1SMcT0021962.9, h1SMcT0021962.10
OG0000159	T265_08123	h1SMcT0014227.1, h1SMcT0014227.2
OG0000161	T265_02978	h1SMcT0012867.1
OG0000164	T265_13175	h1SMcT0014759.1
OG0000164	T265_00309	h1SMcT0021090.1
OG0000164	T265_07457	h1SMcT0015612.1, h1SMcT0015612.2, h1SMcT0005445.1
OG0000165	T265_11439	h1SMcT0018166.5
OG0000167	T265_06764	h1SMcT0022585.6, h1SMcT0022585.1, h1SMcT0022585.3, h1SMcT0022585.2, h1SMcT0022585.5, h1SMcT0022585.4
OG0000172	T265_00976	h1SMcT0021603.1, h1SMcT0021603.2, h1SMcT0021603.3
OG0000173	T265_02233	h1SMcT0003247.2, h1SMcT0003247.3, h1SMcT0003247.1, h1SMcT0003247.4, h1SMcT0003247.5
OG0000175	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591	h1SMcT0007906.1, h1SMcT0018636.1, h1SMcT0020881.1, h1SMcT0002497.1, h1SMcT0019151.1
OG0000177	T265_00175	h1SMcT0004379.1, h1SMcT0004379.9, h1SMcT0004379.10, h1SMcT0004379.5, h1SMcT0004379.4, h1SMcT0004379.2, h1SMcT0004379.8, h1SMcT0004379.3, h1SMcT0004379.7, h1SMcT0004379.6
OG0000179	T265_00043	h1SMcT0009705.1, h1SMcT0009705.3, h1SMcT0009705.2, h1SMcT0009705.4
OG0000180	T265_07809	h1SMcT0016760.1, h1SMcT0016760.2
OG0000182	T265_01820, T265_01818	h1SMcT0000076.3, h1SMcT0000076.2, h1SMcT0000076.4
OG0000182	T265_15629, T265_15631	h1SMcT0000188.1, h1SMcT0000194.1, h1SMcT0000194.2
OG0000184	T265_08817, T265_08819, T265_01209, T265_01210, T265_16188	h1SMcT0015425.1, h1SMcT0015431.1
OG0000186	T265_11314	h1SMcT0015722.1, h1SMcT0013906.1, h1SMcT0013910.1
OG0000187	T265_00019	h1SMcT0002580.8, h1SMcT0002580.4, h1SMcT0002580.5, h1SMcT0002580.7, h1SMcT0002580.1, h1SMcT0002580.6, h1SMcT0002580.9, h1SMcT0002580.3, h1SMcT0002580.2, h1SMcT0009621.1, h1SMcT0009621.3, h1SMcT0009621.2
OG0000190	T265_05088	h1SMcT0007247.1
OG0000192	T265_05152, T265_13696	h1SMcT0015806.1
OG0000193	T265_12730, T265_08127	h1SMcT0000127.2, h1SMcT0000127.1, h1SMcT0000127.4
OG0000194	T265_13065	h1SMcT0008145.3, h1SMcT0008145.1, h1SMcT0008145.2
OG0000195	T265_01951	h1SMcT0000620.1, h1SMcT0000620.2, h1SMcT0000620.3
OG0000196	T265_01003, T265_08738	h1SMcT0011061.1, h1SMcT0021737.1
OG0000196	T265_00594	h1SMcT0019064.1
OG0000196	T265_13637	h1SMcT0001685.1
OG0000198	T265_15102	h1SMcT0018079.1
OG0000199	T265_11013	h1SMcT0004687.1, h1SMcT0004687.2
OG0000201	T265_08652	h1SMcT0009180.1
OG0000206	T265_14079	h1SMcT0011551.1, h1SMcT0011551.2
OG0000208	T265_08097	h1SMcT0004753.1, h1SMcT0004753.2, h1SMcT0004753.3
OG0000209	T265_07713	h1SMcT0007034.1, h1SMcT0007034.2
OG0000210	T265_02395, T265_06283	h1SMcT0010216.1, h1SMcT0010216.2, h1SMcT0010216.3
OG0000211	T265_11721	h1SMcT0007637.1
OG0000212	T265_13666	h1SMcT0001354.11, h1SMcT0001354.6, h1SMcT0001354.7, h1SMcT0001354.1, h1SMcT0001354.10, h1SMcT0001354.2, h1SMcT0001354.5, h1SMcT0001354.8, h1SMcT0001354.9, h1SMcT0001354.3, h1SMcT0001354.4
OG0000213	T265_00196	h1SMcT0008371.1
OG0000217	T265_09745	h1SMcT0004924.1, h1SMcT0004924.2, h1SMcT0010355.1, h1SMcT0018649.1
OG0000218	T265_14088	h1SMcT0004177.1
OG0000219	T265_02042	h1SMcT0000079.1
OG0000221	T265_08529, T265_14604	h1SMcT0016464.1, h1SMcT0016464.3
OG0000221	T265_05121, T265_05122, T265_16332	h1SMcT0005270.1
OG0000221	T265_16220, T265_14170	h1SMcT0001057.1
OG0000221	T265_06922	h1SMcT0018055.1
OG0000222	T265_06992	h1SMcT0013919.1
OG0000223	T265_10052	h1SMcT0005506.1
OG0000224	T265_04345	h1SMcT0009940.1, h1SMcT0009940.2
OG0000225	T265_12484	h1SMcT0010147.1, h1SMcT0010147.2
OG0000226	T265_14337	h1SMcT0018850.1
OG0000227	T265_07183	h1SMcT0015210.2, h1SMcT0015210.1, h1SMcT0015210.3
OG0000228	T265_08398	h1SMcT0003868.2, h1SMcT0003868.6, h1SMcT0003868.3, h1SMcT0003868.1, h1SMcT0003868.4, h1SMcT0003868.5
OG0000229	T265_08218, T265_14510	h1SMcT0002720.3, h1SMcT0023063.1, h1SMcT0002720.5, h1SMcT0002720.1, h1SMcT0002720.2, h1SMcT0002720.4
OG0000230	T265_12726	h1SMcT0016060.1, h1SMcT0003291.4, h1SMcT0003291.1, h1SMcT0003291.5, h1SMcT0003291.2, h1SMcT0003291.3
OG0000235	T265_12698, T265_01014	h1SMcT0013355.1, h1SMcT0013355.2, h1SMcT0015883.2, h1SMcT0015883.3, h1SMcT0003207.1, h1SMcT0003207.3, h1SMcT0014695.1, h1SMcT0017363.2
OG0000236	T265_03312	h1SMcT0020439.1, h1SMcT0020439.3, h1SMcT0020439.2
OG0000237	T265_01303	h1SMcT0016068.1
OG0000239	T265_04264	h1SMcT0019805.1, h1SMcT0019805.3, h1SMcT0019812.2, h1SMcT0019812.4, h1SMcT0019812.6, h1SMcT0019812.7, h1SMcT0019812.5, h1SMcT0019812.3, h1SMcT0019812.1, h1SMcT0019805.2
OG0000240	T265_07380, T265_07378	h1SMcT0022933.1, h1SMcT0022933.2
OG0000242	T265_13733	h1SMcT0006326.1, h1SMcT0008643.1
OG0000244	T265_15435	h1SMcT0003275.2, h1SMcT0003275.3, h1SMcT0003275.4
OG0000245	T265_14174, T265_14575	h1SMcT0020223.2, h1SMcT0020223.13, h1SMcT0020223.12, h1SMcT0020223.8, h1SMcT0020223.9, h1SMcT0020223.4, h1SMcT0020223.10, h1SMcT0020223.5, h1SMcT0020223.11, h1SMcT0020223.6, h1SMcT0020223.7, h1SMcT0020223.3
