Orthogroup	opisthorchis_viverrini	schistosoma_margrebowiei
OG0000012	T265_16252, T265_09012	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4, SMRG1_40800.59
OG0000014	T265_11882	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8
OG0000015	T265_11957	SMRG1_66420.1, SMRG1_66430.1
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	SMRG1_38470.1
OG0000015	T265_01476, T265_15570	SMRG1_43860.1
OG0000019	T265_07377	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2, SMRG1_36800.13, SMRG1_36800.14
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	SMRG1_7940.1, SMRG1_7940.2
OG0000021	T265_00883	SMRG1_5610.1, SMRG1_5620.1, SMRG1_5580.1, SMRG1_5580.2, SMRG1_5590.2, SMRG1_5590.4, SMRG1_5590.1, SMRG1_5590.3
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	SMRG1_5600.1
OG0000022	T265_03268	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	SMRG1_41500.1, SMRG1_2960.1
OG0000023	T265_09097	SMRG1_31990.1, SMRG1_66930.1, SMRG1_71600.1, SMRG1_70570.1, SMRG1_74600.1, SMRG1_22550.1, SMRG1_79770.1, SMRG1_86430.1, SMRG1_86500.1, SMRG1_86510.1, SMRG1_8990.1, SMRG1_32280.1, SMRG1_81680.1, SMRG1_17810.1
OG0000024	T265_04524, T265_12877	SMRG1_23720.1
OG0000024	T265_08845	SMRG1_92680.1
OG0000024	T265_10896, T265_12043, T265_03132	SMRG1_64800.1
OG0000026	T265_07485	SMRG1_80090.1, SMRG1_80090.2
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	SMRG1_72900.1, SMRG1_72830.1
OG0000027	T265_14036	SMRG1_40140.16, SMRG1_40140.7, SMRG1_40140.17, SMRG1_40140.8, SMRG1_40140.29, SMRG1_40140.26, SMRG1_40140.30, SMRG1_40140.11, SMRG1_40140.34, SMRG1_40140.19, SMRG1_40140.31, SMRG1_40140.9, SMRG1_40140.32, SMRG1_40140.27, SMRG1_40140.14, SMRG1_40140.15, SMRG1_40140.13, SMRG1_40140.35, SMRG1_40140.25, SMRG1_40140.12, SMRG1_40140.33, SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2, SMRG1_40140.28, SMRG1_40140.6, SMRG1_40140.4, SMRG1_40140.5, SMRG1_40140.21, SMRG1_40140.18, SMRG1_40140.20, SMRG1_40140.3, SMRG1_40140.23, SMRG1_40140.22, SMRG1_40140.1
OG0000028	T265_03596, T265_13290	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5
OG0000029	T265_08214	SMRG1_58130.1
OG0000029	T265_00572, T265_00570, T265_00571	SMRG1_88400.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	SMRG1_89280.1, SMRG1_89270.1
OG0000030	T265_14111	SMRG1_6460.1
OG0000031	T265_06361	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5
OG0000032	T265_03331	SMRG1_57890.2, SMRG1_57890.1
OG0000032	T265_07282	SMRG1_9210.1, SMRG1_80140.1, SMRG1_9980.1, SMRG1_80130.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	SMRG1_92940.1, SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1, SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1, SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1
OG0000035	T265_00972	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5
OG0000037	T265_00630	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4, SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6
OG0000038	T265_12650	SMRG1_79170.1, SMRG1_72890.1, SMRG1_41330.1, SMRG1_8280.1, SMRG1_85040.1, SMRG1_37190.1, SMRG1_90050.1, SMRG1_57240.1, SMRG1_57240.2, SMRG1_57240.3, SMRG1_21280.1, SMRG1_79490.1, SMRG1_24460.1, SMRG1_34740.11
OG0000040	T265_01293	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	SMRG1_40000.1, SMRG1_40000.2, SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3, SMRG1_39890.1, SMRG1_39890.2, SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1, SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1
OG0000043	T265_02563	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3, SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2, SMRG1_86970.2, SMRG1_86970.1, SMRG1_86980.1
OG0000047	T265_15705	SMRG1_60690.1, SMRG1_6040.1, SMRG1_20040.1, SMRG1_81660.1, SMRG1_22990.1, SMRG1_23000.1, SMRG1_23000.2, SMRG1_23000.3
OG0000049	T265_01286	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8
OG0000049	T265_15552	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6
OG0000050	T265_02127, T265_02652	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5
OG0000052	T265_08730, T265_12065	SMRG1_28750.1
OG0000052	T265_04421	SMRG1_3130.1
OG0000052	T265_02480	SMRG1_600.1
OG0000052	T265_06797	SMRG1_67530.1
OG0000053	T265_11166	SMRG1_16530.1, SMRG1_16530.2
OG0000055	T265_07023	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3
OG0000058	T265_07455	SMRG1_91250.1
OG0000058	T265_13746	SMRG1_80930.1
OG0000060	T265_13025	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9
OG0000061	T265_02884	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16
OG0000062	T265_10452	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3, SMRG1_5900.7, SMRG1_5900.8
OG0000063	T265_09823	SMRG1_39470.1, SMRG1_39470.7, SMRG1_39470.5, SMRG1_39470.3, SMRG1_39470.2, SMRG1_39470.4, SMRG1_39470.6, SMRG1_39470.8, SMRG1_39470.9
OG0000064	T265_15306	SMRG1_4070.1, SMRG1_4070.2
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	SMRG1_23080.1, SMRG1_23130.4, SMRG1_23130.2, SMRG1_23130.1, SMRG1_23130.3, SMRG1_23100.1, SMRG1_23100.2, SMRG1_23120.2, SMRG1_23120.5, SMRG1_23120.4, SMRG1_23120.1, SMRG1_23120.3
OG0000066	T265_07972	SMRG1_37230.2, SMRG1_37230.4, SMRG1_37230.3, SMRG1_37230.7, SMRG1_37230.5, SMRG1_37230.10, SMRG1_37230.6, SMRG1_37230.8, SMRG1_37230.9, SMRG1_37230.1
OG0000068	T265_12520	SMRG1_54400.1
OG0000068	T265_06616	SMRG1_95970.1
OG0000068	T265_13582	SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1, SMRG1_36660.5
OG0000068	T265_03815	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1
OG0000070	T265_10197	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9
OG0000071	T265_11263, T265_11264	SMRG1_34220.1
OG0000072	T265_13598	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6
OG0000073	T265_11926	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3
OG0000074	T265_06662	SMRG1_200.1
OG0000074	T265_09755	SMRG1_89070.1
OG0000074	T265_14825	SMRG1_10950.2, SMRG1_10950.1
OG0000074	T265_13709	SMRG1_89160.1
OG0000075	T265_02596	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14
OG0000076	T265_01838	SMRG1_91970.1
OG0000076	T265_09657, T265_14927	SMRG1_3760.1, SMRG1_3760.2
OG0000077	T265_07170	SMRG1_10440.1
OG0000078	T265_10237, T265_16023	SMRG1_5310.17, SMRG1_5310.18, SMRG1_5310.5, SMRG1_5310.3, SMRG1_5310.6, SMRG1_5310.7, SMRG1_5310.9, SMRG1_5310.10, SMRG1_5310.2, SMRG1_5310.4, SMRG1_5310.1, SMRG1_5310.11, SMRG1_5310.12, SMRG1_5310.13, SMRG1_5310.14, SMRG1_5310.16, SMRG1_5310.8, SMRG1_5310.15
OG0000079	T265_03623	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2
OG0000079	T265_11700	SMRG1_54470.2, SMRG1_54470.1, SMRG1_54470.3
OG0000080	T265_07150, T265_07149	SMRG1_44390.5, SMRG1_44390.3, SMRG1_44390.2, SMRG1_44390.4, SMRG1_44390.10, SMRG1_44390.13, SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	SMRG1_46070.1, SMRG1_69350.1, SMRG1_97400.1, SMRG1_68870.1, SMRG1_94960.1, SMRG1_97780.1, SMRG1_38950.1, SMRG1_35080.1, SMRG1_60660.1, SMRG1_64790.1, SMRG1_80190.1, SMRG1_88170.1, SMRG1_89010.1, SMRG1_62550.1, SMRG1_59120.1, SMRG1_63220.1, SMRG1_24030.1, SMRG1_50930.1, SMRG1_75350.1, SMRG1_3790.1
OG0000082	T265_13150	SMRG1_10080.1
OG0000085	T265_03464, T265_13261, T265_16244	SMRG1_36520.1, SMRG1_36520.4, SMRG1_36520.6, SMRG1_36520.3, SMRG1_36520.5, SMRG1_36520.2, SMRG1_36520.8, SMRG1_36520.7
OG0000086	T265_13900	SMRG1_73820.11, SMRG1_73820.4, SMRG1_73820.12, SMRG1_73820.2, SMRG1_73820.10, SMRG1_73820.3, SMRG1_73820.5, SMRG1_73820.6, SMRG1_73820.8, SMRG1_73820.7, SMRG1_73820.1, SMRG1_73820.9
OG0000087	T265_01347, T265_12258	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6
OG0000090	T265_02657, T265_14540	SMRG1_50660.11, SMRG1_50660.1, SMRG1_50660.4, SMRG1_50660.5, SMRG1_50660.10, SMRG1_50660.2, SMRG1_50660.3, SMRG1_50660.6, SMRG1_50660.7, SMRG1_50660.8, SMRG1_50660.9
OG0000091	T265_04053	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6
OG0000092	T265_14035, T265_15099	SMRG1_2010.1, SMRG1_2020.1
OG0000092	T265_03205	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4
OG0000093	T265_08704	SMRG1_40250.1
OG0000093	T265_06064, T265_06061, T265_06063	SMRG1_45910.1, SMRG1_45920.2, SMRG1_45920.3, SMRG1_45920.5, SMRG1_45930.1, SMRG1_45920.1, SMRG1_45920.4
OG0000094	T265_06493	SMRG1_8140.1, SMRG1_8140.2
OG0000095	T265_08487	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13
OG0000096	T265_09813	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2
OG0000097	T265_02082	SMRG1_6670.1
OG0000098	T265_08810	SMRG1_41340.1
OG0000098	T265_16367, T265_15515	SMRG1_67360.1
OG0000099	T265_01131	SMRG1_68280.1
OG0000099	T265_02321	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4
OG0000102	T265_01574	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4
OG0000102	T265_05632	SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2
OG0000103	T265_13207	SMRG1_74810.4, SMRG1_74810.5, SMRG1_74810.6, SMRG1_74810.8, SMRG1_74810.3, SMRG1_74810.2, SMRG1_74810.9, SMRG1_74810.7, SMRG1_74810.1
OG0000105	T265_07815, T265_03022	SMRG1_7360.5, SMRG1_7360.7, SMRG1_7360.1, SMRG1_7360.3, SMRG1_7360.8, SMRG1_7360.2, SMRG1_7360.4, SMRG1_7360.6
OG0000107	T265_07863	SMRG1_56920.1
OG0000107	T265_07360	SMRG1_51720.1
OG0000108	T265_04554, T265_13536	SMRG1_8000.1, SMRG1_8000.7, SMRG1_8000.4, SMRG1_8000.5, SMRG1_8000.8, SMRG1_8000.3, SMRG1_8000.2, SMRG1_8000.6, SMRG1_8000.9, SMRG1_8000.10
OG0000110	T265_08891, T265_08892	SMRG1_29960.1, SMRG1_29930.1, SMRG1_29930.2
OG0000110	T265_08890	SMRG1_29980.2, SMRG1_29980.1
OG0000111	T265_09132	SMRG1_41440.1
OG0000111	T265_08991, T265_14719	SMRG1_31280.1
OG0000112	T265_10678	SMRG1_84400.11, SMRG1_84400.3, SMRG1_84400.8, SMRG1_84400.10, SMRG1_84400.1, SMRG1_84400.5, SMRG1_84400.12, SMRG1_84400.2, SMRG1_84400.4, SMRG1_84400.6, SMRG1_84400.9, SMRG1_84400.7
OG0000114	T265_15923, T265_05226, T265_11486	SMRG1_95870.6, SMRG1_95870.1, SMRG1_95870.2, SMRG1_95870.8, SMRG1_95870.5, SMRG1_95870.7, SMRG1_95870.11, SMRG1_95870.9, SMRG1_95870.10, SMRG1_95870.12, SMRG1_95870.3, SMRG1_95870.4
OG0000115	T265_14637	SMRG1_36780.14, SMRG1_36780.16, SMRG1_36780.18, SMRG1_36780.2, SMRG1_36780.3, SMRG1_36780.4, SMRG1_36780.1, SMRG1_36780.11, SMRG1_36780.12, SMRG1_36780.13, SMRG1_36780.5, SMRG1_36780.6, SMRG1_36780.9, SMRG1_36780.10, SMRG1_36780.15, SMRG1_36780.17, SMRG1_36780.7, SMRG1_36780.8
OG0000116	T265_02129	SMRG1_50820.3, SMRG1_50820.5, SMRG1_50820.4, SMRG1_50820.7, SMRG1_50820.10, SMRG1_50820.1, SMRG1_50820.2, SMRG1_50820.8, SMRG1_50820.6, SMRG1_50820.9
OG0000117	T265_11206	SMRG1_30060.1
OG0000119	T265_12920	SMRG1_96690.2, SMRG1_96690.1, SMRG1_96690.3, SMRG1_96690.8, SMRG1_96690.7, SMRG1_96690.4, SMRG1_96690.6, SMRG1_96690.5, SMRG1_96700.1
OG0000120	T265_09108	SMRG1_30130.18, SMRG1_30130.12, SMRG1_30130.13, SMRG1_30130.8, SMRG1_30130.10, SMRG1_30130.11, SMRG1_30130.15, SMRG1_30130.16, SMRG1_30130.7, SMRG1_30130.9, SMRG1_30130.5, SMRG1_30130.1, SMRG1_30130.2, SMRG1_30130.4, SMRG1_30130.3, SMRG1_30130.14, SMRG1_30130.17, SMRG1_30130.6
OG0000122	T265_15228, T265_15224	SMRG1_80900.10, SMRG1_80900.1, SMRG1_80900.5, SMRG1_80900.8, SMRG1_80900.4, SMRG1_80900.9, SMRG1_80900.2, SMRG1_80900.3, SMRG1_80900.6, SMRG1_80900.7
OG0000123	T265_02792	SMRG1_78990.10, SMRG1_78990.2, SMRG1_78990.1, SMRG1_78990.4, SMRG1_78990.5, SMRG1_78990.15, SMRG1_78990.17, SMRG1_78990.16, SMRG1_78990.14, SMRG1_78990.11, SMRG1_78990.13, SMRG1_78990.9, SMRG1_78990.7, SMRG1_78990.3, SMRG1_78990.8, SMRG1_78990.12, SMRG1_78990.6
OG0000125	T265_13688	SMRG1_290.1, SMRG1_290.10, SMRG1_290.2, SMRG1_290.4, SMRG1_290.9, SMRG1_290.5, SMRG1_290.6, SMRG1_290.3, SMRG1_290.11, SMRG1_290.12, SMRG1_290.13, SMRG1_290.8, SMRG1_290.7
OG0000127	T265_14567	SMRG1_21350.2, SMRG1_21350.5, SMRG1_21350.7, SMRG1_21350.8, SMRG1_21350.1, SMRG1_21350.3, SMRG1_21350.4, SMRG1_21350.9, SMRG1_21350.6
OG0000128	T265_14408	SMRG1_43330.1
OG0000129	T265_07587	SMRG1_32350.1, SMRG1_32350.5, SMRG1_32350.2, SMRG1_32350.6, SMRG1_32350.9, SMRG1_32350.4, SMRG1_32350.8, SMRG1_32350.7, SMRG1_32350.10, SMRG1_32350.3
OG0000130	T265_04661	SMRG1_82830.1, SMRG1_82830.3, SMRG1_82830.4, SMRG1_82830.2, SMRG1_82830.5
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	SMRG1_8260.1, SMRG1_8330.1, SMRG1_86920.1, SMRG1_86880.1, SMRG1_86960.1, SMRG1_86930.1, SMRG1_86890.1, SMRG1_86900.1, SMRG1_86850.1, SMRG1_86860.1, SMRG1_86870.1
OG0000132	T265_00680	SMRG1_35650.2, SMRG1_35650.1, SMRG1_35650.4, SMRG1_35650.3
OG0000133	T265_04893	SMRG1_31690.2, SMRG1_31690.3, SMRG1_31690.7, SMRG1_31690.6, SMRG1_31690.1, SMRG1_31690.4, SMRG1_31690.5
OG0000134	T265_14784	SMRG1_19740.6, SMRG1_19740.4, SMRG1_19740.1, SMRG1_19740.5, SMRG1_19740.9, SMRG1_19740.2, SMRG1_19740.7, SMRG1_19740.8
OG0000135	T265_07991, T265_11510	SMRG1_12940.1
OG0000136	T265_11527	SMRG1_7080.1, SMRG1_7050.1
OG0000138	T265_11205	SMRG1_88720.1, SMRG1_88720.2, SMRG1_88720.3
OG0000138	T265_13897	SMRG1_45290.1, SMRG1_45290.2, SMRG1_45290.4, SMRG1_45290.3
OG0000139	T265_03450	SMRG1_3830.2, SMRG1_3830.1, SMRG1_3830.3, SMRG1_3830.4, SMRG1_3830.5
OG0000140	T265_06793, T265_05820	SMRG1_76690.5, SMRG1_76690.25, SMRG1_76690.24, SMRG1_76690.20, SMRG1_76690.13, SMRG1_76690.7, SMRG1_76690.29, SMRG1_76690.11, SMRG1_76690.28, SMRG1_76690.30, SMRG1_76690.1, SMRG1_76690.27, SMRG1_76690.15, SMRG1_76690.23, SMRG1_76690.6, SMRG1_76690.17, SMRG1_76690.22, SMRG1_76690.9, SMRG1_76690.12, SMRG1_76690.3, SMRG1_76690.4, SMRG1_76690.2, SMRG1_76690.31, SMRG1_76690.26, SMRG1_76690.14, SMRG1_76690.8, SMRG1_76690.10, SMRG1_76690.16, SMRG1_76690.19, SMRG1_76690.21, SMRG1_76690.18
OG0000142	T265_03704, T265_07291, T265_15439	SMRG1_19600.1, SMRG1_19610.1, SMRG1_19620.1, SMRG1_19620.2, SMRG1_19660.1, SMRG1_19630.1, SMRG1_19650.1
OG0000143	T265_04146, T265_13432	SMRG1_69810.1, SMRG1_69760.1, SMRG1_69750.1, SMRG1_69800.1, SMRG1_69770.1, SMRG1_69780.1
