Orthogroup	opisthorchis_viverrini	s.mekongi
OG0000024	T265_10896, T265_12043, T265_03132	KAK4471475.1
OG0000026	T265_07485	KAK4470973.1
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	KAK4470239.1, KAK4470240.1, KAK4470216.1
OG0000027	T265_14036	KAK4473677.1, KAK4472147.1
OG0000028	T265_03596, T265_13290	KAK4470768.1
OG0000029	T265_08214	KAK4471130.1
OG0000029	T265_00572, T265_00570, T265_00571	KAK4468717.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	KAK4468699.1, KAK4468698.1
OG0000030	T265_14111	KAK4476063.1
OG0000031	T265_06361	KAK4475389.1
OG0000032	T265_03331	KAK4476283.1, KAK4476284.1
OG0000032	T265_07282	KAK4470045.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	KAK4468479.1, KAK4468478.1, KAK4471028.1, KAK4471029.1
OG0000035	T265_00972	KAK4475274.1
OG0000036	T265_15083	KAK4472140.1, KAK4468990.1, KAK4474348.1, KAK4471044.1, KAK4467539.1, KAK4472178.1, KAK4474273.1
OG0000037	T265_00630	KAK4471851.1, KAK4471850.1
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	KAK4472150.1, KAK4472153.1, KAK4473688.1, KAK4472151.1, KAK4472152.1
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	KAK4468903.1, KAK4468904.1
OG0000049	T265_01286	KAK4470136.1, KAK4470137.1
OG0000049	T265_15552	KAK4470598.1
OG0000050	T265_02127, T265_02652	KAK4469367.1
OG0000052	T265_08730, T265_12065	KAK4472821.1
OG0000052	T265_04421	KAK4474336.1
OG0000052	T265_02480	KAK4474946.1
OG0000052	T265_06797	KAK4471620.1
OG0000053	T265_11166	KAK4475177.1, KAK4475178.1
OG0000054	T265_02804	KAK4471074.1, KAK4472139.1, KAK4469996.1
OG0000055	T265_07023	KAK4471575.1, KAK4471564.1
OG0000056	T265_13933	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1
OG0000058	T265_07455	KAK4468525.1
OG0000058	T265_13746	KAK4470069.1
OG0000060	T265_13025	KAK4471247.1
OG0000061	T265_02884	KAK4469486.1
OG0000062	T265_10452	KAK4475970.1
OG0000063	T265_09823	KAK4473734.1
OG0000064	T265_15306	KAK4475705.1
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	KAK4473358.1, KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	T265_07972	KAK4473833.1
OG0000068	T265_12520	KAK4469181.1
OG0000068	T265_06616	KAK4467758.1
OG0000068	T265_13582	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	T265_03815	KAK4472801.1
OG0000070	T265_10197	KAK4472878.1
OG0000071	T265_11263, T265_11264	KAK4472253.1
OG0000072	T265_13598	KAK4468648.1
OG0000073	T265_11926	KAK4469816.1
OG0000074	T265_06662	KAK4476006.1
OG0000074	T265_09755	KAK4468714.1
OG0000074	T265_14825	KAK4474596.1
OG0000074	T265_13709	KAK4468705.1
OG0000075	T265_02596	KAK4472282.1
OG0000076	T265_01838	KAK4468620.1
OG0000076	T265_09657, T265_14927	KAK4467358.1, KAK4475671.1
OG0000077	T265_07170	KAK4475941.1
OG0000078	T265_10237, T265_16023	KAK4467476.1, KAK4475827.1
OG0000079	T265_03623	KAK4472724.1
OG0000080	T265_07150, T265_07149	KAK4472503.1
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1
OG0000082	T265_13150	KAK4476263.1
OG0000085	T265_03464, T265_13261, T265_16244	KAK4474010.1
OG0000086	T265_13900	KAK4470561.1
OG0000087	T265_01347, T265_12258	KAK4469513.1
OG0000090	T265_02657, T265_14540	KAK4469374.1
OG0000091	T265_04053	KAK4469611.1
OG0000092	T265_14035, T265_15099	KAK4475365.1
OG0000092	T265_03205	KAK4474711.1
OG0000093	T265_08704	KAK4473668.1
OG0000093	T265_06064, T265_06061, T265_06063	KAK4467328.1, KAK4467335.1
OG0000094	T265_06493	KAK4475997.1
OG0000095	T265_08487	KAK4471403.1, KAK4471978.1
OG0000096	T265_09813	KAK4474123.1
OG0000097	T265_02082	KAK4476042.1, KAK4476041.1
OG0000098	T265_08810	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	T265_16367, T265_15515	KAK4471639.1
OG0000099	T265_01131	KAK4471562.1
OG0000099	T265_02321	KAK4470190.1
OG0000102	T265_01574	KAK4475905.1
OG0000102	T265_05632	KAK4472110.1
OG0000103	T265_13207	KAK4470657.1
OG0000105	T265_07815, T265_03022	KAK4474244.1, KAK4476082.1
OG0000107	T265_07863	KAK4469978.1
OG0000108	T265_04554, T265_13536	KAK4475981.1
OG0000110	T265_08891, T265_08892	KAK4472451.1, KAK4472446.1
OG0000110	T265_08890	KAK4472453.1
OG0000111	T265_09132	KAK4473064.1
OG0000111	T265_08991, T265_14719	KAK4472666.1
OG0000112	T265_10678	KAK4468035.1
OG0000114	T265_15923, T265_05226, T265_11486	KAK4467770.1
OG0000115	T265_14637	KAK4473986.1
OG0000116	T265_02129	KAK4469396.1
OG0000117	T265_11206	KAK4472459.1
OG0000119	T265_12920	KAK4467682.1
OG0000120	T265_09108	KAK4472468.1
OG0000122	T265_15228, T265_15224	KAK4470066.1
OG0000123	T265_02792	KAK4470855.1
OG0000125	T265_13688	KAK4474534.1
OG0000127	T265_14567	KAK4475492.1
OG0000128	T265_14408	KAK4473532.1
OG0000129	T265_07587	KAK4474206.1
OG0000130	T265_04661	KAK4467983.1
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	KAK4476229.1, KAK4468902.1
OG0000132	T265_00680	KAK4474101.1
OG0000133	T265_04893	KAK4472626.1
OG0000134	T265_14784	KAK4475011.1
OG0000135	T265_07991, T265_11510	KAK4474731.1
OG0000136	T265_11527	KAK4476189.1, KAK4476190.1
OG0000138	T265_11205	KAK4468744.1
OG0000138	T265_13897	KAK4473697.1
OG0000139	T265_03450	KAK4475677.1
OG0000140	T265_06793, T265_05820	KAK4470680.1, KAK4470033.1
OG0000142	T265_03704, T265_07291, T265_15439	KAK4475021.1, KAK4475019.1, KAK4475022.1
OG0000143	T265_04146, T265_13432	KAK4471520.1, KAK4471522.1
OG0000144	T265_01304	KAK4469871.1
OG0000144	T265_12086	KAK4473145.1
OG0000144	T265_06668, T265_13782	KAK4469772.1
OG0000145	T265_14746	KAK4472181.1
OG0000146	T265_07748	KAK4468443.1
OG0000146	T265_07423, T265_07424	KAK4469748.1
OG0000146	T265_08388	KAK4472748.1
OG0000146	T265_03861	KAK4469097.1
OG0000149	T265_03520	KAK4469180.1
OG0000151	T265_06094	KAK4471438.1, KAK4471439.1
OG0000152	T265_06135	KAK4474412.1
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113	KAK4469387.1
OG0000154	T265_03183	KAK4475184.1, KAK4475186.1
OG0000155	T265_08299	KAK4473822.1
OG0000156	T265_00887, T265_16074	KAK4475038.1
OG0000156	T265_03696, T265_15374	KAK4475039.1
OG0000157	T265_06998, T265_11481	KAK4471808.1
OG0000157	T265_01460, T265_12799	KAK4472697.1
OG0000157	T265_09530, T265_09531, T265_14875	KAK4467690.1
OG0000158	T265_15093	KAK4475829.1, KAK4473934.1, KAK4475828.1
OG0000159	T265_08123	KAK4471746.1
OG0000160	T265_10045	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1
OG0000161	T265_02978	KAK4474169.1
OG0000164	T265_13175	KAK4471960.1
OG0000164	T265_00011	KAK4470406.1
OG0000164	T265_00309	KAK4469800.1
OG0000164	T265_07457	KAK4472495.1
OG0000165	T265_11439	KAK4471264.1
OG0000167	T265_06764	KAK4470364.1
OG0000169	T265_09476	KAK4467756.1, KAK4472610.1
OG0000169	T265_02738, T265_02739, T265_02737	KAK4467718.1, KAK4467716.1, KAK4467717.1
OG0000170	T265_12986	KAK4470632.1
OG0000172	T265_00976	KAK4475142.1
OG0000173	T265_02233	KAK4468268.1
OG0000175	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591	KAK4473136.1, KAK4473125.1, KAK4473114.1, KAK4473106.1
OG0000176	T265_11069	KAK4467326.1, KAK4474298.1
OG0000177	T265_00175	KAK4472104.1
OG0000178	T265_14067, T265_06556, T265_06557	KAK4472894.1
OG0000179	T265_00043	KAK4469016.1, KAK4469902.1
OG0000180	T265_07809	KAK4468049.1, KAK4468060.1, KAK4468069.1, KAK4468040.1
OG0000182	T265_01820, T265_01818	KAK4471145.1
OG0000182	T265_15629, T265_15631	KAK4472799.1
OG0000183	T265_03893	KAK4472516.1
OG0000184	T265_08817, T265_08819	KAK4469199.1
OG0000184	T265_01209, T265_01210, T265_16188	KAK4469198.1
OG0000185	T265_08504	KAK4472507.1
OG0000186	T265_11314	KAK4470241.1, KAK4470242.1
OG0000187	T265_00019	KAK4469682.1
OG0000188	T265_08339	KAK4472612.1
OG0000189	T265_02452, T265_02451	KAK4476062.1
OG0000190	T265_05088	KAK4469926.1
OG0000191	T265_04702, T265_04703	KAK4473909.1, KAK4473910.1
OG0000192	T265_05152, T265_13696	KAK4471381.1
OG0000193	T265_12730, T265_08127	KAK4471189.1
OG0000194	T265_13065	KAK4470371.1
OG0000195	T265_01951	KAK4469314.1
OG0000196	T265_01003, T265_08738	KAK4468938.1
OG0000196	T265_13637	KAK4474524.1
OG0000198	T265_15102	KAK4474280.1
OG0000199	T265_11013	KAK4472571.1
OG0000201	T265_08652	KAK4473643.1
OG0000202	T265_10935	KAK4469384.1
OG0000203	T265_11084	KAK4472530.1, KAK4472529.1
OG0000205	T265_09508	KAK4475157.1
OG0000206	T265_14079	KAK4474171.1
OG0000207	T265_08744, T265_03601, T265_08745, T265_03786, T265_10778	KAK4474093.1, KAK4474090.1, KAK4474092.1, KAK4474089.1, KAK4474091.1
OG0000208	T265_08097	KAK4470297.1
OG0000209	T265_07713	KAK4476246.1
OG0000210	T265_02395, T265_06283	KAK4468068.1
OG0000211	T265_11721	KAK4476043.1
OG0000212	T265_13666	KAK4473242.1
OG0000213	T265_00196	KAK4474754.1
OG0000214	T265_07833	KAK4475773.1
OG0000217	T265_09745	KAK4472243.1
OG0000218	T265_14088	KAK4474847.1
OG0000219	T265_02042	KAK4471869.1
OG0000220	T265_02843	KAK4470648.1
OG0000221	T265_08529, T265_14604	KAK4476180.1
OG0000221	T265_06922	KAK4467410.1, KAK4475529.1
OG0000222	T265_06992	KAK4470706.1
OG0000223	T265_10052	KAK4476292.1
OG0000224	T265_04345	KAK4475913.1
OG0000225	T265_12484	KAK4475585.1
OG0000226	T265_14337	KAK4474133.1
OG0000227	T265_07183	KAK4471428.1
OG0000228	T265_08398	KAK4473445.1
OG0000229	T265_08218, T265_14510	KAK4472065.1
OG0000230	T265_12726	KAK4471407.1
OG0000234	T265_10531	KAK4473948.1
OG0000235	T265_12698, T265_01014	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1
OG0000236	T265_03312	KAK4469919.1
OG0000237	T265_01303	KAK4469703.1
OG0000239	T265_04264	KAK4473024.1
OG0000240	T265_07380, T265_07378	KAK4472743.1
OG0000241	T265_06506, T265_11039	KAK4476019.1, KAK4476020.1
OG0000241	T265_07506	KAK4473290.1
OG0000242	T265_13733	KAK4475949.1
OG0000243	T265_05124	KAK4475854.1, KAK4475855.1
OG0000244	T265_15435	KAK4475963.1
OG0000245	T265_14174, T265_14575	KAK4475214.1
OG0000246	T265_10932	KAK4472531.1
OG0000247	T265_15298	KAK4475795.1
OG0000248	T265_04925	KAK4471206.1
OG0000249	T265_03415	KAK4475119.1
OG0000250	T265_06450	KAK4473679.1
OG0000251	T265_09163	KAK4470876.1
OG0000252	T265_02607	KAK4473757.1
OG0000253	T265_10374	KAK4474966.1
OG0000254	T265_06296, T265_06297	KAK4476211.1
OG0000255	T265_13093	KAK4472819.1
OG0000257	T265_14891	KAK4472840.1
OG0000258	T265_07887	KAK4474630.1, KAK4474631.1
OG0000259	T265_11833	KAK4472857.1
OG0000260	T265_02300	KAK4475472.1
OG0000261	T265_01967	KAK4471010.1
OG0000262	T265_02991	KAK4472696.1
OG0000263	T265_01552	KAK4471877.1
OG0000264	T265_06018	KAK4468105.1
OG0000264	T265_00952	KAK4475793.1, KAK4467257.1
OG0000267	T265_06971, T265_06972	KAK4468325.1, KAK4468328.1
OG0000268	T265_01937	KAK4470182.1
OG0000268	T265_14773	KAK4476119.1
OG0000269	T265_07262	KAK4475673.1, KAK4467473.1
OG0000270	T265_05581	KAK4472943.1
OG0000271	T265_15071	KAK4469463.1
OG0000272	T265_07370, T265_06215	KAK4474616.1
OG0000273	T265_01594	KAK4476008.1
OG0000274	T265_12983	KAK4470994.1
OG0000275	T265_10067	KAK4473868.1
OG0000276	T265_02335	KAK4470557.1
OG0000281	T265_06212	KAK4474290.1
OG0000281	T265_15299	KAK4474343.1
OG0000282	T265_14842	KAK4469862.1
OG0000283	T265_15051	KAK4471958.1
OG0000285	T265_08710	KAK4474033.1
OG0000286	T265_04472, T265_04474, T265_04727	KAK4473497.1
OG0000287	T265_10894	KAK4470322.1
OG0000288	T265_09141	KAK4468827.1
OG0000289	T265_15426	KAK4474869.1
OG0000290	T265_15145	KAK4473084.1
OG0000290	T265_12657	KAK4475486.1
OG0000291	T265_04365	KAK4475323.1
OG0000292	T265_06608	KAK4472551.1
OG0000293	T265_03762, T265_05025	KAK4473120.1
OG0000293	T265_15333	KAK4471757.1
OG0000293	T265_10243	KAK4469130.1
OG0000294	T265_09655	KAK4475667.1, KAK4467246.1
OG0000295	T265_14299	KAK4468851.1
OG0000296	T265_14159, T265_14160	KAK4475927.1
OG0000296	T265_05818	KAK4475928.1
OG0000297	T265_10571	KAK4470949.1
OG0000298	T265_13422	KAK4473556.1
OG0000298	T265_13679	KAK4473971.1
OG0000299	T265_00596	KAK4471833.1
OG0000300	T265_13509	KAK4474560.1
OG0000301	T265_12938	KAK4470788.1
OG0000302	T265_10713	KAK4472070.1
OG0000304	T265_12343, T265_14866	KAK4474657.1, KAK4474658.1
OG0000305	T265_05934	KAK4469933.1
OG0000306	T265_14560	KAK4474242.1, KAK4476079.1
OG0000307	T265_07841	KAK4476060.1, KAK4468423.1
OG0000311	T265_00973	KAK4475143.1
OG0000312	T265_01921	KAK4472510.1
OG0000313	T265_09150	KAK4467534.1, KAK4467392.1, KAK4467538.1
OG0000314	T265_01890	KAK4473872.1
OG0000315	T265_11685, T265_11690	KAK4472350.1
OG0000315	T265_04922	KAK4471203.1
OG0000316	T265_01535	KAK4475212.1
OG0000317	T265_05123	KAK4474513.1, KAK4474523.1
OG0000318	T265_07846, T265_14409	KAK4468970.1, KAK4467294.1
OG0000319	T265_01888	KAK4472555.1
OG0000320	T265_07800	KAK4472423.1
OG0000320	T265_04040	KAK4469809.1
OG0000321	T265_04495	KAK4473857.1
OG0000322	T265_16264, T265_11089, T265_16340	KAK4473133.1
OG0000323	T265_03109	KAK4474841.1, KAK4474302.1
OG0000324	T265_14121, T265_06759	KAK4469242.1
OG0000325	T265_01773	KAK4470078.1
OG0000326	T265_00641, T265_03157	KAK4472025.1
OG0000328	T265_14757, T265_16117	KAK4472902.1
OG0000329	T265_09935	KAK4474582.1
OG0000332	T265_06732	KAK4471340.1
OG0000333	T265_12002, T265_16355	KAK4475969.1
OG0000334	T265_01786, T265_13083	KAK4467411.1, KAK4470467.1
OG0000335	T265_00217	KAK4475523.1
OG0000336	T265_10908	KAK4475727.1
OG0000336	T265_00993	KAK4474964.1
OG0000337	T265_00559	KAK4472168.1
OG0000339	T265_13393	KAK4467425.1, KAK4472411.1
OG0000340	T265_02762	KAK4467851.1
OG0000341	T265_00227, T265_10507, T265_02670, T265_11860, T265_02303, T265_07144, T265_12151, T265_10850, T265_01497, T265_10851, T265_12148	KAK4467250.1
OG0000342	T265_06197	KAK4475138.1
OG0000342	T265_03316	KAK4475770.1
OG0000342	T265_12666	KAK4475114.1
OG0000343	T265_13980	KAK4472517.1
OG0000344	T265_08425	KAK4475916.1
OG0000345	T265_05949	KAK4469954.1
OG0000346	T265_02834	KAK4467924.1
OG0000347	T265_10741	KAK4472404.1
OG0000348	T265_16293, T265_14984, T265_16184	KAK4475811.1, KAK4467403.1, KAK4475810.1
OG0000349	T265_04375	KAK4474470.1
OG0000350	T265_06604	KAK4473804.1
OG0000351	T265_06873	KAK4475929.1
OG0000352	T265_13524	KAK4474141.1
OG0000353	T265_07437	KAK4470494.1
OG0000354	T265_10467	KAK4475576.1
OG0000355	T265_00276, T265_16001	KAK4476092.1
OG0000356	T265_05555	KAK4476066.1
OG0000357	T265_04749	KAK4473507.1
OG0000359	T265_02465	KAK4474769.1
OG0000360	T265_09152	KAK4475054.1
OG0000361	T265_00382	KAK4469276.1
OG0000362	T265_09349	KAK4471736.1
OG0000363	T265_04138	KAK4473533.1
OG0000364	T265_04227	KAK4472841.1
OG0000365	T265_13943	KAK4471088.1, KAK4472119.1
OG0000366	T265_09296, T265_14802	KAK4469245.1
OG0000367	T265_01910	KAK4472601.1
OG0000368	T265_13246, T265_13243	KAK4475121.1
OG0000369	T265_07721, T265_07722	KAK4467393.1, KAK4475644.1
OG0000370	T265_00271, T265_00274, T265_03617, T265_00269, T265_00272	KAK4473705.1
OG0000371	T265_06459	KAK4473814.1
OG0000372	T265_01134, T265_03329	KAK4474367.1, KAK4474369.1
OG0000373	T265_14558	KAK4474690.1
OG0000374	T265_11863	KAK4473375.1
OG0000375	T265_06672	KAK4475736.1, KAK4467517.1
OG0000376	T265_11878	KAK4471759.1
OG0000378	T265_05203	KAK4473152.1
OG0000380	T265_15157, T265_03707	KAK4475417.1
OG0000381	T265_00434, T265_15881	KAK4469535.1
OG0000381	T265_00435	KAK4469537.1
OG0000382	T265_02482	KAK4468567.1, KAK4468564.1, KAK4468566.1, KAK4467541.1, KAK4467323.1, KAK4468641.1, KAK4468644.1, KAK4468642.1
OG0000383	T265_08239	KAK4473926.1
OG0000384	T265_09198, T265_09197	KAK4472592.1
OG0000385	T265_01125	KAK4471741.1
OG0000385	T265_09329, T265_09330	KAK4471739.1
OG0000386	T265_11583	KAK4475366.1
OG0000387	T265_06420	KAK4475570.1
OG0000388	T265_11998	KAK4468526.1
OG0000389	T265_00782	KAK4470603.1
OG0000390	T265_11108, T265_11109	KAK4468203.1
OG0000391	T265_09227	KAK4474521.1
OG0000392	T265_14483	KAK4471811.1
OG0000393	T265_15423	KAK4469470.1
OG0000394	T265_08783	KAK4471941.1
OG0000395	T265_08193	KAK4470950.1
OG0000396	T265_13488	KAK4467519.1, KAK4475731.1
OG0000397	T265_01775	KAK4470932.1
OG0000398	T265_10761, T265_10760	KAK4475045.1, KAK4475519.1, KAK4475514.1
OG0000399	T265_14889, T265_03269	KAK4473103.1, KAK4473104.1
OG0000400	T265_14201, T265_08063, T265_08065, T265_10204	KAK4473612.1, KAK4473602.1, KAK4474079.1
OG0000401	T265_05655	KAK4467755.1
OG0000405	T265_09724	KAK4473889.1
OG0000406	T265_05341	KAK4473809.1
OG0000407	T265_12731	KAK4471734.1
OG0000408	T265_07479	KAK4472973.1
OG0000409	T265_03788	KAK4468703.1
OG0000411	T265_13195	KAK4472925.1
OG0000412	T265_09842	KAK4470212.1
OG0000413	T265_02540	KAK4471924.1
OG0000414	T265_06878, T265_06876, T265_06877	KAK4475938.1
OG0000415	T265_13626, T265_04888	KAK4472715.1
OG0000416	T265_07350	KAK4468438.1
OG0000416	T265_09488	KAK4468726.1
OG0000417	T265_01300	KAK4469705.1
OG0000418	T265_07406, T265_14544	KAK4467700.1
OG0000419	T265_00950	KAK4475912.1, KAK4475910.1
OG0000420	T265_01216	KAK4469112.1
OG0000421	T265_13603	KAK4471594.1
OG0000422	T265_01327	KAK4469383.1
OG0000425	T265_00752	KAK4472740.1
OG0000426	T265_12440	KAK4469886.1, KAK4469884.1
OG0000427	T265_13396	KAK4469545.1
OG0000428	T265_08399	KAK4473446.1
OG0000429	T265_07901	KAK4467920.1
OG0000429	T265_10847	KAK4473670.1
OG0000430	T265_11497	KAK4472238.1
OG0000431	T265_00379	KAK4469274.1
OG0000432	T265_10186	KAK4467945.1
OG0000433	T265_13054	KAK4473662.1
OG0000434	T265_05326	KAK4467761.1
OG0000435	T265_01204	KAK4469872.1
OG0000436	T265_03713	KAK4473268.1
OG0000437	T265_13806	KAK4475593.1
OG0000438	T265_09760	KAK4471311.1
OG0000439	T265_02427	KAK4468198.1
OG0000440	T265_08332	KAK4468410.1, KAK4468411.1
OG0000441	T265_00253	KAK4476204.1
OG0000441	T265_07836	KAK4474578.1
OG0000442	T265_09824	KAK4474032.1
OG0000444	T265_11552	KAK4470100.1
OG0000445	T265_12793	KAK4471266.1, KAK4471265.1
OG0000446	T265_02125	KAK4476206.1
OG0000447	T265_03299	KAK4469770.1
OG0000448	T265_05426	KAK4472646.1
OG0000449	T265_03361	KAK4471127.1
OG0000450	T265_11348, T265_01101	KAK4473185.1
OG0000451	T265_05748	KAK4468749.1
OG0000452	T265_09821	KAK4473733.1
OG0000453	T265_06719	KAK4471747.1
OG0000454	T265_02660	KAK4470198.1
OG0000455	T265_13543	KAK4467551.1, KAK4467556.1, KAK4467557.1, KAK4467558.1
OG0000456	T265_00028	KAK4470105.1
OG0000457	T265_06520	KAK4472829.1, KAK4472828.1
OG0000458	T265_14731	KAK4472547.1
OG0000459	T265_12673	KAK4476162.1
OG0000460	T265_02175	KAK4474648.1, KAK4467531.1, KAK4474647.1
OG0000465	T265_12004, T265_15852	KAK4470509.1
OG0000466	T265_00717, T265_09088	KAK4469330.1
OG0000467	T265_06392, T265_14024, T265_15837	KAK4473827.1
OG0000468	T265_13212	KAK4470611.1
OG0000469	T265_06265	KAK4475681.1, KAK4475679.1
OG0000470	T265_02354	KAK4469640.1
OG0000471	T265_04176	KAK4468673.1
OG0000472	T265_08287, T265_14526, T265_08288	KAK4473823.1
OG0000473	T265_09380	KAK4475783.1
OG0000474	T265_02290	KAK4474977.1
OG0000474	T265_12460	KAK4469729.1
OG0000475	T265_14673	KAK4471300.1, KAK4471299.1
OG0000476	T265_07244	KAK4475400.1
OG0000477	T265_01343	KAK4469093.1
OG0000479	T265_11380	KAK4472631.1
OG0000480	T265_00389, T265_13589, T265_12846, T265_01772, T265_01033, T265_11693, T265_01859, T265_07661, T265_10676, T265_03719, T265_08374, T265_04371, T265_02027, T265_11038, T265_06133, T265_09446, T265_08269, T265_15662, T265_11568, T265_08423, T265_12491, T265_15632, T265_04892, T265_02994, T265_13852, T265_01186, T265_13974, T265_12776, T265_05455, T265_09979, T265_00308, T265_04912, T265_05271, T265_00689, T265_08138, T265_05417, T265_10575, T265_14180, T265_01804, T265_00016, T265_09320, T265_09509, T265_04945, T265_00925, T265_02510, T265_10253, T265_03397	KAK4471463.1
OG0000481	T265_00530	KAK4471219.1
OG0000482	T265_12690	KAK4474371.1
OG0000483	T265_06074	KAK4471160.1
OG0000484	T265_09654	KAK4467873.1
OG0000485	T265_13168	KAK4474743.1
OG0000490	T265_01437, T265_16063	KAK4471519.1
OG0000491	T265_14314	KAK4472485.1
OG0000493	T265_15065	KAK4469124.1
OG0000493	T265_15185, T265_10559	KAK4472786.1, KAK4472785.1
OG0000494	T265_10046	KAK4470618.1, KAK4470758.1, KAK4476182.1, KAK4472408.1
OG0000495	T265_15686	KAK4475594.1
OG0000496	T265_07584	KAK4473897.1
OG0000497	T265_07772	KAK4475832.1
OG0000498	T265_12716, T265_12902	KAK4472209.1
OG0000499	T265_12977	KAK4470653.1
OG0000500	T265_12964	KAK4475112.1
OG0000501	T265_13462	KAK4472851.1
OG0000502	T265_07436, T265_06036	KAK4474193.1, KAK4474094.1
OG0000503	T265_11949	KAK4475659.1
OG0000504	T265_03966	KAK4469069.1
OG0000505	T265_12584	KAK4473033.1
OG0000506	T265_07729, T265_16032	KAK4475979.1, KAK4475980.1
OG0000507	T265_02979, T265_07797, T265_07796	KAK4472652.1
OG0000508	T265_10226, T265_16175	KAK4475295.1
OG0000509	T265_06851, T265_06853, T265_06854, T265_14152	KAK4469240.1, KAK4469667.1
OG0000510	T265_03984, T265_03985, T265_13373	KAK4470887.1, KAK4470889.1
OG0000512	T265_12454	KAK4469151.1
OG0000514	T265_01214, T265_01215	KAK4469103.1
OG0000515	T265_00984, T265_00985	KAK4474608.1
OG0000516	T265_03354	KAK4471404.1, KAK4471405.1
OG0000517	T265_01106	KAK4472849.1
OG0000521	T265_12415	KAK4470167.1
