Orthogroup	opisthorchis_viverrini	trichobilharzia_regenti
OG0000010	T265_13421	TREG1_134950.1, TREG1_46500.1, TREG1_143760.1, TREG1_139440.1, TREG1_49970.1, TREG1_106200.1, TREG1_14390.1, TREG1_25160.1, TREG1_83450.1, TREG1_4370.1, TREG1_4380.1, TREG1_50630.1, TREG1_137650.1, TREG1_61070.1, TREG1_68140.1, TREG1_98050.1, TREG1_94720.1, TREG1_3360.2, TREG1_80700.1
OG0000012	T265_16252, T265_09012	TREG1_45790.1
OG0000014	T265_11882	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1
OG0000015	T265_11957	TREG1_82560.1, TREG1_82570.1
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	TREG1_44970.1
OG0000015	T265_01525	TREG1_51340.1
OG0000015	T265_04378	TREG1_129100.1
OG0000019	T265_07377	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	TREG1_7080.1
OG0000021	T265_00883	TREG1_13160.1, TREG1_13170.1, TREG1_13180.1, TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5, TREG1_13140.1, TREG1_13140.2, TREG1_13140.3
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	TREG1_13150.1
OG0000022	T265_03268	TREG1_58780.1
OG0000023	T265_09097	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1
OG0000024	T265_04524, T265_12877	TREG1_48810.1
OG0000024	T265_03511	TREG1_103930.1
OG0000024	T265_01869	TREG1_122360.1
OG0000024	T265_07294, T265_14255	TREG1_103920.1, TREG1_103920.2
OG0000024	T265_07098	TREG1_110330.1
OG0000024	T265_10896, T265_12043, T265_03132	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1
OG0000026	T265_07485	TREG1_108810.1
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	TREG1_100830.1, TREG1_100840.1
OG0000027	T265_14036	TREG1_41010.1
OG0000028	T265_03596, T265_13290	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2
OG0000029	T265_08214	TREG1_77780.2, TREG1_77780.1
OG0000029	T265_00572, T265_00570, T265_00571	TREG1_125210.1
OG0000029	T265_09600	TREG1_27530.2
OG0000029	T265_11026	TREG1_27530.1, TREG1_27540.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	TREG1_124060.1, TREG1_124050.1
OG0000030	T265_14111	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1
OG0000031	T265_06361	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9
OG0000032	T265_07146	TREG1_56670.1
OG0000032	T265_03331	TREG1_77570.1, TREG1_77590.1, TREG1_77600.1, TREG1_77610.1
OG0000032	T265_07282	TREG1_77560.1
OG0000032	T265_07180	TREG1_29630.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	TREG1_128470.1, TREG1_103670.1, TREG1_103680.1, TREG1_103680.2
OG0000035	T265_00972	TREG1_21190.1, TREG1_21180.1
OG0000036	T265_15083	TREG1_63270.1
OG0000037	T265_00630	TREG1_88330.1, TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1, TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3
OG0000040	T265_01293	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	TREG1_41180.1, TREG1_41180.2, TREG1_138040.1, TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2
OG0000043	T265_02563	TREG1_37960.2, TREG1_37960.9, TREG1_37960.3, TREG1_37960.10, TREG1_37960.1, TREG1_37960.6, TREG1_37960.5, TREG1_37960.7, TREG1_37960.8, TREG1_37960.4
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3
OG0000047	T265_15705	TREG1_115800.1, TREG1_109470.1, TREG1_109470.4, TREG1_109470.6, TREG1_109470.5, TREG1_109470.7, TREG1_109470.2, TREG1_109470.3, TREG1_48980.6, TREG1_48980.3, TREG1_1760.4, TREG1_48980.1, TREG1_48980.2, TREG1_48980.5, TREG1_1760.3, TREG1_1760.1, TREG1_1760.2, TREG1_1750.1, TREG1_1750.2, TREG1_48980.4, TREG1_1750.3, TREG1_48980.7, TREG1_10650.1
OG0000049	T265_01286	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4
OG0000049	T265_15552	TREG1_104790.1
OG0000050	T265_02127, T265_02652	TREG1_61870.1, TREG1_61870.2
OG0000052	T265_08730, T265_12065	TREG1_49560.1, TREG1_49560.2
OG0000052	T265_04421	TREG1_1120.1, TREG1_1140.1
OG0000052	T265_01537, T265_15906, T265_15950	TREG1_13340.1
OG0000052	T265_02480	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2
OG0000052	T265_06797	TREG1_82400.1
OG0000053	T265_11166	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9
OG0000054	T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433, T265_08614, T265_13045	TREG1_78260.1, TREG1_125050.1, TREG1_108180.1, TREG1_49720.1, TREG1_138980.1, TREG1_138980.2, TREG1_138980.3, TREG1_145510.1, TREG1_60480.1, TREG1_60480.2, TREG1_97910.2, TREG1_10200.1, TREG1_51670.2, TREG1_113750.28, TREG1_128510.1, TREG1_88620.1, TREG1_24310.1, TREG1_51670.1
OG0000055	T265_07023	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5
OG0000056	T265_07274	TREG1_137290.1
OG0000058	T265_07455	TREG1_125580.1
OG0000058	T265_13746	TREG1_101190.1, TREG1_101210.1
OG0000060	T265_13025	TREG1_87890.1
OG0000061	T265_02884	TREG1_76900.1, TREG1_76910.1
OG0000063	T265_09823	TREG1_43920.1, TREG1_43920.2
OG0000064	T265_15306	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	TREG1_32260.1, TREG1_32260.2, TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2
OG0000066	T265_07972	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12
OG0000068	T265_12520	TREG1_71380.1
OG0000068	T265_06616	TREG1_131340.1, TREG1_131340.2
OG0000068	T265_13582	TREG1_55730.1
OG0000068	T265_03815	TREG1_49690.1
OG0000070	T265_10197	TREG1_42860.1
OG0000071	T265_11263, T265_11264	TREG1_120540.2, TREG1_120540.7, TREG1_120540.4, TREG1_120540.1, TREG1_120540.10, TREG1_120540.11, TREG1_120540.13, TREG1_120540.3, TREG1_120540.8, TREG1_120540.9, TREG1_120540.5, TREG1_120540.6, TREG1_120540.12, TREG1_120550.3, TREG1_120550.6, TREG1_120550.1, TREG1_120550.2, TREG1_120550.4, TREG1_120550.5, TREG1_120550.7, TREG1_53830.1, TREG1_53830.3, TREG1_53830.4, TREG1_53830.5, TREG1_53830.6, TREG1_53830.7, TREG1_53830.2, TREG1_53830.8, TREG1_53830.9, TREG1_61220.1, TREG1_61220.2
OG0000072	T265_13598	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15
OG0000073	T265_11926	TREG1_65500.1, TREG1_65510.1
OG0000074	T265_06662	TREG1_9890.1
OG0000074	T265_09755	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2
OG0000074	T265_14825	TREG1_20790.1
OG0000074	T265_13709	TREG1_124660.1
OG0000075	T265_02596	TREG1_53440.1, TREG1_53440.2
OG0000076	T265_01838	TREG1_126320.1, TREG1_126330.1
OG0000076	T265_09657, T265_14927	TREG1_910.2, TREG1_910.1, TREG1_920.1
OG0000077	T265_07170	TREG1_9470.1, TREG1_9470.2
OG0000078	T265_10237, T265_16023	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4
OG0000079	T265_03623	TREG1_52960.1
OG0000079	T265_11700	TREG1_71980.1, TREG1_71980.5, TREG1_71980.2, TREG1_71980.4, TREG1_71980.3
OG0000080	T265_07150, T265_07149	TREG1_40460.2, TREG1_40460.3, TREG1_40460.4, TREG1_40460.5, TREG1_40460.1, TREG1_40460.6
OG0000082	T265_13150	TREG1_7110.14, TREG1_7110.8, TREG1_7110.1, TREG1_7110.11, TREG1_7110.2, TREG1_7110.3, TREG1_7110.4, TREG1_7110.5, TREG1_7110.6, TREG1_7110.9, TREG1_7110.12, TREG1_7110.10, TREG1_7110.7, TREG1_7110.13
OG0000085	T265_03464, T265_13261, T265_16244	TREG1_54260.1, TREG1_54250.1
OG0000086	T265_13900	TREG1_100910.2, TREG1_100910.3, TREG1_100910.8, TREG1_100910.6, TREG1_100910.5, TREG1_100910.4, TREG1_100910.10, TREG1_100910.1, TREG1_100910.7, TREG1_100910.9
OG0000087	T265_01347, T265_12258	TREG1_69010.1
OG0000090	T265_02657, T265_14540	TREG1_61990.5, TREG1_61990.6, TREG1_61990.1, TREG1_61990.12, TREG1_61990.13, TREG1_61990.2, TREG1_61990.3, TREG1_61990.4, TREG1_61990.8, TREG1_62010.1, TREG1_62030.1, TREG1_61990.7
OG0000091	T265_04053	TREG1_63980.1, TREG1_63970.1
OG0000092	T265_14035, T265_15099	TREG1_108950.6, TREG1_108950.3, TREG1_108950.4, TREG1_108950.2, TREG1_108950.1, TREG1_108950.5, TREG1_108950.7
OG0000092	T265_03205	TREG1_28070.1
OG0000093	T265_08704	TREG1_40800.1
OG0000093	T265_06064, T265_06061, T265_06063	TREG1_36490.1, TREG1_36500.1, TREG1_36510.1, TREG1_36520.1, TREG1_36540.1, TREG1_36560.1, TREG1_36550.1
OG0000094	T265_06493	TREG1_6800.1
OG0000095	T265_08487	TREG1_88160.1, TREG1_88160.2, TREG1_88160.4, TREG1_88160.5, TREG1_88160.3
OG0000096	T265_09813	TREG1_50750.1, TREG1_50750.4, TREG1_50750.5, TREG1_50750.6, TREG1_50750.2, TREG1_50750.3
OG0000097	T265_02082	TREG1_6190.1
OG0000098	T265_08810	TREG1_36530.1
OG0000098	T265_16367, T265_15515	TREG1_89850.1
OG0000099	T265_01131	TREG1_92100.1, TREG1_92090.1, TREG1_92150.1
OG0000099	T265_02321	TREG1_100730.1
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	TREG1_54500.1, TREG1_93110.1, TREG1_76940.1, TREG1_129930.1, TREG1_113050.1, TREG1_97820.1, TREG1_113020.1, TREG1_60720.1, TREG1_110550.1, TREG1_760.1, TREG1_126180.1
OG0000102	T265_01574	TREG1_121500.1, TREG1_12110.1, TREG1_12100.1, TREG1_12100.2
OG0000102	T265_05632	TREG1_78640.2, TREG1_78640.1, TREG1_78640.3
OG0000103	T265_13207	TREG1_103240.4, TREG1_103240.8, TREG1_103240.1, TREG1_103240.2, TREG1_103240.7, TREG1_103240.9, TREG1_103240.5, TREG1_103240.3, TREG1_103240.6
OG0000105	T265_07815, T265_03022	TREG1_4000.1, TREG1_3990.1
OG0000107	T265_07863	TREG1_73890.1
OG0000108	T265_04554, T265_13536	TREG1_6870.5, TREG1_6870.6, TREG1_6870.4, TREG1_6870.3, TREG1_6870.1, TREG1_6870.2
OG0000110	T265_08891, T265_08892	TREG1_47950.1, TREG1_48000.1
OG0000110	T265_08890	TREG1_48020.1
OG0000111	T265_09132	TREG1_33100.1
OG0000111	T265_08991, T265_14719	TREG1_50000.1
OG0000112	T265_10678	TREG1_117660.1
OG0000114	T265_15923, T265_05226, T265_11486	TREG1_134270.1, TREG1_134270.2
OG0000115	T265_14637	TREG1_45770.1
OG0000116	T265_02129	TREG1_67890.4, TREG1_67890.2, TREG1_67890.5, TREG1_67890.1, TREG1_67890.3
OG0000117	T265_11206	TREG1_48240.1, TREG1_48240.4, TREG1_48240.2, TREG1_48240.3
OG0000119	T265_12920	TREG1_135860.5, TREG1_135860.3, TREG1_135860.4, TREG1_135860.7, TREG1_135860.6, TREG1_135860.9, TREG1_135860.10, TREG1_135860.1, TREG1_135860.2, TREG1_135860.11, TREG1_135860.8
OG0000120	T265_09108	TREG1_47680.6, TREG1_47680.10, TREG1_47680.1, TREG1_47680.2, TREG1_47680.3, TREG1_47680.5, TREG1_47680.8, TREG1_47680.9, TREG1_47680.4, TREG1_47680.7
OG0000122	T265_15228, T265_15224	TREG1_101160.8, TREG1_101160.1, TREG1_101160.2, TREG1_101160.7, TREG1_101160.3, TREG1_101160.4, TREG1_101160.5, TREG1_101160.6
OG0000123	T265_02792	TREG1_104380.1, TREG1_104380.2, TREG1_104380.3
OG0000125	T265_13688	TREG1_11410.12, TREG1_11410.5, TREG1_11410.7, TREG1_11410.11, TREG1_11410.3, TREG1_11410.4, TREG1_11410.8, TREG1_11410.1, TREG1_11410.2, TREG1_11410.10, TREG1_11410.6, TREG1_11410.9
OG0000127	T265_14567	TREG1_54350.1
OG0000128	T265_14408	TREG1_42700.1, TREG1_42710.1
OG0000129	T265_07587	TREG1_51790.1
OG0000130	T265_04661	TREG1_114030.3, TREG1_114030.1, TREG1_114030.2
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	TREG1_11060.2, TREG1_11060.5, TREG1_11060.1, TREG1_11060.4, TREG1_11060.6, TREG1_11060.3, TREG1_10880.1
OG0000132	T265_00680	TREG1_52710.1, TREG1_52710.2
OG0000133	T265_04893	TREG1_46850.1
OG0000134	T265_14784	TREG1_16070.6, TREG1_16070.7, TREG1_16070.4, TREG1_16070.1, TREG1_16070.10, TREG1_16070.11, TREG1_16070.12, TREG1_16070.13, TREG1_16070.16, TREG1_16070.18, TREG1_16070.19, TREG1_16070.20, TREG1_16070.22, TREG1_16070.23, TREG1_16070.8, TREG1_16070.9, TREG1_16070.15, TREG1_16070.2, TREG1_16070.17, TREG1_16070.21, TREG1_16070.3, TREG1_16070.5, TREG1_16070.14
OG0000135	T265_07991, T265_11510	TREG1_30030.1
OG0000136	T265_11527	TREG1_10930.1, TREG1_10930.3, TREG1_10930.6, TREG1_10930.7, TREG1_10930.4, TREG1_10930.5, TREG1_10930.2
OG0000138	T265_11205	TREG1_120930.1, TREG1_120930.3, TREG1_120930.2
OG0000138	T265_13897	TREG1_35980.1, TREG1_35980.2, TREG1_35980.4, TREG1_35980.3
OG0000139	T265_03450	TREG1_3840.1
OG0000140	T265_06793, T265_05820	TREG1_105170.1, TREG1_105160.1
OG0000142	T265_03704, T265_07291, T265_15439	TREG1_22240.1, TREG1_22210.1, TREG1_22220.1, TREG1_22220.2, TREG1_22230.1, TREG1_22250.1
OG0000143	T265_04146, T265_13432	TREG1_90200.1, TREG1_92810.1, TREG1_92810.2, TREG1_92840.1, TREG1_90670.8, TREG1_90800.1, TREG1_92750.1, TREG1_92750.2, TREG1_92750.3, TREG1_92750.4, TREG1_92820.1, TREG1_93230.1, TREG1_92670.1, TREG1_92680.1, TREG1_92710.2, TREG1_92760.1, TREG1_92770.1, TREG1_92710.1, TREG1_92780.1, TREG1_92620.1, TREG1_92650.1, TREG1_93270.1, TREG1_93280.1, TREG1_93260.1, TREG1_93290.1, TREG1_93240.1, TREG1_93250.1, TREG1_92660.1, TREG1_138470.1, TREG1_92610.1, TREG1_92610.2, TREG1_92640.1, TREG1_92740.1, TREG1_92800.1, TREG1_92790.1, TREG1_92830.1, TREG1_92830.2
OG0000144	T265_01304	TREG1_75080.1, TREG1_75090.1
OG0000144	T265_12086	TREG1_59650.1, TREG1_72000.1
OG0000144	T265_06668, T265_13782	TREG1_72690.1, TREG1_72690.2, TREG1_72690.3, TREG1_72690.4, TREG1_72690.5
OG0000145	T265_14746	TREG1_34360.10, TREG1_34360.1, TREG1_34360.2, TREG1_34360.6, TREG1_34360.8, TREG1_34360.9, TREG1_34360.12, TREG1_34360.7, TREG1_34360.3, TREG1_34360.4, TREG1_34360.5, TREG1_34360.11
OG0000146	T265_07748	TREG1_125040.1
OG0000146	T265_07423, T265_07424	TREG1_76210.1
OG0000146	T265_08388	TREG1_46270.1
OG0000146	T265_03861	TREG1_67040.1
OG0000149	T265_03520	TREG1_71310.1
OG0000151	T265_06094	TREG1_90300.1
OG0000152	T265_06135	TREG1_21080.1, TREG1_21100.1
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113	TREG1_76680.1, TREG1_76700.1, TREG1_76710.1, TREG1_76680.2, TREG1_76670.1, TREG1_76670.2, TREG1_76670.3, TREG1_76670.4, TREG1_76660.1, TREG1_76660.2, TREG1_76550.1, TREG1_76560.1
OG0000154	T265_03183	TREG1_22920.1
OG0000155	T265_08299	TREG1_140290.2, TREG1_140290.3, TREG1_140290.4, TREG1_140290.1, TREG1_52850.1, TREG1_52850.2
OG0000156	T265_00887, T265_16074	TREG1_22430.1, TREG1_22430.2
OG0000156	T265_03696, T265_15374	TREG1_22440.3, TREG1_22440.2, TREG1_22440.1
OG0000157	T265_06998, T265_11481	TREG1_84400.1, TREG1_84400.2
OG0000157	T265_01460, T265_12799	TREG1_34700.1, TREG1_34700.2
OG0000157	T265_09530, T265_09531, T265_14875	TREG1_136430.1, TREG1_136430.2, TREG1_136430.3, TREG1_136430.4
OG0000158	T265_10234, T265_16363	TREG1_1680.1
OG0000158	T265_15093	TREG1_1690.1
OG0000159	T265_08123	TREG1_81430.7, TREG1_81430.8, TREG1_81430.14, TREG1_81430.3, TREG1_81430.12, TREG1_81430.15, TREG1_81430.16, TREG1_81430.2, TREG1_81430.4, TREG1_81430.9, TREG1_81430.10, TREG1_81430.13, TREG1_81430.17, TREG1_81430.5, TREG1_81430.6, TREG1_81430.1, TREG1_81430.11, TREG1_81430.18, TREG1_81430.19
OG0000160	T265_10045	TREG1_14540.1, TREG1_14530.1
OG0000161	T265_02978	TREG1_57250.1, TREG1_57250.5, TREG1_57250.3, TREG1_57250.4, TREG1_57250.6, TREG1_57250.2
OG0000164	T265_13175	TREG1_84950.1
OG0000164	T265_00011	TREG1_100490.1
OG0000164	T265_00309	TREG1_73320.1, TREG1_73320.2
OG0000164	T265_07457	TREG1_49020.1
OG0000165	T265_11439	TREG1_88100.6, TREG1_88100.1, TREG1_88100.7, TREG1_88100.3, TREG1_88100.4, TREG1_88100.5, TREG1_88100.2, TREG1_88100.8
OG0000166	T265_10300	TREG1_119010.3, TREG1_119010.9, TREG1_119010.6, TREG1_119010.8, TREG1_119010.2, TREG1_119010.4, TREG1_119010.5, TREG1_119010.1, TREG1_119010.7
OG0000167	T265_06764	TREG1_107550.2, TREG1_107550.1, TREG1_107550.3
OG0000169	T265_05323, T265_13753, T265_13752	TREG1_133010.1
OG0000169	T265_09476	TREG1_134830.1, TREG1_134830.2, TREG1_40590.1
OG0000169	T265_14845	TREG1_133850.1
OG0000169	T265_02738, T265_02739, T265_02737	TREG1_133150.1
OG0000170	T265_12986	TREG1_103200.3, TREG1_103200.1, TREG1_103200.2
OG0000171	T265_13394, T265_04623	TREG1_11160.1, TREG1_38450.1
OG0000171	T265_03862, T265_12839, T265_04612, T265_00184	TREG1_39010.1, TREG1_114840.1, TREG1_48380.1, TREG1_142870.1, TREG1_3390.1, TREG1_3740.1, TREG1_41770.1, TREG1_137300.1
OG0000172	T265_00976	TREG1_21360.1
OG0000173	T265_02233	TREG1_118700.1
OG0000175	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591	TREG1_57480.1, TREG1_57470.1, TREG1_57460.1, TREG1_57450.1
OG0000176	T265_11069	TREG1_144490.1
OG0000176	T265_07532, T265_09847	TREG1_41410.1, TREG1_31270.1, TREG1_86660.1, TREG1_104340.1, TREG1_33480.1, TREG1_93490.1, TREG1_46390.1, TREG1_93100.1
OG0000177	T265_00175	TREG1_78220.6, TREG1_78220.8, TREG1_78220.3, TREG1_78220.2, TREG1_78220.5, TREG1_78220.1, TREG1_78220.7, TREG1_78220.4
OG0000178	T265_14067, T265_06556, T265_06557	TREG1_43450.2, TREG1_43450.1, TREG1_43450.3
OG0000179	T265_00043	TREG1_74820.1, TREG1_74820.2, TREG1_74810.1
