Orthogroup	opisthorchis_viverrini	schistosoma_mansoni
OG0000019	T265_07377	Smp_102690.1, Smp_179320.1
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	Smp_145560.1
OG0000021	T265_00883	Smp_134980.1, Smp_245140.1, Smp_135010.1, Smp_245150.3, Smp_245150.5, Smp_245150.4, Smp_245150.2, Smp_245150.6, Smp_245150.1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	Smp_245160.1
OG0000022	T265_03268	Smp_163420.1
OG0000024	T265_04524, T265_12877	Smp_103790.1
OG0000024	T265_08845	Smp_016780.1
OG0000024	T265_10896, T265_12043, T265_03132	Smp_027920.1
OG0000026	T265_07485	Smp_055780.1
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	Smp_336100.1, Smp_089200.1, Smp_089200.2
OG0000027	T265_14036	Smp_332600.2, Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8, Smp_332600.4, Smp_332600.7, Smp_332600.3, Smp_332600.5
OG0000028	T265_03596, T265_13290	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3
OG0000029	T265_08214	Smp_072870.1
OG0000029	T265_00572, T265_00570, T265_00571	Smp_203130.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	Smp_183710.1, Smp_306600.1
OG0000030	T265_14111	Smp_174960.1
OG0000031	T265_06361	Smp_017010.1
OG0000032	T265_03331	Smp_030730.1
OG0000032	T265_07282	Smp_313990.1, Smp_164480.1, Smp_078040.1, Smp_313980.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	Smp_009430.1, Smp_308940.1, Smp_308930.1, Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1
OG0000035	T265_00972	Smp_045860.1
OG0000036	T265_15083	Smp_173130.1
OG0000037	T265_00630	Smp_157980.1, Smp_157980.2, Smp_308100.1, Smp_308110.1
OG0000038	T265_12650	Smp_201680.1, Smp_185420.1, Smp_350130.1, Smp_349900.1, Smp_350400.1, Smp_350340.1, Smp_350250.1, Smp_200230.1, Smp_200960.1, Smp_205660.1
OG0000040	T265_01293	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	Smp_247180.1, Smp_247170.1, Smp_048050.1, Smp_048050.2, Smp_049230.1, Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1
OG0000043	T265_02563	Smp_083340.1
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1, Smp_155530.1, Smp_062080.1
OG0000047	T265_15705	Smp_076460.1
OG0000049	T265_01286	Smp_315900.2, Smp_315900.1
OG0000049	T265_15552	Smp_343120.1
OG0000050	T265_02127, T265_02652	Smp_311520.1, Smp_245890.1
OG0000052	T265_08730, T265_12065	Smp_034920.1
OG0000052	T265_04421	Smp_332890.1
OG0000052	T265_02480	Smp_303940.1
OG0000052	T265_06797	Smp_159840.1
OG0000053	T265_11166	Smp_075220.1
OG0000054	T265_02804, T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433, T265_08614, T265_13045	Smp_106390.1
OG0000055	T265_07023	Smp_309720.1, Smp_309710.1
OG0000056	T265_13933	Smp_168030.1
OG0000058	T265_07455	Smp_247950.1
OG0000058	T265_13746	Smp_247290.1
OG0000060	T265_13025	Smp_123510.1
OG0000061	T265_02884	Smp_212360.2, Smp_212360.1
OG0000062	T265_10452	Smp_332930.1
OG0000063	T265_09823	Smp_171820.1
OG0000064	T265_15306	Smp_332910.1, Smp_332910.2
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	Smp_085010.1, Smp_085010.2, Smp_067060.1, Smp_103610.1, Smp_344940.1
OG0000066	T265_07972	Smp_040970.1
OG0000068	T265_12520	Smp_002410.1
OG0000068	T265_06616	Smp_041430.1
OG0000068	T265_13582	Smp_301620.1, Smp_009760.1
OG0000068	T265_03815	Smp_034840.1
OG0000070	T265_10197	Smp_315710.1
OG0000071	T265_11263, T265_11264	Smp_033600.1
OG0000072	T265_13598	Smp_343430.1
OG0000073	T265_11926	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1
OG0000074	T265_06662	Smp_152330.1
OG0000074	T265_09755	Smp_164380.1
OG0000074	T265_14825	Smp_307260.1
OG0000074	T265_13709	Smp_085690.1
OG0000075	T265_02596	Smp_246680.1
OG0000076	T265_01838	Smp_141980.1, Smp_141980.2, Smp_141980.3
OG0000076	T265_09657, T265_14927	Smp_134140.2, Smp_134140.1
OG0000077	T265_07170	Smp_244680.1, Smp_244680.2
OG0000078	T265_10237, T265_16023	Smp_092530.1
OG0000079	T265_03623	Smp_129050.1
OG0000079	T265_11700	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3
OG0000080	T265_07150, T265_07149	Smp_165200.3, Smp_165200.1, Smp_165200.2
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	Smp_015160.1, Smp_192230.1, Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1, Smp_072670.1, Smp_122190.1
OG0000082	T265_13150	Smp_132900.1
OG0000085	T265_03464, T265_13261, T265_16244	Smp_127430.1
OG0000086	T265_13900	Smp_149300.1
OG0000087	T265_01347, T265_12258	Smp_245790.1
OG0000090	T265_02657, T265_14540	Smp_310930.1
OG0000091	T265_04053	Smp_146060.1
OG0000092	T265_14035, T265_15099	Smp_180470.1, Smp_180470.2
OG0000092	T265_03205	Smp_064870.1
OG0000093	T265_08704	Smp_049550.1
OG0000093	T265_06064, T265_06061, T265_06063	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1
OG0000094	T265_06493	Smp_128570.1
OG0000095	T265_08487	Smp_162630.1
OG0000096	T265_09813	Smp_005190.2, Smp_005190.1, Smp_005190.3
OG0000097	T265_02082	Smp_168050.1
OG0000098	T265_08810	Smp_072330.1
OG0000098	T265_16367, T265_15515	Smp_340630.1, Smp_340630.2
OG0000099	T265_01131	Smp_000100.1
OG0000099	T265_02321	Smp_317420.1
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	Smp_043250.1, Smp_334830.1, Smp_316360.1
OG0000102	T265_01574	Smp_036590.1
OG0000102	T265_05632	Smp_138050.1
OG0000103	T265_13207	Smp_067000.1
OG0000105	T265_07815, T265_03022	Smp_019790.1
OG0000107	T265_07863	Smp_089430.1
OG0000107	T265_07360	Smp_046690.3, Smp_046690.1
OG0000108	T265_04554, T265_13536	Smp_093930.1
OG0000110	T265_08891, T265_08892	Smp_333980.1, Smp_055260.1
OG0000110	T265_08890	Smp_129900.1
OG0000111	T265_09132	Smp_072140.1
OG0000111	T265_08991, T265_14719	Smp_104110.1
OG0000112	T265_10678	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2
OG0000114	T265_15923, T265_05226, T265_11486	Smp_144700.1
OG0000115	T265_14637	Smp_094320.1
OG0000116	T265_02129	Smp_013840.1, Smp_013840.2
OG0000117	T265_11206	Smp_014170.1
OG0000119	T265_12920	Smp_347870.1, Smp_247020.1
OG0000120	T265_09108	Smp_167850.1
OG0000122	T265_15228, T265_15224	Smp_344340.1
OG0000123	T265_02792	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4
OG0000125	T265_13688	Smp_097830.2, Smp_097830.1, Smp_097830.3
OG0000127	T265_14567	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3
OG0000128	T265_14408	Smp_332660.1
OG0000129	T265_07587	Smp_140420.1
OG0000130	T265_04661	Smp_060420.1, Smp_060420.2
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	Smp_322720.1, Smp_342380.1, Smp_155520.1, Smp_155520.2, Smp_336270.1
OG0000132	T265_00680	Smp_028030.1
OG0000133	T265_04893	Smp_072980.1
OG0000134	T265_14784	Smp_032480.1
OG0000135	T265_07991, T265_11510	Smp_046060.1, Smp_046060.2
OG0000136	T265_11527	Smp_174310.1
OG0000138	T265_11205	Smp_158600.1
OG0000138	T265_13897	Smp_335620.1
OG0000139	T265_03450	Smp_031040.1
OG0000140	T265_06793, T265_05820	Smp_059210.1, Smp_059210.2
OG0000142	T265_03704, T265_07291, T265_15439	Smp_139680.1, Smp_120070.1, Smp_203950.1, Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1
OG0000143	T265_04146, T265_13432	Smp_202190.1, Smp_301550.1, Smp_326730.1
OG0000144	T265_01304	Smp_034190.1
OG0000144	T265_12086	Smp_097660.1
OG0000144	T265_06668, T265_13782	Smp_166400.1
OG0000145	T265_14746	Smp_110280.1, Smp_110280.2
OG0000146	T265_07748	Smp_016630.1
OG0000146	T265_07423, T265_07424	Smp_246100.1
OG0000146	T265_08388	Smp_020080.1
OG0000146	T265_03861	Smp_016250.1
OG0000149	T265_03520	Smp_123410.1
OG0000151	T265_06094	Smp_167920.1
OG0000152	T265_06135	Smp_078310.1
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113	Smp_013950.1, Smp_169090.1, Smp_169050.2, Smp_169050.1
OG0000154	T265_03183	Smp_333260.1
OG0000155	T265_08299	Smp_302040.1, Smp_302040.2, Smp_302040.3
OG0000156	T265_00887, T265_16074	Smp_143840.1
OG0000156	T265_03696, T265_15374	Smp_039750.3, Smp_039750.1, Smp_039750.2
OG0000157	T265_06998, T265_11481	Smp_212410.1, Smp_212410.2
OG0000157	T265_01460, T265_12799	Smp_332710.1
OG0000157	T265_09530, T265_09531, T265_14875	Smp_153100.1
OG0000158	T265_15093	Smp_068960.1, Smp_159520.1
OG0000159	T265_08123	Smp_129520.1
OG0000160	T265_10045	Smp_136550.1
OG0000161	T265_02978	Smp_301780.1
OG0000164	T265_13175	Smp_179910.1
OG0000164	T265_00011	Smp_062510.1
OG0000164	T265_00309	Smp_142450.1
OG0000164	T265_07457	Smp_071250.1
OG0000165	T265_11439	Smp_002820.1
OG0000166	T265_10300	Smp_173060.1
OG0000167	T265_06764	Smp_042550.1, Smp_042550.2
OG0000169	T265_09476	Smp_041460.1, Smp_155310.1
OG0000169	T265_02738, T265_02739, T265_02737	Smp_140000.1
OG0000170	T265_12986	Smp_343440.1
OG0000172	T265_00976	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3
OG0000173	T265_02233	Smp_344580.1
OG0000175	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591	Smp_195090.1, Smp_169200.1, Smp_169190.1, Smp_086530.1
OG0000177	T265_00175	Smp_333480.1, Smp_333480.2
OG0000178	T265_14067, T265_06556, T265_06557	Smp_150750.1
OG0000179	T265_00043	Smp_134080.1, Smp_246010.1
OG0000180	T265_07809	Smp_346170.1, Smp_314210.1, Smp_345210.1, Smp_314200.1, Smp_317150.1
OG0000182	T265_01820, T265_01818	Smp_159990.1
OG0000182	T265_15629, T265_15631	Smp_020270.1, Smp_020270.2
OG0000183	T265_03893	Smp_152870.1
OG0000184	T265_08817, T265_08819	Smp_167750.1
OG0000184	T265_01209, T265_01210, T265_16188	Smp_004220.1
OG0000185	T265_08504	Smp_057120.1, Smp_057120.2
OG0000186	T265_11314	Smp_334080.1
OG0000187	T265_00019	Smp_014670.1
OG0000188	T265_08339	Smp_125770.1
OG0000189	T265_02452, T265_02451	Smp_347670.1
OG0000190	T265_05088	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3
OG0000191	T265_04702, T265_04703	Smp_154670.1, Smp_187360.1, Smp_154680.1
OG0000192	T265_05152, T265_13696	Smp_009990.1
OG0000194	T265_13065	Smp_145190.1, Smp_145190.2
OG0000195	T265_01951	Smp_089930.1
OG0000196	T265_01003, T265_08738	Smp_051090.1
OG0000196	T265_13637	Smp_337400.1, Smp_337400.3
OG0000198	T265_15102	Smp_058690.1, Smp_058700.1
OG0000199	T265_11013	Smp_033950.1
OG0000201	T265_08652	Smp_158560.1, Smp_158560.2
OG0000202	T265_10935	Smp_129710.1
OG0000203	T265_11084	Smp_168040.1
OG0000205	T265_09508	Smp_129770.1, Smp_129770.2
OG0000206	T265_14079	Smp_031920.1
OG0000207	T265_08744, T265_03601, T265_08745, T265_03786, T265_10778	Smp_137320.1, Smp_319310.1, Smp_319310.2, Smp_137310.1, Smp_178420.1, Smp_137300.1, Smp_027940.1
OG0000208	T265_08097	Smp_312880.1
OG0000209	T265_07713	Smp_214240.1, Smp_128390.1
OG0000210	T265_02395, T265_06283	Smp_143690.1, Smp_143690.2
OG0000211	T265_11721	Smp_033050.1
OG0000212	T265_13666	Smp_123940.1
OG0000213	T265_00196	Smp_333170.1
OG0000214	T265_07833	Smp_134410.1, Smp_134410.3
OG0000217	T265_09745	Smp_343380.1
OG0000218	T265_14088	Smp_244280.1
OG0000219	T265_02042	Smp_162080.1
OG0000220	T265_02843	Smp_329410.1, Smp_126840.1
OG0000221	T265_08529, T265_14604	Smp_165820.1
OG0000221	T265_06922	Smp_153140.1
OG0000222	T265_06992	Smp_313450.1
OG0000223	T265_10052	Smp_159100.1
OG0000224	T265_04345	Smp_153770.1
OG0000225	T265_12484	Smp_017730.1
OG0000226	T265_14337	Smp_124820.1
OG0000227	T265_07183	Smp_122680.1
OG0000228	T265_08398	Smp_104030.1
OG0000229	T265_08218, T265_14510	Smp_307880.1
OG0000230	T265_12726	Smp_308600.1, Smp_308590.1
OG0000234	T265_10531	Smp_337850.1
OG0000235	T265_12698, T265_01014	Smp_342880.1, Smp_342880.2
OG0000236	T265_03312	Smp_147620.1
OG0000237	T265_01303	Smp_130030.1
OG0000239	T265_04264	Smp_163610.1, Smp_336250.1
OG0000240	T265_07380, T265_07378	Smp_168370.2, Smp_168370.1
OG0000241	T265_06506, T265_11039	Smp_244950.1, Smp_244960.1
OG0000241	T265_07506	Smp_171030.1
OG0000242	T265_13733	Smp_346520.1
OG0000243	T265_05124	Smp_246870.1
OG0000244	T265_15435	Smp_125550.1
OG0000245	T265_14174, T265_14575	Smp_315810.1, Smp_315810.2
OG0000246	T265_10932	Smp_334490.1
OG0000247	T265_15298	Smp_340410.1
OG0000248	T265_04925	Smp_023360.1
OG0000249	T265_03415	Smp_340960.1
OG0000250	T265_06450	Smp_049380.1
OG0000251	T265_09163	Smp_055220.1
OG0000252	T265_02607	Smp_088550.1
OG0000253	T265_10374	Smp_130520.2, Smp_130520.1, Smp_130520.4, Smp_130520.3
OG0000254	T265_06296, T265_06297	Smp_133740.1
OG0000255	T265_13093	Smp_034870.1
OG0000257	T265_14891	Smp_164930.1
OG0000258	T265_07887	Smp_065840.1
OG0000259	T265_11833	Smp_079370.1
OG0000260	T265_02300	Smp_081450.1
OG0000261	T265_01967	Smp_334030.1, Smp_334030.2
OG0000262	T265_02991	Smp_012580.2, Smp_012580.1
OG0000263	T265_01552	Smp_144430.1
OG0000264	T265_06018	Smp_347000.1, Smp_133490.1
OG0000264	T265_00952	Smp_134260.1
OG0000267	T265_06971, T265_06972	Smp_179490.1, Smp_179490.3, Smp_179490.2
OG0000268	T265_01937	Smp_067810.1
OG0000268	T265_14773	Smp_194270.1
OG0000269	T265_07262	Smp_318690.1, Smp_031000.1, Smp_031000.2
OG0000270	T265_05581	Smp_246700.1
OG0000271	T265_15071	Smp_134670.1
OG0000272	T265_07370, T265_06215	Smp_045950.1, Smp_045950.2
OG0000273	T265_01594	Smp_171880.1
OG0000274	T265_12983	Smp_334430.3, Smp_334430.1, Smp_334430.2
OG0000275	T265_10067	Smp_196840.1
OG0000276	T265_02335	Smp_312920.1
OG0000281	T265_06212	Smp_323740.1, Smp_344370.1
OG0000281	T265_15299	Smp_007730.1
OG0000282	T265_14842	Smp_034270.1
OG0000283	T265_15051	Smp_126240.1, Smp_126240.2
OG0000285	T265_08710	Smp_000020.1
OG0000286	T265_04472, T265_04474, T265_04727	Smp_102430.1, Smp_040510.1
OG0000287	T265_10894	Smp_120640.1
OG0000288	T265_09141	Smp_123180.1
OG0000289	T265_15426	Smp_194590.1
OG0000290	T265_15145	Smp_163580.1, Smp_163580.2
OG0000290	T265_12657	Smp_176050.1
OG0000291	T265_04365	Smp_130440.1
OG0000292	T265_06608	Smp_083040.1, Smp_083040.2
OG0000293	T265_03762, T265_05025	Smp_035580.1
OG0000293	T265_15333	Smp_028990.1
OG0000293	T265_10243	Smp_004810.1
OG0000294	T265_09655	Smp_324700.1, Smp_324700.2, Smp_340380.1
OG0000295	T265_14299	Smp_247750.1, Smp_179250.1, Smp_247760.1, Smp_089290.1
OG0000296	T265_14159, T265_14160	Smp_322820.1
OG0000296	T265_05818	Smp_322830.1, Smp_322810.1
OG0000297	T265_10571	Smp_050520.1
OG0000298	T265_13422	Smp_336620.1
OG0000298	T265_13679	Smp_135040.1, Smp_135040.2
OG0000299	T265_00596	Smp_074050.1
OG0000300	T265_13509	Smp_061840.1
OG0000301	T265_12938	Smp_042160.1
OG0000302	T265_10713	Smp_104500.3, Smp_104500.1, Smp_104500.4, Smp_104500.2
OG0000303	T265_14378, T265_07763	Smp_153710.3, Smp_153710.2, Smp_153710.1, Smp_153710.4
OG0000304	T265_12343, T265_14866	Smp_340500.1
OG0000305	T265_05934	Smp_060940.1
OG0000306	T265_14560	Smp_342740.1
OG0000307	T265_07841	Smp_343920.1, Smp_011000.1
OG0000311	T265_00973	Smp_161120.1, Smp_161120.2
OG0000312	T265_01921	Smp_152840.1
OG0000313	T265_09150	Smp_045980.1
OG0000314	T265_01890	Smp_159070.1
OG0000315	T265_11685, T265_11690	Smp_007260.1
OG0000315	T265_04922	Smp_136710.2, Smp_136710.1
OG0000316	T265_01535	Smp_168660.1
OG0000317	T265_05123	Smp_097820.1, Smp_097820.2
OG0000318	T265_07846, T265_14409	Smp_065130.1
OG0000319	T265_01888	Smp_167160.1, Smp_167160.2
OG0000320	T265_07800	Smp_140860.1
OG0000320	T265_04040	Smp_245990.2, Smp_245990.1
OG0000321	T265_04495	Smp_083780.1
OG0000322	T265_16264, T265_11089, T265_16340	Smp_194030.1
OG0000323	T265_03097, T265_03095, T265_03109	Smp_306120.1, Smp_344820.1, Smp_344820.2, Smp_344820.3
OG0000324	T265_14121, T265_06759	Smp_147250.1
OG0000325	T265_01773	Smp_151050.1
OG0000326	T265_00641, T265_03157	Smp_069130.1
OG0000327	T265_02347, T265_09489, T265_09958, T265_07526, T265_14620, T265_02671, T265_02673	Smp_168450.1, Smp_336080.1
OG0000328	T265_14757, T265_16117	Smp_035090.1
OG0000329	T265_09935	Smp_018240.1, Smp_018240.2
OG0000332	T265_06732	Smp_084870.1
OG0000333	T265_12002, T265_16355	Smp_044610.1, Smp_342180.1
OG0000334	T265_01786, T265_13083	Smp_135470.1, Smp_345090.1
OG0000335	T265_00217	Smp_153190.1
OG0000336	T265_10908	Smp_007760.1
OG0000336	T265_00993	Smp_130540.1
OG0000337	T265_00559	Smp_019490.1
OG0000339	T265_13393	Smp_246410.1
OG0000340	T265_02762	Smp_031770.1, Smp_031770.2
OG0000342	T265_06197	Smp_071630.1
OG0000342	T265_03316	Smp_022810.1
OG0000342	T265_12666	Smp_004910.1
OG0000343	T265_13980	Smp_033530.1, Smp_140270.1, Smp_033540.1
OG0000344	T265_08425	Smp_153780.1
OG0000345	T265_05949	Smp_089460.1
OG0000346	T265_11581	Smp_141230.1
OG0000346	T265_02834	Smp_130250.1
OG0000347	T265_10741	Smp_160940.1
OG0000348	T265_16293, T265_14984, T265_16184	Smp_347690.1, Smp_347690.2
OG0000349	T265_04375	Smp_130750.1
OG0000350	T265_06604	Smp_079650.1
OG0000351	T265_06873	Smp_133790.1
OG0000352	T265_13524	Smp_315890.1
OG0000353	T265_07437	Smp_126740.1
OG0000354	T265_10467	Smp_304130.1, Smp_304130.2
OG0000355	T265_00276, T265_16001	Smp_158050.1
OG0000356	T265_05555	Smp_332940.1
OG0000357	T265_04749	Smp_040560.1
OG0000359	T265_02465	Smp_194800.1
OG0000360	T265_09152	Smp_039640.1
OG0000361	T265_00382	Smp_157340.1
OG0000362	T265_09349	Smp_246570.1
OG0000363	T265_04138	Smp_302930.1
OG0000364	T265_04227	Smp_164940.1
OG0000365	T265_13943	Smp_190770.1, Smp_325650.1
OG0000366	T265_09296, T265_14802	Smp_147240.1
OG0000367	T265_01910	Smp_006700.1
OG0000368	T265_13246, T265_13243	Smp_244010.1
OG0000369	T265_07721, T265_07722	Smp_171610.1
OG0000370	T265_00271, T265_00274, T265_03617, T265_00269, T265_00272	Smp_147950.1, Smp_147950.2
OG0000371	T265_06459	Smp_302090.1
OG0000372	T265_01134, T265_03329	Smp_091840.1, Smp_091820.1
OG0000373	T265_14558	Smp_025260.1
OG0000374	T265_11863	Smp_099850.1
OG0000375	T265_06672	Smp_191870.1
OG0000376	T265_11878	Smp_347860.1
OG0000378	T265_05203	Smp_163210.3, Smp_163210.1, Smp_163210.2
OG0000380	T265_15157, T265_03707	Smp_070380.1
OG0000381	T265_00434, T265_15881	Smp_105410.1
OG0000381	T265_00435	Smp_012440.1
OG0000382	T265_02482	Smp_120670.1, Smp_176180.1, Smp_070250.1, Smp_336880.1, Smp_154260.1, Smp_176170.1, Smp_176160.1, Smp_154290.1
OG0000383	T265_08239	Smp_142650.2, Smp_142650.1
OG0000384	T265_09198, T265_09197	Smp_316270.1, Smp_315420.1
OG0000385	T265_01125	Smp_326080.1
OG0000385	T265_09329, T265_09330	Smp_326090.1
OG0000386	T265_11583	Smp_163760.1
OG0000387	T265_06420	Smp_169140.1, Smp_320670.1
OG0000388	T265_11998	Smp_344630.1, Smp_344630.2
OG0000389	T265_00782	Smp_137210.1
OG0000390	T265_11108, T265_11109	Smp_069960.1
OG0000391	T265_09227	Smp_163340.1
OG0000392	T265_14483	Smp_096020.1
OG0000393	T265_15423	Smp_171540.1
OG0000394	T265_08783	Smp_018760.1
OG0000395	T265_08193	Smp_149200.1
OG0000396	T265_13488	Smp_126300.1
OG0000397	T265_01775	Smp_027390.1
OG0000398	T265_10761, T265_10760	Smp_244150.1, Smp_160360.1, Smp_078930.1
OG0000399	T265_14889, T265_03269	Smp_141290.4, Smp_141290.2, Smp_141290.1, Smp_141290.3, Smp_141390.1
OG0000400	T265_14201, T265_08063, T265_08065, T265_10204	Smp_335630.1, Smp_303270.1, Smp_303290.1, Smp_173150.1
OG0000401	T265_05655	Smp_144770.1
OG0000405	T265_09724	Smp_068060.1
OG0000406	T265_05341	Smp_143240.1
OG0000407	T265_12731	Smp_308420.1
OG0000408	T265_07479	Smp_345870.1
