Orthogroup	opisthorchis_viverrini	schistosoma_japonicum
OG0000133	T265_04893	EWB00_002574.1, EWB00_002574.2
OG0000134	T265_14784	EWB00_002521
OG0000135	T265_07991, T265_11510	EWB00_002678.2, EWB00_002678.1
OG0000136	T265_11527	EWB00_002100.1, EWB00_002100.2
OG0000138	T265_11205	EWB00_007536.1, EWB00_007536.2
OG0000138	T265_13897	EWB00_009704
OG0000139	T265_03450	EWB00_009035
OG0000140	T265_06793, T265_05820	EWB00_010959
OG0000143	T265_04146, T265_13432	EWB00_006280.1, EWB00_006280.2
OG0000144	T265_01304	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6
OG0000144	T265_12086	EWB00_001080
OG0000144	T265_06668, T265_13782	EWB00_005163
OG0000145	T265_14746	EWB00_002936
OG0000146	T265_07748	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3
OG0000146	T265_07423, T265_07424	EWB00_005122
OG0000146	T265_08388	EWB00_007935.1, EWB00_007935.2
OG0000146	T265_03861	EWB00_006903
OG0000149	T265_03520	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4
OG0000151	T265_06094	EWB00_008868
OG0000152	T265_06135	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113	EWB00_005352.1, EWB00_005352.2, EWB00_003676, EWB00_008423, EWB00_003671, EWB00_008422
OG0000154	T265_03183	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2
OG0000155	T265_08299	EWB00_005616
OG0000156	T265_00887, T265_16074	EWB00_010322
OG0000156	T265_03696, T265_15374	EWB00_010321
OG0000157	T265_06998, T265_11481	EWB00_001166
OG0000157	T265_01460, T265_12799	EWB00_005728
OG0000157	T265_09530, T265_09531, T265_14875	EWB00_011201
OG0000158	T265_15093	EWB00_006315, EWB00_006316
OG0000159	T265_08123	EWB00_009175
OG0000160	T265_10045	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3
OG0000161	T265_02978	EWB00_003371.1, EWB00_003371.2
OG0000164	T265_13175	EWB00_011122.1, EWB00_011122.2
OG0000164	T265_00011	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4
OG0000164	T265_00309	EWB00_003801.1, EWB00_003801.2
OG0000164	T265_07457	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4
OG0000165	T265_11439	EWB00_010478
OG0000166	T265_10300	EWB00_005058.4, EWB00_005058.5, EWB00_005058.3, EWB00_005058.2, EWB00_005058.6, EWB00_005058.1
OG0000167	T265_06764	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6
OG0000169	T265_09476	EWB00_000574, EWB00_004911.1, EWB00_004911.2
OG0000169	T265_02738, T265_02739, T265_02737	EWB00_009686
OG0000170	T265_12986	EWB00_000962
OG0000171	T265_03862, T265_12839, T265_04612, T265_00184	EWB00_006697
OG0000172	T265_00976	EWB00_001058.1, EWB00_001058.2
OG0000173	T265_02233	EWB00_008475
OG0000175	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591	EWB00_007666, EWB00_007667, EWB00_007668, EWB00_007669
OG0000176	T265_11069	EWB00_001540, EWB00_004362, EWB00_005462, EWB00_010563, EWB00_003767, EWB00_010852
OG0000177	T265_00175	EWB00_010516.1, EWB00_010516.2
OG0000178	T265_14067, T265_06556, T265_06557	EWB00_003718
OG0000179	T265_00043	EWB00_000893, EWB00_009104
OG0000180	T265_07809	EWB00_006752, EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163, EWB00_006750.1, EWB00_006750.2
OG0000182	T265_01820, T265_01818	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2
OG0000182	T265_15629, T265_15631	EWB00_000643
OG0000183	T265_03893	EWB00_005958.1, EWB00_005958.2
OG0000184	T265_08817, T265_08819	EWB00_006467.1, EWB00_006467.2
OG0000184	T265_01209, T265_01210, T265_16188	EWB00_006468
OG0000185	T265_08504	EWB00_005969.1, EWB00_005969.2
OG0000186	T265_11314	EWB00_002720
OG0000187	T265_00019	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3
OG0000188	T265_08339	EWB00_010904
OG0000189	T265_02452, T265_02451	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4
OG0000190	T265_05088	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2
OG0000191	T265_04702, T265_04703	EWB00_004926, EWB00_003159, EWB00_004925, EWB00_003164, EWB00_003167
OG0000192	T265_05152, T265_13696	EWB00_003964.1, EWB00_003964.2
OG0000193	T265_12730, T265_08127	EWB00_004005, EWB00_009649, EWB00_005224, EWB00_010853, EWB00_005225
OG0000194	T265_13065	EWB00_001391
OG0000195	T265_01951	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3
OG0000196	T265_01003, T265_08738	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3
OG0000196	T265_13637	EWB00_009417.2, EWB00_009417.1
OG0000198	T265_15102	EWB00_009378.1, EWB00_009378.2, EWB00_009378.3
OG0000199	T265_11013	EWB00_007850.1, EWB00_007850.2
OG0000201	T265_08652	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3
OG0000202	T265_10935	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2
OG0000203	T265_11084	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3
OG0000205	T265_09508	EWB00_005482
OG0000206	T265_14079	EWB00_003373.1, EWB00_003373.2, EWB00_003373.3
OG0000207	T265_08744, T265_03601, T265_08745, T265_03786, T265_10778	EWB00_006855, EWB00_006859, EWB00_006857, EWB00_006860, EWB00_006858, EWB00_006856
OG0000208	T265_08097	EWB00_006604
OG0000209	T265_07713	EWB00_003068
OG0000210	T265_02395, T265_06283	EWB00_008607
OG0000211	T265_11721	EWB00_008540.1, EWB00_008540.2, EWB00_008540.3, EWB00_008540.4
OG0000212	T265_13666	EWB00_000254.1, EWB00_000254.2
OG0000214	T265_07833	EWB00_000769.1, EWB00_000769.2, EWB00_000769.3
OG0000217	T265_09745	EWB00_003421.5, EWB00_003421.6, EWB00_003421.2, EWB00_003421.1, EWB00_003421.3, EWB00_003421.4, EWB00_003421.7
OG0000218	T265_14088	EWB00_007629
OG0000219	T265_02042	EWB00_011278.1, EWB00_011278.2
OG0000220	T265_02843	EWB00_011054.2, EWB00_011054.1, EWB00_011054.3
OG0000221	T265_08529, T265_14604	EWB00_009959, EWB00_008502
OG0000221	T265_06922	EWB00_007895, EWB00_007896
OG0000222	T265_06992	EWB00_010985.3, EWB00_010985.4, EWB00_010985.1, EWB00_010985.2
OG0000223	T265_10052	EWB00_008468
OG0000224	T265_04345	EWB00_010846
OG0000225	T265_12484	EWB00_008634
OG0000226	T265_14337	EWB00_001463.1, EWB00_001463.2
OG0000227	T265_07183	EWB00_010050
OG0000228	T265_08398	EWB00_003240.1, EWB00_003240.2
OG0000229	T265_08218, T265_14510	EWB00_007972
OG0000230	T265_12726	EWB00_007125
OG0000234	T265_10531	EWB00_004388, EWB00_004387
OG0000235	T265_12698, T265_01014	EWB00_009052, EWB00_009056
OG0000236	T265_03312	EWB00_007746
OG0000237	T265_01303	EWB00_006822
OG0000239	T265_04264	EWB00_002853.1, EWB00_002853.2
OG0000240	T265_07380, T265_07378	EWB00_007941.1, EWB00_007941.2
OG0000241	T265_06506, T265_11039	EWB00_007788.1, EWB00_007788.2, EWB00_007788.3, EWB00_007787
OG0000241	T265_07506	EWB00_007058.1, EWB00_007058.2
OG0000242	T265_13733	EWB00_004683
OG0000243	T265_05124	EWB00_006288.2, EWB00_006288.4, EWB00_006288.3, EWB00_006288.1
OG0000244	T265_15435	EWB00_008588
OG0000245	T265_14174, T265_14575	EWB00_005430.3, EWB00_005430.1, EWB00_005430.2, EWB00_005430.4, EWB00_005431, EWB00_005432.2, EWB00_005432.1
OG0000246	T265_10932	EWB00_003780.1, EWB00_003780.2
OG0000247	T265_15298	EWB00_006352.1, EWB00_006352.2
OG0000248	T265_04925	EWB00_000905.1, EWB00_000905.3, EWB00_000905.2
OG0000249	T265_03415	EWB00_001035
OG0000250	T265_06450	EWB00_003949.1, EWB00_003949.3, EWB00_003949.2, EWB00_003949.4
OG0000251	T265_09163	EWB00_001254.3, EWB00_001254.1, EWB00_001254.2
OG0000252	T265_02607	EWB00_006197
OG0000253	T265_10374	EWB00_000597.2, EWB00_000597.3, EWB00_000597.1
OG0000254	T265_06296, T265_06297	EWB00_009459.1, EWB00_009459.2, EWB00_009459.3
OG0000255	T265_13093	EWB00_003290.1, EWB00_003290.2
OG0000258	T265_07887	EWB00_007679.1, EWB00_007679.2
OG0000259	T265_11833	EWB00_003467
OG0000260	T265_02300	EWB00_002420.5, EWB00_002420.1, EWB00_002420.4, EWB00_002420.7, EWB00_002420.2, EWB00_002420.8, EWB00_002420.3, EWB00_002420.6
OG0000261	T265_01967	EWB00_007911, EWB00_007909, EWB00_007910
OG0000262	T265_02991	EWB00_004140, EWB00_004139
OG0000263	T265_01552	EWB00_004713
OG0000264	T265_06018	EWB00_004506, EWB00_004507
OG0000264	T265_00952	EWB00_006350
OG0000268	T265_01937	EWB00_002781.2, EWB00_002781.1, EWB00_002781.3
OG0000268	T265_14773	EWB00_000422.4, EWB00_000422.5, EWB00_000422.2, EWB00_000422.3, EWB00_000422.1
OG0000269	T265_07262	EWB00_009039
OG0000270	T265_05581	EWB00_005015.1, EWB00_005015.2, EWB00_005015.3
OG0000271	T265_15071	EWB00_010608.4, EWB00_010608.1, EWB00_010608.2, EWB00_010608.3, EWB00_010608.5
OG0000272	T265_07370, T265_06215	EWB00_004167.1, EWB00_004167.2, EWB00_004167.4, EWB00_004167.5, EWB00_004167.3
OG0000273	T265_01594	EWB00_007794
OG0000274	T265_12983	EWB00_010594.5, EWB00_010594.2, EWB00_010594.1, EWB00_010594.3, EWB00_010594.4
OG0000275	T265_10067	EWB00_001311
OG0000276	T265_02335	EWB00_004524.5, EWB00_004524.3, EWB00_004524.2, EWB00_004524.1, EWB00_004524.4
OG0000281	T265_06212	EWB00_010291
OG0000282	T265_14842	EWB00_000750
OG0000283	T265_15051	EWB00_011116
OG0000285	T265_08710	EWB00_004295
OG0000286	T265_04472, T265_04474, T265_04727	EWB00_006409.1, EWB00_006409.2, EWB00_002827
OG0000287	T265_10894	EWB00_001190.1, EWB00_001190.2, EWB00_001190.3
OG0000288	T265_09141	EWB00_008053
OG0000289	T265_15426	EWB00_000082
OG0000290	T265_15145	EWB00_010888.2, EWB00_010888.3, EWB00_010888.4, EWB00_010888.6, EWB00_010888.1, EWB00_010888.5
OG0000290	T265_12657	EWB00_009745
OG0000291	T265_04365	EWB00_006455
OG0000292	T265_06608	EWB00_007865
OG0000293	T265_03762, T265_05025	EWB00_006949.2, EWB00_006949.1
OG0000293	T265_15333	EWB00_000820
OG0000293	T265_10243	EWB00_007238
OG0000294	T265_09655	EWB00_009046
OG0000295	T265_14299	EWB00_005285, EWB00_005283, EWB00_005284
OG0000297	T265_10571	EWB00_002278.3, EWB00_002278.2, EWB00_002278.1, EWB00_002278.4
OG0000298	T265_13422	EWB00_001802, EWB00_001803
OG0000298	T265_13679	EWB00_000994
OG0000299	T265_00596	EWB00_007963.1, EWB00_007963.2
OG0000300	T265_13509	EWB00_009379, EWB00_009380
OG0000301	T265_12938	EWB00_004573.5, EWB00_004573.1, EWB00_004573.7, EWB00_004573.2, EWB00_004573.3, EWB00_004573.4, EWB00_004573.6, EWB00_004573.8
OG0000302	T265_10713	EWB00_011256
OG0000303	T265_14378, T265_07763	EWB00_004180
OG0000304	T265_12343, T265_14866	EWB00_009739.1, EWB00_009739.2
OG0000305	T265_05934	EWB00_007763
OG0000306	T265_14560	EWB00_002091.1, EWB00_002091.2
OG0000307	T265_07841	EWB00_005330, EWB00_008525, EWB00_011426
OG0000311	T265_00973	EWB00_001060
OG0000312	T265_01921	EWB00_005964.1, EWB00_005964.2, EWB00_005964.3
OG0000313	T265_09150	EWB00_004170.1, EWB00_004170.2
OG0000314	T265_01890	EWB00_007714.1, EWB00_007714.2
OG0000315	T265_11685, T265_11690	EWB00_002931
OG0000316	T265_01535	EWB00_005434.1, EWB00_005434.2, EWB00_005434.3
OG0000317	T265_05123	EWB00_005657.1, EWB00_005657.2
OG0000318	T265_07846, T265_14409	EWB00_008744
OG0000319	T265_01888	EWB00_007862
OG0000320	T265_07800	EWB00_006052
OG0000320	T265_04040	EWB00_003791.1, EWB00_003791.2
OG0000321	T265_04495	EWB00_001296.1, EWB00_001296.2
OG0000322	T265_16264, T265_11089, T265_16340	EWB00_003360
OG0000323	T265_03109	EWB00_003324
OG0000324	T265_14121, T265_06759	EWB00_002977
OG0000325	T265_01773	EWB00_003497.1, EWB00_003497.2, EWB00_003497.3
OG0000326	T265_00641, T265_03157	EWB00_003851.1, EWB00_003851.3, EWB00_003851.2
OG0000327	T265_02347, T265_09489, T265_09958, T265_07526, T265_14620, T265_02671, T265_02673	EWB00_000974, EWB00_000972, EWB00_000973
OG0000328	T265_14757, T265_16117	EWB00_003307.1, EWB00_003307.2, EWB00_003309, EWB00_003308
OG0000329	T265_09935	EWB00_000879, EWB00_009351.1, EWB00_009351.3, EWB00_009351.2, EWB00_009351.4, EWB00_009351.5, EWB00_009351.7, EWB00_009351.6
OG0000332	T265_06732	EWB00_004112, EWB00_004113
OG0000333	T265_12002, T265_16355	EWB00_008457
OG0000334	T265_01786, T265_13083	EWB00_007243.1, EWB00_007243.2, EWB00_008221.1, EWB00_008221.2
OG0000335	T265_00217	EWB00_007904.1, EWB00_007904.2
OG0000336	T265_10908	EWB00_004857
OG0000336	T265_00993	EWB00_000600
