Orthogroup	opisthorchis_viverrini	fasciola_gigantica
OG0000154	T265_03183	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749
OG0000155	T265_08299	FGIG_01109
OG0000156	T265_00887, T265_16074	FGIG_01694
OG0000156	T265_03696	FGIG_10389, FGIG_01395
OG0000156	T265_15374	FGIG_06374
OG0000157	T265_06998, T265_11481	FGIG_01729
OG0000157	T265_01460, T265_12799	FGIG_07044, FGIG_07045
OG0000157	T265_09530, T265_09531, T265_14875	FGIG_03579
OG0000158	T265_10234, T265_16363	FGIG_05974
OG0000158	T265_15093	FGIG_05975
OG0000159	T265_08123	FGIG_07564
OG0000160	T265_10045	FGIG_05715
OG0000161	T265_02978	FGIG_08957
OG0000164	T265_13175	FGIG_12608, FGIG_03854
OG0000164	T265_00011	FGIG_01740
OG0000164	T265_00309	FGIG_10598
OG0000164	T265_07457	FGIG_05689
OG0000165	T265_11439	FGIG_03682
OG0000166	T265_10300	FGIG_04350
OG0000167	T265_06764	FGIG_09630
OG0000169	T265_05323, T265_13753, T265_13752	FGIG_03347
OG0000169	T265_14845	FGIG_04403, FGIG_00713
OG0000169	T265_02738	FGIG_02219
OG0000169	T265_02739	FGIG_02221
OG0000169	T265_02737	FGIG_02220
OG0000170	T265_12986	FGIG_11214, FGIG_11905, FGIG_00734
OG0000171	T265_13394, T265_04623	FGIG_01605
OG0000172	T265_00976	FGIG_02787, FGIG_02788
OG0000173	T265_02233	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026
OG0000175	T265_14593, T265_08511	FGIG_00359
OG0000175	T265_08509	FGIG_00355
OG0000175	T265_08510, T265_14591	FGIG_00354
OG0000176	T265_07532, T265_09847	FGIG_00685
OG0000177	T265_00175	FGIG_04057, FGIG_04058
OG0000178	T265_14067, T265_06556, T265_06557	FGIG_04370
OG0000179	T265_00043	FGIG_08795, FGIG_10380
OG0000180	T265_07809	FGIG_12039
OG0000182	T265_01820, T265_01818	FGIG_02134
OG0000182	T265_15629, T265_15631	FGIG_00290
OG0000183	T265_03893	FGIG_02622
OG0000184	T265_08817, T265_08819	FGIG_03731
OG0000184	T265_01209, T265_01210, T265_16188	FGIG_03730
OG0000185	T265_08504	FGIG_07908
OG0000186	T265_11314	FGIG_00796
OG0000187	T265_00019	FGIG_10561, FGIG_02152
OG0000188	T265_08339	FGIG_03282
OG0000189	T265_02452, T265_02451	FGIG_03464
OG0000190	T265_05088	FGIG_04440
OG0000191	T265_04702, T265_04703	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245
OG0000192	T265_05152, T265_13696	FGIG_06841, FGIG_06840
OG0000193	T265_12730	FGIG_11714
OG0000194	T265_13065	FGIG_07707
OG0000195	T265_01951	FGIG_08368
OG0000196	T265_01003	FGIG_11982
OG0000196	T265_08738	FGIG_03269
OG0000196	T265_13637	FGIG_11890
OG0000198	T265_15102	FGIG_06396
OG0000199	T265_11013	FGIG_03163
OG0000201	T265_08652	FGIG_05120
OG0000202	T265_10935	FGIG_07192
OG0000203	T265_11084	FGIG_08149
OG0000205	T265_09508	FGIG_02525
OG0000206	T265_14079	FGIG_03933
OG0000207	T265_08744, T265_03601, T265_08745	FGIG_05628, FGIG_09531
OG0000207	T265_03786	FGIG_12425
OG0000207	T265_10778	FGIG_10073
OG0000208	T265_08097	FGIG_04764
OG0000209	T265_07713	FGIG_06233
OG0000210	T265_02395, T265_06283	FGIG_06835, FGIG_08667
OG0000211	T265_11721	FGIG_06875
OG0000212	T265_13666	FGIG_07429, FGIG_07428
OG0000213	T265_00196	FGIG_08575
OG0000214	T265_07833	FGIG_09344
OG0000217	T265_09745	FGIG_02317, FGIG_02318
OG0000218	T265_14088	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630
OG0000219	T265_02042	FGIG_07378
OG0000220	T265_02843	FGIG_07549
OG0000221	T265_08529, T265_14604	FGIG_04956, FGIG_04954, FGIG_08084
OG0000221	T265_05121	FGIG_05748
OG0000221	T265_05122, T265_16332	FGIG_00257
OG0000221	T265_16220, T265_14170	FGIG_00717, FGIG_00718
OG0000221	T265_06922	FGIG_02269
OG0000222	T265_06992	FGIG_00564
OG0000223	T265_10052	FGIG_00853
OG0000224	T265_04345	FGIG_01377, FGIG_01378
OG0000225	T265_12484	FGIG_02370, FGIG_02369
OG0000226	T265_14337	FGIG_02439, FGIG_12357
OG0000227	T265_07183	FGIG_04507, FGIG_04506
OG0000228	T265_08398	FGIG_04992
OG0000229	T265_08218, T265_14510	FGIG_10264, FGIG_05406, FGIG_12189
OG0000230	T265_12726	FGIG_06761, FGIG_06762
OG0000234	T265_10531	FGIG_01289
OG0000235	T265_12698, T265_01014	FGIG_07942, FGIG_02783, FGIG_02784
OG0000236	T265_03312	FGIG_05608
OG0000237	T265_01303	FGIG_06420
OG0000239	T265_04264	FGIG_07503, FGIG_08719
OG0000240	T265_07380, T265_07378	FGIG_10740, FGIG_10875
OG0000241	T265_06506, T265_11039	FGIG_00479
OG0000242	T265_13733	FGIG_01807
OG0000243	T265_05124	FGIG_00529, FGIG_00528
OG0000244	T265_15435	FGIG_11655, FGIG_00993
OG0000245	T265_14174, T265_14575	FGIG_01848
OG0000246	T265_10932	FGIG_06772
OG0000247	T265_15298	FGIG_09572
OG0000248	T265_04925	FGIG_10714
OG0000249	T265_03415	FGIG_11297
OG0000250	T265_06450	FGIG_12420, FGIG_11532
OG0000252	T265_02607	FGIG_01524
OG0000253	T265_10374	FGIG_02155
OG0000254	T265_06296, T265_06297	FGIG_02996
OG0000255	T265_13093	FGIG_03191
OG0000257	T265_14891	FGIG_03641, FGIG_07534
OG0000258	T265_07887	FGIG_05122
OG0000259	T265_11833	FGIG_05764
OG0000260	T265_02300	FGIG_05885
OG0000261	T265_01967	FGIG_06157
OG0000262	T265_02991	FGIG_08811, FGIG_08810
OG0000263	T265_01552	FGIG_09258
OG0000264	T265_06018	FGIG_11442
OG0000264	T265_00952	FGIG_10736
OG0000266	T265_04658, T265_12225	FGIG_00212, FGIG_00213
OG0000267	T265_06971	FGIG_00498
OG0000267	T265_06972	FGIG_00260
OG0000268	T265_01937	FGIG_06620
OG0000268	T265_14773	FGIG_10234
OG0000268	T265_15257	FGIG_00942
OG0000269	T265_07262	FGIG_02813
OG0000270	T265_05581	FGIG_03740, FGIG_02883
OG0000271	T265_15071	FGIG_04146, FGIG_09915, FGIG_04147
OG0000272	T265_06215	FGIG_07493
OG0000273	T265_01594	FGIG_07763
OG0000274	T265_09322	FGIG_07950
OG0000274	T265_12983	FGIG_10372
OG0000275	T265_10067	FGIG_08245
OG0000276	T265_02335	FGIG_08474
OG0000277	T265_11132, T265_06184	FGIG_08916
OG0000281	T265_06212	FGIG_04239
OG0000281	T265_15299	FGIG_10083
OG0000282	T265_14842	FGIG_11572, FGIG_01087
OG0000283	T265_15051	FGIG_01798
OG0000285	T265_08710	FGIG_03702, FGIG_03701
OG0000286	T265_04472	FGIG_08247, FGIG_09211
OG0000286	T265_04474, T265_04727	FGIG_06296
OG0000287	T265_10894	FGIG_07559
OG0000288	T265_09141	FGIG_08415
OG0000289	T265_15426	FGIG_11097
OG0000290	T265_15145	FGIG_06528
OG0000290	T265_12657	FGIG_00121
OG0000291	T265_04365	FGIG_00724, FGIG_00726
OG0000292	T265_06608	FGIG_01340, FGIG_10382
OG0000293	T265_03762	FGIG_03259
OG0000293	T265_15333	FGIG_10208, FGIG_04594
OG0000293	T265_10243	FGIG_06127
OG0000294	T265_09655	FGIG_03314
OG0000295	T265_14299	FGIG_04922
OG0000296	T265_14159, T265_14160	FGIG_05009
OG0000296	T265_05818	FGIG_07123, FGIG_07878, FGIG_07122
OG0000297	T265_10571	FGIG_05203
OG0000298	T265_13422	FGIG_10124
OG0000298	T265_13679	FGIG_05892
OG0000299	T265_00596	FGIG_06707
OG0000300	T265_13509	FGIG_06727
OG0000301	T265_12938	FGIG_07052
OG0000302	T265_10713	FGIG_07305
OG0000303	T265_14378	FGIG_11626
OG0000303	T265_07763	FGIG_07919
OG0000304	T265_12343, T265_14866	FGIG_09605
OG0000305	T265_05934	FGIG_09613, FGIG_09611, FGIG_12612
OG0000306	T265_14560	FGIG_11983, FGIG_10527
OG0000307	T265_07841	FGIG_12478
OG0000311	T265_00973	FGIG_01279
OG0000312	T265_01921	FGIG_09661, FGIG_01495, FGIG_09662
OG0000313	T265_09150	FGIG_03443
OG0000314	T265_01890	FGIG_03632
OG0000315	T265_11685, T265_11690	FGIG_03911
OG0000315	T265_04922	FGIG_07353, FGIG_07352
OG0000316	T265_01535	FGIG_04659, FGIG_09851
OG0000317	T265_05123	FGIG_05137
OG0000318	T265_07846, T265_14409	FGIG_05250
OG0000319	T265_01888	FGIG_06268, FGIG_06269
OG0000320	T265_07800	FGIG_00209
OG0000320	T265_04040	FGIG_08913
OG0000321	T265_04495	FGIG_00856, FGIG_00857
OG0000322	T265_16264, T265_11089, T265_16340	FGIG_01204
OG0000323	T265_03095	FGIG_02690
OG0000324	T265_14121, T265_06759	FGIG_04179
OG0000325	T265_01773	FGIG_04546
OG0000326	T265_00641, T265_03157	FGIG_04814
OG0000327	T265_02347, T265_09489, T265_09958, T265_07526	FGIG_06438, FGIG_08722, FGIG_11975
OG0000327	T265_14620, T265_02671, T265_02673	FGIG_09141
OG0000328	T265_14757, T265_16117	FGIG_09711
OG0000329	T265_09935	FGIG_11990
OG0000332	T265_06732	FGIG_00632
OG0000333	T265_12002, T265_16355	FGIG_01538
OG0000334	T265_01786, T265_13083	FGIG_02321
OG0000335	T265_00217	FGIG_02931
OG0000336	T265_10908	FGIG_05611
OG0000336	T265_00993	FGIG_03447
OG0000337	T265_00559	FGIG_07022
OG0000341	T265_00227, T265_10507, T265_02670, T265_11860, T265_02303	FGIG_01721
OG0000341	T265_07144, T265_12151, T265_10850, T265_01497, T265_10851	FGIG_05086
OG0000341	T265_12148	FGIG_03151, FGIG_03152, FGIG_00248, FGIG_06153, FGIG_04226, FGIG_06180, FGIG_09700, FGIG_12642, FGIG_00506, FGIG_00036, FGIG_06152, FGIG_03322, FGIG_03118, FGIG_11886, FGIG_00035, FGIG_05505, FGIG_05506, FGIG_05087, FGIG_05507
OG0000342	T265_06197	FGIG_05549
OG0000342	T265_12666	FGIG_00226
OG0000343	T265_13980	FGIG_01634, FGIG_01635
OG0000344	T265_08425	FGIG_01866
OG0000345	T265_05949	FGIG_01894
OG0000346	T265_11581	FGIG_01903
OG0000346	T265_02834	FGIG_09179
OG0000347	T265_10741	FGIG_02160, FGIG_12660
OG0000348	T265_16293, T265_14984, T265_16184	FGIG_03483
OG0000349	T265_04375	FGIG_04573, FGIG_04572, FGIG_06122
OG0000350	T265_06604	FGIG_04749
OG0000351	T265_06873	FGIG_05010
OG0000352	T265_13524	FGIG_05384, FGIG_11348, FGIG_05385
OG0000353	T265_07437	FGIG_06289
OG0000354	T265_10467	FGIG_10148, FGIG_09059
OG0000355	T265_00276, T265_16001	FGIG_10341, FGIG_12112, FGIG_12113
OG0000356	T265_05555	FGIG_10789, FGIG_10788, FGIG_10790
OG0000357	T265_04749	FGIG_12459
OG0000359	T265_02465	FGIG_00275
OG0000360	T265_09152	FGIG_01496
OG0000361	T265_00382	FGIG_02685, FGIG_02684
OG0000362	T265_09349	FGIG_02801
OG0000363	T265_04138	FGIG_03340, FGIG_03341, FGIG_03338
OG0000364	T265_04227	FGIG_03707
OG0000365	T265_13943	FGIG_12204, FGIG_04576
OG0000366	T265_09296, T265_14802	FGIG_06034, FGIG_09373, FGIG_12323
OG0000367	T265_01910	FGIG_07381
OG0000368	T265_13246, T265_13243	FGIG_07710, FGIG_12057
OG0000369	T265_07721, T265_07722	FGIG_08435
OG0000370	T265_00271, T265_00274, T265_03617, T265_00269, T265_00272	FGIG_08520
OG0000371	T265_06459	FGIG_08814
OG0000372	T265_01134, T265_03329	FGIG_08961
OG0000373	T265_14558	FGIG_12324, FGIG_09323
OG0000374	T265_11863	FGIG_09768
OG0000375	T265_06672, T265_10946	FGIG_10082
OG0000376	T265_11878	FGIG_10153, FGIG_11766, FGIG_11765
OG0000378	T265_05203	FGIG_11867
OG0000380	T265_11613	FGIG_10359
OG0000380	T265_15157	FGIG_01104
OG0000380	T265_03707	FGIG_10893, FGIG_11041
OG0000381	T265_00434, T265_15881	FGIG_01453
OG0000381	T265_00435	FGIG_01451, FGIG_01452
OG0000382	T265_02482	FGIG_01588, FGIG_06764
OG0000382	T265_12879	FGIG_02246
OG0000383	T265_08239	FGIG_01645, FGIG_01646
OG0000384	T265_09198, T265_09197	FGIG_01701
OG0000385	T265_11602	FGIG_11275, FGIG_08742
OG0000385	T265_01125	FGIG_01970
OG0000385	T265_09794	FGIG_08723, FGIG_08724
OG0000385	T265_09072	FGIG_09649, FGIG_08987
OG0000386	T265_11583	FGIG_07934, FGIG_07933, FGIG_05021, FGIG_05980
OG0000387	T265_06420	FGIG_05744, FGIG_12613
OG0000388	T265_11998	FGIG_06147
OG0000389	T265_00782	FGIG_06300
OG0000390	T265_11108, T265_11109	FGIG_06318
OG0000391	T265_09227	FGIG_06566, FGIG_07343
OG0000392	T265_14483	FGIG_06786
OG0000393	T265_15423	FGIG_06864
OG0000394	T265_08783	FGIG_12663, FGIG_07717
OG0000395	T265_08193	FGIG_07807
OG0000396	T265_13488	FGIG_07980
OG0000397	T265_01775	FGIG_07986
OG0000398	T265_10761	FGIG_08346
OG0000398	T265_10760	FGIG_08154
OG0000399	T265_14889, T265_03269	FGIG_08267
OG0000400	T265_14201, T265_08063, T265_08065	FGIG_12136, FGIG_08348
OG0000400	T265_10204	FGIG_09690, FGIG_09691
OG0000401	T265_05655	FGIG_10170, FGIG_10171
OG0000405	T265_09724	FGIG_00540, FGIG_04407, FGIG_00542, FGIG_00541
OG0000406	T265_05341	FGIG_00915
OG0000407	T265_12731	FGIG_01328
OG0000408	T265_07479	FGIG_01770
OG0000409	T265_03788	FGIG_01990
OG0000410	T265_13515	FGIG_03157
OG0000411	T265_13195	FGIG_03726
OG0000412	T265_09842	FGIG_04797
OG0000413	T265_02540	FGIG_05095
OG0000414	T265_06878, T265_06876, T265_06877	FGIG_05869
OG0000415	T265_13626, T265_04888	FGIG_06429
OG0000416	T265_07350	FGIG_10985, FGIG_07789, FGIG_12457
OG0000416	T265_09488	FGIG_07250
OG0000417	T265_01300	FGIG_07860
OG0000418	T265_07406, T265_14544	FGIG_07977, FGIG_11738, FGIG_12450
OG0000419	T265_00950	FGIG_09307
OG0000420	T265_01216	FGIG_09853
OG0000421	T265_13603	FGIG_09942
OG0000422	T265_01327	FGIG_10041
OG0000425	T265_00752	FGIG_00596
OG0000426	T265_12440	FGIG_00984
OG0000427	T265_13396	FGIG_01900, FGIG_06350
OG0000428	T265_08399	FGIG_02141, FGIG_04993, FGIG_02140
OG0000429	T265_07901	FGIG_05114
OG0000429	T265_10847	FGIG_08773
OG0000430	T265_11497	FGIG_02540, FGIG_02734
OG0000431	T265_00379	FGIG_02682
OG0000432	T265_10186	FGIG_02953
OG0000433	T265_13054	FGIG_03051
OG0000434	T265_05326	FGIG_07436, FGIG_07788, FGIG_12172, FGIG_03250
OG0000435	T265_01204	FGIG_03380, FGIG_03381
OG0000436	T265_03713	FGIG_04181
OG0000437	T265_13806	FGIG_04672
OG0000438	T265_09760	FGIG_04722
OG0000439	T265_02427	FGIG_05052
OG0000440	T265_08332	FGIG_05435
OG0000441	T265_00253	FGIG_06666
OG0000441	T265_07836	FGIG_10681, FGIG_09295
OG0000442	T265_09824	FGIG_06753
OG0000444	T265_11552	FGIG_09462, FGIG_11910, FGIG_09471
OG0000445	T265_12793	FGIG_11201
OG0000447	T265_03299	FGIG_00135
OG0000448	T265_05426	FGIG_00556
OG0000449	T265_03361	FGIG_00826
OG0000450	T265_11348	FGIG_01291
OG0000450	T265_01101	FGIG_04679
OG0000451	T265_05748	FGIG_01553
OG0000452	T265_09821	FGIG_03230
OG0000453	T265_06719	FGIG_04192
OG0000454	T265_12900	FGIG_06158
OG0000454	T265_02660	FGIG_09647
OG0000455	T265_13543	FGIG_06485
OG0000456	T265_00028	FGIG_08883
OG0000457	T265_06520	FGIG_08921
OG0000458	T265_14731	FGIG_09209
OG0000459	T265_12673	FGIG_09431
OG0000460	T265_02173	FGIG_11773
OG0000465	T265_12004, T265_15852	FGIG_00532
OG0000466	T265_00717, T265_09088	FGIG_01561, FGIG_03877, FGIG_01560, FGIG_01559
OG0000467	T265_06392, T265_14024, T265_15837	FGIG_02474, FGIG_02706, FGIG_02707, FGIG_02708, FGIG_02710, FGIG_02709
OG0000468	T265_13212	FGIG_02572
OG0000469	T265_06265	FGIG_03009
OG0000470	T265_02354	FGIG_04092
OG0000471	T265_04176	FGIG_05330, FGIG_05331
OG0000472	T265_08287	FGIG_10508
OG0000472	T265_14526, T265_08288	FGIG_06143
OG0000473	T265_09380	FGIG_06411, FGIG_12123, FGIG_06410
OG0000474	T265_12460	FGIG_07254
OG0000475	T265_14673	FGIG_07645
OG0000476	T265_07244	FGIG_08382, FGIG_08383
OG0000477	T265_01343	FGIG_08447, FGIG_12672
OG0000478	T265_09689	FGIG_09003, FGIG_10674
OG0000479	T265_11380	FGIG_09169
