Orthogroup	opisthorchis_viverrini	schistosoma_mattheei
OG0000010	T265_04547	SMTH1_70670.1
OG0000010	T265_00181	SMTH1_102050.1, SMTH1_70050.1
OG0000012	T265_16252, T265_09012	SMTH1_45260.1, SMTH1_45270.1
OG0000014	T265_11882	SMTH1_42310.20, SMTH1_42310.7, SMTH1_42310.19, SMTH1_42310.4, SMTH1_42310.5, SMTH1_42310.2, SMTH1_42310.13, SMTH1_42310.14, SMTH1_42310.17, SMTH1_42310.3, SMTH1_42310.10, SMTH1_42310.6, SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11, SMTH1_42310.12, SMTH1_42310.9
OG0000015	T265_11957	SMTH1_73160.1, SMTH1_73170.1
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	SMTH1_42560.1
OG0000019	T265_07377	SMTH1_40590.10, SMTH1_40590.6, SMTH1_40590.8, SMTH1_40590.5, SMTH1_40590.7, SMTH1_40590.9, SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4, SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	SMTH1_9440.1
OG0000021	T265_00883	SMTH1_6700.1, SMTH1_82170.1, SMTH1_6710.1, SMTH1_6660.1, SMTH1_6650.1, SMTH1_6670.1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	SMTH1_6690.1, SMTH1_6690.2
OG0000022	T265_03268	SMTH1_30110.1
OG0000023	T265_09097	SMTH1_107560.1, SMTH1_39840.1, SMTH1_107460.1, SMTH1_78450.1, SMTH1_91200.1
OG0000024	T265_04524, T265_12877	SMTH1_26330.1
OG0000024	T265_08845	SMTH1_101590.1
OG0000024	T265_10896, T265_12043, T265_03132	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3
OG0000026	T265_07485	SMTH1_88650.1, SMTH1_88650.2
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	SMTH1_80430.1, SMTH1_80360.1
OG0000027	T265_14036	SMTH1_44580.22, SMTH1_44580.24, SMTH1_44580.37, SMTH1_44580.23, SMTH1_44580.17, SMTH1_44580.16, SMTH1_44580.9, SMTH1_44580.31, SMTH1_44580.26, SMTH1_44580.10, SMTH1_44580.13, SMTH1_44580.2, SMTH1_44580.30, SMTH1_44580.11, SMTH1_44580.5, SMTH1_44580.27, SMTH1_44580.28, SMTH1_44580.32, SMTH1_44580.29, SMTH1_44580.3, SMTH1_44580.19, SMTH1_44580.33, SMTH1_44580.35, SMTH1_44580.4, SMTH1_44580.39, SMTH1_44580.15, SMTH1_44580.21, SMTH1_44580.8, SMTH1_44580.34, SMTH1_44580.6, SMTH1_44580.7, SMTH1_44580.36, SMTH1_44580.12, SMTH1_44580.20, SMTH1_44580.25, SMTH1_44580.38, SMTH1_44580.18, SMTH1_44580.1, SMTH1_44580.14
OG0000028	T265_03596, T265_13290	SMTH1_78260.1, SMTH1_78260.2
OG0000029	T265_08214	SMTH1_63900.1
OG0000029	T265_00572, T265_00570, T265_00571	SMTH1_96900.1
OG0000029	T265_11026	SMTH1_22560.5
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	SMTH1_97890.7, SMTH1_54510.1, SMTH1_97890.3, SMTH1_97890.4, SMTH1_97890.5, SMTH1_97890.6, SMTH1_97890.1, SMTH1_97890.2
OG0000030	T265_14111	SMTH1_7700.1
OG0000031	T265_06361	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5
OG0000032	T265_07282	SMTH1_88710.1, SMTH1_10840.2, SMTH1_10840.1, SMTH1_88700.1, SMTH1_88690.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3, SMTH1_101830.1, SMTH1_101820.1, SMTH1_101820.2, SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1, SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1, SMTH1_63730.1
OG0000035	T265_00972	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4
OG0000037	T265_00630	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1, SMTH1_66620.1, SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1
OG0000038	T265_12650	SMTH1_5930.1, SMTH1_97940.1, SMTH1_48020.1, SMTH1_1760.1, SMTH1_1760.2, SMTH1_33860.1, SMTH1_52630.1, SMTH1_66560.1, SMTH1_51860.1
OG0000040	T265_01293	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3, SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	SMTH1_44430.1, SMTH1_44430.2, SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2, SMTH1_44330.1, SMTH1_44340.1, SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1, SMTH1_44390.1, SMTH1_44410.1
OG0000043	T265_02563	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	SMTH1_95170.1, SMTH1_95180.1, SMTH1_95210.1, SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1
OG0000047	T265_15705	SMTH1_32570.1, SMTH1_35900.2, SMTH1_35900.6, SMTH1_35900.7, SMTH1_35900.4, SMTH1_35900.3, SMTH1_35900.1, SMTH1_35900.5
OG0000049	T265_01286	SMTH1_77450.1, SMTH1_77460.1
OG0000049	T265_15552	SMTH1_81780.1
OG0000050	T265_02127, T265_02652	SMTH1_59780.1, SMTH1_59790.1, SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13
OG0000052	T265_08730, T265_12065	SMTH1_31800.1
OG0000052	T265_04421	SMTH1_3820.1
OG0000052	T265_02480	SMTH1_2070.1
OG0000052	T265_06797	SMTH1_74430.1
OG0000053	T265_11166	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9
OG0000055	T265_07023	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1
OG0000058	T265_07455	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1
OG0000058	T265_13746	SMTH1_89470.1
OG0000060	T265_13025	SMTH1_72720.1
OG0000061	T265_02884	SMTH1_58650.1
OG0000062	T265_10452	SMTH1_7050.1, SMTH1_7060.1
OG0000063	T265_09823	SMTH1_43840.1
OG0000064	T265_15306	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	SMTH1_107120.1, SMTH1_25650.1, SMTH1_25600.1, SMTH1_25640.1, SMTH1_25640.2
OG0000066	T265_07972	SMTH1_41200.8, SMTH1_41200.10, SMTH1_41200.5, SMTH1_41200.9, SMTH1_41200.1, SMTH1_41200.3, SMTH1_41200.7, SMTH1_41200.4, SMTH1_41200.2, SMTH1_41200.6
OG0000068	T265_12520	SMTH1_60000.1, SMTH1_60010.1
OG0000068	T265_06616	SMTH1_105080.1, SMTH1_105080.2
OG0000068	T265_13582	SMTH1_40460.1, SMTH1_40460.5, SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4
OG0000068	T265_03815	SMTH1_31850.1
OG0000070	T265_10197	SMTH1_48740.1
OG0000071	T265_11263, T265_11264	SMTH1_37950.1
OG0000072	T265_13598	SMTH1_99330.1, SMTH1_99340.1
OG0000073	T265_11926	SMTH1_61870.1, SMTH1_61880.1, SMTH1_61880.2, SMTH1_61880.3
OG0000074	T265_06662	SMTH1_1470.7, SMTH1_1470.8, SMTH1_1470.4, SMTH1_1470.1, SMTH1_1470.2, SMTH1_1470.3, SMTH1_1470.6, SMTH1_1470.5
OG0000074	T265_09755	SMTH1_97660.1
OG0000074	T265_14825	SMTH1_12710.5, SMTH1_12710.1, SMTH1_12710.2, SMTH1_12710.4, SMTH1_12710.3
OG0000074	T265_13709	SMTH1_97780.1
OG0000075	T265_02596	SMTH1_37710.1, SMTH1_37730.1, SMTH1_37720.1
OG0000076	T265_01838	SMTH1_100810.1
OG0000076	T265_09657, T265_14927	SMTH1_4450.2, SMTH1_4450.3, SMTH1_4450.4, SMTH1_4450.1, SMTH1_4450.5
OG0000077	T265_07170	SMTH1_12170.1, SMTH1_12170.2, SMTH1_12170.4, SMTH1_12170.3, SMTH1_12170.10, SMTH1_12170.8, SMTH1_12170.5, SMTH1_12170.7, SMTH1_12170.9, SMTH1_12170.6
OG0000078	T265_10237, T265_16023	SMTH1_6320.1, SMTH1_6330.1
OG0000079	T265_03623	SMTH1_34060.2, SMTH1_34060.4, SMTH1_34060.1, SMTH1_34060.3, SMTH1_34060.5
OG0000079	T265_11700	SMTH1_60070.2, SMTH1_60070.4, SMTH1_60070.3, SMTH1_60070.1
OG0000080	T265_07150, T265_07149	SMTH1_49150.6, SMTH1_49150.3, SMTH1_49150.1, SMTH1_49150.5, SMTH1_49150.2, SMTH1_49150.4, SMTH1_49150.7, SMTH1_49150.8
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	SMTH1_107550.1, SMTH1_105800.1, SMTH1_15900.1, SMTH1_85790.1, SMTH1_85760.1, SMTH1_42880.1, SMTH1_870.1
OG0000082	T265_13150	SMTH1_11790.11, SMTH1_11790.12, SMTH1_11790.1, SMTH1_11790.2, SMTH1_11790.3, SMTH1_11790.4, SMTH1_11790.5, SMTH1_11790.9, SMTH1_11790.8, SMTH1_11790.10, SMTH1_11790.6, SMTH1_11790.7, SMTH1_11790.13, SMTH1_11790.14
OG0000085	T265_03464, T265_13261, T265_16244	SMTH1_40330.1, SMTH1_40330.10, SMTH1_40330.2, SMTH1_40330.3, SMTH1_40330.4, SMTH1_40330.5, SMTH1_40330.7, SMTH1_40330.8, SMTH1_40330.6, SMTH1_40330.9
OG0000086	T265_13900	SMTH1_81430.2, SMTH1_81430.3, SMTH1_81430.6, SMTH1_81430.7, SMTH1_81430.4, SMTH1_81430.5, SMTH1_81430.8, SMTH1_81430.9, SMTH1_81430.1
OG0000087	T265_01347, T265_12258	SMTH1_59010.1, SMTH1_59010.12, SMTH1_59010.14, SMTH1_59010.15, SMTH1_59010.16, SMTH1_59010.6, SMTH1_59010.8, SMTH1_59010.9, SMTH1_59010.13, SMTH1_59010.7, SMTH1_59010.5, SMTH1_59010.10, SMTH1_59010.4, SMTH1_59010.11, SMTH1_59010.17, SMTH1_59010.2, SMTH1_59010.3
OG0000090	T265_02657, T265_14540	SMTH1_55910.5, SMTH1_55910.4, SMTH1_55910.6, SMTH1_55910.1, SMTH1_55910.2, SMTH1_55910.3
OG0000091	T265_04053	SMTH1_53400.1
OG0000092	T265_14035, T265_15099	SMTH1_2640.1, SMTH1_2640.2, SMTH1_2640.3
OG0000092	T265_03205	SMTH1_14740.1
OG0000093	T265_08704	SMTH1_44730.1
OG0000093	T265_06064, T265_06061, T265_06063	SMTH1_43690.1, SMTH1_43700.1, SMTH1_43710.1, SMTH1_43680.2, SMTH1_43680.3, SMTH1_43680.1, SMTH1_43690.2
OG0000094	T265_06493	SMTH1_9680.2, SMTH1_9680.3, SMTH1_9680.1, SMTH1_9680.5, SMTH1_9680.4, SMTH1_9680.6
OG0000095	T265_08487	SMTH1_68360.1
OG0000096	T265_09813	SMTH1_39100.6, SMTH1_39100.1, SMTH1_39100.2, SMTH1_39100.8, SMTH1_39100.7, SMTH1_39100.3, SMTH1_39100.10, SMTH1_39100.4, SMTH1_39100.5, SMTH1_39100.9
OG0000097	T265_02082	SMTH1_7960.1
OG0000098	T265_08810	SMTH1_45820.1, SMTH1_45820.2
OG0000098	T265_16367, T265_15515	SMTH1_74230.1, SMTH1_74220.1
OG0000099	T265_01131	SMTH1_75170.1
OG0000099	T265_02321	SMTH1_80070.5, SMTH1_80070.1, SMTH1_80070.4, SMTH1_80070.2, SMTH1_80070.3
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	SMTH1_78430.1, SMTH1_100040.1, SMTH1_78440.1, SMTH1_66570.1, SMTH1_94920.1, SMTH1_60580.1, SMTH1_15580.1, SMTH1_74510.1
OG0000102	T265_01574	SMTH1_6850.1, SMTH1_6850.2, SMTH1_6850.3, SMTH1_6850.4
OG0000102	T265_05632	SMTH1_65150.1
OG0000103	T265_13207	SMTH1_82550.10, SMTH1_82550.1, SMTH1_82550.2, SMTH1_82550.3, SMTH1_82550.4, SMTH1_82550.8, SMTH1_82550.7, SMTH1_82550.5, SMTH1_82550.6, SMTH1_82550.9
OG0000105	T265_07815, T265_03022	SMTH1_8820.1, SMTH1_8820.2, SMTH1_8820.3, SMTH1_8820.4, SMTH1_8820.5, SMTH1_8820.6, SMTH1_8820.7, SMTH1_8820.8, SMTH1_8820.9
OG0000108	T265_04554, T265_13536	SMTH1_9500.1
OG0000110	T265_08891, T265_08892	SMTH1_33110.1, SMTH1_33070.1, SMTH1_33080.1
OG0000110	T265_08890	SMTH1_33130.1
OG0000111	T265_09132	SMTH1_45910.1
OG0000111	T265_08991, T265_14719	SMTH1_34710.1, SMTH1_34710.2
OG0000112	T265_10678	SMTH1_92870.1, SMTH1_92880.1
OG0000114	T265_15923, T265_05226, T265_11486	SMTH1_104970.1
OG0000115	T265_14637	SMTH1_40570.1, SMTH1_40570.12, SMTH1_40570.3, SMTH1_40570.4, SMTH1_40570.7, SMTH1_40570.11, SMTH1_40570.6, SMTH1_40570.10, SMTH1_40570.2, SMTH1_40570.5, SMTH1_40570.8, SMTH1_40570.9
OG0000116	T265_02129	SMTH1_56110.1
OG0000117	T265_11206	SMTH1_33220.1
OG0000119	T265_12920	SMTH1_105850.1, SMTH1_105830.1, SMTH1_105850.5, SMTH1_105850.2, SMTH1_105850.4, SMTH1_105830.2, SMTH1_105850.3
OG0000120	T265_09108	SMTH1_107750.15, SMTH1_107750.1, SMTH1_107750.3, SMTH1_33290.1, SMTH1_33290.3, SMTH1_33290.4, SMTH1_107750.4, SMTH1_107750.10, SMTH1_107750.12, SMTH1_107750.16, SMTH1_107750.7, SMTH1_55820.1, SMTH1_107750.11, SMTH1_107750.5, SMTH1_107750.6, SMTH1_33290.5, SMTH1_107750.2, SMTH1_33290.2, SMTH1_33290.7, SMTH1_55820.3, SMTH1_55820.2, SMTH1_107750.13, SMTH1_107750.14, SMTH1_107750.9, SMTH1_33290.6, SMTH1_107750.8
OG0000122	T265_15228, T265_15224	SMTH1_89440.1
OG0000123	T265_02792	SMTH1_87340.1
OG0000125	T265_13688	SMTH1_1620.1
OG0000127	T265_14567	SMTH1_25070.3, SMTH1_25070.1, SMTH1_25070.2, SMTH1_25070.4
OG0000128	T265_14408	SMTH1_47950.1, SMTH1_47950.2, SMTH1_47950.3
OG0000129	T265_07587	SMTH1_35850.5, SMTH1_35850.1, SMTH1_35850.7, SMTH1_35850.2, SMTH1_35850.3, SMTH1_35850.8, SMTH1_35850.4, SMTH1_35850.6
OG0000130	T265_04661	SMTH1_89720.8, SMTH1_89720.1, SMTH1_89720.2, SMTH1_89720.3, SMTH1_89720.4, SMTH1_89720.5, SMTH1_89720.6, SMTH1_89720.7, SMTH1_89720.9
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	SMTH1_9790.1, SMTH1_9790.3, SMTH1_9790.2, SMTH1_95200.1, SMTH1_95190.1
OG0000132	T265_00680	SMTH1_39420.1
OG0000133	T265_04893	SMTH1_35160.11, SMTH1_35160.2, SMTH1_35160.3, SMTH1_35160.5, SMTH1_35160.6, SMTH1_35160.1, SMTH1_35160.4, SMTH1_35160.7, SMTH1_35160.10, SMTH1_35160.9, SMTH1_35160.8
OG0000134	T265_14784	SMTH1_22380.1
OG0000135	T265_07991, T265_11510	SMTH1_14940.1, SMTH1_14940.2, SMTH1_14940.7, SMTH1_14940.6, SMTH1_14940.5, SMTH1_14940.3, SMTH1_14940.4
OG0000136	T265_11527	SMTH1_8440.1, SMTH1_8450.1
OG0000138	T265_11205	SMTH1_97260.1, SMTH1_97260.2, SMTH1_97260.3
OG0000138	T265_13897	SMTH1_50090.1, SMTH1_50090.2, SMTH1_50090.3, SMTH1_50090.4
OG0000139	T265_03450	SMTH1_4530.1, SMTH1_4520.1
OG0000140	T265_06793, T265_05820	SMTH1_84690.1
OG0000142	T265_03704, T265_07291, T265_15439	SMTH1_22220.1, SMTH1_22230.1, SMTH1_22240.1, SMTH1_22260.1, SMTH1_22250.1
OG0000143	T265_04146, T265_13432	SMTH1_75760.1, SMTH1_75770.1
OG0000144	T265_01304	SMTH1_60870.1
OG0000144	T265_12086	SMTH1_30570.1
OG0000144	T265_06668, T265_13782	SMTH1_63350.1, SMTH1_63350.3, SMTH1_63350.5, SMTH1_63350.2, SMTH1_63350.4
OG0000145	T265_14746	SMTH1_36980.1
OG0000146	T265_07748	SMTH1_101450.1
OG0000146	T265_07423, T265_07424	SMTH1_62830.1
OG0000146	T265_08388	SMTH1_32350.1
OG0000146	T265_03861	SMTH1_52670.1, SMTH1_52670.2
OG0000149	T265_03520	SMTH1_60020.1, SMTH1_60020.3, SMTH1_60020.2, SMTH1_60020.4, SMTH1_60020.5, SMTH1_60020.6, SMTH1_60020.7
OG0000151	T265_06094	SMTH1_70720.1, SMTH1_70710.1, SMTH1_70710.10, SMTH1_70710.3, SMTH1_70710.4, SMTH1_70710.6, SMTH1_70710.2, SMTH1_70710.11, SMTH1_70710.5, SMTH1_70710.8, SMTH1_70710.7, SMTH1_70710.9
OG0000152	T265_06135	SMTH1_12520.1, SMTH1_12430.3, SMTH1_12430.1, SMTH1_12430.2, SMTH1_12430.4, SMTH1_12430.5, SMTH1_12430.7, SMTH1_12430.6
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113	SMTH1_56020.1, SMTH1_56720.1, SMTH1_56660.1, SMTH1_56660.2, SMTH1_56660.3
OG0000154	T265_03183	SMTH1_20370.1
OG0000155	T265_08299	SMTH1_40880.5, SMTH1_40880.3, SMTH1_40880.8, SMTH1_40880.6, SMTH1_40880.1, SMTH1_40880.2, SMTH1_40880.10, SMTH1_40880.11, SMTH1_40880.4, SMTH1_40880.9, SMTH1_40880.7
OG0000156	T265_00887, T265_16074	SMTH1_21930.1
OG0000156	T265_03696, T265_15374	SMTH1_21920.2, SMTH1_21920.1, SMTH1_21920.7, SMTH1_21920.6, SMTH1_21920.3, SMTH1_21920.4, SMTH1_21920.5
OG0000157	T265_06998, T265_11481	SMTH1_68650.1
OG0000157	T265_01460, T265_12799	SMTH1_48940.1
OG0000157	T265_09530, T265_09531, T265_14875	SMTH1_104820.3, SMTH1_104820.1, SMTH1_104820.2
OG0000158	T265_15093	SMTH1_6290.1, SMTH1_6300.1
OG0000159	T265_08123	SMTH1_69180.6, SMTH1_69180.3, SMTH1_69180.4, SMTH1_69180.1, SMTH1_69180.2, SMTH1_69180.5
OG0000160	T265_10045	SMTH1_16290.2, SMTH1_16290.1, SMTH1_16290.3
OG0000161	T265_02978	SMTH1_38560.4, SMTH1_38560.1, SMTH1_38560.3, SMTH1_38560.2
OG0000164	T265_13175	SMTH1_68170.1
OG0000164	T265_00011	SMTH1_85910.1, SMTH1_85910.2
OG0000164	T265_00309	SMTH1_61700.1
OG0000164	T265_07457	SMTH1_33670.2, SMTH1_33670.3, SMTH1_33670.1
OG0000165	T265_11439	SMTH1_72910.8, SMTH1_72910.6, SMTH1_72910.3, SMTH1_72910.4, SMTH1_72910.7, SMTH1_72910.1, SMTH1_72910.2, SMTH1_72910.5
OG0000166	T265_10300	SMTH1_97320.1
OG0000167	T265_06764	SMTH1_83320.2, SMTH1_83320.3, SMTH1_83320.6, SMTH1_83320.4, SMTH1_83320.1, SMTH1_83320.7, SMTH1_83320.5
OG0000169	T265_09476	SMTH1_105100.3, SMTH1_105100.4, SMTH1_105100.1, SMTH1_105100.2, SMTH1_49040.3, SMTH1_49040.4, SMTH1_49040.5, SMTH1_49040.1, SMTH1_49040.2
OG0000169	T265_02738, T265_02739, T265_02737	SMTH1_104550.1
OG0000170	T265_12986	SMTH1_78500.1, SMTH1_78510.1
OG0000171	T265_03862, T265_12839, T265_04612, T265_00184	SMTH1_63600.1, SMTH1_100490.1, SMTH1_78370.1, SMTH1_101340.1, SMTH1_56600.1, SMTH1_15950.1, SMTH1_36250.1, SMTH1_103810.1, SMTH1_74440.1, SMTH1_36630.1, SMTH1_107200.1, SMTH1_65370.1
OG0000172	T265_00976	SMTH1_20790.2, SMTH1_20790.4, SMTH1_20790.1, SMTH1_20790.3
OG0000173	T265_02233	SMTH1_91610.1
OG0000175	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591	SMTH1_46290.1, SMTH1_45990.1, SMTH1_45980.1, SMTH1_45970.1, SMTH1_45960.1
OG0000176	T265_07532, T265_09847	SMTH1_76420.1, SMTH1_78680.1, SMTH1_78310.1, SMTH1_23550.1, SMTH1_7150.1
OG0000177	T265_00175	SMTH1_65220.1, SMTH1_65220.2, SMTH1_65220.3, SMTH1_65220.5, SMTH1_65220.4
OG0000178	T265_14067, T265_06556, T265_06557	SMTH1_28980.1, SMTH1_28980.2, SMTH1_28980.3, SMTH1_28980.4
OG0000179	T265_00043	SMTH1_62130.1, SMTH1_62140.2, SMTH1_62140.3, SMTH1_62140.6, SMTH1_62140.1, SMTH1_62140.4, SMTH1_62140.5
OG0000180	T265_07809	SMTH1_91090.1, SMTH1_91080.1, SMTH1_91100.1
OG0000182	T265_01820, T265_01818	SMTH1_64220.1
OG0000182	T265_15629, T265_15631	SMTH1_32050.1, SMTH1_32060.1
OG0000183	T265_03893	SMTH1_36270.2, SMTH1_36270.8, SMTH1_36270.9, SMTH1_36270.6, SMTH1_36270.1, SMTH1_36270.4, SMTH1_36270.7, SMTH1_36270.3, SMTH1_36270.5
OG0000184	T265_08817, T265_08819	SMTH1_55790.1, SMTH1_55790.2, SMTH1_55790.3
OG0000184	T265_01209, T265_01210, T265_16188	SMTH1_55800.1
OG0000185	T265_08504	SMTH1_36410.8, SMTH1_36410.7, SMTH1_36410.2, SMTH1_36410.1, SMTH1_36410.3, SMTH1_36410.5, SMTH1_36410.9, SMTH1_36410.4, SMTH1_36410.6
OG0000186	T265_11314	SMTH1_80440.1
OG0000187	T265_00019	SMTH1_58360.3, SMTH1_58360.4, SMTH1_58360.2, SMTH1_58360.1, SMTH1_58360.5
