Orthogroup	schistosoma_intercalatum	schistosoma_bovis
OG0000006	SINT1_5030.1, SINT1_76970.1	SBOV2_88050.1, SBOV2_52390.1, SBOV2_58500.1
OG0000006	SINT1_49590.1	SBOV2_58600.1
OG0000006	SINT1_9870.1	SBOV2_55160.1
OG0000006	SINT1_94400.1	SBOV2_82790.1
OG0000006	SINT1_60220.1, SINT1_12740.1, SINT1_76250.1, SINT1_88950.1	SBOV2_14350.1
OG0000008	SINT1_46510.1	SBOV2_96040.1, SBOV2_51900.1, SBOV2_87350.1, SBOV2_87350.2
OG0000008	SINT1_25930.1, SINT1_64440.1, SINT1_70830.1	SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1
OG0000008	SINT1_63570.1	SBOV2_76140.1, SBOV2_89640.1
OG0000008	SINT1_79730.1	SBOV2_96210.1
OG0000008	SINT1_53990.1	SBOV2_37140.1
OG0000008	SINT1_53990.2	SBOV2_37140.1
OG0000008	SINT1_83680.1, SINT1_92450.1, SINT1_22730.1	SBOV2_68530.1
OG0000009	SINT1_95730.1	SBOV2_1710.1
OG0000009	SINT1_75940.1	SBOV2_76160.1
OG0000009	SINT1_51070.1	SBOV2_62130.1
OG0000009	SINT1_51490.1	SBOV2_91300.1
OG0000009	SINT1_36860.1	SBOV2_89880.1
OG0000009	SINT1_55890.1	SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1
OG0000009	SINT1_45810.1	SBOV2_45750.1
OG0000010	SINT1_4710.1, SINT1_4710.2, SINT1_74240.1	SBOV2_95290.1
OG0000010	SINT1_9600.1	SBOV2_2840.1
OG0000010	SINT1_7650.1	SBOV2_30110.1
OG0000010	SINT1_9310.1, SINT1_54220.1	SBOV2_3700.1
OG0000012	SINT1_40600.22, SINT1_40600.15, SINT1_40600.8, SINT1_40600.13, SINT1_40600.18, SINT1_40600.11, SINT1_40600.2, SINT1_40600.12, SINT1_40600.6, SINT1_40600.4, SINT1_40600.1, SINT1_40600.5, SINT1_40600.7, SINT1_40600.19, SINT1_40600.3, SINT1_40600.9, SINT1_40600.16, SINT1_40600.17, SINT1_40600.10, SINT1_40600.14, SINT1_40600.21, SINT1_40600.20	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29
OG0000014	SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9	SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30
OG0000014	SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7	SBOV2_29480.34
OG0000015	SINT1_38300.1	SBOV2_29460.1
OG0000015	SINT1_65310.1	SBOV2_65410.1
OG0000015	SINT1_65320.1	SBOV2_65420.1
OG0000015	SINT1_38460.1	SBOV2_29300.1
OG0000015	SINT1_38470.2	SBOV2_29290.1
OG0000015	SINT1_43600.1	SBOV2_42840.1
OG0000015	SINT1_43670.1	SBOV2_42900.1
OG0000015	SINT1_42740.3, SINT1_42740.4	SBOV2_41940.1, SBOV2_41950.1
OG0000015	SINT1_42760.1	SBOV2_41990.2
OG0000015	SINT1_42780.1	SBOV2_41990.1
OG0000015	SINT1_10280.1	SBOV2_9870.1
OG0000016	SINT1_37810.1	SBOV2_9920.1
OG0000016	SINT1_62650.1, SINT1_30130.1	SBOV2_22430.1
OG0000016	SINT1_34270.1	SBOV2_28680.1, SBOV2_47660.1
OG0000016	SINT1_39950.1	SBOV2_51280.1
OG0000016	SINT1_43570.1	SBOV2_95410.1
OG0000016	SINT1_35360.1	SBOV2_13150.1, SBOV2_45900.1, SBOV2_44650.1, SBOV2_94160.1
OG0000018	SINT1_96520.2, SINT1_63310.1, SINT1_22160.7, SINT1_22160.13, SINT1_22160.4, SINT1_22160.5, SINT1_22160.1, SINT1_22160.10, SINT1_22160.11, SINT1_22160.12, SINT1_22160.2, SINT1_22160.3, SINT1_22160.6	SBOV2_2690.1
OG0000019	SINT1_36670.10	SBOV2_30990.8
OG0000019	SINT1_36670.2	SBOV2_30990.15, SBOV2_30990.16
OG0000019	SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8	SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9
OG0000019	SINT1_36670.11	SBOV2_30990.6, SBOV2_30990.1
OG0000020	SINT1_90400.1, SINT1_95080.1	SBOV2_90950.4, SBOV2_90950.1, SBOV2_90950.2, SBOV2_90950.3
OG0000021	SINT1_8390.1	SBOV2_7110.1
OG0000021	SINT1_5840.1, SINT1_5850.1	SBOV2_5830.1
OG0000021	SINT1_5860.1	SBOV2_5840.1
OG0000021	SINT1_5810.2	SBOV2_5800.2
OG0000021	SINT1_5810.1	SBOV2_5800.1
OG0000021	SINT1_5820.1	SBOV2_5810.1
OG0000021	SINT1_5830.1	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2
OG0000021	SINT1_5790.2, SINT1_5790.1	SBOV2_5780.1
OG0000022	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30	SBOV2_40340.1
OG0000023	SINT1_19010.1	SBOV2_19240.1
OG0000023	SINT1_24820.1, SINT1_69890.1	SBOV2_75080.1
OG0000023	SINT1_27970.1	SBOV2_22350.1
OG0000023	SINT1_18470.1	SBOV2_78210.1
OG0000023	SINT1_22950.1, SINT1_24600.1	SBOV2_56510.1
OG0000024	SINT1_23830.1	SBOV2_23240.1
OG0000024	SINT1_90000.1	SBOV2_90560.1
OG0000024	SINT1_79070.1, SINT1_79070.2	SBOV2_79360.1, SBOV2_79360.2
OG0000024	SINT1_79060.1	SBOV2_79350.1
OG0000026	SINT1_78530.1, SINT1_78530.2	SBOV2_78760.1
OG0000026	SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8
OG0000028	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5	SBOV2_69930.3, SBOV2_69930.6
OG0000029	SINT1_57320.1	SBOV2_57030.1
OG0000029	SINT1_85860.1	SBOV2_86480.1
OG0000029	SINT1_20550.1	SBOV2_19870.1
OG0000029	SINT1_20550.2	SBOV2_19870.1
OG0000029	SINT1_20550.3	SBOV2_19870.1
OG0000029	SINT1_20550.1	SBOV2_19870.2
OG0000029	SINT1_20550.2	SBOV2_19870.2
OG0000029	SINT1_20550.3	SBOV2_19870.2
OG0000029	SINT1_20550.1	SBOV2_19870.3
OG0000029	SINT1_20550.2	SBOV2_19870.3
OG0000029	SINT1_20550.3	SBOV2_19870.3
OG0000029	SINT1_20550.1	SBOV2_19870.4
OG0000029	SINT1_20550.2	SBOV2_19870.4
OG0000029	SINT1_20550.3	SBOV2_19870.4
OG0000030	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	SINT1_10460.1	SBOV2_10100.1
OG0000032	SINT1_10480.1	SBOV2_10120.1
OG0000032	SINT1_10470.1	SBOV2_10110.1
OG0000032	SINT1_57170.1	SBOV2_56850.1
OG0000032	SINT1_9690.1	SBOV2_9410.1
OG0000032	SINT1_78580.1	SBOV2_78800.1
OG0000032	SINT1_78580.2	SBOV2_78800.1
OG0000033	SINT1_28240.1, SINT1_17560.1	SBOV2_74200.1
OG0000033	SINT1_40580.1	SBOV2_47110.1
OG0000034	SINT1_90240.1, SINT1_90240.2	SBOV2_90790.1
OG0000034	SINT1_90230.1	SBOV2_90780.1
OG0000034	SINT1_90220.1	SBOV2_90770.1
OG0000034	SINT1_57200.1	SBOV2_56880.1
OG0000034	SINT1_57110.1, SINT1_57210.1	SBOV2_56890.1
OG0000034	SINT1_57250.1	SBOV2_56930.1
OG0000034	SINT1_57220.1	SBOV2_56900.1
OG0000035	SINT1_14990.1	SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26
OG0000036	SINT1_19610.1, SINT1_90930.1	SBOV2_64000.1, SBOV2_64000.2
OG0000036	SINT1_32000.1, SINT1_51990.1, SINT1_94410.1, SINT1_4460.1, SINT1_37350.1	SBOV2_10500.1, SBOV2_96110.1
OG0000037	SINT1_95680.1, SINT1_95220.1	SBOV2_59320.1
OG0000037	SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1	SBOV2_59490.1, SBOV2_59490.2
OG0000037	SINT1_59650.1	SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5
OG0000038	SINT1_40590.1	SBOV2_78900.1
OG0000038	SINT1_5670.1	SBOV2_50970.1
OG0000038	SINT1_58550.1, SINT1_74240.2, SINT1_82700.1	SBOV2_92900.1
OG0000038	SINT1_76010.1	SBOV2_71000.1
OG0000038	SINT1_76020.1	SBOV2_96330.1
OG0000040	SINT1_52070.2, SINT1_52070.4	SBOV2_53440.5, SBOV2_53440.6
OG0000040	SINT1_52070.3	SBOV2_53440.1
OG0000040	SINT1_52070.7, SINT1_52070.6	SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4
OG0000040	SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1	SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8
OG0000042	SINT1_39890.1	SBOV2_27900.1
OG0000042	SINT1_39880.1	SBOV2_27910.1, SBOV2_27910.2
OG0000042	SINT1_39840.1	SBOV2_27970.1
OG0000042	SINT1_39870.1	SBOV2_27960.4, SBOV2_27960.6
OG0000042	SINT1_39850.1, SINT1_39860.1	SBOV2_27920.1, SBOV2_27940.1, SBOV2_27950.1, SBOV2_27960.3
OG0000043	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7
OG0000044	SINT1_84450.1	SBOV2_85070.1
OG0000044	SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8	SBOV2_85080.1
OG0000044	SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1	SBOV2_85100.1
OG0000044	SINT1_84530.1	SBOV2_85120.1
OG0000044	SINT1_84540.1	SBOV2_85130.1
OG0000045	SINT1_10700.1	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6
OG0000046	SINT1_91720.1	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2
OG0000047	SINT1_21890.1	SBOV2_68600.1
OG0000048	SINT1_94890.1, SINT1_94900.1	SBOV2_22140.1, SBOV2_68910.1
OG0000048	SINT1_46050.1	SBOV2_22170.1, SBOV2_22190.1, SBOV2_22190.2
OG0000049	SINT1_69090.2, SINT1_69090.3	SBOV2_69310.2, SBOV2_69310.1
OG0000049	SINT1_69090.5, SINT1_69090.1, SINT1_69090.4	SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5
OG0000049	SINT1_72570.1	SBOV2_72720.5
OG0000050	SINT1_53550.1	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8
OG0000050	SINT1_53580.1	SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12
OG0000051	SINT1_27210.1, SINT1_83870.1, SINT1_96010.1	SBOV2_51000.1, SBOV2_49080.1
OG0000051	SINT1_79040.1, SINT1_4210.1, SINT1_4220.1	SBOV2_41630.1
OG0000051	SINT1_28060.1	SBOV2_17010.1
OG0000051	SINT1_64520.1	SBOV2_1690.1
OG0000051	SINT1_79470.1	SBOV2_60960.1, SBOV2_79880.1, SBOV2_68980.1, SBOV2_84560.1, SBOV2_84560.2, SBOV2_90390.1
OG0000051	SINT1_41080.1, SINT1_83550.1	SBOV2_56520.1
OG0000052	SINT1_28750.1	SBOV2_38940.1, SBOV2_38940.2
OG0000052	SINT1_3180.1	SBOV2_3270.1
OG0000052	SINT1_900.1	SBOV2_990.1, SBOV2_990.2
OG0000052	SINT1_1600.1	SBOV2_1730.1
OG0000052	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3
OG0000053	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9
OG0000053	SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13	SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7
OG0000054	SINT1_94200.1	SBOV2_23060.1, SBOV2_13380.1, SBOV2_23070.1
OG0000055	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8
OG0000056	SINT1_81410.1	SBOV2_96410.1, SBOV2_96280.2, SBOV2_96280.1, SBOV2_96280.4
OG0000056	SINT1_64430.1	SBOV2_44710.1
OG0000057	SINT1_37450.1	SBOV2_35070.1
OG0000057	SINT1_2990.1	SBOV2_19440.1, SBOV2_36360.1, SBOV2_10510.1
OG0000058	SINT1_88570.1	SBOV2_88040.2, SBOV2_88040.1
OG0000058	SINT1_79220.1	SBOV2_79500.1
OG0000058	SINT1_79230.1	SBOV2_79520.1
OG0000058	SINT1_79260.1	SBOV2_79550.2, SBOV2_79550.3
OG0000058	SINT1_79280.1, SINT1_79280.2	SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7
OG0000058	SINT1_79210.1	SBOV2_79490.2, SBOV2_79490.1
OG0000060	SINT1_64930.1	SBOV2_64940.2, SBOV2_64940.17, SBOV2_64940.4, SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15
OG0000061	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6
OG0000062	SINT1_6140.1	SBOV2_6080.14, SBOV2_6080.15, SBOV2_6080.5, SBOV2_6080.7, SBOV2_6080.1, SBOV2_6080.10, SBOV2_6080.2, SBOV2_6080.3, SBOV2_6080.9, SBOV2_6080.13, SBOV2_6080.6, SBOV2_6080.8, SBOV2_6080.11, SBOV2_6080.4, SBOV2_6080.12
OG0000063	SINT1_39400.9, SINT1_39400.8	SBOV2_28360.11
OG0000063	SINT1_39400.2, SINT1_39400.7	SBOV2_28360.6, SBOV2_28360.3, SBOV2_28360.5, SBOV2_28360.10, SBOV2_28360.4, SBOV2_28360.8
OG0000063	SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12	SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9
OG0000064	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5	SBOV2_4260.9, SBOV2_4260.4, SBOV2_4260.11, SBOV2_4260.14, SBOV2_4260.6, SBOV2_4260.13, SBOV2_4260.2, SBOV2_4260.8, SBOV2_4260.15, SBOV2_4260.5, SBOV2_4260.12, SBOV2_4260.1, SBOV2_4260.10, SBOV2_4260.3, SBOV2_4260.7
OG0000065	SINT1_23130.1, SINT1_23160.1	SBOV2_22570.1, SBOV2_22560.1
OG0000065	SINT1_23220.3, SINT1_23220.2	SBOV2_22600.1
OG0000066	SINT1_37090.4, SINT1_37090.9	SBOV2_30560.11, SBOV2_30560.7
OG0000066	SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10	SBOV2_30560.3, SBOV2_30560.5, SBOV2_30560.12
OG0000066	SINT1_37090.3	SBOV2_30560.10, SBOV2_30560.4, SBOV2_30560.6, SBOV2_30560.2, SBOV2_30560.8, SBOV2_30560.9
OG0000066	SINT1_37090.5	SBOV2_30560.1
OG0000067	SINT1_67000.1, SINT1_67000.7, SINT1_67000.6, SINT1_67000.8, SINT1_67000.9, SINT1_67000.2, SINT1_67000.3, SINT1_67000.4, SINT1_67000.5	SBOV2_67100.14, SBOV2_67100.10, SBOV2_67100.15, SBOV2_67100.16, SBOV2_67100.8, SBOV2_67100.9, SBOV2_67100.3, SBOV2_67100.5, SBOV2_67100.6, SBOV2_67100.1, SBOV2_67100.7, SBOV2_67100.11, SBOV2_67100.4, SBOV2_67100.12, SBOV2_67100.13, SBOV2_67100.2
OG0000068	SINT1_53720.1	SBOV2_51770.1
OG0000068	SINT1_93040.1	SBOV2_93650.1
OG0000068	SINT1_36550.2	SBOV2_31110.3
OG0000068	SINT1_28800.1	SBOV2_38890.1
