Orthogroup	schistosoma_intercalatum	opisthorchis_viverrini
OG0000014	SINT1_38280.2, SINT1_38280.22, SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20, SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7	T265_11882
OG0000015	SINT1_65310.1, SINT1_65320.1	T265_11957
OG0000015	SINT1_38460.1	T265_01474, T265_01478, T265_01475, T265_15127
OG0000015	SINT1_43600.1	T265_01476, T265_15570
OG0000019	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5, SINT1_36670.11	T265_07377
OG0000021	SINT1_8390.1	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494
OG0000021	SINT1_5840.1, SINT1_5850.1, SINT1_5860.1, SINT1_5810.2, SINT1_5810.1, SINT1_5820.1	T265_00883
OG0000021	SINT1_5830.1	T265_13972, T265_07708, T265_07709, T265_14167
OG0000022	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30	T265_03268
OG0000023	SINT1_19010.1, SINT1_96140.1	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001
OG0000023	SINT1_24820.1, SINT1_69890.1, SINT1_27970.1, SINT1_18470.1, SINT1_22950.1, SINT1_24600.1, SINT1_50610.1	T265_09097
OG0000024	SINT1_23830.1	T265_04524, T265_12877
OG0000024	SINT1_90000.1	T265_08845
OG0000026	SINT1_78530.1, SINT1_78530.2	T265_07485
OG0000026	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2, SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1	T265_12778, T265_12779, T265_13344, T265_13367
OG0000027	SINT1_40020.1	T265_14036
OG0000028	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5, SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14	T265_03596, T265_13290
OG0000029	SINT1_57320.1	T265_08214
OG0000029	SINT1_85860.1	T265_00572, T265_00570, T265_00571
OG0000030	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40	T265_14111
OG0000031	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3	T265_06361
OG0000032	SINT1_57170.1	T265_03331
OG0000032	SINT1_9690.1, SINT1_78580.1, SINT1_78580.2	T265_07282
OG0000034	SINT1_90240.1, SINT1_90240.2, SINT1_90230.1, SINT1_90220.1, SINT1_57200.1, SINT1_57110.1, SINT1_57210.1, SINT1_57250.1, SINT1_57100.1, SINT1_57220.1	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005
OG0000035	SINT1_14990.1	T265_00972
OG0000037	SINT1_95680.1, SINT1_95220.1, SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1, SINT1_59630.1, SINT1_96530.1, SINT1_59650.1, SINT1_96160.1, SINT1_96640.1	T265_00630
OG0000038	SINT1_14070.1, SINT1_62270.1, SINT1_56370.1, SINT1_40590.1, SINT1_5670.1, SINT1_5660.1, SINT1_2460.1, SINT1_2470.1, SINT1_58550.1, SINT1_74240.2, SINT1_82700.1, SINT1_76010.1, SINT1_76020.1, SINT1_58840.1	T265_12650
OG0000040	SINT1_52070.2, SINT1_52070.4, SINT1_52070.3, SINT1_52070.7, SINT1_52070.6, SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1	T265_01293
OG0000042	SINT1_39890.1, SINT1_39880.1, SINT1_39840.1, SINT1_39870.1, SINT1_39850.1, SINT1_39860.1	T265_12048, T265_11239, T265_15548, T265_15551
OG0000043	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8	T265_02563
OG0000044	SINT1_84450.1, SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8, SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1, SINT1_84530.1, SINT1_84540.1	T265_05071, T265_05072, T265_08625, T265_11935
OG0000047	SINT1_21890.1, SINT1_77100.1, SINT1_77100.5, SINT1_77100.2, SINT1_77100.3, SINT1_77100.4	T265_15705
OG0000049	SINT1_69090.2, SINT1_69090.3, SINT1_69090.5, SINT1_69090.1, SINT1_69090.4	T265_01286
OG0000049	SINT1_72570.1	T265_15552
OG0000050	SINT1_53550.1, SINT1_53580.1	T265_02127, T265_02652
OG0000052	SINT1_28750.1	T265_08730, T265_12065
OG0000052	SINT1_3180.1	T265_04421
OG0000052	SINT1_1600.1	T265_02480
OG0000052	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3	T265_06797
OG0000053	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4, SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13	T265_11166
OG0000054	SINT1_63080.1	T265_13045
OG0000055	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7	T265_07023
OG0000058	SINT1_88570.1	T265_07455
OG0000058	SINT1_79220.1	T265_13746
OG0000060	SINT1_64930.1	T265_13025
OG0000061	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5	T265_02884
OG0000062	SINT1_6140.1	T265_10452
OG0000063	SINT1_39400.9, SINT1_39400.8, SINT1_39400.3, SINT1_39400.6, SINT1_39400.2, SINT1_39400.7, SINT1_39400.1, SINT1_39400.5, SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12	T265_09823
OG0000064	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5	T265_15306
OG0000065	SINT1_23130.1, SINT1_23160.1, SINT1_23220.3, SINT1_23220.2, SINT1_23220.1, SINT1_23190.1, SINT1_23180.2	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335
OG0000066	SINT1_37090.4, SINT1_37090.9, SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10, SINT1_37090.3, SINT1_37090.11, SINT1_37090.5, SINT1_37090.2	T265_07972
OG0000068	SINT1_53720.1	T265_12520
OG0000068	SINT1_93040.1	T265_06616
OG0000068	SINT1_36550.2, SINT1_36550.1, SINT1_36550.3	T265_13582
OG0000068	SINT1_28800.1	T265_03815
OG0000070	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11	T265_10197
OG0000071	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5	T265_11263, T265_11264
OG0000072	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8	T265_13598
OG0000073	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3	T265_11926
OG0000074	SINT1_1200.2, SINT1_1200.1	T265_06662
OG0000074	SINT1_86470.1	T265_09755
OG0000074	SINT1_11530.3, SINT1_11530.2, SINT1_11530.1	T265_14825
OG0000074	SINT1_86570.1	T265_13709
OG0000075	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21	T265_02596
OG0000076	SINT1_89270.4, SINT1_89270.2, SINT1_89270.1, SINT1_89270.3	T265_01838
OG0000076	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7	T265_09657, T265_14927
OG0000077	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5	T265_07170
OG0000078	SINT1_5520.8, SINT1_5520.1, SINT1_5520.9, SINT1_5520.4, SINT1_5520.2, SINT1_5520.3, SINT1_5520.5, SINT1_5520.6, SINT1_5520.7	T265_10237, T265_16023
OG0000079	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4	T265_03623
OG0000079	SINT1_53840.5, SINT1_53840.1, SINT1_53840.3, SINT1_53840.2, SINT1_53840.4, SINT1_53840.6	T265_11700
OG0000080	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9	T265_07150, T265_07149
OG0000081	SINT1_2370.1, SINT1_69680.1, SINT1_65950.1, SINT1_34300.1, SINT1_80800.1, SINT1_7880.1, SINT1_44890.1, SINT1_44230.1, SINT1_19300.1, SINT1_2900.1, SINT1_38270.1, SINT1_58320.1	T265_01189, T265_06107, T265_02619, T265_12063
OG0000082	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9	T265_13150
OG0000085	SINT1_36430.1	T265_03464, T265_13261, T265_16244
OG0000086	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2	T265_13900
OG0000087	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7	T265_01347, T265_12258
OG0000090	SINT1_49900.5, SINT1_49900.1, SINT1_49900.2, SINT1_49900.3, SINT1_49900.4, SINT1_49900.6, SINT1_49900.7, SINT1_49900.8	T265_02657, T265_14540
OG0000091	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6	T265_04053
OG0000092	SINT1_2100.1, SINT1_2100.2	T265_14035, T265_15099
OG0000092	SINT1_13320.1, SINT1_13320.2	T265_03205
OG0000093	SINT1_40130.1	T265_08704
OG0000093	SINT1_39320.1	T265_06064, T265_06061, T265_06063
OG0000094	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9	T265_06493
OG0000095	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7	T265_08487
OG0000096	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14	T265_09813
OG0000097	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8	T265_02082
OG0000098	SINT1_94630.1, SINT1_41140.1	T265_08810
OG0000098	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2	T265_16367, T265_15515
OG0000099	SINT1_67160.1, SINT1_67160.2, SINT1_67160.4, SINT1_67160.3, SINT1_67160.5	T265_01131
OG0000099	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4	T265_02321
OG0000100	SINT1_38550.1, SINT1_73100.1, SINT1_76440.1, SINT1_26250.1	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636
OG0000102	SINT1_5950.1	T265_01574
OG0000102	SINT1_58290.1, SINT1_58290.2	T265_05632
OG0000103	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6	T265_13207
OG0000105	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3	T265_07815, T265_03022
OG0000107	SINT1_56150.1	T265_07863
OG0000108	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2	T265_04554, T265_13536
OG0000110	SINT1_29940.1, SINT1_29940.2, SINT1_29900.1	T265_08891, T265_08892
OG0000110	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4	T265_08890
OG0000111	SINT1_41240.1	T265_09132
OG0000111	SINT1_31320.2, SINT1_31320.1	T265_08991, T265_14719
OG0000112	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8	T265_10678
OG0000114	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6	T265_15923, T265_05226, T265_11486
OG0000115	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13	T265_14637
OG0000116	SINT1_50100.1	T265_02129
OG0000117	SINT1_30050.5, SINT1_30050.14, SINT1_30050.11, SINT1_30050.13, SINT1_30050.2, SINT1_30050.3, SINT1_30050.8, SINT1_30050.4, SINT1_30050.6, SINT1_30050.12, SINT1_30050.1, SINT1_30050.7, SINT1_30050.9, SINT1_30050.10	T265_11206
OG0000119	SINT1_93740.1, SINT1_93730.1	T265_12920
OG0000120	SINT1_30140.3, SINT1_30140.1, SINT1_30140.4, SINT1_30140.6, SINT1_30140.8, SINT1_30140.5, SINT1_30140.7, SINT1_30140.2	T265_09108
OG0000122	SINT1_79190.5, SINT1_79190.6, SINT1_79190.1, SINT1_79190.3, SINT1_79190.2, SINT1_79190.4	T265_15228, T265_15224
OG0000123	SINT1_77380.6, SINT1_77380.14, SINT1_77380.11, SINT1_77380.3, SINT1_77380.2, SINT1_77380.9, SINT1_77380.5, SINT1_77380.1, SINT1_77380.8, SINT1_77380.12, SINT1_77380.4, SINT1_77380.13, SINT1_77380.16, SINT1_77380.15, SINT1_77380.7, SINT1_77380.10	T265_02792
OG0000125	SINT1_1310.1, SINT1_1310.4, SINT1_1310.8, SINT1_1310.5, SINT1_1310.6, SINT1_1310.7, SINT1_1310.3, SINT1_1310.2	T265_13688
OG0000127	SINT1_22790.3, SINT1_22790.1, SINT1_22790.2	T265_14567
OG0000128	SINT1_43010.1	T265_14408
OG0000129	SINT1_32320.9, SINT1_32320.6, SINT1_32320.7, SINT1_32320.10, SINT1_32320.11, SINT1_32320.8, SINT1_32320.5, SINT1_32320.2, SINT1_32320.1, SINT1_32320.3, SINT1_32320.4	T265_07587
OG0000130	SINT1_80760.1	T265_04661
OG0000131	SINT1_8740.1, SINT1_84520.1, SINT1_84470.1, SINT1_84480.1, SINT1_84490.1	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523
OG0000132	SINT1_35550.3, SINT1_35550.2, SINT1_35550.10, SINT1_35550.1, SINT1_35550.11, SINT1_35550.12, SINT1_35550.5, SINT1_35550.6, SINT1_35550.7, SINT1_35550.9, SINT1_35550.4, SINT1_35550.8	T265_00680
OG0000133	SINT1_31700.1, SINT1_31700.8, SINT1_31700.3, SINT1_31700.2, SINT1_31700.4, SINT1_31700.5, SINT1_31700.6, SINT1_31700.7	T265_04893
OG0000134	SINT1_20430.1, SINT1_20430.5, SINT1_20430.7, SINT1_20430.6, SINT1_20430.2, SINT1_20430.3, SINT1_20430.10, SINT1_20430.4, SINT1_20430.8, SINT1_20430.9	T265_14784
OG0000135	SINT1_13520.1, SINT1_13520.2, SINT1_13520.7, SINT1_13520.9, SINT1_13520.10, SINT1_13520.8, SINT1_13520.11, SINT1_13520.12, SINT1_13520.3, SINT1_13520.4, SINT1_13520.5, SINT1_13520.6	T265_07991, T265_11510
OG0000136	SINT1_7430.1, SINT1_7460.1, SINT1_7420.1, SINT1_7420.2	T265_11527
OG0000138	SINT1_86150.1	T265_11205
OG0000138	SINT1_45050.1, SINT1_45050.2	T265_13897
OG0000139	SINT1_3860.1, SINT1_3860.4, SINT1_3860.8, SINT1_3860.10, SINT1_3860.2, SINT1_3860.6, SINT1_3860.7, SINT1_3860.5, SINT1_3860.9, SINT1_3860.3	T265_03450
OG0000140	SINT1_74990.1	T265_06793, T265_05820
OG0000142	SINT1_20300.1, SINT1_20310.1, SINT1_20320.1, SINT1_20340.1, SINT1_20330.1	T265_03704, T265_07291, T265_15439
OG0000143	SINT1_67570.1, SINT1_96680.1, SINT1_67580.1	T265_04146, T265_13432
OG0000144	SINT1_54570.1, SINT1_54570.2, SINT1_54570.3	T265_01304
OG0000144	SINT1_27700.1	T265_12086
OG0000144	SINT1_56820.1	T265_06668, T265_13782
OG0000145	SINT1_33280.1, SINT1_33280.2	T265_14746
OG0000146	SINT1_89890.1	T265_07748
OG0000146	SINT1_56400.1	T265_07423, T265_07424
OG0000146	SINT1_29210.3, SINT1_29210.2, SINT1_29210.1	T265_08388
OG0000146	SINT1_47190.1	T265_03861
OG0000149	SINT1_53730.4, SINT1_53730.1, SINT1_53730.2, SINT1_53730.5, SINT1_53730.6, SINT1_53730.7, SINT1_53730.3	T265_03520
OG0000151	SINT1_63190.1	T265_06094
OG0000152	SINT1_11220.1, SINT1_11220.3, SINT1_11220.5, SINT1_11220.6, SINT1_11220.4, SINT1_11360.1, SINT1_11220.2, SINT1_11220.7	T265_06135
OG0000153	SINT1_50010.1, SINT1_50670.1, SINT1_50690.1, SINT1_50680.1, SINT1_50620.1, SINT1_50620.2	T265_16031, T265_12191, T265_02887, T265_13113
OG0000154	SINT1_18590.7, SINT1_18590.5, SINT1_18590.1, SINT1_18590.4, SINT1_18590.6, SINT1_18590.2, SINT1_18590.3, SINT1_18590.8, SINT1_18590.10, SINT1_18590.9	T265_03183
OG0000155	SINT1_36950.1	T265_08299
OG0000156	SINT1_20080.1	T265_00887, T265_16074
OG0000156	SINT1_20070.2, SINT1_20070.1, SINT1_20070.3, SINT1_20070.4	T265_03696, T265_15374
OG0000157	SINT1_61450.1	T265_06998, T265_11481
OG0000157	SINT1_43950.1	T265_01460, T265_12799
OG0000157	SINT1_92800.1, SINT1_92800.2	T265_09530, T265_09531, T265_14875
