Orthogroup	schistosoma_margrebowiei	schistosoma_turkestanicum
OG0000027	SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2	STRK1_105950.1
OG0000028	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5	STRK1_68350.1
OG0000029	SMRG1_58130.1	STRK1_108400.1
OG0000029	SMRG1_88400.1	STRK1_85070.1
OG0000029	SMRG1_88360.1	STRK1_85080.1
OG0000029	SMRG1_19850.1	STRK1_18700.1
OG0000029	SMRG1_19850.1	STRK1_18700.2
OG0000029	SMRG1_89280.1	STRK1_87900.1, STRK1_87910.1
OG0000029	SMRG1_89270.1	STRK1_87920.1
OG0000030	SMRG1_6460.1	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3
OG0000031	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3
OG0000032	SMRG1_9950.1, SMRG1_9950.2	STRK1_9690.1
OG0000032	SMRG1_57890.2	STRK1_56770.1
OG0000032	SMRG1_80130.1	STRK1_76860.1
OG0000034	SMRG1_92940.1	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3
OG0000034	SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1	STRK1_89060.1, STRK1_89070.1, STRK1_89080.1
OG0000034	SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1, SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1	STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1
OG0000035	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1
OG0000036	SMRG1_7990.1, SMRG1_53020.1, SMRG1_3370.1, SMRG1_15860.1, SMRG1_22870.1, SMRG1_22870.2, SMRG1_85620.1, SMRG1_49470.2, SMRG1_49020.1, SMRG1_49030.1, SMRG1_13610.1, SMRG1_93510.1, SMRG1_93510.2, SMRG1_33810.1, SMRG1_2120.1, SMRG1_2120.2, SMRG1_20420.1, SMRG1_79710.1	STRK1_42430.1
OG0000037	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2
OG0000037	SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6	STRK1_58000.1, STRK1_105220.1, STRK1_57980.1
OG0000040	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5
OG0000042	SMRG1_40000.1, SMRG1_40000.2	STRK1_38240.1
OG0000042	SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3	STRK1_38230.1, STRK1_38230.2, STRK1_38230.3
OG0000042	SMRG1_39890.1, SMRG1_39890.2	STRK1_38190.1
OG0000042	SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1, SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1	STRK1_38200.1, STRK1_38210.1, STRK1_38220.1
OG0000043	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18	STRK1_23860.1, STRK1_23860.2
OG0000044	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3	STRK1_83210.1, STRK1_83210.2
OG0000044	SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2	STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1
OG0000044	SMRG1_86970.2, SMRG1_86970.1	STRK1_83840.1
OG0000044	SMRG1_86980.1	STRK1_83810.1
OG0000048	SMRG1_22310.1, SMRG1_22640.1, SMRG1_97910.1, SMRG1_97910.2, SMRG1_22650.1, SMRG1_22400.1, SMRG1_22450.1, SMRG1_22670.1, SMRG1_47240.1, SMRG1_47250.1, SMRG1_70230.1, SMRG1_45620.1, SMRG1_86460.1, SMRG1_81960.1, SMRG1_81980.1, SMRG1_22510.1, SMRG1_84630.1	STRK1_101920.1
OG0000049	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8	STRK1_67640.1
OG0000049	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6	STRK1_71350.1
OG0000050	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2
OG0000052	SMRG1_28750.1	STRK1_27330.1
OG0000052	SMRG1_3130.1	STRK1_16800.1
OG0000052	SMRG1_980.1	STRK1_440.1
OG0000052	SMRG1_600.1	STRK1_1120.1, STRK1_97400.1
OG0000052	SMRG1_67530.1	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1
OG0000053	SMRG1_16530.1, SMRG1_16530.2	STRK1_2330.1
OG0000054	SMRG1_62790.1, SMRG1_22860.1, SMRG1_96460.1	STRK1_94850.1, STRK1_78190.1
OG0000055	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3	STRK1_66850.1
OG0000058	SMRG1_91250.1	STRK1_86390.1
OG0000058	SMRG1_80930.1	STRK1_77870.1
OG0000058	SMRG1_80990.1	STRK1_77680.1
OG0000058	SMRG1_80920.1, SMRG1_80920.2	STRK1_97370.1, STRK1_100950.1, STRK1_77860.1, STRK1_103520.1, STRK1_77850.1
OG0000060	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1
OG0000061	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2
OG0000062	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3, SMRG1_5900.7, SMRG1_5900.8	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5
OG0000064	SMRG1_4070.1, SMRG1_4070.2	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1
OG0000065	SMRG1_23080.1	STRK1_21210.1
OG0000065	SMRG1_23130.4, SMRG1_23130.2, SMRG1_23130.1, SMRG1_23130.3, SMRG1_23100.1, SMRG1_23100.2, SMRG1_23120.2, SMRG1_23120.5, SMRG1_23120.4, SMRG1_23120.1, SMRG1_23120.3	STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1
OG0000066	SMRG1_37230.2, SMRG1_37230.4, SMRG1_37230.3, SMRG1_37230.7, SMRG1_37230.5, SMRG1_37230.10	STRK1_27970.1, STRK1_27970.2
OG0000066	SMRG1_37230.6, SMRG1_37230.8, SMRG1_37230.9, SMRG1_37230.1	STRK1_27970.3, STRK1_27970.4
OG0000067	SMRG1_68130.15, SMRG1_68130.14, SMRG1_68130.7, SMRG1_68130.2, SMRG1_68130.12, SMRG1_68130.6, SMRG1_68130.1, SMRG1_68130.11, SMRG1_68130.3, SMRG1_68130.4, SMRG1_68130.8, SMRG1_68130.5, SMRG1_68130.10, SMRG1_68130.9, SMRG1_68130.13	STRK1_100070.1
OG0000068	SMRG1_54400.1	STRK1_51720.1
OG0000068	SMRG1_95970.1	STRK1_90930.1
OG0000068	SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1, SMRG1_36660.5	STRK1_31350.1
OG0000068	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1	STRK1_27380.1
OG0000069	SMRG1_19970.2, SMRG1_19970.4, SMRG1_19970.6, SMRG1_19970.1, SMRG1_19970.3, SMRG1_19970.5, SMRG1_19970.7, SMRG1_19970.8	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1
OG0000070	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1
OG0000071	SMRG1_34220.1	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2
OG0000072	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6	STRK1_86450.1
OG0000073	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3
OG0000074	SMRG1_200.1	STRK1_720.1
OG0000074	SMRG1_89070.1	STRK1_88120.1
OG0000074	SMRG1_10950.2, SMRG1_10950.1	STRK1_10690.2, STRK1_10690.1
OG0000075	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14	STRK1_35140.1, STRK1_35140.2
OG0000076	SMRG1_91970.1	STRK1_85230.1, STRK1_85230.2
OG0000076	SMRG1_3760.1, SMRG1_3760.2	STRK1_16320.1, STRK1_16320.2
OG0000077	SMRG1_10440.1	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2
OG0000078	SMRG1_5310.17, SMRG1_5310.18, SMRG1_5310.5, SMRG1_5310.3, SMRG1_5310.6, SMRG1_5310.7, SMRG1_5310.9, SMRG1_5310.10, SMRG1_5310.2, SMRG1_5310.4, SMRG1_5310.1, SMRG1_5310.11, SMRG1_5310.12, SMRG1_5310.13, SMRG1_5310.14, SMRG1_5310.16, SMRG1_5310.8, SMRG1_5310.15	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4
OG0000079	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2	STRK1_29350.1, STRK1_29350.2
OG0000079	SMRG1_54470.2, SMRG1_54470.1, SMRG1_54470.3	STRK1_51780.1, STRK1_51780.2
OG0000080	SMRG1_44390.5, SMRG1_44390.3, SMRG1_44390.2, SMRG1_44390.4, SMRG1_44390.10, SMRG1_44390.13	STRK1_101810.1
OG0000080	SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6	STRK1_39780.1
OG0000082	SMRG1_10080.1	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3
OG0000083	SMRG1_22960.1, SMRG1_15550.1, SMRG1_15550.2, SMRG1_46750.1, SMRG1_6440.1, SMRG1_6440.2, SMRG1_85670.1, SMRG1_85670.2, SMRG1_61870.1	STRK1_77560.1, STRK1_77560.2
OG0000085	SMRG1_36520.1, SMRG1_36520.4, SMRG1_36520.6, SMRG1_36520.3, SMRG1_36520.5, SMRG1_36520.2, SMRG1_36520.8, SMRG1_36520.7	STRK1_31220.1, STRK1_31220.2
OG0000086	SMRG1_73820.11, SMRG1_73820.4, SMRG1_73820.12, SMRG1_73820.2, SMRG1_73820.10, SMRG1_73820.3, SMRG1_73820.5, SMRG1_73820.6, SMRG1_73820.8, SMRG1_73820.7, SMRG1_73820.1, SMRG1_73820.9	STRK1_71670.1, STRK1_71670.2
OG0000087	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4
OG0000088	SMRG1_2980.1	STRK1_17030.1
OG0000088	SMRG1_2970.1	STRK1_17040.1, STRK1_17040.2
OG0000090	SMRG1_50660.11, SMRG1_50660.1, SMRG1_50660.4, SMRG1_50660.5, SMRG1_50660.10, SMRG1_50660.2, SMRG1_50660.3, SMRG1_50660.6, SMRG1_50660.7, SMRG1_50660.8, SMRG1_50660.9	STRK1_49240.1
OG0000091	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5
OG0000092	SMRG1_2010.1, SMRG1_2020.1	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4
OG0000092	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4	STRK1_8500.1, STRK1_8500.2
OG0000093	SMRG1_40250.1	STRK1_38460.1
OG0000093	SMRG1_45910.1, SMRG1_45920.2, SMRG1_45920.3, SMRG1_45920.5, SMRG1_45930.1, SMRG1_45920.1, SMRG1_45920.4	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1
OG0000094	SMRG1_8140.1, SMRG1_8140.2	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5
OG0000095	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13	STRK1_60680.1
OG0000096	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2
OG0000097	SMRG1_6670.1	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3
OG0000098	SMRG1_67360.1	STRK1_64600.1, STRK1_64590.1
OG0000099	SMRG1_68280.1	STRK1_66160.1, STRK1_66130.1, STRK1_104580.1, STRK1_66160.2
OG0000099	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1
OG0000102	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4	STRK1_3550.1, STRK1_3550.2
OG0000102	SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2	STRK1_56260.1
OG0000103	SMRG1_74810.4, SMRG1_74810.5, SMRG1_74810.6, SMRG1_74810.8, SMRG1_74810.3, SMRG1_74810.2, SMRG1_74810.9, SMRG1_74810.7, SMRG1_74810.1	STRK1_75520.1, STRK1_75520.2
OG0000104	SMRG1_5870.6, SMRG1_5870.7, SMRG1_5870.3, SMRG1_5870.4, SMRG1_5870.5, SMRG1_5870.8, SMRG1_5870.1, SMRG1_5870.2, SMRG1_5870.11, SMRG1_5870.9, SMRG1_5870.10, SMRG1_5870.12, SMRG1_5870.13	STRK1_3670.1, STRK1_3670.2
OG0000105	SMRG1_7360.5, SMRG1_7360.7, SMRG1_7360.1, SMRG1_7360.3, SMRG1_7360.8, SMRG1_7360.2, SMRG1_7360.4, SMRG1_7360.6	STRK1_13170.1
OG0000106	SMRG1_74260.1, SMRG1_74280.1, SMRG1_74250.1, SMRG1_74290.1	STRK1_102100.1
OG0000106	SMRG1_74270.1, SMRG1_74240.1	STRK1_72780.1, STRK1_72770.1
OG0000107	SMRG1_56920.1	STRK1_49750.1
OG0000107	SMRG1_51720.1	STRK1_49760.1
OG0000108	SMRG1_8000.1, SMRG1_8000.7, SMRG1_8000.4, SMRG1_8000.5, SMRG1_8000.8, SMRG1_8000.3, SMRG1_8000.2, SMRG1_8000.6, SMRG1_8000.9, SMRG1_8000.10	STRK1_12570.1, STRK1_12570.2
OG0000110	SMRG1_29960.1	STRK1_30120.1
OG0000110	SMRG1_29930.1, SMRG1_29930.2	STRK1_30150.1
OG0000110	SMRG1_29970.1	STRK1_30110.1
OG0000110	SMRG1_29980.2, SMRG1_29980.1	STRK1_30100.1, STRK1_30100.2
OG0000111	SMRG1_52570.1	STRK1_46420.1
OG0000111	SMRG1_31250.1, SMRG1_31250.3, SMRG1_31260.1, SMRG1_31250.2	STRK1_32480.1, STRK1_32510.1
OG0000112	SMRG1_84400.11, SMRG1_84400.3, SMRG1_84400.8, SMRG1_84400.10, SMRG1_84400.1, SMRG1_84400.5, SMRG1_84400.12, SMRG1_84400.2, SMRG1_84400.4, SMRG1_84400.6, SMRG1_84400.9, SMRG1_84400.7	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1
