Orthogroup	schistosoma_margrebowiei	schmidtea_mediterranea
OG0000030	SMRG1_6460.1	h1SMcT0022545.1
OG0000031	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5	h1SMcT0002175.5, h1SMcT0002175.6
OG0000033	SMRG1_34470.1, SMRG1_90410.1, SMRG1_36890.1, SMRG1_36480.1, SMRG1_52190.1, SMRG1_94930.1, SMRG1_9760.1, SMRG1_55780.1, SMRG1_16830.1, SMRG1_15870.1, SMRG1_27620.1, SMRG1_18170.1, SMRG1_34400.1, SMRG1_84130.1	h1SMcT0014497.2, h1SMcT0014497.3
OG0000034	SMRG1_92940.1, SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1, SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1, SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1
OG0000035	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2
OG0000037	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4, SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3
OG0000040	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3
OG0000042	SMRG1_40000.1, SMRG1_40000.2, SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3, SMRG1_39890.1, SMRG1_39890.2, SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1, SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2
OG0000044	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3, SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2, SMRG1_86970.2, SMRG1_86970.1, SMRG1_86980.1	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1
OG0000047	SMRG1_60690.1, SMRG1_6040.1, SMRG1_20040.1, SMRG1_81660.1, SMRG1_22990.1, SMRG1_23000.1, SMRG1_23000.2, SMRG1_23000.3	h1SMcT0019900.1
OG0000049	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2
OG0000049	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3
OG0000050	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4
OG0000052	SMRG1_28750.1	h1SMcT0006122.2
OG0000052	SMRG1_3130.1	h1SMcT0020686.1, h1SMcT0020686.2
OG0000052	SMRG1_980.1	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1
OG0000052	SMRG1_600.1	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1
OG0000052	SMRG1_67530.1	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2
OG0000053	SMRG1_16530.1, SMRG1_16530.2	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2
OG0000054	SMRG1_2760.1, SMRG1_56270.1	h1SMcT0010194.2
OG0000055	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3	h1SMcT0011774.1, h1SMcT0011774.2
OG0000056	SMRG1_75260.1, SMRG1_74860.1, SMRG1_67770.1, SMRG1_14250.1, SMRG1_62560.1, SMRG1_75270.1, SMRG1_75270.2, SMRG1_88480.1, SMRG1_45130.1, SMRG1_2550.1, SMRG1_23560.1, SMRG1_67170.1, SMRG1_94190.1, SMRG1_30140.1	h1SMcT0017059.1
OG0000058	SMRG1_91250.1, SMRG1_80930.1, SMRG1_80970.1, SMRG1_80940.1, SMRG1_80990.1, SMRG1_80920.1, SMRG1_80920.2	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4
OG0000060	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4
OG0000061	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3
OG0000062	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3, SMRG1_5900.7, SMRG1_5900.8	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5
OG0000063	SMRG1_39470.1, SMRG1_39470.7, SMRG1_39470.5, SMRG1_39470.3, SMRG1_39470.2, SMRG1_39470.4, SMRG1_39470.6, SMRG1_39470.8, SMRG1_39470.9	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3
OG0000064	SMRG1_4070.1, SMRG1_4070.2	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2
OG0000066	SMRG1_37230.2, SMRG1_37230.4, SMRG1_37230.3, SMRG1_37230.7, SMRG1_37230.5, SMRG1_37230.10, SMRG1_37230.6, SMRG1_37230.8, SMRG1_37230.9, SMRG1_37230.1	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1
OG0000068	SMRG1_54400.1	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1
OG0000068	SMRG1_95970.1, SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1, SMRG1_36660.5	h1SMcT0007421.1, h1SMcT0007653.1
OG0000068	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1	h1SMcT0008274.1, h1SMcT0013810.1
OG0000069	SMRG1_19970.2, SMRG1_19970.4, SMRG1_19970.6, SMRG1_19970.1, SMRG1_19970.3, SMRG1_19970.5, SMRG1_19970.7, SMRG1_19970.8	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4
OG0000070	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11
OG0000072	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2
OG0000073	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2
OG0000074	SMRG1_200.1	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1
OG0000074	SMRG1_89070.1	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2
OG0000074	SMRG1_89160.1	h1SMcT0008302.1
OG0000075	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14	h1SMcT0017385.1
OG0000076	SMRG1_91970.1	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3
OG0000076	SMRG1_3760.1, SMRG1_3760.2	h1SMcT0013513.1, h1SMcT0013513.2
OG0000077	SMRG1_10440.1	h1SMcT0023123.1
OG0000078	SMRG1_5310.17, SMRG1_5310.18, SMRG1_5310.5, SMRG1_5310.3, SMRG1_5310.6, SMRG1_5310.7, SMRG1_5310.9, SMRG1_5310.10, SMRG1_5310.2, SMRG1_5310.4, SMRG1_5310.1, SMRG1_5310.11, SMRG1_5310.12, SMRG1_5310.13, SMRG1_5310.14, SMRG1_5310.16, SMRG1_5310.8, SMRG1_5310.15	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2
OG0000079	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2	h1SMcT0006746.1, h1SMcT0006746.2
OG0000079	SMRG1_54470.2, SMRG1_54470.1, SMRG1_54470.3	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2
OG0000080	SMRG1_44390.5, SMRG1_44390.3, SMRG1_44390.2, SMRG1_44390.4, SMRG1_44390.10, SMRG1_44390.13, SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6	h1SMcT0013418.1
OG0000087	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6	h1SMcT0020497.1, h1SMcT0020497.2
OG0000088	SMRG1_2980.1, SMRG1_2970.1	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5
OG0000090	SMRG1_50660.11, SMRG1_50660.1, SMRG1_50660.4, SMRG1_50660.5, SMRG1_50660.10, SMRG1_50660.2, SMRG1_50660.3, SMRG1_50660.6, SMRG1_50660.7, SMRG1_50660.8, SMRG1_50660.9	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1
OG0000091	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3
OG0000092	SMRG1_2010.1, SMRG1_2020.1	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5
OG0000092	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4	h1SMcT0002197.1
OG0000093	SMRG1_40250.1	h1SMcT0011102.1, h1SMcT0021280.1
OG0000093	SMRG1_45910.1, SMRG1_45920.2, SMRG1_45920.3, SMRG1_45920.5, SMRG1_45930.1, SMRG1_45920.1, SMRG1_45920.4	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1
OG0000094	SMRG1_8140.1, SMRG1_8140.2	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4
OG0000095	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3
OG0000096	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1
OG0000097	SMRG1_6670.1	h1SMcT0003774.1, h1SMcT0003774.2
OG0000098	SMRG1_41340.1	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1
OG0000098	SMRG1_67360.1	h1SMcT0011165.1, h1SMcT0011165.2, h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2
OG0000099	SMRG1_68280.1	h1SMcT0013445.1, h1SMcT0008305.1
OG0000099	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2
OG0000102	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4, SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7
OG0000104	SMRG1_5870.6, SMRG1_5870.7, SMRG1_5870.3, SMRG1_5870.4, SMRG1_5870.5, SMRG1_5870.8, SMRG1_5870.1, SMRG1_5870.2, SMRG1_5870.11, SMRG1_5870.9, SMRG1_5870.10, SMRG1_5870.12, SMRG1_5870.13	h1SMcT0000528.1, h1SMcT0000528.2
OG0000105	SMRG1_7360.5, SMRG1_7360.7, SMRG1_7360.1, SMRG1_7360.3, SMRG1_7360.8, SMRG1_7360.2, SMRG1_7360.4, SMRG1_7360.6	h1SMcT0022377.1
OG0000107	SMRG1_56920.1	h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2
OG0000107	SMRG1_51720.1	h1SMcT0011073.1, h1SMcT0007346.1, h1SMcT0007346.2
OG0000108	SMRG1_8000.1, SMRG1_8000.7, SMRG1_8000.4, SMRG1_8000.5, SMRG1_8000.8, SMRG1_8000.3, SMRG1_8000.2, SMRG1_8000.6, SMRG1_8000.9, SMRG1_8000.10	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2
OG0000110	SMRG1_29960.1, SMRG1_29930.1, SMRG1_29930.2, SMRG1_29970.1, SMRG1_29980.2, SMRG1_29980.1	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3
OG0000111	SMRG1_41440.1	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2
OG0000111	SMRG1_52570.1	h1SMcT0016216.1
OG0000116	SMRG1_50820.3, SMRG1_50820.5, SMRG1_50820.4, SMRG1_50820.7, SMRG1_50820.10, SMRG1_50820.1, SMRG1_50820.2, SMRG1_50820.8, SMRG1_50820.6, SMRG1_50820.9	h1SMcT0000626.1, h1SMcT0000626.2
OG0000119	SMRG1_96690.2, SMRG1_96690.1, SMRG1_96690.3, SMRG1_96690.8, SMRG1_96690.7, SMRG1_96690.4, SMRG1_96690.6, SMRG1_96690.5, SMRG1_96700.1	h1SMcT0002719.1, h1SMcT0002719.5
