Orthogroup	schistosoma_margrebowiei	schistosoma_japonicum
OG0000015	SMRG1_38500.1	EWB00_004374
OG0000015	SMRG1_43920.2, SMRG1_43920.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	SMRG1_43100.1	EWB00_006401.1, EWB00_006401.2
OG0000015	SMRG1_9700.1, SMRG1_9780.1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000018	SMRG1_78440.1, SMRG1_78450.2, SMRG1_22460.1, SMRG1_83740.11, SMRG1_22460.4, SMRG1_15410.7, SMRG1_15410.8, SMRG1_15410.9, SMRG1_12370.1, SMRG1_21180.1, SMRG1_21180.2, SMRG1_21180.3, SMRG1_78450.3, SMRG1_78450.5, SMRG1_78450.1, SMRG1_78450.4, SMRG1_70990.5, SMRG1_70990.7, SMRG1_70990.9, SMRG1_83740.15, SMRG1_83740.7, SMRG1_83740.1, SMRG1_83740.2, SMRG1_83740.5, SMRG1_83740.6, SMRG1_83740.13, SMRG1_83740.8, SMRG1_15410.5, SMRG1_15410.6, SMRG1_15410.1, SMRG1_15410.10, SMRG1_15410.2, SMRG1_15410.11, SMRG1_15410.3, SMRG1_15410.4, SMRG1_83740.10, SMRG1_83740.14, SMRG1_83740.3, SMRG1_83740.4, SMRG1_69180.2, SMRG1_22460.5, SMRG1_22460.2, SMRG1_22460.3, SMRG1_83740.9, SMRG1_83740.16, SMRG1_83740.12	EWB00_010090
OG0000019	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2	EWB00_004344
OG0000019	SMRG1_36800.13, SMRG1_36800.14	EWB00_004346
OG0000020	SMRG1_93430.1, SMRG1_93400.1, SMRG1_93400.2, SMRG1_93400.3, SMRG1_93500.1, SMRG1_93550.2, SMRG1_93550.3, SMRG1_93550.1	EWB00_000448
OG0000021	SMRG1_7940.1, SMRG1_7940.2	EWB00_010539
OG0000021	SMRG1_5610.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1
OG0000021	SMRG1_5620.1	EWB00_010822
OG0000021	SMRG1_5580.1, SMRG1_5580.2	EWB00_002049
OG0000021	SMRG1_5590.2, SMRG1_5590.4, SMRG1_5590.1, SMRG1_5590.3	EWB00_002050.1, EWB00_002050.2
OG0000021	SMRG1_5600.1	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000021	SMRG1_5560.1, SMRG1_5560.2	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3
OG0000022	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3
OG0000023	SMRG1_41500.1	EWB00_001990
OG0000023	SMRG1_17810.1	EWB00_008435
OG0000024	SMRG1_23720.1	EWB00_007079
OG0000024	SMRG1_92680.1	EWB00_009218.2, EWB00_009218.1, EWB00_009219
OG0000024	SMRG1_64800.1	EWB00_008906
OG0000024	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3	EWB00_001214
OG0000024	SMRG1_80810.1, SMRG1_80810.2	EWB00_003471
OG0000026	SMRG1_80090.1, SMRG1_80090.2	EWB00_002251.1, EWB00_002251.2
OG0000026	SMRG1_72900.1	EWB00_002721
OG0000026	SMRG1_72830.1	EWB00_002746
OG0000027	SMRG1_40140.16, SMRG1_40140.7, SMRG1_40140.17, SMRG1_40140.8, SMRG1_40140.29, SMRG1_40140.26, SMRG1_40140.30, SMRG1_40140.11, SMRG1_40140.34, SMRG1_40140.19, SMRG1_40140.31, SMRG1_40140.9, SMRG1_40140.32, SMRG1_40140.27, SMRG1_40140.14, SMRG1_40140.15, SMRG1_40140.13, SMRG1_40140.35, SMRG1_40140.25, SMRG1_40140.12, SMRG1_40140.33, SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2, SMRG1_40140.28, SMRG1_40140.6, SMRG1_40140.4, SMRG1_40140.5, SMRG1_40140.21, SMRG1_40140.18, SMRG1_40140.20, SMRG1_40140.3, SMRG1_40140.23, SMRG1_40140.22, SMRG1_40140.1	EWB00_003944
OG0000028	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4
OG0000029	SMRG1_58130.1	EWB00_008857
OG0000029	SMRG1_88400.1	EWB00_007517
OG0000029	SMRG1_19850.1	EWB00_002502.1
OG0000029	SMRG1_19850.1	EWB00_002502.2
OG0000029	SMRG1_19850.1	EWB00_002502.4
OG0000029	SMRG1_89280.1	EWB00_004876
OG0000029	SMRG1_89270.1	EWB00_004878
OG0000030	SMRG1_6460.1	EWB00_003826
OG0000031	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	SMRG1_9940.1	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3
OG0000032	SMRG1_9960.1	EWB00_008461
OG0000032	SMRG1_57890.2	EWB00_010258
OG0000032	SMRG1_57890.1	EWB00_009578
OG0000032	SMRG1_9210.1, SMRG1_80140.1, SMRG1_9980.1, SMRG1_80130.1	EWB00_003338
OG0000033	SMRG1_34470.1, SMRG1_90410.1, SMRG1_36890.1, SMRG1_36480.1, SMRG1_52190.1, SMRG1_94930.1, SMRG1_9760.1, SMRG1_55780.1, SMRG1_16830.1, SMRG1_15870.1, SMRG1_27620.1, SMRG1_18170.1, SMRG1_34400.1, SMRG1_84130.1	EWB00_011057, EWB00_008866
OG0000034	SMRG1_92940.1	EWB00_008584
OG0000034	SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1	EWB00_008585
OG0000034	SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1, SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5	EWB00_002318
OG0000036	SMRG1_7990.1, SMRG1_53020.1, SMRG1_3370.1, SMRG1_15860.1, SMRG1_22870.1, SMRG1_22870.2, SMRG1_85620.1, SMRG1_49470.2, SMRG1_49020.1, SMRG1_49030.1, SMRG1_13610.1, SMRG1_93510.1, SMRG1_93510.2, SMRG1_33810.1, SMRG1_2120.1, SMRG1_2120.2, SMRG1_20420.1, SMRG1_79710.1	EWB00_004262
OG0000037	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3
OG0000037	SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6	EWB00_006569
OG0000040	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4
OG0000041	SMRG1_41350.1, SMRG1_49530.1	EWB00_010562, EWB00_005597, EWB00_003816
OG0000042	SMRG1_40000.1, SMRG1_40000.2	EWB00_009261.1, EWB00_009261.2
OG0000042	SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3	EWB00_009262
OG0000042	SMRG1_39890.1, SMRG1_39890.2	EWB00_004609
OG0000042	SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1, SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1	EWB00_004610, EWB00_009263
OG0000043	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18	EWB00_003370, EWB00_010871
OG0000044	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3
OG0000044	SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2, SMRG1_86970.2, SMRG1_86970.1, SMRG1_86980.1	EWB00_011369.1, EWB00_011369.2
OG0000045	SMRG1_10160.8, SMRG1_10160.3, SMRG1_10160.6, SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4, SMRG1_93120.2, SMRG1_93120.3, SMRG1_93120.4, SMRG1_39630.14, SMRG1_39630.5, SMRG1_39630.8, SMRG1_39630.1, SMRG1_39630.10, SMRG1_39630.11, SMRG1_39630.2, SMRG1_39630.3, SMRG1_39630.4, SMRG1_39630.7, SMRG1_39630.9, SMRG1_39630.13, SMRG1_39630.12, SMRG1_39630.6, SMRG1_93120.1, SMRG1_36470.6, SMRG1_36470.5, SMRG1_36470.1, SMRG1_36470.2, SMRG1_36470.4, SMRG1_36470.3	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3
OG0000046	SMRG1_46780.1, SMRG1_69180.3, SMRG1_69180.4, SMRG1_69180.5, SMRG1_69180.6, SMRG1_69180.1, SMRG1_69050.1, SMRG1_69050.2, SMRG1_9580.1, SMRG1_70990.6, SMRG1_70990.10, SMRG1_70990.12, SMRG1_70990.14, SMRG1_70990.13, SMRG1_70990.8, SMRG1_70990.11, SMRG1_70990.3, SMRG1_70990.4, SMRG1_70990.1, SMRG1_70990.2	EWB00_001944, EWB00_002829
OG0000048	SMRG1_22310.1, SMRG1_22640.1, SMRG1_97910.1, SMRG1_97910.2, SMRG1_22650.1, SMRG1_22400.1, SMRG1_22450.1, SMRG1_22670.1, SMRG1_47240.1, SMRG1_47250.1, SMRG1_70230.1, SMRG1_45620.1, SMRG1_86460.1, SMRG1_81960.1, SMRG1_81980.1, SMRG1_22510.1, SMRG1_84630.1	EWB00_001580
OG0000049	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8	EWB00_001608.1, EWB00_001608.2
OG0000049	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6	EWB00_008098
OG0000050	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5	EWB00_005371.1, EWB00_005371.2
OG0000052	SMRG1_28750.1	EWB00_003293
OG0000052	SMRG1_3130.1	EWB00_007330
OG0000052	SMRG1_980.1	EWB00_005671
OG0000052	SMRG1_600.1	EWB00_003847
OG0000052	SMRG1_67530.1	EWB00_009848
OG0000053	SMRG1_16530.1, SMRG1_16530.2	EWB00_005460.2, EWB00_005460.1
OG0000054	SMRG1_62790.1, SMRG1_22860.1, SMRG1_96460.1	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767
OG0000055	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000056	SMRG1_75260.1, SMRG1_74860.1, SMRG1_67770.1, SMRG1_14250.1, SMRG1_62560.1, SMRG1_75270.1, SMRG1_75270.2, SMRG1_88480.1, SMRG1_45130.1, SMRG1_2550.1, SMRG1_23560.1, SMRG1_67170.1, SMRG1_94190.1, SMRG1_30140.1	EWB00_006591, EWB00_008824
OG0000057	SMRG1_42540.1	EWB00_008005
OG0000058	SMRG1_91250.1	EWB00_001871
OG0000058	SMRG1_80930.1	EWB00_003488.1, EWB00_003488.2
OG0000058	SMRG1_80970.1, SMRG1_80940.1, SMRG1_80990.1	EWB00_003491
OG0000060	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9	EWB00_010498.1, EWB00_010498.2
OG0000061	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000062	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3, SMRG1_5900.7, SMRG1_5900.8	EWB00_008458
OG0000063	SMRG1_39470.1, SMRG1_39470.7, SMRG1_39470.5, SMRG1_39470.3, SMRG1_39470.2, SMRG1_39470.4, SMRG1_39470.6, SMRG1_39470.8, SMRG1_39470.9	EWB00_006170
OG0000064	SMRG1_4070.1, SMRG1_4070.2	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	SMRG1_23080.1	EWB00_000537
OG0000065	SMRG1_23130.4, SMRG1_23130.2, SMRG1_23130.1, SMRG1_23130.3, SMRG1_23100.1, SMRG1_23100.2, SMRG1_23120.2, SMRG1_23120.5, SMRG1_23120.4, SMRG1_23120.1, SMRG1_23120.3	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	SMRG1_37230.2, SMRG1_37230.4, SMRG1_37230.3, SMRG1_37230.7, SMRG1_37230.5, SMRG1_37230.10	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000067	SMRG1_68130.15, SMRG1_68130.14, SMRG1_68130.7, SMRG1_68130.2, SMRG1_68130.12, SMRG1_68130.6, SMRG1_68130.1, SMRG1_68130.11, SMRG1_68130.3, SMRG1_68130.4, SMRG1_68130.8, SMRG1_68130.5, SMRG1_68130.10, SMRG1_68130.9, SMRG1_68130.13	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3
OG0000068	SMRG1_54400.1	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	SMRG1_95970.1	EWB00_000572
OG0000068	SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1, SMRG1_36660.5	EWB00_004327
OG0000068	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000069	SMRG1_19970.2, SMRG1_19970.4, SMRG1_19970.6, SMRG1_19970.1, SMRG1_19970.3, SMRG1_19970.5, SMRG1_19970.7, SMRG1_19970.8	EWB00_002487
OG0000070	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	SMRG1_34220.1	EWB00_001786
OG0000072	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6	EWB00_001684
OG0000073	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	SMRG1_200.1	EWB00_007721.1
OG0000074	SMRG1_89070.1	EWB00_007512.1
OG0000074	SMRG1_10950.2, SMRG1_10950.1	EWB00_004196.6
OG0000074	SMRG1_89160.1	EWB00_008993
OG0000075	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14	EWB00_001749
OG0000076	SMRG1_3760.1, SMRG1_3760.2	EWB00_009041
OG0000077	SMRG1_10440.1	EWB00_004677
OG0000078	SMRG1_5310.17, SMRG1_5310.18, SMRG1_5310.5, SMRG1_5310.3, SMRG1_5310.6, SMRG1_5310.7, SMRG1_5310.9, SMRG1_5310.10, SMRG1_5310.2, SMRG1_5310.4, SMRG1_5310.1, SMRG1_5310.11, SMRG1_5310.12, SMRG1_5310.13, SMRG1_5310.14, SMRG1_5310.16, SMRG1_5310.8, SMRG1_5310.15	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000079	SMRG1_54470.2, SMRG1_54470.1, SMRG1_54470.3	EWB00_006494.1, EWB00_006494.2
OG0000080	SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6	EWB00_004899.1, EWB00_004899.2
OG0000081	SMRG1_46070.1, SMRG1_69350.1, SMRG1_97400.1, SMRG1_68870.1, SMRG1_94960.1, SMRG1_97780.1, SMRG1_38950.1, SMRG1_35080.1, SMRG1_60660.1, SMRG1_64790.1, SMRG1_80190.1, SMRG1_88170.1, SMRG1_89010.1, SMRG1_62550.1, SMRG1_59120.1, SMRG1_63220.1, SMRG1_24030.1, SMRG1_50930.1, SMRG1_75350.1, SMRG1_3790.1	EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773
OG0000082	SMRG1_10080.1	EWB00_009477
OG0000085	SMRG1_36520.1, SMRG1_36520.4, SMRG1_36520.6, SMRG1_36520.3, SMRG1_36520.5, SMRG1_36520.2, SMRG1_36520.8, SMRG1_36520.7	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5
OG0000086	SMRG1_73820.11, SMRG1_73820.4, SMRG1_73820.12, SMRG1_73820.2, SMRG1_73820.10, SMRG1_73820.3, SMRG1_73820.5, SMRG1_73820.6, SMRG1_73820.8, SMRG1_73820.7, SMRG1_73820.1, SMRG1_73820.9	EWB00_004530
OG0000087	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6	EWB00_010661
OG0000088	SMRG1_2980.1	EWB00_007313
OG0000088	SMRG1_2970.1	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3
OG0000091	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6	EWB00_010764.1, EWB00_010764.2
OG0000092	SMRG1_2010.1, SMRG1_2020.1	EWB00_007194.1, EWB00_007194.2
OG0000092	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1
OG0000093	SMRG1_40250.1	EWB00_003936
OG0000094	SMRG1_8140.1, SMRG1_8140.2	EWB00_009097.1, EWB00_009097.2
OG0000095	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3
OG0000096	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5
OG0000097	SMRG1_6670.1	EWB00_007768
OG0000098	SMRG1_41340.1	EWB00_011356
OG0000098	SMRG1_67360.1	EWB00_009825, EWB00_009827.1, EWB00_009827.2
OG0000099	SMRG1_68280.1	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3
OG0000099	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3
OG0000102	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4	EWB00_010834.2, EWB00_010834.1
OG0000102	SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2
OG0000103	SMRG1_74810.4, SMRG1_74810.5, SMRG1_74810.6, SMRG1_74810.8, SMRG1_74810.3, SMRG1_74810.2, SMRG1_74810.9, SMRG1_74810.7, SMRG1_74810.1	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3
OG0000104	SMRG1_5870.6, SMRG1_5870.7, SMRG1_5870.3, SMRG1_5870.4, SMRG1_5870.5, SMRG1_5870.8, SMRG1_5870.1, SMRG1_5870.2, SMRG1_5870.11, SMRG1_5870.9, SMRG1_5870.10, SMRG1_5870.12, SMRG1_5870.13	EWB00_008979.1, EWB00_008979.2
