Orthogroup	schistosoma_margrebowiei	schistosoma_rodhaini
OG0000014	SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17	SRDH2_32020.12, SRDH2_32020.14, SRDH2_32020.16, SRDH2_32020.19, SRDH2_32020.20, SRDH2_32020.28, SRDH2_32020.1, SRDH2_32020.15, SRDH2_32020.24, SRDH2_32020.30, SRDH2_32020.5, SRDH2_32020.8
OG0000015	SMRG1_38270.1	SRDH2_32040.2
OG0000015	SMRG1_66420.1	SRDH2_66330.1
OG0000015	SMRG1_66430.1	SRDH2_66340.1
OG0000015	SMRG1_38470.1	SRDH2_38560.1
OG0000015	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3	SRDH2_38570.1
OG0000015	SMRG1_38500.1	SRDH2_38590.1
OG0000015	SMRG1_43920.2, SMRG1_43920.1	SRDH2_43900.1
OG0000015	SMRG1_43060.2, SMRG1_43060.3	SRDH2_43070.1, SRDH2_43080.1
OG0000015	SMRG1_43070.1	SRDH2_43060.1
OG0000015	SMRG1_43100.1	SRDH2_43100.1
OG0000015	SMRG1_9700.1, SMRG1_9780.1	SRDH2_10450.1
OG0000016	SMRG1_61440.1, SMRG1_72700.1, SMRG1_53180.1, SMRG1_29570.1	SRDH2_37960.1
OG0000016	SMRG1_46670.1	SRDH2_93720.1, SRDH2_22680.1, SRDH2_76570.1
OG0000018	SMRG1_78440.1, SMRG1_78450.2, SMRG1_22460.1, SMRG1_83740.11, SMRG1_22460.4, SMRG1_15410.7, SMRG1_15410.8, SMRG1_15410.9, SMRG1_12370.1, SMRG1_21180.1, SMRG1_21180.2, SMRG1_21180.3, SMRG1_78450.3, SMRG1_78450.5, SMRG1_78450.1, SMRG1_78450.4, SMRG1_70990.5, SMRG1_70990.7, SMRG1_70990.9, SMRG1_83740.15, SMRG1_83740.7, SMRG1_83740.1, SMRG1_83740.2, SMRG1_83740.5, SMRG1_83740.6, SMRG1_83740.13, SMRG1_83740.8, SMRG1_15410.5, SMRG1_15410.6, SMRG1_15410.1, SMRG1_15410.10, SMRG1_15410.2, SMRG1_15410.11, SMRG1_15410.3, SMRG1_15410.4, SMRG1_83740.10, SMRG1_83740.14, SMRG1_83740.3, SMRG1_83740.4, SMRG1_69180.2, SMRG1_22460.5, SMRG1_22460.2, SMRG1_22460.3, SMRG1_83740.9, SMRG1_83740.16, SMRG1_83740.12	SRDH2_71230.4, SRDH2_56830.5, SRDH2_56830.3, SRDH2_56830.7, SRDH2_71230.3, SRDH2_56830.1, SRDH2_56830.2, SRDH2_56830.8, SRDH2_71230.1, SRDH2_71230.2, SRDH2_102440.1, SRDH2_102440.2, SRDH2_102440.3, SRDH2_56830.4, SRDH2_56830.6, SRDH2_71230.5, SRDH2_71230.6, SRDH2_58370.1, SRDH2_13100.1, SRDH2_67220.1, SRDH2_58360.1
OG0000019	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2	SRDH2_34300.1
OG0000019	SMRG1_36800.13, SMRG1_36800.14	SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4
OG0000020	SMRG1_93360.1, SMRG1_93570.1, SMRG1_93600.1, SMRG1_93600.2, SMRG1_93310.1, SMRG1_93420.3, SMRG1_93420.1, SMRG1_93420.2, SMRG1_93520.2, SMRG1_93520.1, SMRG1_93540.1, SMRG1_93520.4, SMRG1_93520.3, SMRG1_93520.6, SMRG1_93520.5, SMRG1_93320.1, SMRG1_93440.1	SRDH2_95250.1, SRDH2_95240.1, SRDH2_95180.1
OG0000020	SMRG1_93430.1, SMRG1_93400.1, SMRG1_93400.2, SMRG1_93400.3, SMRG1_93500.1, SMRG1_93550.2, SMRG1_93550.3, SMRG1_93550.1, SMRG1_93350.1, SMRG1_93490.1, SMRG1_93490.5, SMRG1_93490.3, SMRG1_93490.4, SMRG1_93490.6, SMRG1_93490.2, SMRG1_93490.7, SMRG1_93450.1, SMRG1_93450.2, SMRG1_93450.3, SMRG1_93260.1, SMRG1_93260.2	SRDH2_95300.1, SRDH2_95200.4, SRDH2_95200.5, SRDH2_95200.3, SRDH2_95200.9, SRDH2_95200.1, SRDH2_95200.2, SRDH2_95200.6, SRDH2_95200.8, SRDH2_95280.1, SRDH2_95200.7
OG0000021	SMRG1_7940.1, SMRG1_7940.2	SRDH2_8550.1
OG0000021	SMRG1_5610.1	SRDH2_5890.1
OG0000021	SMRG1_5620.1	SRDH2_5900.1
OG0000021	SMRG1_5580.1, SMRG1_5580.2	SRDH2_5860.2, SRDH2_5860.1, SRDH2_102110.1
OG0000021	SMRG1_5590.2, SMRG1_5590.4	SRDH2_101980.2
OG0000021	SMRG1_5600.1	SRDH2_102090.1, SRDH2_5880.1
OG0000021	SMRG1_5560.1, SMRG1_5560.2	SRDH2_5850.3, SRDH2_5850.2, SRDH2_5850.1, SRDH2_5850.4
OG0000022	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6	SRDH2_27620.10, SRDH2_27620.33, SRDH2_27620.25, SRDH2_27620.8, SRDH2_27620.37, SRDH2_27620.34, SRDH2_27620.11, SRDH2_27620.17, SRDH2_27620.12, SRDH2_27620.18, SRDH2_27620.16, SRDH2_27620.31, SRDH2_27620.1, SRDH2_27620.30, SRDH2_27620.5, SRDH2_27620.2, SRDH2_27620.32, SRDH2_27620.21, SRDH2_27620.28, SRDH2_27620.22, SRDH2_27620.23, SRDH2_27620.6, SRDH2_27620.19, SRDH2_27620.20, SRDH2_27620.26, SRDH2_27620.14, SRDH2_27620.15, SRDH2_27620.13, SRDH2_27620.9, SRDH2_27620.7, SRDH2_27620.29, SRDH2_27620.24, SRDH2_27620.4, SRDH2_27620.27, SRDH2_27620.3
OG0000023	SMRG1_41500.1	SRDH2_86550.1, SRDH2_46810.1, SRDH2_44490.1, SRDH2_37230.1, SRDH2_15010.1, SRDH2_15010.2, SRDH2_80730.1, SRDH2_80730.2
OG0000023	SMRG1_2960.1	SRDH2_63600.1, SRDH2_97530.1, SRDH2_84480.1, SRDH2_85020.1, SRDH2_39760.1
OG0000023	SMRG1_31990.1, SMRG1_66930.1, SMRG1_71600.1, SMRG1_70570.1, SMRG1_74600.1, SMRG1_22550.1, SMRG1_79770.1, SMRG1_86430.1, SMRG1_86500.1, SMRG1_86510.1, SMRG1_8990.1, SMRG1_32280.1, SMRG1_81680.1, SMRG1_17810.1	SRDH2_49570.1, SRDH2_21610.1, SRDH2_49310.1, SRDH2_9630.1, SRDH2_79690.1, SRDH2_96430.1, SRDH2_79740.1
OG0000024	SMRG1_23720.1	SRDH2_24010.1
OG0000024	SMRG1_92680.1	SRDH2_94350.1
OG0000024	SMRG1_64800.1	SRDH2_67860.1
OG0000024	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3	SRDH2_82380.1
OG0000024	SMRG1_80810.2	SRDH2_82370.1
OG0000026	SMRG1_80090.1, SMRG1_80090.2	SRDH2_81630.3, SRDH2_81630.2, SRDH2_81630.8, SRDH2_81630.7, SRDH2_81630.5, SRDH2_81630.9, SRDH2_81630.4, SRDH2_81630.1, SRDH2_81630.6
OG0000026	SMRG1_72900.1	SRDH2_73460.10, SRDH2_73460.11, SRDH2_73460.14, SRDH2_73460.15, SRDH2_73460.8, SRDH2_73460.9, SRDH2_73460.2, SRDH2_73460.4, SRDH2_73460.5, SRDH2_73460.3, SRDH2_73460.1, SRDH2_73460.6, SRDH2_73460.12, SRDH2_73460.13, SRDH2_73460.7
OG0000026	SMRG1_72830.1	SRDH2_73510.3, SRDH2_73510.4, SRDH2_73510.5, SRDH2_73510.7, SRDH2_73510.1, SRDH2_73510.2, SRDH2_73510.8, SRDH2_73510.6
OG0000027	SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2	SRDH2_40180.2, SRDH2_40180.4, SRDH2_40180.5, SRDH2_40180.1
OG0000027	SMRG1_40140.21, SMRG1_40140.18, SMRG1_40140.20	SRDH2_40180.3
OG0000028	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5	SRDH2_71910.10, SRDH2_71910.4, SRDH2_71910.6, SRDH2_71910.8, SRDH2_71910.5, SRDH2_71910.7, SRDH2_71910.9, SRDH2_71910.11, SRDH2_71910.12, SRDH2_71910.2, SRDH2_71910.13, SRDH2_71910.18, SRDH2_71910.21, SRDH2_71910.24, SRDH2_71910.1, SRDH2_71910.26, SRDH2_71910.29, SRDH2_71910.25, SRDH2_71910.34, SRDH2_71910.17, SRDH2_71910.20, SRDH2_71910.23, SRDH2_71910.27, SRDH2_71910.28, SRDH2_71910.15, SRDH2_71910.19, SRDH2_71910.31, SRDH2_71910.16, SRDH2_71910.22, SRDH2_71910.32, SRDH2_71910.33, SRDH2_71910.14, SRDH2_71910.30, SRDH2_71910.3
OG0000029	SMRG1_58130.1	SRDH2_58920.1
OG0000029	SMRG1_88400.1	SRDH2_90020.1
OG0000029	SMRG1_88360.1	SRDH2_90050.1
OG0000029	SMRG1_19850.1	SRDH2_20870.1
OG0000029	SMRG1_89280.1	SRDH2_91070.1
OG0000030	SMRG1_6460.1	SRDH2_6780.1
OG0000031	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5	SRDH2_21700.10, SRDH2_21700.4, SRDH2_21700.1, SRDH2_21700.6, SRDH2_21700.12, SRDH2_21700.7, SRDH2_21700.8, SRDH2_21700.9, SRDH2_21700.3, SRDH2_21700.2, SRDH2_21700.11, SRDH2_21700.13, SRDH2_21700.5
OG0000032	SMRG1_9940.1	SRDH2_10690.1
OG0000032	SMRG1_57890.1	SRDH2_58770.1, SRDH2_58770.3, SRDH2_58770.2
OG0000032	SMRG1_9210.1	SRDH2_23570.1
OG0000032	SMRG1_80140.1, SMRG1_9980.1	SRDH2_81680.2, SRDH2_81690.1
OG0000032	SMRG1_80130.1	SRDH2_81680.1
OG0000033	SMRG1_34470.1, SMRG1_90410.1, SMRG1_36890.1, SMRG1_36480.1, SMRG1_52190.1, SMRG1_94930.1, SMRG1_9760.1, SMRG1_55780.1, SMRG1_16830.1, SMRG1_15870.1, SMRG1_27620.1, SMRG1_18170.1, SMRG1_34400.1, SMRG1_84130.1	SRDH2_3900.1, SRDH2_71180.1, SRDH2_77620.1, SRDH2_19830.1, SRDH2_64110.1, SRDH2_56370.1, SRDH2_56780.1, SRDH2_79100.1, SRDH2_57970.1, SRDH2_50980.1, SRDH2_6620.1, SRDH2_101130.1, SRDH2_100490.1, SRDH2_101140.1, SRDH2_101160.1, SRDH2_101170.1, SRDH2_38350.1, SRDH2_15490.1, SRDH2_5580.1, SRDH2_37170.1, SRDH2_42520.1
OG0000034	SMRG1_92940.1	SRDH2_94750.1
OG0000034	SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1	SRDH2_94690.1, SRDH2_94710.1, SRDH2_94460.1, SRDH2_94440.1, SRDH2_94700.1, SRDH2_94450.1
OG0000034	SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1	SRDH2_58720.1, SRDH2_58700.1
OG0000034	SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1	SRDH2_58680.1, SRDH2_58640.1
OG0000035	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5	SRDH2_15480.22, SRDH2_15480.18, SRDH2_15480.20, SRDH2_15480.2, SRDH2_15480.4, SRDH2_15480.21, SRDH2_15480.15, SRDH2_15480.17, SRDH2_15480.14, SRDH2_15480.16, SRDH2_15480.24, SRDH2_15480.25, SRDH2_15480.19, SRDH2_15480.6, SRDH2_15480.1, SRDH2_15480.23, SRDH2_15480.3, SRDH2_15480.9, SRDH2_15480.5, SRDH2_15480.8, SRDH2_15480.12, SRDH2_15480.13, SRDH2_15480.26, SRDH2_15480.11, SRDH2_15480.7, SRDH2_15480.10
OG0000036	SMRG1_7990.1, SMRG1_53020.1, SMRG1_3370.1, SMRG1_15860.1, SMRG1_22870.1, SMRG1_22870.2, SMRG1_85620.1, SMRG1_49470.2, SMRG1_49020.1, SMRG1_49030.1, SMRG1_13610.1, SMRG1_93510.1, SMRG1_93510.2, SMRG1_33810.1, SMRG1_2120.1, SMRG1_2120.2, SMRG1_20420.1, SMRG1_79710.1	SRDH2_46270.1, SRDH2_70800.1, SRDH2_7760.1, SRDH2_8070.1, SRDH2_8070.2, SRDH2_10210.1, SRDH2_6820.1, SRDH2_40550.1, SRDH2_40550.2, SRDH2_86460.1, SRDH2_76890.1
OG0000037	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4	SRDH2_61520.1
OG0000037	SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6	SRDH2_61530.17, SRDH2_61530.2, SRDH2_61530.24, SRDH2_61530.21, SRDH2_61530.23, SRDH2_61530.15, SRDH2_61530.13, SRDH2_61530.19, SRDH2_61530.16, SRDH2_61530.4, SRDH2_61530.5, SRDH2_61530.9, SRDH2_61530.1, SRDH2_61530.10, SRDH2_61530.6, SRDH2_61530.22, SRDH2_61530.11, SRDH2_61530.7, SRDH2_61530.8, SRDH2_61530.18, SRDH2_61530.20, SRDH2_61530.12, SRDH2_61530.3, SRDH2_61530.14
OG0000038	SMRG1_72890.1	SRDH2_68580.1, SRDH2_67930.1, SRDH2_47830.1, SRDH2_83970.1, SRDH2_90160.1, SRDH2_50090.1, SRDH2_101350.1, SRDH2_7630.1, SRDH2_78250.1, SRDH2_78250.2, SRDH2_83380.1, SRDH2_98050.1, SRDH2_17960.1, SRDH2_36860.1, SRDH2_17960.2, SRDH2_36860.2, SRDH2_7890.1, SRDH2_36860.3, SRDH2_84340.1, SRDH2_22660.1, SRDH2_7900.1, SRDH2_19300.1, SRDH2_100200.1, SRDH2_100200.2, SRDH2_28680.1, SRDH2_15040.1, SRDH2_101330.1, SRDH2_43890.1, SRDH2_16780.1
OG0000040	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8	SRDH2_53910.2, SRDH2_53910.7, SRDH2_53910.8, SRDH2_53910.11, SRDH2_53910.18, SRDH2_53910.12, SRDH2_53910.16, SRDH2_53910.3, SRDH2_53910.5, SRDH2_53910.6, SRDH2_53920.1, SRDH2_53910.19, SRDH2_53910.4, SRDH2_53910.13, SRDH2_53910.15, SRDH2_53910.14, SRDH2_53910.1, SRDH2_53910.17, SRDH2_53910.10, SRDH2_53910.9
OG0000041	SMRG1_41350.1, SMRG1_49530.1	SRDH2_51400.1, SRDH2_100240.1, SRDH2_59560.1, SRDH2_1710.1, SRDH2_120.1, SRDH2_101540.1, SRDH2_49590.1, SRDH2_50260.1, SRDH2_39090.1, SRDH2_42060.1, SRDH2_70230.1, SRDH2_65040.1, SRDH2_60160.1, SRDH2_97680.1
OG0000042	SMRG1_40000.1, SMRG1_40000.2	SRDH2_40040.3, SRDH2_40040.2, SRDH2_40040.1, SRDH2_40040.4
OG0000042	SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3	SRDH2_40030.2, SRDH2_40030.1, SRDH2_40030.3
OG0000042	SMRG1_39890.1, SMRG1_39890.2	SRDH2_40000.1
OG0000042	SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1	SRDH2_101250.1
OG0000042	SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1	SRDH2_101200.1, SRDH2_101220.1, SRDH2_101240.1, SRDH2_40020.1, SRDH2_40010.1, SRDH2_40010.2
OG0000043	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18	SRDH2_28130.13, SRDH2_28130.11, SRDH2_28130.9, SRDH2_28130.2, SRDH2_28130.5, SRDH2_28130.6, SRDH2_28130.10, SRDH2_28130.7, SRDH2_28130.8, SRDH2_28130.12, SRDH2_28130.14, SRDH2_28130.15, SRDH2_28130.1, SRDH2_28130.3, SRDH2_28130.4
OG0000044	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3	SRDH2_88730.1, SRDH2_88720.3, SRDH2_88720.1, SRDH2_88720.2, SRDH2_88720.4, SRDH2_88720.5, SRDH2_88720.6, SRDH2_88720.7, SRDH2_88720.8
OG0000044	SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2	SRDH2_88700.3, SRDH2_88700.1, SRDH2_88700.2, SRDH2_88700.9, SRDH2_88700.6, SRDH2_88700.4, SRDH2_88700.5, SRDH2_88700.10, SRDH2_88700.7, SRDH2_88700.8
OG0000044	SMRG1_86970.2, SMRG1_86970.1	SRDH2_88690.1, SRDH2_88690.2, SRDH2_88690.3
OG0000045	SMRG1_10160.8, SMRG1_10160.3, SMRG1_10160.6, SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4	SRDH2_10910.11, SRDH2_10910.14, SRDH2_10910.19, SRDH2_10910.20, SRDH2_10910.1, SRDH2_10910.3, SRDH2_10910.5, SRDH2_10910.6, SRDH2_10910.8, SRDH2_10910.12, SRDH2_10910.13, SRDH2_10910.4, SRDH2_10910.7, SRDH2_10910.9, SRDH2_10910.10, SRDH2_10910.15, SRDH2_10910.16, SRDH2_10910.17, SRDH2_10910.18, SRDH2_10910.2
OG0000046	SMRG1_46780.1, SMRG1_69180.3, SMRG1_69180.4, SMRG1_69180.5, SMRG1_69180.6, SMRG1_69180.1, SMRG1_69050.1, SMRG1_69050.2, SMRG1_9580.1, SMRG1_70990.6, SMRG1_70990.10, SMRG1_70990.12, SMRG1_70990.14, SMRG1_70990.13, SMRG1_70990.8, SMRG1_70990.11, SMRG1_70990.3, SMRG1_70990.4, SMRG1_70990.1, SMRG1_70990.2	SRDH2_9900.1, SRDH2_102580.1, SRDH2_82820.1, SRDH2_97800.1, SRDH2_83880.1, SRDH2_84180.1
OG0000048	SMRG1_70230.1, SMRG1_45620.1, SMRG1_86460.1, SMRG1_81960.1, SMRG1_81980.1	SRDH2_101650.1, SRDH2_58870.1
OG0000048	SMRG1_84630.1	SRDH2_150.1, SRDH2_95860.1, SRDH2_95870.1, SRDH2_57030.1, SRDH2_71960.1, SRDH2_95700.1, SRDH2_95730.1, SRDH2_82840.1, SRDH2_82850.1, SRDH2_82860.1, SRDH2_82880.1, SRDH2_82990.1, SRDH2_100630.1, SRDH2_82780.1, SRDH2_82780.2, SRDH2_21730.1, SRDH2_21740.1, SRDH2_95740.1, SRDH2_99960.1, SRDH2_95690.1, SRDH2_21750.1, SRDH2_82720.1, SRDH2_57020.2, SRDH2_57020.4, SRDH2_57020.1, SRDH2_57020.3, SRDH2_57020.5, SRDH2_46020.1, SRDH2_46030.1, SRDH2_56990.3, SRDH2_56990.2, SRDH2_56990.1, SRDH2_56990.4, SRDH2_23620.1, SRDH2_23630.1, SRDH2_23620.2, SRDH2_95660.1
