Orthogroup	schistosoma_margrebowiei	schistosoma_haematobium
OG0000006	SMRG1_2410.1, SMRG1_2410.2, SMRG1_18260.1, SMRG1_2810.1, SMRG1_8270.1, SMRG1_41290.1	SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4
OG0000008	SMRG1_81250.1, SMRG1_56250.1, SMRG1_90080.1, SMRG1_61850.1, SMRG1_20660.1, SMRG1_64600.1	SHAE2_83090.1
OG0000008	SMRG1_21640.1	SHAE2_76110.1, SHAE2_34250.1, SHAE2_71990.1, SHAE2_99780.1, SHAE2_99780.2, SHAE2_18360.1, SHAE2_51810.1, SHAE2_14800.1, SHAE2_14800.2, SHAE2_67600.1, SHAE2_89880.1, SHAE2_16190.1, SHAE2_39280.1, SHAE2_49860.1
OG0000009	SMRG1_37020.1	SHAE2_31360.1, SHAE2_41140.1, SHAE2_74440.1
OG0000009	SMRG1_93380.1	SHAE2_79100.1
OG0000010	SMRG1_86940.1	SHAE2_30810.1
OG0000010	SMRG1_43170.1	SHAE2_29320.1, SHAE2_69040.1
OG0000010	SMRG1_77630.1	SHAE2_77650.1
OG0000010	SMRG1_86660.1	SHAE2_15450.1
OG0000012	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4	SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8
OG0000014	SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16	SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26
OG0000014	SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17	SHAE2_41120.15
OG0000015	SMRG1_38270.1	SHAE2_41150.1
OG0000015	SMRG1_66420.1	SHAE2_70060.1
OG0000015	SMRG1_66430.1	SHAE2_70070.1
OG0000015	SMRG1_38470.1	SHAE2_41370.1
OG0000015	SMRG1_38480.1	SHAE2_41380.1
OG0000015	SMRG1_38500.1	SHAE2_41400.2
OG0000015	SMRG1_43860.1	SHAE2_46430.1
OG0000015	SMRG1_43920.2, SMRG1_43920.1	SHAE2_46480.1
OG0000015	SMRG1_43060.2, SMRG1_43060.3	SHAE2_45590.1
OG0000015	SMRG1_43070.1	SHAE2_45600.1
OG0000015	SMRG1_43080.1	SHAE2_45610.1
OG0000015	SMRG1_43100.1	SHAE2_45640.1
OG0000015	SMRG1_9700.1, SMRG1_9780.1	SHAE2_11980.1
OG0000016	SMRG1_830.1, SMRG1_81950.1, SMRG1_81990.1, SMRG1_12790.1	SHAE2_91170.1, SHAE2_22460.1
OG0000016	SMRG1_1310.1, SMRG1_1310.2, SMRG1_1310.3, SMRG1_22130.1, SMRG1_22130.2, SMRG1_22140.1, SMRG1_41700.1, SMRG1_72570.1	SHAE2_93630.1, SHAE2_38480.1, SHAE2_65970.1, SHAE2_82640.1, SHAE2_17260.1
OG0000018	SMRG1_78440.1, SMRG1_78450.2, SMRG1_22460.1, SMRG1_83740.11, SMRG1_22460.4, SMRG1_15410.7, SMRG1_15410.8, SMRG1_15410.9, SMRG1_12370.1, SMRG1_21180.1, SMRG1_21180.2, SMRG1_21180.3, SMRG1_78450.3, SMRG1_78450.5, SMRG1_78450.1, SMRG1_78450.4, SMRG1_70990.5, SMRG1_70990.7, SMRG1_70990.9, SMRG1_83740.15, SMRG1_83740.7, SMRG1_83740.1, SMRG1_83740.2, SMRG1_83740.5, SMRG1_83740.6, SMRG1_83740.13, SMRG1_83740.8, SMRG1_15410.5, SMRG1_15410.6, SMRG1_15410.1, SMRG1_15410.10, SMRG1_15410.2, SMRG1_15410.11, SMRG1_15410.3, SMRG1_15410.4, SMRG1_83740.10, SMRG1_83740.14, SMRG1_83740.3, SMRG1_83740.4, SMRG1_69180.2, SMRG1_22460.5, SMRG1_22460.2, SMRG1_22460.3, SMRG1_83740.9, SMRG1_83740.16, SMRG1_83740.12	SHAE2_33300.1, SHAE2_23610.1, SHAE2_38960.1, SHAE2_20330.3
OG0000019	SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12	SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7
OG0000019	SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2	SHAE2_39640.12
OG0000019	SMRG1_36800.13, SMRG1_36800.14	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19
OG0000020	SMRG1_93590.1, SMRG1_93590.2	SHAE2_97880.1, SHAE2_97890.1
OG0000020	SMRG1_93360.1, SMRG1_93570.1, SMRG1_93600.1, SMRG1_93600.2, SMRG1_93310.1, SMRG1_93420.3, SMRG1_93420.1, SMRG1_93420.2, SMRG1_93520.2, SMRG1_93520.1, SMRG1_93540.1, SMRG1_93520.4, SMRG1_93520.3, SMRG1_93520.6, SMRG1_93520.5, SMRG1_93320.1, SMRG1_93440.1	SHAE2_97900.1
OG0000020	SMRG1_93450.1, SMRG1_93450.2, SMRG1_93450.3, SMRG1_93260.1, SMRG1_93260.2	SHAE2_97600.1
OG0000021	SMRG1_7940.1, SMRG1_7940.2	SHAE2_10160.1
OG0000021	SMRG1_5610.1	SHAE2_6350.1
OG0000021	SMRG1_5580.1, SMRG1_5580.2	SHAE2_6310.2, SHAE2_6310.1
OG0000021	SMRG1_5590.1, SMRG1_5590.3	SHAE2_6320.1
OG0000021	SMRG1_5600.1	SHAE2_6330.1, SHAE2_6330.2
OG0000021	SMRG1_5560.1, SMRG1_5560.2	SHAE2_6290.2, SHAE2_6290.1, SHAE2_6290.4, SHAE2_6290.3, SHAE2_6290.5
OG0000022	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29
OG0000023	SMRG1_2960.1	SHAE2_26100.1
OG0000024	SMRG1_23720.1	SHAE2_26160.1
OG0000024	SMRG1_92680.1	SHAE2_96950.1
OG0000024	SMRG1_64800.1	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6
OG0000024	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3	SHAE2_84940.1, SHAE2_84940.2
OG0000026	SMRG1_80090.1, SMRG1_80090.2	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2
OG0000026	SMRG1_72900.1	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3
OG0000026	SMRG1_72830.1	SHAE2_76510.1, SHAE2_76510.2
OG0000027	SMRG1_40140.7, SMRG1_40140.17, SMRG1_40140.8	SHAE2_42940.1
OG0000028	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13
OG0000029	SMRG1_58130.1	SHAE2_61420.1
OG0000029	SMRG1_88400.1	SHAE2_92590.1
OG0000029	SMRG1_19850.1	SHAE2_22850.1
OG0000029	SMRG1_19850.1	SHAE2_22850.3
OG0000029	SMRG1_89280.1	SHAE2_93560.1
OG0000029	SMRG1_89270.1	SHAE2_93550.1
OG0000030	SMRG1_6460.1	SHAE2_7260.1
OG0000031	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5	SHAE2_21970.1
OG0000032	SMRG1_9940.1	SHAE2_12170.2
OG0000032	SMRG1_9950.1, SMRG1_9950.2	SHAE2_12170.3
OG0000032	SMRG1_57890.2	SHAE2_61170.2, SHAE2_61170.3
OG0000032	SMRG1_57890.1	SHAE2_61170.1
OG0000032	SMRG1_57890.1	SHAE2_61170.4
OG0000032	SMRG1_80130.1	SHAE2_84140.1
OG0000033	SMRG1_34470.1, SMRG1_90410.1, SMRG1_36890.1, SMRG1_36480.1, SMRG1_52190.1, SMRG1_94930.1, SMRG1_9760.1, SMRG1_55780.1, SMRG1_16830.1, SMRG1_15870.1, SMRG1_27620.1, SMRG1_18170.1, SMRG1_34400.1, SMRG1_84130.1	SHAE2_93320.1, SHAE2_42570.1, SHAE2_18350.1
OG0000034	SMRG1_92940.1	SHAE2_97190.1
OG0000034	SMRG1_92920.1, SMRG1_92920.2	SHAE2_97180.1
OG0000034	SMRG1_92910.1	SHAE2_97170.1
OG0000034	SMRG1_57920.1	SHAE2_57280.1, SHAE2_61250.1
OG0000034	SMRG1_57950.1	SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1
OG0000034	SMRG1_58000.1	SHAE2_61300.2, SHAE2_61300.1
OG0000034	SMRG1_57940.1, SMRG1_57960.1	SHAE2_61160.1, SHAE2_61270.1
OG0000035	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5	SHAE2_16750.10, SHAE2_16750.13, SHAE2_16750.16, SHAE2_16750.17, SHAE2_16750.22, SHAE2_16750.7, SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3
OG0000036	SMRG1_7990.1, SMRG1_53020.1, SMRG1_3370.1, SMRG1_15860.1, SMRG1_22870.1, SMRG1_22870.2, SMRG1_85620.1, SMRG1_49470.2, SMRG1_49020.1, SMRG1_49030.1, SMRG1_13610.1, SMRG1_93510.1, SMRG1_93510.2, SMRG1_33810.1, SMRG1_2120.1, SMRG1_2120.2, SMRG1_20420.1, SMRG1_79710.1	SHAE2_93220.1, SHAE2_34210.1, SHAE2_24910.1, SHAE2_24910.2, SHAE2_95420.1
OG0000037	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4	SHAE2_63770.1, SHAE2_63780.1, SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3
OG0000037	SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2
OG0000038	SMRG1_79170.1	SHAE2_63020.1, SHAE2_50220.1
OG0000038	SMRG1_72890.1	SHAE2_59300.1
OG0000038	SMRG1_34740.11	SHAE2_71210.1
OG0000040	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20, SHAE2_55400.14, SHAE2_55400.19
OG0000040	SMRG1_52720.1	SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15
OG0000040	SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4	SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23
OG0000040	SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8	SHAE2_55390.1, SHAE2_55400.26
OG0000041	SMRG1_41350.1, SMRG1_49530.1	SHAE2_5580.1, SHAE2_5580.2, SHAE2_19620.2, SHAE2_19620.3
OG0000042	SMRG1_40000.1, SMRG1_40000.2	SHAE2_42810.2, SHAE2_42810.1
OG0000042	SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1
OG0000042	SMRG1_39890.1, SMRG1_39890.2	SHAE2_42750.1
OG0000042	SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1	SHAE2_42760.2, SHAE2_42780.1
OG0000042	SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1	SHAE2_42780.2, SHAE2_42760.1
OG0000043	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21
OG0000044	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3
OG0000044	SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2	SHAE2_91220.1
OG0000044	SMRG1_86970.1	SHAE2_91240.1, SHAE2_91240.2
OG0000044	SMRG1_86980.1	SHAE2_91250.1, SHAE2_91250.2
OG0000045	SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4	SHAE2_12380.1
OG0000045	SMRG1_93120.2, SMRG1_93120.3, SMRG1_93120.4, SMRG1_39630.14, SMRG1_39630.5, SMRG1_39630.8, SMRG1_39630.1, SMRG1_39630.10, SMRG1_39630.11, SMRG1_39630.2, SMRG1_39630.3, SMRG1_39630.4, SMRG1_39630.7, SMRG1_39630.9, SMRG1_39630.13, SMRG1_39630.12, SMRG1_39630.6, SMRG1_93120.1	SHAE2_93110.1
OG0000045	SMRG1_36470.6, SMRG1_36470.5, SMRG1_36470.1, SMRG1_36470.2, SMRG1_36470.4, SMRG1_36470.3	SHAE2_39290.26, SHAE2_39290.15, SHAE2_39290.21, SHAE2_39290.5, SHAE2_39290.2, SHAE2_39290.19, SHAE2_39290.33, SHAE2_39290.34, SHAE2_39290.18, SHAE2_39290.30, SHAE2_39290.3, SHAE2_39290.9, SHAE2_39290.22, SHAE2_39290.13, SHAE2_39290.24, SHAE2_39290.8, SHAE2_39290.4, SHAE2_39290.16, SHAE2_39290.17, SHAE2_39290.25, SHAE2_39290.28, SHAE2_39290.32, SHAE2_39290.6, SHAE2_39290.10, SHAE2_39290.1, SHAE2_39290.11, SHAE2_39290.12, SHAE2_39290.14, SHAE2_39290.20, SHAE2_39290.27, SHAE2_39290.29, SHAE2_39290.31, SHAE2_39290.7, SHAE2_39290.23
OG0000046	SMRG1_9580.1, SMRG1_70990.6, SMRG1_70990.10, SMRG1_70990.12, SMRG1_70990.14, SMRG1_70990.13, SMRG1_70990.8, SMRG1_70990.11, SMRG1_70990.3, SMRG1_70990.4, SMRG1_70990.1, SMRG1_70990.2	SHAE2_34200.2, SHAE2_34200.1
OG0000047	SMRG1_60690.1, SMRG1_6040.1	SHAE2_100590.1
OG0000048	SMRG1_22670.1	SHAE2_73940.1
OG0000048	SMRG1_47240.1, SMRG1_47250.1	SHAE2_48850.1, SHAE2_48840.1, SHAE2_48870.1
OG0000048	SMRG1_86460.1, SMRG1_81960.1, SMRG1_81980.1	SHAE2_90060.1
OG0000048	SMRG1_22510.1	SHAE2_85670.1, SHAE2_100460.1, SHAE2_100460.2
OG0000049	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3	SHAE2_74260.1
OG0000049	SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8	SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7
