Orthogroup	schistosoma_margrebowiei	s.mekongi
OG0000056	SMRG1_75260.1, SMRG1_74860.1, SMRG1_67770.1, SMRG1_14250.1, SMRG1_62560.1, SMRG1_75270.1, SMRG1_75270.2, SMRG1_88480.1, SMRG1_45130.1, SMRG1_2550.1, SMRG1_23560.1, SMRG1_67170.1, SMRG1_94190.1, SMRG1_30140.1	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1
OG0000057	SMRG1_42540.1	KAK4468384.1, KAK4470043.1
OG0000058	SMRG1_91250.1	KAK4468525.1
OG0000058	SMRG1_80930.1	KAK4470069.1
OG0000058	SMRG1_80970.1, SMRG1_80940.1, SMRG1_80990.1	KAK4470074.1, KAK4470072.1
OG0000058	SMRG1_80920.1, SMRG1_80920.2	KAK4470068.1
OG0000060	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9	KAK4471247.1
OG0000061	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16	KAK4469486.1
OG0000062	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3, SMRG1_5900.7, SMRG1_5900.8	KAK4475970.1
OG0000063	SMRG1_39470.1, SMRG1_39470.7, SMRG1_39470.5, SMRG1_39470.3, SMRG1_39470.2, SMRG1_39470.4, SMRG1_39470.6, SMRG1_39470.8, SMRG1_39470.9	KAK4473734.1
OG0000064	SMRG1_4070.1, SMRG1_4070.2	KAK4475705.1
OG0000065	SMRG1_23080.1	KAK4473358.1
OG0000065	SMRG1_23130.4, SMRG1_23130.2, SMRG1_23130.1, SMRG1_23130.3, SMRG1_23100.1, SMRG1_23100.2, SMRG1_23120.2, SMRG1_23120.5, SMRG1_23120.4, SMRG1_23120.1, SMRG1_23120.3	KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	SMRG1_37230.2, SMRG1_37230.4, SMRG1_37230.3, SMRG1_37230.7, SMRG1_37230.5, SMRG1_37230.10	KAK4473833.1
OG0000067	SMRG1_68130.15, SMRG1_68130.14, SMRG1_68130.7, SMRG1_68130.2, SMRG1_68130.12, SMRG1_68130.6, SMRG1_68130.1, SMRG1_68130.11, SMRG1_68130.3, SMRG1_68130.4, SMRG1_68130.8, SMRG1_68130.5, SMRG1_68130.10, SMRG1_68130.9, SMRG1_68130.13	KAK4471577.1
OG0000068	SMRG1_54400.1	KAK4469181.1
OG0000068	SMRG1_95970.1	KAK4467758.1
OG0000068	SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1, SMRG1_36660.5	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1	KAK4472801.1
OG0000069	SMRG1_19970.2, SMRG1_19970.4, SMRG1_19970.6, SMRG1_19970.1, SMRG1_19970.3, SMRG1_19970.5, SMRG1_19970.7, SMRG1_19970.8	KAK4474982.1
OG0000070	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9	KAK4472878.1
OG0000071	SMRG1_34220.1	KAK4472253.1
OG0000072	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6	KAK4468648.1
OG0000073	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3	KAK4469816.1
OG0000074	SMRG1_200.1	KAK4476006.1
OG0000074	SMRG1_89070.1	KAK4468714.1
OG0000074	SMRG1_10950.2, SMRG1_10950.1	KAK4474596.1
OG0000074	SMRG1_89160.1	KAK4468705.1
OG0000075	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14	KAK4472282.1
OG0000076	SMRG1_3760.1, SMRG1_3760.2	KAK4467358.1, KAK4475671.1
OG0000077	SMRG1_10440.1	KAK4475941.1
OG0000079	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2	KAK4472724.1
OG0000080	SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6	KAK4472503.1
OG0000081	SMRG1_46070.1, SMRG1_69350.1, SMRG1_97400.1, SMRG1_68870.1, SMRG1_94960.1, SMRG1_97780.1, SMRG1_38950.1, SMRG1_35080.1, SMRG1_60660.1, SMRG1_64790.1, SMRG1_80190.1, SMRG1_88170.1, SMRG1_89010.1, SMRG1_62550.1, SMRG1_59120.1, SMRG1_63220.1, SMRG1_24030.1, SMRG1_50930.1, SMRG1_75350.1, SMRG1_3790.1	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1
OG0000082	SMRG1_10080.1	KAK4476263.1
OG0000083	SMRG1_22960.1, SMRG1_15550.1, SMRG1_15550.2, SMRG1_46750.1, SMRG1_6440.1, SMRG1_6440.2, SMRG1_85670.1, SMRG1_85670.2, SMRG1_61870.1	KAK4471026.1, KAK4474271.1
OG0000085	SMRG1_36520.1, SMRG1_36520.4, SMRG1_36520.6, SMRG1_36520.3, SMRG1_36520.5, SMRG1_36520.2, SMRG1_36520.8, SMRG1_36520.7	KAK4474010.1
OG0000086	SMRG1_73820.11, SMRG1_73820.4, SMRG1_73820.12, SMRG1_73820.2, SMRG1_73820.10, SMRG1_73820.3, SMRG1_73820.5, SMRG1_73820.6, SMRG1_73820.8, SMRG1_73820.7, SMRG1_73820.1, SMRG1_73820.9	KAK4470561.1
OG0000087	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6	KAK4469513.1
OG0000088	SMRG1_2980.1	KAK4475590.1
OG0000088	SMRG1_2970.1	KAK4475589.1
OG0000091	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6	KAK4469611.1
OG0000092	SMRG1_2010.1, SMRG1_2020.1	KAK4475365.1
OG0000092	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4	KAK4474711.1
OG0000093	SMRG1_40250.1	KAK4473668.1
OG0000093	SMRG1_45910.1, SMRG1_45920.2, SMRG1_45920.3, SMRG1_45920.5, SMRG1_45930.1, SMRG1_45920.1, SMRG1_45920.4	KAK4467328.1, KAK4467335.1
OG0000094	SMRG1_8140.1, SMRG1_8140.2	KAK4475997.1
OG0000095	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13	KAK4471403.1, KAK4471978.1
OG0000096	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2	KAK4474123.1
OG0000097	SMRG1_6670.1	KAK4476042.1, KAK4476041.1
OG0000098	SMRG1_41340.1	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	SMRG1_67360.1	KAK4471639.1
OG0000099	SMRG1_68280.1	KAK4471562.1
OG0000099	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4	KAK4470190.1
OG0000102	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4	KAK4475905.1
OG0000102	SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2	KAK4472110.1
OG0000103	SMRG1_74810.4, SMRG1_74810.5, SMRG1_74810.6, SMRG1_74810.8, SMRG1_74810.3, SMRG1_74810.2, SMRG1_74810.9, SMRG1_74810.7, SMRG1_74810.1	KAK4470657.1
OG0000104	SMRG1_5870.6, SMRG1_5870.7, SMRG1_5870.3, SMRG1_5870.4, SMRG1_5870.5, SMRG1_5870.8, SMRG1_5870.1, SMRG1_5870.2, SMRG1_5870.11, SMRG1_5870.9, SMRG1_5870.10, SMRG1_5870.12, SMRG1_5870.13	KAK4475921.1
OG0000105	SMRG1_7360.5, SMRG1_7360.7, SMRG1_7360.1, SMRG1_7360.3, SMRG1_7360.8, SMRG1_7360.2, SMRG1_7360.4, SMRG1_7360.6	KAK4474244.1
OG0000106	SMRG1_74270.1, SMRG1_74240.1	KAK4470606.1, KAK4467455.1
OG0000107	SMRG1_56920.1	KAK4469978.1
OG0000108	SMRG1_8000.1, SMRG1_8000.7, SMRG1_8000.4, SMRG1_8000.5, SMRG1_8000.8, SMRG1_8000.3, SMRG1_8000.2, SMRG1_8000.6, SMRG1_8000.9, SMRG1_8000.10	KAK4475981.1
OG0000110	SMRG1_29960.1	KAK4472451.1
OG0000110	SMRG1_29930.1, SMRG1_29930.2	KAK4472446.1
OG0000110	SMRG1_29970.1	KAK4472452.1
OG0000110	SMRG1_29980.2, SMRG1_29980.1	KAK4472453.1
OG0000111	SMRG1_41440.1	KAK4473064.1
OG0000111	SMRG1_52570.1	KAK4469719.1
OG0000111	SMRG1_31280.1	KAK4472666.1
OG0000112	SMRG1_84400.11, SMRG1_84400.3, SMRG1_84400.8, SMRG1_84400.10, SMRG1_84400.1, SMRG1_84400.5, SMRG1_84400.12, SMRG1_84400.2, SMRG1_84400.4, SMRG1_84400.6, SMRG1_84400.9, SMRG1_84400.7	KAK4468035.1
OG0000114	SMRG1_95870.6, SMRG1_95870.1, SMRG1_95870.2, SMRG1_95870.8, SMRG1_95870.5, SMRG1_95870.7, SMRG1_95870.11, SMRG1_95870.9, SMRG1_95870.10, SMRG1_95870.12, SMRG1_95870.3, SMRG1_95870.4	KAK4467770.1
OG0000115	SMRG1_36780.14, SMRG1_36780.16, SMRG1_36780.18, SMRG1_36780.2, SMRG1_36780.3, SMRG1_36780.4, SMRG1_36780.1, SMRG1_36780.11, SMRG1_36780.12, SMRG1_36780.13, SMRG1_36780.5, SMRG1_36780.6, SMRG1_36780.9, SMRG1_36780.10, SMRG1_36780.15, SMRG1_36780.17, SMRG1_36780.7, SMRG1_36780.8	KAK4473986.1
OG0000116	SMRG1_50820.3, SMRG1_50820.5, SMRG1_50820.4, SMRG1_50820.7, SMRG1_50820.10, SMRG1_50820.1, SMRG1_50820.2, SMRG1_50820.8, SMRG1_50820.6, SMRG1_50820.9	KAK4469396.1
OG0000117	SMRG1_30060.1	KAK4472459.1
OG0000118	SMRG1_39540.1, SMRG1_39540.2	KAK4473725.1
OG0000118	SMRG1_39520.1	KAK4473729.1
OG0000118	SMRG1_39530.1	KAK4473726.1
OG0000119	SMRG1_96690.2, SMRG1_96690.1, SMRG1_96690.3, SMRG1_96690.8, SMRG1_96690.7, SMRG1_96690.4, SMRG1_96690.6, SMRG1_96690.5, SMRG1_96700.1	KAK4467682.1
OG0000120	SMRG1_30130.18, SMRG1_30130.12, SMRG1_30130.13, SMRG1_30130.8, SMRG1_30130.10, SMRG1_30130.11, SMRG1_30130.15, SMRG1_30130.16, SMRG1_30130.7, SMRG1_30130.9, SMRG1_30130.5, SMRG1_30130.1, SMRG1_30130.2, SMRG1_30130.4, SMRG1_30130.3, SMRG1_30130.14, SMRG1_30130.17, SMRG1_30130.6	KAK4472468.1
OG0000122	SMRG1_80900.10, SMRG1_80900.1, SMRG1_80900.5, SMRG1_80900.8, SMRG1_80900.4, SMRG1_80900.9, SMRG1_80900.2, SMRG1_80900.3, SMRG1_80900.6, SMRG1_80900.7	KAK4470066.1
OG0000123	SMRG1_78990.10, SMRG1_78990.2, SMRG1_78990.1, SMRG1_78990.4, SMRG1_78990.5, SMRG1_78990.15, SMRG1_78990.17, SMRG1_78990.16, SMRG1_78990.14, SMRG1_78990.11, SMRG1_78990.13, SMRG1_78990.9, SMRG1_78990.7, SMRG1_78990.3, SMRG1_78990.8, SMRG1_78990.12, SMRG1_78990.6	KAK4470855.1
OG0000125	SMRG1_290.1, SMRG1_290.10, SMRG1_290.2, SMRG1_290.4, SMRG1_290.9, SMRG1_290.5, SMRG1_290.6, SMRG1_290.3, SMRG1_290.11, SMRG1_290.12, SMRG1_290.13, SMRG1_290.8, SMRG1_290.7	KAK4474534.1
OG0000126	SMRG1_72460.3, SMRG1_72460.9, SMRG1_72460.10, SMRG1_72460.4, SMRG1_72460.5, SMRG1_72460.6, SMRG1_72460.7, SMRG1_72460.8, SMRG1_72460.25, SMRG1_72460.15, SMRG1_72460.1, SMRG1_72460.11, SMRG1_72460.12, SMRG1_72460.13, SMRG1_72460.14, SMRG1_72460.16, SMRG1_72460.17, SMRG1_72460.18, SMRG1_72460.19, SMRG1_72460.2, SMRG1_72460.20, SMRG1_72460.21, SMRG1_72460.22, SMRG1_72460.23, SMRG1_72460.24	KAK4470546.1
OG0000127	SMRG1_21350.2, SMRG1_21350.5, SMRG1_21350.7, SMRG1_21350.8, SMRG1_21350.1, SMRG1_21350.3, SMRG1_21350.4, SMRG1_21350.9, SMRG1_21350.6	KAK4475492.1
OG0000128	SMRG1_43330.1	KAK4473532.1
OG0000129	SMRG1_32350.1, SMRG1_32350.5, SMRG1_32350.2, SMRG1_32350.6, SMRG1_32350.9, SMRG1_32350.4, SMRG1_32350.8, SMRG1_32350.7, SMRG1_32350.10, SMRG1_32350.3	KAK4474206.1
OG0000130	SMRG1_82830.1, SMRG1_82830.3, SMRG1_82830.4, SMRG1_82830.2, SMRG1_82830.5	KAK4467983.1
OG0000131	SMRG1_8330.1	KAK4476229.1
OG0000131	SMRG1_86920.1, SMRG1_86880.1, SMRG1_86960.1, SMRG1_86930.1, SMRG1_86890.1, SMRG1_86900.1, SMRG1_86850.1, SMRG1_86860.1, SMRG1_86870.1	KAK4468902.1
OG0000132	SMRG1_35650.2, SMRG1_35650.1, SMRG1_35650.4, SMRG1_35650.3	KAK4474101.1
OG0000133	SMRG1_31690.2, SMRG1_31690.3, SMRG1_31690.7, SMRG1_31690.6, SMRG1_31690.1, SMRG1_31690.4, SMRG1_31690.5	KAK4472626.1
OG0000134	SMRG1_19740.6, SMRG1_19740.4, SMRG1_19740.1, SMRG1_19740.5, SMRG1_19740.9, SMRG1_19740.2, SMRG1_19740.7, SMRG1_19740.8	KAK4475011.1
OG0000135	SMRG1_12940.1	KAK4474731.1
