#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4471086.1         -            202 9639at33208          -           1755   1.4e-06   24.7   0.1   1   1   4.3e-09   1.7e-06   24.3   0.1  1081  1121    38    81    19    85 0.82 hypothetical protein MN116_004554 [Schistosoma mekongi]
KAK4474564.1         -            282 9639at33208          -           1755   1.4e-06   24.6   0.0   1   1   4.9e-09   1.9e-06   24.2   0.0  1080  1119    17    60     9    67 0.84 hypothetical protein MN116_001707 [Schistosoma mekongi]
KAK4471806.1         -            192 9639at33208          -           1755   2.8e-06   23.7   0.3   1   1   8.8e-09   3.5e-06   23.3   0.3  1081  1121    41    83    34    91 0.84 hypothetical protein MN116_005200 [Schistosoma mekongi]
KAK4475665.1         -            271 9639at33208          -           1755   3.7e-06   23.2   0.1   1   1   1.2e-08   4.9e-06   22.8   0.1  1082  1119    19    60    11    67 0.82 hypothetical protein MN116_000934 [Schistosoma mekongi]
KAK4475663.1         -            271 9639at33208          -           1755   4.4e-06   23.0   0.1   1   1   1.5e-08   5.9e-06   22.6   0.1  1082  1119    19    60    12    66 0.83 hypothetical protein MN116_000932 [Schistosoma mekongi]
KAK4475881.1         -            334 9639at33208          -           1755   7.6e-06   22.2   0.4   1   1   2.6e-08     1e-05   21.8   0.4  1080  1119    16    57    10    63 0.89 hypothetical protein MN116_001128 [Schistosoma mekongi]
KAK4475880.1         -            324 9639at33208          -           1755   9.8e-06   21.8   0.7   1   1   3.3e-08   1.3e-05   21.4   0.7  1080  1119     6    47     3    53 0.89 hypothetical protein MN116_001127 [Schistosoma mekongi]
KAK4470907.1         -            533 9639at33208          -           1755   1.1e-05   21.6   0.2   1   1     4e-08   1.6e-05   21.1   0.2  1079  1120    51    98    44   108 0.78 hypothetical protein MN116_006417 [Schistosoma mekongi]
KAK4475426.1         -            957 9639at33208          -           1755   1.2e-05   21.5   0.1   1   1   5.4e-08   2.1e-05   20.7   0.1  1083  1120    34    73    29    81 0.85 hypothetical protein MN116_002481 [Schistosoma mekongi]
KAK4472082.1         -            206 9639at33208          -           1755   1.2e-05   21.5   0.1   1   1   4.1e-08   1.6e-05   21.1   0.1  1082  1118    26    65    21    71 0.85 hypothetical protein MN116_005453 [Schistosoma mekongi]
KAK4470833.1         -            195 9639at33208          -           1755   2.7e-05   20.4   0.0   1   1   9.2e-08   3.7e-05   19.9   0.0  1081  1119    43    83    34    95 0.86 hypothetical protein MN116_006349 [Schistosoma mekongi]
KAK4472822.1         -            371 9639at33208          -           1755   7.8e-05   18.8   0.2   1   1   2.7e-07   0.00011   18.4   0.2  1081  1119    38    79    33    86 0.86 hypothetical protein MN116_004038 [Schistosoma mekongi]
KAK4468265.1         -            351 9639at33208          -           1755   7.8e-05   18.8   0.2   1   1     3e-07   0.00012   18.2   0.2  1083  1119    28    67    16    75 0.83 hypothetical protein MN116_008419 [Schistosoma mekongi]
KAK4476261.1         -            348 9639at33208          -           1755   0.00028   17.0   0.1   1   1   9.3e-07   0.00037   16.6   0.1  1080  1120   113   155    89   163 0.87 hypothetical protein MN116_001467 [Schistosoma mekongi]
KAK4475009.1         -            243 9639at33208          -           1755    0.0011   15.0   0.0   1   1   3.7e-06    0.0015   14.6   0.0  1082  1119    62   103    54   118 0.80 hypothetical protein MN116_000757 [Schistosoma mekongi]
KAK4467794.1         -            298 9639at33208          -           1755    0.0015   14.6   0.0   1   1   5.1e-06     0.002   14.2   0.0  1081  1125   244   290   230   292 0.88 hypothetical protein MN116_008720 [Schistosoma mekongi]
KAK4472323.1         -            527 9639at33208          -           1755    0.0047   12.9   0.1   1   1   1.6e-05    0.0064   12.5   0.1  1079  1120    45    89    36   135 0.82 hypothetical protein MN116_003587 [Schistosoma mekongi]
KAK4467279.1         -            161 9639at33208          -           1755    0.0097   11.9   0.1   1   1   2.9e-05     0.012   11.6   0.1  1082  1118    49    87    36   101 0.83 hypothetical protein MN116_008999 [Schistosoma mekongi]
KAK4475846.1         -            313 9639at33208          -           1755     0.014   11.4   0.1   1   1   4.6e-05     0.018   11.0   0.1  1080  1119    16    58    11    65 0.85 hypothetical protein MN116_001096 [Schistosoma mekongi]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/9639at33208.hmm
# Target file:     /users/40483456/protein/s.mekongi.faa
# Option settings: hmmsearch --domtblout /users/40483456/busco/results_pro/s.mekongi_busco/run_metazoa_odb10/hmmer_output/initial_run_results/9639at33208.out --cpu 1 /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/9639at33208.hmm /users/40483456/protein/s.mekongi.faa 
# Current dir:     /users/40483456
# Date:            Thu Jan 15 18:04:39 2026
# [ok]
