#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4469332.1         -           1970 49474at33208         -           1197   1.4e-06   25.3  17.2   4   5   2.6e-06    0.0024   14.6   0.4  1040  1101  1080  1140  1073  1144 0.91 hypothetical protein MN116_006895 [Schistosoma mekongi]
KAK4469332.1         -           1970 49474at33208         -           1197   1.4e-06   25.3  17.2   5   5   0.00066       0.6    6.7   0.4  1103  1150  1171  1218  1165  1233 0.78 hypothetical protein MN116_006895 [Schistosoma mekongi]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/49474at33208.hmm
# Target file:     /users/40483456/protein/s.mekongi.faa
# Option settings: hmmsearch --domtblout /users/40483456/busco/results_pro/s.mekongi_busco/run_metazoa_odb10/hmmer_output/initial_run_results/49474at33208.out --cpu 1 /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/49474at33208.hmm /users/40483456/protein/s.mekongi.faa 
# Current dir:     /users/40483456
# Date:            Thu Jan 15 18:04:26 2026
# [ok]
