Orthogroup	schistosoma_intercalatum	s.mekongi
OG0000044	SINT1_84450.1, SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8	KAK4468903.1
OG0000044	SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1, SINT1_84530.1, SINT1_84540.1	KAK4468904.1
OG0000045	SINT1_10700.1	KAK4468037.1
OG0000045	SINT1_36390.1	KAK4470284.1
OG0000049	SINT1_69090.2, SINT1_69090.3, SINT1_69090.5, SINT1_69090.1, SINT1_69090.4	KAK4470136.1, KAK4470137.1
OG0000049	SINT1_72570.1	KAK4470598.1
OG0000050	SINT1_53550.1, SINT1_53580.1	KAK4469367.1
OG0000052	SINT1_28750.1	KAK4472821.1
OG0000052	SINT1_3180.1	KAK4474336.1
OG0000052	SINT1_900.1	KAK4474374.1
OG0000052	SINT1_1600.1	KAK4474946.1
OG0000052	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3	KAK4471620.1
OG0000053	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4, SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13	KAK4475177.1, KAK4475178.1
OG0000054	SINT1_94200.1, SINT1_93910.1, SINT1_93910.2, SINT1_69130.1	KAK4471025.1, KAK4468371.1, KAK4474289.1
OG0000055	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7	KAK4471575.1, KAK4471564.1
OG0000056	SINT1_46080.1, SINT1_52370.1, SINT1_67130.1, SINT1_81410.1, SINT1_8800.1, SINT1_4560.1, SINT1_2560.1, SINT1_2830.1, SINT1_41970.1, SINT1_50700.1, SINT1_64430.1	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1
OG0000057	SINT1_2990.1	KAK4468384.1, KAK4470043.1
OG0000058	SINT1_88570.1	KAK4468525.1
OG0000058	SINT1_79220.1	KAK4470069.1
OG0000058	SINT1_79230.1, SINT1_79260.1, SINT1_79270.1, SINT1_79280.1, SINT1_79280.2	KAK4470074.1, KAK4470072.1
OG0000058	SINT1_79210.1	KAK4470068.1
OG0000060	SINT1_64930.1	KAK4471247.1
OG0000061	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5	KAK4469486.1
OG0000062	SINT1_6140.1	KAK4475970.1
OG0000063	SINT1_39400.9, SINT1_39400.8, SINT1_39400.3, SINT1_39400.6, SINT1_39400.2, SINT1_39400.7, SINT1_39400.1, SINT1_39400.5, SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12	KAK4473734.1
OG0000064	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5	KAK4475705.1
OG0000065	SINT1_23130.1, SINT1_23160.1	KAK4473358.1
OG0000065	SINT1_23220.3, SINT1_23220.2, SINT1_23220.1, SINT1_23190.1, SINT1_23180.2	KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	SINT1_37090.4, SINT1_37090.9, SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10, SINT1_37090.3	KAK4473833.1
OG0000067	SINT1_67000.1, SINT1_67000.7, SINT1_67000.6, SINT1_67000.8, SINT1_67000.9, SINT1_67000.2, SINT1_67000.3, SINT1_67000.4, SINT1_67000.5	KAK4471577.1
OG0000068	SINT1_53720.1	KAK4469181.1
OG0000068	SINT1_93040.1	KAK4467758.1
OG0000068	SINT1_36550.2, SINT1_36550.1, SINT1_36550.3	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	SINT1_28800.1	KAK4472801.1
OG0000069	SINT1_20680.1, SINT1_20680.3, SINT1_20680.6, SINT1_20680.9, SINT1_20680.10, SINT1_20680.2, SINT1_20680.5, SINT1_20680.8, SINT1_20680.11, SINT1_20680.12, SINT1_20680.13, SINT1_20680.4, SINT1_20680.7	KAK4474982.1
OG0000070	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11	KAK4472878.1
OG0000071	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5	KAK4472253.1
OG0000072	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8	KAK4468648.1
OG0000073	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3	KAK4469816.1
OG0000074	SINT1_86470.1	KAK4468714.1
OG0000074	SINT1_11530.1	KAK4474596.1
OG0000074	SINT1_86570.1	KAK4468705.1
OG0000075	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21	KAK4472282.1
OG0000076	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7	KAK4467358.1, KAK4475671.1
OG0000077	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5	KAK4475941.1
OG0000079	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4	KAK4472724.1
OG0000080	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9	KAK4472503.1
OG0000081	SINT1_2370.1, SINT1_69680.1, SINT1_65950.1, SINT1_34300.1, SINT1_80800.1, SINT1_7880.1, SINT1_44890.1, SINT1_44230.1, SINT1_19300.1, SINT1_2900.1, SINT1_38270.1, SINT1_58320.1	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1
OG0000082	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9	KAK4476263.1
OG0000083	SINT1_58950.1	KAK4471026.1, KAK4474271.1
OG0000085	SINT1_36430.1	KAK4474010.1
OG0000086	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2	KAK4470561.1
OG0000087	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7	KAK4469513.1
OG0000088	SINT1_3040.1, SINT1_3040.3, SINT1_3040.2	KAK4475590.1
OG0000088	SINT1_3030.2, SINT1_3030.3, SINT1_3030.1, SINT1_3030.4, SINT1_3030.5, SINT1_3030.6	KAK4475589.1
OG0000091	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6	KAK4469611.1
OG0000092	SINT1_2100.1, SINT1_2100.2	KAK4475365.1
OG0000092	SINT1_13320.1, SINT1_13320.2	KAK4474711.1
OG0000093	SINT1_40130.1	KAK4473668.1
OG0000093	SINT1_39320.1	KAK4467328.1, KAK4467335.1
OG0000094	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9	KAK4475997.1
OG0000095	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7	KAK4471403.1, KAK4471978.1
OG0000096	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14	KAK4474123.1
OG0000097	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8	KAK4476042.1, KAK4476041.1
OG0000098	SINT1_94630.1, SINT1_41140.1	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2	KAK4471639.1
OG0000099	SINT1_67160.1, SINT1_67160.2, SINT1_67160.4, SINT1_67160.3, SINT1_67160.5	KAK4471562.1
OG0000099	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4	KAK4470190.1
OG0000102	SINT1_58290.1, SINT1_58290.2	KAK4472110.1
OG0000103	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6	KAK4470657.1
OG0000104	SINT1_6130.1	KAK4475921.1
OG0000105	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3	KAK4474244.1
OG0000106	SINT1_72640.1, SINT1_72680.1	KAK4470606.1, KAK4467455.1
OG0000107	SINT1_56150.1	KAK4469978.1
OG0000108	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2	KAK4475981.1
OG0000110	SINT1_29940.1, SINT1_29940.2	KAK4472451.1
OG0000110	SINT1_29900.1	KAK4472446.1
OG0000110	SINT1_29950.1, SINT1_29950.2	KAK4472452.1
OG0000110	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4	KAK4472453.1
OG0000111	SINT1_41240.1	KAK4473064.1
OG0000111	SINT1_51900.1	KAK4469719.1
OG0000111	SINT1_31320.2, SINT1_31320.1	KAK4472666.1
OG0000112	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8	KAK4468035.1
OG0000114	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6	KAK4467770.1
OG0000115	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13	KAK4473986.1
OG0000116	SINT1_50100.1	KAK4469396.1
OG0000117	SINT1_30050.5, SINT1_30050.14, SINT1_30050.11, SINT1_30050.13, SINT1_30050.2, SINT1_30050.3, SINT1_30050.8, SINT1_30050.4, SINT1_30050.6, SINT1_30050.12, SINT1_30050.1, SINT1_30050.7, SINT1_30050.9, SINT1_30050.10	KAK4472459.1
OG0000118	SINT1_39470.1, SINT1_39480.1	KAK4473725.1
OG0000118	SINT1_39450.1	KAK4473729.1
OG0000118	SINT1_39460.1, SINT1_39460.2	KAK4473727.1
OG0000119	SINT1_93740.1, SINT1_93730.1	KAK4467682.1
OG0000120	SINT1_30140.3, SINT1_30140.1, SINT1_30140.4, SINT1_30140.6, SINT1_30140.8, SINT1_30140.5, SINT1_30140.7, SINT1_30140.2	KAK4472468.1
OG0000122	SINT1_79190.5, SINT1_79190.6, SINT1_79190.1, SINT1_79190.3, SINT1_79190.2, SINT1_79190.4	KAK4470066.1
OG0000123	SINT1_77380.6, SINT1_77380.14, SINT1_77380.11, SINT1_77380.3, SINT1_77380.2, SINT1_77380.9, SINT1_77380.5, SINT1_77380.1, SINT1_77380.8, SINT1_77380.12, SINT1_77380.4, SINT1_77380.13, SINT1_77380.16, SINT1_77380.15, SINT1_77380.7, SINT1_77380.10	KAK4470855.1
OG0000125	SINT1_1310.1, SINT1_1310.4, SINT1_1310.8, SINT1_1310.5, SINT1_1310.6, SINT1_1310.7, SINT1_1310.3, SINT1_1310.2	KAK4474534.1
OG0000126	SINT1_70010.5, SINT1_70010.1, SINT1_70010.2, SINT1_70010.3, SINT1_70010.4	KAK4470546.1
OG0000127	SINT1_22790.3, SINT1_22790.1, SINT1_22790.2	KAK4475492.1
OG0000128	SINT1_43010.1	KAK4473532.1
OG0000129	SINT1_32320.9, SINT1_32320.6, SINT1_32320.7, SINT1_32320.10, SINT1_32320.11, SINT1_32320.8, SINT1_32320.5, SINT1_32320.2, SINT1_32320.1, SINT1_32320.3, SINT1_32320.4	KAK4474206.1
OG0000130	SINT1_80760.1	KAK4467983.1
OG0000131	SINT1_84520.1, SINT1_84470.1, SINT1_84480.1, SINT1_84490.1	KAK4468902.1
OG0000132	SINT1_35550.3, SINT1_35550.2, SINT1_35550.10, SINT1_35550.1, SINT1_35550.11, SINT1_35550.12, SINT1_35550.5, SINT1_35550.6, SINT1_35550.7, SINT1_35550.9, SINT1_35550.4, SINT1_35550.8	KAK4474101.1
OG0000133	SINT1_31700.1, SINT1_31700.8, SINT1_31700.3, SINT1_31700.2, SINT1_31700.4, SINT1_31700.5, SINT1_31700.6, SINT1_31700.7	KAK4472626.1
OG0000134	SINT1_20430.1, SINT1_20430.5, SINT1_20430.7, SINT1_20430.6, SINT1_20430.2, SINT1_20430.3, SINT1_20430.10, SINT1_20430.4, SINT1_20430.8, SINT1_20430.9	KAK4475011.1
OG0000135	SINT1_13520.1, SINT1_13520.2, SINT1_13520.7, SINT1_13520.9, SINT1_13520.10, SINT1_13520.8, SINT1_13520.11, SINT1_13520.12, SINT1_13520.3, SINT1_13520.4, SINT1_13520.5, SINT1_13520.6	KAK4474731.1
OG0000136	SINT1_7430.1, SINT1_7460.1, SINT1_7420.1, SINT1_7420.2	KAK4476189.1
OG0000137	SINT1_42060.1	KAK4473443.1, KAK4473442.1, KAK4473441.1
OG0000138	SINT1_86150.1	KAK4468744.1
OG0000138	SINT1_45050.1, SINT1_45050.2	KAK4473697.1
OG0000139	SINT1_3860.1, SINT1_3860.4, SINT1_3860.8, SINT1_3860.10, SINT1_3860.2, SINT1_3860.6, SINT1_3860.7, SINT1_3860.5, SINT1_3860.9, SINT1_3860.3	KAK4475677.1
OG0000140	SINT1_74990.1	KAK4470680.1, KAK4470033.1
OG0000141	SINT1_24580.1, SINT1_35800.1, SINT1_21630.1, SINT1_49950.1	KAK4467352.1
OG0000142	SINT1_20300.1	KAK4475021.1
OG0000142	SINT1_20310.1, SINT1_20320.1	KAK4475019.1, KAK4475022.1
OG0000143	SINT1_67570.1	KAK4471520.1
OG0000143	SINT1_96680.1	KAK4471522.1
OG0000144	SINT1_54570.1, SINT1_54570.2, SINT1_54570.3	KAK4469871.1
OG0000144	SINT1_27700.1	KAK4473145.1
OG0000144	SINT1_56820.1	KAK4469772.1
OG0000145	SINT1_33280.1, SINT1_33280.2	KAK4472181.1
OG0000146	SINT1_89890.1	KAK4468443.1
OG0000146	SINT1_56400.1	KAK4469748.1
OG0000146	SINT1_29210.3, SINT1_29210.2, SINT1_29210.1	KAK4472748.1
OG0000146	SINT1_47190.1	KAK4469097.1
OG0000147	SINT1_36090.1, SINT1_36090.10, SINT1_36090.11, SINT1_36090.2, SINT1_36090.3, SINT1_36090.4, SINT1_36090.5, SINT1_36090.7, SINT1_36090.8, SINT1_36090.9, SINT1_36090.6	KAK4474043.1
OG0000148	SINT1_31360.3, SINT1_31360.4, SINT1_31360.7, SINT1_31360.8, SINT1_31360.1, SINT1_31360.2, SINT1_31360.5, SINT1_31360.9, SINT1_31360.6	KAK4472662.1
OG0000149	SINT1_53730.4, SINT1_53730.1, SINT1_53730.2, SINT1_53730.5, SINT1_53730.6, SINT1_53730.7, SINT1_53730.3	KAK4469180.1
OG0000151	SINT1_63190.1	KAK4471438.1, KAK4471439.1
OG0000152	SINT1_11220.1, SINT1_11220.3, SINT1_11220.5, SINT1_11220.6, SINT1_11220.4, SINT1_11360.1, SINT1_11220.2, SINT1_11220.7	KAK4474412.1
OG0000153	SINT1_50010.1	KAK4469387.1
