Orthogroup	schistosoma_intercalatum	schistosoma_turkestanicum
OG0000015	SINT1_38300.1	STRK1_32820.1
OG0000015	SINT1_65310.1	STRK1_58960.1
OG0000015	SINT1_65320.1	STRK1_58950.1
OG0000015	SINT1_38460.1	STRK1_28980.1
OG0000015	SINT1_38470.1, SINT1_38470.2	STRK1_28970.1
OG0000015	SINT1_43670.1	STRK1_40280.1
OG0000015	SINT1_42740.3, SINT1_42740.4, SINT1_42760.1, SINT1_42740.1, SINT1_42740.2	STRK1_41060.1
OG0000015	SINT1_42780.1	STRK1_41050.1, STRK1_41050.2, STRK1_41050.3
OG0000015	SINT1_10280.1	STRK1_9490.1
OG0000019	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5	STRK1_28380.1
OG0000019	SINT1_36670.11	STRK1_28370.1
OG0000020	SINT1_90670.1, SINT1_90670.2, SINT1_90670.3, SINT1_90400.1, SINT1_95080.1	STRK1_89440.1, STRK1_110730.1, STRK1_89420.1, STRK1_89430.1, STRK1_89430.2, STRK1_53450.1, STRK1_95860.1, STRK1_95860.2, STRK1_53460.1, STRK1_53460.2, STRK1_101150.1, STRK1_101150.2, STRK1_101150.3, STRK1_89410.1, STRK1_89590.1, STRK1_89400.1, STRK1_82850.1, STRK1_95870.1, STRK1_82890.1, STRK1_105740.1, STRK1_62050.1, STRK1_62050.2, STRK1_82970.1, STRK1_82860.1, STRK1_82860.2, STRK1_83010.1, STRK1_83030.1, STRK1_103050.1, STRK1_82880.1, STRK1_82870.1, STRK1_82870.2, STRK1_83050.1, STRK1_83050.2, STRK1_82940.1, STRK1_82960.1, STRK1_82960.2, STRK1_82930.1, STRK1_83060.1, STRK1_82990.1, STRK1_96010.1, STRK1_82910.1, STRK1_83000.1, STRK1_99060.1, STRK1_99060.2, STRK1_83040.1, STRK1_82980.1, STRK1_82980.2, STRK1_106490.1, STRK1_95440.1, STRK1_95440.2
OG0000021	SINT1_8390.1	STRK1_12640.1
OG0000021	SINT1_5840.1, SINT1_5850.1	STRK1_3460.1
OG0000021	SINT1_5860.1	STRK1_3470.1
OG0000021	SINT1_5810.2, SINT1_5810.1	STRK1_3440.1
OG0000021	SINT1_5830.1	STRK1_3450.1
OG0000021	SINT1_5790.2, SINT1_5790.1	STRK1_3430.1
OG0000022	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30	STRK1_25560.1, STRK1_25560.2
OG0000023	SINT1_96140.1	STRK1_89660.1, STRK1_74850.1, STRK1_87840.1
OG0000023	SINT1_24820.1, SINT1_69890.1	STRK1_18830.1, STRK1_109670.1, STRK1_66810.1
OG0000023	SINT1_27970.1, SINT1_18470.1	STRK1_10470.1
OG0000024	SINT1_23830.1	STRK1_22140.1
OG0000024	SINT1_90000.1	STRK1_101880.1
OG0000024	SINT1_79070.1, SINT1_79070.2	STRK1_78170.1
OG0000024	SINT1_79060.1	STRK1_78160.1
OG0000026	SINT1_78530.1, SINT1_78530.2	STRK1_76900.1, STRK1_76900.2
OG0000026	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2, SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1	STRK1_69960.1, STRK1_69960.2
OG0000028	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5, SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14	STRK1_68350.1
OG0000029	SINT1_57320.1	STRK1_108400.1
OG0000029	SINT1_85860.1	STRK1_85070.1
OG0000029	SINT1_20550.1	STRK1_18700.1
OG0000029	SINT1_20550.1	STRK1_18700.2
OG0000029	SINT1_20550.2	STRK1_18700.1
OG0000029	SINT1_20550.2	STRK1_18700.2
OG0000029	SINT1_20550.3	STRK1_18700.1
OG0000029	SINT1_20550.3	STRK1_18700.2
OG0000030	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3
OG0000031	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3
OG0000032	SINT1_10470.1	STRK1_9690.1
OG0000032	SINT1_78580.1	STRK1_76860.1
OG0000032	SINT1_78580.2	STRK1_76860.1
OG0000034	SINT1_90240.1, SINT1_90240.2	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3
OG0000034	SINT1_90230.1, SINT1_90220.1	STRK1_89060.1, STRK1_89070.1, STRK1_89080.1
OG0000034	SINT1_57200.1, SINT1_57110.1, SINT1_57210.1, SINT1_57250.1, SINT1_57100.1, SINT1_57220.1	STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1
OG0000035	SINT1_14990.1	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1
OG0000036	SINT1_6080.1, SINT1_19610.1, SINT1_90930.1, SINT1_32000.1, SINT1_51990.1, SINT1_94410.1, SINT1_4460.1, SINT1_37350.1, SINT1_75760.1, SINT1_75760.2	STRK1_42430.1
OG0000037	SINT1_95680.1, SINT1_95220.1, SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2
OG0000037	SINT1_59630.1, SINT1_96530.1, SINT1_59650.1, SINT1_96160.1, SINT1_96640.1	STRK1_58000.1, STRK1_105220.1, STRK1_57980.1
OG0000040	SINT1_52070.2, SINT1_52070.4, SINT1_52070.3, SINT1_52070.7, SINT1_52070.6, SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5
OG0000042	SINT1_39890.1	STRK1_38240.1
OG0000042	SINT1_39880.1	STRK1_38230.1, STRK1_38230.2, STRK1_38230.3
OG0000042	SINT1_39840.1	STRK1_38190.1
OG0000042	SINT1_39870.1, SINT1_39850.1, SINT1_39860.1	STRK1_38200.1, STRK1_38210.1, STRK1_38220.1
OG0000043	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8	STRK1_23860.1, STRK1_23860.2
OG0000044	SINT1_84450.1, SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8	STRK1_83210.1, STRK1_83210.2
OG0000044	SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1	STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1
OG0000044	SINT1_84530.1	STRK1_83840.1
OG0000044	SINT1_84540.1	STRK1_83810.1
OG0000048	SINT1_94890.1, SINT1_94900.1, SINT1_46050.1	STRK1_101920.1
OG0000049	SINT1_69090.2, SINT1_69090.3, SINT1_69090.5, SINT1_69090.1, SINT1_69090.4	STRK1_67640.1
OG0000049	SINT1_72570.1	STRK1_71350.1
OG0000050	SINT1_53550.1, SINT1_53580.1	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2
OG0000052	SINT1_28750.1	STRK1_27330.1
OG0000052	SINT1_3180.1	STRK1_16800.1
OG0000052	SINT1_900.1	STRK1_440.1
OG0000052	SINT1_1600.1	STRK1_1120.1, STRK1_97400.1
OG0000052	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1
OG0000053	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4, SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13	STRK1_2330.1
OG0000054	SINT1_94200.1, SINT1_93910.1, SINT1_93910.2, SINT1_69130.1	STRK1_94850.1, STRK1_78190.1
OG0000055	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7	STRK1_66850.1
OG0000058	SINT1_88570.1	STRK1_86390.1
OG0000058	SINT1_79220.1	STRK1_77870.1
OG0000058	SINT1_79280.1, SINT1_79280.2	STRK1_77680.1
OG0000058	SINT1_79210.1	STRK1_97370.1, STRK1_100950.1, STRK1_77860.1, STRK1_103520.1, STRK1_77850.1
OG0000060	SINT1_64930.1	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1
OG0000061	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2
OG0000062	SINT1_6140.1	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5
OG0000064	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1
OG0000065	SINT1_23130.1, SINT1_23160.1	STRK1_21210.1
OG0000065	SINT1_23220.3, SINT1_23220.2, SINT1_23220.1, SINT1_23190.1, SINT1_23180.2	STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1
OG0000066	SINT1_37090.4, SINT1_37090.9, SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10, SINT1_37090.3	STRK1_27970.1, STRK1_27970.2
OG0000066	SINT1_37090.11, SINT1_37090.5, SINT1_37090.2	STRK1_27970.3, STRK1_27970.4
OG0000067	SINT1_67000.1, SINT1_67000.7, SINT1_67000.6, SINT1_67000.8, SINT1_67000.9, SINT1_67000.2, SINT1_67000.3, SINT1_67000.4, SINT1_67000.5	STRK1_100070.1
OG0000068	SINT1_53720.1	STRK1_51720.1
OG0000068	SINT1_93040.1	STRK1_90930.1
OG0000068	SINT1_36550.2, SINT1_36550.1, SINT1_36550.3	STRK1_31350.1
OG0000068	SINT1_28800.1	STRK1_27380.1
OG0000069	SINT1_20680.1, SINT1_20680.3, SINT1_20680.6, SINT1_20680.9, SINT1_20680.10, SINT1_20680.2, SINT1_20680.5, SINT1_20680.8, SINT1_20680.11, SINT1_20680.12, SINT1_20680.13, SINT1_20680.4, SINT1_20680.7	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1
OG0000070	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1
OG0000071	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2
OG0000072	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8	STRK1_86450.1
OG0000073	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3
OG0000074	SINT1_86470.1	STRK1_88120.1
OG0000074	SINT1_11530.1	STRK1_10690.2, STRK1_10690.1
OG0000075	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21	STRK1_35140.1, STRK1_35140.2
OG0000076	SINT1_89270.4, SINT1_89270.2, SINT1_89270.1, SINT1_89270.3	STRK1_85230.1, STRK1_85230.2
OG0000076	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7	STRK1_16320.1, STRK1_16320.2
OG0000077	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2
OG0000078	SINT1_5520.8, SINT1_5520.1, SINT1_5520.9, SINT1_5520.4, SINT1_5520.2, SINT1_5520.3, SINT1_5520.5, SINT1_5520.6, SINT1_5520.7	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4
OG0000079	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4	STRK1_29350.1, STRK1_29350.2
OG0000079	SINT1_53840.5, SINT1_53840.1, SINT1_53840.3, SINT1_53840.2, SINT1_53840.4, SINT1_53840.6	STRK1_51780.1, STRK1_51780.2
OG0000080	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9	STRK1_101810.1, STRK1_39780.1
OG0000082	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3
OG0000083	SINT1_58950.1	STRK1_77560.1, STRK1_77560.2
OG0000085	SINT1_36430.1	STRK1_31220.1, STRK1_31220.2
OG0000086	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2	STRK1_71670.1, STRK1_71670.2
OG0000087	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4
OG0000088	SINT1_3040.1, SINT1_3040.3, SINT1_3040.2	STRK1_17030.1
OG0000088	SINT1_3030.2, SINT1_3030.3, SINT1_3030.1, SINT1_3030.4, SINT1_3030.5, SINT1_3030.6	STRK1_17040.1, STRK1_17040.2
OG0000090	SINT1_49900.5, SINT1_49900.1, SINT1_49900.2, SINT1_49900.3, SINT1_49900.4, SINT1_49900.6, SINT1_49900.7, SINT1_49900.8	STRK1_49240.1
OG0000091	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5
OG0000092	SINT1_2100.1, SINT1_2100.2	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4
OG0000092	SINT1_13320.1, SINT1_13320.2	STRK1_8500.1, STRK1_8500.2
OG0000093	SINT1_40130.1	STRK1_38460.1
OG0000093	SINT1_39320.1	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1
OG0000094	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5
OG0000095	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7	STRK1_60680.1
OG0000096	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2
OG0000097	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3
OG0000098	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2	STRK1_64600.1, STRK1_64590.1
OG0000099	SINT1_67160.1	STRK1_66130.1, STRK1_104580.1, STRK1_66160.2
OG0000099	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1
OG0000102	SINT1_5950.1	STRK1_3550.1, STRK1_3550.2
OG0000102	SINT1_58290.1, SINT1_58290.2	STRK1_56260.1
OG0000103	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6	STRK1_75520.1, STRK1_75520.2
OG0000104	SINT1_6130.1	STRK1_3670.1, STRK1_3670.2
OG0000105	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3	STRK1_13170.1
OG0000106	SINT1_72650.1, SINT1_72660.1, SINT1_72690.1, SINT1_72700.1	STRK1_102100.1
OG0000106	SINT1_72640.1, SINT1_72680.1	STRK1_72780.1, STRK1_72770.1
OG0000107	SINT1_56150.1	STRK1_49750.1
OG0000108	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2	STRK1_12570.1, STRK1_12570.2
OG0000110	SINT1_29940.1, SINT1_29940.2	STRK1_30120.1
OG0000110	SINT1_29900.1	STRK1_30150.1
OG0000110	SINT1_29950.1, SINT1_29950.2	STRK1_30110.1
OG0000110	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4	STRK1_30100.1, STRK1_30100.2
OG0000111	SINT1_51900.1	STRK1_46420.1
OG0000111	SINT1_31290.1, SINT1_31260.1, SINT1_31270.1, SINT1_31280.1, SINT1_31300.1	STRK1_32480.1, STRK1_32510.1
OG0000112	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1
OG0000114	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6	STRK1_91030.1, STRK1_91030.2
OG0000115	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13	STRK1_28410.1
OG0000116	SINT1_50100.1	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2
OG0000117	SINT1_30050.5, SINT1_30050.14, SINT1_30050.11, SINT1_30050.13, SINT1_30050.2, SINT1_30050.3, SINT1_30050.8, SINT1_30050.4, SINT1_30050.6, SINT1_30050.12, SINT1_30050.1, SINT1_30050.7, SINT1_30050.9, SINT1_30050.10	STRK1_30040.1
OG0000118	SINT1_39470.1, SINT1_39480.1	STRK1_37870.1
OG0000118	SINT1_39450.1	STRK1_109120.1, STRK1_37860.1
OG0000118	SINT1_39460.1, SINT1_39460.2	STRK1_109130.1, STRK1_37850.1
OG0000119	SINT1_93740.1, SINT1_93730.1	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7
OG0000120	SINT1_30140.3, SINT1_30140.1, SINT1_30140.4, SINT1_30140.6, SINT1_30140.8, SINT1_30140.5, SINT1_30140.7, SINT1_30140.2	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4
OG0000122	SINT1_79190.5, SINT1_79190.6, SINT1_79190.1, SINT1_79190.3, SINT1_79190.2, SINT1_79190.4	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2
