Orthogroup	schistosoma_intercalatum	schistosoma_haematobium
OG0000008	SINT1_83680.1	SHAE2_93330.1, SHAE2_4460.1
OG0000009	SINT1_95730.1	SHAE2_24900.1
OG0000009	SINT1_36860.1	SHAE2_31360.1, SHAE2_41140.1, SHAE2_74440.1
OG0000009	SINT1_45810.1	SHAE2_64150.1
OG0000010	SINT1_67560.1, SINT1_95990.1, SINT1_88190.1	SHAE2_14840.2, SHAE2_14840.1
OG0000010	SINT1_4710.1, SINT1_4710.2, SINT1_74240.1	SHAE2_29320.1
OG0000010	SINT1_9600.1	SHAE2_69040.1
OG0000010	SINT1_19890.2, SINT1_19890.1	SHAE2_77120.1
OG0000010	SINT1_72940.1	SHAE2_69030.1
OG0000010	SINT1_16810.1	SHAE2_93000.1, SHAE2_93000.2
OG0000010	SINT1_49820.1	SHAE2_38950.1, SHAE2_38940.1, SHAE2_38950.2
OG0000010	SINT1_81220.1, SINT1_92780.1	SHAE2_77650.1
OG0000010	SINT1_9310.1, SINT1_54220.1	SHAE2_15450.1
OG0000012	SINT1_40600.22, SINT1_40600.15, SINT1_40600.8, SINT1_40600.13, SINT1_40600.18, SINT1_40600.11, SINT1_40600.2, SINT1_40600.12, SINT1_40600.6, SINT1_40600.4, SINT1_40600.1, SINT1_40600.5, SINT1_40600.7, SINT1_40600.19, SINT1_40600.3, SINT1_40600.9, SINT1_40600.16, SINT1_40600.17, SINT1_40600.10, SINT1_40600.14, SINT1_40600.21, SINT1_40600.20	SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8
OG0000014	SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20	SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26
OG0000014	SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9	SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6
OG0000015	SINT1_38300.1	SHAE2_41150.1
OG0000015	SINT1_65310.1	SHAE2_70060.1
OG0000015	SINT1_65320.1	SHAE2_70070.1
OG0000015	SINT1_38460.1	SHAE2_41370.1
OG0000015	SINT1_38470.1	SHAE2_41380.1
OG0000015	SINT1_43600.1	SHAE2_46430.1
OG0000015	SINT1_43670.1	SHAE2_46480.1
OG0000015	SINT1_42740.3, SINT1_42740.4	SHAE2_45590.1
OG0000015	SINT1_42780.1	SHAE2_45640.1
OG0000015	SINT1_10280.1	SHAE2_11980.1
OG0000016	SINT1_37800.1	SHAE2_91170.1
OG0000016	SINT1_19510.1, SINT1_34270.1, SINT1_26200.1, SINT1_39950.1	SHAE2_67860.1
OG0000016	SINT1_35360.1	SHAE2_38480.1
OG0000016	SINT1_2320.1	SHAE2_65970.1, SHAE2_82640.1
OG0000016	SINT1_15320.1	SHAE2_17260.1
OG0000018	SINT1_81200.1, SINT1_81200.2	SHAE2_23610.1, SHAE2_38960.1
OG0000018	SINT1_22160.8, SINT1_22160.9, SINT1_96520.1, SINT1_96520.3, SINT1_67830.1, SINT1_67830.6	SHAE2_20330.3
OG0000018	SINT1_20820.1, SINT1_20830.1	SHAE2_5050.2, SHAE2_5050.5, SHAE2_5050.6, SHAE2_5050.8, SHAE2_5050.1, SHAE2_5050.3, SHAE2_5050.4, SHAE2_5050.7, SHAE2_5050.9, SHAE2_55110.1, SHAE2_55110.2, SHAE2_55110.3
OG0000019	SINT1_36670.9	SHAE2_39640.1, SHAE2_39640.9, SHAE2_39640.10
OG0000019	SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8	SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7
OG0000019	SINT1_36670.5	SHAE2_39640.12
OG0000019	SINT1_36670.11	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19
OG0000020	SINT1_90670.1, SINT1_90670.2, SINT1_90670.3	SHAE2_97900.1
OG0000020	SINT1_90400.1, SINT1_95080.1	SHAE2_97360.1
OG0000021	SINT1_8390.1	SHAE2_10160.1
OG0000021	SINT1_5840.1, SINT1_5850.1	SHAE2_6340.2, SHAE2_6340.1, SHAE2_6350.1
OG0000021	SINT1_5810.2	SHAE2_6310.2
OG0000021	SINT1_5810.1	SHAE2_6310.1
OG0000021	SINT1_5820.1	SHAE2_6320.1
OG0000021	SINT1_5830.1	SHAE2_6330.1, SHAE2_6330.2
OG0000021	SINT1_5790.2, SINT1_5790.1	SHAE2_6290.2
OG0000022	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29
OG0000023	SINT1_96140.1	SHAE2_26100.1
OG0000024	SINT1_23830.1	SHAE2_26160.1
OG0000024	SINT1_90000.1	SHAE2_96950.1
OG0000024	SINT1_79070.1, SINT1_79070.2	SHAE2_84940.1, SHAE2_84940.2
OG0000024	SINT1_79060.1	SHAE2_84950.1
OG0000026	SINT1_78530.1, SINT1_78530.2	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2
OG0000026	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3
OG0000027	SINT1_40020.1	SHAE2_42940.1
OG0000028	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5	SHAE2_74920.6, SHAE2_74920.7
OG0000028	SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14	SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13
OG0000029	SINT1_57320.1	SHAE2_61420.1
OG0000029	SINT1_85860.1	SHAE2_92590.1
OG0000029	SINT1_20550.1	SHAE2_22850.1
OG0000029	SINT1_20550.2	SHAE2_22850.1
OG0000029	SINT1_20550.3	SHAE2_22850.1
OG0000029	SINT1_20550.1	SHAE2_22850.3
OG0000029	SINT1_20550.2	SHAE2_22850.3
OG0000029	SINT1_20550.3	SHAE2_22850.3
OG0000030	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40	SHAE2_7260.1
OG0000031	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3	SHAE2_21970.1
OG0000032	SINT1_10460.1	SHAE2_12170.2
OG0000032	SINT1_10470.1	SHAE2_12170.3
OG0000032	SINT1_57170.1	SHAE2_61170.1
OG0000032	SINT1_57170.1	SHAE2_61170.4
OG0000032	SINT1_78580.1	SHAE2_84140.1
OG0000032	SINT1_78580.2	SHAE2_84140.1
OG0000033	SINT1_2960.1	SHAE2_42570.1
OG0000033	SINT1_12580.1, SINT1_27460.1	SHAE2_18350.1
OG0000034	SINT1_90240.1, SINT1_90240.2	SHAE2_97190.1
OG0000034	SINT1_90230.1	SHAE2_97180.1
OG0000034	SINT1_90220.1	SHAE2_97170.1
OG0000034	SINT1_57200.1	SHAE2_57280.1, SHAE2_61250.1
OG0000034	SINT1_57110.1, SINT1_57210.1	SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1
OG0000034	SINT1_57250.1	SHAE2_61300.2, SHAE2_61300.1
OG0000034	SINT1_57100.1	SHAE2_61160.1
OG0000034	SINT1_57220.1	SHAE2_61270.1
OG0000035	SINT1_14990.1	SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3
OG0000036	SINT1_6080.1	SHAE2_93220.1, SHAE2_34210.1
OG0000036	SINT1_19610.1, SINT1_90930.1, SINT1_32000.1, SINT1_51990.1, SINT1_94410.1, SINT1_4460.1, SINT1_37350.1	SHAE2_24910.1, SHAE2_24910.2
OG0000036	SINT1_75760.1, SINT1_75760.2	SHAE2_95420.1
OG0000037	SINT1_95680.1, SINT1_95220.1	SHAE2_63770.1, SHAE2_63780.1
OG0000037	SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1	SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3
OG0000037	SINT1_96160.1, SINT1_96640.1	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2
OG0000038	SINT1_40590.1, SINT1_5670.1	SHAE2_63020.1, SHAE2_50220.1
OG0000038	SINT1_58550.1	SHAE2_10510.1, SHAE2_85910.1
OG0000038	SINT1_74240.2, SINT1_82700.1	SHAE2_12870.1, SHAE2_14240.1, SHAE2_83230.1
OG0000038	SINT1_58840.1	SHAE2_64380.1
OG0000040	SINT1_52070.2, SINT1_52070.4	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20
OG0000040	SINT1_52070.3	SHAE2_55400.14, SHAE2_55400.19
OG0000040	SINT1_52070.7, SINT1_52070.6	SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23
OG0000040	SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1	SHAE2_55390.1, SHAE2_55400.26
OG0000042	SINT1_39890.1	SHAE2_42810.2, SHAE2_42810.1
OG0000042	SINT1_39880.1	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1
OG0000042	SINT1_39840.1	SHAE2_42750.1
OG0000042	SINT1_39850.1, SINT1_39860.1	SHAE2_42760.2, SHAE2_42780.1
OG0000043	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21
OG0000044	SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3
OG0000044	SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1	SHAE2_91220.1
OG0000044	SINT1_84530.1	SHAE2_91240.1, SHAE2_91240.2
OG0000044	SINT1_84540.1	SHAE2_91250.1, SHAE2_91250.2
OG0000045	SINT1_10700.1	SHAE2_12380.1
OG0000045	SINT1_36390.1	SHAE2_39290.26, SHAE2_39290.15, SHAE2_39290.21, SHAE2_39290.5, SHAE2_39290.2, SHAE2_39290.19, SHAE2_39290.33, SHAE2_39290.34, SHAE2_39290.18, SHAE2_39290.30, SHAE2_39290.3, SHAE2_39290.9, SHAE2_39290.22, SHAE2_39290.13, SHAE2_39290.24, SHAE2_39290.8, SHAE2_39290.4, SHAE2_39290.16, SHAE2_39290.17, SHAE2_39290.25, SHAE2_39290.28, SHAE2_39290.32, SHAE2_39290.6, SHAE2_39290.10, SHAE2_39290.1, SHAE2_39290.11, SHAE2_39290.12, SHAE2_39290.14, SHAE2_39290.20, SHAE2_39290.27, SHAE2_39290.29, SHAE2_39290.31, SHAE2_39290.7, SHAE2_39290.23
OG0000046	SINT1_91720.1	SHAE2_4180.9, SHAE2_4180.11, SHAE2_4180.12, SHAE2_4180.5, SHAE2_4180.7, SHAE2_4180.1, SHAE2_4180.13, SHAE2_4180.3, SHAE2_4180.14, SHAE2_4180.4, SHAE2_4180.6, SHAE2_4180.8, SHAE2_4180.10, SHAE2_4180.2, SHAE2_53980.1, SHAE2_34200.2, SHAE2_34200.1
OG0000046	SINT1_11820.1, SINT1_53180.1	SHAE2_62240.1, SHAE2_62240.2, SHAE2_62240.3
OG0000047	SINT1_21890.1	SHAE2_100590.1
OG0000048	SINT1_46050.1	SHAE2_48820.1, SHAE2_73940.1, SHAE2_48850.1, SHAE2_48840.1, SHAE2_48870.1
OG0000049	SINT1_69090.2, SINT1_69090.3	SHAE2_74260.1
OG0000049	SINT1_69090.5, SINT1_69090.1, SINT1_69090.4	SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7
OG0000049	SINT1_72570.1	SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3
OG0000050	SINT1_53550.1	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15
OG0000050	SINT1_53580.1	SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6
OG0000051	SINT1_58660.1	SHAE2_39490.1
OG0000051	SINT1_79040.1, SINT1_4210.1, SINT1_4220.1	SHAE2_31540.1
OG0000051	SINT1_79470.1	SHAE2_51900.1
OG0000052	SINT1_28750.1	SHAE2_30940.1
OG0000052	SINT1_3180.1	SHAE2_3770.1
OG0000052	SINT1_900.1	SHAE2_1260.1
OG0000052	SINT1_1600.1	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3
OG0000052	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1
OG0000053	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13
OG0000053	SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13	SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10
OG0000054	SINT1_86400.1, SINT1_95470.1	SHAE2_76560.1
OG0000055	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7	SHAE2_73310.1, SHAE2_73320.1
OG0000056	SINT1_52370.1	SHAE2_101630.1, SHAE2_43920.1
OG0000056	SINT1_2560.1	SHAE2_38240.1, SHAE2_86550.1, SHAE2_47250.1
OG0000056	SINT1_2830.1, SINT1_41970.1, SINT1_50700.1	SHAE2_64070.1
OG0000057	SINT1_2990.1	SHAE2_2610.1, SHAE2_47220.1, SHAE2_78890.1
OG0000058	SINT1_88570.1	SHAE2_95540.1
OG0000058	SINT1_79220.1	SHAE2_84800.1, SHAE2_84800.2
OG0000058	SINT1_79230.1	SHAE2_84790.1, SHAE2_84790.2, SHAE2_84790.3
OG0000058	SINT1_79260.1	SHAE2_84760.1
OG0000058	SINT1_79280.1, SINT1_79280.2	SHAE2_84740.1
OG0000060	SINT1_64930.1	SHAE2_69670.1, SHAE2_69670.10, SHAE2_69670.6, SHAE2_69670.7, SHAE2_69670.9, SHAE2_69670.11, SHAE2_69670.5, SHAE2_69670.2, SHAE2_69670.4, SHAE2_69670.3, SHAE2_69670.12, SHAE2_69670.8
OG0000061	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5	SHAE2_55850.1, SHAE2_55850.11, SHAE2_55850.13, SHAE2_55850.12, SHAE2_55850.10, SHAE2_55850.5, SHAE2_55850.6, SHAE2_55850.7, SHAE2_55850.8, SHAE2_55850.2, SHAE2_55850.9, SHAE2_55850.3, SHAE2_55850.4
OG0000062	SINT1_6140.1	SHAE2_6660.2, SHAE2_6660.18, SHAE2_6660.8, SHAE2_6660.7, SHAE2_6660.5, SHAE2_6660.1, SHAE2_6660.12, SHAE2_6660.17, SHAE2_6660.20, SHAE2_6660.9, SHAE2_6660.10, SHAE2_6660.11, SHAE2_6660.15, SHAE2_6660.6, SHAE2_6660.13
OG0000063	SINT1_39400.9, SINT1_39400.8	SHAE2_42340.3
OG0000063	SINT1_39400.2, SINT1_39400.7	SHAE2_42340.8
OG0000063	SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12	SHAE2_42340.5, SHAE2_42340.11, SHAE2_42340.1, SHAE2_42340.4, SHAE2_42340.6, SHAE2_42340.14, SHAE2_42340.16, SHAE2_42340.13, SHAE2_42340.17, SHAE2_42340.19
