Orthogroup	schistosoma_intercalatum	schistosoma_mansoni
OG0000044	SINT1_84450.1, SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1
OG0000044	SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1	Smp_155530.1
OG0000044	SINT1_84530.1	Smp_062080.1
OG0000045	SINT1_10700.1	Smp_094770.1
OG0000045	SINT1_36390.1	Smp_175400.1
OG0000046	SINT1_91720.1, SINT1_11820.1, SINT1_53180.1	Smp_120020.1, Smp_114870.1, Smp_026790.1, Smp_242960.1, Smp_109240.1, Smp_174250.1, Smp_175190.1, Smp_101840.1, Smp_197170.1, Smp_026200.1
OG0000047	SINT1_21890.1, SINT1_77100.1, SINT1_77100.5, SINT1_77100.2, SINT1_77100.3, SINT1_77100.4	Smp_076460.1
OG0000049	SINT1_69090.2, SINT1_69090.3, SINT1_69090.5, SINT1_69090.1, SINT1_69090.4	Smp_315900.2, Smp_315900.1
OG0000049	SINT1_72570.1	Smp_343120.1
OG0000050	SINT1_53550.1, SINT1_53580.1	Smp_311520.1, Smp_245890.1
OG0000052	SINT1_28750.1	Smp_034920.1
OG0000052	SINT1_3180.1	Smp_332890.1
OG0000052	SINT1_900.1	Smp_130810.1
OG0000052	SINT1_1600.1	Smp_303940.1
OG0000052	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3	Smp_159840.1
OG0000053	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4, SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13	Smp_075220.1
OG0000054	SINT1_94200.1, SINT1_93910.1, SINT1_93910.2, SINT1_69130.1, SINT1_63080.1, SINT1_86400.1, SINT1_95470.1	Smp_106390.1
OG0000055	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7	Smp_309720.1, Smp_309710.1
OG0000056	SINT1_46080.1, SINT1_52370.1, SINT1_67130.1, SINT1_81410.1, SINT1_8800.1, SINT1_4560.1, SINT1_2560.1, SINT1_2830.1, SINT1_41970.1, SINT1_50700.1, SINT1_64430.1	Smp_168030.1
OG0000058	SINT1_88570.1	Smp_247950.1
OG0000058	SINT1_79220.1	Smp_247290.1
OG0000058	SINT1_79280.1, SINT1_79280.2	Smp_054010.1
OG0000058	SINT1_79210.1	Smp_150990.1, Smp_150990.2
OG0000060	SINT1_64930.1	Smp_123510.1
OG0000061	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5	Smp_212360.2, Smp_212360.1
OG0000062	SINT1_6140.1	Smp_332930.1
OG0000063	SINT1_39400.9, SINT1_39400.8, SINT1_39400.3, SINT1_39400.6, SINT1_39400.2, SINT1_39400.7, SINT1_39400.1, SINT1_39400.5, SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12	Smp_171820.1
OG0000064	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5	Smp_332910.1, Smp_332910.2
OG0000065	SINT1_23130.1, SINT1_23160.1	Smp_085010.1, Smp_085010.2
OG0000065	SINT1_23220.3, SINT1_23220.2, SINT1_23220.1, SINT1_23190.1, SINT1_23180.2	Smp_067060.1, Smp_103610.1, Smp_344940.1
OG0000066	SINT1_37090.4, SINT1_37090.9	Smp_040970.1
OG0000067	SINT1_67000.1, SINT1_67000.7, SINT1_67000.6, SINT1_67000.8, SINT1_67000.9, SINT1_67000.2, SINT1_67000.3, SINT1_67000.4, SINT1_67000.5	Smp_000260.1
OG0000068	SINT1_53720.1	Smp_002410.1
OG0000068	SINT1_93040.1	Smp_041430.1
OG0000068	SINT1_36550.2, SINT1_36550.1	Smp_301620.1
OG0000068	SINT1_36550.3	Smp_009760.1
OG0000068	SINT1_28800.1	Smp_034840.1
OG0000069	SINT1_20680.1, SINT1_20680.3, SINT1_20680.6, SINT1_20680.9, SINT1_20680.10, SINT1_20680.2, SINT1_20680.5, SINT1_20680.8, SINT1_20680.11, SINT1_20680.12, SINT1_20680.13, SINT1_20680.4, SINT1_20680.7	Smp_155020.1
OG0000070	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11	Smp_315710.1
OG0000071	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5	Smp_033600.1
OG0000072	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8	Smp_343430.1
OG0000073	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1
OG0000074	SINT1_1200.2	Smp_152330.1
OG0000074	SINT1_86470.1	Smp_164380.1
OG0000074	SINT1_11530.1	Smp_307260.1
OG0000074	SINT1_86570.1	Smp_085690.1
OG0000075	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21	Smp_246680.1
OG0000076	SINT1_89270.4, SINT1_89270.2, SINT1_89270.1, SINT1_89270.3	Smp_141980.3
OG0000076	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7	Smp_134140.2, Smp_134140.1
OG0000077	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5	Smp_244680.1, Smp_244680.2
OG0000078	SINT1_5520.8, SINT1_5520.1, SINT1_5520.9, SINT1_5520.4, SINT1_5520.2, SINT1_5520.3, SINT1_5520.5, SINT1_5520.6, SINT1_5520.7	Smp_092530.1
OG0000079	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4	Smp_129050.1
OG0000079	SINT1_53840.5, SINT1_53840.1, SINT1_53840.3, SINT1_53840.2, SINT1_53840.4, SINT1_53840.6	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3
OG0000080	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9	Smp_165200.3, Smp_165200.1, Smp_165200.2
OG0000081	SINT1_34300.1	Smp_192230.1
OG0000081	SINT1_7880.1	Smp_072670.1
OG0000081	SINT1_44890.1	Smp_122190.1
OG0000082	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9	Smp_132900.1
OG0000084	SINT1_8370.1, SINT1_96020.1, SINT1_47370.1	Smp_179580.1
OG0000084	SINT1_67120.1, SINT1_16590.1, SINT1_15830.1, SINT1_16280.1, SINT1_83430.1, SINT1_28600.1, SINT1_86750.1, SINT1_55910.1, SINT1_77130.1, SINT1_84260.1	Smp_201970.1
OG0000085	SINT1_36430.1	Smp_127430.1
OG0000086	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2	Smp_149300.1
OG0000087	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7	Smp_245790.1
OG0000088	SINT1_3040.1, SINT1_3040.3, SINT1_3040.2	Smp_028690.1, Smp_028690.2
OG0000088	SINT1_3030.2, SINT1_3030.3, SINT1_3030.1, SINT1_3030.4, SINT1_3030.5, SINT1_3030.6	Smp_131890.1
OG0000090	SINT1_49900.5, SINT1_49900.1, SINT1_49900.2, SINT1_49900.3, SINT1_49900.4, SINT1_49900.6, SINT1_49900.7, SINT1_49900.8	Smp_310930.1
OG0000091	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6	Smp_146060.1
OG0000092	SINT1_2100.1, SINT1_2100.2	Smp_180470.1, Smp_180470.2
OG0000092	SINT1_13320.1, SINT1_13320.2	Smp_064870.1
OG0000093	SINT1_40130.1	Smp_049550.1
OG0000093	SINT1_39320.1	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1
OG0000094	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9	Smp_128570.1
OG0000095	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7	Smp_162630.1
OG0000096	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14	Smp_005190.2, Smp_005190.1, Smp_005190.3
OG0000097	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8	Smp_168050.1
OG0000098	SINT1_94630.1, SINT1_41140.1	Smp_072330.1
OG0000098	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2	Smp_340630.1, Smp_340630.2
OG0000099	SINT1_67160.1, SINT1_67160.2, SINT1_67160.4, SINT1_67160.3, SINT1_67160.5	Smp_000100.1
OG0000099	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4	Smp_317420.1
OG0000100	SINT1_38550.1, SINT1_73100.1	Smp_043250.1
OG0000100	SINT1_76440.1	Smp_334830.1, Smp_316360.1
OG0000102	SINT1_5950.1	Smp_036590.1
OG0000103	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6	Smp_067000.1
OG0000104	SINT1_6130.1	Smp_006250.1
OG0000105	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3	Smp_019790.1
OG0000106	SINT1_72650.1, SINT1_72660.1	Smp_345820.1
OG0000106	SINT1_72690.1	Smp_336130.1
OG0000107	SINT1_56150.1	Smp_089430.1
OG0000108	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2	Smp_093930.1
OG0000110	SINT1_29940.1, SINT1_29940.2	Smp_333980.1
OG0000110	SINT1_29900.1	Smp_055260.1
OG0000110	SINT1_29950.1, SINT1_29950.2	Smp_129920.1
OG0000110	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4	Smp_129900.1
OG0000111	SINT1_41240.1	Smp_072140.1
OG0000111	SINT1_51900.1	Smp_146600.1, Smp_146600.2
OG0000111	SINT1_31300.1	Smp_330250.1
OG0000111	SINT1_31320.2, SINT1_31320.1	Smp_104110.1
OG0000112	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2
OG0000113	SINT1_8770.2, SINT1_8770.1, SINT1_34760.3, SINT1_48210.4, SINT1_48210.8, SINT1_34760.4, SINT1_48210.3, SINT1_48210.5, SINT1_48210.6, SINT1_48210.7, SINT1_95060.1, SINT1_44180.1, SINT1_44180.2, SINT1_46410.3, SINT1_46410.4, SINT1_19070.1, SINT1_19070.5, SINT1_19070.2, SINT1_19070.6, SINT1_19070.4, SINT1_19070.8, SINT1_19070.3, SINT1_19070.7, SINT1_46410.1, SINT1_46410.2, SINT1_68480.1, SINT1_68480.2, SINT1_84220.1, SINT1_84220.2, SINT1_25560.1	Smp_349770.1, Smp_336365.1, Smp_349460.1
OG0000114	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6	Smp_144700.1
OG0000115	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13	Smp_094320.1
OG0000116	SINT1_50100.1	Smp_013840.1, Smp_013840.2
OG0000117	SINT1_30050.5, SINT1_30050.14, SINT1_30050.11, SINT1_30050.13, SINT1_30050.2, SINT1_30050.3, SINT1_30050.8, SINT1_30050.4, SINT1_30050.6, SINT1_30050.12, SINT1_30050.1, SINT1_30050.7, SINT1_30050.9, SINT1_30050.10	Smp_014170.1
OG0000118	SINT1_39470.1	Smp_319790.1
OG0000118	SINT1_39480.1	Smp_148080.1
OG0000118	SINT1_39450.1	Smp_344080.1
OG0000118	SINT1_39460.1, SINT1_39460.2	Smp_344070.1
OG0000119	SINT1_93740.1, SINT1_93730.1	Smp_247020.1
OG0000120	SINT1_30140.3, SINT1_30140.1, SINT1_30140.4, SINT1_30140.6, SINT1_30140.8, SINT1_30140.5, SINT1_30140.7, SINT1_30140.2	Smp_167850.1
OG0000122	SINT1_79190.5, SINT1_79190.6, SINT1_79190.1, SINT1_79190.3, SINT1_79190.2, SINT1_79190.4	Smp_344340.1
OG0000123	SINT1_77380.6, SINT1_77380.14, SINT1_77380.11, SINT1_77380.3, SINT1_77380.2, SINT1_77380.9, SINT1_77380.5, SINT1_77380.1, SINT1_77380.8, SINT1_77380.12, SINT1_77380.4, SINT1_77380.13, SINT1_77380.16, SINT1_77380.15, SINT1_77380.7, SINT1_77380.10	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4
OG0000125	SINT1_1310.1, SINT1_1310.4, SINT1_1310.8, SINT1_1310.5, SINT1_1310.6, SINT1_1310.7, SINT1_1310.3, SINT1_1310.2	Smp_097830.2, Smp_097830.1, Smp_097830.3
OG0000126	SINT1_70010.5, SINT1_70010.1, SINT1_70010.2, SINT1_70010.3, SINT1_70010.4	Smp_008620.1
OG0000127	SINT1_22790.3, SINT1_22790.1, SINT1_22790.2	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3
OG0000128	SINT1_43010.1	Smp_332660.1
OG0000129	SINT1_32320.9, SINT1_32320.6, SINT1_32320.7, SINT1_32320.10, SINT1_32320.11, SINT1_32320.8, SINT1_32320.5, SINT1_32320.2, SINT1_32320.1, SINT1_32320.3, SINT1_32320.4	Smp_140420.1
OG0000130	SINT1_80760.1	Smp_060420.1, Smp_060420.2
OG0000131	SINT1_8740.1	Smp_322720.1
OG0000131	SINT1_84520.1	Smp_155520.1, Smp_155520.2
OG0000131	SINT1_84470.1, SINT1_84480.1, SINT1_84490.1	Smp_336270.1
