Orthogroup	schistosoma_guineensis	schistosoma_mansoni
OG0000015	SGUI1_43650.1	Smp_320310.1
OG0000015	SGUI1_42800.1	Smp_200190.1
OG0000015	SGUI1_9360.1	Smp_322950.1
OG0000018	SGUI1_95460.1, SGUI1_49660.2, SGUI1_49660.5, SGUI1_70620.1, SGUI1_49660.3, SGUI1_49660.4, SGUI1_49660.6, SGUI1_27910.1, SGUI1_27920.1, SGUI1_49660.1, SGUI1_4330.2, SGUI1_4340.2, SGUI1_4330.4, SGUI1_4340.4, SGUI1_7860.1, SGUI1_4330.3, SGUI1_4330.5, SGUI1_4340.3, SGUI1_4340.5, SGUI1_4330.1, SGUI1_4340.1, SGUI1_72780.2, SGUI1_72780.1, SGUI1_72780.3, SGUI1_63130.1, SGUI1_63130.2, SGUI1_63130.3, SGUI1_87320.1, SGUI1_97010.1, SGUI1_97010.2	Smp_350200.1, Smp_247320.1, Smp_266740.1
OG0000019	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7	Smp_102690.1
OG0000019	SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	Smp_179320.1
OG0000020	SGUI1_92560.11, SGUI1_92560.3, SGUI1_92560.9, SGUI1_92560.10, SGUI1_92560.6, SGUI1_92560.7, SGUI1_92560.8, SGUI1_92560.5, SGUI1_92560.2, SGUI1_92560.4, SGUI1_92560.12, SGUI1_92560.13, SGUI1_92560.16, SGUI1_92560.17, SGUI1_92560.14, SGUI1_92560.15, SGUI1_92560.1, SGUI1_97000.1, SGUI1_97000.2, SGUI1_97000.3, SGUI1_92310.1	Smp_341270.1
OG0000021	SGUI1_7740.1	Smp_145560.1
OG0000021	SGUI1_5500.1	Smp_134980.1
OG0000021	SGUI1_5470.3, SGUI1_5470.1, SGUI1_5470.2	Smp_135010.1
OG0000021	SGUI1_5490.1	Smp_245160.1
OG0000021	SGUI1_5450.1, SGUI1_5450.2	Smp_135020.1
OG0000022	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13	Smp_163420.1
OG0000024	SGUI1_23290.1	Smp_103790.1
OG0000024	SGUI1_91920.1	Smp_016780.1
OG0000024	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2	Smp_027920.1
OG0000024	SGUI1_80800.1, SGUI1_80800.2	Smp_103140.1
OG0000024	SGUI1_80790.2, SGUI1_80790.1	Smp_090120.1
OG0000026	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1	Smp_055780.1
OG0000026	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2	Smp_336100.1
OG0000026	SGUI1_72480.1	Smp_089200.1, Smp_089200.2
OG0000028	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3
OG0000029	SGUI1_57980.1	Smp_072870.1
OG0000029	SGUI1_87750.1	Smp_203130.1
OG0000029	SGUI1_87710.1	Smp_202970.1
OG0000029	SGUI1_88610.3	Smp_183710.1
OG0000030	SGUI1_6410.1	Smp_174960.1
OG0000031	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8	Smp_017010.1
OG0000032	SGUI1_9560.1	Smp_164480.1
OG0000032	SGUI1_80200.1	Smp_313980.1
OG0000032	SGUI1_80200.2	Smp_313980.1
OG0000032	SGUI1_80200.3	Smp_313980.1
OG0000034	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3	Smp_009430.1
OG0000034	SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1	Smp_308940.1, Smp_308930.1
OG0000034	SGUI1_57710.1, SGUI1_57800.1	Smp_309980.1, Smp_327270.1
OG0000034	SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1	Smp_168550.1, Smp_331970.1
OG0000035	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19	Smp_045860.1
OG0000037	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3	Smp_157980.1, Smp_157980.2
OG0000037	SGUI1_60370.1, SGUI1_60380.1	Smp_308100.1, Smp_308110.1
OG0000038	SGUI1_23230.1	Smp_201680.1, Smp_185420.1, Smp_350130.1, Smp_349900.1, Smp_350400.1, Smp_350340.1, Smp_350250.1, Smp_200230.1, Smp_200960.1, Smp_205660.1
OG0000040	SGUI1_52270.1, SGUI1_52260.1	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2
OG0000041	SGUI1_12110.1	Smp_158210.1
OG0000042	SGUI1_39810.1	Smp_247180.1
OG0000042	SGUI1_39790.1, SGUI1_69850.1	Smp_048050.1, Smp_048050.2, Smp_049230.1
OG0000043	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9	Smp_083340.1
OG0000044	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1
OG0000044	SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2	Smp_155530.1
OG0000044	SGUI1_86240.1	Smp_062080.1
OG0000045	SGUI1_9760.1	Smp_094770.1
OG0000045	SGUI1_88200.2, SGUI1_88200.1, SGUI1_3820.1	Smp_175400.1
OG0000046	SGUI1_16750.1, SGUI1_35060.1, SGUI1_12610.1, SGUI1_74010.1, SGUI1_73550.1, SGUI1_27900.1, SGUI1_73550.2, SGUI1_12580.1, SGUI1_7850.1	Smp_120020.1, Smp_114870.1, Smp_026790.1, Smp_242960.1, Smp_109240.1, Smp_174250.1, Smp_175190.1, Smp_101840.1, Smp_197170.1, Smp_026200.1
OG0000047	SGUI1_62750.1, SGUI1_62750.6, SGUI1_21950.7, SGUI1_21950.6, SGUI1_21950.2, SGUI1_21950.3, SGUI1_21950.4, SGUI1_21950.5, SGUI1_21950.1, SGUI1_63020.1, SGUI1_62750.8, SGUI1_62750.7, SGUI1_63020.2, SGUI1_63020.5, SGUI1_63020.3, SGUI1_62750.5, SGUI1_63020.4, SGUI1_62750.3, SGUI1_62750.4, SGUI1_62750.2, SGUI1_62870.2, SGUI1_8690.1, SGUI1_12750.1, SGUI1_50490.2, SGUI1_50490.5, SGUI1_54110.1, SGUI1_62870.1, SGUI1_62870.3, SGUI1_50490.1, SGUI1_50490.4, SGUI1_50490.3	Smp_076460.1
OG0000048	SGUI1_84430.1, SGUI1_84430.2	Smp_350510.1, Smp_165600.1, Smp_165590.1, Smp_349560.1, Smp_349630.1, Smp_329780.1, Smp_192050.1, Smp_349090.1, Smp_349670.1, Smp_349250.1, Smp_349190.1, Smp_349240.1, Smp_349210.1, Smp_349160.1, Smp_350320.1, Smp_350220.1, Smp_349690.1, Smp_349700.1, Smp_349730.1, Smp_350230.1, Smp_349710.1, Smp_349720.1, Smp_349570.1, Smp_179390.1, Smp_349650.1, Smp_349740.1, Smp_350150.1, Smp_350210.1, Smp_350160.1, Smp_350160.2, Smp_349070.1, Smp_349050.1, Smp_349150.1, Smp_179970.1, Smp_349580.1, Smp_350240.1, Smp_194130.1, Smp_173350.1, Smp_349100.1, Smp_349520.1, Smp_349530.1
OG0000049	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14	Smp_315900.2, Smp_315900.1
OG0000049	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1	Smp_343120.1
OG0000050	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1	Smp_311520.1, Smp_245890.1
OG0000052	SGUI1_28340.1	Smp_034920.1
OG0000052	SGUI1_3230.1	Smp_332890.1
OG0000052	SGUI1_940.1	Smp_130810.1
OG0000052	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1	Smp_303940.1
OG0000052	SGUI1_67400.1	Smp_159840.1
OG0000053	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5	Smp_075220.1
OG0000054	SGUI1_3410.1, SGUI1_34850.1, SGUI1_71970.1, SGUI1_35540.1	Smp_106390.1
OG0000055	SGUI1_69140.1, SGUI1_69130.1	Smp_309720.1, Smp_309710.1
OG0000056	SGUI1_17070.1, SGUI1_44180.1, SGUI1_85830.1, SGUI1_85830.2, SGUI1_79140.1, SGUI1_25970.1, SGUI1_44100.1, SGUI1_51940.1, SGUI1_35370.1, SGUI1_83960.1, SGUI1_96820.1	Smp_168030.1
OG0000058	SGUI1_90500.1, SGUI1_90500.2	Smp_247950.1
OG0000058	SGUI1_80950.1	Smp_247290.1
OG0000058	SGUI1_81010.1	Smp_054010.1
OG0000058	SGUI1_80940.1, SGUI1_80940.2	Smp_150990.1, Smp_150990.2
OG0000060	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40, SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30	Smp_123510.1
OG0000061	SGUI1_52750.1	Smp_212360.2, Smp_212360.1
OG0000062	SGUI1_5830.18, SGUI1_5830.9	Smp_332930.1
OG0000063	SGUI1_39350.7, SGUI1_39350.3, SGUI1_39350.14, SGUI1_39350.9, SGUI1_39350.1, SGUI1_39350.10, SGUI1_39350.12, SGUI1_39350.11, SGUI1_39350.6, SGUI1_39350.8, SGUI1_39350.5, SGUI1_39350.13, SGUI1_39350.4, SGUI1_39350.2	Smp_171820.1
OG0000065	SGUI1_22640.2, SGUI1_22640.1, SGUI1_22660.1	Smp_085010.1, Smp_085010.2
OG0000065	SGUI1_22690.6, SGUI1_22690.4, SGUI1_22690.7, SGUI1_22690.8, SGUI1_22680.1, SGUI1_22690.5, SGUI1_22690.1, SGUI1_22690.3, SGUI1_22690.2	Smp_067060.1, Smp_103610.1, Smp_344940.1
OG0000066	SGUI1_36990.15, SGUI1_36990.20, SGUI1_36990.5, SGUI1_36990.8	Smp_040970.1
OG0000067	SGUI1_67950.23, SGUI1_67950.20, SGUI1_67950.21, SGUI1_67950.24, SGUI1_67950.26, SGUI1_67950.18, SGUI1_67950.25, SGUI1_67950.10, SGUI1_67950.11, SGUI1_67950.15, SGUI1_67950.6, SGUI1_67950.7, SGUI1_67950.9, SGUI1_67950.8, SGUI1_67950.13, SGUI1_67950.1, SGUI1_67950.14, SGUI1_67950.22, SGUI1_67950.16, SGUI1_67950.17, SGUI1_67950.2, SGUI1_67950.3, SGUI1_67950.4, SGUI1_67950.19, SGUI1_67950.12, SGUI1_67950.5	Smp_000260.1
OG0000068	SGUI1_54050.1	Smp_002410.1
OG0000068	SGUI1_95000.1	Smp_041430.1
OG0000068	SGUI1_36450.2, SGUI1_36450.3, SGUI1_36450.1	Smp_301620.1
OG0000068	SGUI1_36450.4	Smp_009760.1
OG0000068	SGUI1_28390.1	Smp_034840.1
OG0000069	SGUI1_20160.1, SGUI1_20160.11, SGUI1_20160.12, SGUI1_20160.16, SGUI1_20160.4, SGUI1_20160.22, SGUI1_20160.24, SGUI1_20160.13, SGUI1_20160.14, SGUI1_20160.17, SGUI1_20160.18, SGUI1_20160.5, SGUI1_20160.6, SGUI1_20160.7, SGUI1_20160.8, SGUI1_20160.10, SGUI1_20160.15, SGUI1_20160.2, SGUI1_20160.3, SGUI1_20160.9, SGUI1_20160.20, SGUI1_20160.21, SGUI1_20160.26, SGUI1_20160.27, SGUI1_20160.23, SGUI1_20160.25, SGUI1_20160.19	Smp_155020.1
OG0000070	SGUI1_43740.12, SGUI1_43740.10, SGUI1_43740.4, SGUI1_43740.8, SGUI1_43740.3, SGUI1_43740.7, SGUI1_43740.11, SGUI1_43740.5, SGUI1_43740.9, SGUI1_43740.2, SGUI1_43740.1, SGUI1_43740.6	Smp_315710.1
OG0000071	SGUI1_33980.13, SGUI1_33980.3, SGUI1_33980.4, SGUI1_33980.1, SGUI1_33980.10, SGUI1_33980.11, SGUI1_33980.12, SGUI1_33980.14, SGUI1_33980.15, SGUI1_33980.2, SGUI1_33980.5, SGUI1_33980.7, SGUI1_33980.8, SGUI1_33980.9, SGUI1_33980.18, SGUI1_33980.6, SGUI1_33980.17, SGUI1_33980.19, SGUI1_33980.20, SGUI1_33980.16	Smp_033600.1
OG0000072	SGUI1_89930.2, SGUI1_89930.3, SGUI1_89930.9, SGUI1_89930.8, SGUI1_89930.4, SGUI1_89930.7, SGUI1_89930.13, SGUI1_89930.6, SGUI1_89930.11, SGUI1_89930.12, SGUI1_89930.14, SGUI1_89930.15, SGUI1_89930.10, SGUI1_89930.5, SGUI1_89930.1	Smp_343430.1
OG0000073	SGUI1_55590.1, SGUI1_55600.1	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1
OG0000074	SGUI1_88410.1	Smp_164380.1
OG0000074	SGUI1_10520.1	Smp_307260.1
OG0000074	SGUI1_88510.1	Smp_085690.1
OG0000075	SGUI1_33710.2, SGUI1_33710.1, SGUI1_33710.11, SGUI1_33710.12, SGUI1_33710.13, SGUI1_33710.3, SGUI1_33710.5, SGUI1_33710.6, SGUI1_33710.7, SGUI1_33710.8, SGUI1_33710.10, SGUI1_33710.4, SGUI1_33710.9	Smp_246680.1
OG0000076	SGUI1_91190.1	Smp_141980.3
OG0000076	SGUI1_3900.1	Smp_134140.2, Smp_134140.1
OG0000077	SGUI1_9990.1	Smp_244680.1, Smp_244680.2
OG0000078	SGUI1_5180.1, SGUI1_5180.2, SGUI1_5180.3, SGUI1_5170.1	Smp_092530.1
OG0000079	SGUI1_30470.1	Smp_129050.1
OG0000079	SGUI1_54120.1	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3
OG0000080	SGUI1_44150.1	Smp_165200.3, Smp_165200.1, Smp_165200.2
OG0000081	SGUI1_12320.1	Smp_192230.1
OG0000081	SGUI1_19810.1, SGUI1_56350.1	Smp_072670.1
OG0000082	SGUI1_9680.10, SGUI1_9680.11, SGUI1_9680.13, SGUI1_9680.14, SGUI1_9680.4, SGUI1_9680.1, SGUI1_9680.12, SGUI1_9680.15, SGUI1_9680.17, SGUI1_9680.18, SGUI1_9680.19, SGUI1_9680.6, SGUI1_9680.7, SGUI1_9680.9, SGUI1_9680.16, SGUI1_9680.2, SGUI1_9680.3, SGUI1_9680.5, SGUI1_9680.8	Smp_132900.1
OG0000084	SGUI1_79780.1, SGUI1_91290.1, SGUI1_11430.1	Smp_179580.1
OG0000084	SGUI1_140.1, SGUI1_22150.1, SGUI1_31390.1, SGUI1_86700.1, SGUI1_72120.1, SGUI1_17770.1, SGUI1_29780.1, SGUI1_5260.1, SGUI1_88680.1, SGUI1_33010.1, SGUI1_13920.1, SGUI1_56920.1, SGUI1_25630.1, SGUI1_59120.1	Smp_201970.1
OG0000085	SGUI1_36330.5, SGUI1_36330.6, SGUI1_36330.1, SGUI1_36330.10, SGUI1_36330.11, SGUI1_36330.13, SGUI1_36330.14, SGUI1_36330.15, SGUI1_36330.16, SGUI1_36330.17, SGUI1_36330.18, SGUI1_36330.2, SGUI1_36330.7, SGUI1_36330.8, SGUI1_36330.9, SGUI1_36330.12, SGUI1_36330.3, SGUI1_36330.4, SGUI1_36330.19	Smp_127430.1
OG0000086	SGUI1_73460.10, SGUI1_73460.11, SGUI1_73460.5, SGUI1_73460.7, SGUI1_73460.12, SGUI1_73460.8, SGUI1_73460.9, SGUI1_73460.6, SGUI1_73460.3, SGUI1_73460.1, SGUI1_73460.4, SGUI1_73460.2	Smp_149300.1
OG0000087	SGUI1_53090.11, SGUI1_53090.16, SGUI1_53090.3, SGUI1_53090.10, SGUI1_53090.9, SGUI1_53090.1, SGUI1_53090.13, SGUI1_53090.6, SGUI1_53090.17, SGUI1_53090.14, SGUI1_53090.15, SGUI1_53090.2, SGUI1_53090.4, SGUI1_53090.12, SGUI1_53090.5, SGUI1_53090.7, SGUI1_53090.8	Smp_245790.1
OG0000088	SGUI1_3040.1, SGUI1_3040.2	Smp_028690.1, Smp_028690.2
OG0000088	SGUI1_3020.10, SGUI1_3020.9, SGUI1_3020.4, SGUI1_3020.5, SGUI1_3020.6, SGUI1_3020.7, SGUI1_3020.2, SGUI1_3020.8, SGUI1_3020.1, SGUI1_3020.3	Smp_131890.1
OG0000090	SGUI1_50060.13, SGUI1_50060.3, SGUI1_50060.9, SGUI1_50060.11, SGUI1_50060.16, SGUI1_50060.15, SGUI1_50060.1, SGUI1_50060.14, SGUI1_50060.2, SGUI1_50060.4, SGUI1_50060.5, SGUI1_50060.8, SGUI1_50060.7, SGUI1_50060.12, SGUI1_50060.6, SGUI1_50060.10	Smp_310930.1
OG0000091	SGUI1_47840.7, SGUI1_47840.9, SGUI1_47840.10, SGUI1_47840.3, SGUI1_47840.2, SGUI1_47840.1, SGUI1_47840.6, SGUI1_47840.8, SGUI1_47840.4, SGUI1_47840.5	Smp_146060.1
OG0000092	SGUI1_2250.1, SGUI1_2240.1	Smp_180470.1, Smp_180470.2
OG0000092	SGUI1_12290.3, SGUI1_12290.1, SGUI1_12290.2	Smp_064870.1
OG0000093	SGUI1_40090.1	Smp_049550.1
OG0000093	SGUI1_39230.1, SGUI1_39170.1, SGUI1_39180.1, SGUI1_39220.1, SGUI1_39240.1, SGUI1_39160.1, SGUI1_39260.1, SGUI1_39190.1, SGUI1_39200.1, SGUI1_39210.1	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1
OG0000094	SGUI1_7960.4, SGUI1_7960.6, SGUI1_7960.1, SGUI1_7960.7, SGUI1_7960.3, SGUI1_7960.5, SGUI1_7960.2	Smp_128570.1
OG0000095	SGUI1_61880.6, SGUI1_61880.3, SGUI1_61880.1, SGUI1_61880.2, SGUI1_61880.7, SGUI1_61880.8, SGUI1_61880.4, SGUI1_61880.10, SGUI1_61880.9, SGUI1_61880.11, SGUI1_61880.5, SGUI1_61880.12	Smp_162630.1
OG0000096	SGUI1_35170.2, SGUI1_35170.1, SGUI1_35170.3, SGUI1_35170.8, SGUI1_35170.6, SGUI1_35170.7, SGUI1_35170.5, SGUI1_35170.4	Smp_005190.2, Smp_005190.1, Smp_005190.3
OG0000097	SGUI1_6600.1	Smp_168050.1
OG0000098	SGUI1_41100.1, SGUI1_41090.1	Smp_072330.1
OG0000098	SGUI1_67180.1, SGUI1_67180.5, SGUI1_67180.4, SGUI1_67180.3, SGUI1_67180.2, SGUI1_67180.6	Smp_340630.1, Smp_340630.2
OG0000099	SGUI1_68110.1, SGUI1_68110.2, SGUI1_68110.3, SGUI1_68110.4	Smp_000100.1
OG0000099	SGUI1_72250.1	Smp_317420.1
OG0000100	SGUI1_47610.1	Smp_043250.1
OG0000102	SGUI1_5540.1, SGUI1_5540.2, SGUI1_5540.4, SGUI1_5540.8, SGUI1_5540.10, SGUI1_5540.11, SGUI1_5540.3, SGUI1_5540.5, SGUI1_5540.6, SGUI1_5540.7, SGUI1_5540.9	Smp_036590.1
OG0000103	SGUI1_74500.11, SGUI1_74500.9, SGUI1_74500.6, SGUI1_74500.7, SGUI1_74500.2, SGUI1_74500.3, SGUI1_74500.1, SGUI1_74500.10, SGUI1_74500.5, SGUI1_74500.8, SGUI1_74500.4	Smp_067000.1
OG0000104	SGUI1_5790.1	Smp_006250.1
OG0000105	SGUI1_7260.8, SGUI1_7260.4, SGUI1_7260.7, SGUI1_7260.6, SGUI1_7260.1, SGUI1_7260.3, SGUI1_7260.5, SGUI1_7260.2	Smp_019790.1
OG0000106	SGUI1_73950.1	Smp_345820.1
OG0000107	SGUI1_56630.1	Smp_089430.1
OG0000107	SGUI1_51180.1	Smp_335990.1
OG0000107	SGUI1_49420.3	Smp_046690.3, Smp_046690.1
OG0000108	SGUI1_7790.1	Smp_093930.1
OG0000110	SGUI1_29610.1, SGUI1_29610.2	Smp_333980.1
OG0000110	SGUI1_29580.1	Smp_055260.1
OG0000110	SGUI1_29620.1	Smp_129920.1
OG0000110	SGUI1_29630.1, SGUI1_29630.2, SGUI1_29630.3	Smp_129900.1
OG0000111	SGUI1_41190.1	Smp_072140.1
