Orthogroup	schistosoma_guineensis	fasciola_hepatica
OG0000023	SGUI1_37700.1, SGUI1_37700.2, SGUI1_82420.1	FhHiC23_g2807.t1, FhHiC23_g14990.t1
OG0000023	SGUI1_43890.1, SGUI1_86030.1, SGUI1_12860.1, SGUI1_58570.1	FhHiC23_g1952.t1
OG0000024	SGUI1_23290.1	FhHiC23_g8663.t1
OG0000024	SGUI1_91920.1	FhHiC23_g1523.t1
OG0000024	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1
OG0000026	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1	FhHiC23_g1282.t1
OG0000026	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2, SGUI1_72480.1	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1
OG0000027	SGUI1_39960.1	FhHiC23_g5213.t1
OG0000028	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1
OG0000029	SGUI1_57980.1	FhHiC23_g7784.t2, FhHiC23_g7784.t1
OG0000029	SGUI1_87750.1	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1
OG0000029	SGUI1_88610.3, SGUI1_88610.1, SGUI1_88610.2	FhHiC23_g16496.t1
OG0000030	SGUI1_6410.1	FhHiC23_g11202.t1
OG0000031	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8	FhHiC23_g15305.t1
OG0000032	SGUI1_23110.1, SGUI1_23140.1, SGUI1_23420.1, SGUI1_23410.1, SGUI1_9560.1, SGUI1_80200.1, SGUI1_80200.2, SGUI1_80200.3	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1
OG0000034	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3, SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1, SGUI1_57710.1, SGUI1_57800.1, SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1
OG0000035	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3
OG0000036	SGUI1_23160.1, SGUI1_57530.1, SGUI1_26740.1, SGUI1_12600.1, SGUI1_2640.1, SGUI1_2640.2, SGUI1_2640.3, SGUI1_96790.1, SGUI1_84610.1, SGUI1_62270.1, SGUI1_68580.1, SGUI1_68950.1, SGUI1_64010.1, SGUI1_76950.1, SGUI1_81020.1	FhHiC23_g12971.t1, FhHiC23_g9258.t1
OG0000037	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3, SGUI1_60370.1, SGUI1_60380.1	FhHiC23_g6871.t1
OG0000040	SGUI1_52270.1, SGUI1_52260.1	FhHiC23_g2039.t1
OG0000042	SGUI1_39810.1, SGUI1_39790.1, SGUI1_69850.1, SGUI1_39800.1, SGUI1_69840.1	FhHiC23_g15459.t1
OG0000043	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9	FhHiC23_g4609.t1, FhHiC23_g4609.t2
OG0000044	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2, SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2, SGUI1_86240.1, SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3	FhHiC23_g1755.t1
OG0000045	SGUI1_9760.1, SGUI1_88200.2, SGUI1_88200.1, SGUI1_3820.1	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2
OG0000046	SGUI1_16750.1, SGUI1_35060.1, SGUI1_12610.1, SGUI1_74010.1, SGUI1_73550.1, SGUI1_27900.1, SGUI1_73550.2, SGUI1_12580.1, SGUI1_7850.1, SGUI1_43590.1	FhHiC23_g2169.t1, FhHiC23_g3705.t1
OG0000049	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14	FhHiC23_g1642.t1, FhHiC23_g1642.t2
OG0000049	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1	FhHiC23_g2467.t1, FhHiC23_g2467.t2
OG0000050	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2
OG0000052	SGUI1_28340.1	FhHiC23_g6159.t2, FhHiC23_g6159.t1
OG0000052	SGUI1_3230.1	FhHiC23_g12020.t1, FhHiC23_g12020.t3
OG0000052	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1	FhHiC23_g13824.t1
OG0000052	SGUI1_67400.1	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1
OG0000053	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5	FhHiC23_g15140.t1, FhHiC23_g15140.t2
OG0000055	SGUI1_69140.1, SGUI1_69130.1	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1
OG0000056	SGUI1_25970.1, SGUI1_44100.1	FhHiC23_g10819.t1
OG0000057	SGUI1_77540.1	FhHiC23_g14898.t1, FhHiC23_g11194.t1, FhHiC23_g5892.t1
OG0000058	SGUI1_90500.1, SGUI1_90500.2	FhHiC23_g16509.t1
OG0000058	SGUI1_80950.1	FhHiC23_g3241.t1
OG0000058	SGUI1_80980.1, SGUI1_81010.1, SGUI1_80940.1, SGUI1_80940.2	FhHiC23_g3240.t1
OG0000060	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40, SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30	FhHiC23_g8030.t1
OG0000061	SGUI1_52750.1	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5
OG0000062	SGUI1_5830.12, SGUI1_5830.8, SGUI1_5830.14, SGUI1_5830.7, SGUI1_5830.3, SGUI1_5830.10, SGUI1_5830.11, SGUI1_5830.13, SGUI1_5830.15, SGUI1_5830.16, SGUI1_5830.5, SGUI1_5830.6, SGUI1_5830.1, SGUI1_5830.17, SGUI1_5830.2, SGUI1_5830.4, SGUI1_5830.19, SGUI1_5830.18, SGUI1_5830.9	FhHiC23_g12088.t1, FhHiC23_g12088.t4
OG0000063	SGUI1_39350.7, SGUI1_39350.3, SGUI1_39350.14, SGUI1_39350.9, SGUI1_39350.1, SGUI1_39350.10, SGUI1_39350.12, SGUI1_39350.11, SGUI1_39350.6, SGUI1_39350.8, SGUI1_39350.5, SGUI1_39350.13, SGUI1_39350.4, SGUI1_39350.2	FhHiC23_g5471.t1, FhHiC23_g5471.t2
OG0000065	SGUI1_22640.2, SGUI1_22640.1, SGUI1_22660.1, SGUI1_22690.6, SGUI1_22690.4, SGUI1_22690.7, SGUI1_22690.8, SGUI1_22680.1, SGUI1_22690.5, SGUI1_22690.1, SGUI1_22690.3, SGUI1_22690.2	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1
OG0000066	SGUI1_36990.15, SGUI1_36990.20, SGUI1_36990.5, SGUI1_36990.8, SGUI1_36990.10, SGUI1_36990.21, SGUI1_36990.1, SGUI1_36990.11, SGUI1_36990.4, SGUI1_36990.9, SGUI1_36990.14, SGUI1_36990.12, SGUI1_36990.16, SGUI1_36990.13, SGUI1_36990.19, SGUI1_36990.6, SGUI1_36990.17, SGUI1_36990.3, SGUI1_36990.7, SGUI1_36990.18, SGUI1_36990.2	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6
OG0000067	SGUI1_67950.23, SGUI1_67950.20, SGUI1_67950.21, SGUI1_67950.24, SGUI1_67950.26, SGUI1_67950.18, SGUI1_67950.25, SGUI1_67950.10, SGUI1_67950.11, SGUI1_67950.15, SGUI1_67950.6, SGUI1_67950.7, SGUI1_67950.9, SGUI1_67950.8, SGUI1_67950.13, SGUI1_67950.1, SGUI1_67950.14, SGUI1_67950.22, SGUI1_67950.16, SGUI1_67950.17, SGUI1_67950.2, SGUI1_67950.3, SGUI1_67950.4, SGUI1_67950.19, SGUI1_67950.12, SGUI1_67950.5	FhHiC23_g7039.t1, FhHiC23_g7040.t1
OG0000068	SGUI1_54050.1	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1
OG0000068	SGUI1_95000.1	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1
OG0000068	SGUI1_36450.2, SGUI1_36450.3, SGUI1_36450.1, SGUI1_36450.4	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1
OG0000068	SGUI1_28390.1	FhHiC23_g5260.t1
OG0000069	SGUI1_20160.1, SGUI1_20160.11, SGUI1_20160.12, SGUI1_20160.16, SGUI1_20160.4, SGUI1_20160.22, SGUI1_20160.24, SGUI1_20160.13, SGUI1_20160.14, SGUI1_20160.17, SGUI1_20160.18, SGUI1_20160.5, SGUI1_20160.6, SGUI1_20160.7, SGUI1_20160.8, SGUI1_20160.10, SGUI1_20160.15, SGUI1_20160.2, SGUI1_20160.3, SGUI1_20160.9, SGUI1_20160.20, SGUI1_20160.21, SGUI1_20160.26, SGUI1_20160.27, SGUI1_20160.23, SGUI1_20160.25, SGUI1_20160.19	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2
OG0000070	SGUI1_43740.12, SGUI1_43740.10, SGUI1_43740.4, SGUI1_43740.8, SGUI1_43740.3, SGUI1_43740.7, SGUI1_43740.11, SGUI1_43740.5, SGUI1_43740.9, SGUI1_43740.2, SGUI1_43740.1, SGUI1_43740.6	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1
OG0000071	SGUI1_33980.13, SGUI1_33980.3, SGUI1_33980.4, SGUI1_33980.1, SGUI1_33980.10, SGUI1_33980.11, SGUI1_33980.12, SGUI1_33980.14, SGUI1_33980.15, SGUI1_33980.2, SGUI1_33980.5, SGUI1_33980.7, SGUI1_33980.8, SGUI1_33980.9, SGUI1_33980.18, SGUI1_33980.6, SGUI1_33980.17, SGUI1_33980.19, SGUI1_33980.20, SGUI1_33980.16	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2
OG0000072	SGUI1_89930.2, SGUI1_89930.3, SGUI1_89930.9, SGUI1_89930.8, SGUI1_89930.4, SGUI1_89930.7, SGUI1_89930.13, SGUI1_89930.6, SGUI1_89930.11, SGUI1_89930.12, SGUI1_89930.14, SGUI1_89930.15, SGUI1_89930.10, SGUI1_89930.5, SGUI1_89930.1	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1
OG0000073	SGUI1_55590.1, SGUI1_55600.1	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5
OG0000074	SGUI1_1260.3, SGUI1_1260.2, SGUI1_1260.1	FhHiC23_g13499.t1
OG0000074	SGUI1_88410.1	FhHiC23_g4352.t2, FhHiC23_g4352.t1
OG0000074	SGUI1_10520.1	FhHiC23_g10998.t1
OG0000074	SGUI1_88510.1	FhHiC23_g16397.t1
OG0000075	SGUI1_33710.2, SGUI1_33710.1, SGUI1_33710.11, SGUI1_33710.12, SGUI1_33710.13, SGUI1_33710.3, SGUI1_33710.5, SGUI1_33710.6, SGUI1_33710.7, SGUI1_33710.8, SGUI1_33710.10, SGUI1_33710.4, SGUI1_33710.9	FhHiC23_g5300.t1, FhHiC23_g5300.t2
OG0000076	SGUI1_91190.1	FhHiC23_g8656.t1, FhHiC23_g8656.t2
OG0000076	SGUI1_3900.1	FhHiC23_g13008.t1, FhHiC23_g13008.t2
OG0000077	SGUI1_9990.1	FhHiC23_g13340.t1
OG0000078	SGUI1_5180.1, SGUI1_5180.2, SGUI1_5180.3, SGUI1_5170.1	FhHiC23_g13137.t1
OG0000079	SGUI1_30470.1	FhHiC23_g5009.t2, FhHiC23_g5009.t1
OG0000079	SGUI1_54120.1	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3
OG0000080	SGUI1_44150.1	FhHiC23_g14390.t1
OG0000081	SGUI1_12320.1, SGUI1_19810.1, SGUI1_56350.1, SGUI1_71020.1, SGUI1_80400.1, SGUI1_20570.1, SGUI1_25980.1, SGUI1_44110.1, SGUI1_47550.1, SGUI1_81680.1	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1
OG0000082	SGUI1_9680.10, SGUI1_9680.11, SGUI1_9680.13, SGUI1_9680.14, SGUI1_9680.4, SGUI1_9680.1, SGUI1_9680.12, SGUI1_9680.15, SGUI1_9680.17, SGUI1_9680.18, SGUI1_9680.19, SGUI1_9680.6, SGUI1_9680.7, SGUI1_9680.9, SGUI1_9680.16, SGUI1_9680.2, SGUI1_9680.3, SGUI1_9680.5, SGUI1_9680.8	FhHiC23_g13569.t1, FhHiC23_g13569.t2
OG0000085	SGUI1_36330.5, SGUI1_36330.6, SGUI1_36330.1, SGUI1_36330.10, SGUI1_36330.11, SGUI1_36330.13, SGUI1_36330.14, SGUI1_36330.15, SGUI1_36330.16, SGUI1_36330.17, SGUI1_36330.18, SGUI1_36330.2, SGUI1_36330.7, SGUI1_36330.8, SGUI1_36330.9, SGUI1_36330.12, SGUI1_36330.3, SGUI1_36330.4, SGUI1_36330.19	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1
OG0000086	SGUI1_73460.10, SGUI1_73460.11, SGUI1_73460.5, SGUI1_73460.7, SGUI1_73460.12, SGUI1_73460.8, SGUI1_73460.9, SGUI1_73460.6, SGUI1_73460.3, SGUI1_73460.1, SGUI1_73460.4, SGUI1_73460.2	FhHiC23_g1071.t1
OG0000087	SGUI1_53090.11, SGUI1_53090.16, SGUI1_53090.3, SGUI1_53090.10, SGUI1_53090.9, SGUI1_53090.1, SGUI1_53090.13, SGUI1_53090.6, SGUI1_53090.17, SGUI1_53090.14, SGUI1_53090.15, SGUI1_53090.2, SGUI1_53090.4, SGUI1_53090.12, SGUI1_53090.5, SGUI1_53090.7, SGUI1_53090.8	FhHiC23_g1744.t1, FhHiC23_g1744.t2
OG0000088	SGUI1_3040.1, SGUI1_3040.2, SGUI1_3020.10, SGUI1_3020.9, SGUI1_3020.4, SGUI1_3020.5, SGUI1_3020.6, SGUI1_3020.7, SGUI1_3020.2, SGUI1_3020.8, SGUI1_3020.1, SGUI1_3020.3	FhHiC23_g5522.t1
OG0000090	SGUI1_50060.13, SGUI1_50060.3, SGUI1_50060.9, SGUI1_50060.11, SGUI1_50060.16, SGUI1_50060.15, SGUI1_50060.1, SGUI1_50060.14, SGUI1_50060.2, SGUI1_50060.4, SGUI1_50060.5, SGUI1_50060.8, SGUI1_50060.7, SGUI1_50060.12, SGUI1_50060.6, SGUI1_50060.10	FhHiC23_g954.t1, FhHiC23_g954.t2
OG0000091	SGUI1_47840.7, SGUI1_47840.9, SGUI1_47840.10, SGUI1_47840.3, SGUI1_47840.2, SGUI1_47840.1, SGUI1_47840.6, SGUI1_47840.8, SGUI1_47840.4, SGUI1_47840.5	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2
OG0000092	SGUI1_2250.1, SGUI1_2240.1	FhHiC23_g12946.t1, FhHiC23_g12946.t2
OG0000092	SGUI1_12290.3, SGUI1_12290.1, SGUI1_12290.2	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2
OG0000093	SGUI1_40090.1	FhHiC23_g5402.t1, FhHiC23_g5404.t1
OG0000093	SGUI1_39230.1, SGUI1_39170.1, SGUI1_39180.1, SGUI1_39220.1, SGUI1_39240.1, SGUI1_39160.1, SGUI1_39260.1, SGUI1_39190.1, SGUI1_39200.1, SGUI1_39210.1	FhHiC23_g6196.t1, FhHiC23_g5957.t1
OG0000094	SGUI1_7960.4, SGUI1_7960.6, SGUI1_7960.1, SGUI1_7960.7, SGUI1_7960.3, SGUI1_7960.5, SGUI1_7960.2	FhHiC23_g11975.t1, FhHiC23_g11975.t2
OG0000095	SGUI1_61880.6, SGUI1_61880.3, SGUI1_61880.1, SGUI1_61880.2, SGUI1_61880.7, SGUI1_61880.8, SGUI1_61880.4, SGUI1_61880.10, SGUI1_61880.9, SGUI1_61880.11, SGUI1_61880.5, SGUI1_61880.12	FhHiC23_g7183.t1
OG0000096	SGUI1_35170.2, SGUI1_35170.1, SGUI1_35170.3, SGUI1_35170.8, SGUI1_35170.6, SGUI1_35170.7, SGUI1_35170.5, SGUI1_35170.4	FhHiC23_g5432.t1, FhHiC23_g5432.t2
OG0000097	SGUI1_6600.1	FhHiC23_g11521.t1
OG0000098	SGUI1_41100.1, SGUI1_41090.1	FhHiC23_g4954.t1, FhHiC23_g4955.t1
OG0000098	SGUI1_67180.1, SGUI1_67180.5, SGUI1_67180.4, SGUI1_67180.3, SGUI1_67180.2, SGUI1_67180.6	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1
OG0000099	SGUI1_68110.1, SGUI1_68110.2, SGUI1_68110.3, SGUI1_68110.4	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3
OG0000099	SGUI1_72250.1	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4
OG0000102	SGUI1_5540.1, SGUI1_5540.2, SGUI1_5540.4, SGUI1_5540.8, SGUI1_5540.10, SGUI1_5540.11, SGUI1_5540.3, SGUI1_5540.5, SGUI1_5540.6, SGUI1_5540.7, SGUI1_5540.9	FhHiC23_g13582.t1
OG0000102	SGUI1_58960.2, SGUI1_58960.1, SGUI1_58960.3, SGUI1_58960.4	FhHiC23_g7758.t1
OG0000103	SGUI1_74500.11, SGUI1_74500.9, SGUI1_74500.6, SGUI1_74500.7, SGUI1_74500.2, SGUI1_74500.3, SGUI1_74500.1, SGUI1_74500.10, SGUI1_74500.5, SGUI1_74500.8, SGUI1_74500.4	FhHiC23_g2725.t1
OG0000104	SGUI1_5790.1	FhHiC23_g12208.t1
