Orthogroup	schistosoma_guineensis	schmidtea_mediterranea
OG0000022	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3
OG0000024	SGUI1_23290.1	h1SMcT0022444.1, h1SMcT0022444.2
OG0000024	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2
OG0000024	SGUI1_80800.1, SGUI1_80800.2	h1SMcT0004401.1
OG0000024	SGUI1_80790.2, SGUI1_80790.1, SGUI1_80790.3	h1SMcT0004270.1, h1SMcT0004269.2
OG0000026	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1, SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2, SGUI1_72480.1	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3
OG0000028	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3
OG0000029	SGUI1_57980.1	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3
OG0000029	SGUI1_20300.1, SGUI1_20290.1	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1
OG0000029	SGUI1_88610.3, SGUI1_88610.1, SGUI1_88610.2	h1SMcT0004609.1
OG0000030	SGUI1_6410.1	h1SMcT0022545.1
OG0000031	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8	h1SMcT0002175.5, h1SMcT0002175.6
OG0000033	SGUI1_1730.1, SGUI1_9080.1, SGUI1_90840.1, SGUI1_12710.1, SGUI1_55160.1, SGUI1_1720.1, SGUI1_41780.1, SGUI1_42490.1, SGUI1_11600.1, SGUI1_31330.1, SGUI1_34350.1, SGUI1_64520.1, SGUI1_92500.1, SGUI1_95170.1, SGUI1_12380.1, SGUI1_65730.1, SGUI1_26140.1, SGUI1_93250.1, SGUI1_38510.1, SGUI1_53420.1, SGUI1_68930.1, SGUI1_13730.1, SGUI1_9380.1	h1SMcT0014497.2, h1SMcT0014497.3
OG0000034	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3, SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1, SGUI1_57710.1, SGUI1_57800.1, SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1
OG0000035	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2
OG0000037	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3, SGUI1_60370.1, SGUI1_60380.1	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3
OG0000040	SGUI1_52270.1, SGUI1_52260.1	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3
OG0000042	SGUI1_39810.1, SGUI1_39790.1, SGUI1_69850.1, SGUI1_39800.1, SGUI1_69840.1	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2
OG0000044	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2, SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2, SGUI1_86240.1, SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1
OG0000047	SGUI1_62750.1, SGUI1_62750.6, SGUI1_21950.7, SGUI1_21950.6, SGUI1_21950.2, SGUI1_21950.3, SGUI1_21950.4, SGUI1_21950.5, SGUI1_21950.1, SGUI1_63020.1, SGUI1_62750.8, SGUI1_62750.7, SGUI1_63020.2, SGUI1_63020.5, SGUI1_63020.3, SGUI1_62750.5, SGUI1_63020.4, SGUI1_62750.3, SGUI1_62750.4, SGUI1_62750.2, SGUI1_62870.2, SGUI1_8690.1, SGUI1_12750.1, SGUI1_50490.2, SGUI1_50490.5, SGUI1_54110.1, SGUI1_62870.1, SGUI1_62870.3, SGUI1_50490.1, SGUI1_50490.4, SGUI1_50490.3	h1SMcT0019900.1
OG0000049	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2
OG0000049	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3
OG0000050	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4
OG0000052	SGUI1_28340.1	h1SMcT0006122.2
OG0000052	SGUI1_3230.1	h1SMcT0020686.1, h1SMcT0020686.2
OG0000052	SGUI1_940.1	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1
OG0000052	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1
OG0000052	SGUI1_67400.1	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2
OG0000053	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2
OG0000054	SGUI1_35540.1	h1SMcT0010194.2
OG0000055	SGUI1_69140.1, SGUI1_69130.1	h1SMcT0011774.1, h1SMcT0011774.2
OG0000056	SGUI1_17070.1, SGUI1_44180.1, SGUI1_85830.1, SGUI1_85830.2, SGUI1_79140.1, SGUI1_25970.1, SGUI1_44100.1, SGUI1_51940.1, SGUI1_35370.1, SGUI1_83960.1, SGUI1_96820.1	h1SMcT0017059.1
OG0000058	SGUI1_90500.1, SGUI1_90500.2, SGUI1_80950.1, SGUI1_80980.1, SGUI1_81010.1, SGUI1_80940.1, SGUI1_80940.2	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4
OG0000060	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40, SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4
OG0000061	SGUI1_52750.1	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3
OG0000062	SGUI1_5830.12, SGUI1_5830.8, SGUI1_5830.14, SGUI1_5830.7, SGUI1_5830.3, SGUI1_5830.10, SGUI1_5830.11, SGUI1_5830.13, SGUI1_5830.15, SGUI1_5830.16, SGUI1_5830.5, SGUI1_5830.6, SGUI1_5830.1, SGUI1_5830.17, SGUI1_5830.2, SGUI1_5830.4, SGUI1_5830.19, SGUI1_5830.18, SGUI1_5830.9	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5
OG0000063	SGUI1_39350.7, SGUI1_39350.3, SGUI1_39350.14, SGUI1_39350.9, SGUI1_39350.1, SGUI1_39350.10, SGUI1_39350.12, SGUI1_39350.11, SGUI1_39350.6, SGUI1_39350.8, SGUI1_39350.5, SGUI1_39350.13, SGUI1_39350.4, SGUI1_39350.2	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3
OG0000066	SGUI1_36990.15, SGUI1_36990.20, SGUI1_36990.5, SGUI1_36990.8, SGUI1_36990.10, SGUI1_36990.21, SGUI1_36990.1, SGUI1_36990.11, SGUI1_36990.4, SGUI1_36990.9, SGUI1_36990.14, SGUI1_36990.12, SGUI1_36990.16, SGUI1_36990.13, SGUI1_36990.19, SGUI1_36990.6, SGUI1_36990.17, SGUI1_36990.3, SGUI1_36990.7, SGUI1_36990.18, SGUI1_36990.2	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1
OG0000068	SGUI1_54050.1	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1
OG0000068	SGUI1_95000.1, SGUI1_36450.2, SGUI1_36450.3, SGUI1_36450.1, SGUI1_36450.4	h1SMcT0007421.1, h1SMcT0007653.1
OG0000068	SGUI1_28390.1	h1SMcT0008274.1, h1SMcT0013810.1
OG0000069	SGUI1_20160.1, SGUI1_20160.11, SGUI1_20160.12, SGUI1_20160.16, SGUI1_20160.4, SGUI1_20160.22, SGUI1_20160.24, SGUI1_20160.13, SGUI1_20160.14, SGUI1_20160.17, SGUI1_20160.18, SGUI1_20160.5, SGUI1_20160.6, SGUI1_20160.7, SGUI1_20160.8, SGUI1_20160.10, SGUI1_20160.15, SGUI1_20160.2, SGUI1_20160.3, SGUI1_20160.9, SGUI1_20160.20, SGUI1_20160.21, SGUI1_20160.26, SGUI1_20160.27, SGUI1_20160.23, SGUI1_20160.25, SGUI1_20160.19	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4
OG0000070	SGUI1_43740.12, SGUI1_43740.10, SGUI1_43740.4, SGUI1_43740.8, SGUI1_43740.3, SGUI1_43740.7, SGUI1_43740.11, SGUI1_43740.5, SGUI1_43740.9, SGUI1_43740.2, SGUI1_43740.1, SGUI1_43740.6	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11
OG0000072	SGUI1_89930.2, SGUI1_89930.3, SGUI1_89930.9, SGUI1_89930.8, SGUI1_89930.4, SGUI1_89930.7, SGUI1_89930.13, SGUI1_89930.6, SGUI1_89930.11, SGUI1_89930.12, SGUI1_89930.14, SGUI1_89930.15, SGUI1_89930.10, SGUI1_89930.5, SGUI1_89930.1	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2
OG0000073	SGUI1_55590.1, SGUI1_55600.1	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2
OG0000074	SGUI1_1260.3, SGUI1_1260.2, SGUI1_1260.1	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1
OG0000074	SGUI1_88410.1	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2
OG0000074	SGUI1_88510.1	h1SMcT0008302.1
OG0000075	SGUI1_33710.2, SGUI1_33710.1, SGUI1_33710.11, SGUI1_33710.12, SGUI1_33710.13, SGUI1_33710.3, SGUI1_33710.5, SGUI1_33710.6, SGUI1_33710.7, SGUI1_33710.8, SGUI1_33710.10, SGUI1_33710.4, SGUI1_33710.9	h1SMcT0017385.1
OG0000076	SGUI1_91190.1	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3
OG0000076	SGUI1_3900.1	h1SMcT0013513.1, h1SMcT0013513.2
OG0000077	SGUI1_9990.1	h1SMcT0023123.1
OG0000078	SGUI1_5180.1, SGUI1_5180.2, SGUI1_5180.3, SGUI1_5170.1	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2
OG0000079	SGUI1_30470.1	h1SMcT0006746.1, h1SMcT0006746.2
OG0000079	SGUI1_54120.1	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2
OG0000080	SGUI1_44150.1	h1SMcT0013418.1
OG0000087	SGUI1_53090.11, SGUI1_53090.16, SGUI1_53090.3, SGUI1_53090.10, SGUI1_53090.9, SGUI1_53090.1, SGUI1_53090.13, SGUI1_53090.6, SGUI1_53090.17, SGUI1_53090.14, SGUI1_53090.15, SGUI1_53090.2, SGUI1_53090.4, SGUI1_53090.12, SGUI1_53090.5, SGUI1_53090.7, SGUI1_53090.8	h1SMcT0020497.1, h1SMcT0020497.2
OG0000088	SGUI1_3040.1, SGUI1_3040.2, SGUI1_3020.10, SGUI1_3020.9, SGUI1_3020.4, SGUI1_3020.5, SGUI1_3020.6, SGUI1_3020.7, SGUI1_3020.2, SGUI1_3020.8, SGUI1_3020.1, SGUI1_3020.3	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5
OG0000090	SGUI1_50060.13, SGUI1_50060.3, SGUI1_50060.9, SGUI1_50060.11, SGUI1_50060.16, SGUI1_50060.15, SGUI1_50060.1, SGUI1_50060.14, SGUI1_50060.2, SGUI1_50060.4, SGUI1_50060.5, SGUI1_50060.8, SGUI1_50060.7, SGUI1_50060.12, SGUI1_50060.6, SGUI1_50060.10	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1
OG0000091	SGUI1_47840.7, SGUI1_47840.9, SGUI1_47840.10, SGUI1_47840.3, SGUI1_47840.2, SGUI1_47840.1, SGUI1_47840.6, SGUI1_47840.8, SGUI1_47840.4, SGUI1_47840.5	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3
OG0000092	SGUI1_2250.1, SGUI1_2240.1	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5
OG0000092	SGUI1_12290.3, SGUI1_12290.1, SGUI1_12290.2	h1SMcT0002197.1
OG0000093	SGUI1_40090.1	h1SMcT0011102.1, h1SMcT0021280.1
OG0000093	SGUI1_39230.1, SGUI1_39170.1, SGUI1_39180.1, SGUI1_39220.1, SGUI1_39240.1, SGUI1_39160.1, SGUI1_39260.1, SGUI1_39190.1, SGUI1_39200.1, SGUI1_39210.1	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1
OG0000094	SGUI1_7960.4, SGUI1_7960.6, SGUI1_7960.1, SGUI1_7960.7, SGUI1_7960.3, SGUI1_7960.5, SGUI1_7960.2	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4
OG0000095	SGUI1_61880.6, SGUI1_61880.3, SGUI1_61880.1, SGUI1_61880.2, SGUI1_61880.7, SGUI1_61880.8, SGUI1_61880.4, SGUI1_61880.10, SGUI1_61880.9, SGUI1_61880.11, SGUI1_61880.5, SGUI1_61880.12	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3
OG0000096	SGUI1_35170.2, SGUI1_35170.1, SGUI1_35170.3, SGUI1_35170.8, SGUI1_35170.6, SGUI1_35170.7, SGUI1_35170.5, SGUI1_35170.4	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1
OG0000097	SGUI1_6600.1	h1SMcT0003774.1, h1SMcT0003774.2
OG0000098	SGUI1_41100.1, SGUI1_41090.1	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1
OG0000098	SGUI1_67180.1, SGUI1_67180.5, SGUI1_67180.4, SGUI1_67180.3, SGUI1_67180.2, SGUI1_67180.6	h1SMcT0011165.1, h1SMcT0011165.2, h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2
OG0000099	SGUI1_68110.1, SGUI1_68110.2, SGUI1_68110.3, SGUI1_68110.4	h1SMcT0013445.1, h1SMcT0008305.1
OG0000099	SGUI1_72250.1	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2
