Orthogroup	schistosoma_guineensis	schistosoma_spindale
OG0000021	SGUI1_5450.1, SGUI1_5450.2	SSPN1_5690.1, SSPN1_5690.2
OG0000022	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2
OG0000023	SGUI1_37700.1, SGUI1_37700.2	SSPN1_44790.1
OG0000024	SGUI1_23290.1	SSPN1_22780.1
OG0000024	SGUI1_91920.1	SSPN1_88100.1
OG0000024	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2	SSPN1_65160.1
OG0000024	SGUI1_80800.1, SGUI1_80800.2	SSPN1_77320.1
OG0000024	SGUI1_80790.2, SGUI1_80790.1	SSPN1_77310.1
OG0000024	SGUI1_80790.3	SSPN1_77310.2
OG0000026	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1	SSPN1_76710.1, SSPN1_76710.2
OG0000026	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2
OG0000026	SGUI1_72480.1	SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3
OG0000028	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3
OG0000029	SGUI1_57980.1	SSPN1_55690.1
OG0000029	SGUI1_87750.1	SSPN1_84220.1
OG0000029	SGUI1_87710.1	SSPN1_84180.1
OG0000029	SGUI1_88610.3	SSPN1_85060.1
OG0000029	SGUI1_88610.1, SGUI1_88610.2	SSPN1_85050.1
OG0000030	SGUI1_6410.1	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77
OG0000031	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6
OG0000032	SGUI1_9580.1	SSPN1_20140.1
OG0000032	SGUI1_23110.1, SGUI1_23140.1, SGUI1_23420.1, SGUI1_23410.1, SGUI1_9560.1	SSPN1_21640.1
OG0000032	SGUI1_80200.1	SSPN1_76750.1
OG0000032	SGUI1_80200.1	SSPN1_76750.2
OG0000032	SGUI1_80200.2	SSPN1_76750.1
OG0000032	SGUI1_80200.2	SSPN1_76750.2
OG0000032	SGUI1_80200.3	SSPN1_76750.1
OG0000032	SGUI1_80200.3	SSPN1_76750.2
OG0000033	SGUI1_1730.1, SGUI1_9080.1, SGUI1_90840.1, SGUI1_12710.1, SGUI1_55160.1, SGUI1_1720.1, SGUI1_41780.1, SGUI1_42490.1, SGUI1_11600.1, SGUI1_31330.1, SGUI1_34350.1, SGUI1_64520.1, SGUI1_92500.1, SGUI1_95170.1, SGUI1_12380.1, SGUI1_65730.1, SGUI1_26140.1, SGUI1_93250.1, SGUI1_38510.1, SGUI1_53420.1, SGUI1_68930.1, SGUI1_13730.1, SGUI1_9380.1	SSPN1_64320.1
OG0000034	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3	SSPN1_88360.1
OG0000034	SGUI1_92130.1, SGUI1_92130.2	SSPN1_88350.1
OG0000034	SGUI1_92120.1	SSPN1_88330.1, SSPN1_88330.2
OG0000034	SGUI1_57710.1, SGUI1_57800.1	SSPN1_55380.1
OG0000034	SGUI1_57700.1, SGUI1_57810.1	SSPN1_55370.1
OG0000034	SGUI1_57820.1	SSPN1_55320.1
OG0000035	SGUI1_14660.21, SGUI1_14660.22	SSPN1_15690.2
OG0000036	SGUI1_23160.1, SGUI1_57530.1, SGUI1_26740.1, SGUI1_12600.1, SGUI1_2640.1, SGUI1_2640.2, SGUI1_2640.3, SGUI1_96790.1, SGUI1_84610.1, SGUI1_62270.1, SGUI1_68580.1, SGUI1_68950.1, SGUI1_64010.1, SGUI1_76950.1, SGUI1_81020.1	SSPN1_32030.1, SSPN1_42130.1
OG0000037	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3
OG0000037	SGUI1_60370.1, SGUI1_60380.1	SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1
OG0000038	SGUI1_23230.1, SGUI1_80970.1, SGUI1_8220.1, SGUI1_88710.1, SGUI1_86740.1, SGUI1_63870.1, SGUI1_21940.1, SGUI1_60360.1, SGUI1_33520.1, SGUI1_22810.1, SGUI1_59630.1, SGUI1_40690.1, SGUI1_40690.2, SGUI1_40690.3, SGUI1_14160.1, SGUI1_14160.2, SGUI1_54730.1, SGUI1_50110.1, SGUI1_3690.1, SGUI1_29980.1, SGUI1_73500.1, SGUI1_49690.1, SGUI1_49690.2, SGUI1_49690.3, SGUI1_49690.4, SGUI1_91460.1, SGUI1_57220.1, SGUI1_51390.1, SGUI1_640.1	SSPN1_83300.1, SSPN1_60260.1, SSPN1_32470.1, SSPN1_67920.1, SSPN1_73920.1, SSPN1_8810.1, SSPN1_12250.1, SSPN1_12250.2
OG0000040	SGUI1_52270.1, SGUI1_52260.1	SSPN1_50390.1, SSPN1_50400.1
OG0000041	SGUI1_12110.1	SSPN1_92970.1, SSPN1_92960.1, SSPN1_7690.1, SSPN1_39570.1, SSPN1_16210.1, SSPN1_80220.1, SSPN1_80750.1, SSPN1_80760.1, SSPN1_80760.2, SSPN1_80760.3, SSPN1_80760.4, SSPN1_77740.1, SSPN1_56540.1, SSPN1_40330.1, SSPN1_56510.3, SSPN1_93100.1, SSPN1_91300.1, SSPN1_48880.1, SSPN1_51640.1, SSPN1_56010.1
OG0000042	SGUI1_39810.1	SSPN1_31120.1
OG0000043	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7
OG0000044	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2	SSPN1_82650.1, SSPN1_82650.2
OG0000044	SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2	SSPN1_82750.1
OG0000044	SGUI1_86240.1	SSPN1_82730.1, SSPN1_82730.2
OG0000044	SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3	SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2
OG0000045	SGUI1_9760.1	SSPN1_19960.1
OG0000046	SGUI1_16750.1, SGUI1_35060.1, SGUI1_12610.1, SGUI1_74010.1, SGUI1_73550.1, SGUI1_27900.1, SGUI1_73550.2, SGUI1_12580.1	SSPN1_250.1, SSPN1_14110.1, SSPN1_33750.1
OG0000047	SGUI1_63020.1, SGUI1_62750.8, SGUI1_62750.7, SGUI1_63020.2, SGUI1_63020.5	SSPN1_63630.1, SSPN1_63640.1, SSPN1_33620.1, SSPN1_62270.1, SSPN1_33620.2, SSPN1_50310.1, SSPN1_71200.1, SSPN1_87870.1
OG0000049	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3
OG0000049	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5
OG0000050	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3
OG0000051	SGUI1_59290.1	SSPN1_12760.1, SSPN1_79280.1, SSPN1_46040.1, SSPN1_83770.1, SSPN1_12230.1, SSPN1_67410.1
OG0000051	SGUI1_47790.1, SGUI1_76600.1, SGUI1_47920.1, SGUI1_69710.1, SGUI1_53620.1, SGUI1_46200.1, SGUI1_3030.1, SGUI1_52570.1, SGUI1_11490.1, SGUI1_67410.1, SGUI1_45220.1, SGUI1_10370.1, SGUI1_17630.1, SGUI1_57920.1, SGUI1_42200.1, SGUI1_90750.1, SGUI1_41040.1	SSPN1_55640.1
OG0000052	SGUI1_28340.1	SSPN1_27560.1
OG0000052	SGUI1_3230.1	SSPN1_3140.1
OG0000052	SGUI1_940.1	SSPN1_510.1, SSPN1_510.2
OG0000052	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1
OG0000052	SGUI1_67400.1	SSPN1_57870.1
OG0000053	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2
OG0000054	SGUI1_3410.1, SGUI1_34850.1	SSPN1_52250.1, SSPN1_89800.1, SSPN1_9060.1, SSPN1_9070.1
OG0000054	SGUI1_71970.1	SSPN1_7480.1, SSPN1_7480.2, SSPN1_7480.3
OG0000055	SGUI1_69140.1, SGUI1_69130.1	SSPN1_66280.1, SSPN1_66290.1
OG0000057	SGUI1_34960.1	SSPN1_9240.1, SSPN1_14690.3, SSPN1_18220.1, SSPN1_44030.1, SSPN1_69380.1
OG0000058	SGUI1_90500.1, SGUI1_90500.2	SSPN1_85960.1
OG0000058	SGUI1_80950.1	SSPN1_77480.1
OG0000058	SGUI1_80980.1	SSPN1_77490.1
OG0000058	SGUI1_81010.1	SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3
OG0000061	SGUI1_52750.1	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3
