Orthogroup	schistosoma_guineensis	schistosoma_bovis
OG0000020	SGUI1_92310.1	SBOV2_90970.3, SBOV2_90970.4, SBOV2_90970.5, SBOV2_90970.1, SBOV2_90970.2, SBOV2_90960.1
OG0000021	SGUI1_7740.1	SBOV2_7110.1
OG0000021	SGUI1_5500.1	SBOV2_5830.1
OG0000021	SGUI1_5470.3	SBOV2_5800.2
OG0000021	SGUI1_5470.1, SGUI1_5470.2	SBOV2_5800.1
OG0000021	SGUI1_5480.1	SBOV2_5810.1
OG0000021	SGUI1_5490.1	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2
OG0000021	SGUI1_5450.1, SGUI1_5450.2	SBOV2_5780.1
OG0000022	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13	SBOV2_40340.1
OG0000023	SGUI1_37700.1, SGUI1_37700.2	SBOV2_19240.1
OG0000023	SGUI1_43890.1, SGUI1_86030.1	SBOV2_75080.1
OG0000023	SGUI1_12860.1	SBOV2_56510.1
OG0000024	SGUI1_23290.1	SBOV2_23240.1
OG0000024	SGUI1_91920.1	SBOV2_90560.1
OG0000024	SGUI1_64640.2	SBOV2_63690.1
OG0000024	SGUI1_80800.1, SGUI1_80800.2	SBOV2_79360.1, SBOV2_79360.2
OG0000024	SGUI1_80790.2, SGUI1_80790.1	SBOV2_79350.1
OG0000026	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1	SBOV2_78760.1
OG0000026	SGUI1_72480.1	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8
OG0000028	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5	SBOV2_69930.3, SBOV2_69930.6
OG0000028	SGUI1_70880.4	SBOV2_69930.10
OG0000029	SGUI1_57980.1	SBOV2_57030.1
OG0000029	SGUI1_87750.1	SBOV2_86480.1
OG0000029	SGUI1_87710.1	SBOV2_86450.1, SBOV2_96800.1
OG0000029	SGUI1_20300.1, SGUI1_20290.1	SBOV2_19870.5
OG0000029	SGUI1_88610.3	SBOV2_87380.1
OG0000029	SGUI1_88610.1	SBOV2_87370.1
OG0000029	SGUI1_88610.2	SBOV2_87370.1
OG0000030	SGUI1_6410.1	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	SGUI1_9580.1	SBOV2_10120.1
OG0000032	SGUI1_23110.1, SGUI1_23140.1, SGUI1_23420.1, SGUI1_23410.1, SGUI1_9560.1	SBOV2_9410.1
OG0000032	SGUI1_80200.1	SBOV2_78800.1
OG0000032	SGUI1_80200.2	SBOV2_78800.1
OG0000032	SGUI1_80200.3	SBOV2_78800.1
OG0000033	SGUI1_1720.1	SBOV2_96030.1
OG0000033	SGUI1_41780.1	SBOV2_96030.1
OG0000033	SGUI1_42490.1	SBOV2_96030.1
OG0000033	SGUI1_1720.1	SBOV2_96030.2
OG0000033	SGUI1_41780.1	SBOV2_96030.2
OG0000033	SGUI1_42490.1	SBOV2_96030.2
OG0000033	SGUI1_12380.1	SBOV2_16090.1, SBOV2_60740.1
OG0000033	SGUI1_65730.1	SBOV2_91630.1
OG0000033	SGUI1_26140.1, SGUI1_93250.1, SGUI1_38510.1, SGUI1_53420.1, SGUI1_68930.1	SBOV2_16490.1
OG0000033	SGUI1_13730.1, SGUI1_9380.1	SBOV2_60670.1
OG0000034	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3	SBOV2_90790.1
OG0000034	SGUI1_92130.1, SGUI1_92130.2	SBOV2_90780.1
OG0000034	SGUI1_92120.1	SBOV2_90770.1
OG0000034	SGUI1_57710.1, SGUI1_57800.1	SBOV2_56890.1
OG0000034	SGUI1_57860.1	SBOV2_56930.1
OG0000034	SGUI1_57810.1	SBOV2_56900.1
OG0000035	SGUI1_14660.4, SGUI1_14660.2	SBOV2_14610.9
OG0000035	SGUI1_14660.21, SGUI1_14660.22	SBOV2_14610.19, SBOV2_14610.20
OG0000035	SGUI1_14660.8	SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1
OG0000035	SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15	SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26
OG0000035	SGUI1_14660.13, SGUI1_14660.19	SBOV2_14610.4
OG0000036	SGUI1_57530.1	SBOV2_8200.1, SBOV2_23050.1
OG0000036	SGUI1_12600.1, SGUI1_2640.1, SGUI1_2640.2, SGUI1_2640.3, SGUI1_96790.1, SGUI1_84610.1, SGUI1_62270.1, SGUI1_68580.1, SGUI1_68950.1, SGUI1_64010.1, SGUI1_76950.1, SGUI1_81020.1	SBOV2_10500.1, SBOV2_96110.1
OG0000037	SGUI1_60200.1	SBOV2_59320.1
OG0000037	SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3	SBOV2_59490.1, SBOV2_59490.2
OG0000037	SGUI1_60370.1, SGUI1_60380.1	SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5, SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2
OG0000038	SGUI1_23230.1	SBOV2_51760.1
OG0000038	SGUI1_88710.1, SGUI1_86740.1, SGUI1_63870.1, SGUI1_21940.1, SGUI1_60360.1, SGUI1_33520.1, SGUI1_22810.1, SGUI1_59630.1, SGUI1_40690.1, SGUI1_40690.2, SGUI1_40690.3	SBOV2_92900.1
OG0000038	SGUI1_50110.1, SGUI1_3690.1	SBOV2_77500.1, SBOV2_77500.2
OG0000038	SGUI1_49690.1, SGUI1_49690.2, SGUI1_49690.3, SGUI1_49690.4, SGUI1_91460.1, SGUI1_57220.1, SGUI1_51390.1	SBOV2_78080.1
OG0000038	SGUI1_640.1	SBOV2_71000.1
OG0000040	SGUI1_52270.1	SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13, SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4
OG0000040	SGUI1_52260.1	SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8
OG0000041	SGUI1_12110.1	SBOV2_31710.1, SBOV2_31710.2
OG0000042	SGUI1_39810.1	SBOV2_27900.1
OG0000042	SGUI1_39790.1, SGUI1_69850.1	SBOV2_27970.1
OG0000042	SGUI1_39800.1, SGUI1_69840.1	SBOV2_27960.4, SBOV2_27960.6
OG0000043	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7
OG0000044	SGUI1_86170.1, SGUI1_86170.2	SBOV2_85070.1
OG0000044	SGUI1_86180.1, SGUI1_86180.2	SBOV2_85080.1
OG0000044	SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2	SBOV2_85100.1
OG0000044	SGUI1_86240.1	SBOV2_85120.1
OG0000044	SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3	SBOV2_85130.1
OG0000045	SGUI1_9760.1	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6
OG0000045	SGUI1_88200.2, SGUI1_88200.1	SBOV2_3860.1
OG0000046	SGUI1_12580.1	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2
OG0000047	SGUI1_63020.1, SGUI1_62750.8, SGUI1_62750.7, SGUI1_63020.2, SGUI1_63020.5	SBOV2_68600.1
OG0000047	SGUI1_63020.3, SGUI1_62750.5, SGUI1_63020.4, SGUI1_62750.3, SGUI1_62750.4, SGUI1_62750.2	SBOV2_68880.2
OG0000047	SGUI1_62870.2, SGUI1_8690.1, SGUI1_12750.1, SGUI1_50490.2, SGUI1_50490.5, SGUI1_54110.1, SGUI1_62870.1, SGUI1_62870.3, SGUI1_50490.1, SGUI1_50490.4, SGUI1_50490.3	SBOV2_31700.2, SBOV2_31700.1, SBOV2_95340.5, SBOV2_95340.1
OG0000048	SGUI1_96830.1	SBOV2_22170.1, SBOV2_22190.1, SBOV2_22190.2
OG0000049	SGUI1_70210.1	SBOV2_69310.2, SBOV2_69310.1
OG0000049	SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14	SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5
OG0000049	SGUI1_73830.2	SBOV2_72720.4
OG0000049	SGUI1_73830.4, SGUI1_73830.3	SBOV2_72720.5
OG0000049	SGUI1_73830.1	SBOV2_72720.2
OG0000050	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8
OG0000050	SGUI1_53910.1	SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12
OG0000051	SGUI1_47790.1, SGUI1_76600.1, SGUI1_47920.1, SGUI1_69710.1, SGUI1_53620.1	SBOV2_51000.1, SBOV2_49080.1
OG0000051	SGUI1_45220.1, SGUI1_10370.1, SGUI1_17630.1, SGUI1_57920.1, SGUI1_42200.1, SGUI1_90750.1	SBOV2_44260.1
OG0000051	SGUI1_71830.1, SGUI1_38970.1, SGUI1_40010.1, SGUI1_70810.1	SBOV2_41630.1
OG0000051	SGUI1_93710.1, SGUI1_75530.1	SBOV2_20050.1
OG0000051	SGUI1_26100.1, SGUI1_42470.1, SGUI1_79750.1	SBOV2_60960.1
OG0000051	SGUI1_71360.1	SBOV2_68980.1, SBOV2_84560.1, SBOV2_84560.2, SBOV2_90390.1
OG0000052	SGUI1_28340.1	SBOV2_38940.1, SBOV2_38940.2
OG0000052	SGUI1_3230.1	SBOV2_3270.1
OG0000052	SGUI1_940.1	SBOV2_990.1, SBOV2_990.2
OG0000052	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1	SBOV2_1730.1
OG0000052	SGUI1_67400.1	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3
OG0000053	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9
OG0000053	SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5	SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7
OG0000054	SGUI1_3410.1	SBOV2_23060.1, SBOV2_13380.1, SBOV2_23070.1
OG0000055	SGUI1_69140.1	SBOV2_68310.8, SBOV2_68320.2
OG0000056	SGUI1_35370.1, SGUI1_83960.1, SGUI1_96820.1	SBOV2_96240.1
OG0000057	SGUI1_89750.1, SGUI1_12400.1, SGUI1_17830.1, SGUI1_63930.1, SGUI1_63300.1, SGUI1_34960.1, SGUI1_77540.1, SGUI1_48370.1, SGUI1_11240.1, SGUI1_18270.1, SGUI1_12390.1	SBOV2_19440.1, SBOV2_36360.1, SBOV2_10510.1
OG0000058	SGUI1_90500.1, SGUI1_90500.2	SBOV2_88040.2, SBOV2_88040.1
OG0000058	SGUI1_80950.1	SBOV2_79500.1
OG0000058	SGUI1_80980.1	SBOV2_79520.1
OG0000058	SGUI1_81010.1	SBOV2_79550.4, SBOV2_79550.6, SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7
OG0000058	SGUI1_80940.1, SGUI1_80940.2	SBOV2_79490.2, SBOV2_79490.1
OG0000060	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40	SBOV2_64940.17
OG0000060	SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30	SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15
