Orthogroup	schistosoma_spindale	s.mekongi
OG0000050	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3	KAK4469367.1
OG0000052	SSPN1_27560.1	KAK4472821.1
OG0000052	SSPN1_3140.1	KAK4474336.1
OG0000052	SSPN1_510.1, SSPN1_510.2	KAK4474374.1
OG0000052	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1	KAK4474946.1
OG0000052	SSPN1_57870.1	KAK4471620.1
OG0000053	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2	KAK4475177.1, KAK4475178.1
OG0000054	SSPN1_52250.1, SSPN1_89800.1, SSPN1_9060.1, SSPN1_9070.1	KAK4471025.1, KAK4468371.1, KAK4474289.1
OG0000054	SSPN1_7480.1, SSPN1_7480.2, SSPN1_7480.3	KAK4471019.1
OG0000055	SSPN1_66280.1, SSPN1_66290.1	KAK4471575.1, KAK4471564.1
OG0000058	SSPN1_85960.1	KAK4468525.1
OG0000058	SSPN1_77480.1	KAK4470069.1
OG0000058	SSPN1_77520.4, SSPN1_77530.1, SSPN1_77490.1, SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3	KAK4470074.1, KAK4470072.1
OG0000060	SSPN1_59230.1, SSPN1_59230.7, SSPN1_59230.2, SSPN1_59230.6, SSPN1_59230.5, SSPN1_59230.8, SSPN1_59230.3, SSPN1_59230.4	KAK4471247.1
OG0000061	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3	KAK4469486.1
OG0000062	SSPN1_6020.10, SSPN1_6020.15, SSPN1_6020.6, SSPN1_6020.9, SSPN1_6020.16, SSPN1_6020.14, SSPN1_6020.1, SSPN1_6020.12, SSPN1_6020.13, SSPN1_6020.2, SSPN1_6020.5, SSPN1_6020.7, SSPN1_6020.8, SSPN1_6020.11, SSPN1_6020.3, SSPN1_6020.4	KAK4475970.1
OG0000063	SSPN1_31570.1	KAK4473734.1
OG0000064	SSPN1_4120.1, SSPN1_4120.2	KAK4475705.1
OG0000065	SSPN1_22330.1	KAK4473358.1
OG0000065	SSPN1_22360.1	KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	SSPN1_33820.1	KAK4473833.1
OG0000067	SSPN1_57390.6, SSPN1_57390.1, SSPN1_57390.4, SSPN1_57390.7, SSPN1_57390.8, SSPN1_57390.2, SSPN1_57390.3, SSPN1_57390.5	KAK4471577.1
OG0000068	SSPN1_52040.1	KAK4469181.1
OG0000068	SSPN1_91120.1, SSPN1_91120.2, SSPN1_91120.3, SSPN1_91120.4, SSPN1_91120.5, SSPN1_91120.6	KAK4467758.1
OG0000068	SSPN1_34390.1, SSPN1_34390.2, SSPN1_34400.1	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	SSPN1_27620.1	KAK4472801.1
OG0000069	SSPN1_10380.1, SSPN1_10380.2, SSPN1_10380.3	KAK4474982.1
OG0000070	SSPN1_42340.2, SSPN1_42340.1, SSPN1_42340.3	KAK4472878.1
OG0000071	SSPN1_36770.1	KAK4472253.1
OG0000072	SSPN1_86510.2, SSPN1_86510.4, SSPN1_86510.1, SSPN1_86510.3	KAK4468648.1
OG0000073	SSPN1_75390.1, SSPN1_75400.1, SSPN1_53480.2, SSPN1_53480.3, SSPN1_53480.4, SSPN1_53480.1, SSPN1_53490.1, SSPN1_53490.2, SSPN1_53490.3, SSPN1_53490.4	KAK4469816.1
OG0000074	SSPN1_84850.1	KAK4468714.1
OG0000074	SSPN1_19150.1	KAK4474596.1
OG0000074	SSPN1_84940.1	KAK4468705.1
OG0000075	SSPN1_37000.1	KAK4472282.1
OG0000076	SSPN1_3830.1	KAK4467358.1, KAK4475671.1
OG0000077	SSPN1_19690.2, SSPN1_19690.20, SSPN1_19690.21, SSPN1_19690.3, SSPN1_19690.5, SSPN1_19690.6, SSPN1_19690.22, SSPN1_19690.24, SSPN1_19690.18, SSPN1_19690.19, SSPN1_19690.12, SSPN1_19690.13, SSPN1_19690.14, SSPN1_19690.15, SSPN1_19690.25, SSPN1_19690.16, SSPN1_19690.17, SSPN1_19690.7, SSPN1_19690.23, SSPN1_19690.1, SSPN1_19690.10, SSPN1_19690.11, SSPN1_19690.4, SSPN1_19690.8, SSPN1_19690.9	KAK4475941.1
OG0000079	SSPN1_29590.2, SSPN1_29590.1	KAK4472724.1
OG0000080	SSPN1_42730.5, SSPN1_42730.4, SSPN1_42730.8, SSPN1_42730.6, SSPN1_42730.2, SSPN1_42730.9, SSPN1_42730.1, SSPN1_42730.7, SSPN1_42730.3	KAK4472503.1
OG0000082	SSPN1_20040.1	KAK4476263.1
OG0000083	SSPN1_47790.1	KAK4471026.1, KAK4474271.1
OG0000085	SSPN1_34520.2, SSPN1_34520.5, SSPN1_34520.1, SSPN1_34520.4, SSPN1_34520.3	KAK4474010.1
OG0000086	SSPN1_70330.4, SSPN1_70330.2, SSPN1_70330.6, SSPN1_70330.5, SSPN1_70330.1, SSPN1_70330.3	KAK4470561.1
OG0000087	SSPN1_51210.1	KAK4469513.1
OG0000088	SSPN1_3000.1	KAK4475590.1
OG0000088	SSPN1_2990.4, SSPN1_2990.5, SSPN1_2990.3, SSPN1_2990.1, SSPN1_2990.2	KAK4475589.1
OG0000091	SSPN1_46320.9, SSPN1_46320.14, SSPN1_46320.15, SSPN1_46320.16, SSPN1_46320.13, SSPN1_46320.1, SSPN1_46320.10, SSPN1_46320.5, SSPN1_46320.8, SSPN1_46320.12, SSPN1_46320.3, SSPN1_46320.7, SSPN1_46320.2, SSPN1_46320.4, SSPN1_46320.6, SSPN1_46320.11	KAK4469611.1
OG0000092	SSPN1_2160.1, SSPN1_2160.2	KAK4475365.1
OG0000092	SSPN1_17740.2, SSPN1_17740.4, SSPN1_17740.1, SSPN1_17740.3	KAK4474711.1
OG0000093	SSPN1_30830.1	KAK4473668.1
OG0000093	SSPN1_93300.1, SSPN1_31650.1, SSPN1_93310.2, SSPN1_31660.1, SSPN1_93310.1, SSPN1_93310.3	KAK4467328.1, KAK4467335.1
OG0000094	SSPN1_8420.5, SSPN1_8420.1, SSPN1_8420.2, SSPN1_8420.4, SSPN1_8420.6, SSPN1_8420.3	KAK4475997.1
OG0000095	SSPN1_62740.3, SSPN1_62740.7, SSPN1_62740.8, SSPN1_62740.12, SSPN1_62740.4, SSPN1_62740.9, SSPN1_62740.1, SSPN1_62740.2, SSPN1_62740.5, SSPN1_62740.11, SSPN1_62740.6, SSPN1_62740.10	KAK4471403.1, KAK4471978.1
OG0000096	SSPN1_35570.1	KAK4474123.1
OG0000097	SSPN1_6940.5, SSPN1_6940.1, SSPN1_6940.2, SSPN1_6940.3, SSPN1_6940.4	KAK4476042.1, KAK4476041.1
OG0000098	SSPN1_39820.1	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	SSPN1_58010.9, SSPN1_58010.2, SSPN1_58010.3, SSPN1_58010.1, SSPN1_58010.6, SSPN1_58010.5, SSPN1_58010.7, SSPN1_58010.8, SSPN1_58010.4	KAK4471639.1
OG0000099	SSPN1_64930.1, SSPN1_64930.2	KAK4471562.1
OG0000099	SSPN1_69100.2, SSPN1_69100.3, SSPN1_69100.1, SSPN1_69100.4	KAK4470190.1
OG0000102	SSPN1_5840.1	KAK4475905.1
OG0000102	SSPN1_56690.1, SSPN1_56690.5, SSPN1_56690.4, SSPN1_56690.3, SSPN1_56690.2	KAK4472110.1
OG0000103	SSPN1_71380.1, SSPN1_71390.1, SSPN1_71390.10, SSPN1_71390.4, SSPN1_71390.5, SSPN1_71390.6, SSPN1_71390.2, SSPN1_71390.3, SSPN1_71390.7, SSPN1_71390.8, SSPN1_71390.9	KAK4470657.1
OG0000104	SSPN1_6010.1, SSPN1_6010.10, SSPN1_6010.5, SSPN1_6010.8, SSPN1_6010.2, SSPN1_6010.3, SSPN1_6010.4, SSPN1_6010.9, SSPN1_6010.11, SSPN1_6010.6, SSPN1_6010.7	KAK4475921.1
OG0000105	SSPN1_7680.6, SSPN1_7680.1, SSPN1_7680.2, SSPN1_7680.4, SSPN1_7680.3, SSPN1_7680.5	KAK4474244.1
OG0000106	SSPN1_70750.1, SSPN1_73170.1, SSPN1_70810.1	KAK4470606.1, KAK4467455.1
OG0000107	SSPN1_54420.1	KAK4469978.1
OG0000107	SSPN1_49360.3	KAK4468968.1
OG0000108	SSPN1_8260.1	KAK4475981.1
OG0000110	SSPN1_28800.1	KAK4472451.1
OG0000110	SSPN1_28780.1	KAK4472446.1
OG0000110	SSPN1_28810.2, SSPN1_28810.1	KAK4472452.1
OG0000110	SSPN1_28830.1, SSPN1_28820.1	KAK4472453.1
OG0000111	SSPN1_39920.1	KAK4473064.1
OG0000111	SSPN1_50260.2, SSPN1_50260.1	KAK4469719.1
OG0000111	SSPN1_30100.1	KAK4472666.1
OG0000112	SSPN1_80600.1	KAK4468035.1
OG0000114	SSPN1_91010.1, SSPN1_91010.2, SSPN1_91010.4, SSPN1_91010.3	KAK4467770.1
OG0000115	SSPN1_34290.1, SSPN1_34290.2	KAK4473986.1
OG0000116	SSPN1_48510.3, SSPN1_48510.4, SSPN1_48510.5, SSPN1_48510.8, SSPN1_48510.1, SSPN1_48510.11, SSPN1_48510.2, SSPN1_48510.10, SSPN1_48510.6, SSPN1_48510.7, SSPN1_48510.9	KAK4469396.1
OG0000117	SSPN1_28910.6, SSPN1_28910.9, SSPN1_28910.1, SSPN1_28910.3, SSPN1_28910.4, SSPN1_28910.7, SSPN1_28910.5, SSPN1_28910.10, SSPN1_28910.2, SSPN1_28910.8	KAK4472459.1
OG0000118	SSPN1_31490.1, SSPN1_31480.1	KAK4473725.1
OG0000118	SSPN1_31520.1	KAK4473729.1
OG0000118	SSPN1_31510.1	KAK4473727.1
OG0000118	SSPN1_31500.1	KAK4473726.1
OG0000119	SSPN1_91830.6, SSPN1_91840.3, SSPN1_91830.10, SSPN1_91830.5, SSPN1_91830.8, SSPN1_91830.9, SSPN1_91840.2, SSPN1_91840.4, SSPN1_91830.1, SSPN1_91830.3, SSPN1_91830.4, SSPN1_91830.2, SSPN1_91830.7, SSPN1_91840.1	KAK4467682.1
OG0000122	SSPN1_77430.1	KAK4470066.1
OG0000123	SSPN1_75600.1, SSPN1_75600.2	KAK4470855.1
OG0000125	SSPN1_1270.1	KAK4474534.1
OG0000126	SSPN1_68020.1, SSPN1_68020.2, SSPN1_68020.3, SSPN1_68020.4	KAK4470546.1
OG0000127	SSPN1_21920.1, SSPN1_21920.2, SSPN1_21920.3, SSPN1_21920.4, SSPN1_21920.5, SSPN1_21920.6	KAK4475492.1
OG0000128	SSPN1_41670.7, SSPN1_41670.3, SSPN1_41670.4, SSPN1_41670.8, SSPN1_41670.9, SSPN1_41670.1, SSPN1_41670.2, SSPN1_41670.5, SSPN1_41670.6	KAK4473532.1
OG0000129	SSPN1_38560.7, SSPN1_38560.8, SSPN1_38560.6, SSPN1_38560.3, SSPN1_38560.2, SSPN1_38560.1, SSPN1_38560.4, SSPN1_38560.5	KAK4474206.1
OG0000130	SSPN1_79040.1, SSPN1_79040.2, SSPN1_79040.3, SSPN1_79040.5, SSPN1_79040.4	KAK4467983.1
OG0000131	SSPN1_82740.1, SSPN1_82770.1, SSPN1_82660.1, SSPN1_82670.1, SSPN1_82760.1, SSPN1_82760.2	KAK4468902.1
OG0000132	SSPN1_35370.1	KAK4474101.1
OG0000133	SSPN1_30530.3, SSPN1_30530.1, SSPN1_30530.4, SSPN1_30530.2	KAK4472626.1
OG0000134	SSPN1_12980.6, SSPN1_12980.5, SSPN1_12980.9, SSPN1_12980.1, SSPN1_12980.2, SSPN1_12980.3, SSPN1_12980.4, SSPN1_12980.7, SSPN1_12980.8	KAK4475011.1
OG0000135	SSPN1_17940.1, SSPN1_17940.11, SSPN1_17940.2, SSPN1_17940.12, SSPN1_17940.10, SSPN1_17940.9, SSPN1_17940.6, SSPN1_17940.7, SSPN1_17940.8, SSPN1_17940.4, SSPN1_17940.3, SSPN1_17940.5	KAK4474731.1
OG0000136	SSPN1_7350.1	KAK4476189.1
OG0000138	SSPN1_84510.1	KAK4468744.1
OG0000138	SSPN1_43540.1	KAK4473697.1
OG0000139	SSPN1_3890.10, SSPN1_3890.12, SSPN1_3890.11, SSPN1_3890.13, SSPN1_3890.5, SSPN1_3890.7, SSPN1_3890.1, SSPN1_3890.6, SSPN1_3890.8, SSPN1_3890.2, SSPN1_3890.3, SSPN1_3890.4, SSPN1_3890.9	KAK4475677.1
OG0000140	SSPN1_73280.1	KAK4470680.1, KAK4470033.1
OG0000141	SSPN1_12850.1, SSPN1_85350.1, SSPN1_85350.2, SSPN1_85360.1, SSPN1_85350.3	KAK4467352.1
OG0000142	SSPN1_12880.1	KAK4475021.1
OG0000142	SSPN1_12890.1	KAK4475019.1, KAK4475022.1
OG0000143	SSPN1_65840.1	KAK4471520.1
OG0000143	SSPN1_65830.1	KAK4471522.1
OG0000144	SSPN1_52880.1, SSPN1_52880.2	KAK4469871.1
OG0000144	SSPN1_26530.1	KAK4473145.1
OG0000144	SSPN1_54950.1	KAK4469772.1
OG0000145	SSPN1_37690.1, SSPN1_37680.1, SSPN1_37680.2	KAK4472181.1
OG0000146	SSPN1_87990.1	KAK4468443.1
OG0000146	SSPN1_28030.1	KAK4472748.1
OG0000146	SSPN1_45680.1	KAK4469097.1
OG0000147	SSPN1_34820.5, SSPN1_34820.1, SSPN1_34820.3, SSPN1_34820.4, SSPN1_34820.2	KAK4474043.1
OG0000148	SSPN1_30160.3, SSPN1_30160.2, SSPN1_30160.7, SSPN1_30160.1, SSPN1_30160.4, SSPN1_30160.5, SSPN1_30160.8, SSPN1_30160.6	KAK4472662.1
OG0000149	SSPN1_52060.4, SSPN1_52060.7, SSPN1_52060.8, SSPN1_52060.3, SSPN1_52060.5, SSPN1_52060.6, SSPN1_52060.1, SSPN1_52060.12, SSPN1_52060.2, SSPN1_52060.9, SSPN1_52060.10, SSPN1_52060.11	KAK4469180.1
OG0000151	SSPN1_60590.1	KAK4471438.1, KAK4471439.1
OG0000152	SSPN1_19460.2, SSPN1_19460.1, SSPN1_19460.3, SSPN1_19460.5, SSPN1_19460.4	KAK4474412.1
OG0000153	SSPN1_48430.1	KAK4469387.1
OG0000154	SSPN1_11260.1, SSPN1_11260.6, SSPN1_11260.8, SSPN1_11260.7, SSPN1_11260.9, SSPN1_11260.2, SSPN1_11260.5, SSPN1_11260.3, SSPN1_11260.4	KAK4475184.1, KAK4475186.1
OG0000155	SSPN1_33980.1	KAK4473822.1
OG0000156	SSPN1_12720.4, SSPN1_12720.2, SSPN1_12720.3, SSPN1_12720.1	KAK4475038.1
OG0000156	SSPN1_12710.3, SSPN1_12710.4, SSPN1_12710.1, SSPN1_12710.2	KAK4475039.1
OG0000157	SSPN1_62430.3	KAK4471808.1
OG0000157	SSPN1_42520.1	KAK4472697.1
OG0000157	SSPN1_90870.1, SSPN1_90870.2	KAK4467690.1
OG0000158	SSPN1_5420.1	KAK4475829.1, KAK4473934.1
OG0000159	SSPN1_61930.1	KAK4471746.1
OG0000160	SSPN1_16020.2, SSPN1_16020.6, SSPN1_16020.8, SSPN1_16020.10, SSPN1_16020.3, SSPN1_16020.11, SSPN1_16020.1, SSPN1_16020.12, SSPN1_16020.4, SSPN1_16020.5, SSPN1_16020.7, SSPN1_16020.9	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1
OG0000161	SSPN1_36170.1, SSPN1_36170.2, SSPN1_36170.3, SSPN1_36170.4, SSPN1_36150.1, SSPN1_36160.1, SSPN1_36170.5, SSPN1_36170.6	KAK4474169.1
OG0000164	SSPN1_62920.1, SSPN1_62920.2, SSPN1_62920.3	KAK4471960.1
OG0000164	SSPN1_74370.1	KAK4470406.1
OG0000164	SSPN1_53630.1	KAK4469800.1
OG0000164	SSPN1_29260.1	KAK4472495.1
OG0000165	SSPN1_59070.1	KAK4471264.1
OG0000167	SSPN1_72110.3, SSPN1_72110.4, SSPN1_72110.5, SSPN1_72110.2, SSPN1_72110.1	KAK4470364.1
OG0000168	SSPN1_1800.1, SSPN1_1820.1, SSPN1_1810.1	KAK4467445.1
OG0000169	SSPN1_91140.1	KAK4467756.1
OG0000169	SSPN1_42630.1	KAK4472610.1
OG0000169	SSPN1_90630.1	KAK4467718.1, KAK4467716.1, KAK4467717.1
OG0000170	SSPN1_67940.1	KAK4470632.1
OG0000172	SSPN1_11660.6, SSPN1_11660.5, SSPN1_11660.4, SSPN1_11660.1, SSPN1_11660.7, SSPN1_11660.2, SSPN1_11660.3	KAK4475142.1
OG0000173	SSPN1_79450.4, SSPN1_79450.1, SSPN1_79450.2, SSPN1_79450.3	KAK4468268.1
OG0000175	SSPN1_39990.1	KAK4473136.1
OG0000175	SSPN1_39980.1	KAK4473125.1
