Orthogroup	schistosoma_spindale	schistosoma_curassoni
OG0000002	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1	SCUR1_97110.1, SCUR1_97110.2, SCUR1_97110.3, SCUR1_97110.4, SCUR1_97110.5, SCUR1_97110.6, SCUR1_97110.7, SCUR1_47440.1, SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3, SCUR1_17510.1, SCUR1_42100.1, SCUR1_23710.1, SCUR1_23710.2, SCUR1_23710.3, SCUR1_23710.5, SCUR1_23710.4, SCUR1_23710.6, SCUR1_24410.1, SCUR1_97850.1, SCUR1_97850.2, SCUR1_94900.1, SCUR1_10130.1, SCUR1_70910.3, SCUR1_70910.1, SCUR1_17250.1, SCUR1_70910.2, SCUR1_70910.4, SCUR1_70910.5, SCUR1_70910.6, SCUR1_70910.7, SCUR1_93400.1, SCUR1_93400.2, SCUR1_93400.3, SCUR1_93400.4, SCUR1_44420.1
OG0000002	SSPN1_65720.1, SSPN1_61980.1	SCUR1_56640.1
OG0000003	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7	SCUR1_10840.3, SCUR1_10840.14, SCUR1_10840.13, SCUR1_10840.12, SCUR1_50550.1, SCUR1_50550.2, SCUR1_10840.1, SCUR1_10840.2, SCUR1_1980.3, SCUR1_31360.7, SCUR1_31360.9, SCUR1_31360.6, SCUR1_31360.8, SCUR1_72910.3, SCUR1_27100.5, SCUR1_62060.1, SCUR1_81440.5, SCUR1_23020.1, SCUR1_43960.1, SCUR1_27100.4, SCUR1_27030.1, SCUR1_27030.2, SCUR1_27030.4, SCUR1_27030.5, SCUR1_95570.1, SCUR1_95570.2, SCUR1_78040.1, SCUR1_78040.3, SCUR1_27100.1, SCUR1_28120.1, SCUR1_28120.2, SCUR1_28120.3, SCUR1_1980.4, SCUR1_27030.3, SCUR1_95570.3, SCUR1_78040.2, SCUR1_90510.6, SCUR1_31360.1, SCUR1_31360.10, SCUR1_31360.11, SCUR1_31360.4, SCUR1_31360.5, SCUR1_31360.3, SCUR1_27100.2, SCUR1_27100.3, SCUR1_72910.1, SCUR1_72910.2, SCUR1_72910.4, SCUR1_1980.5, SCUR1_90510.1, SCUR1_31360.2, SCUR1_99400.1, SCUR1_25610.1, SCUR1_99400.2, SCUR1_83520.5, SCUR1_22950.7, SCUR1_42620.1, SCUR1_22950.6, SCUR1_22950.2, SCUR1_22950.3, SCUR1_31380.1, SCUR1_31380.2, SCUR1_5350.3, SCUR1_5350.4, SCUR1_5350.2, SCUR1_5350.1, SCUR1_5350.5, SCUR1_74580.1, SCUR1_22950.8, SCUR1_58510.1, SCUR1_58510.15, SCUR1_58510.3, SCUR1_58510.5, SCUR1_58510.6, SCUR1_58510.4, SCUR1_58510.11, SCUR1_58510.12, SCUR1_58510.13, SCUR1_58510.7, SCUR1_58510.8, SCUR1_58510.9, SCUR1_58510.2
OG0000004	SSPN1_54000.1	SCUR1_25190.5, SCUR1_25190.4, SCUR1_25190.1, SCUR1_25190.3, SCUR1_25190.2, SCUR1_26740.2, SCUR1_26740.3, SCUR1_26740.1
OG0000004	SSPN1_73490.1	SCUR1_68350.1
OG0000004	SSPN1_32410.1	SCUR1_20530.1
OG0000004	SSPN1_32870.1, SSPN1_67190.1, SSPN1_10130.1, SSPN1_40150.1, SSPN1_32100.1, SSPN1_68120.1, SSPN1_33350.1, SSPN1_87910.1, SSPN1_60940.1	SCUR1_53750.1
OG0000004	SSPN1_12620.1	SCUR1_14550.1
OG0000004	SSPN1_38590.1	SCUR1_89610.1, SCUR1_63070.1, SCUR1_59610.1
OG0000004	SSPN1_14290.1	SCUR1_91290.1, SCUR1_63310.1, SCUR1_94450.1
OG0000004	SSPN1_10830.1, SSPN1_34890.1, SSPN1_57030.1	SCUR1_16210.1
OG0000004	SSPN1_3050.1	SCUR1_31000.1
OG0000005	SSPN1_32330.1, SSPN1_34260.1	SCUR1_77060.1, SCUR1_90810.1, SCUR1_90810.2
OG0000005	SSPN1_47380.1	SCUR1_57140.1
OG0000005	SSPN1_71310.1, SSPN1_17050.1, SSPN1_13610.1, SSPN1_93030.1, SSPN1_56500.1, SSPN1_7590.1, SSPN1_68170.1, SSPN1_4920.1, SSPN1_67580.1, SSPN1_16380.1, SSPN1_19400.1, SSPN1_58520.1, SSPN1_22720.1, SSPN1_65180.1, SSPN1_65170.1, SSPN1_52180.1, SSPN1_18700.1, SSPN1_12300.1, SSPN1_61490.1, SSPN1_33990.1, SSPN1_50600.1, SSPN1_6350.1, SSPN1_80390.1, SSPN1_19200.1, SSPN1_77840.1, SSPN1_32930.1, SSPN1_11080.1, SSPN1_21990.1, SSPN1_30460.1, SSPN1_12590.1, SSPN1_62690.1, SSPN1_62700.1, SSPN1_81500.1, SSPN1_6170.1, SSPN1_6170.2, SSPN1_30040.1, SSPN1_21930.1, SSPN1_86330.1, SSPN1_61000.1, SSPN1_76190.1, SSPN1_49200.1, SSPN1_86550.1	SCUR1_58770.1, SCUR1_43030.1, SCUR1_39690.1, SCUR1_76910.1, SCUR1_55630.1, SCUR1_90280.1, SCUR1_93510.1, SCUR1_32030.1, SCUR1_13830.1, SCUR1_89370.1
OG0000006	SSPN1_21890.1, SSPN1_9770.1	SCUR1_64410.1, SCUR1_47060.1, SCUR1_99930.1, SCUR1_69570.1, SCUR1_67860.1, SCUR1_87410.1, SCUR1_37570.1
OG0000006	SSPN1_25500.1, SSPN1_88340.1	SCUR1_97460.1
OG0000006	SSPN1_43780.1, SSPN1_19950.1, SSPN1_68800.1	SCUR1_29880.1, SCUR1_770.1
OG0000006	SSPN1_29180.1	SCUR1_32370.1, SCUR1_63120.1
OG0000006	SSPN1_3430.1	SCUR1_2540.1
OG0000006	SSPN1_24840.1, SSPN1_25510.1, SSPN1_32190.1, SSPN1_6740.1, SSPN1_33110.1, SSPN1_77650.1, SSPN1_29120.1	SCUR1_8080.1, SCUR1_2450.1
OG0000008	SSPN1_35900.1, SSPN1_45580.1, SSPN1_19160.1, SSPN1_91220.1, SSPN1_18720.1, SSPN1_29310.1, SSPN1_11470.1, SSPN1_29970.1, SSPN1_29970.2, SSPN1_33190.1, SSPN1_18310.1	SCUR1_77710.1, SCUR1_29990.1, SCUR1_49650.1, SCUR1_80680.1, SCUR1_3250.1, SCUR1_18080.1, SCUR1_34590.1, SCUR1_12050.1, SCUR1_48240.1, SCUR1_52260.1, SCUR1_37630.1, SCUR1_37100.1, SCUR1_5320.1, SCUR1_41520.1, SCUR1_5950.1, SCUR1_43610.1, SCUR1_43390.1, SCUR1_8410.1, SCUR1_60040.1, SCUR1_10360.1, SCUR1_85460.1, SCUR1_99950.1, SCUR1_15000.1, SCUR1_32700.1, SCUR1_99360.1, SCUR1_41850.1, SCUR1_74150.1, SCUR1_5300.1, SCUR1_10070.1
OG0000009	SSPN1_9010.1	SCUR1_70190.1
OG0000009	SSPN1_18600.1, SSPN1_5930.1, SSPN1_8390.1, SSPN1_65410.1	SCUR1_46810.1
OG0000009	SSPN1_90120.1, SSPN1_19830.1	SCUR1_68060.1
OG0000009	SSPN1_81880.1	SCUR1_25210.1
OG0000009	SSPN1_59780.1	SCUR1_19860.1
OG0000010	SSPN1_36620.2, SSPN1_36620.1, SSPN1_36620.3, SSPN1_36630.1, SSPN1_64330.1, SSPN1_63940.1, SSPN1_63940.2, SSPN1_14170.1, SSPN1_30700.1, SSPN1_77220.1, SSPN1_83870.1, SSPN1_51530.1, SSPN1_51530.2, SSPN1_27230.1, SSPN1_57340.2, SSPN1_57340.1, SSPN1_57340.3	SCUR1_53870.1
OG0000012	SSPN1_39340.1	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45
OG0000014	SSPN1_32740.1	SCUR1_38430.34, SCUR1_38430.38, SCUR1_38430.10, SCUR1_38430.29, SCUR1_38430.30, SCUR1_38430.32, SCUR1_38430.33, SCUR1_38430.5, SCUR1_38430.7, SCUR1_38430.35, SCUR1_38430.36, SCUR1_38430.37, SCUR1_38430.16, SCUR1_38430.17, SCUR1_38430.18, SCUR1_38430.19, SCUR1_38430.27, SCUR1_38430.9, SCUR1_38430.28, SCUR1_38430.3, SCUR1_38430.31, SCUR1_38430.4, SCUR1_38430.6, SCUR1_38430.1, SCUR1_38430.15, SCUR1_38430.21, SCUR1_38430.22, SCUR1_38430.23, SCUR1_38430.2, SCUR1_38430.20, SCUR1_38430.24, SCUR1_38430.25, SCUR1_38430.26, SCUR1_38430.13, SCUR1_38430.11, SCUR1_38430.14
OG0000015	SSPN1_32720.1	SCUR1_38440.1
OG0000015	SSPN1_58880.1	SCUR1_65580.1
OG0000015	SSPN1_58870.1	SCUR1_65590.1, SCUR1_65590.2
OG0000015	SSPN1_32590.1	SCUR1_38610.1
OG0000015	SSPN1_32580.1	SCUR1_38620.1, SCUR1_38620.2, SCUR1_38620.3
OG0000015	SSPN1_32560.1	SCUR1_38640.1
OG0000015	SSPN1_42190.1	SCUR1_43740.1
OG0000015	SSPN1_42240.1	SCUR1_43800.1
OG0000015	SSPN1_41450.1	SCUR1_42960.1
OG0000016	SSPN1_30120.1	SCUR1_1010.1
OG0000016	SSPN1_30890.1	SCUR1_88550.1
OG0000016	SSPN1_9040.1	SCUR1_80910.1, SCUR1_80910.2, SCUR1_80910.3
OG0000018	SSPN1_79080.3, SSPN1_79080.4, SSPN1_79080.5, SSPN1_79080.6, SSPN1_79080.7, SSPN1_84460.1, SSPN1_86440.1, SSPN1_79080.1, SSPN1_79080.2	SCUR1_11690.4, SCUR1_11690.1, SCUR1_11690.2, SCUR1_11690.3, SCUR1_11690.5, SCUR1_11690.6, SCUR1_11690.7, SCUR1_29330.1, SCUR1_80280.1, SCUR1_80280.3, SCUR1_80280.5, SCUR1_80280.4, SCUR1_80270.1, SCUR1_80280.2, SCUR1_42320.1
OG0000019	SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2
OG0000019	SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4
OG0000020	SSPN1_88760.1, SSPN1_88770.1	SCUR1_90860.1
OG0000021	SSPN1_8230.1	SCUR1_8230.1
OG0000021	SSPN1_5720.1	SCUR1_5850.1
OG0000021	SSPN1_5750.1	SCUR1_5860.2, SCUR1_5860.5
OG0000021	SSPN1_5680.1, SSPN1_5680.2	SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3, SCUR1_5820.4
OG0000021	SSPN1_5700.1	SCUR1_5830.1
OG0000021	SSPN1_5710.1	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3
OG0000021	SSPN1_5690.1, SSPN1_5690.2	SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2, SCUR1_5810.1
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5
OG0000024	SSPN1_22780.1	SCUR1_23660.1
OG0000024	SSPN1_88100.1	SCUR1_90210.1
OG0000024	SSPN1_65160.1	SCUR1_64030.1
OG0000024	SSPN1_77320.1	SCUR1_79670.1
OG0000024	SSPN1_77310.1	SCUR1_79660.1
OG0000024	SSPN1_77310.2	SCUR1_79660.2
OG0000026	SSPN1_76710.1, SSPN1_76710.2	SCUR1_79090.1
OG0000026	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2	SCUR1_71450.1
OG0000026	SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3	SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5, SCUR1_71400.3
OG0000027	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17, SSPN1_30990.5, SSPN1_30990.22, SSPN1_30990.31, SSPN1_30990.4, SSPN1_30990.30, SSPN1_30990.35, SSPN1_30990.24, SSPN1_30990.28, SSPN1_30990.29, SSPN1_30990.14, SSPN1_30990.11, SSPN1_30990.6, SSPN1_30990.37, SSPN1_30990.15, SSPN1_30990.20, SSPN1_30990.39	SCUR1_40200.1
OG0000028	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3	SCUR1_69820.2, SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5
OG0000029	SSPN1_55690.1	SCUR1_99660.1
OG0000029	SSPN1_84220.1	SCUR1_86440.1
OG0000029	SSPN1_84180.1	SCUR1_86010.1
OG0000029	SSPN1_13090.1	SCUR1_20790.1
OG0000029	SSPN1_13090.2	SCUR1_20790.1
OG0000029	SSPN1_85060.1	SCUR1_86960.1
OG0000029	SSPN1_85050.1	SCUR1_86950.1
OG0000030	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77	SCUR1_6670.1
OG0000031	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12
OG0000032	SSPN1_20150.1	SCUR1_10300.1
OG0000032	SSPN1_20140.1	SCUR1_10320.1
OG0000032	SSPN1_55430.1	SCUR1_57440.1
OG0000032	SSPN1_21640.1	SCUR1_9500.1, SCUR1_79130.1
OG0000032	SSPN1_76750.1	SCUR1_79130.2
OG0000032	SSPN1_76750.2	SCUR1_79130.2
OG0000032	SSPN1_76750.1	SCUR1_79130.3
OG0000032	SSPN1_76750.2	SCUR1_79130.3
OG0000033	SSPN1_64320.1	SCUR1_53450.1, SCUR1_37110.1, SCUR1_41840.1, SCUR1_8400.1, SCUR1_21110.1, SCUR1_31600.1, SCUR1_76470.1, SCUR1_14010.1, SCUR1_46040.1, SCUR1_35190.1, SCUR1_10560.1, SCUR1_31920.1, SCUR1_37620.1, SCUR1_3270.1, SCUR1_93810.1, SCUR1_27970.1, SCUR1_84970.1, SCUR1_4270.1, SCUR1_76530.1, SCUR1_30900.1, SCUR1_53660.1, SCUR1_83210.1, SCUR1_1750.1, SCUR1_18840.1
OG0000034	SSPN1_88360.1	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3
OG0000034	SSPN1_88350.1	SCUR1_90440.1
OG0000034	SSPN1_88330.1, SSPN1_88330.2	SCUR1_90430.1
OG0000034	SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5	SCUR1_57480.1, SCUR1_57500.1
OG0000034	SSPN1_55380.1	SCUR1_57520.1, SCUR1_95610.1
OG0000034	SSPN1_55370.1	SCUR1_95620.1, SCUR1_57530.1
OG0000034	SSPN1_55320.1	SCUR1_57580.1
OG0000036	SSPN1_32030.1, SSPN1_42130.1	SCUR1_5010.1, SCUR1_5010.2, SCUR1_38900.1, SCUR1_51740.1, SCUR1_10350.1
OG0000037	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3	SCUR1_59650.1, SCUR1_59730.1
OG0000037	SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1	SCUR1_59780.2, SCUR1_59790.1, SCUR1_100280.1, SCUR1_95090.4, SCUR1_95090.1, SCUR1_95090.2, SCUR1_95090.3, SCUR1_95090.5, SCUR1_95090.6
OG0000038	SSPN1_83300.1, SSPN1_60260.1, SSPN1_32470.1, SSPN1_67920.1, SSPN1_73920.1, SSPN1_8810.1, SSPN1_12250.1, SSPN1_12250.2	SCUR1_50900.1, SCUR1_5050.1, SCUR1_71490.1, SCUR1_12660.1, SCUR1_95150.1, SCUR1_28730.1, SCUR1_41660.1, SCUR1_65040.1, SCUR1_5740.1, SCUR1_26730.1, SCUR1_2400.1, SCUR1_40730.1, SCUR1_4210.1, SCUR1_39210.1, SCUR1_99440.1
OG0000040	SSPN1_50390.1, SSPN1_50400.1	SCUR1_52110.3, SCUR1_52110.1, SCUR1_52110.9, SCUR1_52110.25, SCUR1_52110.29, SCUR1_52110.4, SCUR1_52110.5, SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21, SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28
OG0000042	SSPN1_31120.1	SCUR1_40080.1
OG0000042	SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7	SCUR1_40070.1
OG0000042	SSPN1_31150.2, SSPN1_31160.2	SCUR1_40060.1, SCUR1_40050.3, SCUR1_40050.1
OG0000042	SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1	SCUR1_40050.2
OG0000043	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7	SCUR1_27760.11, SCUR1_27760.1, SCUR1_27760.4, SCUR1_27760.6, SCUR1_27760.10, SCUR1_27760.13, SCUR1_27760.5, SCUR1_27760.9, SCUR1_27760.3, SCUR1_27760.2, SCUR1_27760.12, SCUR1_27760.14, SCUR1_27760.7, SCUR1_27760.8
OG0000044	SSPN1_82650.1, SSPN1_82650.2	SCUR1_84690.1, SCUR1_84700.1
OG0000044	SSPN1_82750.1	SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1
OG0000044	SSPN1_82730.1, SSPN1_82730.2	SCUR1_84780.2, SCUR1_98900.1, SCUR1_84780.1, SCUR1_98900.2
OG0000044	SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2	SCUR1_98930.1, SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1
OG0000045	SSPN1_19960.1	SCUR1_10540.1, SCUR1_10540.3, SCUR1_10540.4, SCUR1_10540.5, SCUR1_10540.2, SCUR1_10540.6
OG0000046	SSPN1_250.1, SSPN1_14110.1, SSPN1_33750.1	SCUR1_29330.2, SCUR1_29330.3, SCUR1_29330.4, SCUR1_29330.5, SCUR1_29330.6, SCUR1_28260.1, SCUR1_28260.2, SCUR1_28260.3
OG0000047	SSPN1_63630.1, SSPN1_63640.1, SSPN1_33620.1, SSPN1_62270.1, SSPN1_33620.2, SSPN1_50310.1, SSPN1_71200.1, SSPN1_87870.1	SCUR1_67810.3, SCUR1_67810.1, SCUR1_67810.2, SCUR1_52540.5, SCUR1_52540.8, SCUR1_52540.9, SCUR1_14640.4, SCUR1_14640.5, SCUR1_74340.2, SCUR1_74340.3, SCUR1_31390.4, SCUR1_31390.6, SCUR1_31390.2, SCUR1_31390.1, SCUR1_31390.3, SCUR1_31390.9, SCUR1_31390.10, SCUR1_31390.7, SCUR1_31390.8, SCUR1_31390.5, SCUR1_52540.2, SCUR1_52540.6, SCUR1_14640.1, SCUR1_74340.5, SCUR1_14640.2, SCUR1_14640.3, SCUR1_74340.1, SCUR1_74340.4, SCUR1_52540.4, SCUR1_52540.1, SCUR1_52540.3, SCUR1_52540.7
OG0000048	SSPN1_55140.1	SCUR1_100.1, SCUR1_110.1
OG0000048	SSPN1_55030.1, SSPN1_55030.2	SCUR1_58060.1
OG0000048	SSPN1_43820.1, SSPN1_43810.1, SSPN1_93000.1	SCUR1_99330.1, SCUR1_99330.2, SCUR1_99780.1
OG0000049	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3
OG0000049	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5	SCUR1_72710.1, SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3, SCUR1_72710.5, SCUR1_72710.4
