Orthogroup	schistosoma_spindale	fasciola_hepatica
OG0000049	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3	FhHiC23_g1642.t1, FhHiC23_g1642.t2
OG0000049	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5	FhHiC23_g2467.t1, FhHiC23_g2467.t2
OG0000050	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2
OG0000052	SSPN1_27560.1	FhHiC23_g6159.t2, FhHiC23_g6159.t1
OG0000052	SSPN1_3140.1	FhHiC23_g12020.t1, FhHiC23_g12020.t3
OG0000052	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1	FhHiC23_g13824.t1
OG0000052	SSPN1_57870.1	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1
OG0000053	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2	FhHiC23_g15140.t1, FhHiC23_g15140.t2
OG0000055	SSPN1_66280.1, SSPN1_66290.1	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1
OG0000056	SSPN1_74120.1	FhHiC23_g3135.t1, FhHiC23_g7372.t1, FhHiC23_g5638.t1
OG0000058	SSPN1_85960.1	FhHiC23_g16509.t1
OG0000058	SSPN1_77480.1	FhHiC23_g3241.t1
OG0000058	SSPN1_77520.4, SSPN1_77530.1, SSPN1_77490.1, SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3	FhHiC23_g3240.t1
OG0000060	SSPN1_59230.1, SSPN1_59230.7, SSPN1_59230.2, SSPN1_59230.6, SSPN1_59230.5, SSPN1_59230.8, SSPN1_59230.3, SSPN1_59230.4	FhHiC23_g8030.t1
OG0000061	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5
OG0000062	SSPN1_6020.10, SSPN1_6020.15, SSPN1_6020.6, SSPN1_6020.9, SSPN1_6020.16, SSPN1_6020.14, SSPN1_6020.1, SSPN1_6020.12, SSPN1_6020.13, SSPN1_6020.2, SSPN1_6020.5, SSPN1_6020.7, SSPN1_6020.8, SSPN1_6020.11, SSPN1_6020.3, SSPN1_6020.4	FhHiC23_g12088.t1, FhHiC23_g12088.t4
OG0000063	SSPN1_31570.1	FhHiC23_g5471.t1, FhHiC23_g5471.t2
OG0000064	SSPN1_4120.1, SSPN1_4120.2	FhHiC23_g13576.t2, FhHiC23_g13576.t1
OG0000065	SSPN1_22330.1, SSPN1_22360.1	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1
OG0000066	SSPN1_33820.1	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6
OG0000067	SSPN1_57390.6, SSPN1_57390.1, SSPN1_57390.4, SSPN1_57390.7, SSPN1_57390.8, SSPN1_57390.2, SSPN1_57390.3, SSPN1_57390.5	FhHiC23_g7039.t1, FhHiC23_g7040.t1
OG0000068	SSPN1_52040.1	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1
OG0000068	SSPN1_91120.1, SSPN1_91120.2, SSPN1_91120.3, SSPN1_91120.4, SSPN1_91120.5, SSPN1_91120.6	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1
OG0000068	SSPN1_34390.1, SSPN1_34390.2, SSPN1_34400.1	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1
OG0000068	SSPN1_27620.1	FhHiC23_g5260.t1
OG0000069	SSPN1_10380.1, SSPN1_10380.2, SSPN1_10380.3	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2
OG0000070	SSPN1_42340.2, SSPN1_42340.1, SSPN1_42340.3	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1
OG0000071	SSPN1_36770.1	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2
OG0000072	SSPN1_86510.2, SSPN1_86510.4, SSPN1_86510.1, SSPN1_86510.3	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1
OG0000073	SSPN1_75390.1, SSPN1_75400.1, SSPN1_53480.2, SSPN1_53480.3, SSPN1_53480.4, SSPN1_53480.1, SSPN1_53490.1, SSPN1_53490.2, SSPN1_53490.3, SSPN1_53490.4	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5
OG0000074	SSPN1_190.1	FhHiC23_g13499.t1
OG0000074	SSPN1_84850.1	FhHiC23_g4352.t2, FhHiC23_g4352.t1
OG0000074	SSPN1_19150.1	FhHiC23_g10998.t1
OG0000074	SSPN1_84940.1	FhHiC23_g16397.t1
OG0000075	SSPN1_37000.1	FhHiC23_g5300.t1, FhHiC23_g5300.t2
OG0000076	SSPN1_87470.1	FhHiC23_g8656.t1, FhHiC23_g8656.t2
OG0000076	SSPN1_3830.1	FhHiC23_g13008.t1, FhHiC23_g13008.t2
OG0000077	SSPN1_19690.2, SSPN1_19690.20, SSPN1_19690.21, SSPN1_19690.3, SSPN1_19690.5, SSPN1_19690.6, SSPN1_19690.22, SSPN1_19690.24, SSPN1_19690.18, SSPN1_19690.19, SSPN1_19690.12, SSPN1_19690.13, SSPN1_19690.14, SSPN1_19690.15, SSPN1_19690.25, SSPN1_19690.16, SSPN1_19690.17, SSPN1_19690.7, SSPN1_19690.23, SSPN1_19690.1, SSPN1_19690.10, SSPN1_19690.11, SSPN1_19690.4, SSPN1_19690.8, SSPN1_19690.9	FhHiC23_g13340.t1
OG0000078	SSPN1_5440.6, SSPN1_5440.2, SSPN1_5440.4, SSPN1_5440.5, SSPN1_5440.1, SSPN1_5440.3	FhHiC23_g13137.t1
OG0000079	SSPN1_29590.2, SSPN1_29590.1	FhHiC23_g5009.t2, FhHiC23_g5009.t1
OG0000079	SSPN1_52110.7, SSPN1_52110.5, SSPN1_52110.1, SSPN1_52110.3, SSPN1_52110.9, SSPN1_52110.4, SSPN1_52110.6, SSPN1_52110.2, SSPN1_52110.8	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3
OG0000080	SSPN1_42730.5, SSPN1_42730.4, SSPN1_42730.8, SSPN1_42730.6, SSPN1_42730.2, SSPN1_42730.9, SSPN1_42730.1, SSPN1_42730.7, SSPN1_42730.3	FhHiC23_g14390.t1
OG0000082	SSPN1_20040.1	FhHiC23_g13569.t1, FhHiC23_g13569.t2
OG0000085	SSPN1_34520.2, SSPN1_34520.5, SSPN1_34520.1, SSPN1_34520.4, SSPN1_34520.3	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1
OG0000086	SSPN1_70330.4, SSPN1_70330.2, SSPN1_70330.6, SSPN1_70330.5, SSPN1_70330.1, SSPN1_70330.3	FhHiC23_g1071.t1
OG0000087	SSPN1_51210.1	FhHiC23_g1744.t1, FhHiC23_g1744.t2
OG0000088	SSPN1_3000.1, SSPN1_2990.4, SSPN1_2990.5, SSPN1_2990.3, SSPN1_2990.1, SSPN1_2990.2	FhHiC23_g5522.t1
OG0000090	SSPN1_48330.4, SSPN1_48330.1, SSPN1_48330.2, SSPN1_48330.3	FhHiC23_g954.t1, FhHiC23_g954.t2
OG0000091	SSPN1_46320.9, SSPN1_46320.14, SSPN1_46320.15, SSPN1_46320.16, SSPN1_46320.13, SSPN1_46320.1, SSPN1_46320.10, SSPN1_46320.5, SSPN1_46320.8, SSPN1_46320.12, SSPN1_46320.3, SSPN1_46320.7, SSPN1_46320.2, SSPN1_46320.4, SSPN1_46320.6, SSPN1_46320.11	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2
OG0000092	SSPN1_2160.1, SSPN1_2160.2	FhHiC23_g12946.t1, FhHiC23_g12946.t2
OG0000092	SSPN1_17740.2, SSPN1_17740.4, SSPN1_17740.1, SSPN1_17740.3	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2
OG0000093	SSPN1_30830.1	FhHiC23_g5402.t1, FhHiC23_g5404.t1
OG0000093	SSPN1_93300.1, SSPN1_31650.1, SSPN1_93310.2, SSPN1_31660.1, SSPN1_93310.1, SSPN1_93310.3	FhHiC23_g6196.t1, FhHiC23_g5957.t1
OG0000094	SSPN1_8420.5, SSPN1_8420.1, SSPN1_8420.2, SSPN1_8420.4, SSPN1_8420.6, SSPN1_8420.3	FhHiC23_g11975.t1, FhHiC23_g11975.t2
OG0000095	SSPN1_62740.3, SSPN1_62740.7, SSPN1_62740.8, SSPN1_62740.12, SSPN1_62740.4, SSPN1_62740.9, SSPN1_62740.1, SSPN1_62740.2, SSPN1_62740.5, SSPN1_62740.11, SSPN1_62740.6, SSPN1_62740.10	FhHiC23_g7183.t1
OG0000096	SSPN1_35570.1	FhHiC23_g5432.t1, FhHiC23_g5432.t2
OG0000097	SSPN1_6940.5, SSPN1_6940.1, SSPN1_6940.2, SSPN1_6940.3, SSPN1_6940.4	FhHiC23_g11521.t1
OG0000098	SSPN1_39820.1	FhHiC23_g4954.t1, FhHiC23_g4955.t1
OG0000098	SSPN1_58010.9, SSPN1_58010.2, SSPN1_58010.3, SSPN1_58010.1, SSPN1_58010.6, SSPN1_58010.5, SSPN1_58010.7, SSPN1_58010.8, SSPN1_58010.4	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1
OG0000099	SSPN1_64930.1, SSPN1_64930.2	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3
OG0000099	SSPN1_69100.2, SSPN1_69100.3, SSPN1_69100.1, SSPN1_69100.4	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4
OG0000102	SSPN1_5840.1	FhHiC23_g13582.t1
OG0000102	SSPN1_56690.1, SSPN1_56690.5, SSPN1_56690.4, SSPN1_56690.3, SSPN1_56690.2	FhHiC23_g7758.t1
OG0000103	SSPN1_71380.1, SSPN1_71390.1, SSPN1_71390.10, SSPN1_71390.4, SSPN1_71390.5, SSPN1_71390.6, SSPN1_71390.2, SSPN1_71390.3, SSPN1_71390.7, SSPN1_71390.8, SSPN1_71390.9	FhHiC23_g2725.t1
OG0000104	SSPN1_6010.1, SSPN1_6010.10, SSPN1_6010.5, SSPN1_6010.8, SSPN1_6010.2, SSPN1_6010.3, SSPN1_6010.4, SSPN1_6010.9, SSPN1_6010.11, SSPN1_6010.6, SSPN1_6010.7	FhHiC23_g12208.t1
OG0000105	SSPN1_7680.6, SSPN1_7680.1, SSPN1_7680.2, SSPN1_7680.4, SSPN1_7680.3, SSPN1_7680.5	FhHiC23_g13058.t1
OG0000107	SSPN1_54420.1	FhHiC23_g2176.t1
OG0000108	SSPN1_8260.1	FhHiC23_g10941.t2, FhHiC23_g10941.t1
OG0000110	SSPN1_28800.1, SSPN1_28780.1	FhHiC23_g5186.t1, FhHiC23_g5186.t2
OG0000110	SSPN1_28810.2, SSPN1_28810.1	FhHiC23_g5563.t1
OG0000110	SSPN1_28830.1, SSPN1_28820.1	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3
OG0000111	SSPN1_39920.1	FhHiC23_g4957.t1
OG0000111	SSPN1_30100.1	FhHiC23_g5520.t1
OG0000112	SSPN1_80600.1	FhHiC23_g3619.t1, FhHiC23_g3619.t2
OG0000114	SSPN1_91010.1, SSPN1_91010.2, SSPN1_91010.4, SSPN1_91010.3	FhHiC23_g9186.t1
OG0000115	SSPN1_34290.1, SSPN1_34290.2	FhHiC23_g5095.t1
OG0000116	SSPN1_48510.3, SSPN1_48510.4, SSPN1_48510.5, SSPN1_48510.8, SSPN1_48510.1, SSPN1_48510.11, SSPN1_48510.2, SSPN1_48510.10, SSPN1_48510.6, SSPN1_48510.7, SSPN1_48510.9	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2
OG0000117	SSPN1_28910.6, SSPN1_28910.9, SSPN1_28910.1, SSPN1_28910.3, SSPN1_28910.4, SSPN1_28910.7, SSPN1_28910.5, SSPN1_28910.10, SSPN1_28910.2, SSPN1_28910.8	FhHiC23_g5310.t1
OG0000118	SSPN1_31490.1, SSPN1_31480.1, SSPN1_31520.1, SSPN1_31510.1, SSPN1_31500.1	FhHiC23_g5237.t1
OG0000119	SSPN1_91830.6, SSPN1_91840.3, SSPN1_91830.10, SSPN1_91830.5, SSPN1_91830.8, SSPN1_91830.9, SSPN1_91840.2, SSPN1_91840.4, SSPN1_91830.1, SSPN1_91830.3, SSPN1_91830.4, SSPN1_91830.2, SSPN1_91830.7, SSPN1_91840.1	FhHiC23_g10335.t1
OG0000122	SSPN1_77430.1	FhHiC23_g1533.t1
OG0000123	SSPN1_75600.1, SSPN1_75600.2	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1
OG0000125	SSPN1_1270.1	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3
OG0000126	SSPN1_68020.1, SSPN1_68020.2, SSPN1_68020.3, SSPN1_68020.4	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1
OG0000127	SSPN1_21920.1, SSPN1_21920.2, SSPN1_21920.3, SSPN1_21920.4, SSPN1_21920.5, SSPN1_21920.6	FhHiC23_g12206.t1, FhHiC23_g12204.t1
OG0000128	SSPN1_41670.7, SSPN1_41670.3, SSPN1_41670.4, SSPN1_41670.8, SSPN1_41670.9, SSPN1_41670.1, SSPN1_41670.2, SSPN1_41670.5, SSPN1_41670.6	FhHiC23_g14316.t1
OG0000129	SSPN1_38560.7, SSPN1_38560.8, SSPN1_38560.6, SSPN1_38560.3, SSPN1_38560.2, SSPN1_38560.1, SSPN1_38560.4, SSPN1_38560.5	FhHiC23_g5688.t1, FhHiC23_g5688.t2
OG0000130	SSPN1_79040.1, SSPN1_79040.2, SSPN1_79040.3, SSPN1_79040.5, SSPN1_79040.4	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3
