Orthogroup	schistosoma_spindale	schistosoma_haematobium
OG0000004	SSPN1_32410.1	SHAE2_63000.1
OG0000004	SSPN1_32420.1	SHAE2_16670.1
OG0000004	SSPN1_32870.1, SSPN1_67190.1, SSPN1_10130.1, SSPN1_40150.1, SSPN1_32100.1, SSPN1_68120.1, SSPN1_33350.1, SSPN1_87910.1, SSPN1_60940.1	SHAE2_56950.1
OG0000004	SSPN1_38590.1	SHAE2_85020.1, SHAE2_102090.1, SHAE2_60460.1
OG0000005	SSPN1_32330.1, SSPN1_34260.1	SHAE2_57300.1, SHAE2_63030.1, SHAE2_98210.1, SHAE2_98210.2, SHAE2_6770.1, SHAE2_6780.1
OG0000005	SSPN1_47380.1	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1
OG0000005	SSPN1_80810.1, SSPN1_28240.1, SSPN1_30380.1	SHAE2_24880.1, SHAE2_48280.1, SHAE2_24890.1, SHAE2_17810.1, SHAE2_98820.1
OG0000005	SSPN1_71310.1, SSPN1_17050.1, SSPN1_13610.1, SSPN1_93030.1, SSPN1_56500.1, SSPN1_7590.1, SSPN1_68170.1, SSPN1_4920.1, SSPN1_67580.1, SSPN1_16380.1, SSPN1_19400.1, SSPN1_58520.1, SSPN1_22720.1, SSPN1_65180.1, SSPN1_65170.1, SSPN1_52180.1, SSPN1_18700.1, SSPN1_12300.1, SSPN1_61490.1, SSPN1_33990.1, SSPN1_50600.1, SSPN1_6350.1, SSPN1_80390.1, SSPN1_19200.1, SSPN1_77840.1, SSPN1_32930.1, SSPN1_11080.1, SSPN1_21990.1, SSPN1_30460.1, SSPN1_12590.1, SSPN1_62690.1, SSPN1_62700.1, SSPN1_81500.1, SSPN1_6170.1, SSPN1_6170.2, SSPN1_30040.1, SSPN1_21930.1, SSPN1_86330.1, SSPN1_61000.1, SSPN1_76190.1, SSPN1_49200.1, SSPN1_86550.1	SHAE2_4150.1, SHAE2_67630.1, SHAE2_16280.1, SHAE2_57870.1, SHAE2_91870.1, SHAE2_24130.1, SHAE2_25130.1, SHAE2_25130.2, SHAE2_12820.1, SHAE2_12830.1, SHAE2_89030.1, SHAE2_23190.1, SHAE2_29330.1, SHAE2_71560.1, SHAE2_3410.1
OG0000006	SSPN1_21890.1, SSPN1_9770.1	SHAE2_55900.1, SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1
OG0000006	SSPN1_43780.1, SSPN1_19950.1, SSPN1_68800.1	SHAE2_63560.1, SHAE2_50040.1
OG0000006	SSPN1_29180.1	SHAE2_49370.1
OG0000006	SSPN1_3430.1	SHAE2_77110.1, SHAE2_14280.1
OG0000006	SSPN1_24840.1, SSPN1_25510.1, SSPN1_32190.1, SSPN1_6740.1, SSPN1_33110.1, SSPN1_77650.1, SSPN1_29120.1	SHAE2_14150.1, SHAE2_13340.1, SHAE2_28540.1, SHAE2_5140.1, SHAE2_85960.1, SHAE2_2730.2, SHAE2_13460.1, SHAE2_98580.1, SHAE2_3600.1, SHAE2_48770.1, SHAE2_96550.1, SHAE2_15810.1, SHAE2_2730.1, SHAE2_2730.3, SHAE2_75170.1, SHAE2_72530.1, SHAE2_54980.1, SHAE2_97000.1, SHAE2_79020.1, SHAE2_81870.1, SHAE2_77820.1, SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4, SHAE2_98220.1, SHAE2_102720.1, SHAE2_93680.1
OG0000008	SSPN1_35900.1, SSPN1_45580.1, SSPN1_19160.1, SSPN1_91220.1, SSPN1_18720.1, SSPN1_29310.1, SSPN1_11470.1, SSPN1_29970.1, SSPN1_29970.2, SSPN1_33190.1, SSPN1_18310.1	SHAE2_26220.1, SHAE2_83090.1, SHAE2_93330.1, SHAE2_4460.1, SHAE2_42580.1, SHAE2_91950.1, SHAE2_76110.1, SHAE2_34250.1, SHAE2_71990.1, SHAE2_99780.1, SHAE2_99780.2, SHAE2_18360.1, SHAE2_51810.1, SHAE2_14800.1, SHAE2_14800.2, SHAE2_67600.1, SHAE2_89880.1, SHAE2_16190.1, SHAE2_39280.1, SHAE2_49860.1, SHAE2_50850.1, SHAE2_4090.1, SHAE2_49140.1, SHAE2_68170.1, SHAE2_93370.1
OG0000009	SSPN1_9010.1	SHAE2_24900.1
OG0000009	SSPN1_41310.1	SHAE2_66930.1
OG0000009	SSPN1_90120.1, SSPN1_19830.1	SHAE2_31360.1
OG0000009	SSPN1_81030.1	SHAE2_64150.1
OG0000009	SSPN1_59780.1	SHAE2_79100.1
OG0000012	SSPN1_39340.1	SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8
OG0000014	SSPN1_32740.1	SHAE2_41120.28, SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26, SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6, SHAE2_41120.15
OG0000015	SSPN1_32720.1	SHAE2_41150.1
OG0000015	SSPN1_58880.1	SHAE2_70060.1
OG0000015	SSPN1_58870.1	SHAE2_70070.1
OG0000015	SSPN1_32590.1	SHAE2_41370.1
OG0000015	SSPN1_32580.1	SHAE2_41380.1
OG0000015	SSPN1_32560.1	SHAE2_41400.2
OG0000015	SSPN1_42190.1	SHAE2_46430.1
OG0000015	SSPN1_42240.1	SHAE2_46480.1
OG0000016	SSPN1_30120.1	SHAE2_91170.1, SHAE2_22460.1, SHAE2_63450.1
OG0000016	SSPN1_9040.1	SHAE2_38480.1
OG0000018	SSPN1_79080.3, SSPN1_79080.4, SSPN1_79080.5, SSPN1_79080.6, SSPN1_79080.7, SSPN1_84460.1, SSPN1_86440.1, SSPN1_79080.1, SSPN1_79080.2	SHAE2_33300.1, SHAE2_23610.1, SHAE2_38960.1, SHAE2_20330.3, SHAE2_20330.1, SHAE2_5050.2, SHAE2_5050.5, SHAE2_5050.6, SHAE2_5050.8, SHAE2_5050.1, SHAE2_5050.3, SHAE2_5050.4, SHAE2_5050.7, SHAE2_5050.9, SHAE2_55110.1, SHAE2_55110.2, SHAE2_55110.3, SHAE2_20330.2, SHAE2_20330.4, SHAE2_62230.1, SHAE2_62230.2
OG0000019	SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16	SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7, SHAE2_39640.3, SHAE2_39640.12
OG0000019	SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19
OG0000020	SSPN1_88770.2, SSPN1_88770.3	SHAE2_97880.1, SHAE2_97890.1
OG0000020	SSPN1_88770.10	SHAE2_97900.1
OG0000021	SSPN1_8230.1	SHAE2_10160.1
OG0000021	SSPN1_5720.1	SHAE2_6350.1
OG0000021	SSPN1_5680.1, SSPN1_5680.2	SHAE2_6310.2, SHAE2_6310.1
OG0000021	SSPN1_5700.1	SHAE2_6320.1
OG0000021	SSPN1_5710.1	SHAE2_6330.1, SHAE2_6330.2
OG0000021	SSPN1_5690.1, SSPN1_5690.2	SHAE2_6290.2, SHAE2_6290.1, SHAE2_6290.4, SHAE2_6290.3, SHAE2_6290.5
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29
OG0000024	SSPN1_22780.1	SHAE2_26160.1
OG0000024	SSPN1_88100.1	SHAE2_96950.1
OG0000024	SSPN1_65160.1	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6
OG0000024	SSPN1_77320.1	SHAE2_84940.1, SHAE2_84940.2
OG0000024	SSPN1_77310.1	SHAE2_84950.1
OG0000026	SSPN1_76710.1, SSPN1_76710.2	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2
OG0000026	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3
OG0000026	SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3	SHAE2_76510.1, SHAE2_76510.2
OG0000028	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13
OG0000029	SSPN1_55690.1	SHAE2_61420.1
OG0000029	SSPN1_84220.1	SHAE2_92590.1
OG0000029	SSPN1_13090.1	SHAE2_22850.1
OG0000029	SSPN1_13090.2	SHAE2_22850.1
OG0000029	SSPN1_13090.1	SHAE2_22850.3
OG0000029	SSPN1_13090.2	SHAE2_22850.3
OG0000029	SSPN1_85060.1	SHAE2_93560.1
OG0000029	SSPN1_85050.1	SHAE2_93550.1
OG0000030	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77	SHAE2_7260.1
OG0000031	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6	SHAE2_21970.1
OG0000032	SSPN1_20150.1	SHAE2_12170.1, SHAE2_12170.2
OG0000032	SSPN1_55430.1	SHAE2_61170.1
OG0000032	SSPN1_55430.1	SHAE2_61170.4
OG0000032	SSPN1_76750.1	SHAE2_84140.1
OG0000032	SSPN1_76750.2	SHAE2_84140.1
OG0000033	SSPN1_64320.1	SHAE2_93320.1, SHAE2_42570.1, SHAE2_18350.1
OG0000034	SSPN1_88360.1	SHAE2_97190.1
OG0000034	SSPN1_88350.1	SHAE2_97180.1
OG0000034	SSPN1_88330.1, SSPN1_88330.2	SHAE2_97170.1
OG0000034	SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5	SHAE2_57280.1, SHAE2_61250.1
OG0000034	SSPN1_55380.1	SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1
OG0000034	SSPN1_55370.1	SHAE2_61160.1, SHAE2_61270.1
OG0000035	SSPN1_15690.2	SHAE2_16750.16, SHAE2_16750.17
OG0000036	SSPN1_32030.1, SSPN1_42130.1	SHAE2_93220.1, SHAE2_34210.1, SHAE2_24910.1, SHAE2_24910.2, SHAE2_95420.1
OG0000037	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3	SHAE2_63770.1, SHAE2_63780.1, SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3
OG0000037	SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2
OG0000038	SSPN1_83300.1, SSPN1_60260.1, SSPN1_32470.1, SSPN1_67920.1, SSPN1_73920.1, SSPN1_8810.1, SSPN1_12250.1, SSPN1_12250.2	SHAE2_82970.1, SHAE2_63020.1, SHAE2_50220.1, SHAE2_59300.1, SHAE2_71210.1, SHAE2_44390.1, SHAE2_40300.1, SHAE2_85900.1, SHAE2_85900.2, SHAE2_85900.3, SHAE2_10510.1, SHAE2_85910.1, SHAE2_12870.1, SHAE2_14240.1, SHAE2_83230.1, SHAE2_38480.2, SHAE2_38480.3, SHAE2_38480.4, SHAE2_64380.1
OG0000040	SSPN1_50390.1, SSPN1_50400.1	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20, SHAE2_55400.14, SHAE2_55400.19, SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15, SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23, SHAE2_55390.1, SHAE2_55400.26
OG0000041	SSPN1_92970.1, SSPN1_92960.1, SSPN1_7690.1, SSPN1_39570.1, SSPN1_16210.1, SSPN1_80220.1, SSPN1_80750.1, SSPN1_80760.1, SSPN1_80760.2, SSPN1_80760.3, SSPN1_80760.4, SSPN1_77740.1, SSPN1_56540.1, SSPN1_40330.1, SSPN1_56510.3, SSPN1_93100.1, SSPN1_91300.1, SSPN1_48880.1, SSPN1_51640.1, SSPN1_56010.1	SHAE2_5580.1, SHAE2_5580.2, SHAE2_19620.2, SHAE2_19620.3
OG0000042	SSPN1_31120.1	SHAE2_42810.2, SHAE2_42810.1
OG0000042	SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1
OG0000042	SSPN1_31150.2, SSPN1_31160.2	SHAE2_42760.2, SHAE2_42780.1
OG0000042	SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1	SHAE2_42790.1, SHAE2_42780.2, SHAE2_42760.1, SHAE2_42770.1
OG0000043	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21
OG0000044	SSPN1_82650.1, SSPN1_82650.2	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3
OG0000044	SSPN1_82750.1	SHAE2_91220.1
OG0000044	SSPN1_82730.1, SSPN1_82730.2	SHAE2_91240.1, SHAE2_91240.2
OG0000044	SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2	SHAE2_91250.1, SHAE2_91250.2
OG0000045	SSPN1_19960.1	SHAE2_12380.1
OG0000046	SSPN1_250.1, SSPN1_14110.1, SSPN1_33750.1	SHAE2_4180.9, SHAE2_4180.11, SHAE2_4180.12, SHAE2_4180.5, SHAE2_4180.7, SHAE2_4180.1, SHAE2_4180.13, SHAE2_4180.3, SHAE2_4180.14, SHAE2_4180.4, SHAE2_4180.6, SHAE2_4180.8, SHAE2_4180.10, SHAE2_4180.2, SHAE2_53980.1, SHAE2_34200.2, SHAE2_34200.1
OG0000047	SSPN1_63630.1, SSPN1_63640.1, SSPN1_33620.1, SSPN1_62270.1, SSPN1_33620.2, SSPN1_50310.1, SSPN1_71200.1, SSPN1_87870.1	SHAE2_100590.1
OG0000048	SSPN1_43820.1, SSPN1_43810.1, SSPN1_93000.1	SHAE2_90060.1
OG0000049	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3	SHAE2_74260.1, SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7
OG0000049	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5	SHAE2_77960.1, SHAE2_77960.7, SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3, SHAE2_77960.6
OG0000050	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15, SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6
OG0000051	SSPN1_12760.1, SSPN1_79280.1, SSPN1_46040.1, SSPN1_83770.1, SSPN1_12230.1, SSPN1_67410.1	SHAE2_39490.1
OG0000051	SSPN1_55640.1	SHAE2_15490.1, SHAE2_1850.1, SHAE2_64450.1
OG0000052	SSPN1_27560.1	SHAE2_30940.1
OG0000052	SSPN1_3140.1	SHAE2_3770.1
OG0000052	SSPN1_510.1, SSPN1_510.2	SHAE2_1260.1
OG0000052	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3
OG0000052	SSPN1_57870.1	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1
OG0000053	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13, SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10
OG0000055	SSPN1_66280.1, SSPN1_66290.1	SHAE2_73310.1, SHAE2_73320.1
OG0000057	SSPN1_9240.1, SSPN1_14690.3, SSPN1_18220.1, SSPN1_44030.1, SSPN1_69380.1	SHAE2_47220.1
OG0000057	SSPN1_14690.1, SSPN1_14690.2	SHAE2_39100.1
OG0000058	SSPN1_85960.1	SHAE2_95540.1
OG0000058	SSPN1_77480.1	SHAE2_84800.1, SHAE2_84800.2
OG0000058	SSPN1_77490.1	SHAE2_84790.1, SHAE2_84790.2, SHAE2_84790.3
OG0000058	SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3	SHAE2_84740.1
OG0000060	SSPN1_59230.1, SSPN1_59230.7, SSPN1_59230.2, SSPN1_59230.6, SSPN1_59230.5, SSPN1_59230.8, SSPN1_59230.3, SSPN1_59230.4	SHAE2_69670.1, SHAE2_69670.10, SHAE2_69670.6, SHAE2_69670.7, SHAE2_69670.9, SHAE2_69670.11, SHAE2_69670.5, SHAE2_69670.2, SHAE2_69670.4, SHAE2_69670.3, SHAE2_69670.12, SHAE2_69670.8
OG0000061	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3	SHAE2_55850.1, SHAE2_55850.11, SHAE2_55850.13, SHAE2_55850.12, SHAE2_55850.10, SHAE2_55850.5, SHAE2_55850.6, SHAE2_55850.7, SHAE2_55850.8, SHAE2_55850.2, SHAE2_55850.9, SHAE2_55850.3, SHAE2_55850.4
