Orthogroup	schistosoma_spindale	schistosoma_japonicum
OG0000024	SSPN1_65160.1	EWB00_008906
OG0000024	SSPN1_77320.1	EWB00_001214
OG0000024	SSPN1_77310.1, SSPN1_77310.2	EWB00_003471
OG0000026	SSPN1_76710.1, SSPN1_76710.2	EWB00_002251.1, EWB00_002251.2
OG0000026	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2	EWB00_002721
OG0000026	SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3	EWB00_002746
OG0000027	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17, SSPN1_30990.5, SSPN1_30990.22, SSPN1_30990.31, SSPN1_30990.4, SSPN1_30990.30, SSPN1_30990.35, SSPN1_30990.24, SSPN1_30990.28, SSPN1_30990.29, SSPN1_30990.14, SSPN1_30990.11, SSPN1_30990.6, SSPN1_30990.37, SSPN1_30990.15, SSPN1_30990.20, SSPN1_30990.39	EWB00_003944
OG0000028	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4
OG0000029	SSPN1_55690.1	EWB00_008857
OG0000029	SSPN1_84220.1	EWB00_007517
OG0000029	SSPN1_13090.1	EWB00_002502.1
OG0000029	SSPN1_13090.2	EWB00_002502.1
OG0000029	SSPN1_13090.1	EWB00_002502.2
OG0000029	SSPN1_13090.2	EWB00_002502.2
OG0000029	SSPN1_13090.1	EWB00_002502.4
OG0000029	SSPN1_13090.2	EWB00_002502.4
OG0000029	SSPN1_85060.1	EWB00_004876
OG0000029	SSPN1_85050.1	EWB00_004878
OG0000030	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77	EWB00_003826
OG0000031	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	SSPN1_20150.1	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3
OG0000032	SSPN1_20140.1	EWB00_008461
OG0000032	SSPN1_55430.1	EWB00_009578
OG0000032	SSPN1_21640.1, SSPN1_76750.3, SSPN1_76750.1, SSPN1_76750.2	EWB00_003338
OG0000033	SSPN1_64320.1	EWB00_011057, EWB00_008866
OG0000034	SSPN1_88360.1	EWB00_008584
OG0000034	SSPN1_88350.1, SSPN1_88330.1, SSPN1_88330.2	EWB00_008585
OG0000034	SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5, SSPN1_55380.1, SSPN1_55370.1, SSPN1_55320.1	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	SSPN1_15690.15, SSPN1_15690.14, SSPN1_15690.3, SSPN1_15690.4, SSPN1_15690.10, SSPN1_15690.5, SSPN1_15690.12, SSPN1_15690.11, SSPN1_15690.8, SSPN1_15690.9, SSPN1_15690.6, SSPN1_15690.13, SSPN1_15690.7, SSPN1_15690.1, SSPN1_15690.2	EWB00_002318
OG0000036	SSPN1_32030.1, SSPN1_42130.1	EWB00_004262
OG0000037	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3
OG0000037	SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1	EWB00_006569
OG0000040	SSPN1_50390.1, SSPN1_50400.1	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4
OG0000041	SSPN1_92970.1, SSPN1_92960.1, SSPN1_7690.1, SSPN1_39570.1, SSPN1_16210.1, SSPN1_80220.1, SSPN1_80750.1, SSPN1_80760.1, SSPN1_80760.2, SSPN1_80760.3, SSPN1_80760.4, SSPN1_77740.1, SSPN1_56540.1, SSPN1_40330.1, SSPN1_56510.3, SSPN1_93100.1, SSPN1_91300.1, SSPN1_48880.1, SSPN1_51640.1, SSPN1_56010.1	EWB00_010562, EWB00_005597, EWB00_003816
OG0000042	SSPN1_31120.1	EWB00_009261.1, EWB00_009261.2
OG0000042	SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7	EWB00_009262
OG0000042	SSPN1_31150.2, SSPN1_31160.2, SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1	EWB00_004610, EWB00_009263
OG0000043	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7	EWB00_003370, EWB00_010871
OG0000044	SSPN1_82650.1, SSPN1_82650.2	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3
OG0000044	SSPN1_82750.1, SSPN1_82730.1, SSPN1_82730.2, SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2	EWB00_011369.1, EWB00_011369.2
OG0000045	SSPN1_19960.1	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3
OG0000046	SSPN1_250.1, SSPN1_14110.1, SSPN1_33750.1	EWB00_001944, EWB00_002829
OG0000048	SSPN1_55770.1, SSPN1_55140.1, SSPN1_55030.1, SSPN1_55030.2, SSPN1_77680.1, SSPN1_77680.2, SSPN1_43820.1, SSPN1_43810.1, SSPN1_93000.1	EWB00_001580
OG0000049	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3	EWB00_001608.1, EWB00_001608.2
OG0000049	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5	EWB00_008098
OG0000050	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3	EWB00_005371.1, EWB00_005371.2
OG0000052	SSPN1_27560.1	EWB00_003293
OG0000052	SSPN1_3140.1	EWB00_007330
OG0000052	SSPN1_510.1, SSPN1_510.2	EWB00_005671
OG0000052	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1	EWB00_003847
OG0000052	SSPN1_57870.1	EWB00_009848
OG0000053	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2	EWB00_005460.2, EWB00_005460.1
OG0000054	SSPN1_52250.1, SSPN1_89800.1, SSPN1_9060.1, SSPN1_9070.1	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767
OG0000055	SSPN1_66280.1, SSPN1_66290.1	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000058	SSPN1_85960.1	EWB00_001871
OG0000058	SSPN1_77480.1	EWB00_003488.1, EWB00_003488.2
OG0000058	SSPN1_77520.4, SSPN1_77530.1, SSPN1_77490.1, SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3	EWB00_003491
OG0000060	SSPN1_59230.1, SSPN1_59230.7, SSPN1_59230.2, SSPN1_59230.6, SSPN1_59230.5, SSPN1_59230.8, SSPN1_59230.3, SSPN1_59230.4	EWB00_010498.1, EWB00_010498.2
OG0000061	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000062	SSPN1_6020.10, SSPN1_6020.15, SSPN1_6020.6, SSPN1_6020.9, SSPN1_6020.16, SSPN1_6020.14, SSPN1_6020.1, SSPN1_6020.12, SSPN1_6020.13, SSPN1_6020.2, SSPN1_6020.5, SSPN1_6020.7, SSPN1_6020.8, SSPN1_6020.11, SSPN1_6020.3, SSPN1_6020.4	EWB00_008458
OG0000063	SSPN1_31570.1	EWB00_006170
OG0000064	SSPN1_4120.1, SSPN1_4120.2	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	SSPN1_22330.1	EWB00_000537
OG0000065	SSPN1_22360.1	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	SSPN1_33820.1	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000067	SSPN1_57390.6, SSPN1_57390.1, SSPN1_57390.4, SSPN1_57390.7, SSPN1_57390.8, SSPN1_57390.2, SSPN1_57390.3, SSPN1_57390.5	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3
OG0000068	SSPN1_52040.1	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	SSPN1_91120.1, SSPN1_91120.2, SSPN1_91120.3, SSPN1_91120.4, SSPN1_91120.5, SSPN1_91120.6	EWB00_000572
OG0000068	SSPN1_34390.1, SSPN1_34390.2, SSPN1_34400.1	EWB00_004327
OG0000068	SSPN1_27620.1	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000069	SSPN1_10380.1, SSPN1_10380.2, SSPN1_10380.3	EWB00_002487
OG0000070	SSPN1_42340.2, SSPN1_42340.1, SSPN1_42340.3	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	SSPN1_36770.1	EWB00_001786
OG0000072	SSPN1_86510.2, SSPN1_86510.4, SSPN1_86510.1, SSPN1_86510.3	EWB00_001684
OG0000073	SSPN1_75390.1, SSPN1_75400.1, SSPN1_53480.2, SSPN1_53480.3, SSPN1_53480.4, SSPN1_53480.1, SSPN1_53490.1, SSPN1_53490.2, SSPN1_53490.3, SSPN1_53490.4	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	SSPN1_84850.1	EWB00_007512.1
OG0000074	SSPN1_19150.1	EWB00_004196.6
OG0000074	SSPN1_84940.1	EWB00_008993
OG0000075	SSPN1_37000.1	EWB00_001749
OG0000076	SSPN1_3830.1	EWB00_009041
OG0000077	SSPN1_19690.2, SSPN1_19690.20, SSPN1_19690.21, SSPN1_19690.3, SSPN1_19690.5, SSPN1_19690.6, SSPN1_19690.22, SSPN1_19690.24, SSPN1_19690.18, SSPN1_19690.19, SSPN1_19690.12, SSPN1_19690.13, SSPN1_19690.14, SSPN1_19690.15, SSPN1_19690.25, SSPN1_19690.16, SSPN1_19690.17, SSPN1_19690.7, SSPN1_19690.23, SSPN1_19690.1, SSPN1_19690.10, SSPN1_19690.11, SSPN1_19690.4, SSPN1_19690.8, SSPN1_19690.9	EWB00_004677
OG0000078	SSPN1_5440.6, SSPN1_5440.2, SSPN1_5440.4, SSPN1_5440.5, SSPN1_5440.1, SSPN1_5440.3	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	SSPN1_29590.2, SSPN1_29590.1	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000079	SSPN1_52110.7, SSPN1_52110.5, SSPN1_52110.1, SSPN1_52110.3, SSPN1_52110.9, SSPN1_52110.4, SSPN1_52110.6, SSPN1_52110.2, SSPN1_52110.8	EWB00_006494.1, EWB00_006494.2
OG0000080	SSPN1_42730.5, SSPN1_42730.4, SSPN1_42730.8, SSPN1_42730.6, SSPN1_42730.2, SSPN1_42730.9, SSPN1_42730.1, SSPN1_42730.7, SSPN1_42730.3	EWB00_004899.1, EWB00_004899.2
OG0000082	SSPN1_20040.1	EWB00_009477
OG0000085	SSPN1_34520.2, SSPN1_34520.5, SSPN1_34520.1, SSPN1_34520.4, SSPN1_34520.3	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5
OG0000086	SSPN1_70330.4, SSPN1_70330.2, SSPN1_70330.6, SSPN1_70330.5, SSPN1_70330.1, SSPN1_70330.3	EWB00_004530
OG0000087	SSPN1_51210.1	EWB00_010661
OG0000088	SSPN1_3000.1	EWB00_007313
OG0000088	SSPN1_2990.4, SSPN1_2990.5, SSPN1_2990.3, SSPN1_2990.1, SSPN1_2990.2	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3
OG0000091	SSPN1_46320.9, SSPN1_46320.14, SSPN1_46320.15, SSPN1_46320.16, SSPN1_46320.13, SSPN1_46320.1, SSPN1_46320.10, SSPN1_46320.5, SSPN1_46320.8, SSPN1_46320.12, SSPN1_46320.3, SSPN1_46320.7, SSPN1_46320.2, SSPN1_46320.4, SSPN1_46320.6, SSPN1_46320.11	EWB00_010764.1, EWB00_010764.2
OG0000092	SSPN1_2160.1, SSPN1_2160.2	EWB00_007194.1, EWB00_007194.2
OG0000092	SSPN1_17740.2, SSPN1_17740.4, SSPN1_17740.1, SSPN1_17740.3	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1
OG0000093	SSPN1_30830.1	EWB00_003936
OG0000094	SSPN1_8420.5, SSPN1_8420.1, SSPN1_8420.2, SSPN1_8420.4, SSPN1_8420.6, SSPN1_8420.3	EWB00_009097.1, EWB00_009097.2
OG0000095	SSPN1_62740.3, SSPN1_62740.7, SSPN1_62740.8, SSPN1_62740.12, SSPN1_62740.4, SSPN1_62740.9, SSPN1_62740.1, SSPN1_62740.2, SSPN1_62740.5, SSPN1_62740.11, SSPN1_62740.6, SSPN1_62740.10	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3
OG0000096	SSPN1_35570.1	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5
OG0000097	SSPN1_6940.5, SSPN1_6940.1, SSPN1_6940.2, SSPN1_6940.3, SSPN1_6940.4	EWB00_007768
OG0000098	SSPN1_39820.1	EWB00_011356
OG0000098	SSPN1_58010.9, SSPN1_58010.2, SSPN1_58010.3, SSPN1_58010.1, SSPN1_58010.6, SSPN1_58010.5, SSPN1_58010.7, SSPN1_58010.8, SSPN1_58010.4	EWB00_009825, EWB00_009827.1, EWB00_009827.2
OG0000099	SSPN1_64930.1, SSPN1_64930.2	EWB00_006234.2
OG0000099	SSPN1_69100.2, SSPN1_69100.3, SSPN1_69100.1, SSPN1_69100.4	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3
OG0000100	SSPN1_47270.1	EWB00_009588, EWB00_010419
OG0000102	SSPN1_5840.1	EWB00_010834.2, EWB00_010834.1
OG0000102	SSPN1_56690.1, SSPN1_56690.5, SSPN1_56690.4, SSPN1_56690.3, SSPN1_56690.2	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2
OG0000103	SSPN1_71380.1, SSPN1_71390.1, SSPN1_71390.10, SSPN1_71390.4, SSPN1_71390.5, SSPN1_71390.6, SSPN1_71390.2, SSPN1_71390.3, SSPN1_71390.7, SSPN1_71390.8, SSPN1_71390.9	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3
OG0000104	SSPN1_6010.1, SSPN1_6010.10, SSPN1_6010.5, SSPN1_6010.8, SSPN1_6010.2, SSPN1_6010.3, SSPN1_6010.4, SSPN1_6010.9, SSPN1_6010.11, SSPN1_6010.6, SSPN1_6010.7	EWB00_008979.1, EWB00_008979.2
OG0000105	SSPN1_7680.6, SSPN1_7680.1, SSPN1_7680.2, SSPN1_7680.4, SSPN1_7680.3, SSPN1_7680.5	EWB00_002088, EWB00_004453
OG0000106	SSPN1_70750.1, SSPN1_73170.1, SSPN1_70810.1	EWB00_009226, EWB00_003434, EWB00_009640, EWB00_009641, EWB00_009643, EWB00_000001, EWB00_000002, EWB00_000004
OG0000107	SSPN1_54420.1	EWB00_007831
OG0000107	SSPN1_49360.2, SSPN1_93110.1	EWB00_002983.2, EWB00_002983.4
OG0000108	SSPN1_8260.1	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5
OG0000110	SSPN1_28800.1	EWB00_006025
OG0000110	SSPN1_28780.1	EWB00_006029
OG0000110	SSPN1_28810.2, SSPN1_28810.1	EWB00_006024
OG0000110	SSPN1_28830.1, SSPN1_28820.1	EWB00_006023
OG0000111	SSPN1_39920.1	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4
OG0000111	SSPN1_50260.2, SSPN1_50260.1	EWB00_003555.1, EWB00_003555.2
OG0000111	SSPN1_30100.1	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3
OG0000112	SSPN1_80600.1	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1
OG0000113	SSPN1_45180.6	EWB00_010713, EWB00_006167, EWB00_009422
OG0000114	SSPN1_91010.1, SSPN1_91010.2, SSPN1_91010.4, SSPN1_91010.3	EWB00_000559.1, EWB00_000559.2
OG0000115	SSPN1_34290.1, SSPN1_34290.2	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3
OG0000116	SSPN1_48510.3, SSPN1_48510.4, SSPN1_48510.5, SSPN1_48510.8, SSPN1_48510.1, SSPN1_48510.11, SSPN1_48510.2, SSPN1_48510.10, SSPN1_48510.6, SSPN1_48510.7, SSPN1_48510.9	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5
OG0000117	SSPN1_28910.6, SSPN1_28910.9, SSPN1_28910.1, SSPN1_28910.3, SSPN1_28910.4, SSPN1_28910.7, SSPN1_28910.5, SSPN1_28910.10, SSPN1_28910.2, SSPN1_28910.8	EWB00_006015.1, EWB00_006015.2
OG0000118	SSPN1_31490.1, SSPN1_31480.1	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8
OG0000118	SSPN1_31520.1	EWB00_006163.1, EWB00_006163.2
OG0000118	SSPN1_31510.1	EWB00_006161
OG0000118	SSPN1_31500.1	EWB00_006160
OG0000119	SSPN1_91830.6, SSPN1_91840.3, SSPN1_91830.10, SSPN1_91830.5, SSPN1_91830.8, SSPN1_91830.9, SSPN1_91840.2, SSPN1_91840.4, SSPN1_91830.1, SSPN1_91830.3, SSPN1_91830.4, SSPN1_91830.2, SSPN1_91830.7, SSPN1_91840.1	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1
OG0000122	SSPN1_77430.1	EWB00_003485
OG0000123	SSPN1_75600.1, SSPN1_75600.2	EWB00_001234.1, EWB00_001234.2
OG0000125	SSPN1_1270.1	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3
OG0000126	SSPN1_68020.1, SSPN1_68020.2, SSPN1_68020.3, SSPN1_68020.4	EWB00_000954
OG0000127	SSPN1_21920.1, SSPN1_21920.2, SSPN1_21920.3, SSPN1_21920.4, SSPN1_21920.5, SSPN1_21920.6	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4
OG0000128	SSPN1_41670.7, SSPN1_41670.3, SSPN1_41670.4, SSPN1_41670.8, SSPN1_41670.9, SSPN1_41670.1, SSPN1_41670.2, SSPN1_41670.5, SSPN1_41670.6	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3
OG0000129	SSPN1_38560.7, SSPN1_38560.8, SSPN1_38560.6, SSPN1_38560.3, SSPN1_38560.2, SSPN1_38560.1, SSPN1_38560.4, SSPN1_38560.5	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1
OG0000130	SSPN1_79040.1, SSPN1_79040.2, SSPN1_79040.3, SSPN1_79040.5, SSPN1_79040.4	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3
OG0000131	SSPN1_8540.1	EWB00_002108.1, EWB00_002108.2
OG0000132	SSPN1_35370.1	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3
OG0000133	SSPN1_30530.3, SSPN1_30530.1, SSPN1_30530.4, SSPN1_30530.2	EWB00_002574.1, EWB00_002574.2
