Orthogroup	schistosoma_spindale	opisthorchis_viverrini
OG0000027	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17, SSPN1_30990.5, SSPN1_30990.22, SSPN1_30990.31, SSPN1_30990.4, SSPN1_30990.30, SSPN1_30990.35, SSPN1_30990.24, SSPN1_30990.28, SSPN1_30990.29, SSPN1_30990.14, SSPN1_30990.11, SSPN1_30990.6, SSPN1_30990.37, SSPN1_30990.15, SSPN1_30990.20, SSPN1_30990.39	T265_14036
OG0000028	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3	T265_03596, T265_13290
OG0000029	SSPN1_55690.1	T265_08214
OG0000029	SSPN1_84220.1	T265_00572, T265_00570, T265_00571
OG0000029	SSPN1_85060.1, SSPN1_85050.1	T265_09500, T265_09499, T265_09501, T265_16249
OG0000030	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77	T265_14111
OG0000031	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6	T265_06361
OG0000032	SSPN1_55430.1	T265_03331
OG0000032	SSPN1_21640.1, SSPN1_76750.3, SSPN1_76750.1, SSPN1_76750.2	T265_07282
OG0000034	SSPN1_88360.1, SSPN1_88350.1, SSPN1_88330.1, SSPN1_88330.2, SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5, SSPN1_55380.1, SSPN1_55370.1, SSPN1_55320.1	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005
OG0000035	SSPN1_15690.15, SSPN1_15690.14, SSPN1_15690.3, SSPN1_15690.4, SSPN1_15690.10, SSPN1_15690.5, SSPN1_15690.12, SSPN1_15690.11, SSPN1_15690.8, SSPN1_15690.9, SSPN1_15690.6, SSPN1_15690.13, SSPN1_15690.7, SSPN1_15690.1, SSPN1_15690.2	T265_00972
OG0000037	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3, SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1	T265_00630
OG0000038	SSPN1_83300.1, SSPN1_60260.1, SSPN1_32470.1, SSPN1_67920.1, SSPN1_73920.1, SSPN1_8810.1, SSPN1_12250.1, SSPN1_12250.2	T265_12650
OG0000040	SSPN1_50390.1, SSPN1_50400.1	T265_01293
OG0000042	SSPN1_31120.1, SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7, SSPN1_31150.2, SSPN1_31160.2, SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1	T265_12048, T265_11239, T265_15548, T265_15551
OG0000043	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7	T265_02563
OG0000044	SSPN1_82650.1, SSPN1_82650.2, SSPN1_82750.1, SSPN1_82730.1, SSPN1_82730.2, SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2	T265_05071, T265_05072, T265_08625, T265_11935
OG0000047	SSPN1_63630.1, SSPN1_63640.1, SSPN1_33620.1, SSPN1_62270.1, SSPN1_33620.2, SSPN1_50310.1, SSPN1_71200.1, SSPN1_87870.1	T265_15705
OG0000049	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3	T265_01286
OG0000049	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5	T265_15552
OG0000050	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3	T265_02127, T265_02652
OG0000052	SSPN1_27560.1	T265_08730, T265_12065
OG0000052	SSPN1_3140.1	T265_04421
OG0000052	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1	T265_02480
OG0000052	SSPN1_57870.1	T265_06797
OG0000053	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2	T265_11166
OG0000055	SSPN1_66280.1, SSPN1_66290.1	T265_07023
OG0000058	SSPN1_85960.1	T265_07455
OG0000058	SSPN1_77480.1	T265_13746
OG0000060	SSPN1_59230.1, SSPN1_59230.7, SSPN1_59230.2, SSPN1_59230.6, SSPN1_59230.5, SSPN1_59230.8, SSPN1_59230.3, SSPN1_59230.4	T265_13025
OG0000061	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3	T265_02884
OG0000062	SSPN1_6020.10, SSPN1_6020.15, SSPN1_6020.6, SSPN1_6020.9, SSPN1_6020.16, SSPN1_6020.14, SSPN1_6020.1, SSPN1_6020.12, SSPN1_6020.13, SSPN1_6020.2, SSPN1_6020.5, SSPN1_6020.7, SSPN1_6020.8, SSPN1_6020.11, SSPN1_6020.3, SSPN1_6020.4	T265_10452
OG0000063	SSPN1_31570.1	T265_09823
OG0000064	SSPN1_4120.1, SSPN1_4120.2	T265_15306
OG0000065	SSPN1_22330.1, SSPN1_22360.1	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335
OG0000066	SSPN1_33820.1	T265_07972
OG0000068	SSPN1_52040.1	T265_12520
OG0000068	SSPN1_91120.1, SSPN1_91120.2, SSPN1_91120.3, SSPN1_91120.4, SSPN1_91120.5, SSPN1_91120.6	T265_06616
OG0000068	SSPN1_34390.1, SSPN1_34390.2, SSPN1_34400.1	T265_13582
OG0000068	SSPN1_27620.1	T265_03815
OG0000070	SSPN1_42340.2, SSPN1_42340.1, SSPN1_42340.3	T265_10197
OG0000071	SSPN1_36770.1	T265_11263, T265_11264
OG0000072	SSPN1_86510.2, SSPN1_86510.4, SSPN1_86510.1, SSPN1_86510.3	T265_13598
OG0000073	SSPN1_75390.1, SSPN1_75400.1, SSPN1_53480.2, SSPN1_53480.3, SSPN1_53480.4, SSPN1_53480.1, SSPN1_53490.1, SSPN1_53490.2, SSPN1_53490.3, SSPN1_53490.4	T265_11926
OG0000074	SSPN1_190.1	T265_06662
OG0000074	SSPN1_84850.1	T265_09755
OG0000074	SSPN1_19150.1	T265_14825
OG0000074	SSPN1_84940.1	T265_13709
OG0000075	SSPN1_37000.1	T265_02596
OG0000076	SSPN1_87470.1	T265_01838
OG0000076	SSPN1_3830.1	T265_09657, T265_14927
OG0000077	SSPN1_19690.2, SSPN1_19690.20, SSPN1_19690.21, SSPN1_19690.3, SSPN1_19690.5, SSPN1_19690.6, SSPN1_19690.22, SSPN1_19690.24, SSPN1_19690.18, SSPN1_19690.19, SSPN1_19690.12, SSPN1_19690.13, SSPN1_19690.14, SSPN1_19690.15, SSPN1_19690.25, SSPN1_19690.16, SSPN1_19690.17, SSPN1_19690.7, SSPN1_19690.23, SSPN1_19690.1, SSPN1_19690.10, SSPN1_19690.11, SSPN1_19690.4, SSPN1_19690.8, SSPN1_19690.9	T265_07170
OG0000078	SSPN1_5440.6, SSPN1_5440.2, SSPN1_5440.4, SSPN1_5440.5, SSPN1_5440.1, SSPN1_5440.3	T265_10237, T265_16023
OG0000079	SSPN1_29590.2, SSPN1_29590.1	T265_03623
OG0000079	SSPN1_52110.7, SSPN1_52110.5, SSPN1_52110.1, SSPN1_52110.3, SSPN1_52110.9, SSPN1_52110.4, SSPN1_52110.6, SSPN1_52110.2, SSPN1_52110.8	T265_11700
OG0000080	SSPN1_42730.5, SSPN1_42730.4, SSPN1_42730.8, SSPN1_42730.6, SSPN1_42730.2, SSPN1_42730.9, SSPN1_42730.1, SSPN1_42730.7, SSPN1_42730.3	T265_07150, T265_07149
OG0000082	SSPN1_20040.1	T265_13150
OG0000085	SSPN1_34520.2, SSPN1_34520.5, SSPN1_34520.1, SSPN1_34520.4, SSPN1_34520.3	T265_03464, T265_13261, T265_16244
OG0000086	SSPN1_70330.4, SSPN1_70330.2, SSPN1_70330.6, SSPN1_70330.5, SSPN1_70330.1, SSPN1_70330.3	T265_13900
OG0000087	SSPN1_51210.1	T265_01347, T265_12258
OG0000090	SSPN1_48330.4, SSPN1_48330.1, SSPN1_48330.2, SSPN1_48330.3	T265_02657, T265_14540
OG0000091	SSPN1_46320.9, SSPN1_46320.14, SSPN1_46320.15, SSPN1_46320.16, SSPN1_46320.13, SSPN1_46320.1, SSPN1_46320.10, SSPN1_46320.5, SSPN1_46320.8, SSPN1_46320.12, SSPN1_46320.3, SSPN1_46320.7, SSPN1_46320.2, SSPN1_46320.4, SSPN1_46320.6, SSPN1_46320.11	T265_04053
OG0000092	SSPN1_2160.1, SSPN1_2160.2	T265_14035, T265_15099
OG0000092	SSPN1_17740.2, SSPN1_17740.4, SSPN1_17740.1, SSPN1_17740.3	T265_03205
OG0000093	SSPN1_30830.1	T265_08704
OG0000093	SSPN1_93300.1, SSPN1_31650.1, SSPN1_93310.2, SSPN1_31660.1, SSPN1_93310.1, SSPN1_93310.3	T265_06064, T265_06061, T265_06063
OG0000094	SSPN1_8420.5, SSPN1_8420.1, SSPN1_8420.2, SSPN1_8420.4, SSPN1_8420.6, SSPN1_8420.3	T265_06493
OG0000095	SSPN1_62740.3, SSPN1_62740.7, SSPN1_62740.8, SSPN1_62740.12, SSPN1_62740.4, SSPN1_62740.9, SSPN1_62740.1, SSPN1_62740.2, SSPN1_62740.5, SSPN1_62740.11, SSPN1_62740.6, SSPN1_62740.10	T265_08487
OG0000096	SSPN1_35570.1	T265_09813
OG0000097	SSPN1_6940.5, SSPN1_6940.1, SSPN1_6940.2, SSPN1_6940.3, SSPN1_6940.4	T265_02082
OG0000098	SSPN1_39820.1	T265_08810
OG0000098	SSPN1_58010.9, SSPN1_58010.2, SSPN1_58010.3, SSPN1_58010.1, SSPN1_58010.6, SSPN1_58010.5, SSPN1_58010.7, SSPN1_58010.8, SSPN1_58010.4	T265_16367, T265_15515
OG0000099	SSPN1_64930.1, SSPN1_64930.2	T265_01131
OG0000099	SSPN1_69100.2, SSPN1_69100.3, SSPN1_69100.1, SSPN1_69100.4	T265_02321
OG0000100	SSPN1_47270.1	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636
OG0000102	SSPN1_5840.1	T265_01574
OG0000102	SSPN1_56690.1, SSPN1_56690.5, SSPN1_56690.4, SSPN1_56690.3, SSPN1_56690.2	T265_05632
OG0000103	SSPN1_71380.1, SSPN1_71390.1, SSPN1_71390.10, SSPN1_71390.4, SSPN1_71390.5, SSPN1_71390.6, SSPN1_71390.2, SSPN1_71390.3, SSPN1_71390.7, SSPN1_71390.8, SSPN1_71390.9	T265_13207
OG0000105	SSPN1_7680.6, SSPN1_7680.1, SSPN1_7680.2, SSPN1_7680.4, SSPN1_7680.3, SSPN1_7680.5	T265_07815, T265_03022
OG0000107	SSPN1_54420.1	T265_07863
OG0000107	SSPN1_49360.1	T265_07360
OG0000108	SSPN1_8260.1	T265_04554, T265_13536
OG0000110	SSPN1_28800.1, SSPN1_28780.1	T265_08891, T265_08892
OG0000110	SSPN1_28830.1, SSPN1_28820.1	T265_08890
OG0000111	SSPN1_39920.1	T265_09132
OG0000111	SSPN1_30100.1	T265_08991, T265_14719
OG0000112	SSPN1_80600.1	T265_10678
OG0000114	SSPN1_91010.1, SSPN1_91010.2, SSPN1_91010.4, SSPN1_91010.3	T265_15923, T265_05226, T265_11486
OG0000115	SSPN1_34290.1, SSPN1_34290.2	T265_14637
OG0000116	SSPN1_48510.3, SSPN1_48510.4, SSPN1_48510.5, SSPN1_48510.8, SSPN1_48510.1, SSPN1_48510.11, SSPN1_48510.2, SSPN1_48510.10, SSPN1_48510.6, SSPN1_48510.7, SSPN1_48510.9	T265_02129
OG0000117	SSPN1_28910.6, SSPN1_28910.9, SSPN1_28910.1, SSPN1_28910.3, SSPN1_28910.4, SSPN1_28910.7, SSPN1_28910.5, SSPN1_28910.10, SSPN1_28910.2, SSPN1_28910.8	T265_11206
OG0000119	SSPN1_91830.6, SSPN1_91840.3, SSPN1_91830.10, SSPN1_91830.5, SSPN1_91830.8, SSPN1_91830.9, SSPN1_91840.2, SSPN1_91840.4, SSPN1_91830.1, SSPN1_91830.3, SSPN1_91830.4, SSPN1_91830.2, SSPN1_91830.7, SSPN1_91840.1	T265_12920
OG0000122	SSPN1_77430.1	T265_15228, T265_15224
OG0000123	SSPN1_75600.1, SSPN1_75600.2	T265_02792
OG0000125	SSPN1_1270.1	T265_13688
OG0000127	SSPN1_21920.1, SSPN1_21920.2, SSPN1_21920.3, SSPN1_21920.4, SSPN1_21920.5, SSPN1_21920.6	T265_14567
OG0000128	SSPN1_41670.7, SSPN1_41670.3, SSPN1_41670.4, SSPN1_41670.8, SSPN1_41670.9, SSPN1_41670.1, SSPN1_41670.2, SSPN1_41670.5, SSPN1_41670.6	T265_14408
OG0000129	SSPN1_38560.7, SSPN1_38560.8, SSPN1_38560.6, SSPN1_38560.3, SSPN1_38560.2, SSPN1_38560.1, SSPN1_38560.4, SSPN1_38560.5	T265_07587
OG0000130	SSPN1_79040.1, SSPN1_79040.2, SSPN1_79040.3, SSPN1_79040.5, SSPN1_79040.4	T265_04661
OG0000131	SSPN1_8540.1, SSPN1_82740.1, SSPN1_82770.1, SSPN1_82660.1, SSPN1_82670.1, SSPN1_82760.1, SSPN1_82760.2	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523
OG0000132	SSPN1_35370.1	T265_00680
OG0000133	SSPN1_30530.3, SSPN1_30530.1, SSPN1_30530.4, SSPN1_30530.2	T265_04893
OG0000134	SSPN1_12980.6, SSPN1_12980.5, SSPN1_12980.9, SSPN1_12980.1, SSPN1_12980.2, SSPN1_12980.3, SSPN1_12980.4, SSPN1_12980.7, SSPN1_12980.8	T265_14784
OG0000135	SSPN1_17940.1, SSPN1_17940.11, SSPN1_17940.2, SSPN1_17940.12, SSPN1_17940.10, SSPN1_17940.9, SSPN1_17940.6, SSPN1_17940.7, SSPN1_17940.8, SSPN1_17940.4, SSPN1_17940.3, SSPN1_17940.5	T265_07991, T265_11510
OG0000136	SSPN1_7350.1	T265_11527
OG0000138	SSPN1_84510.1	T265_11205
OG0000138	SSPN1_43540.1	T265_13897
OG0000139	SSPN1_3890.10, SSPN1_3890.12, SSPN1_3890.11, SSPN1_3890.13, SSPN1_3890.5, SSPN1_3890.7, SSPN1_3890.1, SSPN1_3890.6, SSPN1_3890.8, SSPN1_3890.2, SSPN1_3890.3, SSPN1_3890.4, SSPN1_3890.9	T265_03450
OG0000140	SSPN1_73280.1	T265_06793, T265_05820
OG0000142	SSPN1_12880.1, SSPN1_12890.1	T265_03704, T265_07291, T265_15439
OG0000143	SSPN1_65840.1, SSPN1_65830.1	T265_04146, T265_13432
OG0000144	SSPN1_52880.1, SSPN1_52880.2	T265_01304
OG0000144	SSPN1_26530.1	T265_12086
OG0000144	SSPN1_54950.1	T265_06668, T265_13782
OG0000145	SSPN1_37690.1, SSPN1_37680.1, SSPN1_37680.2	T265_14746
OG0000146	SSPN1_87990.1	T265_07748
OG0000146	SSPN1_28030.1	T265_08388
OG0000146	SSPN1_45680.1	T265_03861
OG0000149	SSPN1_52060.4, SSPN1_52060.7, SSPN1_52060.8, SSPN1_52060.3, SSPN1_52060.5, SSPN1_52060.6, SSPN1_52060.1, SSPN1_52060.12, SSPN1_52060.2, SSPN1_52060.9, SSPN1_52060.10, SSPN1_52060.11	T265_03520
OG0000151	SSPN1_60590.1	T265_06094
OG0000152	SSPN1_19460.2, SSPN1_19460.1, SSPN1_19460.3, SSPN1_19460.5, SSPN1_19460.4	T265_06135
OG0000153	SSPN1_48430.1, SSPN1_49110.1, SSPN1_49060.1	T265_16031, T265_12191, T265_02887, T265_13113
OG0000154	SSPN1_11260.1, SSPN1_11260.6, SSPN1_11260.8, SSPN1_11260.7, SSPN1_11260.9, SSPN1_11260.2, SSPN1_11260.5, SSPN1_11260.3, SSPN1_11260.4	T265_03183
OG0000155	SSPN1_33980.1	T265_08299
OG0000156	SSPN1_12720.4, SSPN1_12720.2, SSPN1_12720.3, SSPN1_12720.1	T265_00887, T265_16074
OG0000156	SSPN1_12710.3, SSPN1_12710.4, SSPN1_12710.1, SSPN1_12710.2	T265_03696, T265_15374
OG0000157	SSPN1_62430.3	T265_06998, T265_11481
OG0000157	SSPN1_42520.1	T265_01460, T265_12799
OG0000157	SSPN1_90870.1, SSPN1_90870.2	T265_09530, T265_09531, T265_14875
OG0000158	SSPN1_5420.1	T265_15093
OG0000159	SSPN1_61930.1	T265_08123
OG0000160	SSPN1_16020.2, SSPN1_16020.6, SSPN1_16020.8, SSPN1_16020.10, SSPN1_16020.3, SSPN1_16020.11, SSPN1_16020.1, SSPN1_16020.12, SSPN1_16020.4, SSPN1_16020.5, SSPN1_16020.7, SSPN1_16020.9	T265_10045
OG0000161	SSPN1_36170.1, SSPN1_36170.2, SSPN1_36170.3, SSPN1_36170.4, SSPN1_36150.1, SSPN1_36160.1, SSPN1_36170.5, SSPN1_36170.6	T265_02978
OG0000164	SSPN1_62920.1, SSPN1_62920.2, SSPN1_62920.3	T265_13175
OG0000164	SSPN1_74370.1	T265_00011
OG0000164	SSPN1_53630.1	T265_00309
OG0000164	SSPN1_29260.1	T265_07457
OG0000165	SSPN1_59070.1	T265_11439
OG0000166	SSPN1_84550.2, SSPN1_84550.1, SSPN1_84550.3	T265_10300
OG0000167	SSPN1_72110.3, SSPN1_72110.4, SSPN1_72110.5, SSPN1_72110.2, SSPN1_72110.1	T265_06764
OG0000169	SSPN1_91140.1, SSPN1_42630.1	T265_09476
OG0000169	SSPN1_90630.1	T265_02738, T265_02739, T265_02737
OG0000170	SSPN1_67940.1	T265_12986
OG0000172	SSPN1_11660.6, SSPN1_11660.5, SSPN1_11660.4, SSPN1_11660.1, SSPN1_11660.7, SSPN1_11660.2, SSPN1_11660.3	T265_00976
OG0000173	SSPN1_79450.4, SSPN1_79450.1, SSPN1_79450.2, SSPN1_79450.3	T265_02233
OG0000175	SSPN1_39990.1, SSPN1_39980.1, SSPN1_39970.1, SSPN1_39960.1	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591
OG0000176	SSPN1_28280.1, SSPN1_87350.1	T265_07532, T265_09847
OG0000177	SSPN1_56760.1, SSPN1_56760.2, SSPN1_56760.3, SSPN1_56760.4, SSPN1_56760.5, SSPN1_56760.6	T265_00175
OG0000178	SSPN1_25140.1, SSPN1_25140.2	T265_14067, T265_06556, T265_06557
OG0000179	SSPN1_53970.1, SSPN1_53970.2, SSPN1_53970.3, SSPN1_53970.4, SSPN1_53980.1	T265_00043
OG0000180	SSPN1_78230.1, SSPN1_78220.1, SSPN1_78210.1, SSPN1_78200.1, SSPN1_78240.1, SSPN1_78240.2	T265_07809
OG0000182	SSPN1_55870.5, SSPN1_55870.6, SSPN1_55870.4, SSPN1_55870.1, SSPN1_55870.2, SSPN1_55870.3	T265_01820, T265_01818
OG0000182	SSPN1_27800.11, SSPN1_27800.7, SSPN1_27800.8, SSPN1_27800.9, SSPN1_27800.4, SSPN1_27800.5, SSPN1_27800.2, SSPN1_27800.1, SSPN1_27800.10, SSPN1_27800.3, SSPN1_27800.6	T265_15629, T265_15631
OG0000183	SSPN1_38240.1	T265_03893
OG0000184	SSPN1_48240.1, SSPN1_48240.2, SSPN1_48240.3, SSPN1_48240.4	T265_08817, T265_08819
OG0000184	SSPN1_48250.1	T265_01209, T265_01210, T265_16188
OG0000185	SSPN1_38130.1	T265_08504
OG0000186	SSPN1_69400.5, SSPN1_69400.3, SSPN1_69400.4, SSPN1_69400.8, SSPN1_69400.1, SSPN1_69400.2, SSPN1_69400.7, SSPN1_69400.9, SSPN1_69400.6	T265_11314
OG0000187	SSPN1_50640.2, SSPN1_50640.5, SSPN1_50640.1, SSPN1_50640.7, SSPN1_50640.6, SSPN1_50640.3, SSPN1_50640.9, SSPN1_50640.8, SSPN1_50640.4, SSPN1_50640.10, SSPN1_50640.11, SSPN1_50640.12	T265_00019
OG0000188	SSPN1_39090.1	T265_08339
