Orthogroup	schistosoma_spindale	schistosoma_bovis
OG0000012	SSPN1_39340.1	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29
OG0000014	SSPN1_32740.1	SBOV2_29480.10, SBOV2_29480.3, SBOV2_29480.5, SBOV2_29480.6, SBOV2_29480.7, SBOV2_29480.8, SBOV2_29480.1, SBOV2_29480.12, SBOV2_29480.9, SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20
OG0000015	SSPN1_32720.1	SBOV2_29460.1
OG0000015	SSPN1_58880.1	SBOV2_65410.1
OG0000015	SSPN1_58870.1	SBOV2_65420.1
OG0000015	SSPN1_32590.1	SBOV2_29300.1
OG0000015	SSPN1_42190.1	SBOV2_42840.1
OG0000015	SSPN1_42240.1	SBOV2_42900.1
OG0000015	SSPN1_41450.1	SBOV2_41990.2
OG0000016	SSPN1_30120.1	SBOV2_9920.1, SBOV2_22430.1
OG0000016	SSPN1_30890.1	SBOV2_22420.1, SBOV2_22420.2
OG0000016	SSPN1_9040.1	SBOV2_13150.1, SBOV2_45900.1, SBOV2_44650.1, SBOV2_94160.1
OG0000018	SSPN1_79080.3, SSPN1_79080.4, SSPN1_79080.5, SSPN1_79080.6, SSPN1_79080.7, SSPN1_84460.1, SSPN1_86440.1, SSPN1_79080.1, SSPN1_79080.2	SBOV2_2690.1
OG0000019	SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16	SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9
OG0000019	SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	SBOV2_30990.6, SBOV2_30990.1
OG0000020	SSPN1_88770.2, SSPN1_88770.3	SBOV2_91240.1
OG0000020	SSPN1_88760.1, SSPN1_88770.1	SBOV2_91220.2, SBOV2_91220.3, SBOV2_91220.4, SBOV2_91220.5, SBOV2_91220.1
OG0000021	SSPN1_8230.1	SBOV2_7110.1
OG0000021	SSPN1_5730.1, SSPN1_5720.1	SBOV2_5830.1
OG0000021	SSPN1_5750.1	SBOV2_5840.1
OG0000021	SSPN1_5680.1, SSPN1_5680.2	SBOV2_5800.2, SBOV2_5800.1
OG0000021	SSPN1_5700.1	SBOV2_5810.1
OG0000021	SSPN1_5710.1	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2
OG0000021	SSPN1_5690.1, SSPN1_5690.2	SBOV2_5780.1, SBOV2_5780.2
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	SBOV2_40340.1
OG0000023	SSPN1_44790.1	SBOV2_19240.1
OG0000023	SSPN1_8610.1	SBOV2_22350.1, SBOV2_78210.1
OG0000024	SSPN1_22780.1	SBOV2_23240.1
OG0000024	SSPN1_88100.1	SBOV2_90560.1
OG0000024	SSPN1_65160.1	SBOV2_63690.1
OG0000024	SSPN1_77320.1	SBOV2_79360.1, SBOV2_79360.2
OG0000024	SSPN1_77310.1	SBOV2_79350.1
OG0000026	SSPN1_76710.1, SSPN1_76710.2	SBOV2_78760.1
OG0000026	SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8, SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3
OG0000027	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17	SBOV2_27780.23
OG0000028	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4
OG0000029	SSPN1_55690.1	SBOV2_57030.1
OG0000029	SSPN1_84220.1	SBOV2_86480.1
OG0000029	SSPN1_84180.1	SBOV2_86450.1, SBOV2_96800.1
OG0000029	SSPN1_13090.1	SBOV2_19870.1
OG0000029	SSPN1_13090.2	SBOV2_19870.1
OG0000029	SSPN1_13090.1	SBOV2_19870.2
OG0000029	SSPN1_13090.2	SBOV2_19870.2
OG0000029	SSPN1_13090.1	SBOV2_19870.3
OG0000029	SSPN1_13090.2	SBOV2_19870.3
OG0000029	SSPN1_13090.1	SBOV2_19870.4
OG0000029	SSPN1_13090.2	SBOV2_19870.4
OG0000029	SSPN1_85060.1	SBOV2_87380.1
OG0000029	SSPN1_85050.1	SBOV2_87370.2, SBOV2_87370.1
OG0000030	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	SSPN1_20150.1	SBOV2_10100.1
OG0000032	SSPN1_20140.1	SBOV2_10120.1
OG0000032	SSPN1_55430.1	SBOV2_56850.1
OG0000032	SSPN1_21640.1	SBOV2_9410.1, SBOV2_78820.1
OG0000032	SSPN1_76750.1	SBOV2_78800.1
OG0000032	SSPN1_76750.2	SBOV2_78800.1
OG0000033	SSPN1_64320.1	SBOV2_16080.1, SBOV2_74200.1, SBOV2_96030.1, SBOV2_96030.2, SBOV2_16090.1, SBOV2_60740.1, SBOV2_91630.1, SBOV2_16490.1, SBOV2_47110.1, SBOV2_60670.1, SBOV2_18690.1
OG0000034	SSPN1_88360.1	SBOV2_90790.1
OG0000034	SSPN1_88350.1	SBOV2_90780.1
OG0000034	SSPN1_88330.1, SSPN1_88330.2	SBOV2_90770.1
OG0000034	SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5	SBOV2_56880.1
OG0000034	SSPN1_55380.1	SBOV2_56890.1
OG0000034	SSPN1_55370.1	SBOV2_56900.1
OG0000035	SSPN1_15690.2	SBOV2_14610.19, SBOV2_14610.20
OG0000036	SSPN1_32030.1, SSPN1_42130.1	SBOV2_8200.1, SBOV2_23050.1, SBOV2_95590.1, SBOV2_64000.1, SBOV2_64000.2, SBOV2_10500.1, SBOV2_96110.1
OG0000037	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3	SBOV2_59320.1, SBOV2_59490.1, SBOV2_59490.2
OG0000037	SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1	SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5, SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2
OG0000038	SSPN1_83300.1, SSPN1_60260.1, SSPN1_32470.1, SSPN1_67920.1, SSPN1_73920.1, SSPN1_8810.1, SSPN1_12250.1, SSPN1_12250.2	SBOV2_78900.1, SBOV2_50970.1, SBOV2_51760.1, SBOV2_24870.1, SBOV2_52140.1, SBOV2_92900.1, SBOV2_77500.1, SBOV2_77500.2, SBOV2_78080.1, SBOV2_71000.1, SBOV2_96330.1
OG0000040	SSPN1_50390.1, SSPN1_50400.1	SBOV2_53440.5, SBOV2_53440.6, SBOV2_53440.1, SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13, SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4, SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8
OG0000041	SSPN1_92970.1, SSPN1_92960.1, SSPN1_7690.1, SSPN1_39570.1, SSPN1_16210.1, SSPN1_80220.1, SSPN1_80750.1, SSPN1_80760.1, SSPN1_80760.2, SSPN1_80760.3, SSPN1_80760.4, SSPN1_77740.1, SSPN1_56540.1, SSPN1_40330.1, SSPN1_56510.3, SSPN1_93100.1, SSPN1_91300.1, SSPN1_48880.1, SSPN1_51640.1, SSPN1_56010.1	SBOV2_31710.1, SBOV2_31710.2
OG0000042	SSPN1_31120.1	SBOV2_27900.1
OG0000042	SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7	SBOV2_27910.1, SBOV2_27910.2
OG0000042	SSPN1_31150.2, SSPN1_31160.2	SBOV2_27920.1, SBOV2_27940.1, SBOV2_27950.1, SBOV2_27960.3
OG0000042	SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1	SBOV2_27930.1, SBOV2_27960.5, SBOV2_27960.2, SBOV2_27960.1
OG0000043	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7
OG0000044	SSPN1_82650.1, SSPN1_82650.2	SBOV2_85070.1, SBOV2_85080.1
OG0000044	SSPN1_82750.1	SBOV2_85100.1
OG0000044	SSPN1_82730.1, SSPN1_82730.2	SBOV2_85120.1
OG0000044	SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2	SBOV2_85130.1
OG0000045	SSPN1_19960.1	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6
OG0000046	SSPN1_250.1, SSPN1_14110.1, SSPN1_33750.1	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2, SBOV2_83530.1
OG0000047	SSPN1_63630.1, SSPN1_63640.1, SSPN1_33620.1, SSPN1_62270.1, SSPN1_33620.2, SSPN1_50310.1, SSPN1_71200.1, SSPN1_87870.1	SBOV2_68600.1
OG0000048	SSPN1_55140.1	SBOV2_22140.1, SBOV2_68910.1
OG0000049	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3	SBOV2_69310.2, SBOV2_69310.1, SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5
OG0000049	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5	SBOV2_72720.4, SBOV2_72720.3, SBOV2_72720.5, SBOV2_72720.2, SBOV2_72720.6, SBOV2_72720.1, SBOV2_72720.7
OG0000050	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8, SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12
OG0000051	SSPN1_55640.1	SBOV2_51000.1, SBOV2_49080.1, SBOV2_26350.1, SBOV2_44260.1, SBOV2_29350.1
OG0000052	SSPN1_27560.1	SBOV2_38940.1, SBOV2_38940.2
OG0000052	SSPN1_3140.1	SBOV2_3270.1
OG0000052	SSPN1_510.1, SSPN1_510.2	SBOV2_990.1, SBOV2_990.2
OG0000052	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1	SBOV2_1730.1
OG0000052	SSPN1_57870.1	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3
OG0000053	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9, SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7
OG0000054	SSPN1_52250.1, SSPN1_89800.1, SSPN1_9060.1, SSPN1_9070.1	SBOV2_23060.1, SBOV2_13380.1, SBOV2_23070.1
OG0000055	SSPN1_66280.1, SSPN1_66290.1	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8
OG0000057	SSPN1_9240.1, SSPN1_14690.3, SSPN1_18220.1, SSPN1_44030.1, SSPN1_69380.1, SSPN1_14690.1, SSPN1_14690.2	SBOV2_19440.1, SBOV2_36360.1, SBOV2_10510.1
OG0000058	SSPN1_85960.1	SBOV2_88040.2, SBOV2_88040.1
OG0000058	SSPN1_77480.1	SBOV2_79500.1
OG0000058	SSPN1_77490.1	SBOV2_79520.1
OG0000058	SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3	SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7
OG0000060	SSPN1_59230.4	SBOV2_64940.4
OG0000061	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6
OG0000062	SSPN1_6020.10, SSPN1_6020.15, SSPN1_6020.6, SSPN1_6020.9, SSPN1_6020.16, SSPN1_6020.14, SSPN1_6020.1, SSPN1_6020.12, SSPN1_6020.13, SSPN1_6020.2, SSPN1_6020.5, SSPN1_6020.7, SSPN1_6020.8, SSPN1_6020.11, SSPN1_6020.3, SSPN1_6020.4	SBOV2_6080.14, SBOV2_6080.15, SBOV2_6080.5, SBOV2_6080.7, SBOV2_6080.1, SBOV2_6080.10, SBOV2_6080.2, SBOV2_6080.3, SBOV2_6080.9, SBOV2_6080.13, SBOV2_6080.6, SBOV2_6080.8, SBOV2_6080.11, SBOV2_6080.4, SBOV2_6080.12
OG0000063	SSPN1_31570.1	SBOV2_28360.11, SBOV2_28360.6, SBOV2_28360.3, SBOV2_28360.5, SBOV2_28360.10, SBOV2_28360.4, SBOV2_28360.8, SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9
