Orthogroup	trichobilharzia_regenti	schistosoma_turkestanicum
OG0000134	TREG1_16070.6, TREG1_16070.7, TREG1_16070.4, TREG1_16070.1, TREG1_16070.10, TREG1_16070.11, TREG1_16070.12, TREG1_16070.13, TREG1_16070.16, TREG1_16070.18, TREG1_16070.19, TREG1_16070.20, TREG1_16070.22, TREG1_16070.23, TREG1_16070.8, TREG1_16070.9, TREG1_16070.15, TREG1_16070.2, TREG1_16070.17, TREG1_16070.21, TREG1_16070.3, TREG1_16070.5, TREG1_16070.14	STRK1_18540.1
OG0000135	TREG1_30030.1	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2
OG0000136	TREG1_10930.1, TREG1_10930.3, TREG1_10930.6, TREG1_10930.7, TREG1_10930.4, TREG1_10930.5, TREG1_10930.2	STRK1_7170.1
OG0000137	TREG1_56270.1	STRK1_41510.1
OG0000138	TREG1_120930.1, TREG1_120930.3, TREG1_120930.2	STRK1_84500.1
OG0000138	TREG1_35980.1, TREG1_35980.2, TREG1_35980.4, TREG1_35980.3	STRK1_42170.1
OG0000139	TREG1_3840.1	STRK1_16260.1
OG0000140	TREG1_105170.1, TREG1_105160.1	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2
OG0000142	TREG1_22240.1, TREG1_22210.1, TREG1_22220.1, TREG1_22220.2	STRK1_18420.1, STRK1_18430.1, STRK1_18430.2
OG0000142	TREG1_22230.1, TREG1_22250.1	STRK1_18440.1, STRK1_18460.1
